Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	Expense Type	Funds Center	Cost Desc	Merchant Type	Merchant Type Description	Purpose
"POLICY, PLANNING, FINANCE & ADMINISTRATION"	5451-77	2020-02-04	2020-02-05	YMCA OF GREATER TORONT	413.75	CAD	413.75	CAD	4590	4590	CTP816-02-51	YONGETOMORROW - PUBLIC CONSULTATION COST	8398	"Organizations, Charitable and Social Ser"	RENTAL - OTHER
"POLICY, PLANNING, FINANCE & ADMINISTRATION"	5453-106	2020-02-05	2020-02-06	YMCA OF GREATER TORONT	129.73	CAD	129.73	CAD	4590	4590	CTP816-02-51	YONGETOMORROW - PUBLIC CONSULTATION COST	8398	"Organizations, Charitable and Social Ser"	RENTAL - OTHER
"POLICY, PLANNING, FINANCE & ADMINISTRATION"	5457-108	2020-02-11	2020-02-12	DNH MEDIA TEMPLE INC	327.84	CAD	240.00	USD	4813	4813	CUR028-47	TRANSPORTATION & TRANSIT STUDIES 2018	5968	Direct Marketing - Continuity/Subscripti	WEBSITE HOSTING
"POLICY, PLANNING, FINANCE & ADMINISTRATION"	5458-94	2020-02-12	2020-02-13	PAYPAL  IAP2 CANADA	"2,520.00"	CAD	"2,520.00"	CAD	4760	4760	WE0007	PUBLIC CONSULATION	7392	"Consulting, Management, and Public Relat"	PROFESSIONAL MEMBERSHIP FEES
"POLICY, PLANNING, FINANCE & ADMINISTRATION"	5458-95	2020-02-11	2020-02-13	"TPL ROOM BOOKINGS, TOR"	64.21	CAD	64.21	CAD	4590	4590	CTP817-05-108	PUBLIC CONSULTATIONS	9399	Government Services - Not Elsewhere Clas	RENTAL - OTHER
"POLICY, PLANNING, FINANCE & ADMINISTRATION"	5460-113	2020-02-14	2020-02-17	UPAKNEE EMAIL	169.50	CAD	169.50	CAD	4813	4813	CUR028-47	TRANSPORTATION & TRANSIT STUDIES 2018	7392	"Consulting, Management, and Public Relat"	EMAIL SUBSCRIPTION
"POLICY, PLANNING, FINANCE & ADMINISTRATION"	5462-75	2020-02-18	2020-02-19	ISTOCK.COM	30.51	CAD	30.51	CAD	2080	2080	CWW421-05	BASEMENT FLOODING RELIEF	7333	"Commercial Art, Graphics, Photography"	PHOTOGRAPHIC AND VIDEO SUPPLIES
"POLICY, PLANNING, FINANCE & ADMINISTRATION"	5464-102	2020-02-19	2020-02-21	SHERATON	"1,609.36"	CAD	"1,609.36"	CAD	4252	4252	WE0007	PUBLIC CONSULATION	3503	Sheraton Hotels	ACCOMMODATIONS
"POLICY, PLANNING, FINANCE & ADMINISTRATION"	5465-123	2020-02-23	2020-02-24	DNH MEDIA TEMPLE INC	27.20	CAD	20.00	USD	4813	4813	CUR028-47	TRANSPORTATION & TRANSIT STUDIES 2018	5968	Direct Marketing - Continuity/Subscripti	WEBSITE HOSTING
"POLICY, PLANNING, FINANCE & ADMINISTRATION"	5467-66	2020-02-25	2020-02-26	YMCA OF GREATER TORONT	389.17	CAD	389.17	CAD	4590	4590	WE0007	PUBLIC CONSULATION	8398	"Organizations, Charitable and Social Ser"	RENTAL - OTHER
"POLICY, PLANNING, FINANCE & ADMINISTRATION"	5468-76	2020-02-26	2020-02-27	PANERA 5112	233.71	CAD	233.71	CAD	4823	4823	CTP816-02-51	YONGETOMORROW - PUBLIC CONSULTATION COST	5812	"Eating Places, Restaurants"	MEALS-OUTSIDE LOC'S
"POLICY, PLANNING, FINANCE & ADMINISTRATION"	5469-73	2020-02-27	2020-02-28	IN  TRIDENT BANQUET HA	"1,695.00"	CAD	"1,695.00"	CAD	4590	4590	WE0007	PUBLIC CONSULATION	7299	Other Services (Not Elsewhere Classified	RENTAL - OTHER
					"8,182.75"	CAD	"7,827.71"	CAD							
							260.00	USD							
TORONTO WATER	5449-125	2020-01-31	2020-02-03	NOFRILLS JOSEPH'S 3919	6.44	CAD	6.44	CAD	2741	2741	TW4090	WW TREATMNT:  HIGHLAND CREEK TP-ADMIN	5411	"Grocery Stores, Supermarkets"	MEETING
TORONTO WATER	5449-126	2020-01-31	2020-02-03	TIM HORTONS #1621	10.99	CAD	10.99	CAD	2741	2741	TW4090	WW TREATMNT:  HIGHLAND CREEK TP-ADMIN	5814	Quick Payment Service - Fast-Food Restau	MEETING
					17.43	CAD	17.43	CAD							
TORONTO WATER	5463-92	2020-02-19	2020-02-20	COSTCO WHOLESALE W545	222.53	CAD	222.53	CAD	2130	2130	TW6045	C&TS: DIVISIONAL IT SUPPORT COSTS	5300	Wholesale Clubs	IPHONE CABLE AND WALL CHARGER
TORONTO WATER	5465-124	2020-02-21	2020-02-24	BEST BUY CANADA #943	203.33	CAD	203.33	CAD	2130	2130	TW6045	C&TS: DIVISIONAL IT SUPPORT COSTS	5732	Electronic Sales	CAR CHARGER
TORONTO WATER	5465-125	2020-02-21	2020-02-24	THE SOURCE #51510	112.98	CAD	112.98	CAD	3410	3410	TW6045	C&TS: DIVISIONAL IT SUPPORT COSTS	5732	Electronic Sales	EAR PHONES
TORONTO WATER	5465-126	2020-02-21	2020-02-24	CELLROX	22.60	CAD	22.60	CAD	2130	2130	TW6045	C&TS: DIVISIONAL IT SUPPORT COSTS	4812	Telecommunication Equipment Including Te	CAR CHARGER
					561.44	CAD	561.44	CAD							
SOLID WASTE MANAGEMENT	5449-127	2020-01-30	2020-02-03	THE HOME DEPOT #7129	471.53	CAD	471.53	CAD	*****	*****	CSW930-03-01	KEELE VALLEY SOGR	5200	Home Supply Warehouse	**MORE**  1X3X8 PINE S
SOLID WASTE MANAGEMENT	5449-128	2020-02-01	2020-02-03	THE HOME DEPOT #7012	31.23	CAD	31.23	CAD	2530	2530	CSW930-03-01	KEELE VALLEY SOGR	5200	Home Supply Warehouse	**MORE**  2X4X8 SPF.
SOLID WASTE MANAGEMENT	5449-129	2020-01-31	2020-02-03	THE HOME DEPOT #7078	52.65	CAD	52.65	CAD	2530	2530	CSW930-03-01	KEELE VALLEY SOGR	5200	Home Supply Warehouse	**MORE**  PROSAND 320G
SOLID WASTE MANAGEMENT	5450-62	2020-02-03	2020-02-04	BOLTS PLUS	146.90	CAD	146.90	CAD	2530	2530	CSW930-03-01	KEELE VALLEY SOGR	5251	Hardware Stores	SCREW DRYWALL TEK
SOLID WASTE MANAGEMENT	5454-85	2020-02-06	2020-02-07	LOWES #02632	175.62	CAD	175.62	CAD	2530	2530	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5200	Home Supply Warehouse	**MORE**  BHK ADHESIVE SPREADER (WO 329722)
SOLID WASTE MANAGEMENT	5454-86	2020-02-06	2020-02-07	LOWES #02632	38.40	CAD	38.40	CAD	2530	2530	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5200	Home Supply Warehouse	ELMER'S PROBONDMAXWDFILLER-453 GR
SOLID WASTE MANAGEMENT	5455-130	2020-02-07	2020-02-10	THE HOME DEPOT #7253	145.77	CAD	145.77	CAD	2530	2530	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5200	Home Supply Warehouse	R2330 15L
SOLID WASTE MANAGEMENT	5457-109	2020-02-11	2020-02-12	LOWES #03097	158.14	CAD	158.14	CAD	2530	2530	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5200	Home Supply Warehouse	TEC 3.78L COMMERICAL VCT ADHESIVE
SOLID WASTE MANAGEMENT	5459-92	2020-02-13	2020-02-14	LOWES #02632	10.07	CAD	10.07	CAD	2530	2530	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5200	Home Supply Warehouse	236ML ABS CEMENT    31541C
SOLID WASTE MANAGEMENT	5462-76	2020-02-18	2020-02-19	LOWES #02632	353.59	CAD	353.59	CAD	2530	2530	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5200	Home Supply Warehouse	**MORE**  BROWN VINYL U-SHAPE DOOR BOTTOM
SOLID WASTE MANAGEMENT	5463-93	2020-02-19	2020-02-20	LOWES #02632	45.18	CAD	45.18	CAD	2530	2530	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5200	Home Supply Warehouse	"BOS 18G 2"" BRAD"
SOLID WASTE MANAGEMENT	5464-103	2020-02-20	2020-02-21	LOWES #02632	401.05	CAD	401.05	CAD	2530	2530	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5200	Home Supply Warehouse	**MORE**  PLU SPRUCE STD T/G 3/4X4X8 FT
SOLID WASTE MANAGEMENT	5465-127	2020-02-21	2020-02-24	LOWES #02632	417.99	CAD	417.99	CAD	2530	2530	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5200	Home Supply Warehouse	PLY SPRUCE STD T/G 5/8X4X8 FT
SOLID WASTE MANAGEMENT	5465-128	2020-02-21	2020-02-24	LOWES #02632	-397.67	CAD	-397.67	CAD	2530	2530	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5200	Home Supply Warehouse	Approved from list
SOLID WASTE MANAGEMENT	5466-62	2020-02-24	2020-02-25	LOWES #02632	208.99	CAD	208.99	CAD	2530	2530	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5200	Home Supply Warehouse	PLY SPRUCE STD T/G 5/8X4X8 FT
SOLID WASTE MANAGEMENT	5468-77	2020-02-26	2020-02-27	LOWES #02632	162.47	CAD	162.47	CAD	2530	2530	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5200	Home Supply Warehouse	**MORE**  TNF MAX-FILL TRPL EXP FOAM 16OZ
SOLID WASTE MANAGEMENT	5468-78	2020-02-26	2020-02-27	LOWES #02632	149.10	CAD	149.10	CAD	2530	2530	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5200	Home Supply Warehouse	**MORE**  TEC 3.78L COMMERICAL VCT ADHESIVE
					"2,571.01"	CAD	"2,571.01"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5451-78	2020-02-03	2020-02-05	PAYPAL  ECONOMICDEV	127.69	CAD	127.69	CAD	4760	4760	ED0167	BGS BRE NORTH DISTRICT OFFICE	8641	"Associations - Civic, Social, and Frater"	ANNUAL MEMBERSHIP
ECONOMIC DEVELOPMENT & CULTURE	5454-87	2020-02-06	2020-02-07	SECOND CUP # 9129	4.86	CAD	4.86	CAD	4820	4820	ED0167	BGS BRE NORTH DISTRICT OFFICE	5814	Quick Payment Service - Fast-Food Restau	COFFEE WITH BUSINESS INTERACTION MEETING WITH EAGLES RE GMAP
					132.55	CAD	132.55	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5449-130	2020-01-31	2020-02-03	FUTURE BISTRO	21.97	CAD	21.97	CAD	4823	4823	ED0056	BGS SD GREEN ENERGY SERVICES	5812	"Eating Places, Restaurants"	**MORE**  TIP
ECONOMIC DEVELOPMENT & CULTURE	5463-94	2020-02-19	2020-02-20	TORPRKAUT	26.00	CAD	26.00	CAD	4770	4770	ED0056	BGS SD GREEN ENERGY SERVICES	9399	Government Services - Not Elsewhere Clas	GREEN DRINK NETWORKING EVENT AFTER HOURS - NEEDED VEHICLE
ECONOMIC DEVELOPMENT & CULTURE	5464-104	2020-02-19	2020-02-21	ELEPHANT & CASTLE KING	12.35	CAD	12.35	CAD	4823	4823	ED0056	BGS SD GREEN ENERGY SERVICES	5812	"Eating Places, Restaurants"	LUNCH MEETING WITH ELEANOR MCATTEER - TORONTO WATER
ECONOMIC DEVELOPMENT & CULTURE	5469-74	2020-02-27	2020-02-28	JAVA JOE`S	8.10	CAD	8.10	CAD	4823	4823	ED0056	BGS SD GREEN ENERGY SERVICES	5814	Quick Payment Service - Fast-Food Restau	COFFEE MEETING
					68.42	CAD	68.42	CAD							
FACILITIES MANAGEMENT	5449-131	2020-01-30	2020-02-03	THE HOME DEPOT #7080	23.66	CAD	23.66	CAD	2530	2530	FA1418	106 SPADINA RD.-LSNG	5200	Home Supply Warehouse	MONOMAXKBCLR
FACILITIES MANAGEMENT	5449-132	2020-01-30	2020-02-03	THE HOME DEPOT #7080	10.67	CAD	10.67	CAD	2530	2530	FA1522	205 SPADINA RD.-LSNG	5200	Home Supply Warehouse	**MORE**  SIX-STEP WRE
FACILITIES MANAGEMENT	5451-79	2020-02-03	2020-02-05	CDN TIRE STORE #00030	18.06	CAD	18.06	CAD	2530	2530	FA2656	901 COSBURN AV-OPS-SOUTH E.Y.CURLING	5200	Home Supply Warehouse	DANZE CARTRIDGES
FACILITIES MANAGEMENT	5453-107	2020-02-05	2020-02-06	VANDEN BUSSCHE IRRIGAT	101.42	CAD	101.42	CAD	2530	2530	FA0408	1873 BLOOR ST W-OP-S(HIGH PARK)	0780	Horticultural and Landscaping Services	CHECK VALVES
FACILITIES MANAGEMENT	5465-129	2020-02-21	2020-02-24	VANDEN BUSSCHE IRRIGAT	961.54	CAD	961.54	CAD	2530	2530	FA0408	1873 BLOOR ST W-OP-S(HIGH PARK)	0780	Horticultural and Landscaping Services	TUBING AND PENDANT HEADS
FACILITIES MANAGEMENT	5467-67	2020-02-24	2020-02-26	THE HOME DEPOT #7080	903.98	CAD	903.98	CAD	2530	2530	FA0287	840 GERRARD E-OPS-S (FIRE STN.#324)	5200	Home Supply Warehouse	**MORE**  ADB1400AGW
FACILITIES MANAGEMENT	5467-68	2020-02-24	2020-02-26	THE HOME DEPOT #7080	903.98	CAD	903.98	CAD	2530	2530	FA0271	20 BALMORAL-OPS-S (FIRE STN.#311)	5200	Home Supply Warehouse	**MORE**  ADB1400AGW
					"2,923.31"	CAD	"2,923.31"	CAD							
TORONTO WATER	5449-133	2020-02-01	2020-02-03	GOURMAYS	675.18	CAD	675.18	CAD	4116	4116	TW1060	TW: STRATEGIC PLNN & WORKFORCE DEV.	5811	Caterers	CATERING FOR TW RETIRENT EVENT AT SCC
					675.18	CAD	675.18	CAD							
TORONTO WATER	5457-110	2020-02-10	2020-02-12	CDN TIRE STORE #00427	50.74	CAD	50.74	CAD	2710	2710	TW4110	WW TREATMNT: HIGHLAND CREEK TP-WA 4	5200	Home Supply Warehouse	KEY CUT
TORONTO WATER	5463-95	2020-02-19	2020-02-20	PRINCESS AUTO 36	338.75	CAD	338.75	CAD	2710	2710	TW4110	WW TREATMNT: HIGHLAND CREEK TP-WA 4	5085	Industrial Supplies Not Elsewhere Classi	MAGNETIC FLEX PICK UP TOOL
TORONTO WATER	5464-105	2020-02-19	2020-02-21	CDN TIRE STORE #00427	12.42	CAD	12.42	CAD	2575	2575	TW4110	WW TREATMNT: HIGHLAND CREEK TP-WA 4	5200	Home Supply Warehouse	MINI BULBS
					401.91	CAD	401.91	CAD							
TORONTO WATER	5460-114	2020-02-16	2020-02-17	ACCESS STORAGE	692.70	CAD	692.70	CAD	4416	4416	NPTW00	CONTG PLNG-TORONTO WATER	4225	"Public Warehousing - Farm Products, Refr"	STORAGE RENTAL
TORONTO WATER	5466-63	2020-02-24	2020-02-25	SHOPPERS DRUG MART #13	24.45	CAD	24.45	CAD	4805	4805	TW2035	D&C: PROGRAM MAINTENANCE	5912	"Drug Stores, Pharmacies"	REGISTERED MAIL
					717.15	CAD	717.15	CAD							
TORONTO WATER	5450-63	2020-02-03	2020-02-04	PRINCESS AUTO 36	45.16	CAD	45.16	CAD	2120	2120	TW2040	D&C: CONSTR. SERVICES: SOUTH & EAST	5085	Industrial Supplies Not Elsewhere Classi	HOOKS FOR TRAILERS
TORONTO WATER	5460-115	2020-02-15	2020-02-17	THE HOME DEPOT #7012	7.32	CAD	7.32	CAD	2120	2120	TW2040	D&C: CONSTR. SERVICES: SOUTH & EAST	5200	Home Supply Warehouse	ROPE CLEATS
TORONTO WATER	5467-69	2020-02-24	2020-02-26	THE HOME DEPOT #7012	20.69	CAD	20.69	CAD	4640	4640	TW2040	D&C: CONSTR. SERVICES: SOUTH & EAST	5200	Home Supply Warehouse	**MORE**  WASHER
TORONTO WATER	5467-70	2020-02-25	2020-02-26	PRINCESS AUTO 36	451.98	CAD	451.98	CAD	2120	2120	NPTW00	CONTG PLNG-TORONTO WATER	5085	Industrial Supplies Not Elsewhere Classi	TRUCK BED COVERS
					525.15	CAD	525.15	CAD							
TORONTO WATER	5454-88	2020-02-07	2020-02-07	ULINE	149.22	CAD	149.22	CAD	3410	3410	TW2040	D&C: CONSTR. SERVICES: SOUTH & EAST	5964	Direct Marketing - Catalog Merchants	SWISSGEAR BACKPACK
TORONTO WATER	5459-93	2020-02-12	2020-02-14	ACTION LOCKSMITHS INC	378.54	CAD	378.54	CAD	2120	2120	NPTW00	CONTG PLNG-TORONTO WATER	5072	Hardware Equipment and Supplies	LOCKS/CHAINS/KEYS
TORONTO WATER	5459-94	2020-02-14	2020-02-14	AMZN MKTP CA DA0K92S23	160.88	CAD	160.88	CAD	2120	2120	NPTW00	CONTG PLNG-TORONTO WATER	4816	Computer Network/Information Services	SAFETY LIGHT FOR TRUCK
TORONTO WATER	5462-77	2020-02-14	2020-02-19	ACTION LOCKSMITHS INC	697.54	CAD	697.54	CAD	2120	2120	NPTW00	CONTG PLNG-TORONTO WATER	5072	Hardware Equipment and Supplies	EXTERIOR LOCK FOR BUILDING
TORONTO WATER	5464-106	2020-02-20	2020-02-21	PRINCESS AUTO 22	903.96	CAD	903.96	CAD	2120	2120	NPTW00	CONTG PLNG-TORONTO WATER	5085	Industrial Supplies Not Elsewhere Classi	COVERS TO PROTECT TOOLS
TORONTO WATER	5464-107	2020-02-20	2020-02-21	PRINCESS AUTO 22	282.50	CAD	282.50	CAD	2120	2120	NPTW00	CONTG PLNG-TORONTO WATER	5085	Industrial Supplies Not Elsewhere Classi	HEATER FOR STORAGE
TORONTO WATER	5466-64	2020-02-23	2020-02-25	CDN TIRE STORE #00187	73.43	CAD	73.43	CAD	2120	2120	NPTW00	CONTG PLNG-TORONTO WATER	5200	Home Supply Warehouse	PHONE AND TABLET HOLDER FOR VEHICLE
TORONTO WATER	5468-79	2020-02-25	2020-02-27	THE HOME DEPOT #7012	76.47	CAD	76.47	CAD	2120	2120	TW2040	D&C: CONSTR. SERVICES: SOUTH & EAST	5200	Home Supply Warehouse	**MORE**  MIL5PK
TORONTO WATER	5469-75	2020-02-26	2020-02-28	THE HOME DEPOT #7005	705.80	CAD	705.80	CAD	2120	2120	NPTW00	CONTG PLNG-TORONTO WATER	5200	Home Supply Warehouse	**MORE**  CURR TAP
TORONTO WATER	5469-76	2020-02-26	2020-02-28	CDN TIRE STORE #00187	58.71	CAD	58.71	CAD	2120	2120	NPTW00	CONTG PLNG-TORONTO WATER	5200	Home Supply Warehouse	COOLERS FOR WATER SAMPLE
					"3,487.05"	CAD	"3,487.05"	CAD							
OFFICE OF THE CONTROLLER	5455-131	2020-02-08	2020-02-10	ENTERPRISE CARSHARE	38.93	CAD	38.93	CAD	4220	4220	TR1000	CONTROLLER	7512	Automobile Rental Agency - Not Elsewhere	RENTAL CAR FOR TRANSPORTATION TO MEETING
					38.93	CAD	38.93	CAD							
FACILITIES MANAGEMENT	5449-134	2020-01-30	2020-02-03	FRANKLIN EMPIRE INC	38.25	CAD	38.25	CAD	2530	2530	FA0149	WEST SCARBOROUGH NC-OP-E	5065	Electrical Parts and Equipment	ELECTRICAL SUPPLIES
FACILITIES MANAGEMENT	5450-64	2020-02-03	2020-02-04	POWERTRADE ELECTRIC LT	164.98	CAD	164.98	CAD	2530	2530	FA2218	1081 PROGRESS-OP-E-LIBRARY	1731	Electrical Contractors	ELECTRICAL SUPPLIES
FACILITIES MANAGEMENT	5453-108	2020-02-05	2020-02-06	LINEMANS TESTING LABOR	358.21	CAD	358.21	CAD	2530	2530	FA0066	1050 ELLESMERE RD-OP-E (YARD D)	5085	Industrial Supplies Not Elsewhere Classi	GLOVE TESTS
FACILITIES MANAGEMENT	5465-130	2020-02-21	2020-02-24	THE HOME DEPOT #7001	139.02	CAD	139.02	CAD	2530	2530	FA2513	195 BERMONDSEY(BERMONDSEY YARD)-OPS-N	5200	Home Supply Warehouse	**MORE**  GFCITESTER
FACILITIES MANAGEMENT	5465-131	2020-02-21	2020-02-24	THE HOME DEPOT #7001	30.92	CAD	30.92	CAD	2530	2530	FA0127	63 PHARMACY AVE-OP-E(OAKRIDGE C.C.)	5200	Home Supply Warehouse	**MORE**  20A REC IV
					731.38	CAD	731.38	CAD							
TORONTO WATER	5449-135	2020-01-31	2020-02-03	GREYSTONE ENERGY SYSTE	404.68	CAD	404.68	CAD	2120	2120	TW2060	D&C: WASTEWATER & STORMWATER PUMPING	5046	Commercial Equipment Not Elsewhere Class	THERMOSTAT
TORONTO WATER	5456-59	2020-02-10	2020-02-11	CITY ELECTRIC SUPPLY	79.05	CAD	79.05	CAD	2575	2575	TW2060	D&C: WASTEWATER & STORMWATER PUMPING	1731	Electrical Contractors	ELECTRICAL
TORONTO WATER	5460-116	2020-02-13	2020-02-17	BRAFASCO / ETOBICOKE	15.57	CAD	15.57	CAD	2710	2710	TW2060	D&C: WASTEWATER & STORMWATER PUMPING	5085	Industrial Supplies Not Elsewhere Classi	HEX CAP
TORONTO WATER	5464-108	2020-02-19	2020-02-21	THE HOME DEPOT #7011	81.31	CAD	81.31	CAD	2710	2710	TW2060	D&C: WASTEWATER & STORMWATER PUMPING	5200	Home Supply Warehouse	**MORE**  JIGSAW BLADE
TORONTO WATER	5464-109	2020-02-20	2020-02-21	POWERTRADE ELECTRIC LT	189.77	CAD	189.77	CAD	2575	2575	TW2060	D&C: WASTEWATER & STORMWATER PUMPING	1731	Electrical Contractors	TRANSFORMER BRACKETS
TORONTO WATER	5464-110	2020-02-20	2020-02-21	NEDCO CENTRAL	121.93	CAD	121.93	CAD	2575	2575	TW2060	D&C: WASTEWATER & STORMWATER PUMPING	5065	Electrical Parts and Equipment	VARIOUS
TORONTO WATER	5464-111	2020-02-20	2020-02-21	CITY ELECTRIC SUPPLY	70.16	CAD	70.16	CAD	2575	2575	TW2060	D&C: WASTEWATER & STORMWATER PUMPING	7629	"Appliance Repair Shops, Electrical and S"	VARIOUS
TORONTO WATER	5464-112	2020-02-20	2020-02-21	CITY ELECTRIC SUPPLY	11.29	CAD	11.29	CAD	2575	2575	TW2060	D&C: WASTEWATER & STORMWATER PUMPING	7629	"Appliance Repair Shops, Electrical and S"	VARIOUS
TORONTO WATER	5465-132	2020-02-21	2020-02-24	BRAFASCO / ETOBICOKE	37.29	CAD	37.29	CAD	2710	2710	TW2060	D&C: WASTEWATER & STORMWATER PUMPING	5085	Industrial Supplies Not Elsewhere Classi	DRILL BIT
TORONTO WATER	5465-133	2020-02-21	2020-02-24	BRAFASCO / ETOBICOKE	42.78	CAD	42.78	CAD	2710	2710	TW2060	D&C: WASTEWATER & STORMWATER PUMPING	5085	Industrial Supplies Not Elsewhere Classi	HEX NUTS AND BIT SET
TORONTO WATER	5468-80	2020-02-26	2020-02-27	CITY ELECTRIC SUPPLY	209.13	CAD	209.13	CAD	2575	2575	TW2060	D&C: WASTEWATER & STORMWATER PUMPING	1731	Electrical Contractors	PERMASIEVE
					"1,262.96"	CAD	"1,262.96"	CAD							
FIRE SERVICES	5449-136	2020-01-30	2020-02-03	RADIOWORLD	339.00	CAD	339.00	CAD	3099	3099	FR0011	RADIO	5732	Electronic Sales	POWER SUPPLY
					339.00	CAD	339.00	CAD							
ACCOUNTING SERVICES	5449-137	2020-01-31	2020-02-03	TIM HORTONS #2387	15.90	CAD	15.90	CAD	4820	4820	FS0022	ACCTG SVCS-OFFICE OF THE DIRECTOR	5814	Quick Payment Service - Fast-Food Restau	BUSINESS MEETING - BRAINSTORMING SESSION
ACCOUNTING SERVICES	5454-89	2020-02-06	2020-02-07	EXPEDIA 71005635614079	"1,163.62"	CAD	"1,163.62"	CAD	4252	4252	FS0022	ACCTG SVCS-OFFICE OF THE DIRECTOR	4722	Travel Agencies and Tour Operators	ACCOMMODATION EXPENSES VANCOUVER TCFD WORKSHOP
ACCOUNTING SERVICES	5454-90	2020-02-06	2020-02-07	AIR CAN  00143734795645	491.69	CAD	491.69	CAD	4215	4215	FS0022	ACCTG SVCS-OFFICE OF THE DIRECTOR	3009	Air Canada	AIR TRAVEL
ACCOUNTING SERVICES	5454-91	2020-02-06	2020-02-07	AIR CAN  00143734795646	491.69	CAD	491.69	CAD	4253	4253	FS0022	ACCTG SVCS-OFFICE OF THE DIRECTOR	3009	Air Canada	AIR FARE  - TCFD WORKSHOP
ACCOUNTING SERVICES	5455-132	2020-02-06	2020-02-10	WESTJET 0003734795643	326.68	CAD	326.68	CAD	4253	4253	FS0022	ACCTG SVCS-OFFICE OF THE DIRECTOR	3180	WestJet Airlines	YVR   YYZ  /           /
ACCOUNTING SERVICES	5455-133	2020-02-06	2020-02-10	WESTJET 0003734795644	326.68	CAD	326.68	CAD	4253	4253	FS0022	ACCTG SVCS-OFFICE OF THE DIRECTOR	3180	WestJet Airlines	YVR   YYZ  /           /
					"2,816.26"	CAD	"2,816.26"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5453-109	2020-02-05	2020-02-06	DANNYS VACUUM CLEANER	155.95	CAD	155.95	CAD	3099	3099	AH0155	MH OS CHAPLIN CRESCENT FACILITY OPERATIO	5722	Household Appliance Stores	HOSES
ECONOMIC DEVELOPMENT & CULTURE	5459-95	2020-02-13	2020-02-14	KOOY BROS LAWN	370.53	CAD	370.53	CAD	3099	3099	AH0024	MH OS MONTGOMERY'S INN FACILITY OPERATIO	5261	Lawn and Garden Supply Stores	SALT BOXES
ECONOMIC DEVELOPMENT & CULTURE	5459-96	2020-02-13	2020-02-14	DANNYS VACUUM CLEANER	898.35	CAD	898.35	CAD	3099	3099	AH0155	MH OS CHAPLIN CRESCENT FACILITY OPERATIO	5722	Household Appliance Stores	VACUUM & HOSES
ECONOMIC DEVELOPMENT & CULTURE	5465-134	2020-02-21	2020-02-24	DANNYS VACUUM CLEANER	450.87	CAD	450.87	CAD	3099	3099	AH0024	MH OS MONTGOMERY'S INN FACILITY OPERATIO	5722	Household Appliance Stores	VACUUM
ECONOMIC DEVELOPMENT & CULTURE	5469-77	2020-02-26	2020-02-28	CDN TIRE STORE #00182	40.66	CAD	40.66	CAD	2710	2710	AH0155	MH OS CHAPLIN CRESCENT FACILITY OPERATIO	5200	Home Supply Warehouse	KEY FOBS
					"1,916.36"	CAD	"1,916.36"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5459-97	2020-02-12	2020-02-14	STAR METROLAND SBSCRP	4.52	CAD	4.52	CAD	2020	2020	ED0150	PS MKG EDC MKTG TACTICS	5192	"Books, Periodicals, and Newspapers"	SUBSCRIPTION
					4.52	CAD	4.52	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5449-138	2020-02-01	2020-02-03	BULK BARN # 699 TORONT	147.87	CAD	147.87	CAD	2750	2750	AH0076	MH MUS SPADINA MUSEUM PROGRAMMING	5499	Miscellaneous Food Stores - Convenience	KITCHEN/FOOD PROGRAMS FOR WINTERLICIOUS AND FAMILY DAY
ECONOMIC DEVELOPMENT & CULTURE	5451-80	2020-02-04	2020-02-05	ALLIGATOR PARTY RENTAL	579.69	CAD	579.69	CAD	4590	4590	AH0076	MH MUS SPADINA MUSEUM PROGRAMMING	7394	"Equipment Rental and Leasing Services, F"	RENTAL OF GLASSES/DISHES FOR WINTERLICIOUS
ECONOMIC DEVELOPMENT & CULTURE	5454-92	2020-02-06	2020-02-07	LOBLAWS #1212	5.49	CAD	5.49	CAD	2750	2750	AH0076	MH MUS SPADINA MUSEUM PROGRAMMING	5411	"Grocery Stores, Supermarkets"	TREATS TO VOLUNTEERS WINTERLICIOUS EVENT
