Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre /  WBS Element / Order No.	Cost Centre /  WBS Element / Order No. Decription	Merchant Type	Merchant Type Description	Purpose	
LEGAL SERVICES	3629-30	2015-08-13	2015-08-14	TERANET EXPRESS	2.50	CAD	2.50	CAD	4827	ONLINE SERVICES FEES	LL5801	LIBRARY	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3629-31	2015-08-13	2015-08-14	TERANET EXPRESS	17.00	CAD	17.00	CAD	4827	ONLINE SERVICES FEES	LL5606	FACILITIES AND REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3629-32	2015-08-13	2015-08-14	TERANET EXPRESS	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL5801	LIBRARY	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3631-42	2015-08-14	2015-08-17	TERANET EXPRESS	17.00	CAD	17.00	CAD	4827	ONLINE SERVICES FEES	LL5304	PARKS  FORESTRY AND RECREATION	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-27	2015-08-18	2015-08-19	TERANET EXPRESS	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-28	2015-08-18	2015-08-19	TERANET EXPRESS	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-29	2015-08-18	2015-08-19	TERANET EXPRESS	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-30	2015-08-18	2015-08-19	TERANET EXPRESS	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-31	2015-08-18	2015-08-19	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-32	2015-08-18	2015-08-19	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-33	2015-08-18	2015-08-19	TERANET EXPRESS	5.00	CAD	5.00	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-34	2015-08-18	2015-08-19	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-35	2015-08-18	2015-08-19	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-36	2015-08-18	2015-08-19	TERANET EXPRESS	4.00	CAD	4.00	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-37	2015-08-18	2015-08-19	TERANET EXPRESS	2.00	CAD	2.00	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-38	2015-08-18	2015-08-19	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-39	2015-08-18	2015-08-19	TERANET EXPRESS	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-40	2015-08-18	2015-08-19	TERANET EXPRESS	2.00	CAD	2.00	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-41	2015-08-18	2015-08-19	TERANET EXPRESS	4.00	CAD	4.00	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-42	2015-08-18	2015-08-19	TERANET EXPRESS	2.00	CAD	2.00	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-43	2015-08-18	2015-08-19	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-44	2015-08-18	2015-08-19	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-45	2015-08-18	2015-08-19	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-46	2015-08-18	2015-08-19	TERANET EXPRESS	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-47	2015-08-18	2015-08-19	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-48	2015-08-18	2015-08-19	TERANET EXPRESS	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-49	2015-08-18	2015-08-19	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-50	2015-08-18	2015-08-19	TERANET EXPRESS	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-51	2015-08-18	2015-08-19	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3634-52	2015-08-18	2015-08-19	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3642-32	2015-08-25	2015-08-26	TERANET EXPRESS	14.00	CAD	14.00	CAD	4827	ONLINE SERVICES FEES	LL5403	MUNICIPAL LICENSING & STANDARD	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3642-33	2015-08-25	2015-08-26	TERANET EXPRESS	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL5403	MUNICIPAL LICENSING & STANDARD	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3642-34	2015-08-25	2015-08-26	TERANET EXPRESS	19.00	CAD	19.00	CAD	4827	ONLINE SERVICES FEES	LL5606	FACILITIES AND REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3646-29	2015-08-27	2015-08-28	TERANET EXPRESS	9.50	CAD	9.50	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3648-42	2015-08-28	2015-08-31	TERANET EXPRESS	35.00	CAD	35.00	CAD	4827	ONLINE SERVICES FEES	LL5606	FACILITIES AND REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3648-43	2015-08-28	2015-08-31	TERANET EXPRESS	48.00	CAD	48.00	CAD	4827	ONLINE SERVICES FEES	LL5606	FACILITIES AND REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3648-44	2015-08-28	2015-08-31	TERANET EXPRESS	56.00	CAD	56.00	CAD	4827	ONLINE SERVICES FEES	LL5606	FACILITIES AND REAL ESTATE	9222	Fines	TITLE SEARCHES	
					470.00	CAD	470.00	CAD								
FIRE SERVICES	3637-56	2015-08-20	2015-08-21	BEST BUY #57	28.24	CAD	28.24	CAD	3410	COMPUTERS - HARDWARE	FR0024	MECH MAINTENANCE - EQUIPMENT MAINTANCE	5732	Electronic Sales	ADAPTER FOR WIRELESS COMPUTER DEVICES	
FIRE SERVICES	3639-31	2015-08-20	2015-08-24	CDN TIRE STORE #00119	19.76	CAD	19.76	CAD	2710	GENERAL HARDWARE	FR0024	MECH MAINTENANCE - EQUIPMENT MAINTANCE	5200	Home Supply Warehouse	SMALL HAND TOOLS - SCREWS & DRILL BITS	
FIRE SERVICES	3639-32	2015-08-20	2015-08-24	CDN TIRE STORE #00294	11.29	CAD	11.29	CAD	2710	GENERAL HARDWARE	FR0024	MECH MAINTENANCE - EQUIPMENT MAINTANCE	5200	Home Supply Warehouse	CLAMPS	
FIRE SERVICES	3644-35	2015-08-26	2015-08-27	SPECIAL ELECTRONICS  D	"1,564.35"	CAD	"1,564.35"	CAD	3020	M & E - COMMUNICATIONS	FR0024	MECH MAINTENANCE - EQUIPMENT MAINTANCE	5046	Commercial Equipment Not Elsewhere Class	HIGH ANGLE RESCUE COMMUNICATIONS HEAD SETS	
FIRE SERVICES	3646-30	2015-08-26	2015-08-28	WESTON VALVE  FITTING	113.68	CAD	113.68	CAD	2120	PARTS - MACHINERY & EQUIPMENT	FR0024	MECH MAINTENANCE - EQUIPMENT MAINTANCE	5085	Industrial Supplies Not Elsewhere Classi	HIGH PRESSURE FITTINGS	
FIRE SERVICES	3648-45	2015-08-28	2015-08-31	CANADIAN MAINTENANCE	815.96	CAD	815.96	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	FR0024	MECH MAINTENANCE - EQUIPMENT MAINTANCE	7349	"Cleaning and Maintenance, Janitorial Ser"	PRINTER RIBBON FOR LABEL MACHINE	
					"2,553.28"	CAD	"2,553.28"	CAD								
"PARKS, FORESTRY & RECREATION"	3639-33	2015-08-22	2015-08-24	THE HOME DEPOT #7027	10.06	CAD	10.06	CAD	2531	LUMBER	P00265	E-CENTRAL3-TURF&HORT	5200	Home Supply Warehouse	2X6X10 SPF.	
"PARKS, FORESTRY & RECREATION"	3641-18	2015-08-24	2015-08-25	LOWES #02494*	47.43	CAD	47.43	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00267	E-NORTH1-TURF&HORT	5200	Home Supply Warehouse	HI-PERFORMANCE PAVEMNT REPAIR 50#	
"PARKS, FORESTRY & RECREATION"	3641-19	2015-08-24	2015-08-25	RONA # 55340	20.94	CAD	20.94	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00267	E-NORTH1-TURF&HORT	5251	Hardware Stores	"MASK DISPOSABLE + VALVE, MORTA, CAN"	
"PARKS, FORESTRY & RECREATION"	3642-35	2015-08-25	2015-08-26	RONA # 55340	26.42	CAD	26.42	CAD	2531	LUMBER	P00268	E-NORTH2-TURF&HORT	5251	Hardware Stores	LUMBER - PT 2X10X12	
"PARKS, FORESTRY & RECREATION"	3644-36	2015-08-25	2015-08-27	CHAPMAN BLDERS SUPPLY	112.44	CAD	112.44	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00265	E-CENTRAL3-TURF&HORT	5211	"Building Materials, Lumber Stores"	"CONCRETE PATCH, TROWEL"	
"PARKS, FORESTRY & RECREATION"	3644-37	2015-08-25	2015-08-27	THE HOME DEPOT #7107	11.00	CAD	11.00	CAD	2710	GENERAL HARDWARE	P00833	TECH SERV. 3-PARKS CONSTRUCTION	5200	Home Supply Warehouse	**MORE**  SCREWS	
"PARKS, FORESTRY & RECREATION"	3646-31	2015-08-26	2015-08-28	THE HOME DEPOT #7027	96.80	CAD	96.80	CAD	2710	GENERAL HARDWARE	P00265	E-CENTRAL3-TURF&HORT	5200	Home Supply Warehouse	**MORE**  BOLT	
					325.09	CAD	325.09	CAD								
"PARKS, FORESTRY & RECREATION"	3618-33	2015-08-05	2015-08-06	TURF CARE	189.04	CAD	189.04	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07646	DON VALLEY-OPERATIONS	5261	Lawn and Garden Supply Stores	TIRE FOR SANDPRO	
"PARKS, FORESTRY & RECREATION"	3629-33	2015-08-13	2015-08-14	ACKLANDS-GRAINGER INC	114.02	CAD	114.02	CAD	2665	PROTECTIVE CLOTHING	P07646	DON VALLEY-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	SAFETY SUPPLIES - FLUID CLEANING LENS	
"PARKS, FORESTRY & RECREATION"	3634-53	2015-08-18	2015-08-19	TURF CANADA	844.68	CAD	844.68	CAD	2470	FERTILIZERS	P07646	DON VALLEY-OPERATIONS	5998	Tent & Awning Shops	"FERTILIZER-PELLET PRO, RETAIN PRO, PROTESYN, FP747"	
"PARKS, FORESTRY & RECREATION"	3642-36	2015-08-24	2015-08-26	THE HOME DEPOT #7129	118.62	CAD	118.62	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07646	DON VALLEY-OPERATIONS	5200	Home Supply Warehouse	30X50 BTARP	
					"1,266.36"	CAD	"1,266.36"	CAD								
MUNICIPAL LICENSING & STANDARDS	3637-57	2015-08-19	2015-08-21	CDN TIRE STORE #00073	90.39	CAD	90.39	CAD	3050	M & E - KITCHEN	MS1300	DIRECTOR BY-LAW ENFORCEMENT	5200	Home Supply Warehouse	MICROWAVE	
					90.39	CAD	90.39	CAD								
"PARKS, FORESTRY & RECREATION"	3618-34	2015-08-04	2015-08-06	A PIRATES LIFE INC	563.75	CAD	563.75	CAD	4118	TICKETS AND ADMISSION FEES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	7832	Motion Picture Theaters	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	3626-27	2015-08-10	2015-08-11	METRO #808	49.68	CAD	49.68	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12841	RC- CITY WIDE - YOUTH -YOUTH OUTREACH	5411	"Grocery Stores, Supermarkets"	PIZZA FOR YOUTH GROUP	
"PARKS, FORESTRY & RECREATION"	3629-34	2015-08-13	2015-08-14	A PIRATES LIFE INC	536.75	CAD	536.75	CAD	4118	TICKETS AND ADMISSION FEES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	7832	Motion Picture Theaters	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	3631-43	2015-08-14	2015-08-17	ROB'S NO FRILLS STORE	23.61	CAD	23.61	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3642-37	2015-08-25	2015-08-26	BEST BUY CANADA #943	"1,632.25"	CAD	"1,632.25"	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P12490	RE-YO-ARTS YOUTH-MILLIKEN CRC	5732	Electronic Sales	TELEVISION FOR YOUTH LOUNGE	
					"2,806.04"	CAD	"2,806.04"	CAD								
"PARKS, FORESTRY & RECREATION"	3632-23	2015-08-14	2015-08-18	CDN TIRE STORE #00192	95.99	CAD	95.99	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P00018	FORESTRY SPECIAL PROJECTS	5200	Home Supply Warehouse	"STAPLE GUNS, STAPLES"	
					95.99	CAD	95.99	CAD								
"PARKS, FORESTRY & RECREATION"	3632-24	2015-08-17	2015-08-18	CANON CDA INC-CONS IMA	262.10	CAD	262.10	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	P00890	KIPLING YD-FLEET EQUIP	5946	Camera and Photographic Supply Stores	TONER	
					262.10	CAD	262.10	CAD								
"PARKS, FORESTRY & RECREATION"	3641-20	2015-08-24	2015-08-25	PRINCESS AUTO	140.31	CAD	140.31	CAD	2130	PARTS - MOBILE EQUIPMENT	P13471	EY - SPORTS FIELD MAINTENANCE	5085	Industrial Supplies Not Elsewhere Classi	TRUCK TARP	
"PARKS, FORESTRY & RECREATION"	3648-46	2015-08-28	2015-08-31	THE HOME DEPOT #7114	97.68	CAD	97.68	CAD	2710	GENERAL HARDWARE	P13471	EY - SPORTS FIELD MAINTENANCE	5200	Home Supply Warehouse	**MORE**  1/4X1 1/4HEX	
"PARKS, FORESTRY & RECREATION"	3648-47	2015-08-28	2015-08-31	THE HOME DEPOT #7114	97.11	CAD	97.11	CAD	2715	PAINT SUPPLIES	P13471	EY - SPORTS FIELD MAINTENANCE	5200	Home Supply Warehouse	**MORE**  ROLLR CAGE	
"PARKS, FORESTRY & RECREATION"	3648-48	2015-08-28	2015-08-31	THE HOME DEPOT #7114	55.37	CAD	55.37	CAD	2710	GENERAL HARDWARE	P13471	EY - SPORTS FIELD MAINTENANCE	5200	Home Supply Warehouse	TOOL BOX	
					390.47	CAD	390.47	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3621-48	2015-08-05	2015-08-07	WESTBURY NATIONAL SHOW	"1,954.90"	CAD	"1,954.90"	CAD	4590	RENTAL - OTHER	AH0137	HS-MH-BD COMM SUPP-FORT YORK	5200	Home Supply Warehouse	RENTAL OF LIGHTING AND STAGING EQUIPMENT	
ECONOMIC DEVELOPMENT & CULTURE	3624-47	2015-08-06	2015-08-10	THE EVENT CENTRE LTD.	"2,904.10"	CAD	"2,904.10"	CAD	4590	RENTAL - OTHER	AH0137	HS-MH-BD COMM SUPP-FORT YORK	7394	"Equipment Rental and Leasing Services, F"	RENTAL OF SITE EQUIPMENT	
ECONOMIC DEVELOPMENT & CULTURE	3624-48	2015-08-07	2015-08-10	VARSITY TENT   EVENT R	"1,305.15"	CAD	"1,305.15"	CAD	4590	RENTAL - OTHER	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	7394	"Equipment Rental and Leasing Services, F"	RENTAL EVENT FENCE SCRIM	
ECONOMIC DEVELOPMENT & CULTURE	3634-54	2015-08-17	2015-08-19	AIR CAN  0142151892308	648.01	CAD	648.01	CAD	4102	ENTERTAINER AND BAND FEES	AH0137	HS-MH-BD COMM SUPP-FORT YORK	3009	Air Canada	AIRLINE TICKET FOR PERFORMING ARTIST	
ECONOMIC DEVELOPMENT & CULTURE	3634-55	2015-08-17	2015-08-19	AIR CAN  0142151892308	42.00	CAD	42.00	CAD	4102	ENTERTAINER AND BAND FEES	AH0137	HS-MH-BD COMM SUPP-FORT YORK	3009	Air Canada	ADVANCE SEAT SELECTION FOR FLIGHT FOR ARTIST	
					"6,854.16"	CAD	"6,854.16"	CAD								
EMPLOYMENT & SOCIAL SERVICES	3642-38	2015-08-25	2015-08-26	NOFRILLS SHERIFFS 270	184.69	CAD	184.69	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01202	ATTWELL-ADMIN	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR RES WORKSHOPS AND EVENT	
EMPLOYMENT & SOCIAL SERVICES	3644-38	2015-08-25	2015-08-27	CDN TIRE STORE #00294	123.97	CAD	123.97	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	C01202	ATTWELL-ADMIN	5200	Home Supply Warehouse	RES KITCHEN SUPPLIES	
EMPLOYMENT & SOCIAL SERVICES	3648-49	2015-08-27	2015-08-31	CDN TIRE STORE #00294	135.59	CAD	135.59	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	C01202	ATTWELL-ADMIN	5200	Home Supply Warehouse	RES KITCHEN SUPPLIES	
					444.25	CAD	444.25	CAD								
EMPLOYMENT & SOCIAL SERVICES	3648-50	2015-08-27	2015-08-31	WILSON TROPHY CO	569.24	CAD	569.24	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	C01100	GENERAL MANAGERS OFFICE	7299	Other Services (Not Elsewhere Classified	60-2X3 CUSTOMER SERVICE REP BADGES INV#9099	
					569.24	CAD	569.24	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3624-49	2015-08-06	2015-08-10	THE HOME DEPOT #7011	224.87	CAD	224.87	CAD	3099	GENERAL EQUIPMENT	AH0154	CD-AM-FACILITY MGMT-FORT YORK	5200	Home Supply Warehouse	HY 8G.	
ECONOMIC DEVELOPMENT & CULTURE	3634-56	2015-08-18	2015-08-19	LAKESHORE LUMBER	41.99	CAD	41.99	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0154	CD-AM-FACILITY MGMT-FORT YORK	5251	Hardware Stores	HARDWARE	
ECONOMIC DEVELOPMENT & CULTURE	3637-58	2015-08-20	2015-08-21	CONNECT EQUIPMENT KITC	262.27	CAD	262.27	CAD	2120	PARTS - MACHINERY & EQUIPMENT	AH0154	CD-AM-FACILITY MGMT-FORT YORK	5599	"Miscellaneous Automotive, Aircraft, and"	PARTS	
ECONOMIC DEVELOPMENT & CULTURE	3642-39	2015-08-24	2015-08-26	BRAFASCO / ETOBICOKE	20.00	CAD	20.00	CAD	2120	PARTS - MACHINERY & EQUIPMENT	AH0154	CD-AM-FACILITY MGMT-FORT YORK	5085	Industrial Supplies Not Elsewhere Classi	PARTS	
ECONOMIC DEVELOPMENT & CULTURE	3644-39	2015-08-26	2015-08-27	LAKESHORE LUMBER	18.08	CAD	18.08	CAD	2770	GRAVEL	AH0029	CD-AM-FACILITY MGMT-METRO HALL	5251	Hardware Stores	GRAVEL	
ECONOMIC DEVELOPMENT & CULTURE	3648-51	2015-08-28	2015-08-31	CONNECT EQUIPMENT KITC	48.84	CAD	48.84	CAD	2120	PARTS - MACHINERY & EQUIPMENT	AH0154	CD-AM-FACILITY MGMT-FORT YORK	5599	"Miscellaneous Automotive, Aircraft, and"	PARTS	
					616.05	CAD	616.05	CAD								
EMPLOYMENT & SOCIAL SERVICES	3648-52	2015-08-28	2015-08-31	LANGEVIN LEARNING SERV	"1,863.65"	CAD	"1,863.65"	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	C01204	KENNEDY -ADMIN	8299	Educational Services	LANGEVIN WEB BASED TRAINING	
EMPLOYMENT & SOCIAL SERVICES	3648-53	2015-08-28	2015-08-31	LANGEVIN LEARNING SERV	507.65	CAD	507.65	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	C01204	KENNEDY -ADMIN	8299	Educational Services	LANGEVIN BLENDED LEARNING	
					"2,371.30"	CAD	"2,371.30"	CAD								
EMPLOYMENT & SOCIAL SERVICES	3616-20	2015-08-04	2015-08-05	FRESHCO #9781	24.06	CAD	24.06	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	C01208	BEACHES  ADMIN	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS - YOUTHWORX WORKSHOP	
					24.06	CAD	24.06	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3616-21	2015-08-03	2015-08-05	THE HOME DEPOT #7078	337.19	CAD	337.19	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0151	CD-AM-FACILITY MGMT-SPADINA HOUSE	5200	Home Supply Warehouse	**MORE**  UTILITY BRAC	
ECONOMIC DEVELOPMENT & CULTURE	3621-49	2015-08-05	2015-08-07	SETON	91.21	CAD	91.21	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0030	CD-AM-PROGRAM SUPPORT-METRO HALL	5099	Durable Goods Not Elsewhere Classified	WARNING LABELS	
ECONOMIC DEVELOPMENT & CULTURE	3621-50	2015-08-05	2015-08-07	SETON	211.33	CAD	211.33	CAD	2590	EMERGENCY SERVICES SUPPLIES	AH0030	CD-AM-PROGRAM SUPPORT-METRO HALL	5099	Durable Goods Not Elsewhere Classified	EYE WASH STATION AND FIRST AID KITS	
ECONOMIC DEVELOPMENT & CULTURE	3621-51	2015-08-05	2015-08-07	SETON	36.58	CAD	36.58	CAD	2665	PROTECTIVE CLOTHING	AH0029	CD-AM-FACILITY MGMT-METRO HALL	5099	Durable Goods Not Elsewhere Classified	HARD HAT	
ECONOMIC DEVELOPMENT & CULTURE	3624-50	2015-08-06	2015-08-10	SETON	346.05	CAD	346.05	CAD	2590	EMERGENCY SERVICES SUPPLIES	AH0030	CD-AM-PROGRAM SUPPORT-METRO HALL	5099	Durable Goods Not Elsewhere Classified	SAFETY LOCK OUT KIT	
ECONOMIC DEVELOPMENT & CULTURE	3628-50	2015-08-11	2015-08-13	THE HOME DEPOT #7129	187.13	CAD	187.13	CAD	2710	GENERAL HARDWARE	AH0029	CD-AM-FACILITY MGMT-METRO HALL	5200	Home Supply Warehouse	**MORE**  LEV PLATE TO	
ECONOMIC DEVELOPMENT & CULTURE	3637-59	2015-08-13	2015-08-21	AMJ CAMPBELL TORONTO	-213.29	CAD	-213.29	CAD	4416	"TRANSFER, HAULAGE AND STORAGE"	AH0029	CD-AM-FACILITY MGMT-METRO HALL	4214	"Motor Freight Carriers, Trucking - Local"	REFUND FOR MOVING COSTS	
					996.20	CAD	996.20	CAD								
"PARKS, FORESTRY & RECREATION"	3611-46	2015-07-30	2015-08-03	JJ DOWNS INDUSTRIAL	412.12	CAD	412.12	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5085	Industrial Supplies Not Elsewhere Classi	"PVC COUPLING,SOCKET,RED BUSH,PVC UNION"	
"PARKS, FORESTRY & RECREATION"	3624-51	2015-08-06	2015-08-10	ELITE PLUMBING   HEATI	42.32	CAD	42.32	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5074	Plumbing and Heating Equipment	PLUMBING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3624-52	2015-08-06	2015-08-10	JJ DOWNS INDUSTRIAL	19.58	CAD	19.58	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5085	Industrial Supplies Not Elsewhere Classi	PLUMBING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3635-31	2015-08-19	2015-08-20	THE POOL SUPPLY CENTRE	11.30	CAD	11.30	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5996	Swimming Pools - Sales and Supplies	PLUMBING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3639-34	2015-08-18	2015-08-24	JJ DOWNS INDUSTRIAL	741.66	CAD	741.66	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5085	Industrial Supplies Not Elsewhere Classi	PLUMBING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3648-54	2015-08-24	2015-08-31	JJ DOWNS INDUSTRIAL	207.99	CAD	207.99	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5085	Industrial Supplies Not Elsewhere Classi	PLUMBING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3648-55	2015-08-25	2015-08-31	JJ DOWNS INDUSTRIAL	202.81	CAD	202.81	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5085	Industrial Supplies Not Elsewhere Classi	PLUMBING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3648-56	2015-08-27	2015-08-31	BRAFASCO / ETOBICOKE	118.09	CAD	118.09	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5085	Industrial Supplies Not Elsewhere Classi	PLUMBING SUPPLIES	
					"1,755.87"	CAD	"1,755.87"	CAD								
