Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre /  WBS Element	Cost Centre /  WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	2470-18	04-25-2013	04-26-2013	NOFRILLS LUCIANO'S #34	44.64	CAD	44.64	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01207	JOHN INNES-SOCIAL PG	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR KIDS COOKING PGRM	
"PARKS, FORESTRY & RECREATION"	2475-18	04-29-2013	04-30-2013	NOFRILLS LUCIANO'S #34	50.07	CAD	50.07	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10154	JOHN INNES-PGM SUPP	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR ACTIVE 8	
					364.16	CAD	364.16	CAD								
"PARKS, FORESTRY & RECREATION"	2447-19	04-09-2013	04-10-2013	FRESHCO #9774      QPS	101.84	CAD	101.84	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06362	JJ PIEININNI-SOC PGM	5411	"Grocery Stores, Supermarkets"	"CHICK PEAS,LEMONS,YAM,VEG BROTH,ONION,QUINOA"	
"PARKS, FORESTRY & RECREATION"	2455-19	04-11-2013	04-15-2013	METRO #719	150.48	CAD	150.48	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06362	JJ PIEININNI-SOC PGM	5411	"Grocery Stores, Supermarkets"	"RED PEPPER,BROCCOLI,GRAPES,JAM,CUCUMBER,LETTUCE"	
"PARKS, FORESTRY & RECREATION"	2459-16	04-16-2013	04-17-2013	FRESHCO #9774      QPS	154.08	CAD	154.08	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06362	JJ PIEININNI-SOC PGM	5411	"Grocery Stores, Supermarkets"	"YOGURT,WHITE CHOCOLATE,ORANGES,RAISINS,MUSHROOMS"	
"PARKS, FORESTRY & RECREATION"	2462-17	04-16-2013	04-19-2013	JACK WATSON SPORTS INC	222.61	CAD	222.61	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P09919	JJ PIEININNI-INSTRL	5941	Sporting Goods Stores	GYMNASTIC RHYTHMIC RIBBONS	
"PARKS, FORESTRY & RECREATION"	2462-18	04-17-2013	04-19-2013	THE HOME DEPOT #7013	102.63	CAD	102.63	CAD	2710	GENERAL HARDWARE	P10443	JJ PIEININNI-PGM SUP	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2467-19	04-22-2013	04-23-2013	LONG   MCQUADE LIMITED	67.78	CAD	67.78	CAD	3020	M & E - COMMUNICATIONS	P10443	JJ PIEININNI-PGM SUP	7399	Business Services - Not Elsewhere Classi	MICROPHONES AND WIRES	
"PARKS, FORESTRY & RECREATION"	2467-20	04-22-2013	04-23-2013	LONG   MCQUADE LIMITED	146.90	CAD	146.90	CAD	3020	M & E - COMMUNICATIONS	P10443	JJ PIEININNI-PGM SUP	7399	Business Services - Not Elsewhere Classi	SPEAKER STAND	
"PARKS, FORESTRY & RECREATION"	2467-21	04-22-2013	04-23-2013	LONG   MCQUADE LIMITED	160.65	CAD	160.65	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01893	JJ PIEININNI-ARTS-VI	7399	Business Services - Not Elsewhere Classi	PIANO BOOKS	
"PARKS, FORESTRY & RECREATION"	2468-17	04-23-2013	04-24-2013	FRESHCO #9774      QPS	149.18	CAD	149.18	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06362	JJ PIEININNI-SOC PGM	5411	"Grocery Stores, Supermarkets"	"EGGS,SPAGHETTI,YOGURT,POTATOES,CARROTS,CANTALOUPE"	
"PARKS, FORESTRY & RECREATION"	2479-25	04-30-2013	05-02-2013	METRO #719	220.29	CAD	220.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06362	JJ PIEININNI-SOC PGM	5411	"Grocery Stores, Supermarkets"	"CEREALS,YOGURT,BANANAS,STRAWBERRIES,BROCCOLI,JUICE"	
"PARKS, FORESTRY & RECREATION"	2479-26	04-30-2013	05-02-2013	WAL-MART #1004	85.08	CAD	85.08	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06362	JJ PIEININNI-SOC PGM	5411	"Grocery Stores, Supermarkets"	FABRIC PAINT FOR PRESCHOOL CLASS	
					"1,561.52"	CAD	"1,561.52"	CAD								
"PARKS, FORESTRY & RECREATION"	2437-22	04-03-2013	04-04-2013	NOFRILLS LEONETTI'S #3	23.15	CAD	23.15	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08146	AMESBURY CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	"AIM SNACK,CARROTS,PIZZA SAUCE,CHEESE"	
"PARKS, FORESTRY & RECREATION"	2445-10	04-08-2013	04-09-2013	ONTARIO SAFETY LEAGUE	113.00	CAD	113.00	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P08146	AMESBURY CC-SOC PGM	8398	"Organizations, Charitable and Social Ser"	OSL BABYSITTING HANDBOOKS FOR PROGRAM	
"PARKS, FORESTRY & RECREATION"	2459-17	04-16-2013	04-17-2013	NOFRILLS LEONETTI'S #3	143.35	CAD	143.35	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08146	AMESBURY CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	"AIM SNACK, CHEF, TACOS, FRUIT SALAD"	
"PARKS, FORESTRY & RECREATION"	2476-24	04-30-2013	05-01-2013	NOFRILLS VITO'S #3936	66.60	CAD	66.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08146	AMESBURY CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	"AIM SNACK,CHELF,KOLBASSA,CHEESE"	
"PARKS, FORESTRY & RECREATION"	2476-25	04-30-2013	05-01-2013	LONG   MCQUADE	151.57	CAD	151.57	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P05840	AMESBURY CC-ARTS-VIS	7399	Business Services - Not Elsewhere Classi	MUSIC BOOKS FOR PRGM	
					497.67	CAD	497.67	CAD								
EMERGENCY MEDICAL SERVICES	2447-20	04-09-2013	04-10-2013	TORONTO PARKING AUTHOR	8.75	CAD	8.75	CAD	4770	PARKING EXPENSES (INTOWN)	B33100	COMM CTR OPERATIONS	7523	Automobile Parking Lots and Garages	PARKING - MID WIFE BIRTHING CENTRE	
					8.75	CAD	8.75	CAD								
"PARKS, FORESTRY & RECREATION"	2437-23	04-03-2013	04-04-2013	LEE VALLEY TOOLS 800-2	30.63	CAD	30.63	CAD	2710	GENERAL HARDWARE	P00427	PRN-PKS CONSTRUCTN	5251	Hardware Stores	"SCREW CAPS, TAPPED SCREWS"	
					30.63	CAD	30.63	CAD								
"PARKS, FORESTRY & RECREATION"	2445-11	04-08-2013	04-09-2013	PRICE CHOPPER #7984QPS	52.46	CAD	52.46	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08178	NWDS-SOC PGM	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2451-13	04-11-2013	04-12-2013	PRICE CHOPPER #7984QPS	117.34	CAD	117.34	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P09716	NWDS-INSTRL	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2456-12	04-12-2013	04-16-2013	METRO #493	114.40	CAD	114.40	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06080	RODING-SOC PGM	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2467-22	04-22-2013	04-23-2013	PRICE CHOPPER #7984QPS	27.68	CAD	27.68	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08178	NWDS-SOC PGM	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2475-19	04-29-2013	04-30-2013	PRICE CHOPPER #7984QPS	25.75	CAD	25.75	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08178	NWDS-SOC PGM	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM SUPPLIES	
					337.63	CAD	337.63	CAD								
"PARKS, FORESTRY & RECREATION"	2443-41	04-05-2013	04-08-2013	EAST END GARDEN CENTRE	406.53	CAD	406.53	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00530	S-WEST 1-PGM SUPP	5261	Lawn and Garden Supply Stores	SHRUB FENCING	
"PARKS, FORESTRY & RECREATION"	2447-21	04-09-2013	04-10-2013	THE XTERMINATOR	254.25	CAD	254.25	CAD	4417	PEST CONTROL	P00530	S-WEST 1-PGM SUPP	7342	Exterminating and Disinfecting Services	EMERGENCY RAT CONTROL	
"PARKS, FORESTRY & RECREATION"	2447-22	04-09-2013	04-10-2013	THE XTERMINATOR	254.25	CAD	254.25	CAD	4417	PEST CONTROL	P00530	S-WEST 1-PGM SUPP	7342	Exterminating and Disinfecting Services	EMERGENCY RAT CONTROL	
"PARKS, FORESTRY & RECREATION"	2469-20	04-23-2013	04-25-2013	THE HOME DEPOT #7013	10.97	CAD	10.97	CAD	3080	M & E - HAND TOOLS	P00530	S-WEST 1-PGM SUPP	5200	Home Supply Warehouse	SOCKET SET	
"PARKS, FORESTRY & RECREATION"	2469-21	04-23-2013	04-25-2013	ATLANTEAN PRODUCTS	976.32	CAD	976.32	CAD	2470	FERTILIZERS	P00530	S-WEST 1-PGM SUPP	0780	Horticultural and Landscaping Services	ORGANIC FERTILIZER	
"PARKS, FORESTRY & RECREATION"	2473-28	04-28-2013	04-29-2013	NEW CANADIAN LUMBER	71.17	CAD	71.17	CAD	2710	GENERAL HARDWARE	P00530	S-WEST 1-PGM SUPP	5251	Hardware Stores	TARPS	
					"1,973.49"	CAD	"1,973.49"	CAD								
"PARKS, FORESTRY & RECREATION"	2462-19	04-17-2013	04-19-2013	WAL-MART #3159	176.38	CAD	176.38	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11414	D R TIMBRELL -SOC PG	5411	"Grocery Stores, Supermarkets"	PRESCHOOL RECREATION SUPPLIES	
					176.38	CAD	176.38	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2443-42	04-06-2013	04-08-2013	BOS TAXI 0309	39.02	CAD	37.30	USD	4254	CONFERENCES/SEMINARS - GROUND TRANSPT	ED0059	BUS DEV-CONSULTANT/S	4121	Limousines and Taxicabs	TAXI FROM AIRPORT TO HOTEL	
ECONOMIC DEVELOPMENT & CULTURE	2447-23	04-08-2013	04-10-2013	NATIONAL BUSINESS INCU	32.79	CAD	31.50	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	ED0059	BUS DEV-CONSULTANT/S	7399	Business Services - Not Elsewhere Classi	BOOK-2012 STATE OF THE BUS. INC. INDUSTRY	
ECONOMIC DEVELOPMENT & CULTURE	2451-14	04-10-2013	04-12-2013	BOSTON TAXI	33.41	CAD	32.15	USD	4254	CONFERENCES/SEMINARS - GROUND TRANSPT	ED0059	BUS DEV-CONSULTANT/S	4121	Limousines and Taxicabs	TAXI FROM HOTEL TO AIRPORT	
ECONOMIC DEVELOPMENT & CULTURE	2451-15	04-10-2013	04-12-2013	DIAMOND TAXI CAB DISPA	58.00	CAD	58.00	CAD	4254	CONFERENCES/SEMINARS - GROUND TRANSPT	ED0059	BUS DEV-CONSULTANT/S	4121	Limousines and Taxicabs	TAXI FROM AIRPORT TO HOME	
ECONOMIC DEVELOPMENT & CULTURE	2451-16	04-10-2013	04-12-2013	SHERATON BOSTON HOTEL	994.31	CAD	956.80	USD	4252	CONFERENCES/SEMINARS - ACCOMMODATION	ED0059	BUS DEV-CONSULTANT/S	3503	Sheraton Hotels	"ACCOMMODATIONS - BOSTON, MA"	
					"1,157.53"	CAD	58.00	CAD								
							"1,057.75"	USD								
"PARKS, FORESTRY & RECREATION"	2459-18	04-16-2013	04-17-2013	PARLIAMENT BUILDING SU	775.36	CAD	775.36	CAD	4467	C. SRV - PARKING LOT	P12017	SOUTH GENERAL-PKS TE	5211	"Building Materials, Lumber Stores"	ASPHALT PATCH	
"PARKS, FORESTRY & RECREATION"	2468-18	04-23-2013	04-24-2013	PARLIAMENT BUILDING SU	23.46	CAD	23.46	CAD	2780	CONCRETE	P12017	SOUTH GENERAL-PKS TE	5211	"Building Materials, Lumber Stores"	MORTAR MIX	
"PARKS, FORESTRY & RECREATION"	2476-26	04-29-2013	05-01-2013	SWISH MAINTENANCE LTD	935.64	CAD	935.64	CAD	2570	JANITORIAL SUPPLIES	P12017	SOUTH GENERAL-PKS TE	2842	"Specialty Cleaning, Polishing, and Sanit"	DEGRESER	
					"1,734.46"	CAD	"1,734.46"	CAD								
"PARKS, FORESTRY & RECREATION"	2456-13	04-14-2013	04-16-2013	WAL-MART # 3031	24.81	CAD	24.81	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07672	NORSEMAN POOL-PGM SU	5310	Discount Stores	STOPWATCH BATTERIES	
"PARKS, FORESTRY & RECREATION"	2465-25	04-19-2013	04-22-2013	WAL-MART # 3031	96.85	CAD	96.85	CAD	2615	"DISHES, CUTLERY AND UTENSILS"	P07672	NORSEMAN POOL-PGM SU	5310	Discount Stores	BRIA FILTER SYSTEM & FILTERS	
					121.66	CAD	121.66	CAD								
"PARKS, FORESTRY & RECREATION"	2441-26	04-04-2013	04-05-2013	INTERLINE WHOLESALE HA	33.85	CAD	33.85	CAD	3080	M & E - HAND TOOLS	P00835	TECH SERV. 1-TRADES	5072	Hardware Equipment and Supplies	"AUGER, BIT"	
"PARKS, FORESTRY & RECREATION"	2443-43	04-05-2013	04-08-2013	CTF SUPPLY (08)	11.30	CAD	11.30	CAD	2710	GENERAL HARDWARE	P00835	TECH SERV. 1-TRADES	5085	Industrial Supplies Not Elsewhere Classi	WIRE ROPE CLIPS	
"PARKS, FORESTRY & RECREATION"	2449-20	04-10-2013	04-11-2013	HANFORD LUMBER LIMITED	126.79	CAD	126.79	CAD	2531	LUMBER	P00264	E-CENTRAL2-TURF&HORT	5211	"Building Materials, Lumber Stores"	PRESSURE TREATED WOOD	
"PARKS, FORESTRY & RECREATION"	2455-20	04-12-2013	04-15-2013	LOWES #02494*	13.29	CAD	13.29	CAD	2710	GENERAL HARDWARE	P00264	E-CENTRAL2-TURF&HORT	5200	Home Supply Warehouse	12HOT GALV SPIRAL SPIKES PC	
"PARKS, FORESTRY & RECREATION"	2459-19	04-15-2013	04-17-2013	THE HOME DEPOT #7027	68.88	CAD	68.88	CAD	2710	GENERAL HARDWARE	P00264	E-CENTRAL2-TURF&HORT	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2459-20	04-16-2013	04-17-2013	LOWES #02494*	37.56	CAD	37.56	CAD	2710	GENERAL HARDWARE	P00264	E-CENTRAL2-TURF&HORT	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2465-26	04-19-2013	04-22-2013	CTF SUPPLY (08)	219.13	CAD	219.13	CAD	2710	GENERAL HARDWARE	P00263	E-CENTRAL1-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	CARR BOLT	
"PARKS, FORESTRY & RECREATION"	2468-19	04-22-2013	04-24-2013	CTF SUPPLY (08)	78.70	CAD	78.70	CAD	2715	PAINT SUPPLIES	P00264	E-CENTRAL2-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	PAINT MARKER	
"PARKS, FORESTRY & RECREATION"	2469-22	04-24-2013	04-25-2013	INTERLINE WHOLESALE HA	112.95	CAD	112.95	CAD	3080	M & E - HAND TOOLS	P00833	TECH SERV. 3-PARKS C	5072	Hardware Equipment and Supplies	MATERIALS	
"PARKS, FORESTRY & RECREATION"	2473-29	04-26-2013	04-29-2013	DURHAM FARMERS COUNTY	98.34	CAD	98.34	CAD	2710	GENERAL HARDWARE	P00264	E-CENTRAL2-TURF&HORT	0763	Agricultural Cooperatives	NAILS	
"PARKS, FORESTRY & RECREATION"	2475-20	04-26-2013	04-30-2013	MCGOWAN FENCE   SUPPLY	33.90	CAD	33.90	CAD	3080	M & E - HAND TOOLS	P00833	TECH SERV. 3-PARKS C	5051	Metal Service Centers and Offices	HAND DIGGER HANDLE	
					834.69	CAD	834.69	CAD								
"PARKS, FORESTRY & RECREATION"	2465-27	04-19-2013	04-22-2013	CUSTOM COVERS BY ROBER	107.35	CAD	107.35	CAD	2710	GENERAL HARDWARE	P00430	N-EAST-WINTER MAINT	5999	Miscellaneous and Specialty Retail Store	TRAP STRAPS	
					107.35	CAD	107.35	CAD								
"PARKS, FORESTRY & RECREATION"	2451-17	04-11-2013	04-12-2013	FUTURE SHOP #53	22.76	CAD	22.76	CAD	3020	M & E - COMMUNICATIONS	P12005	LASTMAN SQ-AIRS-OPS	5732	Electronic Sales	RADIO	
"PARKS, FORESTRY & RECREATION"	2455-21	04-13-2013	04-15-2013	THE SOURCE 5102	51.01	CAD	51.01	CAD	3099	GENERAL EQUIPMENT	P12005	LASTMAN SQ-AIRS-OPS	5732	Electronic Sales	SOUND EQUIPMENT FOR SQUARE MUSIC	
"PARKS, FORESTRY & RECREATION"	2455-22	04-12-2013	04-15-2013	FUTURE SHOP #53	-22.76	CAD	-22.76	CAD	3020	M & E - COMMUNICATIONS	P12005	LASTMAN SQ-AIRS-OPS	5732	Electronic Sales	RETURNED RADIO	
					51.01	CAD	51.01	CAD								
"PARKS, FORESTRY & RECREATION"	2443-44	04-05-2013	04-08-2013	BRAFASCO / SCARBOROUGH	107.94	CAD	107.94	CAD	2499	OTHER CHEMICALS	P03651	TECH SERV. 2-FACILIT	5085	Industrial Supplies Not Elsewhere Classi	ANTI CORROSION LUBRICANTS	
"PARKS, FORESTRY & RECREATION"	2447-24	04-08-2013	04-10-2013	THE HOME DEPOT #7001	64.37	CAD	64.37	CAD	2575	ELECTRICAL SUPPLIES	P03651	TECH SERV. 2-FACILIT	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2451-18	04-10-2013	04-12-2013	THE HOME DEPOT #7001	40.72	CAD	40.72	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P03651	TECH SERV. 2-FACILIT	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2456-14	04-15-2013	04-16-2013	G.K. CHEMICAL SPECIALT	72.09	CAD	72.09	CAD	3025	M & E - JANITORIAL	P00268	E-NORTH2-TURF&HORT	5169	Chemicals and Allied Products Not Elsewh	SANITARY NAPKIN DISPOSAL UNIT	
"PARKS, FORESTRY & RECREATION"	2459-21	04-15-2013	04-17-2013	THE HOME DEPOT #7107	20.32	CAD	20.32	CAD	2535	PLUMBING SUPPLIES	P03651	TECH SERV. 2-FACILIT	5200	Home Supply Warehouse	TOILETSEAT	
"PARKS, FORESTRY & RECREATION"	2473-30	04-25-2013	04-29-2013	THE HOME DEPOT #7027	30.35	CAD	30.35	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P03651	TECH SERV. 2-FACILIT	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2475-21	04-29-2013	04-30-2013	G.K. CHEMICAL SPECIALT	186.45	CAD	186.45	CAD	2570	JANITORIAL SUPPLIES	P03651	TECH SERV. 2-FACILIT	5169	Chemicals and Allied Products Not Elsewh	DISPENSER SOAP	
"PARKS, FORESTRY & RECREATION"	2476-27	04-29-2013	05-01-2013	THE HOME DEPOT #7107	64.89	CAD	64.89	CAD	2535	PLUMBING SUPPLIES	P03651	TECH SERV. 2-FACILIT	5200	Home Supply Warehouse	*****	
					587.13	CAD	587.13	CAD								
TORONTO WATER	2469-23	04-23-2013	04-25-2013	CDN TIRE STORE #00175	245.26	CAD	245.26	CAD	2710	GENERAL HARDWARE	WW1081	HCTP SOLIDS TRT WA1	5200	Home Supply Warehouse	TOOLS	
TORONTO WATER	2469-24	04-23-2013	04-25-2013	CDN TIRE STORE #00427	28.89	CAD	28.89	CAD	2710	GENERAL HARDWARE	WW1081	HCTP SOLIDS TRT WA1	5200	Home Supply Warehouse	TOOLS	
					274.15	CAD	274.15	CAD								
TORONTO WATER	2476-28	04-30-2013	05-01-2013	LOWES #02633*	16.92	CAD	16.92	CAD	2710	GENERAL HARDWARE	PW1016	WATER SUPPLY ADMIN	5200	Home Supply Warehouse	*****	
					16.92	CAD	16.92	CAD								
"PARKS, FORESTRY & RECREATION"	2451-19	04-11-2013	04-12-2013	NO FRILL'S #1306	53.49	CAD	53.49	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06462	JOHN ENGLISH CS-ARTS	5411	"Grocery Stores, Supermarkets"	"BUTTER,LARGE EGGS,STRAWBERRIES,CHEDDAR,CHIVES"	
"PARKS, FORESTRY & RECREATION"	2468-20	04-22-2013	04-24-2013	WMT SUPRCTR #1126	64.10	CAD	64.10	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06518	JOHN ENGLISH CS-PGM	5411	"Grocery Stores, Supermarkets"	SUPPLIES - OFFICE AND SPRING PROGRAMS	
"PARKS, FORESTRY & RECREATION"	2470-19	04-25-2013	04-26-2013	NO FRILLS MARIO   SELI	20.14	CAD	20.14	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06462	JOHN ENGLISH CS-ARTS	5411	"Grocery Stores, Supermarkets"	"YEAST,LARGE EGGS,BANANAS,PINEAPPLES,CANTALOUPE"	
"PARKS, FORESTRY & RECREATION"	2481-28	05-02-2013	05-03-2013	NO FRILLS MARIO   SELI	15.64	CAD	15.64	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06462	JOHN ENGLISH CS-ARTS	5411	"Grocery Stores, Supermarkets"	"MILK, NUTELLA,BANANAS,STRAWBERRIES"	
					153.37	CAD	153.37	CAD								
"PARKS, FORESTRY & RECREATION"	2475-22	04-29-2013	04-30-2013	LIFESAVING SOCIETY	209.39	CAD	209.39	CAD	2082	HEALTH & SAFETY SUPPLIES	P02809	GUS RYDER POOL-INSTR	8641	"Associations - Civic, Social, and Frater"	"GAUZE, FIRST AID POCKET GUIDE"	
					209.39	CAD	209.39	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2441-27	04-03-2013	04-05-2013	PAYPAL *CANADIANAOR	100.00	CAD	100.00	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	AH0088	HS-MH-PRS-METRO HALL	8398	"Organizations, Charitable and Social Ser"	SUBSCRIPTION	
					100.00	CAD	100.00	CAD								
"PARKS, FORESTRY & RECREATION"	2445-12	04-08-2013	04-09-2013	PAUL WOLF ELECTRIC   L	227.81	CAD	227.81	CAD	2575	ELECTRICAL SUPPLIES	P07724	MATTY ECKLER-OPERATI	5065	Electrical Parts and Equipment	UNDERWATER LIGHTBULBS	
"PARKS, FORESTRY & RECREATION"	2445-13	04-08-2013	04-09-2013	PAUL WOLF ELECTRIC   L	52.34	CAD	52.34	CAD	2575	ELECTRICAL SUPPLIES	P06732	MAIN SQ CC-OPERATION	5065	Electrical Parts and Equipment	LIGHTS FOR MAIN SQUARE LOBBY	
"PARKS, FORESTRY & RECREATION"	2451-20	04-10-2013	04-12-2013	THE HOME DEPOT #7001	95.94	CAD	95.94	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P13455	FACILITY OPS - REGENT PARK AQUATIC CNT	5200	Home Supply Warehouse	HOOK 1	
"PARKS, FORESTRY & RECREATION"	2455-23	04-10-2013	04-15-2013	THE HOME DEPOT #7012	106.60	CAD	106.60	CAD	2570	JANITORIAL SUPPLIES	P07865	STAN WADLOW COMPLEX-	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2455-24	04-10-2013	04-15-2013	THE HOME DEPOT #7012	36.67	CAD	36.67	CAD	2570	JANITORIAL SUPPLIES	P13455	FACILITY OPS - REGENT PARK AQUATIC CNT	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2455-25	04-11-2013	04-15-2013	THE HOME DEPOT #7080	28.24	CAD	28.24	CAD	3320	FIXTURES	P13455	FACILITY OPS - REGENT PARK AQUATIC CNT	5200	Home Supply Warehouse	WALL RACK	
"PARKS, FORESTRY & RECREATION"	2465-28	04-18-2013	04-22-2013	HAYWARD POOL PRODUCTS	137.86	CAD	137.86	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P13455	FACILITY OPS - REGENT PARK AQUATIC CNT	5996	Swimming Pools - Sales and Supplies	CLEANER REPAIR	
"PARKS, FORESTRY & RECREATION"	2470-20	04-24-2013	04-26-2013	CDN TIRE STORE #00654	40.62	CAD	40.62	CAD	2570	JANITORIAL SUPPLIES	P07722	JIMMIE SIMPSON-OPERA	5200	Home Supply Warehouse	POOL SKIMMER	
"PARKS, FORESTRY & RECREATION"	2470-21	04-25-2013	04-26-2013	WATER AND ICE NORTH AM	146.00	CAD	146.00	CAD	2570	JANITORIAL SUPPLIES	P13455	FACILITY OPS - REGENT PARK AQUATIC CNT	5996	Swimming Pools - Sales and Supplies	SPECIALIZED PH TEST KIT	
					872.08	CAD	872.08	CAD								
"PARKS, FORESTRY & RECREATION"	2441-28	04-04-2013	04-05-2013	METAL SUPERMARKETS (SC	23.55	CAD	23.55	CAD	2532	STEEL	P12856	RAVWTRMAINT	5051	Metal Service Centers and Offices	HOT ROLLED ANGLE	
"PARKS, FORESTRY & RECREATION"	2443-45	04-05-2013	04-08-2013	METAL SUPERMARKETS (SC	184.58	CAD	184.58	CAD	2532	STEEL	P12856	RAVWTRMAINT	5051	Metal Service Centers and Offices	WELDED WIRE MESH	
"PARKS, FORESTRY & RECREATION"	2443-46	04-05-2013	04-08-2013	INTERLINE WHOLESALE HA	113.00	CAD	113.00	CAD	3080	M & E - HAND TOOLS	P00833	TECH SERV. 3-PARKS C	5072	Hardware Equipment and Supplies	TOOLS	
"PARKS, FORESTRY & RECREATION"	2443-47	04-05-2013	04-08-2013	CTF SUPPLY (08)	11.87	CAD	11.87	CAD	2710	GENERAL HARDWARE	P12856	RAVWTRMAINT	5085	Industrial Supplies Not Elsewhere Classi	RAPID TAP CUTTING FLUID	
"PARKS, FORESTRY & RECREATION"	2451-21	04-10-2013	04-12-2013	THE HOME DEPOT #7001	11.49	CAD	11.49	CAD	2710	GENERAL HARDWARE	P07645	DENTONIA-OPERATIONS	5200	Home Supply Warehouse	BLK WIRE	
"PARKS, FORESTRY & RECREATION"	2456-15	04-15-2013	04-16-2013	METAL SUPERMARKETS (SC	238.14	CAD	238.14	CAD	2532	STEEL	P00268	E-NORTH2-TURF&HORT	5051	Metal Service Centers and Offices	HR STANDARD CHANNEL	
"PARKS, FORESTRY & RECREATION"	2456-16	04-15-2013	04-16-2013	METAL SUPERMARKETS (SC	193.06	CAD	193.06	CAD	2532	STEEL	P12856	RAVWTRMAINT	5051	Metal Service Centers and Offices	HOT ROLLED ANGLE	
"PARKS, FORESTRY & RECREATION"	2462-20	04-18-2013	04-19-2013	YAYANG DESIGNS INC.	56.27	CAD	56.27	CAD	2710	GENERAL HARDWARE	P12856	RAVWTRMAINT	5965	Direct Marketing - Combination Catalog a	HINGES	
"PARKS, FORESTRY & RECREATION"	2475-23	04-29-2013	04-30-2013	METAL SUPERMARKETS (SC	310.43	CAD	310.43	CAD	2532	STEEL	P12856	RAVWTRMAINT	5051	Metal Service Centers and Offices	HSST SQUARE	
					"1,142.39"	CAD	"1,142.39"	CAD								
