Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose
					"3,515.59"	CAD	"3,515.59"	CAD							
TORONTO WATER	2789-23	2013-12-09	2013-12-11	CDN TIRE STORE #00182	10.16	CAD	10.16	CAD	2485	SUPPLIES - GAS/ODOUR CONTROL	TW7075	WTR TREAT & SUPPLY: SYSTEM CONTROL	5200	Home Supply Warehouse	10L GAS CAN
					10.16	CAD	10.16	CAD							
"PARKS, FORESTRY & RECREATION"	2773-43	2013-11-28	2013-12-02	CDN TIRE STORE #00654	25.28	CAD	25.28	CAD	2710	GENERAL HARDWARE	P00152	C-WATERFRONT3-TURF&HORT	5200	Home Supply Warehouse	"LOCK NUTS,PLASTIC PALES"
"PARKS, FORESTRY & RECREATION"	2776-32	2013-12-02	2013-12-04	THE HOME DEPOT #7080	87.36	CAD	87.36	CAD	2710	GENERAL HARDWARE	P00152	C-WATERFRONT3-TURF&HORT	5200	Home Supply Warehouse	**MORE**  BOLT
"PARKS, FORESTRY & RECREATION"	2785-54	2013-12-05	2013-12-09	THE HOME DEPOT #7012	218.87	CAD	218.87	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00152	C-WATERFRONT3-TURF&HORT	5200	Home Supply Warehouse	"**MORE**  12"" POIN TRE"
"PARKS, FORESTRY & RECREATION"	2791-26	2013-12-10	2013-12-12	THE HOME DEPOT #7080	48.18	CAD	48.18	CAD	2710	GENERAL HARDWARE	P00152	C-WATERFRONT3-TURF&HORT	5200	Home Supply Warehouse	**MORE**  SCREWS
					379.69	CAD	379.69	CAD							
"PARKS, FORESTRY & RECREATION"	2781-32	2013-12-04	2013-12-06	WMT SUPRCTR #1126	71.65	CAD	71.65	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01701	G&I RISK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	AFTER SCHOOL PROGRAM SUPPLIES
"PARKS, FORESTRY & RECREATION"	2791-27	2013-12-10	2013-12-12	WMT SUPRCTR #1126	70.35	CAD	70.35	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01701	G&I RISK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	AFTER SCHOOL PROGRAM COOKING SUPPLIES
"PARKS, FORESTRY & RECREATION"	2795-56	2013-12-12	2013-12-16	CDN TIRE STORE #00294	17.61	CAD	17.61	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01701	G&I RISK-SOCIAL PRGM	5200	Home Supply Warehouse	AFTER SCHOOL SUPPLIES
"PARKS, FORESTRY & RECREATION"	2800-19	2013-12-18	2013-12-19	FORTINOS 66	67.12	CAD	67.12	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01701	G&I RISK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	AFTER SCHOOL PROGRAM COOKING SUPPLIES
"PARKS, FORESTRY & RECREATION"	2800-20	2013-12-18	2013-12-19	FORTINOS 66	67.12	CAD	67.12	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01701	G&I RISK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	AFTER SCHOOL PROGRAM COOKING SUPPLIES
"PARKS, FORESTRY & RECREATION"	2800-21	2013-12-18	2013-12-19	FORTINOS 66	-67.12	CAD	-67.12	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01701	G&I RISK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	CREDIT FOOD ITEMS
"PARKS, FORESTRY & RECREATION"	2801-29	2013-12-17	2013-12-20	WMT SUPRCTR #1126	64.23	CAD	64.23	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01701	G&I RISK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	AFTER SCHOOL PROGRAM COOKING SUPPLIES
					290.96	CAD	290.96	CAD							
TORONTO WATER	2773-44	2013-11-27	2013-12-02	JJ DOWNS INDUSTRIAL	386.35	CAD	386.35	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW4070	WW TREATMNT:  HUMBER TP - WORK AREA 1  S	5085	Industrial Supplies Not Elsewhere Classi	FILTER CAGE
TORONTO WATER	2791-28	2013-12-10	2013-12-12	HONIG INDUSTRIAL EQUIP	228.46	CAD	228.46	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW4070	WW TREATMNT:  HUMBER TP - WORK AREA 1  S	5969	Direct Marketing - Other Direct Marketer	PARTS- PRO PART-OFF BLADE
TORONTO WATER	2791-29	2013-12-10	2013-12-12	HONIG INDUSTRIAL EQUIP	85.43	CAD	85.43	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW4070	WW TREATMNT:  HUMBER TP - WORK AREA 1  S	5969	Direct Marketing - Other Direct Marketer	CHUCKING REAMER
TORONTO WATER	2804-33	2013-12-19	2013-12-23	THE HOME DEPOT #7011	69.50	CAD	69.50	CAD	2710	GENERAL HARDWARE	TW4070	WW TREATMNT:  HUMBER TP - WORK AREA 1  S	5200	Home Supply Warehouse	4X8-3/4 SPRU
TORONTO WATER	2808-14	2013-12-23	2013-12-27	APPLIED INDUSTRIAL TEC	164.21	CAD	164.21	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW4070	WW TREATMNT:  HUMBER TP - WORK AREA 1  S	5085	Industrial Supplies Not Elsewhere Classi	PARTS - FALK/WRAPFLEX
					933.95	CAD	933.95	CAD							
"PARKS, FORESTRY & RECREATION"	2785-55	2013-12-05	2013-12-09	WAL-MART #3159	40.32	CAD	40.32	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P09688	BRDLANDS CC-INSTRL	5411	"Grocery Stores, Supermarkets"	STICKERS FOR CHILDREN'S PROGAM
					40.32	CAD	40.32	CAD							
"PARKS, FORESTRY & RECREATION"	2785-56	2013-12-07	2013-12-09	SOBEYS #938        QPS	24.67	CAD	24.67	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5411	"Grocery Stores, Supermarkets"	FOOD FOR PROGRAM
"PARKS, FORESTRY & RECREATION"	2789-24	2013-12-10	2013-12-11	DOLLAR TREE #40159	21.19	CAD	21.19	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5331	Variety Stores	"EVENT SUPPLIES:COOKIE DECORATING CRAFTS,TRAYS,BOWL"
"PARKS, FORESTRY & RECREATION"	2791-30	2013-12-11	2013-12-12	NOFRILLS COSIMO'S #347	36.21	CAD	36.21	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5411	"Grocery Stores, Supermarkets"	EVENT BAKING SUPPLIES
"PARKS, FORESTRY & RECREATION"	2795-57	2013-12-12	2013-12-16	METRO #37	10.52	CAD	10.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5411	"Grocery Stores, Supermarkets"	"DHINES ICING, ZIPLOC BAGS"
"PARKS, FORESTRY & RECREATION"	2795-58	2013-12-14	2013-12-16	SOBEYS #938        QPS	41.97	CAD	41.97	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5411	"Grocery Stores, Supermarkets"	KITCHEN SUPPLIES
					134.56	CAD	134.56	CAD							
"PARKS, FORESTRY & RECREATION"	2798-39	2013-12-16	2013-12-18	SETON	959.13	CAD	959.13	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00859	ALNESS YD-YARD OPERNS	5099	Durable Goods Not Elsewhere Classified	**MORE**  MODULAR SPILL PLATFORM-2 RUM
					959.13	CAD	959.13	CAD							
"PARKS, FORESTRY & RECREATION"	2773-45	2013-11-29	2013-12-02	WAL-MART # 3105	47.26	CAD	47.26	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11858	FAIRBANK CC-SOCIAL PRGM	5310	Discount Stores	GATORADE MIX
"PARKS, FORESTRY & RECREATION"	2791-31	2013-12-11	2013-12-12	ARDENE #453	309.34	CAD	309.34	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06454	FAIRBANK CC-ARTS-VISL/PERF	5631	Women's Accessory and Specialty Stores	HIP HOP COSTUMES
"PARKS, FORESTRY & RECREATION"	2800-22	2013-12-18	2013-12-19	TUCKERS POTTERY SUPPLI	72.32	CAD	72.32	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06454	FAIRBANK CC-ARTS-VISL/PERF	5970	"Artist Supply Stores, Craft Shops"	GLAZES
"PARKS, FORESTRY & RECREATION"	2804-34	2013-12-20	2013-12-23	J   J CRAFTS	728.78	CAD	728.78	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06454	FAIRBANK CC-ARTS-VISL/PERF	5970	"Artist Supply Stores, Craft Shops"	SOCCER & BASKETBALL MEDALS
					"1,157.70"	CAD	"1,157.70"	CAD							
"PARKS, FORESTRY & RECREATION"	2780-30	2013-12-03	2013-12-05	METRO #702	19.80	CAD	19.80	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12051	PARKLAWN-COMM CTR-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD FOR PROGRAM
					19.80	CAD	19.80	CAD							
"PARKS, FORESTRY & RECREATION"	2774-18	2013-11-29	2013-12-03	CDN TIRE STORE #00459	103.89	CAD	103.89	CAD	2665	PROTECTIVE CLOTHING	P10755	BROWN-LEISURE/PBLC	5200	Home Supply Warehouse	HOCKEY HELMETS & WHISTLES
"PARKS, FORESTRY & RECREATION"	2800-23	2013-12-17	2013-12-19	CDN TIRE STORE #00459	101.68	CAD	101.68	CAD	2665	PROTECTIVE CLOTHING	P10755	BROWN-LEISURE/PBLC	5200	Home Supply Warehouse	HOCKEY HELMETS
					205.57	CAD	205.57	CAD							
"PARKS, FORESTRY & RECREATION"	2776-33	2013-12-03	2013-12-04	STAPLES #2	10.10	CAD	10.10	CAD	2650	COMPUTER AND PRINTER SUPPLIES	P12075	HOLLYCREST-COMM CTR-PRGM SUPPORT	5943	"Office, School Supply, and Stationery St"	COMPUTER STICK 16GB
"PARKS, FORESTRY & RECREATION"	2776-34	2013-12-03	2013-12-04	FITNESS AV	241.82	CAD	241.82	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P12075	HOLLYCREST-COMM CTR-PRGM SUPPORT	5046	Commercial Equipment Not Elsewhere Class	FITNESS HEADSET FOR PROGRAM
"PARKS, FORESTRY & RECREATION"	2781-33	2013-12-04	2013-12-06	JACK WATSON SPORTS INC	162.72	CAD	162.72	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12075	HOLLYCREST-COMM CTR-PRGM SUPPORT	5941	Sporting Goods Stores	BASKETBALLS
"PARKS, FORESTRY & RECREATION"	2787-24	2013-12-06	2013-12-10	CDN TIRE STORE #00070	44.02	CAD	44.02	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12075	HOLLYCREST-COMM CTR-PRGM SUPPORT	5200	Home Supply Warehouse	COOKING ITEMS
"PARKS, FORESTRY & RECREATION"	2800-24	2013-12-18	2013-12-19	NOFRILLS CHRIS 273	21.99	CAD	21.99	CAD	2570	JANITORIAL SUPPLIES	P12075	HOLLYCREST-COMM CTR-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"DUSTER REFILLS, TISSUE"
"PARKS, FORESTRY & RECREATION"	2801-30	2013-12-19	2013-12-20	STAPLES #11	28.17	CAD	28.17	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P12075	HOLLYCREST-COMM CTR-PRGM SUPPORT	5943	"Office, School Supply, and Stationery St"	BLK/WHITE LABEL RIBBON
					508.82	CAD	508.82	CAD							
TORONTO WATER	2773-46	2013-11-29	2013-12-02	OWPSACSTATE	146.43	CAD	135.00	USD	4310	TRAINING & DEVELOPMENT - EXTERNAL	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	8398	"Organizations, Charitable and Social Ser"	EFFECTIVE UTILITY LEASDERSHIP COURSE
					146.43	CAD	135.00	USD							
"PARKS, FORESTRY & RECREATION"	2780-31	2013-12-03	2013-12-05	RONA # 55130	49.16	CAD	49.16	CAD	2730	LOCKS	P00091	ROCKLIFF-PRUNING/REMOVAL	5251	Hardware Stores	KEYS CUT
					49.16	CAD	49.16	CAD							
"PARKS, FORESTRY & RECREATION"	2773-47	2013-11-29	2013-12-02	YOUR DOLLAR STORE WITH	13.56	CAD	13.56	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04318	EARL BALES-HOLIDAY CAMPS	5310	Discount Stores	
					13.56	CAD	13.56	CAD							
PUBLIC HEALTH	2780-32	2013-12-04	2013-12-05	NORTH YORK GENERAL HOS	359.49	CAD	359.49	CAD	2824	PRESCRIPTION DRUGS	PH4021	TUBERCULOSIS PROGRAM	8062	Hospitals	PRESCRIPTION DRUGS
PUBLIC HEALTH	2780-33	2013-12-04	2013-12-05	NORTH YORK GENERAL HOS	815.35	CAD	815.35	CAD	2824	PRESCRIPTION DRUGS	PH4021	TUBERCULOSIS PROGRAM	8062	Hospitals	PRESCRIPTION DRUGS
PUBLIC HEALTH	2808-15	2013-12-24	2013-12-27	O/P PHARMACY -SUNNYBRO	863.98	CAD	863.98	CAD	2824	PRESCRIPTION DRUGS	PH4021	TUBERCULOSIS PROGRAM	8062	Hospitals	PRESCRIPTION DRUGS
					"2,038.82"	CAD	"2,038.82"	CAD							
"PARKS, FORESTRY & RECREATION"	2773-48	2013-11-30	2013-12-02	BUCK A ROO	28.50	CAD	28.50	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12148	JENNER J MARIE CC-PRGM SUPPORT	5310	Discount Stores	PROGRAM SUPPLIES
"PARKS, FORESTRY & RECREATION"	2774-19	2013-11-29	2013-12-03	FOOD BASICS #672	13.50	CAD	13.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12148	JENNER J MARIE CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD FOR PROGRAM
"PARKS, FORESTRY & RECREATION"	2785-57	2013-12-06	2013-12-09	THE HOME DEPOT #7073	21.46	CAD	21.46	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12148	JENNER J MARIE CC-PRGM SUPPORT	5200	Home Supply Warehouse	ENRGZR AA-24
"PARKS, FORESTRY & RECREATION"	2789-25	2013-12-07	2013-12-11	FOOD BASICS #672	39.39	CAD	39.39	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12148	JENNER J MARIE CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM SUPPLIES
"PARKS, FORESTRY & RECREATION"	2795-59	2013-12-12	2013-12-16	YOUR DOLLAR STORE WITH	17.52	CAD	17.52	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12148	JENNER J MARIE CC-PRGM SUPPORT	5999	Miscellaneous and Specialty Retail Store	GIRLS PROGRAM ART SUPPLIES
"PARKS, FORESTRY & RECREATION"	2795-60	2013-12-12	2013-12-16	PARTY CITY #2027	51.95	CAD	51.95	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12148	JENNER J MARIE CC-PRGM SUPPORT	5947	"Card, Gift, Novelty, and Souvenir Shops"	SPECIAL EVENT TABLES COVERS & DECOR
"PARKS, FORESTRY & RECREATION"	2798-40	2013-12-16	2013-12-18	TARGET CANADA T3742	29.36	CAD	29.36	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P12148	JENNER J MARIE CC-PRGM SUPPORT	5310	Discount Stores	STAPLERS
"PARKS, FORESTRY & RECREATION"	2798-41	2013-12-17	2013-12-18	STRAIGHT POKER SUPPLIE	107.29	CAD	107.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12148	JENNER J MARIE CC-PRGM SUPPORT	5941	Sporting Goods Stores	"SPECIAL EVENT, POPCORN,CANDY FLOSS"
"PARKS, FORESTRY & RECREATION"	2801-31	2013-12-19	2013-12-20	PEEK FREEN BAKERY	11.00	CAD	11.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12148	JENNER J MARIE CC-PRGM SUPPORT	5462	Bakeries	"SPECIAL EVENT,COOKIES"
"PARKS, FORESTRY & RECREATION"	2806-22	2013-12-20	2013-12-24	FOOD BASICS #672	5.89	CAD	5.89	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12148	JENNER J MARIE CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	SPECIAL EVENT CUPS
"PARKS, FORESTRY & RECREATION"	2806-23	2013-12-21	2013-12-24	CDN TIRE STORE #00459	152.52	CAD	152.52	CAD	2610	KITCHEN SUPPLIES	P12148	JENNER J MARIE CC-PRGM SUPPORT	5200	Home Supply Warehouse	COFFEE URNS & POWER CORD
					478.38	CAD	478.38	CAD							
"PARKS, FORESTRY & RECREATION"	2801-32	2013-12-19	2013-12-20	STAPLES #12	79.04	CAD	79.04	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P08499	THISTLETOWN SC-PRGM SUPPORT	5943	"Office, School Supply, and Stationery St"	CALENDARS
					79.04	CAD	79.04	CAD							
"PARKS, FORESTRY & RECREATION"	2780-34	2013-12-04	2013-12-05	LOCK UP SERVICES	128.14	CAD	128.14	CAD	2730	LOCKS	P00530	S-WEST 1-PRGM SUPPORT	7399	Business Services - Not Elsewhere Classi	KEYS CUT
"PARKS, FORESTRY & RECREATION"	2798-42	2013-12-16	2013-12-18	CDN TIRE STORE #00654	192.09	CAD	192.09	CAD	2710	GENERAL HARDWARE	P00530	S-WEST 1-PRGM SUPPORT	5200	Home Supply Warehouse	200 AMP BATTERY CHARGER
					320.23	CAD	320.23	CAD							
"PARKS, FORESTRY & RECREATION"	2773-49	2013-11-29	2013-12-02	CROZIER ENTERPRISES LT	411.07	CAD	411.07	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P00898	KIPLING YD-PARKS CONSTR	5941	Sporting Goods Stores	"GAME TIME SET SCREW, SINGLE SEAT"
"PARKS, FORESTRY & RECREATION"	2791-32	2013-12-10	2013-12-12	THE HOME DEPOT #7011	100.60	CAD	100.60	CAD	3080	M & E - HAND TOOLS	P00898	KIPLING YD-PARKS CONSTR	5200	Home Supply Warehouse	**MORE**  HEAT GUN
"PARKS, FORESTRY & RECREATION"	2793-26	2013-12-12	2013-12-13	ABC RECREATION LTD	923.94	CAD	923.94	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P00898	KIPLING YD-PARKS CONSTR	5021	Office and Commercial Furniture	MOTORCYCLE SPRING TOY PARTS
"PARKS, FORESTRY & RECREATION"	2812-14	2013-12-30	2013-12-31	PAYPAL *NEWWORLDPAR	748.93	CAD	748.93	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P00898	KIPLING YD-PARKS CONSTR	5941	Sporting Goods Stores	5.0 IN SWING HANGER W/ HARDWARE
					"2,184.54"	CAD	"2,184.54"	CAD							
"PARKS, FORESTRY & RECREATION"	2774-20	2013-11-29	2013-12-03	CDN TIRE STORE #00192	58.45	CAD	58.45	CAD	2710	GENERAL HARDWARE	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5200	Home Supply Warehouse	"MEASURING TAPE, CLAMP"
"PARKS, FORESTRY & RECREATION"	2776-35	2013-12-02	2013-12-04	THE HOME DEPOT #7078	145.71	CAD	145.71	CAD	*****	MISCELLANEOUS MATERIALS & SUPPLIES	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5200	Home Supply Warehouse	**MORE**  WOOD GLUE
"PARKS, FORESTRY & RECREATION"	2785-58	2013-12-06	2013-12-09	STAPLES #1	70.69	CAD	70.69	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5943	"Office, School Supply, and Stationery St"	"FILE FOLDER,BATTERIES,14TH MTH DESK CALENDAR"
					274.85	CAD	274.85	CAD							
"PARKS, FORESTRY & RECREATION"	2808-16	2013-12-23	2013-12-27	DRAGLAM SALT	"1,579.06"	CAD	"1,579.06"	CAD	2410	DE - ICERS	NP3230	2013 ICE STORM	5169	Chemicals and Allied Products Not Elsewh	ROCK SALT - STORM RELATED
"PARKS, FORESTRY & RECREATION"	2808-17	2013-12-23	2013-12-27	DRAGLAM SALT	"1,662.05"	CAD	"1,662.05"	CAD	2410	DE - ICERS	NP3230	2013 ICE STORM	5169	Chemicals and Allied Products Not Elsewh	ROCK SALT - STORM RELATED
"PARKS, FORESTRY & RECREATION"	2808-18	2013-12-23	2013-12-27	DRAGLAM SALT	"1,602.11"	CAD	"1,602.11"	CAD	2410	DE - ICERS	NP3230	2013 ICE STORM	5169	Chemicals and Allied Products Not Elsewh	ROCK SALT - STORM RELATED
					"4,843.22"	CAD	"4,843.22"	CAD							
"PARKS, FORESTRY & RECREATION"	2773-50	2013-11-29	2013-12-02	LOBLAWS #1010	8.52	CAD	8.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12444	RW-CA-SUMMER CAMPS-WN1 CLAREVILLE	5411	"Grocery Stores, Supermarkets"	FOOD FOR PROGRAM
"PARKS, FORESTRY & RECREATION"	2773-51	2013-11-30	2013-12-02	LOBLAWS #1010	28.14	CAD	28.14	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12444	RW-CA-SUMMER CAMPS-WN1 CLAREVILLE	5411	"Grocery Stores, Supermarkets"	FOOD FOR PROGRAM
"PARKS, FORESTRY & RECREATION"	2774-21	2013-12-02	2013-12-03	NOFRILLS ROSS 782	14.14	CAD	14.14	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12444	RW-CA-SUMMER CAMPS-WN1 CLAREVILLE	5411	"Grocery Stores, Supermarkets"	FOOD FOR PROGRAM
"PARKS, FORESTRY & RECREATION"	2774-22	2013-12-02	2013-12-03	NOFRILLS ROSS 782	32.80	CAD	32.80	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08146	AMESBURY CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	FOOD FOR PROGRAM
"PARKS, FORESTRY & RECREATION"	2785-59	2013-12-06	2013-12-09	WAL-MART #1004	20.06	CAD	20.06	CAD	2610	KITCHEN SUPPLIES	P08146	AMESBURY CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"NAPKINS, TABLECLOTH"
"PARKS, FORESTRY & RECREATION"	2785-60	2013-12-06	2013-12-09	WAL-MART #1004	11.02	CAD	11.02	CAD	2080	PHOTOGRAPHIC AND VIDEO SUPPLIES	P09679	AMESBURY CC-INSTRL	5411	"Grocery Stores, Supermarkets"	PHOTOS
"PARKS, FORESTRY & RECREATION"	2789-26	2013-12-09	2013-12-11	METRO #750	20.64	CAD	20.64	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08146	AMESBURY CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"CARROTS, CHICKEN DOGS, KOLBASA"
"PARKS, FORESTRY & RECREATION"	2791-33	2013-12-11	2013-12-12	AL GERVAIS CHAIR AND T	340.13	CAD	340.13	CAD	4590	RENTAL - OTHER	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	7394	"Equipment Rental and Leasing Services, F"	RENTAL- DISHES/LINENS FOR A&I HOLIDAY EVENING
"PARKS, FORESTRY & RECREATION"	2795-61	2013-12-11	2013-12-16	HUMAN KINETICS PUBLISH	53.27	CAD	53.27	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5192	"Books, Periodicals, and Newspapers"	BOOKS
"PARKS, FORESTRY & RECREATION"	2796-19	2013-12-16	2013-12-17	IMPERIAL HDWRE SUPPLY	18.01	CAD	18.01	CAD	2710	GENERAL HARDWARE	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5251	Hardware Stores	SUPPLIES FOR A&I HOLIDAY EVENT
"PARKS, FORESTRY & RECREATION"	2798-43	2013-12-14	2013-12-18	METRO #719	15.17	CAD	15.17	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08146	AMESBURY CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"CHIPITS, CAKE MIX"
"PARKS, FORESTRY & RECREATION"	2798-44	2013-12-16	2013-12-18	METRO #750	58.17	CAD	58.17	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08146	AMESBURY CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"CHEESE, CHIPITS, JUICE, CARROTS, KOLBASA"
"PARKS, FORESTRY & RECREATION"	2800-25	2013-12-18	2013-12-19	THORNCREST HOME HARDWA	39.39	CAD	39.39	CAD	2610	KITCHEN SUPPLIES	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5251	Hardware Stores	"NAPKINS, FUEL"
"PARKS, FORESTRY & RECREATION"	2800-26	2013-12-17	2013-12-19	ISLINGTON NURSERIES	67.66	CAD	67.66	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	7399	Business Services - Not Elsewhere Classi	FLOWERS FOR HOLIDAY EVENT
"PARKS, FORESTRY & RECREATION"	2804-35	2013-12-19	2013-12-23	METRO #750	51.38	CAD	51.38	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08146	AMESBURY CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"COOKIES, PEPPERONI, CARROTS, CHEESE"
"PARKS, FORESTRY & RECREATION"	2804-36	2013-12-19	2013-12-23	WAL-MART #1004	26.40	CAD	26.40	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04629	AMESBURY CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	CRAFT SUPPLIES
"PARKS, FORESTRY & RECREATION"	2808-19	2013-12-23	2013-12-27	HUMAN KINETICS PUBLISH	100.64	CAD	100.64	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5192	"Books, Periodicals, and Newspapers"	RESOURCE MATERIALS FOR A&I
"PARKS, FORESTRY & RECREATION"	2810-17	2013-12-27	2013-12-30	WAL-MART #1004	48.71	CAD	48.71	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04629	AMESBURY CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	CANDIES FOR HOLIDAY CAMP
"PARKS, FORESTRY & RECREATION"	2812-15	2013-12-29	2013-12-31	WAL-MART # 3105	46.92	CAD	46.92	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04629	AMESBURY CC-SUMMER CAMPS	5310	Discount Stores	"TOOTHPICKS,CANDIES, LICORICE, PLATES"
"PARKS, FORESTRY & RECREATION"	2812-16	2013-12-30	2013-12-31	RCSS WESTON 2800	55.08	CAD	55.08	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04629	AMESBURY CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	SPICE JARS
"PARKS, FORESTRY & RECREATION"	2812-17	2013-12-30	2013-12-31	DOLLAR TREE CANADA STO	5.65	CAD	5.65	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04629	AMESBURY CC-SUMMER CAMPS	5331	Variety Stores	"METALLIC BEADS, CONE HATS, HOLOGRAPHIC HORNS"
