Division,Batch-Transaction ID,Transaction Date,Card Posting Dt,Merchant Name,Transaction Amt.,Trx.Currency,Original Amount,Original Currency,G/L Account,Exp Type Desc,Cost Center / WBS Element / Order,Cost Center / WBS Element / Order Description,Merchant Type,Merchant Type Description,Purpose
FACILITIES MANAGEMENT,5754-53,2021-03-11,2021-03-15,THE HOME DEPOT #7001,90.38,CAD,90.38,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61674746,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5200,Home Supply Warehouse,MIL1/4-1-3/8
FACILITIES MANAGEMENT,5756-31,2021-03-15,2021-03-17,EXTRUDE-A-TRIM INC.,114.72,CAD,114.72,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61660795,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5039,Construction Materials Not Elsewhere Cla,ADHESIVE
FACILITIES MANAGEMENT,5764-47,2021-03-26,2021-03-29,G.K. CHEMICAL,82.49,CAD,82.49,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61675741,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,7349,"Cleaning and Maintenance, Janitorial Ser",TOILET DISPENSER
,,,,,"3,366.31",CAD,"3,366.31",CAD,,,,,,,
FIRE SERVICES,5745-21,2021-03-01,2021-03-03,2575198 ONTARIO INC/FL,68.13,CAD,68.13,CAD,2260,GASOLINE,FR0025,MECHANICAL MAINT-VEHICLE MAINT,5542,"Fuel Dispenser, Automated",FUEL
FIRE SERVICES,5749-46,2021-03-05,2021-03-08,2575198 ONTARIO INC/FL,67.01,CAD,67.01,CAD,2260,GASOLINE,FR0025,MECHANICAL MAINT-VEHICLE MAINT,5542,"Fuel Dispenser, Automated",FUEL
FIRE SERVICES,5754-54,2021-03-11,2021-03-15,GLEN ERIN ESSO,73.03,CAD,73.03,CAD,2260,GASOLINE,FR0025,MECHANICAL MAINT-VEHICLE MAINT,5542,"Fuel Dispenser, Automated",FUEL
FIRE SERVICES,5760-26,2021-03-21,2021-03-23,PETROCAN,61.02,CAD,61.02,CAD,2260,GASOLINE,FR0025,MECHANICAL MAINT-VEHICLE MAINT,5542,"Fuel Dispenser, Automated",FUEL
,,,,,269.19,CAD,269.19,CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5743-30,2021-02-28,2021-03-01,SHOPPER + INC.,118.63,CAD,118.63,CAD,2040,"PHOTOCOPY, FAX AND PRINTER SUPPLIES",P13495,YORK CC - PRGM SUPPORT CR,5965,Direct Marketing - Combination Catalog a,PRINTER DRUM CARTRIDGE
,,,,,118.63,CAD,118.63,CAD,,,,,,,
SOLID WASTE MANAGEMENT,5754-55,2021-03-12,2021-03-15,MECP-ASSESMENT & APRVL,"3,950.00",CAD,"3,950.00",CAD,4830,PERMIT & LICENSE FEES,SW0901,GREEN LANE LANDFILL,9399,Government Services - Not Elsewhere Clas,ECA AMENDMENT APPLICATION FEE FOR FLARE 4
,,,,,"3,950.00",CAD,"3,950.00",CAD,,,,,,,
ECONOMIC DEVELOPMENT & CULTURE,5748-30,2021-03-04,2021-03-05,WWW.IKEA.CA,37.28,CAD,37.28,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5712,"Equipment, Furniture, and Home Furnishin",MARCH 21 COVID COMMEMORATION SUPPLIES VASE SAMPLE
ECONOMIC DEVELOPMENT & CULTURE,5748-31,2021-03-05,2021-03-05,CRATE&BARREL/CB2  5914,67.74,CAD,67.74,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5719,Miscellaneous House Furnishing Specialty,"TO REIMBURSE THIS, THIS IS FOR PERSONA USE,"
ECONOMIC DEVELOPMENT & CULTURE,5750-20,2021-03-08,2021-03-09,AMZN MKTP US IR1CJ0I93,228.39,CAD,228.39,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5999,Miscellaneous and Specialty Retail Store,MARCH 21 COVID COMMEMORATION SUPPLIES - TEA LIGHTS
ECONOMIC DEVELOPMENT & CULTURE,5750-21,2021-03-08,2021-03-09,AMZN MKTP US Y20Y145S3,228.36,CAD,228.36,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5999,Miscellaneous and Specialty Retail Store,MARCH 21 COVID COMMEMORATION SUPPLIES - TEA LIGHTS
ECONOMIC DEVELOPMENT & CULTURE,5750-22,2021-03-08,2021-03-09,AMZN MKTP US A317M0353,228.39,CAD,228.39,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5999,Miscellaneous and Specialty Retail Store,MARCH 21 COVID COMMEMORATION SUPPLIES - TEA LIGHTS
ECONOMIC DEVELOPMENT & CULTURE,5750-23,2021-03-08,2021-03-09,AMZN MKTP US CG40Z1XO3,228.38,CAD,228.38,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5999,Miscellaneous and Specialty Retail Store,MARCH 21 COVID COMMEMORATION SUPPLIES - TEA LIGHTS
ECONOMIC DEVELOPMENT & CULTURE,5750-24,2021-03-08,2021-03-09,AMZN MKTP US MI63D1BG3,228.36,CAD,228.36,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5999,Miscellaneous and Specialty Retail Store,MARCH 21 COVID COMMEMORATION SUPPLIES - TEA LIGHTS
ECONOMIC DEVELOPMENT & CULTURE,5750-25,2021-03-08,2021-03-09,AMZN MKTP US O78CH4T23,228.38,CAD,228.38,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5999,Miscellaneous and Specialty Retail Store,MARCH 21 COVID COMMEMORATION SUPPLIES - TEA LIGHTS
ECONOMIC DEVELOPMENT & CULTURE,5750-26,2021-03-08,2021-03-09,AMZN MKTP US BF6NH9JI3,228.36,CAD,228.36,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5999,Miscellaneous and Specialty Retail Store,MARCH 21 COVID COMMEMORATION SUPPLIES - TEA LIGHTS
ECONOMIC DEVELOPMENT & CULTURE,5750-27,2021-03-08,2021-03-09,AMZN MKTP US Y23077H33,228.39,CAD,228.39,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5999,Miscellaneous and Specialty Retail Store,MARCH 21 COVID COMMEMORATION SUPPLIES - TEA LIGHTS
ECONOMIC DEVELOPMENT & CULTURE,5750-28,2021-03-08,2021-03-09,AMZN MKTP US HR3BM8TS3,228.38,CAD,228.38,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5999,Miscellaneous and Specialty Retail Store,MARCH 21 COVID COMMEMORATION SUPPLIES - TEA LIGHTS
ECONOMIC DEVELOPMENT & CULTURE,5751-30,2021-03-09,2021-03-10,WWW.IKEA.CA,45.18,CAD,45.18,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5712,"Equipment, Furniture, and Home Furnishin",MARCH 21 COVID COMMEMORATION SUPPLIES - PEDESTAL TABLE SAMPLES
ECONOMIC DEVELOPMENT & CULTURE,5752-35,2021-03-10,2021-03-11,MICHAELS #3990,45.19,CAD,45.19,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5945,"Game, Toy, and Hobby Shops",MARCH 21 COVID COMMEMORATION SUPPLIES - GLASS VASE
ECONOMIC DEVELOPMENT & CULTURE,5753-23,2021-03-10,2021-03-12,THE HOME DEPOT #7013,179.62,CAD,179.62,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5200,Home Supply Warehouse,LANTERN
ECONOMIC DEVELOPMENT & CULTURE,5753-24,2021-03-11,2021-03-12,MICHAELS CANADA #3496,31.63,CAD,31.63,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5970,"Artist Supply Stores, Craft Shops",MARCH 21 COVID COMMEMORATION SUPPLIES - GLASS VASE
ECONOMIC DEVELOPMENT & CULTURE,5754-56,2021-03-12,2021-03-15,THE HOME DEPOT #7013,-179.62,CAD,-179.62,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5200,Home Supply Warehouse,MARCH 21 COVID COMMEMORATION SUPPLIES - LANTERN SAMPLES RETURNED
ECONOMIC DEVELOPMENT & CULTURE,5754-57,2021-03-13,2021-03-15,POTTERY BARN 0742,76.84,CAD,76.84,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5719,Miscellaneous House Furnishing Specialty,MARCH 21 COVID COMMEMORATION SUPPLIES - PILLAR CANDLE SAMPLES
ECONOMIC DEVELOPMENT & CULTURE,5754-58,2021-03-12,2021-03-15,MICHAELS #4934,135.57,CAD,135.57,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5945,"Game, Toy, and Hobby Shops",MARCH 21 COVID COMMEMORATION SUPPLIES - GLASS VASE
ECONOMIC DEVELOPMENT & CULTURE,5754-59,2021-03-13,2021-03-15,MICHAELS #4936,31.63,CAD,31.63,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5945,"Game, Toy, and Hobby Shops",MARCH 21 COVID COMMEMORATION SUPPLIES - GLASS VASE
ECONOMIC DEVELOPMENT & CULTURE,5754-60,2021-03-12,2021-03-15,MICHAELS CANADA #3496,90.38,CAD,90.38,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5970,"Artist Supply Stores, Craft Shops",MARCH 21 COVID COMMEMORATION SUPPLIES - GLASS VASE
ECONOMIC DEVELOPMENT & CULTURE,5754-61,2021-03-13,2021-03-15,AMZN MKTP CA U94724XI3,18.99,CAD,18.99,CAD,4995,OTHER EXPENSES,SE0010,AC CE GENERAL ADMIN,4816,Computer Network/Information Services,MARCH 21 COVID COMMEMORATION SUPPLIES - FLAMELESS CANDLELIGHTER
ECONOMIC DEVELOPMENT & CULTURE,5754-62,2021-03-13,2021-03-15,AMZN MKTP CA GE35H8NJ3,23.99,CAD,23.99,CAD,4995,OTHER EXPENSES,SE0010,AC CE GENERAL ADMIN,4816,Computer Network/Information Services,MARCH 21 COVID COMMEMORATION SUPPLIES - FLAMELESS CANDLELIGHTER
ECONOMIC DEVELOPMENT & CULTURE,5755-19,2021-03-15,2021-03-16,WWW.IKEA.CA,316.28,CAD,316.28,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5712,"Equipment, Furniture, and Home Furnishin",MARCH 21 COVID COMMEMORATION SUPPLIES - TABLES
ECONOMIC DEVELOPMENT & CULTURE,5756-32,2021-03-16,2021-03-17,POTTERY BARN 0542,535.55,CAD,535.55,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5719,Miscellaneous House Furnishing Specialty,MARCH 21 COVID COMMEMORATION SUPPLIES - PILLAR CANDLES
ECONOMIC DEVELOPMENT & CULTURE,5759-41,2021-03-19,2021-03-22,WELCOME GUARDIAN PHARM,6.73,CAD,6.73,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5912,"Drug Stores, Pharmacies",MARCH 21 COVID COMMEMORATION SUPPLIES - TAPER CANDLES
ECONOMIC DEVELOPMENT & CULTURE,5759-42,2021-03-19,2021-03-22,MICHAELS #3990,40.61,CAD,40.61,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5945,"Game, Toy, and Hobby Shops",MARCH 21 COVID COMMEMORATION SUPPLIES - SAND FOR CANDLEHOLDERS
ECONOMIC DEVELOPMENT & CULTURE,5760-27,2021-03-21,2021-03-23,LONGO'S # 18,18.46,CAD,18.46,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5411,"Grocery Stores, Supermarkets",MARCH 21 COVID COMMEMORATION SUPPLIES - TAPER CANDLES
ECONOMIC DEVELOPMENT & CULTURE,5764-48,2021-03-28,2021-03-29,IKEA ETOBICOKE,-42.92,CAD,-42.92,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5712,"Equipment, Furniture, and Home Furnishin",MARCH 21 COVID COMMEMORATION SUPPLIES - VASE AND TABLE RETURNS
ECONOMIC DEVELOPMENT & CULTURE,5766-20,2021-03-30,2021-03-31,POTTERY BARN 0742,-76.84,CAD,-76.84,CAD,4995,OTHER EXPENSES,SE0019,AC CE NUIT BLANCHE,5719,Miscellaneous House Furnishing Specialty,MARCH 21 COVID COMMEMORATION SUPPLIES - PILLAR CANDLE SAMPLE RETURNS
,,,,,"3,457.68",CAD,"3,457.68",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5753-25,2021-03-12,2021-03-12,AMZN MKTP CA 496W10A93,19.98,CAD,19.98,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,P13593,AFTERSCHOOL RECREATION CARE 4,4816,Computer Network/Information Services,TELEPHONE CORDS FOR HANDSETS
,,,,,19.98,CAD,19.98,CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5743-31,2021-02-28,2021-03-01,HOPIN,128.88,CAD,99.00,USD,4474,COMPUTER SOFTWARE MAINT & SUPPORT SERVS,P12901,YOUTH LOUNGE- CW,5734,Computer Software Stores,CLIENT WEB BASE PROGRAM SUPPORT
"PARKS, FORESTRY & RECREATION",5765-16,2021-03-29,2021-03-30,HOPIN,128.10,CAD,99.00,USD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P12901,YOUTH LOUNGE- CW,5734,Computer Software Stores,WEB BASE CLIENT SUPPORT
,,,,,256.98,CAD,198.00,USD,,,,,,,
"PARKS, FORESTRY & RECREATION",5743-32,2021-02-26,2021-03-01,DREAM CYCLERY,20.32,CAD,20.32,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,P00155,TORONTO ISLANDS-TURF&HORT,5941,Sporting Goods Stores,TIRE TUBES
"PARKS, FORESTRY & RECREATION",5757-46,2021-03-16,2021-03-18,CDN TIRE STORE #00654,315.11,CAD,315.11,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,P00155,TORONTO ISLANDS-TURF&HORT,5200,Home Supply Warehouse,"GLUE, BRUSHES, LUBRICANT"
"PARKS, FORESTRY & RECREATION",5759-43,2021-03-18,2021-03-22,BEST BUY #956,180.78,CAD,180.78,CAD,3410,COMPUTERS - HARDWARE,P00155,TORONTO ISLANDS-TURF&HORT,5732,Electronic Sales,"WEB-CAM, MIC"
"PARKS, FORESTRY & RECREATION",5764-49,2021-03-28,2021-03-29,STAPLES BUSINESS DEPOT,60.74,CAD,60.74,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,P00155,TORONTO ISLANDS-TURF&HORT,5943,"Office, School Supply, and Stationery St","VINYL LETTER, SCREEN WIPES"
"PARKS, FORESTRY & RECREATION",5765-17,2021-03-29,2021-03-30,STAPLES/BUSINESS DEPOT,-19.41,CAD,-19.41,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,P00155,TORONTO ISLANDS-TURF&HORT,5943,"Office, School Supply, and Stationery St",RETURN-WRONG SIZE
"PARKS, FORESTRY & RECREATION",5765-18,2021-03-29,2021-03-30,STAPLES/BUSINESS DEPOT,19.41,CAD,19.41,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,P00155,TORONTO ISLANDS-TURF&HORT,5943,"Office, School Supply, and Stationery St",VINYL LETTERS
,,,,,576.95,CAD,576.95,CAD,,,,,,,
TRANSPORTATION SERVICES,5748-32,2021-03-04,2021-03-05,HITCH CITY,"1,105.71",CAD,"1,105.71",CAD,2710,GENERAL HARDWARE,TS6020,ROAD OPERATIONS & MAINTENANCE AREA 1,5533,"Automotive Parts, Accessories Stores",UTILITY BOX COMPANY LOST INVOICE 2020 (SEE EMAIL)
TRANSPORTATION SERVICES,5757-47,2021-03-16,2021-03-18,THE HOME DEPOT #7080,64.34,CAD,64.34,CAD,2710,GENERAL HARDWARE,TS6020,ROAD OPERATIONS & MAINTENANCE AREA 1,5200,Home Supply Warehouse,HOOK 5 PEGS
,,,,,"1,170.05",CAD,"1,170.05",CAD,,,,,,,
LEGAL SERVICES,5743-33,2021-02-26,2021-03-01,ONLAND(S),37.62,CAD,37.62,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5743-34,2021-02-26,2021-03-01,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5743-35,2021-02-26,2021-03-01,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5743-36,2021-02-26,2021-03-01,ONLAND(S),37.97,CAD,37.97,CAD,4827,ONLINE SERVICES FEES,LL5303,ECONOMIC DEV CULTURE & TOURISM,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5743-37,2021-02-26,2021-03-01,ONLAND(S),3.39,CAD,3.39,CAD,4827,ONLINE SERVICES FEES,LL5303,ECONOMIC DEV CULTURE & TOURISM,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5744-20,2021-03-01,2021-03-02,ONLAND(S),39.97,CAD,39.97,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5744-21,2021-03-01,2021-03-02,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5744-22,2021-03-01,2021-03-02,ONLAND(S),44.65,CAD,44.65,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5744-23,2021-03-01,2021-03-02,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5744-24,2021-03-01,2021-03-02,ONLAND(S),44.65,CAD,44.65,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5744-25,2021-03-01,2021-03-02,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5744-26,2021-03-01,2021-03-02,ONLAND(S),37.62,CAD,37.62,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5744-27,2021-03-01,2021-03-02,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5745-23,2021-03-02,2021-03-03,ONLAND(S),37.62,CAD,37.62,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5745-24,2021-03-02,2021-03-03,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5745-25,2021-03-02,2021-03-03,ONLAND(S),37.62,CAD,37.62,CAD,4827,ONLINE SERVICES FEES,LL5403,MUNICIPAL LICENSING & STANDARD,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5745-26,2021-03-02,2021-03-03,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5403,MUNICIPAL LICENSING & STANDARD,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5745-27,2021-03-02,2021-03-03,ONLAND(S),37.62,CAD,37.62,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5745-28,2021-03-02,2021-03-03,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5745-29,2021-03-02,2021-03-03,ONLAND(S),35.28,CAD,35.28,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5745-30,2021-03-02,2021-03-03,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5745-31,2021-03-02,2021-03-03,ONLAND(S),37.62,CAD,37.62,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5746-36,2021-03-03,2021-03-04,ONLAND(S),44.65,CAD,44.65,CAD,4827,ONLINE SERVICES FEES,LL5403,MUNICIPAL LICENSING & STANDARD,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5746-37,2021-03-03,2021-03-04,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5403,MUNICIPAL LICENSING & STANDARD,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5748-33,2021-03-04,2021-03-05,ONLAND(S),47.00,CAD,47.00,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5748-34,2021-03-04,2021-03-05,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5752-36,2021-03-10,2021-03-11,ONLAND(S),42.31,CAD,42.31,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5752-37,2021-03-10,2021-03-11,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5753-26,2021-03-11,2021-03-12,ONLAND(S),35.62,CAD,35.62,CAD,4827,ONLINE SERVICES FEES,LL5403,MUNICIPAL LICENSING & STANDARD,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5754-63,2021-03-12,2021-03-15,ONLAND(S),37.62,CAD,37.62,CAD,4827,ONLINE SERVICES FEES,LL5403,MUNICIPAL LICENSING & STANDARD,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5754-64,2021-03-12,2021-03-15,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5403,MUNICIPAL LICENSING & STANDARD,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5754-65,2021-03-12,2021-03-15,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5403,MUNICIPAL LICENSING & STANDARD,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5755-20,2021-03-15,2021-03-16,ONLAND(S),44.65,CAD,44.65,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5755-21,2021-03-15,2021-03-16,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5755-22,2021-03-15,2021-03-16,ONLAND(S),39.97,CAD,39.97,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5755-23,2021-03-15,2021-03-16,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5755-24,2021-03-15,2021-03-16,ONLAND(S),35.28,CAD,35.28,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5755-25,2021-03-15,2021-03-16,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5755-26,2021-03-15,2021-03-16,ONLAND(S),35.28,CAD,35.28,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5755-27,2021-03-15,2021-03-16,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5756-33,2021-03-16,2021-03-17,ONLAND(S),39.97,CAD,39.97,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5756-34,2021-03-16,2021-03-17,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5756-35,2021-03-16,2021-03-17,ONLAND(S),37.62,CAD,37.62,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5756-36,2021-03-16,2021-03-17,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5756-37,2021-03-16,2021-03-17,ONLAND(S),37.62,CAD,37.62,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5756-38,2021-03-16,2021-03-17,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5756-39,2021-03-16,2021-03-17,ONLAND(S),39.97,CAD,39.97,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5756-40,2021-03-16,2021-03-17,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5756-41,2021-03-16,2021-03-17,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5759-45,2021-03-19,2021-03-22,ONLAND(S),44.65,CAD,44.65,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5759-46,2021-03-19,2021-03-22,ONLAND(S),5.39,CAD,5.39,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5760-28,2021-03-22,2021-03-23,ONLAND(S),54.37,CAD,54.37,CAD,4827,ONLINE SERVICES FEES,LL5403,MUNICIPAL LICENSING & STANDARD,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5760-29,2021-03-22,2021-03-23,ONLAND(S),3.39,CAD,3.39,CAD,4827,ONLINE SERVICES FEES,LL5403,MUNICIPAL LICENSING & STANDARD,7375,Information Retrieval Services,TITLE SEARCHES
LEGAL SERVICES,5760-30,2021-03-22,2021-03-23,ONLAND(S),44.65,CAD,44.65,CAD,4827,ONLINE SERVICES FEES,LL5401,BUILDING,7375,Information Retrieval Services,TITLE SEARCHES
