Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order #	Cost Centre / WBS Element / Order # Description	Merchant Type	Merchant Type Description	Purpose	
PUBLIC HEALTH	3269-25	2014-11-27	2014-11-28	O/P PHARMACY -SUNNYBRO	212.10	CAD	212.10	CAD	2824	PRESCRIPTION DRUGS	PH4021	TUBERCULOSIS PROGRAM	8062	Hospitals	PRESCRIPTION DRUGS	
					"2,283.29"	CAD	"2,283.29"	CAD								
"PARKS, FORESTRY & RECREATION"	3229-20	2014-11-03	2014-11-04	FORTINO'S (QUEEN'S PLA	118.91	CAD	118.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06781	HUMBERWOOD (BD)-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"WAFERS, TORTILLA, PEPPERONI"	
"PARKS, FORESTRY & RECREATION"	3248-28	2014-11-12	2014-11-14	WAL-MART # 3740	147.28	CAD	147.28	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P02138	THISTLETOWN-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	SNACKS	
"PARKS, FORESTRY & RECREATION"	3253-43	2014-11-18	2014-11-19	COSTCO WHOLESALE #524	17.98	CAD	17.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08499	THISTLETOWN SC-PRGM SUPPORT	5300	Wholesale Clubs	SNACKS FOR SENIORS	
"PARKS, FORESTRY & RECREATION"	3256-29	2014-11-18	2014-11-20	WAL-MART # 3740	12.96	CAD	12.96	CAD	2710	GENERAL HARDWARE	P06781	HUMBERWOOD (BD)-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	BATTERIES	
"PARKS, FORESTRY & RECREATION"	3256-30	2014-11-19	2014-11-20	MICHAELS #3933	205.98	CAD	205.98	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06456	HILLTOP CS-ARTS-VISL/PERF	5945	"Game, Toy, and Hobby Shops"	ART SUPPLIES.	
					503.11	CAD	503.11	CAD								
"PARKS, FORESTRY & RECREATION"	3228-50	2014-10-31	2014-11-03	BOLTS PLUS INC	600.81	CAD	600.81	CAD	2710	GENERAL HARDWARE	P12754	W-NORTH-N-PRGM SUPPORT	5085	Industrial Supplies Not Elsewhere Classi	"GRAB HOOKS, ANCHOR PINS, TURNBUCKLES"	
"PARKS, FORESTRY & RECREATION"	3237-37	2014-11-04	2014-11-06	THE HOME DEPOT #7114	360.09	CAD	360.09	CAD	2535	PLUMBING SUPPLIES	P12754	W-NORTH-N-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  125ML GR PVC	
"PARKS, FORESTRY & RECREATION"	3237-38	2014-11-05	2014-11-06	BOLTS PLUS INC	8.19	CAD	8.19	CAD	2710	GENERAL HARDWARE	P12754	W-NORTH-N-PRGM SUPPORT	5085	Industrial Supplies Not Elsewhere Classi	CLEVIS PINS	
"PARKS, FORESTRY & RECREATION"	3256-31	2014-11-19	2014-11-20	BERNARDI BUILDING SUPP	78.06	CAD	78.06	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P12754	W-NORTH-N-PRGM SUPPORT	5211	"Building Materials, Lumber Stores"	10 BALES OF STRAW	
"PARKS, FORESTRY & RECREATION"	3256-32	2014-11-19	2014-11-20	W.E. ENTERPRISES LTD	743.54	CAD	743.54	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12754	W-NORTH-N-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	PUSH SPREADERS	
"PARKS, FORESTRY & RECREATION"	3257-31	2014-11-19	2014-11-21	THE HOME DEPOT #7002	48.73	CAD	48.73	CAD	2710	GENERAL HARDWARE	P12754	W-NORTH-N-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  COO NICH MIL	
"PARKS, FORESTRY & RECREATION"	3269-26	2014-11-26	2014-11-28	CDN TIRE STORE #00294	38.40	CAD	38.40	CAD	2710	GENERAL HARDWARE	P12754	W-NORTH-N-PRGM SUPPORT	5200	Home Supply Warehouse	TARPS	
					"1,877.82"	CAD	"1,877.82"	CAD								
FACILITIES MANAGEMENT 	3243-30	2014-11-10	2014-11-12	THE HOME DEPOT #7027	32.75	CAD	32.75	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61279776	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	Materials/Supplies	
FACILITIES MANAGEMENT 	3250-48	2014-11-14	2014-11-17	ROBERTSON ELECTRIC WHO	291.25	CAD	291.25	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61275383	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	MATERIALS/SUPPLIES	
FACILITIES MANAGEMENT 	3264-32	2014-11-24	2014-11-26	ROBERTSON ELECTRIC WHO	264.19	CAD	264.19	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61278044	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	MATERIALS/SUPPLIES	
					588.19	CAD	588.19	CAD								
EMPLOYMENT & SOCIAL SERVICES	3260-58	2014-11-21	2014-11-24	NOFRILLS VITO'S #3936	9.91	CAD	9.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01218	CHESSWOOD ADMIN	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS FOR EVENT HOSTED BY EMPLOYMENT CENTRE	
EMPLOYMENT & SOCIAL SERVICES	3260-59	2014-11-21	2014-11-24	DOMINOS PIZZA  10464	39.53	CAD	39.53	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01218	CHESSWOOD ADMIN	5814	Quick Payment Service - Fast-Food Restau	REFRESHMENTS FOR EVENT HOSTED BY EMPLOYMENT CENTRE	
					49.44	CAD	49.44	CAD								
TORONTO WATER	3257-32	2014-11-20	2014-11-21	LOWES #03096*	74.12	CAD	74.12	CAD	2710	GENERAL HARDWARE	TW4075	WW TREATMNT:  HUMBER TP - WORK AREA 2  L	5200	Home Supply Warehouse	"**MORE**  3""WX25'LX1""FOIL FBRGLAS PIPE WRAP"	
TORONTO WATER	3257-33	2014-11-20	2014-11-21	LOWES #03096*	67.79	CAD	67.79	CAD	3080	M & E - HAND TOOLS	TW4075	WW TREATMNT:  HUMBER TP - WORK AREA 2  L	5200	Home Supply Warehouse	775 HEAT GUN WAGNER	
TORONTO WATER	3260-60	2014-11-20	2014-11-24	MR METAL(ETOBICOKE) IN	42.22	CAD	42.22	CAD	2532	STEEL	TW4075	WW TREATMNT:  HUMBER TP - WORK AREA 2  L	5051	Metal Service Centers and Offices	SS SHEET 304	
TORONTO WATER	3260-61	2014-11-20	2014-11-24	CDN TIRE STORE #00070	28.24	CAD	28.24	CAD	2710	GENERAL HARDWARE	TW4075	WW TREATMNT:  HUMBER TP - WORK AREA 2  L	5200	Home Supply Warehouse	DRILL PUMP KIT	
TORONTO WATER	3269-27	2014-11-27	2014-11-28	KOTYCK BROS LIMITED	847.64	CAD	847.64	CAD	2535	PLUMBING SUPPLIES	TW4075	WW TREATMNT:  HUMBER TP - WORK AREA 2  L	1520	General Contractors - Residential and Co	VARIOUS PLUMBING SUPPLIES	
					"1,060.01"	CAD	"1,060.01"	CAD								
"PARKS, FORESTRY & RECREATION"	3256-33	2014-11-18	2014-11-20	123INKCARTRIDGES.CA	96.59	CAD	96.59	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	P12786	KIPLING YD-S-FAC. & MECH.SVCES	5661	Shoe Stores	INK CARTRIDGE	
					96.59	CAD	96.59	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3248-29	2014-11-13	2014-11-14	TWIST MINIATURE DESIGN	"1,130.00"	CAD	"1,130.00"	CAD	2670	UNIFORMS	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	5699	Accessory  and Apparel Stores - Miscella	WW! CANADIAN 7 BUTTON UNIFORM	
ECONOMIC DEVELOPMENT & CULTURE	3262-10	2014-11-24	2014-11-25	NELLA CUTLERY	"1,759.50"	CAD	"1,759.50"	CAD	3099	GENERAL EQUIPMENT	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5719	Miscellaneous House Furnishing Specialty	FRIDGE	
ECONOMIC DEVELOPMENT & CULTURE	3262-11	2014-11-24	2014-11-25	NELLA CUTLERY	"1,800.00"	CAD	"1,800.00"	CAD	3099	GENERAL EQUIPMENT	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5719	Miscellaneous House Furnishing Specialty	FRIDGE	
					"4,689.50"	CAD	"4,689.50"	CAD								
"PARKS, FORESTRY & RECREATION"	3228-51	2014-10-30	2014-11-03	METRO #750	8.77	CAD	8.77	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08146	AMESBURY CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"CAKE MIX, MUFFINS"	
"PARKS, FORESTRY & RECREATION"	3236-37	2014-11-04	2014-11-05	FRESHCO 9848	55.19	CAD	55.19	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P02867	W-NORTH-SPORTS & REC-YOUTH-SP. NEEDS.	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR PROGRAMS	
"PARKS, FORESTRY & RECREATION"	3237-39	2014-11-04	2014-11-06	THE HOME DEPOT #7134	72.18	CAD	72.18	CAD	2715	PAINT SUPPLIES	P12444	RW-CA-SUMMER CAMPS-WN1 CLAREVILLE	5200	Home Supply Warehouse	**MORE**  INT EGG DB	
"PARKS, FORESTRY & RECREATION"	3237-40	2014-11-05	2014-11-06	FRESHCO 9777	10.43	CAD	10.43	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08146	AMESBURY CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR AFTERSCHOOL PRGM	
"PARKS, FORESTRY & RECREATION"	3242-35	2014-11-06	2014-11-10	WAL-MART # 3105	60.91	CAD	60.91	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08146	AMESBURY CC-SOCIAL PRGM	5310	Discount Stores	"STICKERS, TISSUES"	
"PARKS, FORESTRY & RECREATION"	3246-20	2014-11-11	2014-11-13	METRO #750	7.25	CAD	7.25	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08146	AMESBURY CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR CHILDREN'S COOKING PRGM	
"PARKS, FORESTRY & RECREATION"	3248-30	2014-11-12	2014-11-14	METRO #750	39.10	CAD	39.10	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P02867	W-NORTH-SPORTS & REC-YOUTH-SP. NEEDS.	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR CHILDREN'S COOKING PRGM	
"PARKS, FORESTRY & RECREATION"	3248-31	2014-11-12	2014-11-14	METRO #750	9.82	CAD	9.82	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08146	AMESBURY CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR AFTERSCHOOL PRGM	
"PARKS, FORESTRY & RECREATION"	3250-49	2014-11-14	2014-11-17	WAL-MART # 3105	32.22	CAD	32.22	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08146	AMESBURY CC-SOCIAL PRGM	5310	Discount Stores	PRGM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3250-50	2014-11-15	2014-11-17	METRO #719	19.98	CAD	19.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P02867	W-NORTH-SPORTS & REC-YOUTH-SP. NEEDS.	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR ADAPTED AND INTEGRATED EVENT	
"PARKS, FORESTRY & RECREATION"	3260-62	2014-11-21	2014-11-24	PARTY CITY #2008	148.76	CAD	148.76	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02867	W-NORTH-SPORTS & REC-YOUTH-SP. NEEDS.	5947	"Card, Gift, Novelty, and Souvenir Shops"	"CANDY CANES, TUMBLERS, MINI BAKE CUPS"	
"PARKS, FORESTRY & RECREATION"	3260-63	2014-11-22	2014-11-24	METRO #719	5.94	CAD	5.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P02867	W-NORTH-SPORTS & REC-YOUTH-SP. NEEDS.	5411	"Grocery Stores, Supermarkets"	PASTA	
					470.55	CAD	470.55	CAD								
FACILITIES MANAGEMENT 	3240-32	2014-11-06	2014-11-07	LENNOX CANADA INC	451.33	CAD	451.33	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61276392	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5965	Direct Marketing - Combination Catalog a	**MORE**  56M6101 CONTROL-IGNITION	
FACILITIES MANAGEMENT 	3243-31	2014-11-11	2014-11-12	LENNOX CANADA INC	482.79	CAD	482.79	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61277153	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5965	Direct Marketing - Combination Catalog a	**MORE**  102186-01 CONTROL-IGNITION (SEE TE	
FACILITIES MANAGEMENT 	3256-34	2014-11-19	2014-11-20	THE MASTER GROUP REXDA	180.80	CAD	180.80	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61276995	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	GAS VALVE	
FACILITIES MANAGEMENT 	3269-28	2014-11-27	2014-11-28	THE MASTER GROUP REXDA	256.76	CAD	256.76	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61279425	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	"FLAME SENSOR,TEMP CONTRL MAN.SPST,PRESS SWITCH,ETC"	
					"1,371.68"	CAD	"1,371.68"	CAD								
"PARKS, FORESTRY & RECREATION"	3242-36	2014-11-07	2014-11-10	LOWES #02633*	414.90	CAD	414.90	CAD	3080	M & E - HAND TOOLS	P00409	N-EAST1-TURF&HORT	5200	Home Supply Warehouse	**MORE**  DEWALT 18V XRP 5-TOOL COMBO KIT	
"PARKS, FORESTRY & RECREATION"	3242-37	2014-11-07	2014-11-10	ALPINE LAWN   GARDEN E	300.62	CAD	300.62	CAD	2401	LUBRICANTS	P00409	N-EAST1-TURF&HORT	5261	Lawn and Garden Supply Stores	"CYCLE OIL, CAPS, FILLERS"	
"PARKS, FORESTRY & RECREATION"	3250-51	2014-11-13	2014-11-17	THE HOME DEPOT #7073	160.09	CAD	160.09	CAD	2710	GENERAL HARDWARE	P00409	N-EAST1-TURF&HORT	5200	Home Supply Warehouse	**MORE**  FILTER	
					875.61	CAD	875.61	CAD								
EMERGENCY MEDICAL SERVICES	3240-33	2014-11-07	2014-11-07	AMAZON.CA	171.12	CAD	171.12	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	B33100	COMMUNICATION CENTRE OPERATIONS	4816	Computer Network/Information Services	COMPUTER STYLUS PEN FOR IPAD	
EMERGENCY MEDICAL SERVICES	3242-38	2014-11-08	2014-11-10	AMAZON *MARKETPLCE CA	85.26	CAD	85.26	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	B33100	COMMUNICATION CENTRE OPERATIONS	4816	Computer Network/Information Services	COMPUTER STYLUS PEN FOR IPAD	
EMERGENCY MEDICAL SERVICES	3242-39	2014-11-08	2014-11-10	AMAZON.CA	112.38	CAD	112.38	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	B33100	COMMUNICATION CENTRE OPERATIONS	4816	Computer Network/Information Services	EXTERNAL BATTERY PACK FOR IPHONE	
EMERGENCY MEDICAL SERVICES	3253-44	2014-11-18	2014-11-19	CANADA COMPUTERS #22	73.43	CAD	73.43	CAD	2650	COMPUTER AND PRINTER SUPPLIES	B33100	COMMUNICATION CENTRE OPERATIONS	5734	Computer Software Stores	COMPUTER CABLES FOR MAIN BOARDROOM	
EMERGENCY MEDICAL SERVICES	3264-33	2014-11-25	2014-11-26	CANADA COMPUTERS #22	27.09	CAD	27.09	CAD	2650	COMPUTER AND PRINTER SUPPLIES	B33100	COMMUNICATION CENTRE OPERATIONS	5734	Computer Software Stores	COMPUTER CABLES AND ADAPTORS FOR MAIN BOARDROOM	
EMERGENCY MEDICAL SERVICES	3269-29	2014-11-28	2014-11-28	VISTAPR*VISTAPRINT.CA	127.09	CAD	127.09	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	B33100	COMMUNICATION CENTRE OPERATIONS	2741	Miscellaneous Publishing and Printing	MOUSE PADS FOR CACC	
					596.37	CAD	596.37	CAD								
SOLID WASTE MANAGEMENT	3257-34	2014-11-21	2014-11-21	ULINE	154.55	CAD	154.55	CAD	2120	PARTS - MACHINERY & EQUIPMENT	SW0612	HOUSEHOLD HAZARDOUS WASTE	5964	Direct Marketing - Catalog Merchants	STEP STOOL - 2 STEPS	
					154.55	CAD	154.55	CAD								
FACILITIES MANAGEMENT 	3250-52	2014-11-14	2014-11-17	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA214-02	ENVIRONMENTAL - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
FACILITIES MANAGEMENT 	3250-53	2014-11-14	2014-11-17	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA214-02	ENVIRONMENTAL - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
FACILITIES MANAGEMENT 	3250-54	2014-11-14	2014-11-17	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA214-02	ENVIRONMENTAL - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
FACILITIES MANAGEMENT 	3253-45	2014-11-17	2014-11-19	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA214-02	ENVIRONMENTAL - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
FACILITIES MANAGEMENT 	3253-46	2014-11-17	2014-11-19	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA214-02	ENVIRONMENTAL - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
FACILITIES MANAGEMENT 	3253-47	2014-11-17	2014-11-19	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA214-02	ENVIRONMENTAL - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
FACILITIES MANAGEMENT 	3253-48	2014-11-17	2014-11-19	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA214-02	ENVIRONMENTAL - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
FACILITIES MANAGEMENT 	3253-49	2014-11-17	2014-11-19	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA214-02	ENVIRONMENTAL - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
FACILITIES MANAGEMENT 	3253-50	2014-11-17	2014-11-19	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA214-02	ENVIRONMENTAL - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
FACILITIES MANAGEMENT 	3253-51	2014-11-17	2014-11-19	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA214-02	ENVIRONMENTAL - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
FACILITIES MANAGEMENT 	3253-52	2014-11-17	2014-11-19	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA214-02	ENVIRONMENTAL - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
FACILITIES MANAGEMENT 	3253-53	2014-11-17	2014-11-19	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA214-02	ENVIRONMENTAL - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
					600.00	CAD	600.00	CAD								
FIRE SERVICES	3243-32	2014-11-10	2014-11-12	FELLOWES	43.06	CAD	43.06	CAD	3030	M & E - OFFICE	FR0006	FIRE CODE ENFORCEMENT-EAST DIST	5943	"Office, School Supply, and Stationery St"	PARTS FOR SHREDDER AT SCARBOROUGH CIVIC CENTRE	
FIRE SERVICES	3257-35	2014-11-19	2014-11-21	THE PRINTING HOUSE #52	143.51	CAD	143.51	CAD	2035	PRINTING SUPPLIES (TAXABLE)	FR0012	ADMIN-HEADQUARTERS	5999	Miscellaneous and Specialty Retail Store	PRINTING & MOUNTING OF POSTER FOR CONSULTATION MTG	
FIRE SERVICES	3269-30	2014-11-27	2014-11-28	ONT ASSOC OF FIRECHIEF	339.00	CAD	339.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	FR0027	PROFDEV/TRAINING-OPERATIONS TRAINING	8699	"Organizations, Membership - Not Elsewher"	OAFC REGISTRATION FEE	
					525.57	CAD	525.57	CAD								
TORONTO WATER	3246-21	2014-11-12	2014-11-13	ACKLANDS-GRAINGER INC	542.84	CAD	542.84	CAD	3099	GENERAL EQUIPMENT	TW7050	WTR TREAT & SUPPLY: RL CLARK TP - SERV A	5085	Industrial Supplies Not Elsewhere Classi	METER SOUND DATA LOG	
					542.84	CAD	542.84	CAD								
"SHELTER, SUPPORT and HOUSING ADMINISTRATION"	3236-38	2014-11-04	2014-11-05	INFORMA CANADA INC.	90.40	CAD	90.40	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	FH5105	SOCIAL HOUSING HEAD OFFICE	7991	Tourist Attractions and Exhibits	ATTHEND PM EXPO AND 2 WORKSHOPS	
"SHELTER, SUPPORT and HOUSING ADMINISTRATION"	3262-12	2014-11-25	2014-11-25	ONT NP HSG ASSOC	33.90	CAD	33.90	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	FH5105	SOCIAL HOUSING HEAD OFFICE	8398	"Organizations, Charitable and Social Ser"	WEBINAR - INTO THE STORM EMERG PLANNING	
"SHELTER, SUPPORT and HOUSING ADMINISTRATION"	3262-13	2014-11-25	2014-11-25	ONT NP HSG ASSOC	33.90	CAD	33.90	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	FH5105	SOCIAL HOUSING HEAD OFFICE	8398	"Organizations, Charitable and Social Ser"	WEBINAR-INTO THE STORM EMERG PLANNING	
					158.20	CAD	158.20	CAD								
EMPLOYMENT & SOCIAL SERVICES	3260-64	2014-11-20	2014-11-24	WAL-MART # 3105	33.87	CAD	33.87	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	C01212	LAWRENCE SQUARE-ADMIN	5310	Discount Stores	OFFICE USE	
					33.87	CAD	33.87	CAD								
EMPLOYMENT & SOCIAL SERVICES	3256-35	2014-11-19	2014-11-20	BED BATH   BEYOND 2032	51.97	CAD	51.97	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	C01105	QUALITY CONTROL & ASSURANCE UNIT	5200	Home Supply Warehouse		
					51.97	CAD	51.97	CAD								
"PARKS, FORESTRY & RECREATION"	3242-40	2014-11-06	2014-11-10	WAL-MART #3159	61.63	CAD	61.63	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11225	MCGREGOR PARK-SPORTS	5411	"Grocery Stores, Supermarkets"	FOOD FOR YOUTH COUNCUL AND VOLUNTEERS	
"PARKS, FORESTRY & RECREATION"	3242-41	2014-11-07	2014-11-10	WAL-MART #3159	79.05	CAD	79.05	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11225	MCGREGOR PARK-SPORTS	5411	"Grocery Stores, Supermarkets"	VIDEO GAMES FOR YOUTH DROP IN	
"PARKS, FORESTRY & RECREATION"	3242-42	2014-11-07	2014-11-10	WAL-MART #3159	63.46	CAD	63.46	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07895	MCGREGOR PARK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR KIDS IN THE KITCEN	
"PARKS, FORESTRY & RECREATION"	3250-55	2014-11-15	2014-11-17	RCSS SCARBOROUGH #2809	68.28	CAD	68.28	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07895	MCGREGOR PARK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR KIDS IN THE KITCEN	
"PARKS, FORESTRY & RECREATION"	3253-54	2014-11-18	2014-11-19	RCSS SCARBOROUGH #2809	47.79	CAD	47.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11225	MCGREGOR PARK-SPORTS	5411	"Grocery Stores, Supermarkets"	SNACK FOR YOUTH DROP IN	
"PARKS, FORESTRY & RECREATION"	3253-55	2014-11-18	2014-11-19	RCSS SCARBOROUGH #2809	10.98	CAD	10.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07895	MCGREGOR PARK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR KIDS IN THE KITCEN	
"PARKS, FORESTRY & RECREATION"	3260-65	2014-11-21	2014-11-24	FRESHCO 9832	14.95	CAD	14.95	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07895	MCGREGOR PARK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR KIDS IN THE KITCEN	
"PARKS, FORESTRY & RECREATION"	3260-66	2014-11-21	2014-11-24	WAL-MART #3159	51.85	CAD	51.85	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07895	MCGREGOR PARK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR KIDS IN THE KITCEN	
"PARKS, FORESTRY & RECREATION"	3260-67	2014-11-21	2014-11-24	WAL-MART #3159	29.45	CAD	29.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11225	MCGREGOR PARK-SPORTS	5411	"Grocery Stores, Supermarkets"	PROGRAM SUPPLIES- YOUTH PRGM	
"PARKS, FORESTRY & RECREATION"	3260-68	2014-11-22	2014-11-24	WAL-MART #3159	21.47	CAD	21.47	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11225	MCGREGOR PARK-SPORTS	5411	"Grocery Stores, Supermarkets"	PROGRAM SUPPLIES- YOUTH PRGM	
"PARKS, FORESTRY & RECREATION"	3264-34	2014-11-24	2014-11-26	WAL-MART #3159	22.84	CAD	22.84	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11225	MCGREGOR PARK-SPORTS	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3264-35	2014-11-24	2014-11-26	WAL-MART #3159	3.87	CAD	3.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07895	MCGREGOR PARK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR KIDS IN THE KITCEN	
"PARKS, FORESTRY & RECREATION"	3264-36	2014-11-25	2014-11-26	TDSB-PURCHASING	123.30	CAD	123.30	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11225	MCGREGOR PARK-SPORTS	8299	Educational Services	OFFICE & KITCHEN SUPPLIES	
					598.92	CAD	598.92	CAD								
