Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Centre / WBS Element / Order #	Cost Centre / WBS Element / Order # Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	2910-55	2014-03-09	2014-03-10	MICHAELS #3983	131.09	CAD	131.09	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08588	JG ALTHOUSE CS-SPEC EVNTS	5945	"Game, Toy, and Hobby Shops"	"JARS, PAINT GLOWS, WIRES, STEM WIRES"	
"PARKS, FORESTRY & RECREATION"	2912-23	2014-03-09	2014-03-11	YOUR DOLLAR STORE WITH	31.69	CAD	31.69	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08588	JG ALTHOUSE CS-SPEC EVNTS	5310	Discount Stores	MARCH BREAK SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2913-35	2014-03-09	2014-03-12	METRO #401	14.27	CAD	14.27	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08588	JG ALTHOUSE CS-SPEC EVNTS	5411	"Grocery Stores, Supermarkets"	BORAX	
"PARKS, FORESTRY & RECREATION"	2913-36	2014-03-11	2014-03-12	SQ *DAVID LOWE THE BUC	155.00	CAD	155.00	CAD	4102	ENTERTAINER AND BAND FEES	P08588	JG ALTHOUSE CS-SPEC EVNTS	7929	"Bands, Orchestras, and Miscellaneous Ent"	DRUMMING WORKSHOP	
"PARKS, FORESTRY & RECREATION"	2916-39	2014-03-11	2014-03-13	METRO #704	35.71	CAD	35.71	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08588	JG ALTHOUSE CS-SPEC EVNTS	5411	"Grocery Stores, Supermarkets"	"CRANBERRY JUICE, PINEAPPLE JUICE, ORANGES"	
"PARKS, FORESTRY & RECREATION"	2918-41	2014-03-14	2014-03-17	PROFESSORJAMZ	333.00	CAD	333.00	CAD	4102	ENTERTAINER AND BAND FEES	P08588	JG ALTHOUSE CS-SPEC EVNTS	7929	"Bands, Orchestras, and Miscellaneous Ent"	MAGIC WORKSHOP	
					"1,124.96"	CAD	"1,124.96"	CAD								
"PARKS, FORESTRY & RECREATION"	2922-24	2014-03-18	2014-03-19	TAP PHONG TRADING CO.	22.34	CAD	22.34	CAD	2610	KITCHEN SUPPLIES	P13057	GEN INTRST & CLUBS - DUFFERIN GROVE PARK	5046	Commercial Equipment Not Elsewhere Class	"WOOD PIZZA PEEL,CNTR POUR GLASS,SUGAR DISPENSE"	
"PARKS, FORESTRY & RECREATION"	2922-25	2014-03-18	2014-03-19	NOFRILLS JOSEPHS 730	381.18	CAD	381.18	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13057	GEN INTRST & CLUBS - DUFFERIN GROVE PARK	5411	"Grocery Stores, Supermarkets"	"TOMATOES,SEA SALT,PEPPERS,SQUASH BUTTERNUT,DATES"	
"PARKS, FORESTRY & RECREATION"	2922-26	2014-03-18	2014-03-19	STRICTLY BULK	374.64	CAD	374.64	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13057	GEN INTRST & CLUBS - DUFFERIN GROVE PARK	5411	"Grocery Stores, Supermarkets"	"CORN MEAL, FLOUR, ORGANIC SUNFLOWER"	
"PARKS, FORESTRY & RECREATION"	2931-24	2014-03-25	2014-03-26	NOFRILLS JOSEPHS 730	385.13	CAD	385.13	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13057	GEN INTRST & CLUBS - DUFFERIN GROVE PARK	5411	"Grocery Stores, Supermarkets"	"CELERY, CLEMENTINES,BANANAS,GINGER ALE, COLA"	
"PARKS, FORESTRY & RECREATION"	2931-25	2014-03-25	2014-03-26	STRICTLY BULK	205.76	CAD	205.76	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13057	GEN INTRST & CLUBS - DUFFERIN GROVE PARK	5411	"Grocery Stores, Supermarkets"	"WHITE FLOUR, ORGANIC SUGAR"	
					"1,369.05"	CAD	"1,369.05"	CAD								
"PARKS, FORESTRY & RECREATION"	2933-25	2014-03-26	2014-03-28	CDN TIRE STORE #00070	102.54	CAD	102.54	CAD	3020	M & E - COMMUNICATIONS	P07744	GUS RYDER POOL&HLTH CLUB-PRGM SUPP	5200	Home Supply Warehouse	WALKIE TALKIES	
"PARKS, FORESTRY & RECREATION"	2936-39	2014-03-28	2014-03-31	WAL-MART # 3031	17.94	CAD	17.94	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P07744	GUS RYDER POOL&HLTH CLUB-PRGM SUPP	5310	Discount Stores	VINYL LETTERS FOR POOL PASSES	
					120.48	CAD	120.48	CAD								
"PARKS, FORESTRY & RECREATION"	2901-22	2014-03-03	2014-03-04	FRESHCO #9748	416.34	CAD	416.34	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06075	OAKDALE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	BREAKFAST PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2908-27	2014-03-06	2014-03-07	FRESHCO #9748	261.87	CAD	261.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06075	OAKDALE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	BREAKFAST PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2910-56	2014-03-06	2014-03-10	WAL-MART # 3145	995.81	CAD	995.81	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06075	OAKDALE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	BREAKFAST PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2913-37	2014-03-10	2014-03-12	CDN TIRE STORE #00237	390.14	CAD	390.14	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06075	OAKDALE CC-SOCIAL PRGM	5200	Home Supply Warehouse	CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2913-38	2014-03-10	2014-03-12	WAL-MART # 3145	184.07	CAD	184.07	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06075	OAKDALE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2917-29	2014-03-12	2014-03-14	SKYZONE-TORONTO (CA100	932.25	CAD	932.25	CAD	4118	TICKETS AND ADMISSION FEES	P04668	OAKDALE CC-SUMMER CAMPS	7999	Recreation Services (Not Elsewhere Class	CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2918-42	2014-03-13	2014-03-17	WAL-MART # 5778	260.91	CAD	260.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06075	OAKDALE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	BREAKFAST PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2918-43	2014-03-14	2014-03-17	FRESHCO #9748	57.52	CAD	57.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06075	OAKDALE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	BREAKFAST PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2918-44	2014-03-16	2014-03-17	IKEA VAUGHAN	111.73	CAD	111.73	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06075	OAKDALE CC-SOCIAL PRGM	5712	"Equipment, Furniture, and Home Furnishin"	PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2925-28	2014-03-20	2014-03-21	FRESHCO #9748	151.11	CAD	151.11	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06075	OAKDALE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	BREAKFAST PROGRAM SUPPLIES	
					"3,761.75"	CAD	"3,761.75"	CAD								
"PARKS, FORESTRY & RECREATION"	2908-28	2014-03-07	2014-03-07	ULINE	292.92	CAD	292.92	CAD	2710	GENERAL HARDWARE	P00152	C-WATERFRONT3-TURF&HORT	5964	Direct Marketing - Catalog Merchants	"24"" BUNGEE CORD 10/PK"	
"PARKS, FORESTRY & RECREATION"	2910-57	2014-03-06	2014-03-10	THE HOME DEPOT #7080	152.55	CAD	152.55	CAD	2710	GENERAL HARDWARE	P00152	C-WATERFRONT3-TURF&HORT	5200	Home Supply Warehouse	**MORE**  6' FG STEP	
"PARKS, FORESTRY & RECREATION"	2913-39	2014-03-10	2014-03-12	THE HOME DEPOT #7080	77.47	CAD	77.47	CAD	2710	GENERAL HARDWARE	P00152	C-WATERFRONT3-TURF&HORT	5200	Home Supply Warehouse	**MORE**  3 IN 1 OIL	
"PARKS, FORESTRY & RECREATION"	2927-42	2014-03-21	2014-03-24	THE HOME DEPOT #7080	562.74	CAD	562.74	CAD	2710	GENERAL HARDWARE	P00152	C-WATERFRONT3-TURF&HORT	5200	Home Supply Warehouse	MCDR450SEF	
"PARKS, FORESTRY & RECREATION"	2936-40	2014-03-27	2014-03-31	CDN TIRE STORE #00654	79.09	CAD	79.09	CAD	2710	GENERAL HARDWARE	P00152	C-WATERFRONT3-TURF&HORT	5200	Home Supply Warehouse	SHELVING RACK	
					"1,164.77"	CAD	"1,164.77"	CAD								
"PARKS, FORESTRY & RECREATION"	2907-37	2014-03-05	2014-03-06	NO FRILLS #753	40.22	CAD	40.22	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01701	G&I RISK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	AFTER SCHOOL PROG. COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2912-24	2014-03-10	2014-03-11	NO FRILLS CHRIS STACEY	146.01	CAD	146.01	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04321	G&I RISK-HOLIDAY CAMPS	5411	"Grocery Stores, Supermarkets"	MARCH BREAK COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2917-30	2014-03-13	2014-03-14	CINEPLEX  7260     QPS	448.50	CAD	448.50	CAD	4118	TICKETS AND ADMISSION FEES	P04321	G&I RISK-HOLIDAY CAMPS	7832	Motion Picture Theaters	ADMISSION FEES - MARCH BREAK TRIP	
"PARKS, FORESTRY & RECREATION"	2918-45	2014-03-13	2014-03-17	CDN TIRE STORE #00070	97.52	CAD	97.52	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04321	G&I RISK-HOLIDAY CAMPS	5200	Home Supply Warehouse	MARCH BREAK CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2924-33	2014-03-19	2014-03-20	NO FRILLS CHRIS STACEY	70.17	CAD	70.17	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01701	G&I RISK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	AFTER SCHOOL PROG. COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2932-26	2014-03-26	2014-03-27	NO FRILLS CHRIS STACEY	93.79	CAD	93.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01701	G&I RISK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	AFTER SCHOOL PROG. COOKING SUPPLIES	
					896.21	CAD	896.21	CAD								
"PARKS, FORESTRY & RECREATION"	2910-58	2014-03-07	2014-03-10	WAL-MART #3159	164.45	CAD	164.45	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04308	BRDLANDS CC-HOLIDAY CAMPS	5411	"Grocery Stores, Supermarkets"	REC PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2912-25	2014-03-10	2014-03-11	BRUNO'S VALU-MART	41.72	CAD	41.72	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04308	BRDLANDS CC-HOLIDAY CAMPS	5411	"Grocery Stores, Supermarkets"	REC PROGRAM SNACKS	
"PARKS, FORESTRY & RECREATION"	2917-31	2014-03-12	2014-03-14	METRO #475	49.50	CAD	49.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04308	BRDLANDS CC-HOLIDAY CAMPS	5411	"Grocery Stores, Supermarkets"	BAKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2917-32	2014-03-13	2014-03-14	CINEPLEX  7253     QPS	191.00	CAD	191.00	CAD	4118	TICKETS AND ADMISSION FEES	P04308	BRDLANDS CC-HOLIDAY CAMPS	7832	Motion Picture Theaters	MARCH BREAK - ADMISSION FEES	
"PARKS, FORESTRY & RECREATION"	2917-33	2014-03-13	2014-03-14	CINEPLEX  7253     QPS	122.50	CAD	122.50	CAD	4118	TICKETS AND ADMISSION FEES	P04308	BRDLANDS CC-HOLIDAY CAMPS	7832	Motion Picture Theaters	MARCH BREAK - ADMISSION FEES	
					569.17	CAD	569.17	CAD								
"PARKS, FORESTRY & RECREATION"	2905-28	2014-03-03	2014-03-05	CDN TIRE STORE #00654	105.10	CAD	105.10	CAD	2610	KITCHEN SUPPLIES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5200	Home Supply Warehouse	"CAN OPENER, KETTLES, HANGERS, BATTERIES"	
"PARKS, FORESTRY & RECREATION"	2905-29	2014-03-04	2014-03-05	NOFRILLS COSIMO'S #347	77.39	CAD	77.39	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5411	"Grocery Stores, Supermarkets"	"MILK, CHIPITS, TUNA CHUNKS, SUGAR"	
"PARKS, FORESTRY & RECREATION"	2912-26	2014-03-10	2014-03-11	NOFRILLS COSIMO'S #347	31.86	CAD	31.86	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5411	"Grocery Stores, Supermarkets"	"EGGS, MILK, APPLE JUICE, ZIPLOC"	
"PARKS, FORESTRY & RECREATION"	2913-40	2014-03-10	2014-03-12	WAL-MART #3159	118.62	CAD	118.62	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5411	"Grocery Stores, Supermarkets"	"MARKERS, WOOD, METAL BEADS"	
"PARKS, FORESTRY & RECREATION"	2918-46	2014-03-13	2014-03-17	THE HOME DEPOT #7080	40.00	CAD	40.00	CAD	2715	PAINT SUPPLIES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5200	Home Supply Warehouse	**MORE**  3X9X11MED	
"PARKS, FORESTRY & RECREATION"	2918-47	2014-03-15	2014-03-17	THE HOME DEPOT #7080	42.91	CAD	42.91	CAD	2715	PAINT SUPPLIES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5200	Home Supply Warehouse	BEHR INT SAT	
"PARKS, FORESTRY & RECREATION"	2922-27	2014-03-17	2014-03-19	TARGET CANADA T3729	19.87	CAD	19.87	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5311	Department Stores	"LITTLE FARMERS SUPPLIES-GARDEN RAKES,GARDEN BINS"	
"PARKS, FORESTRY & RECREATION"	2931-26	2014-03-24	2014-03-26	WAL-MART #3159	109.59	CAD	109.59	CAD	3320	FIXTURES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5411	"Grocery Stores, Supermarkets"	"BLINDS, TABLECLOTHS"	
"PARKS, FORESTRY & RECREATION"	2931-27	2014-03-25	2014-03-26	J   J CRAFTS	227.27	CAD	227.27	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5970	"Artist Supply Stores, Craft Shops"	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2936-41	2014-03-29	2014-03-31	FABRICLAND DISTRIBUTOR	177.35	CAD	177.35	CAD	3320	FIXTURES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5949	"Fabric, Needlework, Piece Goods, and Sew"	CURTAINS	
"PARKS, FORESTRY & RECREATION"	2936-42	2014-03-29	2014-03-31	LOWES #02633*	34.96	CAD	34.96	CAD	2575	ELECTRICAL SUPPLIES	P12286	PS-OP-SPECIAL SERVICES-RIVERDALE	5200	Home Supply Warehouse	**MORE**  CAT 5E RJ45 NETWORKING CABLE 14FT	
					984.92	CAD	984.92	CAD								
"PARKS, FORESTRY & RECREATION"	2900-38	2014-02-26	2014-03-03	NAPA WOODBRIDGE #759	711.90	CAD	711.90	CAD	2401	LUBRICANTS	*****	UNASSIGNED	5533	"Automotive Parts, Accessories Stores"	15W40 OIL	
"PARKS, FORESTRY & RECREATION"	2910-59	2014-03-07	2014-03-10	THE BRICK-NORTH YORK	975.75	CAD	975.75	CAD	3099	GENERAL EQUIPMENT	P00859	ALNESS YD-YARD OPERNS	5712	"Equipment, Furniture, and Home Furnishin"	TV	
"PARKS, FORESTRY & RECREATION"	2928-10	2014-03-24	2014-03-25	MEDIA RESOURCES INTERN	107.35	CAD	107.35	CAD	4424	CONTRACTED SERVICES - GENERAL	P00853	ALNESS YD-TRADES	7311	Advertising Services	SCORE BOARD CONTROLLER REPAIR	
"PARKS, FORESTRY & RECREATION"	2931-28	2014-03-24	2014-03-26	NAPA WOODBRIDGE #759	753.70	CAD	753.70	CAD	2401	LUBRICANTS	P00409	N-EAST1-TURF&HORT	5533	"Automotive Parts, Accessories Stores"	15W40 OIL	
					"2,548.70"	CAD	"2,548.70"	CAD								
FACILITIES MANAGEMENT 	2927-43	2014-03-21	2014-03-24	RAYETTE FOREST PRODUCT	54.92	CAD	54.92	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61251581	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5211	"Building Materials, Lumber Stores"	DRAWER SLIDES	
					54.92	CAD	54.92	CAD								
"PARKS, FORESTRY & RECREATION"	2900-39	2014-02-28	2014-03-03	LONG   MCQUADE LIMITED	76.84	CAD	76.84	CAD	4590	RENTAL - OTHER	P06454	FAIRBANK CC-ARTS-VISL/PERF	7399	Business Services - Not Elsewhere Classi	SOUND EQUIPMENT RENTAL	
"PARKS, FORESTRY & RECREATION"	2917-34	2014-03-12	2014-03-14	PLAYTIME BOWL INC	532.00	CAD	532.00	CAD	4118	TICKETS AND ADMISSION FEES	P04928	FAIRBANK CC-HOLIDAY CAMPS	7933	Bowling Alleys	ADMISSION FEES	
"PARKS, FORESTRY & RECREATION"	2922-28	2014-03-18	2014-03-19	TUCKERS POTTERY SUPPLI	213.23	CAD	213.23	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06454	FAIRBANK CC-ARTS-VISL/PERF	5970	"Artist Supply Stores, Craft Shops"	GLAZES	
"PARKS, FORESTRY & RECREATION"	2936-43	2014-03-28	2014-03-31	TUCKERS POTTERY SUPPLI	120.23	CAD	120.23	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06454	FAIRBANK CC-ARTS-VISL/PERF	5970	"Artist Supply Stores, Craft Shops"	CLAY	
					942.30	CAD	942.30	CAD								
"PARKS, FORESTRY & RECREATION"	2913-41	2014-03-11	2014-03-12	NO FRILLS #753	7.99	CAD	7.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12051	PARKLAWN-COMM CTR-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FROOT LOOPS CEREAL	
"PARKS, FORESTRY & RECREATION"	2916-40	2014-03-11	2014-03-13	CURRY'S - MISSISSAUGA	62.12	CAD	62.12	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12051	PARKLAWN-COMM CTR-PRGM SUPPORT	5970	"Artist Supply Stores, Craft Shops"	ART SUPPLIES FOR MARCH BREAK VISUAL ARTS CAMP	
"PARKS, FORESTRY & RECREATION"	2916-41	2014-03-12	2014-03-13	SOBEYS #7383       QPS	36.00	CAD	36.00	CAD	4225	BUSINESS TRAV - PUBLIC TRANSIT	P12051	PARKLAWN-COMM CTR-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	TTC TICKETS - MARCH BREAK OUTING	
"PARKS, FORESTRY & RECREATION"	2917-35	2014-03-13	2014-03-14	CHILD'S PLAY	240.70	CAD	240.70	CAD	4118	TICKETS AND ADMISSION FEES	P12051	PARKLAWN-COMM CTR-PRGM SUPPORT	5812	"Eating Places, Restaurants"	ADMISSION-MARCH BREAK CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2917-36	2014-03-13	2014-03-14	SQ *DAVID LOWE THE BUC	155.00	CAD	155.00	CAD	4102	ENTERTAINER AND BAND FEES	P12051	PARKLAWN-COMM CTR-PRGM SUPPORT	7929	"Bands, Orchestras, and Miscellaneous Ent"	DRUMMING WORKSHOP FOR PRESCHOOL CAMP	
"PARKS, FORESTRY & RECREATION"	2918-48	2014-03-14	2014-03-17	WAL-MART # 3031	21.50	CAD	21.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12051	PARKLAWN-COMM CTR-PRGM SUPPORT	5310	Discount Stores	"WATER, FUZZY PEACHE, BERRIES BOX,GUMMIES"	
					523.31	CAD	523.31	CAD								
EMERGENCY MEDICAL SERVICES	2932-27	2014-03-23	2014-03-27	THE SOURCE #51890	112.99	CAD	112.99	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	B46750	OPS - SERVICE DISTRICT 2	5732	Electronic Sales	HANDS FREE SPEAKER PHONE	
					112.99	CAD	112.99	CAD								
FACILITIES MANAGEMENT 	2917-37	2014-03-12	2014-03-14	THE HOME DEPOT #7080	45.19	CAD	45.19	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61252500	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	WMPBLOCKBOX	
FACILITIES MANAGEMENT 	2927-44	2014-03-20	2014-03-24	INTERIOR CO-ORDINATORS	203.40	CAD	203.40	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61254301	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	PAPER TOWEL DISPENSER	
FACILITIES MANAGEMENT 	2936-44	2014-03-27	2014-03-31	THE HOME DEPOT #7080	9.85	CAD	9.85	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61254921	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	EVERBILT	
FACILITIES MANAGEMENT 	2936-45	2014-03-28	2014-03-31	ACKLANDS-GRAINGER INC	233.32	CAD	233.32	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61254700	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5085	Industrial Supplies Not Elsewhere Classi	MATERIALS	
					491.76	CAD	491.76	CAD								
"PARKS, FORESTRY & RECREATION"	2901-23	2014-03-03	2014-03-04	SOUTH BAY VIEW VALU-MA	17.56	CAD	17.56	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01970	MAURICE CODY-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"BRWN SUGAR, HONEY, POPCORN, BUTTER"	
"PARKS, FORESTRY & RECREATION"	2910-60	2014-03-06	2014-03-10	PARTY CITY #2027	55.04	CAD	55.04	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06295	MAURICE CODY-ARTS-VISL/PERF	5947	"Card, Gift, Novelty, and Souvenir Shops"	HELIUM BALLOONS	
"PARKS, FORESTRY & RECREATION"	2910-61	2014-03-08	2014-03-10	SOUTH BAY VIEW VALU-MA	46.51	CAD	46.51	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06295	MAURICE CODY-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	FRUIT JUICES	
"PARKS, FORESTRY & RECREATION"	2910-62	2014-03-08	2014-03-10	LONG   MCQUADE LIMITED	40.68	CAD	40.68	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	P06295	MAURICE CODY-ARTS-VISL/PERF	7399	Business Services - Not Elsewhere Classi	LIGHTING RENTAL	
"PARKS, FORESTRY & RECREATION"	2912-27	2014-03-07	2014-03-11	DESERRES	16.61	CAD	16.61	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06295	MAURICE CODY-ARTS-VISL/PERF	5970	"Artist Supply Stores, Craft Shops"	"FACE PAINT, FELT, BRISTOL BOARD"	
"PARKS, FORESTRY & RECREATION"	2913-42	2014-03-11	2014-03-12	PHARMA PLUS DRUGMARTS	13.07	CAD	13.07	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04752	MAURICE CODY-HOLIDAY CAMPS	5912	"Drug Stores, Pharmacies"	"ALKA SELTZER, ZIPLOCK BAGS"	
"PARKS, FORESTRY & RECREATION"	2913-43	2014-03-10	2014-03-12	DESERRES	-9.76	CAD	-9.76	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06295	MAURICE CODY-ARTS-VISL/PERF	5970	"Artist Supply Stores, Craft Shops"	REFUND ON FACE PAINT	
"PARKS, FORESTRY & RECREATION"	2916-42	2014-03-11	2014-03-13	ROGERS STADIUM LIMITED	293.25	CAD	293.25	CAD	4118	TICKETS AND ADMISSION FEES	P04752	MAURICE CODY-HOLIDAY CAMPS	7922	Theatrical Producers (except Motion Pict	ADMISSION - MARCH BREAK CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2916-43	2014-03-11	2014-03-13	ROGERS STADIUM LIMITED	433.50	CAD	433.50	CAD	4118	TICKETS AND ADMISSION FEES	P04746	HILLCREST-HOLIDAY CAMPS	7922	Theatrical Producers (except Motion Pict	ADMISSION - MARCH BREAK CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2916-44	2014-03-11	2014-03-13	METRO #758	4.53	CAD	4.53	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04752	MAURICE CODY-HOLIDAY CAMPS	5411	"Grocery Stores, Supermarkets"	"BAKING SODA, VINEGAR, EGGS"	
"PARKS, FORESTRY & RECREATION"	2927-45	2014-03-21	2014-03-24	MARCHANT'S SCHOOL SPOR	175.09	CAD	175.09	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P09924	MAURICE CODY-INSTRL	5941	Sporting Goods Stores	SPONGE HOCKEY EQUIPMENT	
					"1,086.08"	CAD	"1,086.08"	CAD								
"PARKS, FORESTRY & RECREATION"	2900-40	2014-02-27	2014-03-03	TARGET CANADA T3715	58.80	CAD	58.80	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-VISL/PERF	5311	Department Stores	COSTUMES	
"PARKS, FORESTRY & RECREATION"	2900-41	2014-02-27	2014-03-03	PARTY CITY #2028	84.53	CAD	84.53	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-VISL/PERF	5947	"Card, Gift, Novelty, and Souvenir Shops"	HATS	
"PARKS, FORESTRY & RECREATION"	2900-42	2014-02-28	2014-03-03	WAL-MART # 3055	1.74	CAD	1.74	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04931	HOLLYCREST CS-HOLIDAY CAMPS	5411	"Grocery Stores, Supermarkets"	CANDY FOR MARCH BREAK	
"PARKS, FORESTRY & RECREATION"	2900-43	2014-02-28	2014-03-03	TARGET CANADA T3636	23.52	CAD	23.52	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-VISL/PERF	5310	Discount Stores	COSTUMES	
