Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Work Order Number	Cost Centre/WBS Element/Work Order Number Description	Merchant Type	Merchant Type Description	Purpose	
					"1,488.45"	CAD	"1,488.45"	CAD								
"PARKS, FORESTRY & RECREATION"	2881-25	2014-02-14	2014-02-17	AURORA IMPORTING AND D	201.14	CAD	201.14	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P06786	OURLAND-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	REPLACEMENT BOCCE BALLS	
					201.14	CAD	201.14	CAD								
LONG TERM CARE HOMES	2871-13	2014-02-07	2014-02-10	ADVANCED GERONTOLOGICA	678.00	CAD	678.00	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	D3B083	CASTLEVIEW WYCHWOOD-PS-PS	8398	"Organizations, Charitable and Social Ser"	GPA WORKSHOP	
LONG TERM CARE HOMES	2871-14	2014-02-07	2014-02-10	ADVANCED GERONTOLOGICA	678.00	CAD	678.00	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	D3B083	CASTLEVIEW WYCHWOOD-PS-PS	8398	"Organizations, Charitable and Social Ser"	GPA WORKSHOP	
LONG TERM CARE HOMES	2871-15	2014-02-07	2014-02-10	ADVANCED GERONTOLOGICA	678.00	CAD	678.00	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	D3B083	CASTLEVIEW WYCHWOOD-PS-PS	8398	"Organizations, Charitable and Social Ser"	GPA WORKSHOP	
LONG TERM CARE HOMES	2894-11	2014-02-25	2014-02-26	ALYPSIS INC	85.35	CAD	85.35	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3B083	CASTLEVIEW WYCHWOOD-PS-PS	5977	Cosmetic Stores	COMPLEMENTARY CARE SUPPLIES	
					"2,119.35"	CAD	"2,119.35"	CAD								
LONG TERM CARE HOMES	2881-26	2014-02-14	2014-02-17	GFL ENVIRONMENTAL EAST	"1,518.04"	CAD	"1,518.04"	CAD	4440	CONTRACTED SERVICES - WASTE DISPOSAL	D3D061	KIPLING ACRES-MT-OA	7349	"Cleaning and Maintenance, Janitorial Ser"	WASTE & RECYCLING DISPOSABLE	
LONG TERM CARE HOMES	2887-11	2014-02-19	2014-02-21	WAL-MART #1137	9.01	CAD	9.01	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3D061	KIPLING ACRES-MT-OA	5411	"Grocery Stores, Supermarkets"	CONTACT STICKON PAPER TO INSTALL ON MIRRORS	
					"1,527.05"	CAD	"1,527.05"	CAD								
LONG TERM CARE HOMES	2865-14	2014-02-04	2014-02-05	BLINDS TO GO #44	337.64	CAD	337.64	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3K061	LAKESHORE LODGE-MT-OA	5714	"Drapery, Upholstery, and Window Covering"	BLINDS RESIDENT AREA	
LONG TERM CARE HOMES	2866-14	2014-02-04	2014-02-06	CDN TIRE STORE #00424	316.39	CAD	316.39	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3K061	LAKESHORE LODGE-MT-OA	5200	Home Supply Warehouse	POWER PACK	
LONG TERM CARE HOMES	2866-15	2014-02-05	2014-02-06	BLINDS TO GO #44	7.24	CAD	7.24	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3K061	LAKESHORE LODGE-MT-OA	5714	"Drapery, Upholstery, and Window Covering"	ADJUSTMENT TO BLIND ROLLER	
LONG TERM CARE HOMES	2875-13	2014-02-11	2014-02-12	LOCK UP SERVICES	315.26	CAD	315.26	CAD	4463	CONTRACTED SERVICES - LOCKING SYSTEMS	D3K061	LAKESHORE LODGE-MT-OA	7399	Business Services - Not Elsewhere Classi	LOCK UP SERVICES	
					976.53	CAD	976.53	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2860-6	2014-01-31	2014-02-04	PRESSE COMMERCE	785.19	CAD	785.19	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5994	News Dealers and Newsstands	**MORE**  TOY SWORDS & CROWNS FOR RESALE/TOY SWORD	
ECONOMIC DEVELOPMENT & CULTURE	2865-15	2014-02-04	2014-02-05	INDEPENDENT PUBLISHERS	521.95	CAD	459.18	USD	2990	GIFT SHOP ITEMS FOR RESALE	AH0117	HS-MH-RETAIL-FORT YORK	2741	Miscellaneous Publishing and Printing	BOOKS FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2875-14	2014-02-11	2014-02-12	INDEPENDENT PUBLISHERS	-297.51	CAD	-264.31	USD	2990	GIFT SHOP ITEMS FOR RESALE	AH0117	HS-MH-RETAIL-FORT YORK	2741	Miscellaneous Publishing and Printing	REFUND OF OVER SHIPPED BOOKS	
ECONOMIC DEVELOPMENT & CULTURE	2885-9	2014-02-18	2014-02-19	DISTRIBUTION SIGNATURE	372.82	CAD	372.82	CAD	*****	GIFT SHOP ITEMS FOR RESALE	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5111	"Stationery, Office Supplies, Printing an"	RIBBON FOR EVENT / BAGS FOR STORE MERCHANDISE	
ECONOMIC DEVELOPMENT & CULTURE	2887-12	2014-02-20	2014-02-21	LOBLAW QUEEN   PORTLAN	99.49	CAD	99.49	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"ORANGE,ORANGE JUICE,CLEMENTINE,LEMON"	
ECONOMIC DEVELOPMENT & CULTURE	2887-13	2014-02-20	2014-02-21	EUROPEAN HOTEL AND RES	288.15	CAD	288.15	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5812	"Eating Places, Restaurants"	LARGE CAPACITY URN FOR TEA	
ECONOMIC DEVELOPMENT & CULTURE	2893-18	2014-02-24	2014-02-25	HOUSE OF MARBLES	682.66	CAD	601.83	USD	2990	GIFT SHOP ITEMS FOR RESALE	AH0117	HS-MH-RETAIL-FORT YORK	5945	"Game, Toy, and Hobby Shops"	CHILDREN'S GAMES FOR RESALE	
					"2,452.75"	CAD	"1,545.65"	CAD								
							796.70	USD								
ECONOMIC DEVELOPMENT & CULTURE	2886-17	2014-02-19	2014-02-20	HOOTSUITE MEDIA INC.	12.82	CAD	11.29	USD	4414	ADVERTISING & PROMOTION	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	5968	Direct Marketing - Continuity/Subscripti	SOCIAL MEDIA ADVERTISEMENT	
ECONOMIC DEVELOPMENT & CULTURE	2894-12	2014-02-24	2014-02-26	METRO #720	108.93	CAD	108.93	CAD	*****	FOOD & NON-ALCOHOLIC BEVERAGES	AH0088	HS-MH-PROGRAM SUPPORT-METRO HALL	5411	"Grocery Stores, Supermarkets"	"WATER,BROWNIES,COOKIES,FRUIT,NAPKINS,UTENSILS,TABL"	
					121.75	CAD	108.93	CAD								
							11.29	USD								
ECONOMIC DEVELOPMENT & CULTURE	2890-14	2014-02-21	2014-02-24	LCBO/RAO #0015	25.00	CAD	25.00	CAD	4830	PERMIT & LICENSE FEES	AH0136	HS-MH-BD COMM SUPP-SPADINA	5921	"Package Stores, Beer, Wine, Liquor"	SPECIAL OCCASION PERMIT FOR EXHIBIT	
ECONOMIC DEVELOPMENT & CULTURE	2893-19	2014-02-24	2014-02-25	FABRICLAND DISTRIBUTOR	10.17	CAD	10.17	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0136	HS-MH-BD COMM SUPP-SPADINA	5949	"Fabric, Needlework, Piece Goods, and Sew"	NOTION FOR COSTUME	
ECONOMIC DEVELOPMENT & CULTURE	2894-13	2014-02-25	2014-02-26	DISTRIBUTION SIGNATURE	323.18	CAD	323.18	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	AH0136	HS-MH-BD COMM SUPP-SPADINA	5111	"Stationery, Office Supplies, Printing an"	LABELS FOR COSTUME EXHIBIT	
ECONOMIC DEVELOPMENT & CULTURE	2894-14	2014-02-25	2014-02-26	SQ *FASHION HISTORY MU	"1,179.72"	CAD	"1,179.72"	CAD	4590	RENTAL - OTHER	AH0136	HS-MH-BD COMM SUPP-SPADINA	8398	"Organizations, Charitable and Social Ser"	"RENTAL OF DRESS FORMS, HAT STANDS FOR EXHIBIT"	
ECONOMIC DEVELOPMENT & CULTURE	2897-8	2014-02-27	2014-02-28	FABRICLAND DISTRIBUTOR	21.47	CAD	21.47	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0136	HS-MH-BD COMM SUPP-SPADINA	5949	"Fabric, Needlework, Piece Goods, and Sew"	FABRIC & NOTION FOR COSTUME EXHIBIT	
					"1,559.54"	CAD	"1,559.54"	CAD								
CITY CLERK'S OFFICE	2896-17	2014-02-25	2014-02-27	PAYPAL *CDN EVENTS	281.37	CAD	281.37	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	GV0019	PROTOCOL	5942	Book Stores	REGISTRATION FOR BOOTCAMP FOR EVENT APP TECHNOLOGY	
					281.37	CAD	281.37	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2859-9	2014-01-29	2014-02-03	BEE BY THE SEA NATURAL	215.27	CAD	215.27	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5977	Cosmetic Stores	"BODY CREAM, BODY WASH, LIP BALM FOR RESALE"	
ECONOMIC DEVELOPMENT & CULTURE	2860-7	2014-02-03	2014-02-04	BACON BASKETWARE LTD	253.04	CAD	253.04	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5970	"Artist Supply Stores, Craft Shops"	ASSORTED GIFTWARE FOR GIFT SHOP RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2871-16	2014-02-06	2014-02-10	RAINCOAST BOOK DSTRBTN	121.26	CAD	121.26	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5942	Book Stores	BOOKS FOR GIFT SHOP RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2875-15	2014-02-11	2014-02-12	HARPER COLLINS CANADA	145.69	CAD	145.69	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5942	Book Stores	BOOKS FOR GIFT SHOP RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2877-13	2014-02-11	2014-02-13	JAFSONS INTERNATIONAL	204.04	CAD	204.04	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5712	"Equipment, Furniture, and Home Furnishin"	ASSORTED GIFTWARE FOR GIFT SHOP RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2877-14	2014-02-11	2014-02-13	EMPRESS EASY WEAR INC	121.70	CAD	121.70	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5691	Men's and Women's Clothing Stores	HEADBANDS FOR GIFT SHOP RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2877-15	2014-02-12	2014-02-13	DAZZLING GOURMET GIFTS	226.31	CAD	226.31	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5331	Variety Stores	FOOD ACCESSORIES FOR GIFT SHOP RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2877-16	2014-02-12	2014-02-13	MCINTOSH TRADING	210.89	CAD	210.89	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5950	Crystal and Glassware Stores	GROUP OF SEVEN GIFTWARE FOR RESALE.	
ECONOMIC DEVELOPMENT & CULTURE	2877-17	2014-02-12	2014-02-13	HOLLAND DRIED FLOWERS	182.83	CAD	182.83	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5992	Florists	LAVENDAR & SACHETS FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2880-10	2014-02-12	2014-02-14	FORPOST TRADE	276.62	CAD	276.62	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5947	"Card, Gift, Novelty, and Souvenir Shops"	FLOWER GIFTWARE FOR RESALE.	
ECONOMIC DEVELOPMENT & CULTURE	2880-11	2014-02-12	2014-02-14	SUZIE BLUE CANADA	390.30	CAD	390.30	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5944	"Clock, Jewelry, Watch, and Silverware St"	ACCESSORIES FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2880-12	2014-02-12	2014-02-14	SHOPPERS DRUG MART #12	81.00	CAD	81.00	CAD	4225	BUSINESS TRAV - PUBLIC TRANSIT	AH0094	HS-MH-PROGRAM SUPPORT-SPADINA	5912	"Drug Stores, Pharmacies"	TOKENS	
ECONOMIC DEVELOPMENT & CULTURE	2880-13	2014-02-13	2014-02-14	RUSTY GARDEN SUPPLY	235.61	CAD	235.61	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5261	Lawn and Garden Supply Stores	GARDEN DECORATIONS FOR RESALE.	
ECONOMIC DEVELOPMENT & CULTURE	2880-14	2014-02-13	2014-02-14	GALERIE INDRA	296.63	CAD	296.63	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5712	"Equipment, Furniture, and Home Furnishin"	ASSORTED GIFTWARE FOR GIFT SHOP RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2880-15	2014-02-13	2014-02-14	FIREFLY BOOKS	359.27	CAD	359.27	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5942	Book Stores	BOOKS FOR GIFT SHOP RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2880-16	2014-02-13	2014-02-14	BACON BASKETWARE LTD	-15.26	CAD	-15.26	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5970	"Artist Supply Stores, Craft Shops"	DAMAGED GOODS CREDIT	
ECONOMIC DEVELOPMENT & CULTURE	2881-27	2014-02-11	2014-02-17	THOMAS ALLEN   SON LIM	196.56	CAD	196.56	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5969	Direct Marketing - Other Direct Marketer	SPECIALTY BOOKS FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2881-28	2014-02-11	2014-02-17	FACINIE	114.45	CAD	114.45	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5631	Women's Accessory and Specialty Stores	HANDBAGS FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2881-29	2014-02-14	2014-02-17	UNIVERSITY OF TORONTO	343.08	CAD	343.08	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5942	Book Stores	BOOKS FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2881-30	2014-02-14	2014-02-17	POMEGRANATE COMMUNICAT	470.31	CAD	470.31	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	2741	Miscellaneous Publishing and Printing	ASSORTED GIFTWARE FOR GIFT SHOP RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2885-10	2014-02-18	2014-02-19	ABBOTT	363.86	CAD	363.86	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5719	Miscellaneous House Furnishing Specialty	ASSORTED GIFTWARE FOR GIFT SHOP RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2885-11	2014-02-18	2014-02-19	ABBOTT	47.46	CAD	47.46	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5719	Miscellaneous House Furnishing Specialty	BACKORDER ASSORTED GIFTWARE FOR RESALE.	
ECONOMIC DEVELOPMENT & CULTURE	2886-18	2014-02-19	2014-02-20	INNOVATIVE LOGISTICS L	133.49	CAD	117.54	USD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	7399	Business Services - Not Elsewhere Classi	BOOKS FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2887-14	2014-02-20	2014-02-21	AROMASOURCE INC	829.00	CAD	829.00	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5977	Cosmetic Stores	TOILETRIES FOR RESALE.	
ECONOMIC DEVELOPMENT & CULTURE	2890-15	2014-02-19	2014-02-24	ACTIVE AMERICA CORP	535.59	CAD	535.59	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5651	Family Clothing Stores	HATS FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2890-16	2014-02-20	2014-02-24	J.L. BRADSHAW LTD	235.12	CAD	235.12	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5947	"Card, Gift, Novelty, and Souvenir Shops"	ASSORTED GIFTWARE FOR GIFT SHOP RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2890-17	2014-02-21	2014-02-24	CLAYWORKS  CANDLES	125.72	CAD	125.72	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5970	"Artist Supply Stores, Craft Shops"	ASSORTED GIFTWARE FOR GIFT SHOP RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2893-20	2014-02-24	2014-02-25	STERLING PUBLISHING	60.34	CAD	53.20	USD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5942	Book Stores	BOOKS FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2894-15	2014-02-24	2014-02-26	RAINCOAST BOOK DSTRBTN	129.21	CAD	129.21	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5942	Book Stores	BOOKS FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2894-16	2014-02-25	2014-02-26	HACHETTE BOOK GRP	129.09	CAD	129.09	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5192	"Books, Periodicals, and Newspapers"	BOOKS FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2894-17	2014-02-25	2014-02-26	ASIATICA	142.67	CAD	142.67	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5719	Miscellaneous House Furnishing Specialty	ASSORTED GIFTWARE FOR GIFT SHOP RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2894-18	2014-02-25	2014-02-26	INDEPENDENT PUBLISHERS	85.34	CAD	85.34	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	2741	Miscellaneous Publishing and Printing	BOOKS FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2896-18	2014-02-26	2014-02-27	ALL FIRED UP  LTD. QCO	453.70	CAD	453.70	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5719	Miscellaneous House Furnishing Specialty	ASSORTED GIFTWARE FOR RESALE.	
ECONOMIC DEVELOPMENT & CULTURE	2896-19	2014-02-26	2014-02-27	1928 JEWELRY CO.	592.58	CAD	519.53	USD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5944	"Clock, Jewelry, Watch, and Silverware St"	DOWNTON JEWELRY FOR RESALE.	
ECONOMIC DEVELOPMENT & CULTURE	2896-20	2014-02-26	2014-02-27	RH RANDOM HOUSE OF CA	359.90	CAD	359.90	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5969	Direct Marketing - Other Direct Marketer	BOOKS FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2897-9	2014-02-27	2014-02-28	FRASER DIRECT DISTRIBU	108.23	CAD	108.23	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5942	Book Stores	BOOKS FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2897-10	2014-02-27	2014-02-28	AROMASOURCE INC	35.09	CAD	35.09	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5977	Cosmetic Stores	ASSORTED GIFTWARE FOR GIFT SHOP RESALE	
					"8,795.99"	CAD	"8,009.58"	CAD								
							690.27	USD								
"PARKS, FORESTRY & RECREATION"	2871-17	2014-02-06	2014-02-10	CDN TIRE STORE #00070	48.79	CAD	48.79	CAD	2401	LUBRICANTS	P10910	CENTENNIAL SKI CTR-OPERATIONS	5200	Home Supply Warehouse	OIL FOR SNOWMOBILE	
"PARKS, FORESTRY & RECREATION"	2875-16	2014-02-11	2014-02-12	TECHNICAL STANDARDS	70.00	CAD	70.00	CAD	4830	PERMIT & LICENSE FEES	P10910	CENTENNIAL SKI CTR-OPERATIONS	7392	"Consulting, Management, and Public Relat"	ENGINEER'S CERTIFICATE RENEWAL	
"PARKS, FORESTRY & RECREATION"	2875-17	2014-02-11	2014-02-12	TECHNICAL STANDARDS	888.75	CAD	888.75	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P10910	CENTENNIAL SKI CTR-OPERATIONS	7392	"Consulting, Management, and Public Relat"	SKI LIFT INSPECTION	
"PARKS, FORESTRY & RECREATION"	2880-17	2014-02-13	2014-02-14	TECHNICAL STANDARDS	242.39	CAD	242.39	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P10910	CENTENNIAL SKI CTR-OPERATIONS	7392	"Consulting, Management, and Public Relat"	SKI LIFT INSPECTION	
"PARKS, FORESTRY & RECREATION"	2880-18	2014-02-13	2014-02-14	TECHNICAL STANDARDS	121.19	CAD	121.19	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P10910	CENTENNIAL SKI CTR-OPERATIONS	7392	"Consulting, Management, and Public Relat"	SKI LIFT INSPECTION	
					"1,371.12"	CAD	"1,371.12"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2871-18	2014-02-06	2014-02-10	LINDT   SPRUNGLI	33.90	CAD	33.90	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5441	"Candy, Nut, Confectionery Stores"	CHOCOLATE FOR VOLUNTEER GIFTS	
ECONOMIC DEVELOPMENT & CULTURE	2894-19	2014-02-25	2014-02-26	NO FRILLS #753	86.51	CAD	86.51	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	"CHEESE, CRACKERS, COOKIES, FRUIT, MINI TARTS"	
					120.41	CAD	120.41	CAD								
"PARKS, FORESTRY & RECREATION"	2872-4	2014-02-10	2014-02-11	CUSTOM DOOR   LOCK SER	57.97	CAD	57.97	CAD	2730	LOCKS	P01191	S-CENTRAL AIRS-OPERATIONS	5533	"Automotive Parts, Accessories Stores"	SPARE KEYS AND KEY TAGS	
"PARKS, FORESTRY & RECREATION"	2875-18	2014-02-10	2014-02-12	CDN TIRE STORE #00654	3.15	CAD	3.15	CAD	2730	LOCKS	P01191	S-CENTRAL AIRS-OPERATIONS	5200	Home Supply Warehouse	SPARE TRUCK KEY	
					61.12	CAD	61.12	CAD								
"PARKS, FORESTRY & RECREATION"	2859-10	2014-01-31	2014-02-03	THE HOME DEPOT #7107	51.80	CAD	51.80	CAD	3080	M & E - HAND TOOLS	P00016	C-FORESTRY GEN-PLANT/NURSERY	5200	Home Supply Warehouse	**MORE**  TINNER SNIP	
"PARKS, FORESTRY & RECREATION"	2865-16	2014-02-03	2014-02-05	CDN TIRE STORE #00209	51.96	CAD	51.96	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00016	C-FORESTRY GEN-PLANT/NURSERY	5200	Home Supply Warehouse	TELESCOPING ICE SCRAPERS FOR LARGE VEHICLES	
					103.76	CAD	103.76	CAD								
"PARKS, FORESTRY & RECREATION"	2896-21	2014-02-26	2014-02-27	TDSB-PURCHASING	105.29	CAD	105.29	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10327	PLEASANTVIEW-PRGM SUPPORT	8299	Educational Services	RECREATION SUPPLIES	
					105.29	CAD	105.29	CAD								
"PARKS, FORESTRY & RECREATION"	2866-16	2014-02-05	2014-02-06	66282 MAC'S POSTAL OFF	12.17	CAD	12.17	CAD	4805	POSTAGE	P01149	E-CENTRAL-SPORTS & REC-FITNESS-AD.INST.	9402	Postal Services - Government Only	POSTAGE-LETTER TO STAFF	
					12.17	CAD	12.17	CAD								
"PARKS, FORESTRY & RECREATION"	2872-5	2014-02-10	2014-02-11	CANADA COMPUTERS #15	90.38	CAD	90.38	CAD	2650	COMPUTER AND PRINTER SUPPLIES	P12786	KIPLING YD-S-FAC. & MECH.SVCES	5734	Computer Software Stores	COMPUTER CORDS	
"PARKS, FORESTRY & RECREATION"	2886-19	2014-02-10	2014-02-20	TRIMATE ELECTRIC SUPPL	408.09	CAD	408.09	CAD	2575	ELECTRICAL SUPPLIES	P12786	KIPLING YD-S-FAC. & MECH.SVCES	7629	"Appliance Repair Shops, Electrical and S"	ELECTRICAL SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2886-20	2014-02-14	2014-02-20	TRIMATE ELECTRIC SUPPL	237.30	CAD	237.30	CAD	2575	ELECTRICAL SUPPLIES	P12786	KIPLING YD-S-FAC. & MECH.SVCES	7629	"Appliance Repair Shops, Electrical and S"	ELECTRICAL SUPPLIES	
					735.77	CAD	735.77	CAD								
"PARKS, FORESTRY & RECREATION"	2859-11	2014-01-31	2014-02-03	BEECH BROS LIMITED	126.66	CAD	126.66	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06778	FAIRFIELD SENIORS-PRGM SUPPORT	5441	"Candy, Nut, Confectionery Stores"	SOUP	
					126.66	CAD	126.66	CAD								
"PARKS, FORESTRY & RECREATION"	2860-8	2014-02-03	2014-02-04	LONG   MCQUADE LIMITED	34.14	CAD	34.14	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P12585	CARMINE STEFANO CC - ART-VIS/PERF OLD AD	7399	Business Services - Not Elsewhere Classi	MUSIC BOOKS	
"PARKS, FORESTRY & RECREATION"	2875-19	2014-02-07	2014-02-12	ABLE LOCK SERVICE LTD.	19.21	CAD	19.21	CAD	2730	LOCKS	P06715	CARMINE STEFANO CC - PROGRAM SUPPORT	7393	"Detective Agencies, Protective Agencies,"	KEYS CUT	
"PARKS, FORESTRY & RECREATION"	2890-18	2014-02-20	2014-02-24	CDN TIRE STORE #00119	13.98	CAD	13.98	CAD	2710	GENERAL HARDWARE	P06715	CARMINE STEFANO CC - PROGRAM SUPPORT	5200	Home Supply Warehouse	"HEX, LYSOL WIPES"	
"PARKS, FORESTRY & RECREATION"	2893-21	2014-02-21	2014-02-25	CDN TIRE STORE #00119	9.01	CAD	9.01	CAD	2710	GENERAL HARDWARE	P06715	CARMINE STEFANO CC - PROGRAM SUPPORT	5200	Home Supply Warehouse	"WASHR LOC, HX, WASHR CUT"	
					76.34	CAD	76.34	CAD								
