Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
CITY CLERK'S OFFICE	3087-42	2014-07-18	2014-07-21	WP-ANTHROPICS TECH	67.45	CAD	67.45	CAD	4082	PHOTO/VIDEO SERVICES	GV0019	PROTOCOL	5045	"Computers, Computer Peripheral Equipment"	PORTRAIT PROFESSIONAL-PHOTOVIDEO	
CITY CLERK'S OFFICE	3087-43	2014-07-18	2014-07-21	TORONTO BOTANICAL GARD	762.75	CAD	762.75	CAD	4590	RENTAL - OTHER	GV0019	PROTOCOL	5261	Lawn and Garden Supply Stores	ROOM RENTAL FOR CITY MANAGERS AWARDS	
					"1,192.55"	CAD	"1,192.55"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3067-12	2014-07-07	2014-07-08	OPTION 2 LTD	56.50	CAD	56.50	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5947	"Card, Gift, Novelty, and Souvenir Shops"	ANTIQUE FINISH MIRROR TRAY FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	3072-18	2014-07-08	2014-07-09	OPTION 2 LTD	6.56	CAD	6.56	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5947	"Card, Gift, Novelty, and Souvenir Shops"	ANTIQUE FINISH MIRROR TRAY FOR RESALE	
					63.06	CAD	63.06	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3078-30	2014-07-11	2014-07-14	THE WRITERS' UNION OF	79.10	CAD	79.10	CAD	4760	MEMBERSHIP FEES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	8398	"Organizations, Charitable and Social Ser"	ADMINISTRATIVE FEE	
					79.10	CAD	79.10	CAD								
"PARKS, FORESTRY & RECREATION"	3081-30	2014-07-14	2014-07-16	CDN TIRE STORE #00209	93.40	CAD	93.40	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P00016	C-FORESTRY GEN-PLANT/NURSERY	5200	Home Supply Warehouse	DRIVING BOOK	
					93.40	CAD	93.40	CAD								
"PARKS, FORESTRY & RECREATION"	3085-26	2014-07-16	2014-07-18	FOOD BASICS #692	92.81	CAD	92.81	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04343	PLEASANTVIEW-HOLIDAY CAMPS	5411	"Grocery Stores, Supermarkets"	FOOD/REFRESHMENTS FOR SUMMER CAMPS	
"PARKS, FORESTRY & RECREATION"	3085-27	2014-07-16	2014-07-18	FOOD BASICS #692	368.42	CAD	368.42	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04343	PLEASANTVIEW-HOLIDAY CAMPS	5411	"Grocery Stores, Supermarkets"	FOOD/REFRESHMENTS FOR SUMMER CAMPS	
"PARKS, FORESTRY & RECREATION"	3091-16	2014-07-22	2014-07-23	2001 AUDIO VIDEO	944.96	CAD	944.96	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P13487	PARKWAY FOREST- PRGM SUPPORT CR	5732	Electronic Sales	PORTABLE STEREO FOR NEW PARKWAY FOREST CC	
					"1,406.19"	CAD	"1,406.19"	CAD								
"PARKS, FORESTRY & RECREATION"	3059-17	2014-06-30	2014-07-02	EUROPEAN QUALITY MEATS	70.00	CAD	70.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06778	FAIRFIELD SENIORS-PRGM SUPPORT	5422	"Freezer, Locker Meat Provisioners"	WEEKLY CAMP BBQ FOOD ITEMS	
"PARKS, FORESTRY & RECREATION"	3061-31	2014-07-03	2014-07-04	EUROPEAN QUALITY MEATS	70.00	CAD	70.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06778	FAIRFIELD SENIORS-PRGM SUPPORT	5422	"Freezer, Locker Meat Provisioners"	WEEKLY BBQ	
"PARKS, FORESTRY & RECREATION"	3072-19	2014-07-08	2014-07-09	EUROPEAN QUALITY MEATS	198.00	CAD	198.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06778	FAIRFIELD SENIORS-PRGM SUPPORT	5422	"Freezer, Locker Meat Provisioners"	MEAT FOR WEEKLY BBQ	
"PARKS, FORESTRY & RECREATION"	3095-21	2014-07-24	2014-07-25	EUROPEAN QUALITY MEATS	198.00	CAD	198.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06778	FAIRFIELD SENIORS-PRGM SUPPORT	5422	"Freezer, Locker Meat Provisioners"	MEAT FOR WEEKLY BBQ	
					536.00	CAD	536.00	CAD								
"PARKS, FORESTRY & RECREATION"	3060-18	2014-07-02	2014-07-03	RCSS WESTON 2800	13.54	CAD	13.54	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06715	CARMINE STEFANO CC - PROGRAM SUPPORT	5411	"Grocery Stores, Supermarkets"	FREEZIES	
"PARKS, FORESTRY & RECREATION"	3060-19	2014-07-02	2014-07-03	RCSS WESTON 2800	81.11	CAD	81.11	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12583	CARMINE STEFANO CC - SOCIAL PRGM YOUTH	5411	"Grocery Stores, Supermarkets"	"RELISH, MUSTARD, BEEF BURGERS"	
"PARKS, FORESTRY & RECREATION"	3061-32	2014-07-03	2014-07-04	RCSS WESTON 2800	2.48	CAD	2.48	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12576	CARMINE STEFANO CC - SUMMER CAMP	5411	"Grocery Stores, Supermarkets"	ICE	
"PARKS, FORESTRY & RECREATION"	3061-33	2014-07-02	2014-07-04	CDN TIRE STORE #00119	174.99	CAD	174.99	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12576	CARMINE STEFANO CC - SUMMER CAMP	5200	Home Supply Warehouse	CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3061-34	2014-07-03	2014-07-04	RCSS WESTON 2800	48.46	CAD	48.46	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12576	CARMINE STEFANO CC - SUMMER CAMP	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR CAMP	
"PARKS, FORESTRY & RECREATION"	3065-28	2014-07-04	2014-07-07	RCSS WESTON 2800	37.82	CAD	37.82	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12576	CARMINE STEFANO CC - SUMMER CAMP	5411	"Grocery Stores, Supermarkets"	"TORTILLA, CHEESE, HAMBURGER ROLLS"	
"PARKS, FORESTRY & RECREATION"	3065-29	2014-07-04	2014-07-07	ARTISTIC WAY LTD	244.08	CAD	244.08	CAD	4118	TICKETS AND ADMISSION FEES	P12576	CARMINE STEFANO CC - SUMMER CAMP	5970	"Artist Supply Stores, Craft Shops"	CAMP ADMISSION	
"PARKS, FORESTRY & RECREATION"	3072-20	2014-07-08	2014-07-09	RIPLEYS AQUARIUM	"1,391.30"	CAD	"1,391.30"	CAD	4118	TICKETS AND ADMISSION FEES	P12576	CARMINE STEFANO CC - SUMMER CAMP	7998	"Aquariums, Dolphinariums, Seaquariums"	CAMP ADMISSION	
"PARKS, FORESTRY & RECREATION"	3074-25	2014-07-09	2014-07-10	RCSS WESTON 2800	86.56	CAD	86.56	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12576	CARMINE STEFANO CC - SUMMER CAMP	5411	"Grocery Stores, Supermarkets"	"WAFERS, GREEN ONIONS, CHEDDAR"	
"PARKS, FORESTRY & RECREATION"	3076-34	2014-07-10	2014-07-11	RCSS WESTON 2800	9.42	CAD	9.42	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12576	CARMINE STEFANO CC - SUMMER CAMP	5411	"Grocery Stores, Supermarkets"	"TORTILLA, CHEDDAR, RED PEPPERS"	
"PARKS, FORESTRY & RECREATION"	3076-35	2014-07-10	2014-07-11	DOLLAR TREE CANADA STO	4.24	CAD	4.24	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12576	CARMINE STEFANO CC - SUMMER CAMP	5331	Variety Stores	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3081-31	2014-07-15	2014-07-16	RCSS WESTON 2800	104.85	CAD	104.85	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12576	CARMINE STEFANO CC - SUMMER CAMP	5411	"Grocery Stores, Supermarkets"	"FREEZIES, APPLES"	
"PARKS, FORESTRY & RECREATION"	3083-15	2014-07-16	2014-07-17	FAMOUS PLAYER 7408QPS	367.00	CAD	367.00	CAD	4118	TICKETS AND ADMISSION FEES	P12576	CARMINE STEFANO CC - SUMMER CAMP	7832	Motion Picture Theaters	CAMP ADMISSION	
"PARKS, FORESTRY & RECREATION"	3085-28	2014-07-16	2014-07-18	WOODBRIDGE BOWL INC	378.00	CAD	378.00	CAD	4118	TICKETS AND ADMISSION FEES	P12576	CARMINE STEFANO CC - SUMMER CAMP	7933	Bowling Alleys	CAMP ADMISSION	
"PARKS, FORESTRY & RECREATION"	3085-29	2014-07-17	2014-07-18	RCSS WESTON 2800	18.87	CAD	18.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12576	CARMINE STEFANO CC - SUMMER CAMP	5411	"Grocery Stores, Supermarkets"	FRUITS	
"PARKS, FORESTRY & RECREATION"	3087-44	2014-07-18	2014-07-21	EUROPEAN QUALITY MEATS	158.00	CAD	158.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12576	CARMINE STEFANO CC - SUMMER CAMP	5422	"Freezer, Locker Meat Provisioners"	BURGERS	
"PARKS, FORESTRY & RECREATION"	3091-17	2014-07-22	2014-07-23	RCSS WESTON 2800	72.43	CAD	72.43	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12576	CARMINE STEFANO CC - SUMMER CAMP	5411	"Grocery Stores, Supermarkets"	"PIZZA SAUCE, CHEESE, PEPPERONI"	
"PARKS, FORESTRY & RECREATION"	3091-18	2014-07-22	2014-07-23	RCSS WESTON 2800	6.77	CAD	6.77	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12576	CARMINE STEFANO CC - SUMMER CAMP	5411	"Grocery Stores, Supermarkets"	FREEZIES	
"PARKS, FORESTRY & RECREATION"	3093-27	2014-07-23	2014-07-24	FAMOUS PLAYER 7408QPS	157.58	CAD	157.58	CAD	4118	TICKETS AND ADMISSION FEES	P12576	CARMINE STEFANO CC - SUMMER CAMP	7832	Motion Picture Theaters	CAMP ADMISSION	
"PARKS, FORESTRY & RECREATION"	3095-22	2014-07-23	2014-07-25	WOODBRIDGE BOWL INC	49.00	CAD	49.00	CAD	4118	TICKETS AND ADMISSION FEES	P12576	CARMINE STEFANO CC - SUMMER CAMP	7933	Bowling Alleys	CAMP ADMISSION	
"PARKS, FORESTRY & RECREATION"	3095-23	2014-07-23	2014-07-25	WAL-MART # 3740	31.01	CAD	31.01	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12576	CARMINE STEFANO CC - SUMMER CAMP	5411	"Grocery Stores, Supermarkets"	COLOUR POP	
"PARKS, FORESTRY & RECREATION"	3097-29	2014-07-25	2014-07-28	RCSS WESTON 2800	19.39	CAD	19.39	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12576	CARMINE STEFANO CC - SUMMER CAMP	5411	"Grocery Stores, Supermarkets"	FRUITS	
"PARKS, FORESTRY & RECREATION"	3097-30	2014-07-25	2014-07-28	DOLLAR TREE CANADA STO	4.24	CAD	4.24	CAD	2615	"DISHES, CUTLERY AND UTENSILS"	P12576	CARMINE STEFANO CC - SUMMER CAMP	5331	Variety Stores	"SPOONS, FORKS"	
"PARKS, FORESTRY & RECREATION"	3100-11	2014-07-25	2014-07-29	CDN TIRE STORE #00119	35.32	CAD	35.32	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12576	CARMINE STEFANO CC - SUMMER CAMP	5200	Home Supply Warehouse	"PADDLE, TABLE TENNIS BALLS"	
"PARKS, FORESTRY & RECREATION"	3100-12	2014-07-28	2014-07-29	RCSS WESTON 2800	4.98	CAD	4.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12576	CARMINE STEFANO CC - SUMMER CAMP	5411	"Grocery Stores, Supermarkets"	SKIM MILK	
"PARKS, FORESTRY & RECREATION"	3100-13	2014-07-28	2014-07-29	RCSS WESTON 2800	60.54	CAD	60.54	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12576	CARMINE STEFANO CC - SUMMER CAMP	5411	"Grocery Stores, Supermarkets"	"FRUITS, VANILLA"	
"PARKS, FORESTRY & RECREATION"	3100-14	2014-07-28	2014-07-29	STAPLES STORE #228	10.10	CAD	10.10	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P12576	CARMINE STEFANO CC - SUMMER CAMP	5943	"Office, School Supply, and Stationery St"	PAPERS	
"PARKS, FORESTRY & RECREATION"	3104-15	2014-07-30	2014-07-31	ONTARIO SCIENCE CENTRE	"1,099.80"	CAD	"1,099.80"	CAD	4118	TICKETS AND ADMISSION FEES	P12576	CARMINE STEFANO CC - SUMMER CAMP	7991	Tourist Attractions and Exhibits	CAMP ADMISSION	
"PARKS, FORESTRY & RECREATION"	3104-16	2014-07-31	2014-07-31	EVENT DIRECT	"1,282.55"	CAD	"1,282.55"	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	P12576	CARMINE STEFANO CC - SUMMER CAMP	8999	Professional Services - Not Elsewhere Cl	"INFLATABLES, COTTON CANDY MACHINE"	
					"5,954.43"	CAD	"5,954.43"	CAD								
EMPLOYMENT & SOCIAL SERVICES	3085-30	2014-07-17	2014-07-18	NO FRILLS TONY   KATHY	30.19	CAD	30.19	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01211	QUEENSWAY ADMIN	5411	"Grocery Stores, Supermarkets"	GROCERY SUPPLIES FOR EC CLIENT WORKSHOPS	
					30.19	CAD	30.19	CAD								
CITY CLERK'S OFFICE	3079-18	2014-07-14	2014-07-15	CREATIVE BAG TORONTO	44.92	CAD	44.92	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	GV0019	PROTOCOL	5999	Miscellaneous and Specialty Retail Store	BOXES FOR GREETING CARDS-INVENTORY	
CITY CLERK'S OFFICE	3091-19	2014-07-22	2014-07-23	INDIGO 287         QPS	378.77	CAD	378.77	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	GV0019	PROTOCOL	5942	Book Stores	BOOKS FOR TORONTO BOOK AWARDS	
CITY CLERK'S OFFICE	3091-20	2014-07-22	2014-07-23	INDIGO 287         QPS	192.91	CAD	192.91	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	GV0019	PROTOCOL	5942	Book Stores	BOOKS FOR TORONTO BOOK AWARDS	
					616.60	CAD	616.60	CAD								
FACILITIES MANAGEMENT 	3074-26	2014-07-08	2014-07-10	MOTION IND ON11	69.78	CAD	69.78	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61259908	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5085	Industrial Supplies Not Elsewhere Classi	**MORE**  R 8 DD  BRG	
FACILITIES MANAGEMENT 	3085-31	2014-07-17	2014-07-18	BITPLUS ROOFING SUPPLI	26.44	CAD	26.44	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61258435	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5211	"Building Materials, Lumber Stores"	SUPPLIES	
FACILITIES MANAGEMENT 	3097-31	2014-07-25	2014-07-28	ACKLANDS-GRAINGER INC	852.02	CAD	852.02	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61265498	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5085	Industrial Supplies Not Elsewhere Classi	SUPPLIES	
					948.24	CAD	948.24	CAD								
"PARKS, FORESTRY & RECREATION"	3059-18	2014-06-29	2014-07-02	WAL-MART #1101	202.68	CAD	202.68	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	REC SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3061-35	2014-07-02	2014-07-04	CDN TIRE STORE #00446	84.60	CAD	84.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10285	ANTIBES CC-PRGM SUPPORT	5200	Home Supply Warehouse	REC SUPPLIES FOR 3 ON 3 TOURNAMENT	
"PARKS, FORESTRY & RECREATION"	3061-36	2014-07-02	2014-07-04	WAL-MART #1101	249.98	CAD	249.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	FOOD FOR CAMPS	
"PARKS, FORESTRY & RECREATION"	3072-21	2014-07-07	2014-07-09	WAL-MART # 5831	342.14	CAD	342.14	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	FOOD FOR CAMPS	
"PARKS, FORESTRY & RECREATION"	3074-27	2014-07-08	2014-07-10	PARTY CITY #2001	213.13	CAD	213.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10285	ANTIBES CC-PRGM SUPPORT	5947	"Card, Gift, Novelty, and Souvenir Shops"	REC SUPPLIES FOR FESTIVAL	
"PARKS, FORESTRY & RECREATION"	3076-36	2014-07-10	2014-07-11	FRESHCO 9771	48.83	CAD	48.83	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	FOOD FOR CAMPS	
"PARKS, FORESTRY & RECREATION"	3078-31	2014-07-12	2014-07-14	WAL-MART #1101	66.62	CAD	66.62	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	FOOD FOR CAMPS	
"PARKS, FORESTRY & RECREATION"	3079-19	2014-07-13	2014-07-15	CDN TIRE STORE #00446	80.54	CAD	80.54	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10285	ANTIBES CC-PRGM SUPPORT	5200	Home Supply Warehouse	REC SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3081-32	2014-07-14	2014-07-16	CDN TIRE STORE #00126	60.93	CAD	60.93	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10285	ANTIBES CC-PRGM SUPPORT	5200	Home Supply Warehouse	REC SUPPLIES FOR 3 ON 3 TOURNAMENT	
"PARKS, FORESTRY & RECREATION"	3081-33	2014-07-15	2014-07-16	LOBLAW SUPERMARKET #10	293.04	CAD	293.04	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	FOOD FOR CAMPS	
"PARKS, FORESTRY & RECREATION"	3081-34	2014-07-15	2014-07-16	RIPLEYS AQUARIUM	310.29	CAD	310.29	CAD	4118	TICKETS AND ADMISSION FEES	P13248	SUMMER CAMPS - ANTIBES CC	7998	"Aquariums, Dolphinariums, Seaquariums"	ADMISSION FEES - SUMMER CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	3083-16	2014-07-16	2014-07-17	NOFRILLS CARLO'S #3925	86.90	CAD	86.90	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10285	ANTIBES CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR FESTIVAL	
"PARKS, FORESTRY & RECREATION"	3083-17	2014-07-16	2014-07-17	BEST BUY CANADA #943	171.67	CAD	171.67	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10285	ANTIBES CC-PRGM SUPPORT	5732	Electronic Sales	KEYBOARD & STAND	
"PARKS, FORESTRY & RECREATION"	3083-18	2014-07-16	2014-07-17	STRAIGHT POKER SUPPLIE	562.74	CAD	562.74	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10285	ANTIBES CC-PRGM SUPPORT	5941	Sporting Goods Stores	FOOD SUPPLIES FOR FESTIVAL	
"PARKS, FORESTRY & RECREATION"	3083-19	2014-07-16	2014-07-17	STRAIGHT POKER SUPPLIE	88.14	CAD	88.14	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10285	ANTIBES CC-PRGM SUPPORT	5941	Sporting Goods Stores	FOOD SUPPLIES FOR FESTIVAL	
"PARKS, FORESTRY & RECREATION"	3083-20	2014-07-16	2014-07-17	FACTORY DIRECT	89.13	CAD	89.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10285	ANTIBES CC-PRGM SUPPORT	5734	Computer Software Stores	REC SUPPLIES FOR FESTIVAL	
"PARKS, FORESTRY & RECREATION"	3083-21	2014-07-16	2014-07-17	TORONTO ZOOADMISSIONS	949.00	CAD	949.00	CAD	4118	TICKETS AND ADMISSION FEES	P13248	SUMMER CAMPS - ANTIBES CC	7996	"Amusement Parks, Carnivals, Circuses, Fo"	ADMISSION FEES - SUMMER CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	3085-32	2014-07-16	2014-07-18	CDN TIRE STORE #00126	63.21	CAD	63.21	CAD	2270	PROPANE GAS	P10285	ANTIBES CC-PRGM SUPPORT	5200	Home Supply Warehouse	PROPANE FOR FESTIVAL	
"PARKS, FORESTRY & RECREATION"	3085-33	2014-07-16	2014-07-18	CDN TIRE STORE #00126	63.21	CAD	63.21	CAD	2270	PROPANE GAS	P10285	ANTIBES CC-PRGM SUPPORT	5200	Home Supply Warehouse	PROPANE FOR FESTIVAL	
"PARKS, FORESTRY & RECREATION"	3085-34	2014-07-17	2014-07-18	M M MEAT SHOPS #086	216.00	CAD	216.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10285	ANTIBES CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR FESTIVAL	
"PARKS, FORESTRY & RECREATION"	3085-35	2014-07-17	2014-07-18	TORONTO ZOOADMISSIONS	589.00	CAD	589.00	CAD	4118	TICKETS AND ADMISSION FEES	P10285	ANTIBES CC-PRGM SUPPORT	7996	"Amusement Parks, Carnivals, Circuses, Fo"	ADMISSION FEES - SUMMER CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	3085-36	2014-07-17	2014-07-18	TORONTO ZOOADMISSIONS	10.00	CAD	10.00	CAD	4770	PARKING EXPENSES (INTOWN)	P13248	SUMMER CAMPS - ANTIBES CC	7996	"Amusement Parks, Carnivals, Circuses, Fo"	PARKING FEES - SUMMER CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	3087-45	2014-07-17	2014-07-21	WAL-MART # 5831	447.22	CAD	447.22	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	FOOD FOR CAMPS	
"PARKS, FORESTRY & RECREATION"	3087-46	2014-07-18	2014-07-21	TORONTO ZOOADMISSIONS	628.00	CAD	628.00	CAD	4118	TICKETS AND ADMISSION FEES	P13248	SUMMER CAMPS - ANTIBES CC	7996	"Amusement Parks, Carnivals, Circuses, Fo"	ADMISSION FEES - SUMMER CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	3087-47	2014-07-20	2014-07-21	ZEHRS BRADFORD #0505	117.74	CAD	117.74	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10285	ANTIBES CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR FESTIVAL	
"PARKS, FORESTRY & RECREATION"	3089-16	2014-07-20	2014-07-22	WAL-MART #1101	92.85	CAD	92.85	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10285	ANTIBES CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3091-21	2014-07-22	2014-07-23	LOBLAW SUPERMARKET #10	37.52	CAD	37.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	FOOD FOR CAMPS	
"PARKS, FORESTRY & RECREATION"	3093-28	2014-07-22	2014-07-24	LONGO'S # 10	18.97	CAD	18.97	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	FOOD FOR CAMPS	
"PARKS, FORESTRY & RECREATION"	3093-29	2014-07-22	2014-07-24	METRO #401	105.25	CAD	105.25	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	FOOD FOR CAMPS	
"PARKS, FORESTRY & RECREATION"	3095-24	2014-07-23	2014-07-25	MANHATTAN TROPHIES LIM	17.79	CAD	17.79	CAD	2791	"RIBBONS, MEDALS & TROPHIES"	P10285	ANTIBES CC-PRGM SUPPORT	5941	Sporting Goods Stores	DISCS FOR BACK OF MEDALS	
"PARKS, FORESTRY & RECREATION"	3100-15	2014-07-28	2014-07-29	LOBLAW SUPERMARKET #10	213.34	CAD	213.34	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	FOOD FOR CAMPS	
"PARKS, FORESTRY & RECREATION"	3102-30	2014-07-29	2014-07-30	LOBLAW SUPERMARKET #10	182.92	CAD	182.92	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	FOOD FOR CAMPS	
"PARKS, FORESTRY & RECREATION"	3104-17	2014-07-29	2014-07-31	THE HOME DEPOT #7078	42.90	CAD	42.90	CAD	3099	GENERAL EQUIPMENT	P10285	ANTIBES CC-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  PLATE	
"PARKS, FORESTRY & RECREATION"	3104-18	2014-07-29	2014-07-31	LOBLAW SUPERMARKET #10	15.75	CAD	15.75	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMER CAMPS - ANTIBES CC	5411	"Grocery Stores, Supermarkets"	FOOD FOR CAMPS	
"PARKS, FORESTRY & RECREATION"	3104-19	2014-07-30	2014-07-31	ONTARIO SCIENCE CENTRE	20.00	CAD	20.00	CAD	4118	TICKETS AND ADMISSION FEES	P13248	SUMMER CAMPS - ANTIBES CC	7991	Tourist Attractions and Exhibits	ADMISSION FEES - SUMMER CAMP TRIP	
					"6,782.03"	CAD	"6,782.03"	CAD								
"PARKS, FORESTRY & RECREATION"	3060-20	2014-07-02	2014-07-03	A BUCK OR TWO #201	23.17	CAD	23.17	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04679	DOMENICO DILUCA CC - SUMMER CAMP	5310	Discount Stores	SUPPLIES FOR SUMMER PROGRAM	
"PARKS, FORESTRY & RECREATION"	3061-37	2014-07-02	2014-07-04	WAL-MART # 3130	46.99	CAD	46.99	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04679	DOMENICO DILUCA CC - SUMMER CAMP	5411	"Grocery Stores, Supermarkets"	CAMP SUPPLIES	
