Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element /Order Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	3054-16	2014-06-24	2014-06-26	ABBOTT	80.23	CAD	80.23	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0114	HS-MH-RETAIL-TODMORDEN	5719	Miscellaneous House Furnishing Specialty	"COFFEE MUGS,TURTLE & BUNNY FIGURES FOR RESALE"	
					516.07	CAD	516.07	CAD								
"PARKS, FORESTRY & RECREATION"	3039-22	2014-06-13	2014-06-16	NO FRILLS MARIO   SELI	56.44	CAD	56.44	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05112	OURLAND CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	FREEZIES	
"PARKS, FORESTRY & RECREATION"	3049-36	2014-06-20	2014-06-23	EUROPEAN QUALITY MEATS	70.00	CAD	70.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10539	S-REC SUPER1-PRGM SUPPORT	5422	"Freezer, Locker Meat Provisioners"	2 CASES HAMBURGERS FOR CAMP	
"PARKS, FORESTRY & RECREATION"	3051-9	2014-06-23	2014-06-24	FLAGHOUSE INC.	71.76	CAD	71.76	CAD	2710	GENERAL HARDWARE	P05112	OURLAND CC-SUMMER CAMPS	5712	"Equipment, Furniture, and Home Furnishin"	GRAB A FLAG BELT SET	
"PARKS, FORESTRY & RECREATION"	3053-14	2014-06-24	2014-06-25	NO FRILLS MARIO   SELI	152.22	CAD	152.22	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10539	S-REC SUPER1-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"RELISH, DRESSING, KETCHUP,FRUIT PUNCH"	
"PARKS, FORESTRY & RECREATION"	3057-25	2014-06-23	2014-06-30	DOM SPORTS   GAMES	104.92	CAD	104.92	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05112	OURLAND CC-SUMMER CAMPS	5941	Sporting Goods Stores	"RUBBER BALLS, DISCS, MINI STICKS, STORAG BAGS"	
					455.34	CAD	455.34	CAD								
LONG TERM CARE HOMES	3057-26	2014-06-26	2014-06-30	HUNTS HEALTHCARE INC	671.22	CAD	671.22	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3B083	CASTLEVIEW WYCHWOOD-PS-PS	5712	"Equipment, Furniture, and Home Furnishin"	REHAB SUPPLIES	
LONG TERM CARE HOMES	3057-27	2014-06-27	2014-06-30	CABAM	418.67	CAD	418.67	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3B083	CASTLEVIEW WYCHWOOD-PS-PS	5947	"Card, Gift, Novelty, and Souvenir Shops"	VOLUNTEER APPRECIATION PINS	
					"1,089.89"	CAD	"1,089.89"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3018-15	2014-05-29	2014-06-02	LONGO'S # 10	520.61	CAD	520.61	CAD	4822	RECEPTIONS & PUBLIC RELATIONS	AH0092	HS-MH-PROGRAM SUPPORT-MACKENZIE	5411	"Grocery Stores, Supermarkets"	"TEA, COFFEE, MILK / NAPKINS, CUPS, VEGGIE TRAY, CH"	
ECONOMIC DEVELOPMENT & CULTURE	3021-15	2014-06-03	2014-06-04	EVENT RENTAL GROUP LIM	"1,020.96"	CAD	"1,020.96"	CAD	4822	RECEPTIONS & PUBLIC RELATIONS	AH0092	HS-MH-PROGRAM SUPPORT-MACKENZIE	7394	"Equipment Rental and Leasing Services, F"	TENT RENTAL - RECEPTION	
ECONOMIC DEVELOPMENT & CULTURE	3029-32	2014-06-06	2014-06-09	EVENT RENTAL GROUP LIM	367.70	CAD	367.70	CAD	4822	RECEPTIONS & PUBLIC RELATIONS	AH0092	HS-MH-PROGRAM SUPPORT-MACKENZIE	7394	"Equipment Rental and Leasing Services, F"	"RENTAL OF TABLES, RECEPTION"	
ECONOMIC DEVELOPMENT & CULTURE	3046-16	2014-06-17	2014-06-19	LONGO'S # 10	298.73	CAD	298.73	CAD	4116	CATERING SERVICES	AH0092	HS-MH-PROGRAM SUPPORT-MACKENZIE	5411	"Grocery Stores, Supermarkets"	"BRETON CRACKERS, CHEESE/SQUARE TRAYS - RECEPTION"	
					"2,208.00"	CAD	"2,208.00"	CAD								
LONG TERM CARE HOMES	3018-16	2014-05-30	2014-06-02	SAYAL ELECTRONICS (MIS	82.32	CAD	82.32	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3D061	KIPLING ACRES-MT-OA	5732	Electronic Sales	CABLES TO CONNNECT PC TO PROJ IN GATHERING PLACE	
LONG TERM CARE HOMES	3018-17	2014-05-30	2014-06-02	SAYAL ELECTRONICS (MIS	-63.05	CAD	-63.05	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3D061	KIPLING ACRES-MT-OA	5732	Electronic Sales	RETURN WRONG CABLE TO BE USED IN GATHERING PLACE	
LONG TERM CARE HOMES	3025-18	2014-06-03	2014-06-05	THE HOME DEPOT #7114	27.07	CAD	27.07	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3D061	KIPLING ACRES-MT-OA	5200	Home Supply Warehouse	**MORE**  LEPAGEALLPUR	
LONG TERM CARE HOMES	3031-11	2014-06-08	2014-06-10	THE HOME DEPOT #7114	180.62	CAD	180.62	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3D061	KIPLING ACRES-MT-OA	5200	Home Supply Warehouse	5.5W MR16	
LONG TERM CARE HOMES	3033-10	2014-06-10	2014-06-11	CANADIAN CARD SYSTEMS	282.50	CAD	282.50	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	D3D144	KIPLING ACRES-NS-NA	7338	"Quick Copy, Reproduction, and Blueprinti"	REPAIR OF RESIDENTS ADDRESSOGRAPH MACHINE	
LONG TERM CARE HOMES	3035-12	2014-06-11	2014-06-12	SHOPPERS DRUG MART #07	24.86	CAD	24.86	CAD	4815	COURIER SERVICES	D3D011	KIPLING ACRES-PA-OA	9402	Postal Services - Government Only	REGISTERED AND ORDINARY MAIL TO STAFF ON WSIB	
LONG TERM CARE HOMES	3039-23	2014-06-12	2014-06-16	TENAQUIP LIMITED	216.97	CAD	216.97	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3D061	KIPLING ACRES-MT-OA	5251	Hardware Stores	CAUTION BARRIER FOR DINING RM IN RESIDENT AREA	
LONG TERM CARE HOMES	3042-6	2014-06-15	2014-06-17	WAL-MART #1137	8.23	CAD	8.23	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3D061	KIPLING ACRES-MT-OA	5411	"Grocery Stores, Supermarkets"	SPRAY PAINT TO MARK UNEVEN ASPHALT IN PARKING LOT	
LONG TERM CARE HOMES	3051-10	2014-06-23	2014-06-24	BELL CANADA (SB)	339.00	CAD	339.00	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	D3D061	KIPLING ACRES-MT-OA	4812	Telecommunication Equipment Including Te	REMOVAL OF THE PAY PHONE FROM THE OLD BUILDING	
LONG TERM CARE HOMES	3053-15	2014-06-23	2014-06-25	THE HOME DEPOT #7114	76.55	CAD	76.55	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3D061	KIPLING ACRES-MT-OA	5200	Home Supply Warehouse	**MORE**  GARDEN HOSE	
LONG TERM CARE HOMES	3053-16	2014-06-23	2014-06-25	THE HOME DEPOT #7114	35.71	CAD	35.71	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3D061	KIPLING ACRES-MT-OA	5200	Home Supply Warehouse	**MORE**  FELT GUARD	
					"1,210.78"	CAD	"1,210.78"	CAD								
LONG TERM CARE HOMES	3037-18	2014-06-12	2014-06-13	SAFETY MEDIA INC	"1,402.70"	CAD	"1,402.70"	CAD	2082	HEALTH & SAFETY SUPPLIES	D3K061	LAKESHORE LODGE-MT-OA	5047	Laboratory/Medical/Dental/Ophthalmic Hos	SAFETY SIGNS PARKING	
LONG TERM CARE HOMES	3039-24	2014-06-12	2014-06-16	SWISH MAINTENANCE LTD	52.15	CAD	52.15	CAD	2570	JANITORIAL SUPPLIES	D3K041	LAKESHORE LODGE-HK-OA	2842	"Specialty Cleaning, Polishing, and Sanit"	SWIVEL GRIP ERGO MOP HANDLES	
LONG TERM CARE HOMES	3046-17	2014-06-17	2014-06-19	THE HOME DEPOT #7011	308.07	CAD	308.07	CAD	4444	CONTRACTED SERVICES - RENOVATIONS	D3K061	LAKESHORE LODGE-MT-OA	5200	Home Supply Warehouse	**MORE**  CONT. CEMENT	
LONG TERM CARE HOMES	3055-13	2014-06-25	2014-06-27	SETON	216.62	CAD	216.62	CAD	2082	HEALTH & SAFETY SUPPLIES	D3K031	LAKESHORE LODGE-FN-OA	5099	Durable Goods Not Elsewhere Classified	**MORE**  EMERG. EYEWASH	
LONG TERM CARE HOMES	3055-14	2014-06-25	2014-06-27	SETON	490.47	CAD	490.47	CAD	2082	HEALTH & SAFETY SUPPLIES	D3K031	LAKESHORE LODGE-FN-OA	5099	Durable Goods Not Elsewhere Classified	**MORE**  WALL MOUNT INDUSTRIAL DUTY FAN	
LONG TERM CARE HOMES	3057-28	2014-06-26	2014-06-30	SETON	19.97	CAD	19.97	CAD	2082	HEALTH & SAFETY SUPPLIES	D3K041	LAKESHORE LODGE-HK-OA	5099	Durable Goods Not Elsewhere Classified	MSDS JOB SITE BINDER	
					"2,489.98"	CAD	"2,489.98"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3021-16	2014-06-03	2014-06-04	INDABA TRADING LTD	306.57	CAD	306.57	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5947	"Card, Gift, Novelty, and Souvenir Shops"	MERCH FOR RESALE / POPPIES FOR WW1 FOOD SUMPOSIUM	
ECONOMIC DEVELOPMENT & CULTURE	3033-11	2014-06-10	2014-06-11	"FIRST GEAR, INC."	"1,627.54"	CAD	"1,459.55"	USD	2990	GIFT SHOP ITEMS FOR RESALE	AH0117	HS-MH-RETAIL-FORT YORK	5945	"Game, Toy, and Hobby Shops"	TOY SOLDIERS FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	3043-22	2014-06-16	2014-06-18	J E HASTINGS LTD	477.31	CAD	477.31	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0117	HS-MH-RETAIL-FORT YORK	5441	"Candy, Nut, Confectionery Stores"	CANDY FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	3046-18	2014-06-18	2014-06-19	CRABTREE PUBLISHING CO	110.38	CAD	110.38	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0117	HS-MH-RETAIL-FORT YORK	5192	"Books, Periodicals, and Newspapers"	BOOKS FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	3047-13	2014-06-19	2014-06-20	L.J. SALES	316.40	CAD	316.40	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	7311	Advertising Services	VOLUNTEER TSHIRTS FOR EVENT	
ECONOMIC DEVELOPMENT & CULTURE	3057-29	2014-06-27	2014-06-30	"PEACOCK PARK DESIGN, L"	53.24	CAD	48.65	USD	2990	GIFT SHOP ITEMS FOR RESALE	AH0117	HS-MH-RETAIL-FORT YORK	7299	Other Services (Not Elsewhere Classified	HST OWED - ONLY PAID 5% - REVENUE CANADA AUDIT	
					"2,891.44"	CAD	"1,210.66"	CAD								
							"1,508.20"	USD								
"PARKS, FORESTRY & RECREATION"	3049-37	2014-06-19	2014-06-23	WAL-MART # 3000	213.69	CAD	213.69	CAD	2610	KITCHEN SUPPLIES	P06674	STEPHEN LEACOCK-PRGM SUPPORT	5310	Discount Stores	"SPATULA, CUPS, GRATER, KNIFE SET"	
"PARKS, FORESTRY & RECREATION"	3049-38	2014-06-19	2014-06-23	WAL-MART # 3000	60.78	CAD	60.78	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13279	SUMMER CAMPS-STEPHEN LEACOCK RC	5310	Discount Stores	"GLITTERS, GLUE"	
"PARKS, FORESTRY & RECREATION"	3057-30	2014-06-27	2014-06-30	WAL-MART #3159	77.20	CAD	77.20	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13279	SUMMER CAMPS-STEPHEN LEACOCK RC	5411	"Grocery Stores, Supermarkets"	"STRIPE BALLS, MARKERS, FREEZIES"	
"PARKS, FORESTRY & RECREATION"	3057-31	2014-06-27	2014-06-30	WAL-MART #3159	65.25	CAD	65.25	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13279	SUMMER CAMPS-STEPHEN LEACOCK RC	5411	"Grocery Stores, Supermarkets"	SPORTS SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3057-32	2014-06-27	2014-06-30	WAL-MART #3159	189.42	CAD	189.42	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13279	SUMMER CAMPS-STEPHEN LEACOCK RC	5411	"Grocery Stores, Supermarkets"	"YOGURT, CHIPITS,BUTTER,SUGAR, HONEY, GRAPES"	
"PARKS, FORESTRY & RECREATION"	3057-33	2014-06-27	2014-06-30	WAL-MART #3159	86.67	CAD	86.67	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13279	SUMMER CAMPS-STEPHEN LEACOCK RC	5411	"Grocery Stores, Supermarkets"	FREEZIES	
					693.01	CAD	693.01	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3043-23	2014-06-16	2014-06-18	WAL-MART #3635	5.65	CAD	5.65	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	5310	Discount Stores	RIBBON	
ECONOMIC DEVELOPMENT & CULTURE	3051-11	2014-06-23	2014-06-24	PHILLIPS COPY CENTRE	412.45	CAD	412.45	CAD	4825	PRINTING AND REPRODUCTION - THIRD PARTY	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	5044	"Office, Photographic, Photocopy, and Mic"	PRINTING FOR PROGRAM	
ECONOMIC DEVELOPMENT & CULTURE	3057-34	2014-06-26	2014-06-30	RIVIERA FLOORING	"3,898.50"	CAD	"3,898.50"	CAD	4444	CONTRACTED SERVICES - RENOVATIONS	AH0003	AS-CM-COLLECTION MGMT-SCARCC	5713	Floor Covering Stores	FLOOR REFINISHING	
ECONOMIC DEVELOPMENT & CULTURE	3057-35	2014-06-27	2014-06-30	PAYPAL *FOUNDART	508.50	CAD	508.50	CAD	4085	PROF & TECH-MGMT	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	8999	Professional Services - Not Elsewhere Cl	"GRAPHIC DESIGN, PRODUCTION ART FOR BOOK"	
					"4,825.10"	CAD	"4,825.10"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3037-19	2014-06-12	2014-06-13	MADELEINES	94.24	CAD	94.24	CAD	4116	CATERING SERVICES	AH0088	HS-MH-PROGRAM SUPPORT-METRO HALL	5462	Bakeries	CATERING EXTERNAL CLIENTS	
ECONOMIC DEVELOPMENT & CULTURE	3047-14	2014-06-19	2014-06-20	HOOTSUITE MEDIA INC.	12.50	CAD	11.29	USD	4414	ADVERTISING & PROMOTION	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	5968	Direct Marketing - Continuity/Subscripti	SOCIAL MEDIA ADS	
ECONOMIC DEVELOPMENT & CULTURE	3051-12	2014-06-22	2014-06-24	EATON CHESLSEA HOTEL F	357.08	CAD	357.08	CAD	4102	ENTERTAINER AND BAND FEES	AH0088	HS-MH-PROGRAM SUPPORT-METRO HALL	7011	"Lodging - Hotels, Motels, Resorts - Not"	ACCOMMODATION - ENTERTAINERS	
ECONOMIC DEVELOPMENT & CULTURE	3054-17	2014-06-23	2014-06-26	EATON CHESLSEA HOTEL F	"2,199.36"	CAD	"2,199.36"	CAD	4102	ENTERTAINER AND BAND FEES	AH0088	HS-MH-PROGRAM SUPPORT-METRO HALL	7011	"Lodging - Hotels, Motels, Resorts - Not"	ACCOMMODATION - ENTERTAINERS	
ECONOMIC DEVELOPMENT & CULTURE	3055-15	2014-06-22	2014-06-27	EATON CHESLSEA HOTEL F	143.51	CAD	143.51	CAD	4102	ENTERTAINER AND BAND FEES	AH0088	HS-MH-PROGRAM SUPPORT-METRO HALL	7011	"Lodging - Hotels, Motels, Resorts - Not"	ACCOMMODATION - ENTERTAINERS	
					"2,806.69"	CAD	"2,794.19"	CAD								
							11.29	USD								
ECONOMIC DEVELOPMENT & CULTURE	3021-17	2014-06-03	2014-06-04	FIREFLY BOOKS	6.03	CAD	6.03	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5942	Book Stores	BOOKS FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	3043-24	2014-06-17	2014-06-18	BLACK'S #34	203.38	CAD	203.38	CAD	3032	M & E - PHOTOGRAPHIC	AH0104	HS-MH-PUBLIC/COMMUNITY-SPADINA	5946	Camera and Photographic Supply Stores	CAMERA TRIPODS	
ECONOMIC DEVELOPMENT & CULTURE	3049-39	2014-06-19	2014-06-23	MADELEINES	593.25	CAD	593.25	CAD	4116	CATERING SERVICES	AH0136	HS-MH-BD COMM SUPP-SPADINA	5462	Bakeries	CATERING FOR EVENT	
ECONOMIC DEVELOPMENT & CULTURE	3049-40	2014-06-20	2014-06-23	PARTY CENTRE	661.05	CAD	661.05	CAD	4590	RENTAL - OTHER	AH0104	HS-MH-PUBLIC/COMMUNITY-SPADINA	7394	"Equipment Rental and Leasing Services, F"	TENT RENTAL FOR EVENT	
ECONOMIC DEVELOPMENT & CULTURE	3053-17	2014-06-23	2014-06-25	WAL-MART # 5778	28.11	CAD	28.11	CAD	2650	COMPUTER AND PRINTER SUPPLIES	AH0094	HS-MH-PROGRAM SUPPORT-SPADINA	5411	"Grocery Stores, Supermarkets"	FILE STORAGE USB	
					"1,491.82"	CAD	"1,491.82"	CAD								
CITY CLERK'S OFFICE	3021-18	2014-05-30	2014-06-04	SEARS CANADA DIRECT	171.75	CAD	171.75	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	GV0019	PROTOCOL	5999	Miscellaneous and Specialty Retail Store	ROWENTA ROLL AND PRESS STEAMER	
					171.75	CAD	171.75	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3018-18	2014-05-31	2014-06-02	LOBLAWS #1212	98.46	CAD	98.46	CAD	4116	CATERING SERVICES	AH0094	HS-MH-PROGRAM SUPPORT-SPADINA	5411	"Grocery Stores, Supermarkets"	FOOD FOR LAUNCH	
ECONOMIC DEVELOPMENT & CULTURE	3020-7	2014-06-02	2014-06-03	DISTRIBUTION SIGNATURE	75.69	CAD	75.69	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RETAIL-SPADINA	5111	"Stationery, Office Supplies, Printing an"	BAGS FOR GIFTSHOP RESALE	
ECONOMIC DEVELOPMENT & CULTURE	3021-19	2014-06-03	2014-06-04	PAYPAL *PEERLESSMAN	12.75	CAD	12.75	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0094	HS-MH-PROGRAM SUPPORT-SPADINA	8999	Professional Services - Not Elsewhere Cl	MANTLES FOR HISTORIC GASLIGHTS	
ECONOMIC DEVELOPMENT & CULTURE	3046-19	2014-06-18	2014-06-19	NOFRILLS FREDDIE 1354	130.58	CAD	130.58	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0120	HS-MH-RETAIL-SPADINA	5411	"Grocery Stores, Supermarkets"	"WATER, ICE TEA, CUPS, BEVERAGE GLASS"	
ECONOMIC DEVELOPMENT & CULTURE	3046-20	2014-06-18	2014-06-19	LOBLAWS #029	48.45	CAD	48.45	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0120	HS-MH-RETAIL-SPADINA	5411	"Grocery Stores, Supermarkets"	"LEMONADE, WHITE LEMONADE"	
ECONOMIC DEVELOPMENT & CULTURE	3046-21	2014-06-18	2014-06-19	LOBLAWS #1212	104.36	CAD	104.36	CAD	4116	CATERING SERVICES	AH0094	HS-MH-PROGRAM SUPPORT-SPADINA	5411	"Grocery Stores, Supermarkets"	SNACKS FOR VOLUNTEERS	
ECONOMIC DEVELOPMENT & CULTURE	3047-15	2014-06-19	2014-06-20	DISTRIBUTION SIGNATURE	-600.00	CAD	-600.00	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0120	HS-MH-RETAIL-SPADINA	5111	"Stationery, Office Supplies, Printing an"	REFUND-CHARGING TWICE 2905-13FR DOC12-6217	
					-129.71	CAD	-129.71	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3035-13	2014-06-11	2014-06-12	RABBA 177            Q	11.96	CAD	11.96	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	MILK & CREAM FOR CONCESSION	
					11.96	CAD	11.96	CAD								
"PARKS, FORESTRY & RECREATION"	3029-33	2014-06-05	2014-06-09	THE HOME DEPOT #7107	108.96	CAD	108.96	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00264	E-CENTRAL2-TURF&HORT	5200	Home Supply Warehouse	**MORE**  KEY BLANK	
					108.96	CAD	108.96	CAD								
"PARKS, FORESTRY & RECREATION"	3033-12	2014-06-10	2014-06-11	66282 MAC'S POSTAL OFF	21.80	CAD	21.80	CAD	4805	POSTAGE	P07010	OAKRIDGE CRC-INSTRL-ADULT	9402	Postal Services - Government Only	PRIORITY POST LETTER	
					21.80	CAD	21.80	CAD								
"PARKS, FORESTRY & RECREATION"	3027-12	2014-06-05	2014-06-06	RTA ELECTRIC MOTOR COR	946.94	CAD	946.94	CAD	2575	ELECTRICAL SUPPLIES	P12786	KIPLING YD-S-FAC. & MECH.SVCES	7538	Automotive Service Shops	MOTOR REWIND	
"PARKS, FORESTRY & RECREATION"	3035-14	2014-06-12	2014-06-12	ELECTRICAL SAFETY AUTH	163.85	CAD	163.85	CAD	4830	PERMIT & LICENSE FEES	P12786	KIPLING YD-S-FAC. & MECH.SVCES	4900	"Utilities - Electric, Gas, Sanitary, Wat"	ELECTRICAL PERMIT	
"PARKS, FORESTRY & RECREATION"	3043-25	2014-06-12	2014-06-18	TRIMATE ELECTRIC SUPPL	987.50	CAD	987.50	CAD	2575	ELECTRICAL SUPPLIES	P12786	KIPLING YD-S-FAC. & MECH.SVCES	7629	"Appliance Repair Shops, Electrical and S"	"NEUTRAL BLOCK,TIME DELAY FUSE,DTT LAMP"	
"PARKS, FORESTRY & RECREATION"	3043-26	2014-06-17	2014-06-18	TACEL LTD	"1,220.40"	CAD	"1,220.40"	CAD	2575	ELECTRICAL SUPPLIES	P12786	KIPLING YD-S-FAC. & MECH.SVCES	5065	Electrical Parts and Equipment	"MOMENTARY BULLDOG PUSHBUTTONS,3 VANDAL RESISTANT"	
"PARKS, FORESTRY & RECREATION"	3053-18	2014-06-20	2014-06-25	TRIMATE ELECTRIC SUPPL	"1,129.27"	CAD	"1,129.27"	CAD	2575	ELECTRICAL SUPPLIES	P12786	KIPLING YD-S-FAC. & MECH.SVCES	7629	"Appliance Repair Shops, Electrical and S"	"TURNLOC CONN,SQ D TANDAEM,ASTRO TIMER,TRNLOCK PLUG"	
					"4,447.96"	CAD	"4,447.96"	CAD								
"PARKS, FORESTRY & RECREATION"	3021-20	2014-06-03	2014-06-04	EUROPEAN QUALITY MEATS	186.00	CAD	186.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06778	FAIRFIELD SENIORS-PRGM SUPPORT	5422	"Freezer, Locker Meat Provisioners"	WEEKLY BBQ FOR CAMP	
"PARKS, FORESTRY & RECREATION"	3021-21	2014-06-03	2014-06-04	IKEA ETOBICOKE	45.19	CAD	45.19	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P03075	RECREATION ADMIN	5712	"Equipment, Furniture, and Home Furnishin"	WOODEN SHELF	
"PARKS, FORESTRY & RECREATION"	3035-15	2014-06-11	2014-06-12	NO FRILLS #753	50.50	CAD	50.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06778	FAIRFIELD SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	WEEKLY CAMP BBQ FOOD ITEMS	
"PARKS, FORESTRY & RECREATION"	3051-13	2014-06-20	2014-06-24	CDN TIRE STORE #00070	103.94	CAD	103.94	CAD	3025	M & E - JANITORIAL	P03075	RECREATION ADMIN	5200	Home Supply Warehouse	HOOVER VACUUM UPRITE	
					385.63	CAD	385.63	CAD								
"PARKS, FORESTRY & RECREATION"	3018-19	2014-05-30	2014-06-02	STAPLES STORE #228	18.89	CAD	18.89	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P06715	CARMINE STEFANO CC - PROGRAM SUPPORT	5943	"Office, School Supply, and Stationery St"	OFFICE SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3025-19	2014-06-03	2014-06-05	CDN TIRE STORE #00119	57.69	CAD	57.69	CAD	2710	GENERAL HARDWARE	P06715	CARMINE STEFANO CC - PROGRAM SUPPORT	5200	Home Supply Warehouse	"MASONRY SET, DUCT TAPE"	
"PARKS, FORESTRY & RECREATION"	3039-25	2014-06-13	2014-06-16	DOLLAR TREE CANADA STO	8.48	CAD	8.48	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12583	CARMINE STEFANO CC - SOCIAL PRGM YOUTH	5331	Variety Stores	"RIBBONS, CELLO ROLLS"	
"PARKS, FORESTRY & RECREATION"	3043-27	2014-06-16	2014-06-18	CDN TIRE STORE #00119	4.75	CAD	4.75	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12578	CARMINE STEFANO CC - FITNESS	5200	Home Supply Warehouse	WEIGHT ROOM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3047-16	2014-06-18	2014-06-20	CDN TIRE STORE #00119	32.16	CAD	32.16	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12578	CARMINE STEFANO CC - FITNESS	5200	Home Supply Warehouse	WEIGHT ROOM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3055-16	2014-06-26	2014-06-27	FORTINOS HWY 7   ANSLE	67.60	CAD	67.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12583	CARMINE STEFANO CC - SOCIAL PRGM YOUTH	5411	"Grocery Stores, Supermarkets"	"CHEESE STICKS, CUPCAKES, CHIPS"	
"PARKS, FORESTRY & RECREATION"	3055-17	2014-06-26	2014-06-27	DOLLAR TREE CANADA STO	9.32	CAD	9.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12583	CARMINE STEFANO CC - SOCIAL PRGM YOUTH	5331	Variety Stores	AFTER SCHOOL SUPPLIES- CANDIES	
"PARKS, FORESTRY & RECREATION"	3057-36	2014-06-26	2014-06-30	PARTY CITY #2801	31.62	CAD	31.62	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12583	CARMINE STEFANO CC - SOCIAL PRGM YOUTH	5999	Miscellaneous and Specialty Retail Store	AFTER SCHOOL SUPPLIES	
					230.51	CAD	230.51	CAD								
