Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	1960-38	04-24-2012	04-25-2012	LEE VALLEY TOOLS 800-2	819.25	CAD	819.25	CAD	3080	M & E - HAND TOOLS	P00152	C-WTRFRONT3-TURF&HOR	5251	Hardware Stores	BYPASS LOPPERS	
"PARKS, FORESTRY & RECREATION"	1962-40	04-25-2012	04-27-2012	THE HOME DEPOT #7080	361.49	CAD	361.49	CAD	3080	M & E - HAND TOOLS	P00152	C-WTRFRONT3-TURF&HOR	5200	Home Supply Warehouse	LOPPER	
"PARKS, FORESTRY & RECREATION"	1965-26	04-26-2012	04-30-2012	SPEED FASTENING SYSTEM	450.87	CAD	450.87	CAD	3080	M & E - HAND TOOLS	P00152	C-WTRFRONT3-TURF&HOR	5712	"Equipment, Furniture, and Home Furnishin"	MAKITA GRINDER	
					"1,889.88"	CAD	"1,889.88"	CAD								
"PARKS, FORESTRY & RECREATION"	1928-41	03-30-2012	04-02-2012	NOFRILLS SHERIFFS 270	21.93	CAD	21.93	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01701	G&I RISK-SOCIAL PGM	5411	"Grocery Stores, Supermarkets"	AFTER SCHOOL COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1949-24	04-16-2012	04-17-2012	NOFRILLS SHERIFFS 270	27.92	CAD	27.92	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01701	G&I RISK-SOCIAL PGM	5411	"Grocery Stores, Supermarkets"	AFTER SCHOOL COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1953-35	04-17-2012	04-19-2012	DESERRES.CA	183.34	CAD	183.34	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01701	G&I RISK-SOCIAL PGM	5970	"Artist Supply Stores, Craft Shops"	FINE ART SUPPLIES FOR ART PROGRAM	
					233.19	CAD	233.19	CAD								
TORONTO WATER	1942-18	04-10-2012	04-11-2012	LOCK-UP SERVICES INC.	74.81	CAD	74.81	CAD	2730	LOCKS	WW1177	HTP SOLIDS	7393	"Detective Agencies, Protective Agencies,"	LOCKS	
TORONTO WATER	1950-29	04-17-2012	04-18-2012	ALL CUSTOM GASKET   MA	981.07	CAD	981.07	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1177	HTP SOLIDS	5211	"Building Materials, Lumber Stores"	GASKETS	
TORONTO WATER	1961-40	04-24-2012	04-26-2012	CDN TIRE STORE #00070	63.20	CAD	63.20	CAD	2575	ELECTRICAL SUPPLIES	WW1177	HTP SOLIDS	5200	Home Supply Warehouse	CONNECTIONS	
TORONTO WATER	1961-41	04-24-2012	04-26-2012	CDN TIRE STORE #00152	21.45	CAD	21.45	CAD	2575	ELECTRICAL SUPPLIES	WW1177	HTP SOLIDS	5200	Home Supply Warehouse	CONNECTORS	
					"1,140.53"	CAD	"1,140.53"	CAD								
"PARKS, FORESTRY & RECREATION"	1944-23	04-10-2012	04-12-2012	ABLE LOCK SERVICE LTD	108.48	CAD	108.48	CAD	2730	LOCKS	P08627	W-Y O/D POOL-OPS	7393	"Detective Agencies, Protective Agencies,"	KEYS CUT	
"PARKS, FORESTRY & RECREATION"	1944-24	04-11-2012	04-12-2012	LOCK-UP SERVICES INC.	36.39	CAD	36.39	CAD	2730	LOCKS	P12783	KIPLING YD-N-FAC&MEC	7393	"Detective Agencies, Protective Agencies,"	KEYS CUT	
"PARKS, FORESTRY & RECREATION"	1946-27	04-11-2012	04-13-2012	ONTARIO WATER WORKS AS	96.00	CAD	96.00	CAD	4412	CONTR SRV - PLUMBING	P12783	KIPLING YD-N-FAC&MEC	7399	Business Services - Not Elsewhere Classi	CROSS CONNECTION CONTROL RENEWAL FEE	
"PARKS, FORESTRY & RECREATION"	1946-28	04-12-2012	04-13-2012	KOTYCK BROS LIMITED	458.25	CAD	458.25	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC&MEC	1520	General Contractors - Residential and Co	PLUMBING & IRRIGATION SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1950-30	04-17-2012	04-18-2012	KOTYCK BROS LIMITED	944.23	CAD	944.23	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC&MEC	1520	General Contractors - Residential and Co	DRINKING FOUNTAIN PARTS	
"PARKS, FORESTRY & RECREATION"	1950-31	04-17-2012	04-18-2012	CLEAR TECH INDUSTRIES	951.40	CAD	951.40	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC&MEC	7399	Business Services - Not Elsewhere Classi	PORTABLE TURBIDIMETER	
"PARKS, FORESTRY & RECREATION"	1957-21	04-20-2012	04-24-2012	BRAFASCO / ETOBICOKE	265.19	CAD	265.19	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC&MEC	5085	Industrial Supplies Not Elsewhere Classi	PLUMBING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1957-22	04-20-2012	04-24-2012	ABLE LOCK SERVICE LTD	31.08	CAD	31.08	CAD	2730	LOCKS	P12783	KIPLING YD-N-FAC&MEC	7393	"Detective Agencies, Protective Agencies,"	KEYS CUT	
"PARKS, FORESTRY & RECREATION"	1961-42	04-24-2012	04-26-2012	KOTYCK BROS LIMITED	450.78	CAD	450.78	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC&MEC	1520	General Contractors - Residential and Co	PLUMBING SUPPLIES	
					"3,341.80"	CAD	"3,341.80"	CAD								
"PARKS, FORESTRY & RECREATION"	1928-42	03-30-2012	04-02-2012	TUCKERS POTTERY SUPPLI	607.38	CAD	607.38	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPS-RIVERDALE	5970	"Artist Supply Stores, Craft Shops"	CRAFT SUPPLIES FOR PROGRAMS	
"PARKS, FORESTRY & RECREATION"	1938-48	04-05-2012	04-09-2012	LOBLAWS 4.2	106.32	CAD	106.32	CAD	2610	KITCHEN SUPPLIES	P07730	JIMMIE SIMPSON-PGM S	5411	"Grocery Stores, Supermarkets"	FOOD & KITCHEN SUPPLIES FOR SPECIAL EVENT	
"PARKS, FORESTRY & RECREATION"	1938-49	04-05-2012	04-09-2012	DOLLAR BAZZAR	28.25	CAD	28.25	CAD	2610	KITCHEN SUPPLIES	P12286	PS-OP-SPS-RIVERDALE	5311	Department Stores	"BAKING SUPPLIES, FOIL PANS, GLASS DISH ETC"	
"PARKS, FORESTRY & RECREATION"	1944-25	04-11-2012	04-12-2012	TUCKERS POTTERY SUPPLI	219.95	CAD	219.95	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPS-RIVERDALE	5970	"Artist Supply Stores, Craft Shops"	POTTERY SUPPLIES: GLAZES	
"PARKS, FORESTRY & RECREATION"	1946-29	04-11-2012	04-13-2012	MICHAELS #3949	66.60	CAD	66.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPS-RIVERDALE	5945	"Game, Toy, and Hobby Shops"	"PIPE CLEANERS,CRAYONS, CONSTRUCTION PAPER"	
					"1,028.50"	CAD	"1,028.50"	CAD								
"PARKS, FORESTRY & RECREATION"	1948-29	04-13-2012	04-16-2012	BAHNAIR OF CANADA	329.96	CAD	329.96	CAD	2540	HEATING & AIR CONDITIONING SUPPLIES	P00859	ALNESS YD-YD OPERN	5074	Plumbing and Heating Equipment	FILTERS: VIC VILLAGE	
					329.96	CAD	329.96	CAD								
CITY CLERK'S OFFICE	1938-50	04-04-2012	04-09-2012	AMCTO	326.57	CAD	326.57	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	GV0016	ELECTION OPERATIONS	7392	"Consulting, Management, and Public Relat"	"TRAINING, INTEGRATED ACCESS STAND"	
CITY CLERK'S OFFICE	1938-51	04-04-2012	04-09-2012	AMCTO	326.57	CAD	326.57	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	GV0016	ELECTION OPERATIONS	7392	"Consulting, Management, and Public Relat"	"TRAINING, INTEGRATED ACCESS STAND"	
					653.14	CAD	653.14	CAD								
"PARKS, FORESTRY & RECREATION"	1948-30	04-13-2012	04-16-2012	TUCKERS POTTERY SUPPLI	53.68	CAD	53.68	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06454	FAIRBANK CC-ARTS-VIS	5970	"Artist Supply Stores, Craft Shops"	SUPPLIES FOR POTTERY PROGRAM	
					53.68	CAD	53.68	CAD								
"PARKS, FORESTRY & RECREATION"	1954-47	04-18-2012	04-20-2012	CURRY'S - MISSISSAUGA	43.12	CAD	43.12	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12051	PKLAWN-COMM CTR-PGM	5970	"Artist Supply Stores, Craft Shops"	SUPPLIES FOR VISUAL ARTS PROGRAM	
					43.12	CAD	43.12	CAD								
TORONTO WATER	1957-23	04-23-2012	04-24-2012	WWW.OSACH.CA	93.45	CAD	93.45	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PW2008	O&M S2 SRVS MTC&REPR	8398	"Organizations, Charitable and Social Ser"	BOOKS	
					93.45	CAD	93.45	CAD								
"PARKS, FORESTRY & RECREATION"	1928-43	03-30-2012	04-02-2012	ALL MASTER EQUIPMENT	14.24	CAD	14.24	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12075	HOLLYCREST-COMM CTR-	5699	Accessory  and Apparel Stores - Miscella	TAE KWON DO BELTS	
"PARKS, FORESTRY & RECREATION"	1928-44	03-30-2012	04-02-2012	STAPLES STORE #2	11.56	CAD	11.56	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P12075	HOLLYCREST-COMM CTR-	5943	"Office, School Supply, and Stationery St"	OFFICE SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1928-45	03-30-2012	04-02-2012	URBAN PLANET #1389	18.90	CAD	18.90	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-V	5691	Men's and Women's Clothing Stores	COSTUMES	
"PARKS, FORESTRY & RECREATION"	1929-15	03-30-2012	04-03-2012	AMAZING PARTY   COSTUM	17.97	CAD	17.97	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-V	5947	"Card, Gift, Novelty, and Souvenir Shops"	COSTUMES	
"PARKS, FORESTRY & RECREATION"	1929-16	04-02-2012	04-03-2012	LOBLAWS #1066	2.00	CAD	2.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04931	HOLLYCREST CS-H CAMP	5411	"Grocery Stores, Supermarkets"	FOOD ITEMS	
"PARKS, FORESTRY & RECREATION"	1929-17	04-02-2012	04-03-2012	NOFRILLS CHRIS 273	21.20	CAD	21.20	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04931	HOLLYCREST CS-H CAMP	5411	"Grocery Stores, Supermarkets"	FOOD ITEMS	
"PARKS, FORESTRY & RECREATION"	1934-25	04-03-2012	04-04-2012	MICHAELS OF CANADA #34	41.92	CAD	41.92	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-V	5945	"Game, Toy, and Hobby Shops"	COSTUMES: BASEBALL CAPS	
"PARKS, FORESTRY & RECREATION"	1934-26	04-03-2012	04-04-2012	ALL MASTER EQUIPMENT	7.20	CAD	7.20	CAD	2670	UNIFORMS	P12075	HOLLYCREST-COMM CTR-	5699	Accessory  and Apparel Stores - Miscella	TAE KWON DO BELTS	
"PARKS, FORESTRY & RECREATION"	1934-27	04-03-2012	04-04-2012	URBAN PLANET #1389	-0.82	CAD	-0.82	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-V	5691	Men's and Women's Clothing Stores	RETURN COSTUME PIECE	
"PARKS, FORESTRY & RECREATION"	1936-26	04-03-2012	04-05-2012	ZELLERS #437	4.49	CAD	4.49	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12075	HOLLYCREST-COMM CTR-	5310	Discount Stores	ELECTRICAL TAPE	
"PARKS, FORESTRY & RECREATION"	1936-27	04-03-2012	04-05-2012	ZELLERS #437	142.61	CAD	142.61	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-V	5310	Discount Stores	COSTUMES	
"PARKS, FORESTRY & RECREATION"	1936-28	04-03-2012	04-05-2012	WAL-MART # 3031	12.60	CAD	12.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-V	5310	Discount Stores	COSTUMES	
"PARKS, FORESTRY & RECREATION"	1936-29	04-03-2012	04-05-2012	WMT SUPRCTR #1126	11.23	CAD	11.23	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-V	5411	"Grocery Stores, Supermarkets"	COSTUMES	
"PARKS, FORESTRY & RECREATION"	1936-30	04-03-2012	04-05-2012	WMT SUPRCTR #1126	8.40	CAD	8.40	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-V	5411	"Grocery Stores, Supermarkets"	COSTUMES	
"PARKS, FORESTRY & RECREATION"	1936-31	04-03-2012	04-05-2012	WAL-MART # 3031	-48.30	CAD	-48.30	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-V	5310	Discount Stores	COSTUMES	
"PARKS, FORESTRY & RECREATION"	1942-19	04-10-2012	04-11-2012	NOFRILLS CHRIS 273	14.66	CAD	14.66	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04931	HOLLYCREST CS-H CAMP	5411	"Grocery Stores, Supermarkets"	FOOD & LIGHTBULBS	
"PARKS, FORESTRY & RECREATION"	1944-26	04-11-2012	04-12-2012	ARDENE #218	17.00	CAD	17.00	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-V	5631	Women's Accessory and Specialty Stores	COSTUMES	
"PARKS, FORESTRY & RECREATION"	1946-30	04-11-2012	04-13-2012	ZELLERS #437	4.51	CAD	4.51	CAD	2575	ELECTRICAL SUPPLIES	P12075	HOLLYCREST-COMM CTR-	5310	Discount Stores	LIGHT BULBS	
"PARKS, FORESTRY & RECREATION"	1946-31	04-11-2012	04-13-2012	THE CHILDREN'S PLACE#3	27.30	CAD	27.30	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-V	5641	Children's and Infants' Wear Stores	COSTUMES	
"PARKS, FORESTRY & RECREATION"	1949-25	04-16-2012	04-17-2012	NOFRILLS CHRIS 273	16.70	CAD	16.70	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04931	HOLLYCREST CS-H CAMP	5411	"Grocery Stores, Supermarkets"	FOOD	
"PARKS, FORESTRY & RECREATION"	1950-32	04-17-2012	04-18-2012	NOFRILLS CHRIS 273	2.29	CAD	2.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04931	HOLLYCREST CS-H CAMP	5411	"Grocery Stores, Supermarkets"	FOOD	
"PARKS, FORESTRY & RECREATION"	1953-36	04-18-2012	04-19-2012	ARDENE #218	73.45	CAD	73.45	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-V	5631	Women's Accessory and Specialty Stores	COSTUMES	
"PARKS, FORESTRY & RECREATION"	1953-37	04-18-2012	04-19-2012	URBAN PLANET #1635	29.38	CAD	29.38	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-V	5691	Men's and Women's Clothing Stores	COSTUMES	
"PARKS, FORESTRY & RECREATION"	1954-48	04-18-2012	04-20-2012	WAL-MART # 3031	201.71	CAD	201.71	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-V	5310	Discount Stores	COSTUMES	
"PARKS, FORESTRY & RECREATION"	1954-49	04-18-2012	04-20-2012	ZELLERS #437	-13.39	CAD	-13.39	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-V	5310	Discount Stores	COSTUMES	
"PARKS, FORESTRY & RECREATION"	1954-50	04-18-2012	04-20-2012	ZELLERS #437	-62.38	CAD	-62.38	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-V	5310	Discount Stores	COSTUMES	
"PARKS, FORESTRY & RECREATION"	1956-23	04-20-2012	04-23-2012	ARDENE #218	67.85	CAD	67.85	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-V	5631	Women's Accessory and Specialty Stores	COSTUMES	
"PARKS, FORESTRY & RECREATION"	1956-24	04-19-2012	04-23-2012	ZELLERS #258	40.13	CAD	40.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-V	5310	Discount Stores	COSTUMES	
"PARKS, FORESTRY & RECREATION"	1956-25	04-19-2012	04-23-2012	STITCHES #1380	6.78	CAD	6.78	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-V	5691	Men's and Women's Clothing Stores	COSTUMES	
"PARKS, FORESTRY & RECREATION"	1957-24	04-23-2012	04-24-2012	NOFRILLS CHRIS 273	30.99	CAD	30.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06457	HOLLYCREST CS-ARTS-V	5411	"Grocery Stores, Supermarkets"	FOOD	
"PARKS, FORESTRY & RECREATION"	1965-27	04-26-2012	04-30-2012	WAL-MART # 3031	4.20	CAD	4.20	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-V	5310	Discount Stores	COSTUMES	
"PARKS, FORESTRY & RECREATION"	1965-28	04-27-2012	04-30-2012	WAL-MART # 3055	-4.20	CAD	-4.20	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06457	HOLLYCREST CS-ARTS-V	5411	"Grocery Stores, Supermarkets"	COSTUMES	
					722.18	CAD	722.18	CAD								
PUBLIC HEALTH	1949-26	04-14-2012	04-17-2012	CDN TIRE STORE #00497	22.59	CAD	22.59	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	PH3089	HBHC PROGRAM SUPPORT	5200	Home Supply Warehouse	MISCELLANEOUS MATERIALS & SUPPLIES	
					22.59	CAD	22.59	CAD								
"PARKS, FORESTRY & RECREATION"	1929-18	03-30-2012	04-03-2012	ABLE LOCK SERVICE LTD	519.80	CAD	519.80	CAD	2730	LOCKS	P00676	W-YORK1-PGM SUPP	7393	"Detective Agencies, Protective Agencies,"	PADLOCKS AND KEYS	
"PARKS, FORESTRY & RECREATION"	1944-27	04-10-2012	04-12-2012	THE WATER STORE	265.55	CAD	265.55	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00676	W-YORK1-PGM SUPP	4900	"Utilities - Electric, Gas, Sanitary, Wat"	WATER TREATMENT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1953-38	04-17-2012	04-19-2012	SETON	101.70	CAD	101.70	CAD	2665	PROTECTIVE CLOTHING	P00676	W-YORK1-PGM SUPP	5099	Durable Goods Not Elsewhere Classified	SAFETY SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1956-26	04-19-2012	04-23-2012	BUNNING SPLICING   RIG	186.79	CAD	186.79	CAD	3080	M & E - HAND TOOLS	P00676	W-YORK1-PGM SUPP	5085	Industrial Supplies Not Elsewhere Classi	HAND TOOLS	
"PARKS, FORESTRY & RECREATION"	1956-27	04-20-2012	04-23-2012	THE HOME DEPOT #7013	14.68	CAD	14.68	CAD	2710	GENERAL HARDWARE	P00676	W-YORK1-PGM SUPP	5200	Home Supply Warehouse	SQUEEGEE	
"PARKS, FORESTRY & RECREATION"	1957-25	04-20-2012	04-24-2012	CDN TIRE STORE #00182	106.81	CAD	106.81	CAD	2570	JANITORIAL SUPPLIES	P00676	W-YORK1-PGM SUPP	5200	Home Supply Warehouse	CLEANING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1965-29	04-24-2012	04-30-2012	SPORTS EQUIPMENT OF TO	209.05	CAD	209.05	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10916	EGLINTON FLATS TENNI	5941	Sporting Goods Stores	RECREATION SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1965-30	04-24-2012	04-30-2012	SPORTS EQUIPMENT OF TO	636.19	CAD	636.19	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10916	EGLINTON FLATS TENNI	5941	Sporting Goods Stores	RECREATION SUPPLIES	
					"2,040.57"	CAD	"2,040.57"	CAD								
"PARKS, FORESTRY & RECREATION"	1944-28	04-10-2012	04-12-2012	CDN TIRE STORE #00182	158.12	CAD	158.12	CAD	2710	GENERAL HARDWARE	P00091	ROCKLIFF-PRUNING/REM	5200	Home Supply Warehouse	"HOSE, WASHERS & NOZZLE"	
"PARKS, FORESTRY & RECREATION"	1944-29	04-10-2012	04-12-2012	ABLE LOCK SERVICE LTD	129.39	CAD	129.39	CAD	2730	LOCKS	P00091	ROCKLIFF-PRUNING/REM	7393	"Detective Agencies, Protective Agencies,"	CUT NEW SET OF KEYS FOR 305 ROCKCLIFFE	
"PARKS, FORESTRY & RECREATION"	1946-32	04-12-2012	04-13-2012	UNIVERSAL FIELD SUPPLI	265.55	CAD	265.55	CAD	2715	PAINT SUPPLIES	P00091	ROCKLIFF-PRUNING/REM	5137	"Mens, Womens, and Childrens Uniforms and"	"MARKING PAINT, LASER POINTER"	
"PARKS, FORESTRY & RECREATION"	1960-39	04-23-2012	04-25-2012	RONA # 55130	169.39	CAD	169.39	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00091	ROCKLIFF-PRUNING/REM	5251	Hardware Stores	BURLAP FOR BARE ROOT TREES	
					722.45	CAD	722.45	CAD								
"PARKS, FORESTRY & RECREATION"	1928-46	03-30-2012	04-02-2012	WAL-MART # 5831	41.94	CAD	41.94	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01561	EARL BALES-ARTS-VISL	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR JR SCIENCE PROGRAM	
"PARKS, FORESTRY & RECREATION"	1936-32	04-04-2012	04-05-2012	METRO #401	89.80	CAD	89.80	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01561	EARL BALES-ARTS-VISL	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR JR CHEFS CLASS	
"PARKS, FORESTRY & RECREATION"	1938-52	04-05-2012	04-09-2012	THE CRAFT   HOBBY EMPO	266.83	CAD	266.83	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05988	EARL BALES-PGM SUPP	5970	"Artist Supply Stores, Craft Shops"	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1946-33	04-11-2012	04-13-2012	WAL-MART # 5831	50.93	CAD	50.93	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01561	EARL BALES-ARTS-VISL	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR JR CHEFS CLASS	
"PARKS, FORESTRY & RECREATION"	1949-27	04-16-2012	04-17-2012	MICHAELS #3983	173.49	CAD	173.49	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05988	EARL BALES-PGM SUPP	5945	"Game, Toy, and Hobby Shops"	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1950-33	04-16-2012	04-18-2012	THE HOME DEPOT #7129	76.70	CAD	76.70	CAD	2710	GENERAL HARDWARE	P11408	EARL BALES-SOC PGM	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1950-34	04-16-2012	04-18-2012	YOUR DOLLAR STORE WITH	18.13	CAD	18.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08568	EARL BALES-SPEC EVNT	5310	Discount Stores	PRIZES	
"PARKS, FORESTRY & RECREATION"	1953-39	04-18-2012	04-19-2012	METRO #401	65.92	CAD	65.92	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1956-28	04-18-2012	04-23-2012	WAL-MART # 5831	73.01	CAD	73.01	CAD	2710	GENERAL HARDWARE	P05988	EARL BALES-PGM SUPP	5411	"Grocery Stores, Supermarkets"	CLOCKS	
"PARKS, FORESTRY & RECREATION"	1956-29	04-20-2012	04-23-2012	TOYS R US #3505	84.66	CAD	84.66	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01561	EARL BALES-ARTS-VISL	5945	"Game, Toy, and Hobby Shops"	PRESCHOOL & SPORTABILITY SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1956-30	04-20-2012	04-23-2012	METRO #401	20.85	CAD	20.85	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11408	EARL BALES-SOC PGM	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR FRIDAY NIGHT CLUB	
"PARKS, FORESTRY & RECREATION"	1962-41	04-25-2012	04-27-2012	WAL-MART # 5831	58.81	CAD	58.81	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01561	EARL BALES-ARTS-VISL	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR JR CHEFS CLASS	
"PARKS, FORESTRY & RECREATION"	1965-31	04-27-2012	04-30-2012	MICHAELS #3983	98.16	CAD	98.16	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05988	EARL BALES-PGM SUPP	5945	"Game, Toy, and Hobby Shops"	CRAFT SUPPLIES	
					"1,119.23"	CAD	"1,119.23"	CAD								
PUBLIC HEALTH	1948-31	04-13-2012	04-16-2012	SCARBOROUGH GRACE DQDS	143.84	CAD	143.84	CAD	2824	PRESCRIPTION DRUGS	PH4021	TUBERCULOSIS PROGRAM	5912	"Drug Stores, Pharmacies"	PRESCRIPTION DRUGS	
PUBLIC HEALTH	1960-40	04-24-2012	04-25-2012	NORTH YORK GENERAL HOS	229.08	CAD	229.08	CAD	2824	PRESCRIPTION DRUGS	PH4021	TUBERCULOSIS PROGRAM	8062	Hospitals	PRESCRIPTION DRUGS	
					372.92	CAD	372.92	CAD								
"PARKS, FORESTRY & RECREATION"	1928-47	03-30-2012	04-02-2012	PRICE CHOPPER #7984QPS	18.01	CAD	18.01	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06075	OAKDALE CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR TOPCLIFF BREAKFAST PROGRAM	
"PARKS, FORESTRY & RECREATION"	1928-48	04-01-2012	04-02-2012	METRO #493	38.42	CAD	38.42	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06075	OAKDALE CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR TOPCLIFF BREAKFAST PROGRAM	
