Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order #	Cost Center / WBS Element / Order # Description	Merchant Type	Merchant Type Description	Purpose	
TORONTO WATER	4987-44	2018-05-15	2018-05-15	STAPLES STORE #127	64.86	CAD	64.86	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5943	"Office, School Supply, and Stationery St"	SPEAKERS	
TORONTO WATER	4987-45	2018-05-15	2018-05-15	OWPSACSTATE	132.46	CAD	100.00	USD	4310	TRAINING & DEVELOPMENT - EXTERNAL	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	8398	"Organizations, Charitable and Social Ser"	COURSE ENROLLMENT	
TORONTO WATER	4988-40	2018-05-15	2018-05-16	THE HOME DEPOT #7027	49.67	CAD	49.67	CAD	3080	M & E - HAND TOOLS	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5200	Home Supply Warehouse	SAW	
TORONTO WATER	4989-109	2018-05-17	2018-05-17	CDN TIRE STORE #00209	25.96	CAD	25.96	CAD	*****	OTHER CHEMICALS	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5200	Home Supply Warehouse	"SCREWS, FUEL STABILIZER"	
TORONTO WATER	4989-110	2018-05-18	2018-05-18	RONA # 55140	83.61	CAD	83.61	CAD	3065	M & E - PLANT & GARAGE	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5251	Hardware Stores	TOOL CART	
TORONTO WATER	4989-111	2018-05-17	2018-05-17	STAPLES STORE #159	23.50	CAD	23.50	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5943	"Office, School Supply, and Stationery St"	LAMINATE	
TORONTO WATER	4989-112	2018-05-17	2018-05-17	PRINCESS AUTO #36	208.94	CAD	208.94	CAD	2710	GENERAL HARDWARE	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5085	Industrial Supplies Not Elsewhere Classi	"HOOKS, LOCKS, WELDING SCREEN"	
TORONTO WATER	4990-33	2018-05-17	2018-05-21	PRAXAIR #756	5.59	CAD	5.59	CAD	2710	GENERAL HARDWARE	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	7692	Welding Repair	WRENCH	
					"1,297.38"	CAD	"1,164.92"	CAD								
							100.00	USD								
"PARKS, FORESTRY & RECREATION"	4977-41	2018-05-02	2018-05-02	SNAP-ON TOOLS	582.34	CAD	582.34	CAD	3080	M & E - HAND TOOLS	P00859	ALNESS YD-YARD OPERNS	5251	Hardware Stores	SHOP TOOLS	
"PARKS, FORESTRY & RECREATION"	4981-28	2018-05-07	2018-05-07	FENMAR DIESEL &	559.35	CAD	559.35	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5046	Commercial Equipment Not Elsewhere Class	HYD VALVES	
"PARKS, FORESTRY & RECREATION"	4984-108	2018-05-11	2018-05-11	PRINCESS AUTO #36	15.80	CAD	15.80	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00405	N-CENTRAL1-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	TUBE TIRE	
"PARKS, FORESTRY & RECREATION"	4987-46	2018-05-15	2018-05-15	FENMAR DIESEL &	339.00	CAD	339.00	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5046	Commercial Equipment Not Elsewhere Class	HYD MOTOR REBUILD	
"PARKS, FORESTRY & RECREATION"	4988-41	2018-05-15	2018-05-16	ONEIDA EQUIPMENT LTD	198.45	CAD	198.45	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P10956	ESTHER SHINER ST-OPERATIONS	5712	"Equipment, Furniture, and Home Furnishin"	"CRABURATOR, SPARK PLUG, FILTER, THROTTLE CABLE"	
"PARKS, FORESTRY & RECREATION"	4988-42	2018-05-15	2018-05-16	CSL TOOLS	199.99	CAD	199.99	CAD	3080	M & E - HAND TOOLS	P00859	ALNESS YD-YARD OPERNS	5072	Hardware Equipment and Supplies	SHOP TOOLS	
"PARKS, FORESTRY & RECREATION"	4989-113	2018-05-18	2018-05-18	DJ INDUSTRIAL SALES &	27.66	CAD	27.66	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00409	N-EAST1-TURF&HORT	5046	Commercial Equipment Not Elsewhere Class	HYD FITTINGS	
"PARKS, FORESTRY & RECREATION"	4992-59	2018-05-23	2018-05-23	SNAP-ON TOOLS	623.87	CAD	623.87	CAD	3080	M & E - HAND TOOLS	P00859	ALNESS YD-YARD OPERNS	5251	Hardware Stores	SHOP TOOLS	
"PARKS, FORESTRY & RECREATION"	4993-99	2018-05-25	2018-05-25	GENERAL AUTO PARTS	648.96	CAD	648.96	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00859	ALNESS YD-YARD OPERNS	5533	"Automotive Parts, Accessories Stores"	SHOP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4997-44	2018-05-29	2018-05-30	YANQUI AUTO REPAIR	553.70	CAD	553.70	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12136	ALNESS YARD-FORESTRY-PRUNING REMOVAL	7538	Automotive Service Shops	STARTER MOTOR REBUILD	
"PARKS, FORESTRY & RECREATION"	4997-45	2018-05-29	2018-05-30	YANQUI AUTO REPAIR	276.85	CAD	276.85	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P10956	ESTHER SHINER ST-OPERATIONS	7538	Automotive Service Shops	STARTER MOTOR REBUILD	
"PARKS, FORESTRY & RECREATION"	4997-46	2018-05-30	2018-05-30	BOLTS PLUS	396.10	CAD	396.10	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00405	N-CENTRAL1-TURF&HORT	5251	Hardware Stores	"BOLTS, NUTS"	
					"4,422.07"	CAD	"4,422.07"	CAD								
"PARKS, FORESTRY & RECREATION"	4978-110	2018-05-02	2018-05-03	CDN TIRE STORE #00192	118.30	CAD	118.30	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P07646	DON VALLEY-OPERATIONS	5200	Home Supply Warehouse	LIGHT BULBS	
"PARKS, FORESTRY & RECREATION"	4980-27	2018-05-05	2018-05-05	GREEN TRACTORS - PORT	501.25	CAD	501.25	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07646	DON VALLEY-OPERATIONS	5599	"Miscellaneous Automotive, Aircraft, and"	BED KNIVES	
"PARKS, FORESTRY & RECREATION"	4981-29	2018-05-07	2018-05-07	PRINCESS AUTO #36	118.56	CAD	118.56	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07646	DON VALLEY-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	CAUTION TAPE	
"PARKS, FORESTRY & RECREATION"	4982-38	2018-05-04	2018-05-08	G C DUKE EQUIPMENT LTD	143.54	CAD	143.54	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07646	DON VALLEY-OPERATIONS	5261	Lawn and Garden Supply Stores	MOWER PARTS	
"PARKS, FORESTRY & RECREATION"	4983-49	2018-05-07	2018-05-09	ONTBELTING  POWER TRAN	125.51	CAD	125.51	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07646	DON VALLEY-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	BELTS	
"PARKS, FORESTRY & RECREATION"	4984-109	2018-05-11	2018-05-11	PICKERING MOWER	800.66	CAD	800.66	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07646	DON VALLEY-OPERATIONS	5251	Hardware Stores	SOLID TINES	
"PARKS, FORESTRY & RECREATION"	4984-110	2018-05-09	2018-05-10	CDN TIRE STORE #00192	119.06	CAD	119.06	CAD	2199	MISCELLANEOUS PARTS	P07646	DON VALLEY-OPERATIONS	5200	Home Supply Warehouse	CABLES	
"PARKS, FORESTRY & RECREATION"	4984-111	2018-05-10	2018-05-10	PICKERING MOWER	393.29	CAD	393.29	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07646	DON VALLEY-OPERATIONS	5251	Hardware Stores	MOWER PARTS	
"PARKS, FORESTRY & RECREATION"	4985-35	2018-05-11	2018-05-11	THE HOME DEPOT #7129	166.54	CAD	166.54	CAD	3080	M & E - HAND TOOLS	P07646	DON VALLEY-OPERATIONS	5200	Home Supply Warehouse	**MORE**  SCREWS	
"PARKS, FORESTRY & RECREATION"	4987-47	2018-05-15	2018-05-15	PICKERING MOWER	220.78	CAD	220.78	CAD	2130	PARTS - MOBILE EQUIPMENT	P07646	DON VALLEY-OPERATIONS	5251	Hardware Stores	VEHICLE PARTS	
"PARKS, FORESTRY & RECREATION"	4994-29	2018-05-26	2018-05-26	GREEN TRACTORS - PORT	410.12	CAD	410.12	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07646	DON VALLEY-OPERATIONS	5599	"Miscellaneous Automotive, Aircraft, and"	BED KNIVES	
					"3,117.61"	CAD	"3,117.61"	CAD								
"PARKS, FORESTRY & RECREATION"	4980-28	2018-05-04	2018-05-04	ALPHA PRECASTS	"1,695.00"	CAD	"1,695.00"	CAD	3015	M & E - GROUNDS	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	1799	"Contractors, Special Trade - Not Elsewhe"	PING PONG NETS	
"PARKS, FORESTRY & RECREATION"	4981-30	2018-05-07	2018-05-07	LOCK BLOCK ONTARIO LTD	601.16	CAD	601.16	CAD	2780	CONCRETE	P00316	N-CENTRAL PKS CAPITAL WORK	5211	"Building Materials, Lumber Stores"	PRECAST WALL STONE	
"PARKS, FORESTRY & RECREATION"	4987-48	2018-05-15	2018-05-15	BOLTS PLUS	147.95	CAD	147.95	CAD	2710	GENERAL HARDWARE	P00364	N-EAST-PARKS MAINT/RPRS	5251	Hardware Stores	"BLUE RATCHET TIE DOWN, SLOTTED ROLL PIN"	
"PARKS, FORESTRY & RECREATION"	4987-49	2018-05-15	2018-05-15	RONA # 55030	518.18	CAD	518.18	CAD	2780	CONCRETE	P00364	N-EAST-PARKS MAINT/RPRS	5251	Hardware Stores	CONCRETE MIX	
"PARKS, FORESTRY & RECREATION"	4989-114	2018-05-17	2018-05-17	DELTA ENGRAVERS 1988 I	467.26	CAD	467.26	CAD	2791	"RIBBONS, MEDALS & TROPHIES"	P00364	N-EAST-PARKS MAINT/RPRS	7311	Advertising Services	PLAQUES	
"PARKS, FORESTRY & RECREATION"	4989-115	2018-05-17	2018-05-17	PIPE TOOLS SUPPLY LIMI	"1,631.72"	CAD	"1,631.72"	CAD	3080	M & E - HAND TOOLS	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5251	Hardware Stores	POWER TOOLS	
"PARKS, FORESTRY & RECREATION"	4994-30	2018-05-25	2018-05-25	THE HOME DEPOT #7134	122.31	CAD	122.31	CAD	3015	M & E - GROUNDS	P00316	N-CENTRAL PKS CAPITAL WORK	5200	Home Supply Warehouse	1/2  SHELF E	
					"5,183.58"	CAD	"5,183.58"	CAD								
FACILITIES MANAGEMENT DIVISON	4989-116	2018-05-18	2018-05-18	RONA ISLINGTON  55410	935.44	CAD	935.44	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA0527	399 WEST MALL-OPS-W (ETOBICOKE CIVIC)	5251	Hardware Stores	"VARIOUS PAINT MATERIALS, HAND TOOLS & PARTS"	
FACILITIES MANAGEMENT DIVISON	4990-34	2018-05-18	2018-05-21	CDN TIRE STORE #00070	309.51	CAD	309.51	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA0527	399 WEST MALL-OPS-W (ETOBICOKE CIVIC)	5200	Home Supply Warehouse	UPHOLSTRY VACUUMS & VARIOUS MATERIALS/PARTS	
FACILITIES MANAGEMENT DIVISON	4993-100	2018-05-23	2018-05-24	ASTLEY GILBERT LIMITED	"1,605.57"	CAD	"1,605.57"	CAD	4825	PRINTING AND REPRODUCTION - THIRD PARTY	FA0527	399 WEST MALL-OPS-W (ETOBICOKE CIVIC)	7338	"Quick Copy, Reproduction, and Blueprinti"	DIGITIZATION OF FACILITIES DRAWINGS - ECC (1950S) ECC (1960S) 2CC (1960S)	
					"2,850.52"	CAD	"2,850.52"	CAD								
"PARKS, FORESTRY & RECREATION"	4998-94	2018-05-31	2018-05-31	FACEBK 8B6ZEG2BQ2	400.52	CAD	400.52	CAD	4414	ADVERTISING & PROMOTION	P12664	GENERAL MANAGERS OFFICE	7311	Advertising Services	FACEBOOK ADS	
					400.52	CAD	400.52	CAD								
TORONTO WATER	4978-111	2018-05-03	2018-05-03	SAYAL ELECTRONICS	572.85	CAD	572.85	CAD	3099	GENERAL EQUIPMENT	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5732	Electronic Sales	MULTIMETER	
TORONTO WATER	4989-117	2018-05-17	2018-05-17	RONA # 55340	89.00	CAD	89.00	CAD	3080	M & E - HAND TOOLS	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5251	Hardware Stores	SOLDERING TOOLS	
TORONTO WATER	4997-47	2018-05-29	2018-05-30	THE HOME DEPOT #7136	77.02	CAD	77.02	CAD	*****	GENERAL HARDWARE	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	**MORE**  PAPER HLDER	
					738.87	CAD	738.87	CAD								
"PARKS, FORESTRY & RECREATION"	4980-29	2018-05-04	2018-05-04	THE HOME DEPOT #7001	40.23	CAD	40.23	CAD	2710	GENERAL HARDWARE	P00530	S-WEST 1-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  BOSCH BIT	
"PARKS, FORESTRY & RECREATION"	4981-31	2018-05-07	2018-05-07	TRUWAY ALIGNMENTS	293.80	CAD	293.80	CAD	2730	LOCKS	P00530	S-WEST 1-PRGM SUPPORT	7538	Automotive Service Shops	KEYS	
"PARKS, FORESTRY & RECREATION"	4982-39	2018-05-07	2018-05-08	THE HOME DEPOT #7011	137.70	CAD	137.70	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00530	S-WEST 1-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  KEYED CABLE	
"PARKS, FORESTRY & RECREATION"	4984-112	2018-05-11	2018-05-11	LOCKSMITH  & SAFEMAN	25.14	CAD	25.14	CAD	2730	LOCKS	P00530	S-WEST 1-PRGM SUPPORT	7393	"Detective Agencies, Protective Agencies,"	KEYS	
"PARKS, FORESTRY & RECREATION"	4985-36	2018-05-11	2018-05-11	THE HOME DEPOT #7080	25.65	CAD	25.65	CAD	2730	LOCKS	P00530	S-WEST 1-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  68 KEY	
"PARKS, FORESTRY & RECREATION"	4988-43	2018-05-16	2018-05-16	LOCKSMITH  & SAFEMAN	116.96	CAD	116.96	CAD	2730	LOCKS	P00530	S-WEST 1-PRGM SUPPORT	7393	"Detective Agencies, Protective Agencies,"	KEYS	
"PARKS, FORESTRY & RECREATION"	4989-118	2018-05-18	2018-05-18	THE XTERMINATOR	332.22	CAD	332.22	CAD	4417	PEST CONTROL	P00530	S-WEST 1-PRGM SUPPORT	7342	Exterminating and Disinfecting Services	PEST CONTROL SERVICE	
"PARKS, FORESTRY & RECREATION"	4989-119	2018-05-16	2018-05-17	THE HOME DEPOT #7080	527.60	CAD	527.60	CAD	3050	M & E - KITCHEN	P00530	S-WEST 1-PRGM SUPPORT	5200	Home Supply Warehouse	FFTR1621TW R	
"PARKS, FORESTRY & RECREATION"	4990-35	2018-05-20	2018-05-21	THE HOME DEPOT #7001	476.45	CAD	476.45	CAD	3099	GENERAL EQUIPMENT	P00530	S-WEST 1-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  2300PSI PW	
"PARKS, FORESTRY & RECREATION"	4991-38	2018-05-22	2018-05-22	THE XTERMINATOR	467.82	CAD	467.82	CAD	4417	PEST CONTROL	P00530	S-WEST 1-PRGM SUPPORT	7342	Exterminating and Disinfecting Services	PEST CONTROL SERVICES	
"PARKS, FORESTRY & RECREATION"	4992-60	2018-05-22	2018-05-23	THE HOME DEPOT #7001	280.24	CAD	280.24	CAD	3099	GENERAL EQUIPMENT	P00530	S-WEST 1-PRGM SUPPORT	5200	Home Supply Warehouse	ELECTRIC PW	
"PARKS, FORESTRY & RECREATION"	4992-61	2018-05-22	2018-05-23	THE HOME DEPOT #7001	280.24	CAD	280.24	CAD	3099	GENERAL EQUIPMENT	P00530	S-WEST 1-PRGM SUPPORT	5200	Home Supply Warehouse	ELECTRIC PW	
"PARKS, FORESTRY & RECREATION"	4992-62	2018-05-22	2018-05-23	THE HOME DEPOT #7001	-280.24	CAD	-280.24	CAD	3099	GENERAL EQUIPMENT	P00530	S-WEST 1-PRGM SUPPORT	5200	Home Supply Warehouse	ELECTRIC PW	
"PARKS, FORESTRY & RECREATION"	4992-63	2018-05-22	2018-05-23	THE HOME DEPOT #7001	-393.23	CAD	-393.23	CAD	3099	GENERAL EQUIPMENT	P00530	S-WEST 1-PRGM SUPPORT	5200	Home Supply Warehouse	2300PSI PW	
"PARKS, FORESTRY & RECREATION"	4997-48	2018-05-30	2018-05-30	THE XTERMINATOR	221.48	CAD	221.48	CAD	4417	PEST CONTROL	P00530	S-WEST 1-PRGM SUPPORT	7342	Exterminating and Disinfecting Services	PEST CONTROL SERVICE	
"PARKS, FORESTRY & RECREATION"	4997-49	2018-05-30	2018-05-30	STAPLES STORE #11	659.99	CAD	659.99	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00530	S-WEST 1-PRGM SUPPORT	5943	"Office, School Supply, and Stationery St"	"BULLETIN BOARD, DRY ERASE BOARD"	
					"3,212.05"	CAD	"3,212.05"	CAD								
TRANSPORTATION SERVICES 	4995-42	2018-05-28	2018-05-28	BIKE SHARE TORONTO	101.70	CAD	101.70	CAD	4590	RENTAL - OTHER	TP0285	PROGRAM SUPPORT	5940	Bicycle Shops - Sales and Service	BIKE SHARE TORONTO FEE	
TRANSPORTATION SERVICES 	4997-50	2018-05-30	2018-05-30	ERGO INDUSTRIAL SEATIN	73.45	CAD	73.45	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	TP0275	CAPITAL BUDGET/PROGRAMMING-INFRAS	5712	"Equipment, Furniture, and Home Furnishin"	NYLON CASTER FOR OFFICE CHAIR	
					175.15	CAD	175.15	CAD								
TORONTO WATER	4978-152	2018-05-03	2018-05-03	THE HOME DEPOT #7027	371.77	CAD	371.77	CAD	2535	PLUMBING SUPPLIES	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	40G ELE WH	
TORONTO WATER	4980-44	2018-05-04	2018-05-04	THE HOME DEPOT #7027	180.70	CAD	180.70	CAD	2535	PLUMBING SUPPLIES	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	**MORE**  GARDEN HOSE	
TORONTO WATER	4981-42	2018-05-07	2018-05-07	NATIONAL HOSE AND EQUI	257.64	CAD	257.64	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5046	Commercial Equipment Not Elsewhere Class	PUMP DISCHARGE HOSE	
TORONTO WATER	4982-61	2018-05-07	2018-05-08	THE HOME DEPOT #7001	264.80	CAD	264.80	CAD	2575	ELECTRICAL SUPPLIES	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	**MORE**  TIMER 60 MIN	
TORONTO WATER	4988-54	2018-05-15	2018-05-16	NEXT SUPPLY	26.23	CAD	26.23	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5251	Hardware Stores	PRESSURE GAUGE	
TORONTO WATER	4988-55	2018-05-15	2018-05-16	THE HOME DEPOT #7001	30.37	CAD	30.37	CAD	2730	LOCKS	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	69 KEY	
TORONTO WATER	4988-56	2018-05-15	2018-05-16	THE HOME DEPOT #7027	-371.77	CAD	-371.77	CAD	2535	PLUMBING SUPPLIES	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	40G ELE WH	
TORONTO WATER	4996-79	2018-05-28	2018-05-29	THE HOME DEPOT #7027	3.55	CAD	3.55	CAD	2710	GENERAL HARDWARE	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	SHACKLES	
TORONTO WATER	4997-64	2018-05-30	2018-05-30	BEST BUY CANADA #927	203.35	CAD	203.35	CAD	3410	COMPUTERS - HARDWARE	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5732	Electronic Sales	WIRELESS DISPLAY ADAPTERS	
TORONTO WATER	4998-131	2018-05-31	2018-05-31	NOFRILLS ROD&JOES	2.00	CAD	2.00	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5411	"Grocery Stores, Supermarkets"	DISTILLED WATER	
					968.64	CAD	968.64	CAD								
TORONTO WATER	4978-153	2018-05-03	2018-05-03	THE HOME DEPOT #7136	153.50	CAD	153.50	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5200	Home Supply Warehouse	MIXPEBBLES	
TORONTO WATER	4980-45	2018-05-04	2018-05-04	THE HOME DEPOT #7012	79.08	CAD	79.08	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5200	Home Supply Warehouse	BOXWOOD	
TORONTO WATER	4987-65	2018-05-15	2018-05-15	SILVER MILE HARDWARE	278.48	CAD	278.48	CAD	3080	M & E - HAND TOOLS	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5072	Hardware Equipment and Supplies	CHAINSAW	
TORONTO WATER	4989-150	2018-05-16	2018-05-17	THE HOME DEPOT #7012	293.12	CAD	293.12	CAD	*****	LUMBER	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5200	Home Supply Warehouse	**MORE**  MIL5PK3.5 S2	
TORONTO WATER	4993-135	2018-05-24	2018-05-24	THE HOME DEPOT #7107	300.26	CAD	300.26	CAD	2710	GENERAL HARDWARE	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5200	Home Supply Warehouse	POTENTILLA	
TORONTO WATER	4993-136	2018-05-24	2018-05-24	THE HOME DEPOT #7107	128.68	CAD	128.68	CAD	2710	GENERAL HARDWARE	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5200	Home Supply Warehouse	PRIVET	
TORONTO WATER	4993-137	2018-05-23	2018-05-24	THE HOME DEPOT #7012	386.05	CAD	386.05	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5200	Home Supply Warehouse	**MORE**  POTENTILLA	
TORONTO WATER	4994-36	2018-05-25	2018-05-25	THE HOME DEPOT #7012	107.17	CAD	107.17	CAD	*****	LUMBER	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5200	Home Supply Warehouse	**MORE**  HAMMER BIT	
TORONTO WATER	4996-80	2018-05-29	2018-05-29	BEAVER VALLEY STONE LI	236.14	CAD	236.14	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5211	"Building Materials, Lumber Stores"	STONE	
TORONTO WATER	4997-65	2018-05-30	2018-05-30	FAIRGREEN SOD FARMS	335.10	CAD	335.10	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5261	Lawn and Garden Supply Stores	SOD	
TORONTO WATER	4998-132	2018-05-31	2018-05-31	THE HOME DEPOT #7027	223.69	CAD	223.69	CAD	3080	M & E - HAND TOOLS	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5200	Home Supply Warehouse	**MORE**  EDGER	
					"2,521.27"	CAD	"2,521.27"	CAD								
TRANSPORTATION SERVICES 	4984-137	2018-05-10	2018-05-10	THE HOME DEPOT #7027	202.27	CAD	202.27	CAD	3025	M & E - JANITORIAL	TP0219	ROADWAY MANAGEMENT & OVERHEAD-D4	5200	Home Supply Warehouse	PRO VAC	
TRANSPORTATION SERVICES 	4996-81	2018-05-29	2018-05-29	ALPINE LAWN & GARDEN E	677.94	CAD	677.94	CAD	3015	M & E - GROUNDS	TP0214	ROADSIDE REPAIR-D4	5261	Lawn and Garden Supply Stores	PRESSURE WASHER	
					880.21	CAD	880.21	CAD								
"PARKS, FORESTRY & RECREATION"	4977-64	2018-05-02	2018-05-02	SHERIDAN NURSERIES SCA	256.82	CAD	256.82	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00265	E-CENTRAL3-TURF&HORT	5261	Lawn and Garden Supply Stores	PLANTS	
"PARKS, FORESTRY & RECREATION"	4977-65	2018-05-02	2018-05-02	BEE SAFE & LOCK INC.	132.31	CAD	132.31	CAD	2730	LOCKS	P00264	E-CENTRAL2-TURF&HORT	7399	Business Services - Not Elsewhere Classi	KEYS	
"PARKS, FORESTRY & RECREATION"	4986-44	2018-05-14	2018-05-14	SHERIDAN NURSERIES SCA	161.54	CAD	161.54	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00265	E-CENTRAL3-TURF&HORT	5261	Lawn and Garden Supply Stores	PLANTS	
"PARKS, FORESTRY & RECREATION"	4988-57	2018-05-15	2018-05-16	CDN TIRE STORE #00427	3.27	CAD	3.27	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00265	E-CENTRAL3-TURF&HORT	5200	Home Supply Warehouse	TIES	
"PARKS, FORESTRY & RECREATION"	4989-151	2018-05-17	2018-05-17	THE HOME DEPOT #7027	101.47	CAD	101.47	CAD	2715	PAINT SUPPLIES	P00265	E-CENTRAL3-TURF&HORT	5200	Home Supply Warehouse	MG PM 60.5L	
"PARKS, FORESTRY & RECREATION"	4989-152	2018-05-16	2018-05-17	THE HOME DEPOT #7027	224.87	CAD	224.87	CAD	3010	M & E - AGRICULTURAL & BOTANICAL	P00265	E-CENTRAL3-TURF&HORT	5200	Home Supply Warehouse	**MORE**  BATTERY	
					880.28	CAD	880.28	CAD								
"PARKS, FORESTRY & RECREATION"	4978-154	2018-05-03	2018-05-03	WAL-MART # 3111	91.52	CAD	91.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08946	LAMOREAUX CC-INSTRL	5411	"Grocery Stores, Supermarkets"	FOOD FOR PRGM	
"PARKS, FORESTRY & RECREATION"	4984-138	2018-05-09	2018-05-10	WAL-MART # 3111	48.33	CAD	48.33	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08946	LAMOREAUX CC-INSTRL	5411	"Grocery Stores, Supermarkets"	FOOD FOR PRGM	
"PARKS, FORESTRY & RECREATION"	4986-45	2018-05-14	2018-05-14	METRO #35	54.22	CAD	54.22	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P03777	LAMOREAUX CC-SPECIALTY CAMPS	5411	"Grocery Stores, Supermarkets"	PIZZA	
"PARKS, FORESTRY & RECREATION"	4989-153	2018-05-17	2018-05-17	WAL-MART # 3111	57.80	CAD	57.80	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08946	LAMOREAUX CC-INSTRL	5411	"Grocery Stores, Supermarkets"	FOOD FOR PRGM	
