Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBLS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	4925-6	2018-02-26	2018-02-27	PAYPAL *SIDSMACK	324.44	CAD	324.44	CAD	4102	ENTERTAINER AND BAND FEES	P12594	RC-OW - YOUTH SPORT PROGRAMS	8999	Professional Services - Not Elsewhere Cl	TECH PRODUCTION SERVICE FOR FAMILY DAY
					585.24	CAD	585.24	CAD							
"PARKS, FORESTRY & RECREATION"	4908-9	2018-02-05	2018-02-05	METRO #37	14.67	CAD	14.67	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07897	OAKRIDGE CRC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	JUICE
"PARKS, FORESTRY & RECREATION"	4914-11	2018-02-12	2018-02-12	NOFRILLS ROD&JOES	1.97	CAD	1.97	CAD	2570	JANITORIAL SUPPLIES	P06671	OAKRIDGE-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	VINEGAR FOR CLEANING FITNESS CENTRE
"PARKS, FORESTRY & RECREATION"	4915-10	2018-02-13	2018-02-13	NOFRILLS ROD&JOES	29.72	CAD	29.72	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07897	OAKRIDGE CRC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES
"PARKS, FORESTRY & RECREATION"	4917-61	2018-02-16	2018-02-16	BEST BUY #965	16.94	CAD	16.94	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07897	OAKRIDGE CRC-SOCIAL PRGM	5732	Electronic Sales	MOVIE FOR FAMILY DAY
"PARKS, FORESTRY & RECREATION"	4917-62	2018-02-15	2018-02-15	METRO #37	9.03	CAD	9.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07897	OAKRIDGE CRC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	WONTON WRAPS
"PARKS, FORESTRY & RECREATION"	4917-63	2018-02-15	2018-02-15	WAL-MART #3159	76.47	CAD	76.47	CAD	2610	KITCHEN SUPPLIES	P07897	OAKRIDGE CRC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"KETTLE, TOMATO SAUCE, HERBS"
"PARKS, FORESTRY & RECREATION"	4918-10	2018-02-17	2018-02-17	WAL-MART # 3111	76.58	CAD	76.58	CAD	2615	"DISHES, CUTLERY AND UTENSILS"	P13537	DEVELOPER FUNDING - WARD 17	5411	"Grocery Stores, Supermarkets"	"FAMILY DAY - FOAM CUPS, CUTLERY"
"PARKS, FORESTRY & RECREATION"	4925-7	2018-02-27	2018-02-27	NOFRILLS ROD&JOES	42.87	CAD	42.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06671	OAKRIDGE-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"COOKING SUPPLIES- BUTTER, HALF & HALF, POTATOES"
					268.25	CAD	268.25	CAD							
FACILITIES MANAGEMENT DIVISON	4918-11	2018-02-16	2018-02-16	THE HOME DEPOT #7080	136.04	CAD	136.04	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61428501	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  DOORCHIME
FACILITIES MANAGEMENT DIVISON	4925-8	2018-02-27	2018-02-27	PAUL WOLF ELECTRIC & L	184.26	CAD	184.26	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61429543	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	LIGHTS
					320.30	CAD	320.30	CAD							
FACILITIES MANAGEMENT DIVISON	4925-9	2018-02-27	2018-02-27	RONA # 55130	29.13	CAD	29.13	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61430473	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	PLUMBING
					29.13	CAD	29.13	CAD							
"PARKS, FORESTRY & RECREATION"	4904-25	2018-01-31	2018-02-01	WAL-MART #1004	80.66	CAD	80.66	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13492	YORK CC - INSTR ARTS & GEN INT	5411	"Grocery Stores, Supermarkets"	"LAUNDRY BASKETS, FABRIC"
"PARKS, FORESTRY & RECREATION"	4907-7	2018-02-03	2018-02-03	FABRICLAND DISTRIBUTOR	330.55	CAD	330.55	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13492	YORK CC - INSTR ARTS & GEN INT	5949	"Fabric, Needlework, Piece Goods, and Sew"	DRAPERY FABRIC
"PARKS, FORESTRY & RECREATION"	4909-10	2018-02-05	2018-02-06	WAL-MART #1083	34.06	CAD	34.06	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13492	YORK CC - INSTR ARTS & GEN INT	5411	"Grocery Stores, Supermarkets"	"GUMMIES, JUICE"
"PARKS, FORESTRY & RECREATION"	4911-23	2018-02-08	2018-02-08	DOLLARAMA # 189	52.26	CAD	52.26	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13492	YORK CC - INSTR ARTS & GEN INT	5310	Discount Stores	"PAINTERS TAPE, ST PATRICK'S DECORATIONS"
"PARKS, FORESTRY & RECREATION"	4911-24	2018-02-08	2018-02-08	WINTERGREEN LEARNING M	"1,511.67"	CAD	"1,511.67"	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13492	YORK CC - INSTR ARTS & GEN INT	2741	Miscellaneous Publishing and Printing	"PUPPETS, SCOOTERS, ROCKING HORSE, PUZZLES"
"PARKS, FORESTRY & RECREATION"	4911-25	2018-02-08	2018-02-08	WAL-MART #1083	12.40	CAD	12.40	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13492	YORK CC - INSTR ARTS & GEN INT	5411	"Grocery Stores, Supermarkets"	32 L LENS WATER
"PARKS, FORESTRY & RECREATION"	4914-12	2018-02-12	2018-02-12	DOLLARAMA # 627	25.71	CAD	25.71	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13492	YORK CC - INSTR ARTS & GEN INT	5310	Discount Stores	"FISHING LINE, PHOTO PROPS"
"PARKS, FORESTRY & RECREATION"	4914-13	2018-02-12	2018-02-12	PARTY CITY #2801	127.45	CAD	127.45	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13492	YORK CC - INSTR ARTS & GEN INT	5999	Miscellaneous and Specialty Retail Store	"VALENTINE DECORATIONS, SPRING DECORS"
"PARKS, FORESTRY & RECREATION"	4915-11	2018-02-13	2018-02-13	TOYS R US #3569	230.54	CAD	230.54	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13492	YORK CC - INSTR ARTS & GEN INT	5945	"Game, Toy, and Hobby Shops"	"KINETIC SAND SUPPLIES, STAR WARS ITEMS"
"PARKS, FORESTRY & RECREATION"	4916-17	2018-02-13	2018-02-14	MASTERMIND - VAUGHAN	556.11	CAD	556.11	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13492	YORK CC - INSTR ARTS & GEN INT	5945	"Game, Toy, and Hobby Shops"	"SPACE DECORS, PLANT AND STARS, PUPPETS"
"PARKS, FORESTRY & RECREATION"	4916-18	2018-02-13	2018-02-14	WAL-MART #1083	154.91	CAD	154.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13492	YORK CC - INSTR ARTS & GEN INT	5411	"Grocery Stores, Supermarkets"	"COOKIES, JUICE"
"PARKS, FORESTRY & RECREATION"	4917-64	2018-02-16	2018-02-16	MICHAELS #3933	354.05	CAD	354.05	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13492	YORK CC - INSTR ARTS & GEN INT	5945	"Game, Toy, and Hobby Shops"	"STICKER BOOKS, WATERCOLOURS, GLUE DOTS"
"PARKS, FORESTRY & RECREATION"	4917-65	2018-02-16	2018-02-16	FABRICLAND DISTRIBUTOR	654.21	CAD	654.21	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13492	YORK CC - INSTR ARTS & GEN INT	5949	"Fabric, Needlework, Piece Goods, and Sew"	"WHITE FABRIC, DRAPERY ROD"
"PARKS, FORESTRY & RECREATION"	4926-19	2018-02-28	2018-02-28	NELLA CUTLERY	16.95	CAD	16.95	CAD	2610	KITCHEN SUPPLIES	P13492	YORK CC - INSTR ARTS & GEN INT	5046	Commercial Equipment Not Elsewhere Class	COFFEE FILTERS
"PARKS, FORESTRY & RECREATION"	4926-20	2018-02-28	2018-02-28	DOLLARAMA # 627	16.10	CAD	16.10	CAD	2610	KITCHEN SUPPLIES	P13492	YORK CC - INSTR ARTS & GEN INT	5310	Discount Stores	"MUFFIN CUPS, BBQ SKEWERS"
					"4,157.63"	CAD	"4,157.63"	CAD							
"PARKS, FORESTRY & RECREATION"	4907-8	2018-02-03	2018-02-03	OLD NAVY 3986	27.28	CAD	27.28	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12967	ARTS - KEELE CC	5651	Family Clothing Stores	COSTUME
"PARKS, FORESTRY & RECREATION"	4911-26	2018-02-08	2018-02-08	DOLLARAMA # 631	132.78	CAD	132.78	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12967	ARTS - KEELE CC	5310	Discount Stores	CANDIES FOR SPRING CONCERT
"PARKS, FORESTRY & RECREATION"	4916-19	2018-02-14	2018-02-14	DOLLAR SMART	74.13	CAD	74.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12967	ARTS - KEELE CC	5331	Variety Stores	ACCESSORIES FOR SPRING SHOW
"PARKS, FORESTRY & RECREATION"	4918-12	2018-02-17	2018-02-17	WAL-MART #1004	58.49	CAD	58.49	CAD	2615	"DISHES, CUTLERY AND UTENSILS"	P12967	ARTS - KEELE CC	5411	"Grocery Stores, Supermarkets"	"NAPKINS, TABLE CLOTHS"
"PARKS, FORESTRY & RECREATION"	4920-11	2018-02-20	2018-02-20	LOBLAWS 1099	24.34	CAD	24.34	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06364	KEELE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"COFFEE, MILK"
"PARKS, FORESTRY & RECREATION"	4921-25	2018-02-21	2018-02-21	ARDENE #4	26.22	CAD	26.22	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12967	ARTS - KEELE CC	5631	Women's Accessory and Specialty Stores	COSTUMES
"PARKS, FORESTRY & RECREATION"	4923-6	2018-02-25	2018-02-25	DOLLARAMA # 182	52.60	CAD	52.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04887	KEELE CC-SUMMER CAMPS	5310	Discount Stores	"MARCH BREAK - POPCORN, BROWN PAPER BAGS"
"PARKS, FORESTRY & RECREATION"	4923-7	2018-02-24	2018-02-24	LOBLAWS 1099	54.24	CAD	54.24	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12967	ARTS - KEELE CC	5411	"Grocery Stores, Supermarkets"	FLOWERS FOR SPRING SHOW
					450.08	CAD	450.08	CAD							
"PARKS, FORESTRY & RECREATION"	4926-21	2018-02-27	2018-02-28	ONTARIO PARKS ASSOCIAT	165.00	CAD	165.00	CAD	4118	TICKETS AND ADMISSION FEES	P00152	C-WATERFRONT3-TURF&HORT	8398	"Organizations, Charitable and Social Ser"	REGISTRATION FEE
					165.00	CAD	165.00	CAD							
"PARKS, FORESTRY & RECREATION"	4922-17	2018-02-21	2018-02-22	CDN TIRE STORE #00497	22.53	CAD	22.53	CAD	2710	GENERAL HARDWARE	P02088	ADAPTED & INTEGRATED INITIATIVES	5200	Home Supply Warehouse	UTILITY TAPE
					22.53	CAD	22.53	CAD							
"PARKS, FORESTRY & RECREATION"	4904-26	2018-02-02	2018-02-02	LAKESHORE LUMBER	76.73	CAD	76.73	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5251	Hardware Stores	IRRIGATION SUPPLIES
"PARKS, FORESTRY & RECREATION"	4911-27	2018-02-07	2018-02-08	NEXT SUPPLY	78.82	CAD	78.82	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5251	Hardware Stores	IRRIGATION SUPPLIES
"PARKS, FORESTRY & RECREATION"	4911-28	2018-02-08	2018-02-08	NEXT SUPPLY	17.53	CAD	17.53	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5251	Hardware Stores	IRRIGATION SUPPLIES
					173.08	CAD	173.08	CAD							
TORONTO WATER	4904-27	2018-02-01	2018-02-01	THE HOME DEPOT #7129	18.06	CAD	18.06	CAD	2710	GENERAL HARDWARE	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5200	Home Supply Warehouse	2PK TIE DOWN
TORONTO WATER	4904-28	2018-02-01	2018-02-01	TERRA NOVA STEEL & IRO	507.37	CAD	507.37	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5085	Industrial Supplies Not Elsewhere Classi	BRONZE CAST
TORONTO WATER	4904-29	2018-01-31	2018-02-01	BRAFASCO	198.59	CAD	198.59	CAD	2710	GENERAL HARDWARE	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5085	Industrial Supplies Not Elsewhere Classi	"SLINGS, KNIFE, LOCK"
TORONTO WATER	4909-11	2018-02-06	2018-02-06	ACIER INOXYDABLE PINAC	556.07	CAD	556.07	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5085	Industrial Supplies Not Elsewhere Classi	FITTINGS
TORONTO WATER	4915-12	2018-02-13	2018-02-13	TUBEFIT INC (TORONTO)	428.27	CAD	428.27	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	4900	"Utilities - Electric, Gas, Sanitary, Wat"	ADAPTER
TORONTO WATER	4921-26	2018-02-20	2018-02-21	KBC TOOLS & MACHINERY	385.46	CAD	385.46	CAD	3080	M & E - HAND TOOLS	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5251	Hardware Stores	TOOLS
TORONTO WATER	4922-18	2018-02-22	2018-02-22	BRAFASCO	12.29	CAD	12.29	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5085	Industrial Supplies Not Elsewhere Classi	DOWEL PINS
TORONTO WATER	4923-8	2018-02-23	2018-02-23	BRAFASCO	59.87	CAD	59.87	CAD	2710	GENERAL HARDWARE	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5085	Industrial Supplies Not Elsewhere Classi	"KEY STOCK, SLINGS"
TORONTO WATER	4926-22	2018-02-27	2018-02-28	CDN TIRE STORE #00070	39.54	CAD	39.54	CAD	2710	GENERAL HARDWARE	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5200	Home Supply Warehouse	TOOL BOX
TORONTO WATER	4926-23	2018-02-28	2018-02-28	ONTARIO BEARINGS & IND	202.16	CAD	202.16	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5085	Industrial Supplies Not Elsewhere Classi	"BUSHING, VALVE"
					"2,407.68"	CAD	"2,407.68"	CAD							
TORONTO WATER	4904-30	2018-01-31	2018-02-01	CDN TIRE STORE #00175	93.67	CAD	93.67	CAD	2570	JANITORIAL SUPPLIES	TW4100	WW TREATMNT:  HIGHLAND CREEK TP - WORK A	5200	Home Supply Warehouse	CLEANING SUPPLIES
TORONTO WATER	4908-10	2018-01-31	2018-02-05	ONTBELTING  POWER TRAN	277.84	CAD	277.84	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW4100	WW TREATMNT:  HIGHLAND CREEK TP - WORK A	5085	Industrial Supplies Not Elsewhere Classi	"VBELTS, SPLICING KIT"
TORONTO WATER	4910-8	2018-02-06	2018-02-07	CDN TIRE STORE #00324	40.66	CAD	40.66	CAD	2710	GENERAL HARDWARE	TW4100	WW TREATMNT:  HIGHLAND CREEK TP - WORK A	5200	Home Supply Warehouse	ANCHORS
TORONTO WATER	4910-9	2018-02-07	2018-02-07	PRINCESS AUTO #36	385.96	CAD	385.96	CAD	*****	M & E - HAND TOOLS	TW4100	WW TREATMNT:  HIGHLAND CREEK TP - WORK A	5085	Industrial Supplies Not Elsewhere Classi	"FUSE PLUGS, WATER NOZZLES, CHAINSAW SHARPENER"
TORONTO WATER	4922-19	2018-02-16	2018-02-22	ONTBELTING  POWER TRAN	564.92	CAD	564.92	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW4100	WW TREATMNT:  HIGHLAND CREEK TP - WORK A	5085	Industrial Supplies Not Elsewhere Classi	"V-BELTS, BUSHINGS, SHEAVES"
TORONTO WATER	4922-20	2018-02-23	2018-02-23	ONTBELTING  POWER TRAN	51.23	CAD	51.23	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW4100	WW TREATMNT:  HIGHLAND CREEK TP - WORK A	5085	Industrial Supplies Not Elsewhere Classi	V-BELT
TORONTO WATER	4922-21	2018-02-23	2018-02-23	METAL SUPERMARKETS (SC	59.66	CAD	59.66	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW4100	WW TREATMNT:  HIGHLAND CREEK TP - WORK A	5051	Metal Service Centers and Offices	THREADED RODS
TORONTO WATER	4925-10	2018-02-26	2018-02-27	CDN TIRE STORE #00175	348.02	CAD	348.02	CAD	2130	PARTS - MOBILE EQUIPMENT	TW4100	WW TREATMNT:  HIGHLAND CREEK TP - WORK A	5200	Home Supply Warehouse	AUTOMOTIVE BATTERIES
					"1,821.96"	CAD	"1,821.96"	CAD							
"PARKS, FORESTRY & RECREATION"	4910-10	2018-02-05	2018-02-07	OMNIFLEX HOSE & EQUIPM	118.68	CAD	118.68	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00656	CENTENNIAL PARK-PRGM SUPPORT	5085	Industrial Supplies Not Elsewhere Classi	HOSE FITTINGS
"PARKS, FORESTRY & RECREATION"	4910-11	2018-02-06	2018-02-07	OMNIFLEX HOSE & EQUIPM	73.80	CAD	73.80	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00890	KIPLING YD-FLEET EQUIP	5085	Industrial Supplies Not Elsewhere Classi	HOSE/FITTINGS
"PARKS, FORESTRY & RECREATION"	4911-29	2018-02-08	2018-02-08	OMNIFLEX HOSE & EQUIPM	122.68	CAD	122.68	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00890	KIPLING YD-FLEET EQUIP	5085	Industrial Supplies Not Elsewhere Classi	SHOP GREASE GUN
"PARKS, FORESTRY & RECREATION"	4911-30	2018-02-09	2018-02-09	NOBLE 1003	21.19	CAD	21.19	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00656	CENTENNIAL PARK-PRGM SUPPORT	5251	Hardware Stores	"TUBING, IRRIGATION BOOSTER"
"PARKS, FORESTRY & RECREATION"	4914-14	2018-02-12	2018-02-12	FASTENAL CANADA02ONTO1	14.86	CAD	14.86	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P01199	WEST-YORK AIRS-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	CLEANING BRUSH
"PARKS, FORESTRY & RECREATION"	4916-20	2018-02-14	2018-02-14	APPLIED INDUSTRIAL TEC	69.45	CAD	69.45	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P01199	WEST-YORK AIRS-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	OLYMPIA BOX GEARS
"PARKS, FORESTRY & RECREATION"	4917-66	2018-02-16	2018-02-16	PRINOTH	-510.20	CAD	-510.20	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00656	CENTENNIAL PARK-PRGM SUPPORT	5013	Motor Vehicle Supplies and New Parts	RETURN RH BUMBER
"PARKS, FORESTRY & RECREATION"	4917-67	2018-02-16	2018-02-16	AMAZON.CA	18.54	CAD	18.54	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00890	KIPLING YD-FLEET EQUIP	4816	Computer Network/Information Services	MAGNET FASTENERS
"PARKS, FORESTRY & RECREATION"	4917-68	2018-02-14	2018-02-15	PURE METAL GALVANIZING	621.50	CAD	621.50	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00890	KIPLING YD-FLEET EQUIP	5085	Industrial Supplies Not Elsewhere Classi	GALVANIZED GATES
"PARKS, FORESTRY & RECREATION"	4922-22	2018-02-22	2018-02-22	BUSYBEETOOL	431.57	CAD	431.57	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00890	KIPLING YD-FLEET EQUIP	5099	Durable Goods Not Elsewhere Classified	"CLAMPS, FLANGES, BLADE GRINDING"
"PARKS, FORESTRY & RECREATION"	4925-11	2018-02-27	2018-02-27	AMAZON.CA	22.36	CAD	22.36	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00516	HIGH PARK-PRGM SUPPORT	4816	Computer Network/Information Services	TRAILER BALL MOUNT
"PARKS, FORESTRY & RECREATION"	4925-12	2018-02-28	2018-02-28	AMAZON.CA	52.36	CAD	52.36	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00516	HIGH PARK-PRGM SUPPORT	4816	Computer Network/Information Services	"TRAILER BALL MOUNT, HORSE TRAILER"
"PARKS, FORESTRY & RECREATION"	4926-24	2018-02-28	2018-02-28	LAKESHORE LUMBER	10.16	CAD	10.16	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00890	KIPLING YD-FLEET EQUIP	5251	Hardware Stores	"VENT, BLADE GRINDING"
					"1,066.95"	CAD	"1,066.95"	CAD							
TORONTO WATER	4904-31	2018-01-31	2018-02-01	THE HOME DEPOT #7012	9.01	CAD	9.01	CAD	2710	GENERAL HARDWARE	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5200	Home Supply Warehouse	MOUNTINGTAPE
TORONTO WATER	4910-12	2018-02-06	2018-02-07	CDN TIRE STORE #00030	77.94	CAD	77.94	CAD	3099	GENERAL EQUIPMENT	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5200	Home Supply Warehouse	SHOWER CURTAINS
TORONTO WATER	4910-13	2018-02-06	2018-02-07	CDN TIRE STORE #00030	68.85	CAD	68.85	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5200	Home Supply Warehouse	SHOWER CURTAINS
TORONTO WATER	4922-23	2018-02-24	2018-02-24	ULINE	399.08	CAD	399.08	CAD	2570	JANITORIAL SUPPLIES	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5964	Direct Marketing - Catalog Merchants	**MORE**  PAPER TOWEL ROLL DISPENSER-SMOKE
					554.88	CAD	554.88	CAD							
"PARKS, FORESTRY & RECREATION"	4904-32	2018-02-01	2018-02-01	SOUND BARRIERS	322.28	CAD	322.28	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00853	ALNESS YD-TRADES	5085	Industrial Supplies Not Elsewhere Classi	GLASS PARTS
"PARKS, FORESTRY & RECREATION"	4907-9	2018-02-02	2018-02-02	THE HOME DEPOT #7078	220.82	CAD	220.82	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	**MORE**  HOOK
"PARKS, FORESTRY & RECREATION"	4918-13	2018-02-16	2018-02-16	ANGELO S ELECTRIC LTD	539.29	CAD	539.29	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00853	ALNESS YD-TRADES	7629	"Appliance Repair Shops, Electrical and S"	VARIOUS HARDWARE
					"1,082.39"	CAD	"1,082.39"	CAD							
"PARKS, FORESTRY & RECREATION"	4918-14	2018-02-16	2018-02-16	THE HOME DEPOT #7001	-609.00	CAD	-609.00	CAD	2665	PROTECTIVE CLOTHING	P12856	RAVINE & WATERCOURSE MAINTENANCE	5200	Home Supply Warehouse	**MORE**  KEROSENE
					-609.00	CAD	-609.00	CAD							
"PARKS, FORESTRY & RECREATION"	4904-33	2018-02-01	2018-02-01	FOOD BASICS #689	21.19	CAD	21.19	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P02138	THISTLETOWN-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	CKNG SUPPLIES
"PARKS, FORESTRY & RECREATION"	4909-12	2018-02-06	2018-02-06	ROGERS *777831777	89.26	CAD	89.26	CAD	4813	INTERNET	P02054	THISTLETOWN-ARTS-VISL/PERF	4812	Telecommunication Equipment Including Te	INTERNET BILL
"PARKS, FORESTRY & RECREATION"	4909-13	2018-02-05	2018-02-06	WAL-MART # 3740	20.32	CAD	20.32	CAD	3050	M & E - KITCHEN	P02138	THISTLETOWN-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	RICE COOKER
"PARKS, FORESTRY & RECREATION"	4909-14	2018-02-06	2018-02-06	DOLLARAMA # 319	108.11	CAD	108.11	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08602	THISTLETOWN-SPEC EVNTS	5310	Discount Stores	"FAMILY DAY - WATER BOTTLES, CANDIES, PUZZLES"
"PARKS, FORESTRY & RECREATION"	4909-15	2018-02-06	2018-02-06	FOOD BASICS #689	30.29	CAD	30.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P02138	THISTLETOWN-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	CKNG SUPPLIES
"PARKS, FORESTRY & RECREATION"	4922-24	2018-02-22	2018-02-22	FOOD BASICS #689	5.47	CAD	5.47	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P02138	THISTLETOWN-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"YEAST, PIZZA SAUCE"
"PARKS, FORESTRY & RECREATION"	4922-25	2018-02-22	2018-02-22	FOOD BASICS #689	17.36	CAD	17.36	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P02138	THISTLETOWN-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"FLOUR, MUSHROOM, PASTA SAUCE"
					292.00	CAD	292.00	CAD							
"PARKS, FORESTRY & RECREATION"	4921-27	2018-02-20	2018-02-21	WAL-MART #3159	108.93	CAD	108.93	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13064	GEN INTRST & CLUBS - NY YOUTH REC STRAT	5411	"Grocery Stores, Supermarkets"	"ELASTICS, BRUSHES, BATH SCALE"
					108.93	CAD	108.93	CAD							
ECONOMIC DEVELOPMENT & CULTURE	4904-34	2018-02-02	2018-02-02	MOSS LED INC	329.30	CAD	329.30	CAD	4402	CONTRACTED SERVICES - LIGHTING	CAC107-02	MONTGOMERY'S INN INTERIORS-2016	5719	Miscellaneous House Furnishing Specialty	POWER SUPPLIES FOR REPRO LIGHT FIXTURES
ECONOMIC DEVELOPMENT & CULTURE	4921-28	2018-02-21	2018-02-21	MOSS LED INC	297.96	CAD	297.96	CAD	4085	PROF & TECH-MGMT	CAC107-02	MONTGOMERY'S INN INTERIORS-2016	5719	Miscellaneous House Furnishing Specialty	LED TAPE FOR REPRODUCTION LIGHT FIXTURES
