Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
					191.49	CAD	191.49	CAD								
TORONTO WATER	4755-23	2017-09-27	2017-09-29	CDN TIRE STORE #00192	203.35	CAD	203.35	CAD	2710	GENERAL HARDWARE	TW2025	DIST OPS: OPERATION & MTCE - NORTH YORK	5200	Home Supply Warehouse	LED FLASHLIGHT	
					203.35	CAD	203.35	CAD								
OFFICE OF EMERGENCY MANAGEMENT 	4738-24	2017-09-15	2017-09-18	PORTER AI	246.48	CAD	246.48	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	DB3000	OFFICE OF EMERGENCY MANAGEMENT	4511	"Air Carriers, Airlines - Not Elsewhere C"	BUSINESS TRAVEL - AIRELINE	
OFFICE OF EMERGENCY MANAGEMENT 	4738-25	2017-09-15	2017-09-18	WESTJET*0005701896455	341.69	CAD	341.69	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	DB3000	OFFICE OF EMERGENCY MANAGEMENT	3180	WestJet Airlines	YHZ   YYZ  /           /	
					588.17	CAD	588.17	CAD								
SOLID WASTE MANAGEMENT	4719-8	2017-09-01	2017-09-05	MS RETAIL - TORONTO EA	146.89	CAD	146.89	CAD	3410	COMPUTERS - HARDWARE	SW0909	NEW INFRASTRUCTURE & CONTRACT OPERATIONA	5734	Computer Software Stores	MICROSOFT SURFACE PEN FOR GM	
					146.89	CAD	146.89	CAD								
"PARKS, FORESTRY & RECREATION"	4744-24	2017-09-19	2017-09-21	CDN TIRE STORE #00294	68.09	CAD	68.09	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06781	HUMBERWOOD (BD)-PRGM SUPPORT	5200	Home Supply Warehouse	"TOTES, KETTLE"	
					68.09	CAD	68.09	CAD								
FACILITIES MANAGEMENT DIVISON	4745-20	2017-09-21	2017-09-22	ONTARIO LAMP RECYCLERS	494.47	CAD	494.47	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA0151	703 DON MILLS-OPS-NORTH (COMPUTER CENTR)	7349	"Cleaning and Maintenance, Janitorial Ser"	LIGHTBULB RECYCLING	
					494.47	CAD	494.47	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4736-16	2017-09-14	2017-09-15	PIZZA NOVA 027	46.72	CAD	46.72	CAD	4820	BUSINESS MEETING EXPENSES	SE0019	NUIT BLANCHE	5812	"Eating Places, Restaurants"	TRAINING MEETING FOR STAFF.	
ECONOMIC DEVELOPMENT & CULTURE	4754-16	2017-09-26	2017-09-28	THE HOME DEPOT #7001	203.26	CAD	203.26	CAD	2575	ELECTRICAL SUPPLIES	SE0019	NUIT BLANCHE	5200	Home Supply Warehouse	ENVLUMINATE3	
ECONOMIC DEVELOPMENT & CULTURE	4754-17	2017-09-26	2017-09-28	THE HOME DEPOT #7012	361.23	CAD	361.23	CAD	2575	ELECTRICAL SUPPLIES	SE0019	NUIT BLANCHE	5200	Home Supply Warehouse	**MORE**  AAA24	
ECONOMIC DEVELOPMENT & CULTURE	4755-24	2017-09-28	2017-09-29	SOBEYS #4726	136.74	CAD	136.74	CAD	4820	BUSINESS MEETING EXPENSES	SE0019	NUIT BLANCHE	5411	"Grocery Stores, Supermarkets"	FOOD FOR NUIT BLANCHE STAFF.	
					747.95	CAD	747.95	CAD								
FACILITIES MANAGEMENT DIVISON	4719-9	2017-09-01	2017-09-05	LOWES #02633*	35.73	CAD	35.73	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61399799	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  25ML 5 MINUTE EPOXY - 2 PART SYRI	
FACILITIES MANAGEMENT DIVISON	4721-10	2017-09-05	2017-09-06	RONA # 55340	91.52	CAD	91.52	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61363017	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	BATTERY PACK 12V	
FACILITIES MANAGEMENT DIVISON	4723-15	2017-09-06	2017-09-07	RONA # 55340	40.67	CAD	40.67	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61398442	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	GROUT PREMIXED GREY	
FACILITIES MANAGEMENT DIVISON	4724-8	2017-09-06	2017-09-08	EASY TILE CENTRE	33.90	CAD	33.90	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61398442	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5713	Floor Covering Stores	CERAMIC TILES (11)	
FACILITIES MANAGEMENT DIVISON	4724-9	2017-09-06	2017-09-08	CENTURA (TORONTO)	132.44	CAD	132.44	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61363017	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5713	Floor Covering Stores	TILE CUTTER PRO CLINKER 19 IN	
FACILITIES MANAGEMENT DIVISON	4724-10	2017-09-07	2017-09-08	OLYMPIA TILE TORONTO	56.93	CAD	56.93	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61398171	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5713	Floor Covering Stores	CERAMIC TILES (11)	
FACILITIES MANAGEMENT DIVISON	4727-22	2017-09-08	2017-09-11	SILVER MILE HARDWARE	314.14	CAD	314.14	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61407305	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5072	Hardware Equipment and Supplies	SERVICE TRIMMER	
FACILITIES MANAGEMENT DIVISON	4727-23	2017-09-08	2017-09-11	SPEED FASTENING SYSTEM	324.31	CAD	324.31	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61363017	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7538	Automotive Service Shops	MAKITA TOOL 18V HAMMER DRIVER DRILL/BATTERY	
FACILITIES MANAGEMENT DIVISON	4729-11	2017-09-11	2017-09-12	RONA # 55340	79.08	CAD	79.08	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61402612	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	CO DETECTOR	
FACILITIES MANAGEMENT DIVISON	4740-10	2017-09-18	2017-09-19	LOWES #02633*	10.81	CAD	10.81	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61399799	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	MAGNET DOOR COVER	
FACILITIES MANAGEMENT DIVISON	4742-14	2017-09-18	2017-09-20	SPEED FASTENING SYSTEM	172.37	CAD	172.37	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61363017	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7538	Automotive Service Shops	MAKITA 14.4V BATTERY	
FACILITIES MANAGEMENT DIVISON	4742-15	2017-09-19	2017-09-20	RONA # 55340	51.15	CAD	51.15	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61398768	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	DRYWALL MOLD/TRIM/DRYWALL SCREWS	
FACILITIES MANAGEMENT DIVISON	4742-16	2017-09-19	2017-09-20	RONA # 55340	8.11	CAD	8.11	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61398768	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	"TRIM ""J"" GALVINZED"	
FACILITIES MANAGEMENT DIVISON	4744-25	2017-09-20	2017-09-21	RONA # 55340	77.61	CAD	77.61	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61398768	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	SCREWS/DRYWALL NUTSETTERS IMPACT/LAG SCREWS	
FACILITIES MANAGEMENT DIVISON	4748-28	2017-09-22	2017-09-25	L L LOCKS	45.20	CAD	45.20	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61403565	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5099	Durable Goods Not Elsewhere Classified	ASSORTED LOCK KEY TO 109-TA	
					"1,473.97"	CAD	"1,473.97"	CAD								
"PARKS, FORESTRY & RECREATION"	4715-8	2017-08-31	2017-09-01	BAND-N-GO	203.97	CAD	203.97	CAD	2710	GENERAL HARDWARE	P00676	W-YORK1-PRGM SUPPORT	8999	Professional Services - Not Elsewhere Cl	RATCHET BAND CLAMP	
"PARKS, FORESTRY & RECREATION"	4723-16	2017-09-05	2017-09-07	THE HOME DEPOT #7013	10.31	CAD	10.31	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00676	W-YORK1-PRGM SUPPORT	5200	Home Supply Warehouse	BLEACH	
"PARKS, FORESTRY & RECREATION"	4742-17	2017-09-19	2017-09-20	RONA # 55130	53.29	CAD	53.29	CAD	2570	JANITORIAL SUPPLIES	P00676	W-YORK1-PRGM SUPPORT	5251	Hardware Stores	TOILET BOWL CLEANER	
"PARKS, FORESTRY & RECREATION"	4748-29	2017-09-23	2017-09-25	RONA # 55130	19.88	CAD	19.88	CAD	2401	LUBRICANTS	P00676	W-YORK1-PRGM SUPPORT	5251	Hardware Stores	BAR OIL	
"PARKS, FORESTRY & RECREATION"	4754-18	2017-09-26	2017-09-28	THE HOME DEPOT #7013	45.11	CAD	45.11	CAD	2499	OTHER CHEMICALS	P00676	W-YORK1-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  SPIDERCIDE	
"PARKS, FORESTRY & RECREATION"	4755-25	2017-09-27	2017-09-29	HIGHLAND EVERGREEN SUP	305.10	CAD	305.10	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00676	W-YORK1-PRGM SUPPORT	5992	Florists	BIRCH POLES	
"PARKS, FORESTRY & RECREATION"	4755-26	2017-09-27	2017-09-29	THE HOME DEPOT #7013	58.40	CAD	58.40	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00676	W-YORK1-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  SAKRETE CONC	
					696.06	CAD	696.06	CAD								
FACILITIES MANAGEMENT DIVISON	4738-26	2017-09-15	2017-09-18	ASIS INTL ONLINE	"1,354.85"	CAD	"1,095.00"	USD	4995	OTHER EXPENSES	FA2174	ADMIN - SAP SPECIAL PROJECT	8699	"Organizations, Membership - Not Elsewher"	ASIS INT'L SECURITY CONF.	
					"1,354.85"	CAD	"1,095.00"	USD								
EMPLOYMENT & SOCIAL SERVICES	4719-10	2017-08-31	2017-09-05	TFD UNLIMITED	138.53	CAD	110.00	USD	4995	OTHER EXPENSES	C01208	BEACHES  ADMIN	5942	Book Stores	EARBUDS FOR CLIENT USE	
EMPLOYMENT & SOCIAL SERVICES	4744-26	2017-09-20	2017-09-21	LOBLAWS #1021	19.33	CAD	19.33	CAD	4995	OTHER EXPENSES	C01208	BEACHES  ADMIN	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS FOR MANAGEMENT MEETING SEP 20/17	
					157.86	CAD	19.33	CAD								
							110.00	USD								
EMPLOYMENT & SOCIAL SERVICES	4723-17	2017-09-06	2017-09-07	WAV*CAPILLARY	847.50	CAD	847.50	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	C01230	LEARNING CENTRE	7392	"Consulting, Management, and Public Relat"	REG FEES-CERTIFIED CHANGE AGENT PROGRAM OCT18/17	
EMPLOYMENT & SOCIAL SERVICES	4733-11	2017-09-12	2017-09-13	FRANCOIS' NO FRILLS 31	32.72	CAD	32.72	CAD	4820	BUSINESS MEETING EXPENSES	C01230	LEARNING CENTRE	5411	"Grocery Stores, Supermarkets"	"TPS WEEK EVENT,BREAKFAST KICK OFF SEPT11/17"	
					880.22	CAD	880.22	CAD								
"PARKS, FORESTRY & RECREATION"	4748-30	2017-09-22	2017-09-25	STEVE S MUSIC STORE IN	357.08	CAD	357.08	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12834	RS- WELLES-FITNNESS-ADULT	5733	"Music Stores - Musical Instruments, Pian"	PA STAND K & M WALLMOUNT BRACKET	
"PARKS, FORESTRY & RECREATION"	4752-12	2017-09-26	2017-09-27	LOBLAWS 4.2	141.87	CAD	141.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01142	S-CENTRAL-SPORTS & REC-FITNESS-CTR.OPS.	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS FOR FITNESS STAFF MANDATORY TRAINING	
					498.95	CAD	498.95	CAD								
EMPLOYMENT & SOCIAL SERVICES	4727-24	2017-09-08	2017-09-11	COSTCO WHOLESALE W537	95.32	CAD	95.32	CAD	4820	BUSINESS MEETING EXPENSES	C01203	LESMILL ADMIN	5300	Wholesale Clubs	FOOD-3 TPS WEEK EVENTS	
					95.32	CAD	95.32	CAD								
"PARKS, FORESTRY & RECREATION"	4748-31	2017-09-22	2017-09-25	WMT SUPRCTR #1116	575.41	CAD	575.41	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P00900	N-EAST -SPORTS & REC-SKATE-INSTR.	5411	"Grocery Stores, Supermarkets"	FOOD FOR SKATE STAFF TRAINING	
"PARKS, FORESTRY & RECREATION"	4754-19	2017-09-26	2017-09-28	WMT SUPRCTR #1116	113.43	CAD	113.43	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P00900	N-EAST -SPORTS & REC-SKATE-INSTR.	5411	"Grocery Stores, Supermarkets"	FOOD/SNACKS/PRIZES FOR 100 STAFF	
					688.84	CAD	688.84	CAD								
LONG TERM CARE HOMES & SERVICES	4733-12	2017-09-12	2017-09-13	NOFRILLS TOMS 1350	25.66	CAD	25.66	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3J083	CAREFREE LODGE-PS-PS	5411	"Grocery Stores, Supermarkets"	RECREATION SUPPLIES	
LONG TERM CARE HOMES & SERVICES	4733-13	2017-09-12	2017-09-13	PARTY CITY #2005	126.91	CAD	126.91	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3J083	CAREFREE LODGE-PS-PS	5947	"Card, Gift, Novelty, and Souvenir Shops"	RECREATION SUPPLIES	
LONG TERM CARE HOMES & SERVICES	4744-27	2017-09-20	2017-09-21	DOLLARAMA # 881	11.30	CAD	11.30	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3J083	CAREFREE LODGE-PS-PS	5310	Discount Stores	RECREATION SUPPLIES	
					163.87	CAD	163.87	CAD								
"PARKS, FORESTRY & RECREATION"	4715-9	2017-08-30	2017-09-01	WAL-MART # 3000	72.65	CAD	72.65	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02054	THISTLETOWN-ARTS-VISL/PERF	5310	Discount Stores	ARTS & CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4715-10	2017-08-30	2017-09-01	WAL-MART # 3740	49.58	CAD	49.58	CAD	2715	PAINT SUPPLIES	P02138	THISTLETOWN-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR MAINTENANCE	
"PARKS, FORESTRY & RECREATION"	4754-20	2017-09-27	2017-09-28	FABRICLAND DISTRIBUTOR	80.80	CAD	80.80	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02054	THISTLETOWN-ARTS-VISL/PERF	5949	"Fabric, Needlework, Piece Goods, and Sew"	SEWING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4754-21	2017-09-27	2017-09-28	DOLLARAMA # 386	20.62	CAD	20.62	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02054	THISTLETOWN-ARTS-VISL/PERF	5310	Discount Stores	ARTS AND CRAFT SUPPLIES	
					223.65	CAD	223.65	CAD								
LEGAL SERVICES	4748-32	2017-09-22	2017-09-25	ATG-TORONTO CIVIL INTA	175.00	CAD	175.00	CAD	4128	COURT FEES	LL5708	CLAIMS  MCLARENS & ACCLAIM	9399	Government Services - Not Elsewhere Clas	TITLE SEARCHES	
LEGAL SERVICES	4748-33	2017-09-22	2017-09-25	ATG-TORONTO CIVIL INTA	175.00	CAD	175.00	CAD	4128	COURT FEES	LL5708	CLAIMS  MCLARENS & ACCLAIM	9399	Government Services - Not Elsewhere Clas	TITLE SEARCHES	
					350.00	CAD	350.00	CAD								
TORONTO PARAMEDIC SERVICES	4738-27	2017-09-15	2017-09-18	"TPA/GREEN ""P""      QPL"	15.00	CAD	15.00	CAD	4770	PARKING EXPENSES (INTOWN)	B46754	OPS - SERVICE DISTRICT 5	7523	Automobile Parking Lots and Garages	PARKING	
					15.00	CAD	15.00	CAD								
"PARKS, FORESTRY & RECREATION"	4719-11	2017-09-01	2017-09-05	STAPLES #287	79.62	CAD	79.62	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P12005	LASTMAN SQ-AIRS-OPERATIONS	5943	"Office, School Supply, and Stationery St"	BUNKER OFFICE SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4724-11	2017-09-07	2017-09-08	RONA # 55030	90.29	CAD	90.29	CAD	2590	EMERGENCY SERVICES SUPPLIES	P12005	LASTMAN SQ-AIRS-OPERATIONS	5251	Hardware Stores	EXTINGUISHER SPRAY FOAM	
					169.91	CAD	169.91	CAD								
FLEET SERVICES	4724-12	2017-09-07	2017-09-08	PAYPAL *IDBEAVENIUS	48.64	CAD	48.64	CAD	3420	COMPUTERS - SOFTWARE	FL7002	FINANCE & ACCOUNTING	5734	Computer Software Stores	DRIVER TRAINING SOFTWARE SUPPORT	
					48.64	CAD	48.64	CAD								
EMPLOYMENT & SOCIAL SERVICES	4724-13	2017-09-07	2017-09-08	DOLLARAMA # 225	9.89	CAD	9.89	CAD	4995	OTHER EXPENSES	C01204	KENNEDY -ADMIN	5310	Discount Stores	TPS WEEK ACTIVITY SUPPLIES	
EMPLOYMENT & SOCIAL SERVICES	4724-14	2017-09-07	2017-09-08	FRESHCO #9662	69.12	CAD	69.12	CAD	4820	BUSINESS MEETING EXPENSES	C01204	KENNEDY -ADMIN	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS FOR STAFF RECOGNITION EVENT SEP 7/17	
EMPLOYMENT & SOCIAL SERVICES	4727-25	2017-09-08	2017-09-11	FRESHCO #9662	18.93	CAD	18.93	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01204	KENNEDY -ADMIN	5411	"Grocery Stores, Supermarkets"	"TPS WEEK 'MANAGER'S TREAT"" FOOD FOR ALL STAFF"	
EMPLOYMENT & SOCIAL SERVICES	4727-26	2017-09-10	2017-09-11	DOLLAR TREE CANADA STO	14.13	CAD	14.13	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01204	KENNEDY -ADMIN	5331	Variety Stores	"TPS WEEK 'MANAGER'S TREAT"" SUPPLIES FOR ALL STAFF"	
EMPLOYMENT & SOCIAL SERVICES	4729-14	2017-09-11	2017-09-12	NOFRILLS NICK'S #1399	18.94	CAD	18.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01204	KENNEDY -ADMIN	5411	"Grocery Stores, Supermarkets"	"TPS WEEK 'MANAGER'S TREAT"" SUPPLIES FOR ALL STAFF"	
EMPLOYMENT & SOCIAL SERVICES	4729-15	2017-09-11	2017-09-12	FRESHCO 9719QPS	40.08	CAD	40.08	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01204	KENNEDY -ADMIN	5411	"Grocery Stores, Supermarkets"	TPS WEEK CANADIAN CHEESE BALL FOR ALL STAFF	
EMPLOYMENT & SOCIAL SERVICES	4733-14	2017-09-11	2017-09-13	WAL-MART # 3000	5.62	CAD	5.62	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01204	KENNEDY -ADMIN	5310	Discount Stores	TPS WEEK SDP EVENT SUPPLIES FOR ALL STAFF	
EMPLOYMENT & SOCIAL SERVICES	4733-15	2017-09-12	2017-09-13	ROB'S NO FRILLS STORE	66.16	CAD	66.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01204	KENNEDY -ADMIN	5411	"Grocery Stores, Supermarkets"	TPS WEEK BREAKFAST AND TEA EVENT	
EMPLOYMENT & SOCIAL SERVICES	4733-16	2017-09-12	2017-09-13	COSTCO WHOLESALE W537	8.49	CAD	8.49	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01204	KENNEDY -ADMIN	5300	Wholesale Clubs	TPS WEEK BREAKFAST SUPPLIES	
EMPLOYMENT & SOCIAL SERVICES	4733-17	2017-09-12	2017-09-13	DOLLARAMA # 356	11.30	CAD	11.30	CAD	4995	OTHER EXPENSES	C01204	KENNEDY -ADMIN	5310	Discount Stores	SERVING CUTLERY FOR TPS BREAKFAST	
EMPLOYMENT & SOCIAL SERVICES	4736-17	2017-09-13	2017-09-15	CPC/SCP #0382779	11.30	CAD	11.30	CAD	4805	POSTAGE	C01204	KENNEDY -ADMIN	9402	Postal Services - Government Only	REGISTERED MAIL TO A CLIENT (OW)	
EMPLOYMENT & SOCIAL SERVICES	4736-18	2017-09-14	2017-09-15	FRESHCO #9662	70.82	CAD	70.82	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01204	KENNEDY -ADMIN	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS FOR TPS ACTIVITIES	
EMPLOYMENT & SOCIAL SERVICES	4738-28	2017-09-17	2017-09-18	DOLLAR TREE CANADA STO	18.36	CAD	18.36	CAD	4820	BUSINESS MEETING EXPENSES	C01204	KENNEDY -ADMIN	5331	Variety Stores	PARTICIPANT JOURNALS ICM SOLE SUPPORT GROUP - KESS	
EMPLOYMENT & SOCIAL SERVICES	4738-29	2017-09-15	2017-09-18	CANBE FOODS	30.51	CAD	30.51	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01204	KENNEDY -ADMIN	5812	"Eating Places, Restaurants"	"SAMOSA'S FOR ""APPLY HOUR WITH TONA EVENT (TPS)"	
EMPLOYMENT & SOCIAL SERVICES	4740-11	2017-09-18	2017-09-19	LOBLAWS #1001	15.86	CAD	15.86	CAD	4820	BUSINESS MEETING EXPENSES	C01204	KENNEDY -ADMIN	5411	"Grocery Stores, Supermarkets"	ICM PARTICIPANTS OPENING MEETING SEP 19/17	
EMPLOYMENT & SOCIAL SERVICES	4745-21	2017-09-21	2017-09-22	MONDELEZ	6.00	CAD	6.00	CAD	4820	BUSINESS MEETING EXPENSES	C01204	KENNEDY -ADMIN	5462	Bakeries	COOKIES FOR ICM MEETING WITH CLIENTS	
EMPLOYMENT & SOCIAL SERVICES	4745-22	2017-09-21	2017-09-22	LONE TAI SUPERMARKET	5.25	CAD	5.25	CAD	4820	BUSINESS MEETING EXPENSES	C01204	KENNEDY -ADMIN	5411	"Grocery Stores, Supermarkets"	COOKIES FOR ICM MEETING WITH CLIENTS	
					420.76	CAD	420.76	CAD								
FACILITIES MANAGEMENT DIVISON	4715-11	2017-08-30	2017-09-01	CDN TIRE STORE #00264	15.80	CAD	15.80	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61363020	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	TRUCK STOCK - SPRAY 9	
FACILITIES MANAGEMENT DIVISON	4738-30	2017-09-15	2017-09-18	PRO KONTROL (TORONTO)	469.77	CAD	469.77	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61403394	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5085	Industrial Supplies Not Elsewhere Classi	RETURN AIR DAMPER MOTOR	
FACILITIES MANAGEMENT DIVISON	4742-18	2017-09-19	2017-09-20	CANADA COMPUTERS #12	281.37	CAD	281.37	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61403599	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5734	Computer Software Stores	POWER SAVING BACKUP-UPS	
FACILITIES MANAGEMENT DIVISON	4745-23	2017-09-20	2017-09-22	THE HOME DEPOT #7001	27.05	CAD	27.05	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61363020	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	14OZBZOPROP SODERING PROPANE	
					793.99	CAD	793.99	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4740-12	2017-09-18	2017-09-19	PARKING AUTHORITYOFTOR	18.00	CAD	18.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0057	BUSINESS & PROFESSIONAL SERVICES	9399	Government Services - Not Elsewhere Clas	PARKING AT C.H-AEROSPACE MEETING.	
					18.00	CAD	18.00	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4724-15	2017-09-08	2017-09-08	GOOGLE *ADWS7485630544	335.49	CAD	335.49	CAD	4414	ADVERTISING & PROMOTION	ED0151	IM-MAR-MEDIA REL&AWARENESS-CENTRAL	5968	Direct Marketing - Continuity/Subscripti	GOOGLE *	
ECONOMIC DEVELOPMENT & CULTURE	4727-27	2017-09-09	2017-09-11	TWITTER ONLINE ADS	3.37	CAD	3.37	CAD	4414	ADVERTISING & PROMOTION	ED0151	IM-MAR-MEDIA REL&AWARENESS-CENTRAL	7311	Advertising Services	ADVERTIZING	
ECONOMIC DEVELOPMENT & CULTURE	4729-16	2017-09-11	2017-09-12	GOOGLE *ADWS7485630544	149.96	CAD	149.96	CAD	4414	ADVERTISING & PROMOTION	ED0151	IM-MAR-MEDIA REL&AWARENESS-CENTRAL	5968	Direct Marketing - Continuity/Subscripti	GOOGLE *	
ECONOMIC DEVELOPMENT & CULTURE	4733-18	2017-09-12	2017-09-13	TWITTER ONLINE ADS	150.00	CAD	150.00	CAD	4414	ADVERTISING & PROMOTION	ED0151	IM-MAR-MEDIA REL&AWARENESS-CENTRAL	7311	Advertising Services	ADVERTIZING	
ECONOMIC DEVELOPMENT & CULTURE	4738-31	2017-09-15	2017-09-18	TWITTER ONLINE ADS	150.00	CAD	150.00	CAD	4414	ADVERTISING & PROMOTION	ED0151	IM-MAR-MEDIA REL&AWARENESS-CENTRAL	7311	Advertising Services	ADVERTIZING	
ECONOMIC DEVELOPMENT & CULTURE	4740-13	2017-09-18	2017-09-19	TWITTER ONLINE ADS	150.00	CAD	150.00	CAD	4414	ADVERTISING & PROMOTION	ED0151	IM-MAR-MEDIA REL&AWARENESS-CENTRAL	7311	Advertising Services	ADVERTIZING	
ECONOMIC DEVELOPMENT & CULTURE	4745-24	2017-09-21	2017-09-22	TWITTER ONLINE ADS	150.00	CAD	150.00	CAD	4414	ADVERTISING & PROMOTION	ED0151	IM-MAR-MEDIA REL&AWARENESS-CENTRAL	7311	Advertising Services	ADVERTIZING	
ECONOMIC DEVELOPMENT & CULTURE	4752-13	2017-09-26	2017-09-27	TWITTER ONLINE ADS	250.00	CAD	250.00	CAD	4414	ADVERTISING & PROMOTION	ED0151	IM-MAR-MEDIA REL&AWARENESS-CENTRAL	7311	Advertising Services	ADVERTIZING	
					"1,338.82"	CAD	"1,338.82"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4742-19	2017-09-20	2017-09-20	HAR*HARVARD BUSNS REV	148.58	CAD	119.00	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	ED0131	DIRECTOR'S OFFICE	5968	Direct Marketing - Continuity/Subscripti	SUBSCRIPTION	
					148.58	CAD	119.00	USD								
