Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Decription	Cost Centre /WBS Element	Cost Centre /WBS Element Description	Merchant Type	Merchant type description	Purpose
					"2,470.27"	CAD	"2,470.27"	CAD							
"PARKS, FORESTRY & RECREATION"	1306-50	01-31-2011	02-02-2011	CDN TIRE STORE #00427	135.53	CAD	135.53	CAD	3080	M & E - HAND TOOLS	P00265	E-CENTRAL3-TURF&HORT	5200	Home Supply Warehouse	
"PARKS, FORESTRY & RECREATION"	1308-43	02-01-2011	02-03-2011	THE HOME DEPOT #7027	676.87	CAD	676.87	CAD	3015	M & E - GROUNDS	P00265	E-CENTRAL3-TURF&HORT	5200	Home Supply Warehouse	PWR CL 221QE
					812.40	CAD	812.40	CAD							
"PARKS, FORESTRY & RECREATION"	1316-78	02-07-2011	02-08-2011	SWAP SHOP	180.00	CAD	180.00	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P12148	JENNER J MARIE CC-PG	5331	Variety Stores	
"PARKS, FORESTRY & RECREATION"	1318-60	02-08-2011	02-09-2011	GOODWILL OVERLEA STORE	10.01	CAD	10.01	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P12148	JENNER J MARIE CC-PG	5931	"Second Hand Stores, Used Merchandise Sto"	
"PARKS, FORESTRY & RECREATION"	1329-83	02-14-2011	02-16-2011	THE HOME DEPOT #7073	22.82	CAD	22.82	CAD	2570	JANITORIAL SUPPLIES	P12148	JENNER J MARIE CC-PG	5200	Home Supply Warehouse	GLUE
"PARKS, FORESTRY & RECREATION"	1344-100	02-25-2011	02-28-2011	THE HOME DEPOT #7073	34.02	CAD	34.02	CAD	2710	GENERAL HARDWARE	P12148	JENNER J MARIE CC-PG	5200	Home Supply Warehouse	STH 346 2-1/
					246.85	CAD	246.85	CAD							
"PARKS, FORESTRY & RECREATION"	1323-36	02-10-2011	02-11-2011	BEST BUY CANADA #938	56.48	CAD	56.48	CAD	3032	W-YK-FACITY SUP-PGM	P12057	W-YK-FACITY SUP-PGM	5732	Electronic Sales	
					56.48	CAD	56.48	CAD							
TORONTO WATER	1310-122	02-03-2011	02-04-2011	TIM HORTONS #2314# QTH	11.67	CAD	11.67	CAD	4820	BUSINESS MEETING EXPENSES	WW4703	WW CAP PROJ DELIVERY	5814	Quick Payment Service - Fast-Food Restau	legal litigation working lunch
TORONTO WATER	1314-254	02-03-2011	02-07-2011	PIZZAIOLO	65.57	CAD	65.57	CAD	4820	BUSINESS MEETING EXPENSES	WW4703	WW CAP PROJ DELIVERY	5814	Quick Payment Service - Fast-Food Restau	legal litigation working lunch
TORONTO WATER	1331-166	02-15-2011	02-17-2011	PROFESSIONAL ENGINEERS	248.60	CAD	248.60	CAD	4760	MEMBERSHIP FEES	WW4703	WW CAP PROJ DELIVERY	7299	Other Services (Not Elsewhere Classified	membership fee 
TORONTO WATER	1344-198	02-25-2011	02-28-2011	PROFESSIONAL ENGINEERS	488.72	CAD	488.72	CAD	4760	MEMBERSHIP FEES	WW4703	WW CAP PROJ DELIVERY	7299	Other Services (Not Elsewhere Classified	membership fee 
					814.56	CAD	814.56	CAD							
TORONTO WATER	1306-155	01-31-2011	02-02-2011	CDN TIRE STORE #00119	28.24	CAD	28.24	CAD	2710	GENERAL HARDWARE	WW2055	COMPLEX WTR SYS	5200	Home Supply Warehouse	
TORONTO WATER	1308-123	02-02-2011	02-03-2011	STAPLES STORE #11	133.29	CAD	133.29	CAD	2710	GENERAL HARDWARE	WW2055	COMPLEX WTR SYS	5943	"Office, School Supply, and Stationery St"	
TORONTO WATER	1308-124	02-01-2011	02-03-2011	CDN TIRE STORE #00070	175.10	CAD	175.10	CAD	2710	GENERAL HARDWARE	WW2055	COMPLEX WTR SYS	5200	Home Supply Warehouse	
TORONTO WATER	1320-164	02-09-2011	02-10-2011	FUTURESHOP #633	102.81	CAD	102.81	CAD	3020	M & E - COMMUNICATIONS	WW2055	COMPLEX WTR SYS	5732	Electronic Sales	Phone for office intercom
TORONTO WATER	1329-168	02-15-2011	02-16-2011	ACCESS METAL SERVICE I	113.82	CAD	113.82	CAD	2532	STEEL	WW2055	COMPLEX WTR SYS	5039	Construction Materials Not Elsewhere Cla	Steel tubes
TORONTO WATER	1341-166	02-22-2011	02-24-2011	MOE-DRINK WAT WASTE CE	115.00	CAD	115.00	CAD	4760	MEMBERSHIP FEES	WW2055	COMPLEX WTR SYS	9399	Government Services - Not Elsewhere Clas	Licence fees
TORONTO WATER	1341-167	02-22-2011	02-24-2011	CDN TIRE STORE #00070	21.44	CAD	21.44	CAD	2130	PARTS - MOBILE EQUIPMENT	WW2055	COMPLEX WTR SYS	5200	Home Supply Warehouse	Transmission oil for mobile equipment
TORONTO WATER	1341-168	02-23-2011	02-24-2011	KOTYCK BROS LIMITED	109.80	CAD	109.80	CAD	2786	DRAINAGE MATERIAL	WW2055	COMPLEX WTR SYS	1520	General Contractors - Residential and Co	Couplings
TORONTO WATER	1344-199	02-23-2011	02-28-2011	PORCAN PRODUCTS LTD	"1,107.40"	CAD	"1,107.40"	CAD	2715	PAINT SUPPLIES	WW2055	COMPLEX WTR SYS	5231	"Glass, Paint, Wallpaper Stores"	Paint
					"1,906.90"	CAD	"1,906.90"	CAD							
CITY CLERK'S OFFICE	1308-81	02-02-2011	02-03-2011	ISTOCK *INTERNATIONAL	24.01	CAD	24.01	CAD	2080	PHOTOGRAPHIC AND VIDEO SUPPLIES	GV0028	DPM - GRAPHIC DESIGN	5971	Art Dealers and Galleries	1_182-VPCC6CBDEE72 Stock Photo-out of province
CITY CLERK'S OFFICE	1310-57	02-02-2011	02-04-2011	RGD ONTARIO	378.55	CAD	378.55	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	GV0028	DPM - GRAPHIC DESIGN	8398	"Organizations, Charitable and Social Ser"	
CITY CLERK'S OFFICE	1343-104	02-24-2011	02-25-2011	ISTOCK *INTERNATIONAL	75.43	CAD	75.43	CAD	2090	GRAPHIC DESIGN SUPPLIES	GV0028	DPM - GRAPHIC DESIGN	5971	Art Dealers and Galleries	1_164
CITY CLERK'S OFFICE	1344-139	02-25-2011	02-28-2011	ISTOCK *INTERNATIONAL	194.93	CAD	194.93	CAD	2090	GRAPHIC DESIGN SUPPLIES	GV0028	DPM - GRAPHIC DESIGN	5971	Art Dealers and Galleries	
					672.92	CAD	672.92	CAD							
TORONTO WATER	1306-51	01-31-2011	02-02-2011	KOTYCK BROS LIMITED	168.61	CAD	168.61	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1001	RC HARRIS PROC WA1	1520	General Contractors - Residential and Co	Various aluminium parts and fittings
TORONTO WATER	1308-44	02-02-2011	02-03-2011	CANADIAN MAINTENANCE	523.70	CAD	523.70	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1001	RC HARRIS PROC WA1	7349	"Cleaning and Maintenance, Janitorial Ser"	Handimark various colour tapes
TORONTO WATER	1331-51	02-15-2011	02-17-2011	ABELL PEST CONTROL INC	67.80	CAD	67.80	CAD	4407	CONTRACTED SERVICES - BUILDINGS	PW1042	ISLAND SERVICES WA4	7342	Exterminating and Disinfecting Services	Pest Control
TORONTO WATER	1333-55	02-16-2011	02-18-2011	PECH CONSULTING INC	508.50	CAD	508.50	CAD	3310	FURNISHINGS	PW1042	ISLAND SERVICES WA4	5021	Office and Commercial Furniture	Office furniture
					"1,268.61"	CAD	"1,268.61"	CAD							
"PARKS, FORESTRY & RECREATION"	1331-45	02-15-2011	02-17-2011	WAL-MART	34.51	CAD	34.51	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04943	OLYMPIUM-H CAMP	5310	Discount Stores	
"PARKS, FORESTRY & RECREATION"	1331-46	02-15-2011	02-17-2011	THE HOME DEPOT #7011	19.62	CAD	19.62	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07609	OLYMPIUM-PGM SUPP	5200	Home Supply Warehouse	"SHEP 2"" SVL"
"PARKS, FORESTRY & RECREATION"	1331-47	02-15-2011	02-17-2011	SEARS CDA SHERWAY GARD	225.99	CAD	225.99	CAD	3050	M & E - KITCHEN	P07609	OLYMPIUM-PGM SUPP	5311	Department Stores	
"PARKS, FORESTRY & RECREATION"	1331-48	02-16-2011	02-17-2011	TORONTO PARKING AUTHOR	1.50	CAD	1.50	CAD	4770	PARKING EXPENSES (INTOWN)	P07609	OLYMPIUM-PGM SUPP	7523	Automobile Parking Lots and Garages	
					281.62	CAD	281.62	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1314-18	02-03-2011	02-07-2011	PRECISE PARKLINK   QPS	16.00	CAD	16.00	CAD	4770	PARKING EXPENSES (INTOWN)	AH0014	AS-PS-CDE-METRO HALL	7523	Automobile Parking Lots and Garages	parking - work downtown for programs
ECONOMIC DEVELOPMENT & CULTURE	1314-19	02-06-2011	02-07-2011	TIM HORTONS #2629# QTH	22.87	CAD	22.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0014	AS-PS-CDE-METRO HALL	5814	Quick Payment Service - Fast-Food Restau	food for youth programing
ECONOMIC DEVELOPMENT & CULTURE	1316-8	02-06-2011	02-08-2011	PRECISE PARKLINK   QPS	10.00	CAD	10.00	CAD	4770	PARKING EXPENSES (INTOWN)	AH0014	AS-PS-CDE-METRO HALL	7523	Automobile Parking Lots and Garages	parking - work downtown for programs
ECONOMIC DEVELOPMENT & CULTURE	1325-10	02-13-2011	02-14-2011	TIM HORTONS #2629# QTH	25.09	CAD	25.09	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0014	AS-PS-CDE-METRO HALL	5814	Quick Payment Service - Fast-Food Restau	food for youth programing
ECONOMIC DEVELOPMENT & CULTURE	1327-4	02-13-2011	02-15-2011	PRECISE PARKLINK   QPS	10.00	CAD	10.00	CAD	4770	PARKING EXPENSES (INTOWN)	AH0014	AS-PS-CDE-METRO HALL	7523	Automobile Parking Lots and Garages	parking - work downtown for programs
ECONOMIC DEVELOPMENT & CULTURE	1334-11	02-20-2011	02-21-2011	TIM HORTONS #2629# QTH	16.42	CAD	16.42	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0014	AS-PS-CDE-METRO HALL	5814	Quick Payment Service - Fast-Food Restau	food for youth programing
ECONOMIC DEVELOPMENT & CULTURE	1337-1	02-20-2011	02-22-2011	PRECISE PARKLINK   QPS	10.00	CAD	10.00	CAD	4770	PARKING EXPENSES (INTOWN)	AH0014	AS-PS-CDE-METRO HALL	7523	Automobile Parking Lots and Garages	parking - work downtown for programs
ECONOMIC DEVELOPMENT & CULTURE	1341-11	02-22-2011	02-24-2011	TIM HORTONS #1908# QTH	19.66	CAD	19.66	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0014	AS-PS-CDE-METRO HALL	5814	Quick Payment Service - Fast-Food Restau	food for youth programing
ECONOMIC DEVELOPMENT & CULTURE	1341-12	02-23-2011	02-24-2011	BATALA SUPERMARKET QPS	6.45	CAD	6.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0014	AS-PS-CDE-METRO HALL	5411	"Grocery Stores, Supermarkets"	food for youth programing
					136.49	CAD	136.49	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1308-14	02-01-2011	02-03-2011	"TPA/GREEN ""P""      QPL"	20.00	CAD	20.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0123	BD-SEC-EMER-CENTRAL	7523	Automobile Parking Lots and Garages	"Parking @ CH-mtg. with Build Toronto,EDCO Workshop"
ECONOMIC DEVELOPMENT & CULTURE	1314-32	02-03-2011	02-07-2011	"TPA/GREEN ""P""      QPL"	14.00	CAD	14.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0116	BD-RET-CORP-CENTRAL	7523	Automobile Parking Lots and Garages	PARKING - EDCO - CITY HALL
ECONOMIC DEVELOPMENT & CULTURE	1327-9	02-14-2011	02-15-2011	TORONTO PARKING AUTHOR	2.00	CAD	2.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0116	BD-RET-CORP-CENTRAL	7523	Automobile Parking Lots and Garages	PARKING - WORK @ ELIZABETH ST AFTER MTG -CITY HALL
ECONOMIC DEVELOPMENT & CULTURE	1333-12	02-16-2011	02-18-2011	"TPA/GREEN ""P""      QPL"	9.00	CAD	9.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0116	BD-RET-CORP-CENTRAL	7523	Automobile Parking Lots and Garages	PARKING - WORK @ ELIZABETH ST AFTER MTG -CITY HALL
ECONOMIC DEVELOPMENT & CULTURE	1339-9	02-22-2011	02-23-2011	TORONTO PARKING AUTHOR	0.50	CAD	0.50	CAD	4770	PARKING EXPENSES (INTOWN)	ED0116	BD-RET-CORP-CENTRAL	7523	Automobile Parking Lots and Garages	PARKING - DELIVERY - NYCC
					45.50	CAD	45.50	CAD							
LEGAL SERVICES	1306-95	02-01-2011	02-02-2011	TERANET TORONTO ROSCO	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1306-96	02-01-2011	02-02-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1306-97	02-01-2011	02-02-2011	TERANET TORONTO ROSCO	6.00	CAD	6.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1306-98	02-01-2011	02-02-2011	TERANET TORONTO ROSCO	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1314-164	02-04-2011	02-07-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1314-165	02-04-2011	02-07-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1314-166	02-04-2011	02-07-2011	TERANET TORONTO ROSCO	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1314-167	02-04-2011	02-07-2011	TERANET TORONTO ROSCO	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1314-168	02-04-2011	02-07-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1316-104	02-07-2011	02-08-2011	TERANET TORONTO ROSCO	10.00	CAD	10.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1316-105	02-07-2011	02-08-2011	TERANET TORONTO ROSCO	5.50	CAD	5.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1318-87	02-08-2011	02-09-2011	TERANET TORONTO ROSCO	4.50	CAD	4.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1318-88	02-08-2011	02-09-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1318-89	02-08-2011	02-09-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1318-90	02-08-2011	02-09-2011	TERANET TORONTO ROSCO	2.00	CAD	2.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1318-91	02-08-2011	02-09-2011	TERANET TORONTO ROSCO	3.50	CAD	3.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1318-92	02-08-2011	02-09-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1318-93	02-08-2011	02-09-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1318-94	02-08-2011	02-09-2011	TERANET TORONTO ROSCO	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1318-95	02-08-2011	02-09-2011	TERANET TORONTO ROSCO	2.00	CAD	2.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1318-96	02-08-2011	02-09-2011	TERANET TORONTO ROSCO	2.50	CAD	2.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1318-97	02-08-2011	02-09-2011	TERANET TORONTO ROSCO	4.50	CAD	4.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1318-98	02-08-2011	02-09-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1318-99	02-08-2011	02-09-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1318-100	02-08-2011	02-09-2011	TERANET TORONTO ROSCO	5.50	CAD	5.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1318-101	02-08-2011	02-09-2011	TERANET TORONTO ROSCO	2.00	CAD	2.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1320-108	02-09-2011	02-10-2011	TERANET TORONTO ROSCO	4.50	CAD	4.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1320-109	02-09-2011	02-10-2011	TERANET TORONTO ROSCO	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1320-110	02-09-2011	02-10-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1320-111	02-09-2011	02-10-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1320-112	02-09-2011	02-10-2011	TERANET TORONTO ROSCO	5.00	CAD	5.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1320-113	02-09-2011	02-10-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1320-114	02-09-2011	02-10-2011	TERANET TORONTO ROSCO	3.00	CAD	3.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1320-115	02-09-2011	02-10-2011	TERANET TORONTO ROSCO	3.00	CAD	3.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1320-116	02-09-2011	02-10-2011	TERANET TORONTO ROSCO	3.00	CAD	3.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1323-108	02-10-2011	02-11-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1323-109	02-10-2011	02-11-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1323-110	02-10-2011	02-11-2011	TERANET TORONTO ROSCO	4.00	CAD	4.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1323-111	02-10-2011	02-11-2011	TERANET TORONTO ROSCO	2.50	CAD	2.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1325-153	02-11-2011	02-14-2011	TERANET TORONTO ROSCO	2.00	CAD	2.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1325-154	02-11-2011	02-14-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1325-155	02-11-2011	02-14-2011	TERANET TORONTO ROSCO	18.00	CAD	18.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1325-156	02-11-2011	02-14-2011	TERANET TORONTO ROSCO	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1325-157	02-11-2011	02-14-2011	TERANET TORONTO ROSCO	10.00	CAD	10.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1325-158	02-11-2011	02-14-2011	TERANET TORONTO ROSCO	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1325-159	02-11-2011	02-14-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1325-160	02-11-2011	02-14-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1325-161	02-11-2011	02-14-2011	TERANET TORONTO ROSCO	14.50	CAD	14.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1325-162	02-11-2011	02-14-2011	TERANET TORONTO ROSCO	2.00	CAD	2.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1325-163	02-11-2011	02-14-2011	TERANET TORONTO ROSCO	5.50	CAD	5.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1327-98	02-14-2011	02-15-2011	TERANET TORONTO ROSCO	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1327-99	02-14-2011	02-15-2011	TERANET TORONTO ROSCO	2.00	CAD	2.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1327-100	02-14-2011	02-15-2011	TERANET TORONTO ROSCO	24.00	CAD	24.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1327-101	02-14-2011	02-15-2011	TERANET TORONTO ROSCO	24.00	CAD	24.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1327-102	02-14-2011	02-15-2011	TERANET TORONTO ROSCO	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1327-103	02-14-2011	02-15-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1329-116	02-15-2011	02-16-2011	TERANET TORONTO ROSCO	16.00	CAD	16.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1329-117	02-15-2011	02-16-2011	TERANET TORONTO ROSCO	29.00	CAD	29.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1331-109	02-16-2011	02-17-2011	TERANET TORONTO ROSCO	2.00	CAD	2.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1341-110	02-23-2011	02-24-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1341-111	02-23-2011	02-24-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1341-112	02-23-2011	02-24-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1344-146	02-25-2011	02-28-2011	TERANET TORONTO ROSCO	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1344-147	02-25-2011	02-28-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1344-148	02-25-2011	02-28-2011	TERANET TORONTO ROSCO	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
					476.00	CAD	476.00	CAD							
