Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre/WBS Element	Cost Centre/WBS Element Description	Merchant Type	Merchant type description	Purpose
"PARKS, FORESTRY & RECREATION"	1549-41	07-14-2011	07-15-2011	SUNNY FOODMART	70.86	CAD	70.86	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12147	JENNER J-COMM CTRS-O	5411	"Grocery Stores, Supermarkets"	Cooking for summer camp
"PARKS, FORESTRY & RECREATION"	1551-65	07-15-2011	07-18-2011	TDSB-PURCHASING	556.65	CAD	556.65	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12147	JENNER J-COMM CTRS-O	8299	Educational Services	Arts & craft supplies
"PARKS, FORESTRY & RECREATION"	1553-32	07-18-2011	07-19-2011	TDSB-PURCHASING	652.59	CAD	652.59	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12147	JENNER J-COMM CTRS-O	8299	Educational Services	Arts & craft supplies
"PARKS, FORESTRY & RECREATION"	1553-33	07-18-2011	07-19-2011	SUNNY FOODMART	83.87	CAD	83.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12147	JENNER J-COMM CTRS-O	5411	"Grocery Stores, Supermarkets"	Cooking for summer camp
"PARKS, FORESTRY & RECREATION"	1557-38	07-20-2011	07-21-2011	SUNNY FOODMART	41.09	CAD	41.09	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12147	JENNER J-COMM CTRS-O	5411	"Grocery Stores, Supermarkets"	Cooking for summer camp
"PARKS, FORESTRY & RECREATION"	1557-39	07-20-2011	07-21-2011	ONTARIO SCIENCE CENTRE	24.00	CAD	24.00	CAD	4118	TICKETS AND ADMISSION FEES	P12147	JENNER J-COMM CTRS-O	7991	Tourist Attractions and Exhibits	Admission fees - Summer camp
"PARKS, FORESTRY & RECREATION"	1557-40	07-20-2011	07-21-2011	ONTARIO SCIENCE CENTRE	6.00	CAD	6.00	CAD	4118	TICKETS AND ADMISSION FEES	P12147	JENNER J-COMM CTRS-O	7991	Tourist Attractions and Exhibits	Admission fees - Summer camp
"PARKS, FORESTRY & RECREATION"	1563-19	07-25-2011	07-26-2011	SUNNY FOODMART	13.96	CAD	13.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12147	JENNER J-COMM CTRS-O	5411	"Grocery Stores, Supermarkets"	Cooking for summer camp
"PARKS, FORESTRY & RECREATION"	1563-20	07-25-2011	07-26-2011	SUNNY FOODMART	40.04	CAD	40.04	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12147	JENNER J-COMM CTRS-O	5411	"Grocery Stores, Supermarkets"	Cooking for summer camp
"PARKS, FORESTRY & RECREATION"	1563-21	07-25-2011	07-26-2011	SUNNY FOODMART	33.50	CAD	33.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12147	JENNER J-COMM CTRS-O	5411	"Grocery Stores, Supermarkets"	Cooking for summer camp
"PARKS, FORESTRY & RECREATION"	1565-30	07-26-2011	07-27-2011	RCSS 1077	46.07	CAD	46.07	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12147	JENNER J-COMM CTRS-O	5411	"Grocery Stores, Supermarkets"	Cooking for summer camp
					"1,800.09"	CAD	"1,800.09"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1555-33	07-19-2011	07-20-2011	INSTITUTE OF PUBLIC	155.00	CAD	155.00	CAD	4760	MEMBERSHIP FEES	ED0054	BUS DEV-BIOTECH-PROM	8398	"Organizations, Charitable and Social Ser"	Membership fee
ECONOMIC DEVELOPMENT & CULTURE	1568-36	07-28-2011	07-29-2011	CAFE ON THE SQUARE	9.54	CAD	9.54	CAD	4820	BUSINESS MEETING EXPENSES	ED0054	BUS DEV-BIOTECH-PROM	5812	"Eating Places, Restaurants"	Business meeting w/ external clients
					164.54	CAD	164.54	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1549-42	07-14-2011	07-15-2011	IMPERIAL PAKING-IN TRU	10.00	CAD	10.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0116	BD-RET-CORP-CENTRAL	7523	Automobile Parking Lots and Garages	Parking - Mtg w/ external clients
					10.00	CAD	10.00	CAD							
"PARKS, FORESTRY & RECREATION"	1557-41	07-20-2011	07-21-2011	CENTRAL FAIRBANK LUMBE	208.76	CAD	208.76	CAD	2710	LUMBER	P00427	PRN-PKS CONSTRUCTN	5211	"Building Materials, Lumber Stores"	deck screws
"PARKS, FORESTRY & RECREATION"	1558-31	07-20-2011	07-22-2011	DELTA ENGRAVERS 1988 I	621.50	CAD	621.50	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00364	N-EAST-PKS MAINT/RPR	7311	Advertising Services	bench plaques
					830.26	CAD	830.26	CAD							
"PARKS, FORESTRY & RECREATION"	1565-31	07-26-2011	07-27-2011	ROMA FENCE LTD	403.55	CAD	403.55	CAD	4468	CONTR SRV - FENCING	P12017	SOUTH GENERAL-PKS TE	5211	"Building Materials, Lumber Stores"	"fencing, wire ties"
					403.55	CAD	403.55	CAD							
"PARKS, FORESTRY & RECREATION"	1529-56	06-30-2011	07-04-2011	STAPLES STORE #11	126.32	CAD	126.32	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	P02926	ELMS POOL-PGM SUPP	5943	"Office, School Supply, and Stationery St"	laminated posters
"PARKS, FORESTRY & RECREATION"	1529-57	06-30-2011	07-04-2011	CDN TIRE STORE #00070	65.19	CAD	65.19	CAD	2710	GENERAL HARDWARE	P02926	ELMS POOL-PGM SUPP	5200	Home Supply Warehouse	resin rack
"PARKS, FORESTRY & RECREATION"	1551-66	07-15-2011	07-18-2011	STAPLES STORE #38	15.19	CAD	15.19	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02926	ELMS POOL-PGM SUPP	5943	"Office, School Supply, and Stationery St"	"mounting tape, putty, velco dots"
"PARKS, FORESTRY & RECREATION"	1553-34	07-15-2011	07-19-2011	CDN TIRE STORE #00497	19.97	CAD	19.97	CAD	2715	PAINT SUPPLIES	P02926	ELMS POOL-PGM SUPP	5200	Home Supply Warehouse	clear rust paint
"PARKS, FORESTRY & RECREATION"	1555-34	07-19-2011	07-20-2011	NOFRILLS JIM'S 753	12.89	CAD	12.89	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P02926	ELMS POOL-PGM SUPP	5411	"Grocery Stores, Supermarkets"	water
"PARKS, FORESTRY & RECREATION"	1558-32	07-20-2011	07-22-2011	CDN TIRE STORE #00070	43.18	CAD	43.18	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P02926	ELMS POOL-PGM SUPP	5200	Home Supply Warehouse	"wasp/hornet spray, gs foam"
					282.74	CAD	282.74	CAD							
"PARKS, FORESTRY & RECREATION"	1529-58	06-30-2011	07-04-2011	MAR B GRAPHICS   EMBRO	139.56	CAD	139.56	CAD	2670	UNIFORMS	P04663	NAORCA-SUMR CAMP	5699	Accessory  and Apparel Stores - Miscella	PFR Leader In Training- t-shirts
"PARKS, FORESTRY & RECREATION"	1531-23	07-04-2011	07-05-2011	THE CRAFT   HOBBY EMPO	310.63	CAD	310.63	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04663	NAORCA-SUMR CAMP	5970	"Artist Supply Stores, Craft Shops"	rec supplies
"PARKS, FORESTRY & RECREATION"	1533-33	07-04-2011	07-06-2011	YOUR DOLLAR STORE WITH	45.25	CAD	45.25	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04663	NAORCA-SUMR CAMP	5310	Discount Stores	rec supplies
"PARKS, FORESTRY & RECREATION"	1533-34	07-04-2011	07-06-2011	SPORTS EQUIPMENT OF TO	506.41	CAD	506.41	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04663	NAORCA-SUMR CAMP	5941	Sporting Goods Stores	rec supplies
"PARKS, FORESTRY & RECREATION"	1533-35	07-05-2011	07-06-2011	NOFRILLS PATS 1330	275.99	CAD	275.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04663	NAORCA-SUMR CAMP	5411	"Grocery Stores, Supermarkets"	food & beverages for camp
"PARKS, FORESTRY & RECREATION"	1533-36	07-05-2011	07-06-2011	NOFRILLS PATS 1330	35.49	CAD	35.49	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04663	NAORCA-SUMR CAMP	5411	"Grocery Stores, Supermarkets"	food & beverages for camp
"PARKS, FORESTRY & RECREATION"	1535-49	07-05-2011	07-07-2011	CDN TIRE STORE #00019	135.58	CAD	135.58	CAD	2823	MEDICAL SUPPLIES	P04663	NAORCA-SUMR CAMP	5200	Home Supply Warehouse	medical supplies: cot
"PARKS, FORESTRY & RECREATION"	1535-50	07-05-2011	07-07-2011	CDN TIRE STORE #00126	124.29	CAD	124.29	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04663	NAORCA-SUMR CAMP	5200	Home Supply Warehouse	garden wagon
"PARKS, FORESTRY & RECREATION"	1535-51	07-06-2011	07-07-2011	STAPLES STORE #15	74.17	CAD	74.17	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P04663	NAORCA-SUMR CAMP	5943	"Office, School Supply, and Stationery St"	stationary/office supplies
"PARKS, FORESTRY & RECREATION"	1535-52	07-06-2011	07-07-2011	THE CRAFT   HOBBY EMPO	237.58	CAD	237.58	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04663	NAORCA-SUMR CAMP	5970	"Artist Supply Stores, Craft Shops"	rec supplies
"PARKS, FORESTRY & RECREATION"	1541-76	07-07-2011	07-11-2011	YOUR DOLLAR STORE WITH	135.60	CAD	135.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04663	NAORCA-SUMR CAMP	5310	Discount Stores	rec supplies
"PARKS, FORESTRY & RECREATION"	1541-77	07-08-2011	07-11-2011	NOFRILLS PATS 1330	378.82	CAD	378.82	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04663	NAORCA-SUMR CAMP	5411	"Grocery Stores, Supermarkets"	food & beverages for camp
"PARKS, FORESTRY & RECREATION"	1543-31	07-11-2011	07-12-2011	NOFRILLS PATS 1330	266.58	CAD	266.58	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04663	NAORCA-SUMR CAMP	5411	"Grocery Stores, Supermarkets"	food & beverages for camp
"PARKS, FORESTRY & RECREATION"	1547-47	07-13-2011	07-14-2011	LOBLAW SUPERMARKET #10	149.02	CAD	149.02	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04663	NAORCA-SUMR CAMP	5411	"Grocery Stores, Supermarkets"	food & beverages for camp
"PARKS, FORESTRY & RECREATION"	1547-48	07-13-2011	07-14-2011	LOBLAW SUPERMARKET #10	16.96	CAD	16.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04663	NAORCA-SUMR CAMP	5411	"Grocery Stores, Supermarkets"	food & beverages for camp
"PARKS, FORESTRY & RECREATION"	1557-42	07-19-2011	07-21-2011	SHOPPERS DRUG MART #08	16.93	CAD	16.93	CAD	2823	MEDICAL SUPPLIES	P04663	NAORCA-SUMR CAMP	5912	"Drug Stores, Pharmacies"	"medical supplies, compress"
"PARKS, FORESTRY & RECREATION"	1557-43	07-19-2011	07-21-2011	WAL-MART # 5831	18.08	CAD	18.08	CAD	2080	PHOTOGRAPHIC AND VIDEO SUPPLIES	P04663	NAORCA-SUMR CAMP	5411	"Grocery Stores, Supermarkets"	photographic supplies
"PARKS, FORESTRY & RECREATION"	1557-44	07-20-2011	07-21-2011	STAPLES STORE #15	22.25	CAD	22.25	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P04663	NAORCA-SUMR CAMP	5943	"Office, School Supply, and Stationery St"	stationary/office supplies
"PARKS, FORESTRY & RECREATION"	1563-22	07-25-2011	07-26-2011	NOFRILLS PATS 1330	15.96	CAD	15.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04663	NAORCA-SUMR CAMP	5411	"Grocery Stores, Supermarkets"	food  for camp
					"2,905.15"	CAD	"2,905.15"	CAD							
"PARKS, FORESTRY & RECREATION"	1535-53	07-05-2011	07-07-2011	MCGOWAN FENCE   SUPPLY	48.93	CAD	48.93	CAD	2710	GENERAL HARDWARE	P00265	E-CENTRAL3-TURF&HORT	5051	Metal Service Centers and Offices	tension bars
"PARKS, FORESTRY & RECREATION"	1535-54	07-05-2011	07-07-2011	MCGOWAN FENCE   SUPPLY	235.36	CAD	235.36	CAD	2710	GENERAL HARDWARE	P00265	E-CENTRAL3-TURF&HORT	5051	Metal Service Centers and Offices	2 ton mini mules
"PARKS, FORESTRY & RECREATION"	1541-78	07-07-2011	07-11-2011	CTF SUPPLY (08)	41.48	CAD	41.48	CAD	2710	GENERAL HARDWARE	P00264	E-CENTRAL2-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	"jobber bit 21/64"""
"PARKS, FORESTRY & RECREATION"	1544-35	07-11-2011	07-13-2011	CTF SUPPLY (08)	215.93	CAD	215.93	CAD	2710	GENERAL HARDWARE	P00267	E-NORTH1-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	"carriage bolts, washers"
"PARKS, FORESTRY & RECREATION"	1547-49	07-12-2011	07-14-2011	RONA # 55340	18.03	CAD	18.03	CAD	2780	CONCRETE	P00267	E-NORTH1-TURF&HORT	5251	Hardware Stores	concrete stone mix
"PARKS, FORESTRY & RECREATION"	1547-50	07-13-2011	07-14-2011	BRANDON TIM-BR MART	219.67	CAD	219.67	CAD	2531	LUMBER	P00267	E-NORTH1-TURF&HORT	5211	"Building Materials, Lumber Stores"	PT lumber 2 x 10 x 12
"PARKS, FORESTRY & RECREATION"	1557-45	07-19-2011	07-21-2011	THE HOME DEPOT #7027	66.08	CAD	66.08	CAD	2531	LUMBER	P00264	E-CENTRAL2-TURF&HORT	5200	Home Supply Warehouse	5/4X6X12 PT
"PARKS, FORESTRY & RECREATION"	1557-46	07-19-2011	07-21-2011	CTF SUPPLY (08)	39.41	CAD	39.41	CAD	2710	GENERAL HARDWARE	P00264	E-CENTRAL2-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	"carriage bolts, washers"
"PARKS, FORESTRY & RECREATION"	1557-47	07-19-2011	07-21-2011	MCGOWAN FENCE   SUPPLY	56.18	CAD	56.18	CAD	2710	GENERAL HARDWARE	P00833	TECH SERV. 3-PARKS C	5051	Metal Service Centers and Offices	Pull jack stretchers
"PARKS, FORESTRY & RECREATION"	1561-58	07-22-2011	07-25-2011	THE HOME DEPOT #7027	84.23	CAD	84.23	CAD	2710	GENERAL HARDWARE	P00263	E-CENTRAL1-TURF&HORT	5200	Home Supply Warehouse	1X6X5 CED FE
					"1,025.30"	CAD	"1,025.30"	CAD							
"PARKS, FORESTRY & RECREATION"	1529-59	06-30-2011	07-04-2011	EDCT-HUMBER VALLEY GOL	662.00	CAD	662.00	CAD	4118	TICKETS AND ADMISSION FEES	P05116	ST MARCELLUS CS-SUMR	7991	Tourist Attractions and Exhibits	Golf camp green fees- week 1
"PARKS, FORESTRY & RECREATION"	1529-60	06-30-2011	07-04-2011	EDCT-HUMBER VALLEY GOL	45.00	CAD	45.00	CAD	4118	TICKETS AND ADMISSION FEES	P05116	ST MARCELLUS CS-SUMR	7991	Tourist Attractions and Exhibits	Golf camp green fees- week 1
"PARKS, FORESTRY & RECREATION"	1529-61	06-30-2011	07-04-2011	EDCT-SCARLETT WOODS GO	514.15	CAD	514.15	CAD	4118	TICKETS AND ADMISSION FEES	P05116	ST MARCELLUS CS-SUMR	7991	Tourist Attractions and Exhibits	Golf camp green fees- week 1
"PARKS, FORESTRY & RECREATION"	1529-62	06-30-2011	07-04-2011	SMILEMAKERS   00179515	177.71	CAD	177.71	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5111	"Stationery, Office Supplies, Printing an"	summer camp supplies
"PARKS, FORESTRY & RECREATION"	1529-63	06-30-2011	07-04-2011	WAL-MART # 3740	120.88	CAD	120.88	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5411	"Grocery Stores, Supermarkets"	"Supplies for summer camp: food, sanitizer"
"PARKS, FORESTRY & RECREATION"	1529-64	06-30-2011	07-04-2011	WAL-MART # 3740	11.53	CAD	11.53	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5411	"Grocery Stores, Supermarkets"	PM Prints
"PARKS, FORESTRY & RECREATION"	1529-65	07-02-2011	07-04-2011	WAL-MART # 3740	318.63	CAD	318.63	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5411	"Grocery Stores, Supermarkets"	"Supplies for summer camp: food, toys, safety pins"
"PARKS, FORESTRY & RECREATION"	1529-66	07-03-2011	07-04-2011	TOYS R US #3506	210.25	CAD	210.25	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5945	"Game, Toy, and Hobby Shops"	Supplies for summer camp: toys
"PARKS, FORESTRY & RECREATION"	1529-67	07-03-2011	07-04-2011	METRO #704	39.93	CAD	39.93	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05116	ST MARCELLUS CS-SUMR	5411	"Grocery Stores, Supermarkets"	Supplies for summer camp: food
"PARKS, FORESTRY & RECREATION"	1535-55	07-06-2011	07-07-2011	CENTENIAL PARK GOLF CT	135.00	CAD	135.00	CAD	4118	TICKETS AND ADMISSION FEES	P05116	ST MARCELLUS CS-SUMR	7997	"Clubs - Country Clubs, Membership (Athle"	driving range for golf camp
"PARKS, FORESTRY & RECREATION"	1541-79	07-08-2011	07-11-2011	LASER QUEST MISSISSAUG	532.00	CAD	532.00	CAD	4118	TICKETS AND ADMISSION FEES	P05116	ST MARCELLUS CS-SUMR	7929	"Bands, Orchestras, and Miscellaneous Ent"	senior camp trip
"PARKS, FORESTRY & RECREATION"	1541-80	07-10-2011	07-11-2011	NOFRILLS JIM'S 753	58.04	CAD	58.04	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05116	ST MARCELLUS CS-SUMR	5411	"Grocery Stores, Supermarkets"	food for camp
"PARKS, FORESTRY & RECREATION"	1541-81	07-10-2011	07-11-2011	METRO #704	78.09	CAD	78.09	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05116	ST MARCELLUS CS-SUMR	5411	"Grocery Stores, Supermarkets"	food for camp
"PARKS, FORESTRY & RECREATION"	1543-32	07-11-2011	07-12-2011	EDCT-HUMBER VALLEY GOL	376.00	CAD	376.00	CAD	4118	TICKETS AND ADMISSION FEES	P05116	ST MARCELLUS CS-SUMR	7991	Tourist Attractions and Exhibits	golf course trip - camp
"PARKS, FORESTRY & RECREATION"	1544-36	07-12-2011	07-13-2011	STAPLES STORE #11	51.80	CAD	51.80	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5943	"Office, School Supply, and Stationery St"	"fabric markers, t-shirts"
"PARKS, FORESTRY & RECREATION"	1544-37	07-12-2011	07-13-2011	SCHOLAR'S CHOICE	63.04	CAD	63.04	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5949	"Fabric, Needlework, Piece Goods, and Sew"	camp supplies: markers
"PARKS, FORESTRY & RECREATION"	1547-51	07-12-2011	07-14-2011	WAL-MART # 3031	271.28	CAD	271.28	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5310	Discount Stores	"camp supplies: tshirts, ribbon, boombox"
"PARKS, FORESTRY & RECREATION"	1547-52	07-13-2011	07-14-2011	CENTENIAL PARK GOLF CT	135.00	CAD	135.00	CAD	4118	TICKETS AND ADMISSION FEES	P05116	ST MARCELLUS CS-SUMR	7997	"Clubs - Country Clubs, Membership (Athle"	driving range for golf camp
"PARKS, FORESTRY & RECREATION"	1547-53	07-12-2011	07-14-2011	SMILEMAKERS   00179515	-11.29	CAD	-11.29	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5111	"Stationery, Office Supplies, Printing an"	return - stickers
"PARKS, FORESTRY & RECREATION"	1547-54	07-12-2011	07-14-2011	SMILEMAKERS   00179515	-13.54	CAD	-13.54	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5111	"Stationery, Office Supplies, Printing an"	return - stickers
"PARKS, FORESTRY & RECREATION"	1547-55	07-12-2011	07-14-2011	SMILEMAKERS   00179515	-6.77	CAD	-6.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5111	"Stationery, Office Supplies, Printing an"	return - stickers
"PARKS, FORESTRY & RECREATION"	1547-56	07-12-2011	07-14-2011	SMILEMAKERS   00179515	-6.77	CAD	-6.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5111	"Stationery, Office Supplies, Printing an"	return - stickers
"PARKS, FORESTRY & RECREATION"	1547-57	07-12-2011	07-14-2011	SMILEMAKERS   00179515	-6.77	CAD	-6.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5111	"Stationery, Office Supplies, Printing an"	return - stickers
"PARKS, FORESTRY & RECREATION"	1547-58	07-12-2011	07-14-2011	SMILEMAKERS   00179515	-6.77	CAD	-6.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5111	"Stationery, Office Supplies, Printing an"	return - stickers
"PARKS, FORESTRY & RECREATION"	1547-59	07-12-2011	07-14-2011	SMILEMAKERS   00179515	-27.07	CAD	-27.07	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5111	"Stationery, Office Supplies, Printing an"	return - stickers
"PARKS, FORESTRY & RECREATION"	1549-43	07-14-2011	07-15-2011	EDCT-SCARLETT WOODS GO	222.00	CAD	222.00	CAD	4118	TICKETS AND ADMISSION FEES	P05116	ST MARCELLUS CS-SUMR	7991	Tourist Attractions and Exhibits	golf course for golf trip
"PARKS, FORESTRY & RECREATION"	1551-67	07-14-2011	07-18-2011	WAL-MART # 3031	59.34	CAD	59.34	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05116	ST MARCELLUS CS-SUMR	5310	Discount Stores	"camp supplies: candy, marshmallows"
"PARKS, FORESTRY & RECREATION"	1551-68	07-15-2011	07-18-2011	METRO #704	20.44	CAD	20.44	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05116	ST MARCELLUS CS-SUMR	5411	"Grocery Stores, Supermarkets"	"camp supplies: cookies, popcorn, marshmallows"
"PARKS, FORESTRY & RECREATION"	1551-69	07-17-2011	07-18-2011	METRO #704	27.80	CAD	27.80	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05116	ST MARCELLUS CS-SUMR	5411	"Grocery Stores, Supermarkets"	"camp supplies: pop, whip cream"
"PARKS, FORESTRY & RECREATION"	1551-70	07-14-2011	07-18-2011	SMILEMAKERS   00179515	-13.54	CAD	-13.54	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5111	"Stationery, Office Supplies, Printing an"	return - stickers
"PARKS, FORESTRY & RECREATION"	1551-71	07-14-2011	07-18-2011	SMILEMAKERS   00179515	-6.77	CAD	-6.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5111	"Stationery, Office Supplies, Printing an"	return - stickers
"PARKS, FORESTRY & RECREATION"	1551-72	07-14-2011	07-18-2011	SMILEMAKERS   00179515	-6.77	CAD	-6.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5111	"Stationery, Office Supplies, Printing an"	return - stickers
"PARKS, FORESTRY & RECREATION"	1551-73	07-14-2011	07-18-2011	SMILEMAKERS   00179515	-6.77	CAD	-6.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5111	"Stationery, Office Supplies, Printing an"	return - stickers
"PARKS, FORESTRY & RECREATION"	1551-74	07-14-2011	07-18-2011	SMILEMAKERS   00179515	-6.77	CAD	-6.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5111	"Stationery, Office Supplies, Printing an"	return - stickers
"PARKS, FORESTRY & RECREATION"	1551-75	07-14-2011	07-18-2011	SMILEMAKERS   00179515	-6.77	CAD	-6.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5111	"Stationery, Office Supplies, Printing an"	return - stickers
"PARKS, FORESTRY & RECREATION"	1551-76	07-14-2011	07-18-2011	SMILEMAKERS   00179515	-6.77	CAD	-6.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5111	"Stationery, Office Supplies, Printing an"	return - stickers
"PARKS, FORESTRY & RECREATION"	1551-77	07-14-2011	07-18-2011	SMILEMAKERS   00179515	-13.54	CAD	-13.54	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5111	"Stationery, Office Supplies, Printing an"	return - stickers
"PARKS, FORESTRY & RECREATION"	1553-35	07-17-2011	07-19-2011	WAL-MART # 3031	256.66	CAD	256.66	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5310	Discount Stores	"camp supplies:food,clay pots,candles,shirts,dishwa"
"PARKS, FORESTRY & RECREATION"	1553-36	07-18-2011	07-19-2011	BIG WISH MARKETING GRO	"1,464.48"	CAD	"1,464.48"	CAD	2670	UNIFORMS	P05116	ST MARCELLUS CS-SUMR	7392	"Consulting, Management, and Public Relat"	camp t-shirts
"PARKS, FORESTRY & RECREATION"	1557-48	07-20-2011	07-21-2011	TECHNO SOLUTIONS	282.50	CAD	282.50	CAD	4118	TICKETS AND ADMISSION FEES	P05116	ST MARCELLUS CS-SUMR	7379	"Computer Maintenance, Repair, and Servic"	lego workshop
"PARKS, FORESTRY & RECREATION"	1561-59	07-21-2011	07-25-2011	ORIENTAL TRADING CO	51.00	CAD	52.17	USD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12044	ST MARCELLUS-COMM CT	5964	Direct Marketing - Catalog Merchants	FREIGHT
"PARKS, FORESTRY & RECREATION"	1561-60	07-21-2011	07-25-2011	PALMER GROUP THE-CREDI	260.73	CAD	260.73	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05116	ST MARCELLUS CS-SUMR	5999	Miscellaneous and Specialty Retail Store	camp supplies:craft supplies
"PARKS, FORESTRY & RECREATION"	1561-61	07-22-2011	07-25-2011	RAINBOW CINEMAS WOODBI	338.00	CAD	338.00	CAD	4118	TICKETS AND ADMISSION FEES	P05116	ST MARCELLUS CS-SUMR	7832	Motion Picture Theaters	camp trip to movies
