Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre/WBS Element	Cost Centre/WBS Element Description	Merchant Type	Merchant type description	Purpose
"PARKS, FORESTRY & RECREATION"	1406-16	04-07-2011	04-08-2011	STAPLES STORE #15	22.49	CAD	22.49	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04934	ISLINGTON CS-H CAMP	5943	"Office, School Supply, and Stationery St"	program supplies Lawrence Heights CC (youth prog)
"PARKS, FORESTRY & RECREATION"	1408-12	04-08-2011	04-11-2011	FORTINO'S          QPS	45.14	CAD	45.14	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04934	ISLINGTON CS-H CAMP	5411	"Grocery Stores, Supermarkets"	groceries for youth cooking class
"PARKS, FORESTRY & RECREATION"	1412-14	04-12-2011	04-13-2011	FORTINO'S          QPS	20.37	CAD	20.37	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04934	ISLINGTON CS-H CAMP	5411	"Grocery Stores, Supermarkets"	groceries for youth cooking class
"PARKS, FORESTRY & RECREATION"	1412-15	04-12-2011	04-13-2011	NOFRILLS PATS 1330	196.91	CAD	196.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04934	ISLINGTON CS-H CAMP	5411	"Grocery Stores, Supermarkets"	groceries for youth cooking class
"PARKS, FORESTRY & RECREATION"	1412-16	04-12-2011	04-13-2011	STAPLES STORE #15	202.18	CAD	202.18	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P04934	ISLINGTON CS-H CAMP	5943	"Office, School Supply, and Stationery St"	supplies for kids programs
"PARKS, FORESTRY & RECREATION"	1417-7	04-12-2011	04-15-2011	SPORTS EQUIPMENT OF TO	948.48	CAD	948.48	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04934	ISLINGTON CS-H CAMP	5941	Sporting Goods Stores	sports equipment
"PARKS, FORESTRY & RECREATION"	1419-13	04-15-2011	04-18-2011	FORTINO'S	33.56	CAD	33.56	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04934	ISLINGTON CS-H CAMP	5411	"Grocery Stores, Supermarkets"	groceries for Lawrence Heights CC programs
"PARKS, FORESTRY & RECREATION"	1420-12	04-18-2011	04-19-2011	METRO #493	89.79	CAD	89.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04934	ISLINGTON CS-H CAMP	5411	"Grocery Stores, Supermarkets"	groceries for Lawrence Heights CC programs
"PARKS, FORESTRY & RECREATION"	1420-13	04-18-2011	04-19-2011	MANHATTAN TROPHIES LIM	48.53	CAD	48.53	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	P04934	ISLINGTON CS-H CAMP	5941	Sporting Goods Stores	program prizes
"PARKS, FORESTRY & RECREATION"	1423-11	04-19-2011	04-20-2011	FORTINO'S	132.46	CAD	132.46	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04934	ISLINGTON CS-H CAMP	5411	"Grocery Stores, Supermarkets"	groceries for Lawrence Heights CC programs
"PARKS, FORESTRY & RECREATION"	1425-9	04-20-2011	04-25-2011	STARKMAN SURGICAL SUPP	667.69	CAD	667.69	CAD	2082	HEALTH & SAFETY SUPPLIES	P04934	ISLINGTON CS-H CAMP	8071	Dental and Medical Laboratories	program supplies Lawrence Heights CC (youth prog)
"PARKS, FORESTRY & RECREATION"	1429-6	04-21-2011	04-26-2011	ZELLERS #075	109.16	CAD	109.16	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04934	ISLINGTON CS-H CAMP	5310	Discount Stores	program supplies Lawrence Heights CC (youth prog)
"PARKS, FORESTRY & RECREATION"	1431-11	04-26-2011	04-27-2011	FORTINO'S	68.65	CAD	68.65	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04934	ISLINGTON CS-H CAMP	5411	"Grocery Stores, Supermarkets"	groceries for Lawrence Heights CC programs
"PARKS, FORESTRY & RECREATION"	1431-12	04-26-2011	04-27-2011	FORTINO'S	207.04	CAD	207.04	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04934	ISLINGTON CS-H CAMP	5411	"Grocery Stores, Supermarkets"	groceries for Lawrence Heights CC programs
					"3,236.83"	CAD	"3,236.83"	CAD							
EMERGENCY MEDICAL SERVICES	1406-17	04-07-2011	04-08-2011	TORONTO PARKING AUTHOR	6.25	CAD	6.25	CAD	4770	PARKING EXPENSES (INTOWN)	B46754	OPS - DISTRICT 5	7523	Automobile Parking Lots and Garages	PARKING - METRO HALL
EMERGENCY MEDICAL SERVICES	1431-13	04-26-2011	04-27-2011	AMEMSO	175.00	CAD	175.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	B46754	OPS - DISTRICT 5	8641	"Associations - Civic, Social, and Frater"	"AMEMSO CONFERENCE MAY 10-11, 2011"
					181.25	CAD	181.25	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1393-13	03-31-2011	04-01-2011	TORONTO PARKING AUTHOR	5.00	CAD	5.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0116	BD-RET-CORP-CENTRAL	7523	Automobile Parking Lots and Garages	PARKING @ CH (WORK @ ELIZABETH ST AFTER MTG)
ECONOMIC DEVELOPMENT & CULTURE	1393-14	03-31-2011	04-01-2011	TORONTO PARKING AUTHOR	2.00	CAD	2.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0116	BD-RET-CORP-CENTRAL	7523	Automobile Parking Lots and Garages	PARKING @ CH (WORK @ ELIZABETH ST AFTER MTG)
ECONOMIC DEVELOPMENT & CULTURE	1393-15	03-31-2011	04-01-2011	TORONTO PARKING AUTHOR	2.00	CAD	2.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0116	BD-RET-CORP-CENTRAL	7523	Automobile Parking Lots and Garages	PARKING @ CH (WORK @ ELIZABETH ST AFTER MTG)
ECONOMIC DEVELOPMENT & CULTURE	1408-13	04-07-2011	04-11-2011	"TPA/GREEN ""P""      QPL"	20.00	CAD	20.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0116	BD-RET-CORP-CENTRAL	7523	Automobile Parking Lots and Garages	Parking - City Hall - Mtg w/ Build Toronto
ECONOMIC DEVELOPMENT & CULTURE	1417-8	04-13-2011	04-15-2011	"TPA/GREEN ""P""      QPL"	13.50	CAD	13.50	CAD	4770	PARKING EXPENSES (INTOWN)	ED0116	BD-RET-CORP-CENTRAL	7523	Automobile Parking Lots and Garages	Parking - City Hall - Mtg w/ Min. of Tourism
ECONOMIC DEVELOPMENT & CULTURE	1425-10	04-20-2011	04-25-2011	"TPA/GREEN ""P""      QPL"	19.50	CAD	19.50	CAD	4770	PARKING EXPENSES (INTOWN)	ED0116	BD-RET-CORP-CENTRAL	7523	Automobile Parking Lots and Garages	Parking - Mtg at City Hall
					62.00	CAD	62.00	CAD							
"PARKS, FORESTRY & RECREATION"	1404-10	04-06-2011	04-07-2011	KOTYCK BROS LIMITED	533.93	CAD	533.93	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC&MEC	1520	General Contractors - Residential and Co	showerheads  for Memorial pool
"PARKS, FORESTRY & RECREATION"	1404-11	04-06-2011	04-07-2011	KOTYCK BROS LIMITED	450.00	CAD	450.00	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC&MEC	1520	General Contractors - Residential and Co	plumbig supplies West District
"PARKS, FORESTRY & RECREATION"	1419-14	04-15-2011	04-18-2011	KOTYCK BROS LIMITED	172.79	CAD	172.79	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC&MEC	1520	General Contractors - Residential and Co	"solder paste, chrome pliers, gas ball valve"
"PARKS, FORESTRY & RECREATION"	1424-4	04-19-2011	04-21-2011	THE HOME DEPOT #7013	93.07	CAD	93.07	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC&MEC	5200	Home Supply Warehouse	KIT NO SPRAY
"PARKS, FORESTRY & RECREATION"	1425-11	04-20-2011	04-25-2011	THE HOME DEPOT #7013	95.10	CAD	95.10	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC&MEC	5200	Home Supply Warehouse	PLUMER PUTTY
"PARKS, FORESTRY & RECREATION"	1429-7	04-21-2011	04-26-2011	KOTYCK BROS LIMITED	226.68	CAD	226.68	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC&MEC	1520	General Contractors - Residential and Co	"faucet,basin supply,kitchen faucet,map gas cylinde"
"PARKS, FORESTRY & RECREATION"	1432-22	04-26-2011	04-28-2011	THE HOME DEPOT #7013	38.42	CAD	38.42	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC&MEC	5200	Home Supply Warehouse	FCT RISER
"PARKS, FORESTRY & RECREATION"	1432-23	04-26-2011	04-28-2011	THE HOME DEPOT #7013	32.70	CAD	32.70	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC&MEC	5200	Home Supply Warehouse	AERATOR
					"1,642.69"	CAD	"1,642.69"	CAD							
"PARKS, FORESTRY & RECREATION"	1413-7	04-12-2011	04-14-2011	BRAFASCO / NORTH YORK	305.45	CAD	305.45	CAD	2710	GENERAL HARDWARE	P00859	ALNESS YD-YD OPERN	5085	Industrial Supplies Not Elsewhere Classi	"hex cap,nuts,washer,screws,drivers"
					305.45	CAD	305.45	CAD							
CITY CLERK'S OFFICE	1425-12	04-21-2011	04-25-2011	PROTOCOL   DIPLOMACY I	571.89	CAD	585.00	USD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	GV0019	PROTOCOL	8398	"Organizations, Charitable and Social Ser"	Registration-Officers Assoc. 2011 Forum-July 26-29
					571.89	CAD	585.00	USD							
EMERGENCY MEDICAL SERVICES	1404-12	04-06-2011	04-07-2011	SMITH SYSTEM INC	292.85	CAD	297.07	USD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	B22064	PARAMEDIC CONTINUING	8299	Educational Services	DEFENSIVE DRIVING DVD'S
EMERGENCY MEDICAL SERVICES	1413-8	04-13-2011	04-14-2011	CITIPARK INC	16.00	CAD	16.00	CAD	4770	PARKING EXPENSES (INTOWN)	B22060	PROG MANAG & ADMIN	7523	Automobile Parking Lots and Garages	PARKING - BAY ST ABRITRATION
					308.85	CAD	16.00	CAD							
							297.07	USD							
ECONOMIC DEVELOPMENT & CULTURE	1419-15	04-16-2011	04-18-2011	SWEETS GALORE	24.85	CAD	24.85	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0119	HS-MH-RET-COLBORNE L	5441	"Candy, Nut, Confectionery Stores"	Food for gift shop resale
					24.85	CAD	24.85	CAD							
"PARKS, FORESTRY & RECREATION"	1393-16	03-31-2011	04-01-2011	SPEEDY EXPRESS LIMITED	87.29	CAD	87.29	CAD	4815	COURIER SERVICES	P02144	ACCES & DIVRS INITVS	4215	"Courier Services - Air & Ground, Freight"	COURIER SERVICE
"PARKS, FORESTRY & RECREATION"	1396-18	03-31-2011	04-04-2011	PAYPAL *RAPTURERECO	150.00	CAD	150.00	CAD	4825	PRINTING AND REPRODUCTION - THIRD PARTY	P02144	ACCES & DIVRS INITVS	8999	Professional Services - Not Elsewhere Cl	"Flyers, layout and design"
"PARKS, FORESTRY & RECREATION"	1396-19	03-31-2011	04-04-2011	CDN TIRE STORE #00600	84.63	CAD	84.63	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P02144	ACCES & DIVRS INITVS	5200	Home Supply Warehouse	Soil and potting materials
"PARKS, FORESTRY & RECREATION"	1419-16	04-15-2011	04-18-2011	LAIDLAW TRANSIT#1035 E	235.27	CAD	235.27	CAD	4580	RENTAL OF BUSES	P02144	ACCES & DIVRS INITVS	4131	Bus Lines	Transit for baseball youth program
"PARKS, FORESTRY & RECREATION"	1435-13	04-27-2011	04-29-2011	CDN TIRE STORE #00150	134.92	CAD	134.92	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P02144	ACCES & DIVRS INITVS	5200	Home Supply Warehouse	Soil and potting materials
					692.11	CAD	692.11	CAD							
EMERGENCY MEDICAL SERVICES	1424-5	04-20-2011	04-21-2011	AMEMSO	146.90	CAD	146.90	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	B46776	MANGERS - HUB ADMIN	8641	"Associations - Civic, Social, and Frater"	"AMEMSO EDUCATIONAL CONFERENCE MAY 10-11, 2011"
EMERGENCY MEDICAL SERVICES	1435-14	04-28-2011	04-29-2011	STAPLES STORE #1	56.49	CAD	56.49	CAD	2650	COMPUTER AND PRINTER SUPPLIES	B46776	MANGERS - HUB ADMIN	5943	"Office, School Supply, and Stationery St"	USB MEMORY STICK
					203.39	CAD	203.39	CAD							
"PARKS, FORESTRY & RECREATION"	1404-13	04-06-2011	04-07-2011	THE CRAFT   HOBBY EMPO	286.00	CAD	286.00	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11414	D R TIMBRELL -SOC PG	5970	"Artist Supply Stores, Craft Shops"	program supplies art class
"PARKS, FORESTRY & RECREATION"	1408-14	04-07-2011	04-11-2011	WAL-MART SUPERCENTE	235.61	CAD	235.61	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11414	D R TIMBRELL -SOC PG	5310	Discount Stores	program supplies for Saturday kids club
"PARKS, FORESTRY & RECREATION"	1410-11	04-11-2011	04-12-2011	RCSS 1077          QPS	36.33	CAD	36.33	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11414	D R TIMBRELL -SOC PG	5411	"Grocery Stores, Supermarkets"	food for after school program
"PARKS, FORESTRY & RECREATION"	1413-9	04-13-2011	04-14-2011	AVRON FOODS	75.80	CAD	75.80	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05993	FLEMINGDON CC-PGM SU	5199	Nondurable Goods Not Elsewhere Classifie	craft supplies- children's art program
"PARKS, FORESTRY & RECREATION"	1424-6	04-20-2011	04-21-2011	THE CRAFT   HOBBY EMPO	245.09	CAD	245.09	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11414	D R TIMBRELL -SOC PG	5970	"Artist Supply Stores, Craft Shops"	art supplies for afterschool club
"PARKS, FORESTRY & RECREATION"	1425-13	04-23-2011	04-25-2011	CINEPLEX  7253     QPS	70.93	CAD	70.93	CAD	4118	TICKETS AND ADMISSION FEES	P11414	D R TIMBRELL -SOC PG	7832	Motion Picture Theaters	undercharged tax
"PARKS, FORESTRY & RECREATION"	1431-14	04-26-2011	04-27-2011	SHOPPER'S DRUG MART #1	58.00	CAD	58.00	CAD	4225	BUSINESS TRAV - PUBLIC TRANSIT	P11414	D R TIMBRELL -SOC PG	5912	"Drug Stores, Pharmacies"	TTC tickets for youth program
					"1,007.76"	CAD	"1,007.76"	CAD							
"PARKS, FORESTRY & RECREATION"	1417-9	04-13-2011	04-15-2011	NOVAJET INC	37.55	CAD	37.55	CAD	2710	GENERAL HARDWARE	P00070	S-WEST-PRUNING/REMOV	1711	"Air Conditioning, Heating, and Plumbing"	"6"" camlock cap"
					37.55	CAD	37.55	CAD							
"PARKS, FORESTRY & RECREATION"	1408-15	04-08-2011	04-11-2011	ROHEN FIRE PROTECTION	960.50	CAD	960.50	CAD	4995	OTHER EXPENSES	P00014	W INGLIS-FERRY OPS	6211	Securities - Brokers/Dealers	SAFETY INSPECTION OF FIRE EXITS
"PARKS, FORESTRY & RECREATION"	1431-15	04-26-2011	04-27-2011	REPRODUX	474.60	CAD	474.60	CAD	4825	PRINTING AND REPRODUCTION - THIRD PARTY	P00013	TRILLIUM-FERRY OPS	7338	"Quick Copy, Reproduction, and Blueprinti"	COPIES OF BOAT SAFETY PLAN
"PARKS, FORESTRY & RECREATION"	1432-24	04-26-2011	04-28-2011	THE HOME DEPOT #7012	367.92	CAD	367.92	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00009	ONGIARA-FERRY OPS	5200	Home Supply Warehouse	OAK 1X6X6
"PARKS, FORESTRY & RECREATION"	1432-25	04-27-2011	04-28-2011	PAINT COLOURS UNLIMITE	70.13	CAD	70.13	CAD	2715	PAINT SUPPLIES	P00012	TERMINAL-FERRY OPS	5198	"Paints, Varnishes, and Supplies"	WOOD STAIN + VARNISH
"PARKS, FORESTRY & RECREATION"	1432-26	04-27-2011	04-28-2011	CUSTOM DOOR   LOCK SER	206.79	CAD	206.79	CAD	4407	CONTRACTED SERVICES - BUILDINGS	P00012	TERMINAL-FERRY OPS	5533	"Automotive Parts, Accessories Stores"	RE-CORED TICKET BOOTH DOORS
					"2,079.94"	CAD	"2,079.94"	CAD							
TRANPORTATION 	1400-24	04-04-2011	04-06-2011	THE HOME DEPOT #7011	323.16	CAD	323.16	CAD	2710	GENERAL HARDWARE	TP0397	SIGN INSTALL & MNTCE	5200	Home Supply Warehouse	IMP DRIVER
TRANPORTATION 	1404-14	04-05-2011	04-07-2011	BRAFASCO / SCARBOROUGH	551.98	CAD	551.98	CAD	2710	GENERAL HARDWARE	TP0397	SIGN INSTALL & MNTCE	5085	Industrial Supplies Not Elsewhere Classi	DeWalt 36V Cordless cut-off tool
					875.14	CAD	875.14	CAD							
"PARKS, FORESTRY & RECREATION"	1408-16	04-09-2011	04-11-2011	FOOD BASICS #863	58.52	CAD	58.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07880	CURRAN HALL-SOC PGM	5411	"Grocery Stores, Supermarkets"	"cooking prgm:dairy,vegi's,baking supplies"
"PARKS, FORESTRY & RECREATION"	1419-17	04-16-2011	04-18-2011	FOOD BASICS #863	37.52	CAD	37.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07880	CURRAN HALL-SOC PGM	5411	"Grocery Stores, Supermarkets"	"cooking prgm:dairy,juice,baking supplies,bread"
"PARKS, FORESTRY & RECREATION"	1420-14	04-17-2011	04-19-2011	WAL-MART SUPERCENTE	4.52	CAD	4.52	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07769	CURRAN HALL-ARTS-VIS	5310	Discount Stores	art prgm:construction paper
"PARKS, FORESTRY & RECREATION"	1424-7	04-20-2011	04-21-2011	STAPLES STORE #127	39.54	CAD	39.54	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13210	SPCEVNT-CRRANHALL	5943	"Office, School Supply, and Stationery St"	labels for summer camp
					140.10	CAD	140.10	CAD							
LONG TERM CARE HOMES	1393-17	03-31-2011	04-01-2011	CAN-RAD BEAUTY	338.99	CAD	338.99	CAD	4995	OTHER EXPENSES	D3L083	WESBURN-PS-PS	5977	Cosmetic Stores	Hair Dryer for Hair salon
LONG TERM CARE HOMES	1396-20	04-01-2011	04-04-2011	4IMPRINT	199.92	CAD	199.92	CAD	4995	OTHER EXPENSES	D3L011	WESBURN-PA-OA	5969	Direct Marketing - Other Direct Marketer	Note pads for Volunteer Appreciation Day
LONG TERM CARE HOMES	1396-21	04-01-2011	04-04-2011	4IMPRINT	-200.58	CAD	-200.58	CAD	4995	OTHER EXPENSES	D3L011	WESBURN-PA-OA	5969	Direct Marketing - Other Direct Marketer	Reversal of previous transaction
LONG TERM CARE HOMES	1396-22	04-01-2011	04-04-2011	4IMPRINT	-200.58	CAD	-200.58	CAD	4995	OTHER EXPENSES	D3L011	WESBURN-PA-OA	5969	Direct Marketing - Other Direct Marketer	Reversal of previous transaction
LONG TERM CARE HOMES	1412-17	04-12-2011	04-13-2011	RUSSELL FOOD EQUIPMENT	170.86	CAD	170.86	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3L011	WESBURN-PA-OA	5046	Commercial Equipment Not Elsewhere Class	Poppers
					308.61	CAD	308.61	CAD							
"PARKS, FORESTRY & RECREATION"	1393-18	03-30-2011	04-01-2011	CDN TIRE STORE #00119	144.68	CAD	144.68	CAD	3080	M & E - HAND TOOLS	P07647	HUMBER VALLEY-OPERAT	5200	Home Supply Warehouse	WRENCH + SPRAYS + GREASE
"PARKS, FORESTRY & RECREATION"	1406-18	04-06-2011	04-08-2011	PARTSOURCE STORE # 760	179.29	CAD	179.29	CAD	2181	PARTS - VEHICLES	P07648	SCARLETT WOODS-OPERA	5533	"Automotive Parts, Accessories Stores"	"battery, tire plugs, glue"
"PARKS, FORESTRY & RECREATION"	1406-19	04-07-2011	04-08-2011	KOOY BROS LAWN	199.61	CAD	199.61	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07648	SCARLETT WOODS-OPERA	5261	Lawn and Garden Supply Stores	various filters
"PARKS, FORESTRY & RECREATION"	1408-17	04-07-2011	04-11-2011	BRAFASCO / NORTH YORK	73.24	CAD	73.24	CAD	2710	GENERAL HARDWARE	P07648	SCARLETT WOODS-OPERA	5085	Industrial Supplies Not Elsewhere Classi	"hex cap, cable, flat socket wood screw"
"PARKS, FORESTRY & RECREATION"	1413-10	04-13-2011	04-14-2011	KOOY BROS LAWN	8.95	CAD	8.95	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07648	SCARLETT WOODS-OPERA	5261	Lawn and Garden Supply Stores	lift pin
"PARKS, FORESTRY & RECREATION"	1417-10	04-13-2011	04-15-2011	BRAFASCO / NORTH YORK	71.95	CAD	71.95	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07648	SCARLETT WOODS-OPERA	5085	Industrial Supplies Not Elsewhere Classi	"hitch pin, loctitencopper anti-seize stick,"
"PARKS, FORESTRY & RECREATION"	1419-18	04-14-2011	04-18-2011	CDN TIRE STORE #00182	45.14	CAD	45.14	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07648	SCARLETT WOODS-OPERA	5200	Home Supply Warehouse	impact sockets
"PARKS, FORESTRY & RECREATION"	1432-27	04-26-2011	04-28-2011	CHAIN SAW CLINIC LTD	33.90	CAD	33.90	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07647	HUMBER VALLEY-OPERAT	5722	Household Appliance Stores	fuel pump
"PARKS, FORESTRY & RECREATION"	1435-15	04-27-2011	04-29-2011	THE HOME DEPOT #7013	279.87	CAD	279.87	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P07648	SCARLETT WOODS-OPERA	5200	Home Supply Warehouse	STH1215 1 TR *BALANCE IN TRANSACTION CURRENCY**
"PARKS, FORESTRY & RECREATION"	1435-16	04-28-2011	04-29-2011	SECURITY LOCK   SAFE I	632.80	CAD	632.80	CAD	3099	GENERAL EQUIPMENT	P07647	HUMBER VALLEY-OPERAT	1799	"Contractors, Special Trade - Not Elsewhe"	safe
					"1,669.43"	CAD	"1,669.43"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1413-11	04-12-2011	04-14-2011	THE HOME DEPOT #7012	180.07	CAD	180.07	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0029	CD-AM-FAC-METRO HALL	5200	Home Supply Warehouse	4X4X8 PT TIM- railing lumber
ECONOMIC DEVELOPMENT & CULTURE	1419-19	04-14-2011	04-18-2011	THE HOME DEPOT #7073	10.07	CAD	10.07	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0029	CD-AM-FAC-METRO HALL	5200	Home Supply Warehouse	36 BALUSTR-railing lumber
ECONOMIC DEVELOPMENT & CULTURE	1423-12	04-19-2011	04-20-2011	METAL SUPERMARKETS (NO	16.95	CAD	16.95	CAD	2199	MISCELLANEOUS PARTS	AH0023	CD-AM-FAC-TODMORDEN	5051	Metal Service Centers and Offices	hanging rod
ECONOMIC DEVELOPMENT & CULTURE	1424-8	04-20-2011	04-21-2011	METAL SUPERMARKETS (NO	230.52	CAD	230.52	CAD	2199	MISCELLANEOUS PARTS	AH0023	CD-AM-FAC-TODMORDEN	5051	Metal Service Centers and Offices	hanging rod - 15 quantity
					437.61	CAD	437.61	CAD							
"PARKS, FORESTRY & RECREATION"	1396-23	03-31-2011	04-04-2011	WAL-MART SUPERCENTE	9.04	CAD	9.04	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07694	SCAR VILLAGE-PGM SUP	5310	Discount Stores	bright paper for display boards
					9.04	CAD	9.04	CAD							
"PARKS, FORESTRY & RECREATION"	1410-12	04-11-2011	04-12-2011	LOBLAWS #1066      QPS	26.22	CAD	26.22	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08500	W ACRES SC-PGM SUPP	5411	"Grocery Stores, Supermarkets"	food  for preschool program
"PARKS, FORESTRY & RECREATION"	1412-18	04-12-2011	04-13-2011	TOYS R US #3506	303.91	CAD	303.91	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08500	W ACRES SC-PGM SUPP	5945	"Game, Toy, and Hobby Shops"	preschool supplies
"PARKS, FORESTRY & RECREATION"	1412-19	04-12-2011	04-13-2011	ARDENE #307	56.50	CAD	56.50	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08500	W ACRES SC-PGM SUPP	5631	Women's Accessory and Specialty Stores	dance recital supplies
"PARKS, FORESTRY & RECREATION"	1412-20	04-12-2011	04-13-2011	URBAN PLANET #389	585.82	CAD	585.82	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08500	W ACRES SC-PGM SUPP	5691	Men's and Women's Clothing Stores	dance recital supplies
"PARKS, FORESTRY & RECREATION"	1425-14	04-23-2011	04-25-2011	SCHOLAR'S CHOICE	36.72	CAD	36.72	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08500	W ACRES SC-PGM SUPP	5949	"Fabric, Needlework, Piece Goods, and Sew"	hst
"PARKS, FORESTRY & RECREATION"	1425-15	04-23-2011	04-25-2011	SCHOLAR'S CHOICE	17.02	CAD	17.02	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08500	W ACRES SC-PGM SUPP	5949	"Fabric, Needlework, Piece Goods, and Sew"	preschool supplies
"PARKS, FORESTRY & RECREATION"	1432-28	04-26-2011	04-28-2011	WAL-MART SUPERCENTE	11.27	CAD	11.27	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08500	W ACRES SC-PGM SUPP	5310	Discount Stores	program supplies
					"1,037.46"	CAD	"1,037.46"	CAD							
EMERGENCY MEDICAL SERVICES	1408-18	04-07-2011	04-11-2011	"TPA/GREEN ""P""      QPL"	14.00	CAD	14.00	CAD	4770	PARKING EXPENSES (INTOWN)	B46700	ALS OPERATIONS	7523	Automobile Parking Lots and Garages	PARKING - HEALTH & SAFETY MTG AT CITY HALL
EMERGENCY MEDICAL SERVICES	1425-16	04-21-2011	04-25-2011	AMEMSO	146.90	CAD	146.90	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	B46700	ALS OPERATIONS	8641	"Associations - Civic, Social, and Frater"	"AMEMSO 2011 EDUCATIONAL CONFERENCE MAY 10-11, 2011"
					160.90	CAD	160.90	CAD							
TORONTO WATER	1396-24	03-31-2011	04-04-2011	BRAFASCO / ETOBICOKE	65.80	CAD	65.80	CAD	3080	M & E - HAND TOOLS	WW1179	HTP LIQUIDS SECONDRY	5085	Industrial Supplies Not Elsewhere Classi	"tools, sockets"
TORONTO WATER	1400-25	04-05-2011	04-06-2011	INNOVATIVE CONTROL SOL	53.69	CAD	53.69	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1179	HTP LIQUIDS SECONDRY	7299	Other Services (Not Elsewhere Classified	air filters
TORONTO WATER	1404-15	04-05-2011	04-07-2011	THE HOME DEPOT #7011	79.43	CAD	79.43	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1179	HTP LIQUIDS SECONDRY	5200	Home Supply Warehouse	JOHN BRASS P
