Division 	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	Cost Centre / WBS Element 	Cost Centre/WBS Element Description 	G/L Account	G/L Account Description	Merchant Type	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	1499-47	2011-06-09	2011-06-10	PRINCESS AUTO	17.15	CAD	17.15	CAD	P00404	N-CENTRAL-TURF&HORT	2120	PARTS - MACHINERY & EQUIPMENT	5085	Industrial Supplies Not Elsewhere Classi	"air tank parts:adapter, air tank"
"PARKS, FORESTRY & RECREATION"	1501-71	2011-06-08	2011-06-13	ALLAN FYFE EQUIPMENT L	70.85	CAD	70.85	CAD	P12135	ALNESS YD-FORESTRY-P	2120	PARTS - MACHINERY & EQUIPMENT	5085	Industrial Supplies Not Elsewhere Classi	stumper bolts
"PARKS, FORESTRY & RECREATION"	1501-72	2011-06-08	2011-06-13	ALLAN FYFE EQUIPMENT L	90.06	CAD	90.06	CAD	P12135	ALNESS YD-FORESTRY-P	2120	PARTS - MACHINERY & EQUIPMENT	5085	Industrial Supplies Not Elsewhere Classi	stumper parts:filters
"PARKS, FORESTRY & RECREATION"	1501-73	2011-06-09	2011-06-13	NAPA WILLOWDALE #143	20.53	CAD	20.53	CAD	P00404	N-CENTRAL-TURF&HORT	2120	PARTS - MACHINERY & EQUIPMENT	5533	"Automotive Parts, Accessories Stores"	hydraulic parts
"PARKS, FORESTRY & RECREATION"	1501-74	2011-06-09	2011-06-13	ONEIDA EQUIPMENT LTD	35.11	CAD	35.11	CAD	P00404	N-CENTRAL-TURF&HORT	2120	PARTS - MACHINERY & EQUIPMENT	5712	"Equipment, Furniture, and Home Furnishin"	trimmer carb
"PARKS, FORESTRY & RECREATION"	1501-75	2011-06-09	2011-06-13	ONEIDA EQUIPMENT LTD	39.81	CAD	39.81	CAD	P00859	ALNESS YD-YD OPERN	2120	PARTS - MACHINERY & EQUIPMENT	5712	"Equipment, Furniture, and Home Furnishin"	"chain saw parts: filter, spark plug"
"PARKS, FORESTRY & RECREATION"	1501-76	2011-06-10	2011-06-13	HUTCHINSON FARM SUPPLY	167.51	CAD	167.51	CAD	P00404	N-CENTRAL-TURF&HORT	2120	PARTS - MACHINERY & EQUIPMENT	5599	"Miscellaneous Automotive, Aircraft, and"	"deck parts:stud, washer, arm, roller, lock nut"
"PARKS, FORESTRY & RECREATION"	1501-77	2011-06-12	2011-06-13	STATEINDUSTRIAL  CA	502.85	CAD	502.85	CAD	P00859	ALNESS YD-YD OPERN	2120	PARTS - MACHINERY & EQUIPMENT	5085	Industrial Supplies Not Elsewhere Classi	FREIGHT
"PARKS, FORESTRY & RECREATION"	1501-78	2011-06-09	2011-06-13	NAPA WILLOWDALE #143	-36.94	CAD	-36.94	CAD	P00859	ALNESS YD-YD OPERN	2120	PARTS - MACHINERY & EQUIPMENT	5533	"Automotive Parts, Accessories Stores"	filters
"PARKS, FORESTRY & RECREATION"	1505-39	2011-06-14	2011-06-15	AIRCON SERVICES	388.72	CAD	388.72	CAD	P00404	N-CENTRAL-TURF&HORT	4411	CONTRACTED SERVICES - ELECTRICAL	7623	Air Conditioning and Refrigeration Repai	air conditioner repair
"PARKS, FORESTRY & RECREATION"	1509-54	2011-06-16	2011-06-17	HUTCHINSON FARM SUPPLY	242.20	CAD	242.20	CAD	P00404	N-CENTRAL-TURF&HORT	2120	PARTS - MACHINERY & EQUIPMENT	5599	"Miscellaneous Automotive, Aircraft, and"	deck parts
"PARKS, FORESTRY & RECREATION"	1513-41	2011-06-17	2011-06-21	ONEIDA EQUIPMENT LTD	16.98	CAD	16.98	CAD	P00859	ALNESS YD-YD OPERN	2120	PARTS - MACHINERY & EQUIPMENT	5712	"Equipment, Furniture, and Home Furnishin"	trimmer parts: filters
"PARKS, FORESTRY & RECREATION"	1519-58	2011-06-23	2011-06-24	PRINCESS AUTO	60.14	CAD	60.14	CAD	P00405	N-CENTRAL1-TURF&HORT	2120	PARTS - MACHINERY & EQUIPMENT	5085	Industrial Supplies Not Elsewhere Classi	air takne & trimmer parts
"PARKS, FORESTRY & RECREATION"	1523-47	2011-06-24	2011-06-28	NEXGEN MUNICIPAL INC.	451.63	CAD	451.63	CAD	P00405	N-CENTRAL1-TURF&HORT	2120	PARTS - MACHINERY & EQUIPMENT	7399	Business Services - Not Elsewhere Classi	vacuum hose
"PARKS, FORESTRY & RECREATION"	1524-63	2011-06-27	2011-06-29	NAPA WILLOWDALE #143	172.27	CAD	172.27	CAD	P00405	N-CENTRAL1-TURF&HORT	2120	PARTS - MACHINERY & EQUIPMENT	5533	"Automotive Parts, Accessories Stores"	mad vac parts
"PARKS, FORESTRY & RECREATION"	1524-64	2011-06-27	2011-06-29	NAPA WILLOWDALE #143	395.49	CAD	395.49	CAD	P00859	ALNESS YD-YD OPERN	3080	M & E - HAND TOOLS	5533	"Automotive Parts, Accessories Stores"	shop tools: wrench
"PARKS, FORESTRY & RECREATION"	1524-65	2011-06-27	2011-06-29	ONEIDA EQUIPMENT LTD	103.18	CAD	103.18	CAD	P00859	ALNESS YD-YD OPERN	2120	PARTS - MACHINERY & EQUIPMENT	5712	"Equipment, Furniture, and Home Furnishin"	ignition module
					"3,909.43"	CAD	"3,909.43"	CAD							
"PARKS, FORESTRY & RECREATION"	1521-51	2011-06-24	2011-06-27	TOYS R US #3505	75.73	CAD	75.73	CAD	P02464	DOUGLAS SNOW-INSTRL-	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5945	"Game, Toy, and Hobby Shops"	baby dolls for CPR
"PARKS, FORESTRY & RECREATION"	1523-48	2011-06-24	2011-06-28	CDN TIRE STORE #00126	60.96	CAD	60.96	CAD	P07659	DOUGLAS SNOW-OPERATI	2570	JANITORIAL SUPPLIES	5200	Home Supply Warehouse	"toilet brushes, bath squeegee, windex, wheel"
					136.69	CAD	136.69	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1484-48	2011-06-01	2011-06-02	TARGET        00013060	47.43	CAD	47.17	USD	ED0142	IM-FIL-TRAD-CENTRAL	2790	PRESENTATION/PROMOTIONAL ITEMS	5411	"Grocery Stores, Supermarkets"	EMBARK INTERLOCKING MAT-supplies for LA conf booth
ECONOMIC DEVELOPMENT & CULTURE	1485-42	2011-06-03	2011-06-03	CA DEL SOLE RISTORANTE	688.33	CAD	681.65	USD	ED0142	IM-FIL-TRAD-CENTRAL	4820	BUSINESS MEETING EXPENSES	5812	"Eating Places, Restaurants"	Fam Toronto Reunion dinner
ECONOMIC DEVELOPMENT & CULTURE	1488-70	2011-06-01	2011-06-06	DIAMOND TAXICAB ASSOCI	79.00	CAD	79.00	CAD	ED0142	IM-FIL-TRAD-CENTRAL	4220	BUSINESS TRAV - GROUND TRANSPORTATION	4121	Limousines and Taxicabs	Cab to airport - LA Conference
ECONOMIC DEVELOPMENT & CULTURE	1488-71	2011-06-03	2011-06-06	LOWES #01144*	45.09	CAD	44.65	USD	ED0142	IM-FIL-TRAD-CENTRAL	4230	BUSINESS TRAV - OTHER EXPENSES	5200	Home Supply Warehouse	GOOF OFF 12OZ AEROSOL REMOVER - material for conf
ECONOMIC DEVELOPMENT & CULTURE	1488-72	2011-06-03	2011-06-06	LOWES #01144*	61.22	CAD	60.63	USD	ED0142	IM-FIL-TRAD-CENTRAL	4230	BUSINESS TRAV - OTHER EXPENSES	5200	Home Supply Warehouse	"15'Xf"" INDUSTRIAL STRG BLK TAPE-material for conf"
ECONOMIC DEVELOPMENT & CULTURE	1488-73	2011-06-03	2011-06-06	SHERATON UNIVERSAL HOT	24.15	CAD	24.00	USD	ED0142	IM-FIL-TRAD-CENTRAL	4230	BUSINESS TRAV - OTHER EXPENSES	5812	"Eating Places, Restaurants"	Breakfast at LA Conference
ECONOMIC DEVELOPMENT & CULTURE	1488-74	2011-06-03	2011-06-06	SHERATON UNIVERSAL HOT	50.42	CAD	50.10	USD	ED0142	IM-FIL-TRAD-CENTRAL	4230	BUSINESS TRAV - OTHER EXPENSES	5812	"Eating Places, Restaurants"	Dinner at LA Conference
ECONOMIC DEVELOPMENT & CULTURE	1492-39	2011-06-05	2011-06-07	SHERATON UNIVERSAL HOT	20.03	CAD	20.00	USD	ED0142	IM-FIL-TRAD-CENTRAL	4230	BUSINESS TRAV - OTHER EXPENSES	5812	"Eating Places, Restaurants"	Breakfast at LA Conference
ECONOMIC DEVELOPMENT & CULTURE	1494-44	2011-06-06	2011-06-08	LA ROADHOUSE T30050140	30.20	CAD	30.00	USD	ED0142	IM-FIL-TRAD-CENTRAL	4230	BUSINESS TRAV - OTHER EXPENSES	5812	"Eating Places, Restaurants"	Lunch at LA Conference
ECONOMIC DEVELOPMENT & CULTURE	1494-45	2011-06-06	2011-06-08	URTH CAFFE II	23.96	CAD	23.80	USD	ED0142	IM-FIL-TRAD-CENTRAL	4230	BUSINESS TRAV - OTHER EXPENSES	5814	Quick Payment Service - Fast-Food Restau	Breakfast at LA Conference
ECONOMIC DEVELOPMENT & CULTURE	1494-46	2011-06-06	2011-06-08	SHERATON UNIVERSAL HOT	"1,050.58"	CAD	"1,043.59"	USD	ED0142	IM-FIL-TRAD-CENTRAL	4210	BUSINESS TRAV - OTHER EXPENSES	7011	"Lodging - Hotels, Motels, Resorts - Not"	Accommodation for LA Conference
ECONOMIC DEVELOPMENT & CULTURE	1511-65	2011-06-16	2011-06-20	GTA AIRPORT LIMO SERVI	75.00	CAD	75.00	CAD	ED0142	IM-FIL-TRAD-CENTRAL	4220	BUSINESS TRAV - GROUND TRANSPORTATION	4121	Limousines and Taxicabs	Cab from airport for LA Conference
					"2,195.41"	CAD	154.00	CAD							
							"2,025.59"	USD							
TORONTO WATER	1511-66	2011-06-16	2011-06-20	ACKLANDS-GRAINGER INC	34.36	CAD	34.36	CAD	PW1020	WS SYSTEM CONTROL WO	2590	EMERGENCY SERVICES SUPPLIES	5085	Industrial Supplies Not Elsewhere Classi	Fire Extinguisher
					34.36	CAD	34.36	CAD							
"PARKS, FORESTRY & RECREATION"	1506-36	2011-06-15	2011-06-16	CUSTOM DOOR   LOCK SER	85.88	CAD	85.88	CAD	P00539	EASTERN BEACHES-TURF	2730	LOCKS	5533	"Automotive Parts, Accessories Stores"	keys cut
"PARKS, FORESTRY & RECREATION"	1509-55	2011-06-15	2011-06-17	RONA # 55240	51.58	CAD	51.58	CAD	P00539	EASTERN BEACHES-TURF	2730	LOCKS	5251	Hardware Stores	cable ties
"PARKS, FORESTRY & RECREATION"	1509-56	2011-06-16	2011-06-17	EAST END GARDEN CENTRE	180.69	CAD	180.69	CAD	P00539	EASTERN BEACHES-TURF	2470	FERTILIZERS	5261	Lawn and Garden Supply Stores	fertilizer
"PARKS, FORESTRY & RECREATION"	1511-67	2011-06-16	2011-06-20	CDN TIRE STORE #00654	56.44	CAD	56.44	CAD	P00539	EASTERN BEACHES-TURF	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	5200	Home Supply Warehouse	plastic waste basket
					374.59	CAD	374.59	CAD							
"PARKS, FORESTRY & RECREATION"	1503-38	2011-06-13	2011-06-14	HANFORD LUMBER LIMITED	12.88	CAD	12.88	CAD	P00898	KIPLING YD-PKS CONST	2531	LUMBER	5211	"Building Materials, Lumber Stores"	lumber
"PARKS, FORESTRY & RECREATION"	1503-39	2011-06-13	2011-06-14	HANFORD LUMBER LIMITED	25.27	CAD	25.27	CAD	P00898	KIPLING YD-PKS CONST	2531	LUMBER	5211	"Building Materials, Lumber Stores"	lumber
"PARKS, FORESTRY & RECREATION"	1516-45	2011-06-22	2011-06-23	CHAUNCEY BUILDERS SUPP	142.18	CAD	142.18	CAD	P00898	KIPLING YD-PKS CONST	2710	GENERAL HARDWARE	5211	"Building Materials, Lumber Stores"	Cutting wheels
"PARKS, FORESTRY & RECREATION"	1516-46	2011-06-22	2011-06-23	BUNNING SPLICING RIGGI	124.30	CAD	124.30	CAD	P00898	KIPLING YD-PKS CONST	2710	GENERAL HARDWARE	4457	Boat Leases and Boat Rentals	Lifting sling
					304.63	CAD	304.63	CAD							
SOLID WASTE MANAGEMENT	1511-68	2011-06-17	2011-06-20	GOCKEL AMERICA	194.11	CAD	192.53	USD	SW0011	MECHANICAL&ELECTRICA	2120	PARTS - MACHINERY & EQUIPMENT	5046	Commercial Equipment Not Elsewhere Class	"PUMP, TYPE SP 8130,3/8 NPT"
					194.11	CAD	192.53	USD							
FIRE SERVICES	1482-49	2011-05-31	2011-06-01	MSA CANADA INC	"1,418.84"	CAD	"1,418.84"	CAD	FR0019	ADM-QUARTRMSTR/STORE	2665	PROTECTIVE CLOTHING	7399	Business Services - Not Elsewhere Classi	SHIPPING & HANDLING
FIRE SERVICES	1515-34	2011-06-21	2011-06-22	QUALITY JEWELLERS LTD.	45.02	CAD	45.02	CAD	FR0012	ADMIN-HEADQUARTERS	4424	CONTRACTED SERVICES - GENERAL	5944	"Clock, Jewelry, Watch, and Silverware St"	ENGRAVING OF 2 AXES
					"1,463.86"	CAD	"1,463.86"	CAD							
"PARKS, FORESTRY & RECREATION"	1485-43	2011-06-01	2011-06-03	ALLTURF LTD.	536.19	CAD	536.19	CAD	P07649	TAM OSHANTER-OPERATI	2999	MISCELLANEOUS MATERIALS & SUPPLIES	0780	Horticultural and Landscaping Services	FAIRWAY YARDAGE MARKERS
"PARKS, FORESTRY & RECREATION"	1492-40	2011-06-06	2011-06-07	VALLEYVIEW GARDENS HK	211.83	CAD	211.83	CAD	P07649	TAM OSHANTER-OPERATI	2560	AGRICULTURE & BOTANICAL SUPPLIES	5261	Lawn and Garden Supply Stores	Crimson King Maple
"PARKS, FORESTRY & RECREATION"	1492-41	2011-06-06	2011-06-07	MR. JANITORIAL SUPPLIE	780.81	CAD	780.81	CAD	P07649	TAM OSHANTER-OPERATI	2570	JANITORIAL SUPPLIES	7349	"Cleaning and Maintenance, Janitorial Ser"	fuel surcharge
"PARKS, FORESTRY & RECREATION"	1494-47	2011-06-07	2011-06-08	CSL COMPRESSOR SERVICE	326.03	CAD	326.03	CAD	P07649	TAM OSHANTER-OPERATI	4699	REPAIRS AND MAINTENANCE - OTHER	5046	Commercial Equipment Not Elsewhere Class	air compressor repair
"PARKS, FORESTRY & RECREATION"	1501-79	2011-06-10	2011-06-13	TURF CANADA	900.62	CAD	900.62	CAD	P07649	TAM OSHANTER-OPERATI	2470	FERTILIZERS	5998	Tent & Awning Shops	liquid fertilizer
"PARKS, FORESTRY & RECREATION"	1506-37	2011-06-13	2011-06-16	VANDEN BUSSCHE IRRIGAT	245.07	CAD	245.07	CAD	P07649	TAM OSHANTER-OPERATI	2560	AGRICULTURE & BOTANICAL SUPPLIES	5719	Miscellaneous House Furnishing Specialty	shovels & irrigation parts
"PARKS, FORESTRY & RECREATION"	1511-69	2011-06-16	2011-06-20	THE HOME DEPOT #7001	42.65	CAD	42.65	CAD	P07649	TAM OSHANTER-OPERATI	2710	GENERAL HARDWARE	5200	Home Supply Warehouse	L STONE SCRE
"PARKS, FORESTRY & RECREATION"	1513-42	2011-06-20	2011-06-21	U OF G - RIDGETOWN WEB	84.75	CAD	84.75	CAD	P07649	TAM OSHANTER-OPERATI	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	8220	"Colleges, Universities, Professional Sch"	IPM Certified Agent Registration
"PARKS, FORESTRY & RECREATION"	1521-52	2011-06-24	2011-06-27	THE HOME DEPOT #7001	91.48	CAD	91.48	CAD	P07649	TAM OSHANTER-OPERATI	2560	AGRICULTURE & BOTANICAL SUPPLIES	5200	Home Supply Warehouse	20X30 TARP
"PARKS, FORESTRY & RECREATION"	1524-66	2011-06-27	2011-06-29	ALLTURF LTD.	111.78	CAD	111.78	CAD	P07649	TAM OSHANTER-OPERATI	2560	AGRICULTURE & BOTANICAL SUPPLIES	0780	Horticultural and Landscaping Services	Fairway Yardage Markers
"PARKS, FORESTRY & RECREATION"	1527-68	2011-06-29	2011-06-30	PRECISION TURF TECHNOL	668.91	CAD	668.91	CAD	P07649	TAM OSHANTER-OPERATI	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	5261	Lawn and Garden Supply Stores	sprayer upgrade & calibrations
					"4,000.12"	CAD	"4,000.12"	CAD							
"PARKS, FORESTRY & RECREATION"	1511-70	2011-06-17	2011-06-20	THE BRICK - GEARY	463.86	CAD	463.86	CAD	P10455	S-E-PGM SUPP	3050	M & E - KITCHEN	5712	"Equipment, Furniture, and Home Furnishin"	fridge for community centre
"PARKS, FORESTRY & RECREATION"	1515-35	2011-06-20	2011-06-22	WAL-MART #1004	88.03	CAD	88.03	CAD	P04887	KEELE CC-SUMR CAMP	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5411	"Grocery Stores, Supermarkets"	camp craft supplies
"PARKS, FORESTRY & RECREATION"	1515-36	2011-06-21	2011-06-22	DOLLAR SMART	32.66	CAD	32.66	CAD	P10455	S-E-PGM SUPP	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5310	Discount Stores	summer training workshop supplies
"PARKS, FORESTRY & RECREATION"	1515-37	2011-06-21	2011-06-22	ANTICA BULK FOOD	53.45	CAD	53.45	CAD	P10455	S-E-PGM SUPP	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5411	"Grocery Stores, Supermarkets"	summer training workshop supplies
"PARKS, FORESTRY & RECREATION"	1515-38	2011-06-21	2011-06-22	FRESHCO  #9798     QPS	32.77	CAD	32.77	CAD	P10455	S-E-PGM SUPP	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	summer training workshop supplies
					670.77	CAD	670.77	CAD							
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1521-53	2011-06-24	2011-06-27	CINEPLEX  7240     QPS	600.00	CAD	600.00	CAD	F01530	CHILDREN'S PROGRAM S	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	7832	Motion Picture Theaters	"Voucher to movies to take children all summerRO,BI"
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1521-54	2011-06-24	2011-06-27	WAL-MART # 3111	"1,020.00"	CAD	"1,020.00"	CAD	F01530	CHILDREN'S PROGRAM S	3040	M & E - RECREATIONAL & EDUCATIONAL	5411	"Grocery Stores, Supermarkets"	Gift cards for clients of Birkdale Residence
					"1,620.00"	CAD	"1,620.00"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1494-48	2011-06-06	2011-06-08	MOTION SPECIALTIES INC	95.00	CAD	95.00	CAD	SE0011	CENTRL-GEN ADMIN-GEN	4590	RENTAL - OTHER	8099	"Health Practitioners, Medical Services -"	Rental Electric Scooter - Doors Open
ECONOMIC DEVELOPMENT & CULTURE	1494-49	2011-06-06	2011-06-08	AIR CAN  0142196240408	"2,125.63"	CAD	"2,125.63"	CAD	SE0019	CENTRL-NUIT BLANCHE	4995	OTHER EXPENSES	3009	Air Canada	Flight for artist - Nuit Blanche 2011
					"2,220.63"	CAD	"2,220.63"	CAD							
"PARKS, FORESTRY & RECREATION"	1492-42	2011-06-06	2011-06-07	STAPLES STORE #127	96.86	CAD	96.86	CAD	P00265	E-CENTRAL3-TURF&HORT	2999	MISCELLANEOUS MATERIALS & SUPPLIES	5943	"Office, School Supply, and Stationery St"	"hang foldrs, plastic bags"
"PARKS, FORESTRY & RECREATION"	1501-80	2011-06-09	2011-06-13	CDN TIRE STORE #00427	177.31	CAD	177.31	CAD	P00265	E-CENTRAL3-TURF&HORT	2999	MISCELLANEOUS MATERIALS & SUPPLIES	5200	Home Supply Warehouse	Misc. hoses etc.
"PARKS, FORESTRY & RECREATION"	1505-40	2011-06-13	2011-06-15	ACTION LOCKSMITHS INC.	81.36	CAD	81.36	CAD	P00265	E-CENTRAL3-TURF&HORT	2999	MISCELLANEOUS MATERIALS & SUPPLIES	7399	Business Services - Not Elsewhere Classi	keys
"PARKS, FORESTRY & RECREATION"	1505-41	2011-06-13	2011-06-15	ACTION LOCKSMITHS INC.	81.36	CAD	81.36	CAD	P00265	E-CENTRAL3-TURF&HORT	2999	MISCELLANEOUS MATERIALS & SUPPLIES	7399	Business Services - Not Elsewhere Classi	company overcharge pls reverse
"PARKS, FORESTRY & RECREATION"	1516-47	2011-06-21	2011-06-23	CDN TIRE STORE #00209	47.44	CAD	47.44	CAD	P00265	E-CENTRAL3-TURF&HORT	2999	MISCELLANEOUS MATERIALS & SUPPLIES	5200	Home Supply Warehouse	misc. grease guns
					484.33	CAD	484.33	CAD							
"PARKS, FORESTRY & RECREATION"	1501-81	2011-06-11	2011-06-13	PARKDALE HM HDW 1350-8	82.47	CAD	82.47	CAD	P07731	MASARYK COWAN-PGM SU	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5251	Hardware Stores	coolers for camp program
					82.47	CAD	82.47	CAD							
"PARKS, FORESTRY & RECREATION"	1501-82	2011-06-12	2011-06-13	METRO #712	33.11	CAD	33.11	CAD	P10319	MITCHELL FIELD-PGM S	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	"ice,keloggs for summer staff trainung day"
					33.11	CAD	33.11	CAD							
EMERGENCY MEDICAL SERVICES	1484-49	2011-06-01	2011-06-02	PREMIER FARNEL00000018	489.25	CAD	489.25	CAD	B31100	COMM SYSTEMS SUPPORT	2199	MISCELLANEOUS PARTS	5065	Electrical Parts and Equipment	"ENCLOSURES, RELAYS, SWITCHES, PLUGS"
EMERGENCY MEDICAL SERVICES	1499-48	2011-06-09	2011-06-10	PREMIER FARNEL00000018	252.11	CAD	252.11	CAD	B31100	COMM SYSTEMS SUPPORT	2199	MISCELLANEOUS PARTS	5065	Electrical Parts and Equipment	PROTOTYPE BOARDS
EMERGENCY MEDICAL SERVICES	1501-83	2011-06-10	2011-06-13	PREMIER FARNEL00000018	15.71	CAD	15.71	CAD	B31100	COMM SYSTEMS SUPPORT	2199	MISCELLANEOUS PARTS	5065	Electrical Parts and Equipment	PLASTIC BOXES
EMERGENCY MEDICAL SERVICES	1511-71	2011-06-18	2011-06-20	PREMIER FARNEL00000018	693.90	CAD	693.90	CAD	B31100	COMM SYSTEMS SUPPORT	2199	MISCELLANEOUS PARTS	5065	Electrical Parts and Equipment	"TERMINAL STRIPS, POWER SUPPLIES, CABLES"
EMERGENCY MEDICAL SERVICES	1513-43	2011-06-17	2011-06-21	RONA # 55180	36.83	CAD	36.83	CAD	B31100	COMM SYSTEMS SUPPORT	2710	GENERAL HARDWARE	5251	Hardware Stores	SCREWDRIVER BITS
EMERGENCY MEDICAL SERVICES	1519-59	2011-06-23	2011-06-24	PREMIER FARNEL00000018	251.88	CAD	251.88	CAD	B31100	COMM SYSTEMS SUPPORT	2199	MISCELLANEOUS PARTS	5065	Electrical Parts and Equipment	SWITCH FOOT ASSY
					"1,739.68"	CAD	"1,739.68"	CAD							
TORONTO WATER	1524-67	2011-06-24	2011-06-29	ALPHA CONTRLS INSTRMNT	"1,350.35"	CAD	"1,350.35"	CAD	WW1081	HCTP SOLIDS TRT WA1	3091	WATER METERS	1711	"Air Conditioning, Heating, and Plumbing"	"Meters-rotronic2m extension cable,climate probe"
					"1,350.35"	CAD	"1,350.35"	CAD							
TORONTO WATER	1506-38	2011-06-15	2011-06-16	KOTYCK BROS LIMITED	198.88	CAD	198.88	CAD	PW1002	RC HARRIS SRVCS WA2	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	1520	General Contractors - Residential and Co	Repair kit for back-fow 
					198.88	CAD	198.88	CAD							
"PARKS, FORESTRY & RECREATION"	1506-39	2011-06-15	2011-06-16	LOWES #02633*	124.25	CAD	124.25	CAD	P06743	BEACHES CC-PGM SUPP	2999	MISCELLANEOUS MATERIALS & SUPPLIES	5200	Home Supply Warehouse	1600PSI KARCHER ELECTRIC PW
"PARKS, FORESTRY & RECREATION"	1516-48	2011-06-22	2011-06-23	LASER QUEST TORONTO EA	175.00	CAD	175.00	CAD	P12112	BEACHES CC-SUMMER CA	4118	TICKETS AND ADMISSION FEES	7994	Video Game Arcades/Establishments	camp trip down payment 50%
"PARKS, FORESTRY & RECREATION"	1523-49	2011-06-27	2011-06-28	LOBLAWS #1021	54.25	CAD	54.25	CAD	P12112	BEACHES CC-SUMMER CA	2610	MISCELLANEOUS MATERIALS & SUPPLIES	5411	"Grocery Stores, Supermarkets"	"plates, servilles, spring water, etc,"
"PARKS, FORESTRY & RECREATION"	1523-50	2011-06-27	2011-06-28	METRO #37	15.98	CAD	15.98	CAD	P12112	BEACHES CC-SUMMER CA	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	rice
"PARKS, FORESTRY & RECREATION"	1523-51	2011-06-27	2011-06-28	IKEA ETOBICOKE	48.03	CAD	48.03	CAD	P12112	BEACHES CC-SUMMER CA	2999	MISCELLANEOUS MATERIALS & SUPPLIES	5712	"Equipment, Furniture, and Home Furnishin"	hunbrellas for shade camps tables srs programs
"PARKS, FORESTRY & RECREATION"	1523-52	2011-06-27	2011-06-28	FRESHCO #9750      QPS	30.98	CAD	30.98	CAD	P12112	BEACHES CC-SUMMER CA	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	Pasta for cooking programs
					448.49	CAD	448.49	CAD							
ACCOUNTING SERVICES	1485-44	2011-06-02	2011-06-03	DAIRY TREATS	106.18	CAD	106.18	CAD	FS0022	ACCTG SVCS-OFF OF TH	4995	OTHER EXPENSES	5462	Bakeries	Special Food Order(Koshier)for Planning Day
ACCOUNTING SERVICES	1488-75	2011-06-03	2011-06-06	CGA OF ONTARIO	875.75	CAD	875.75	CAD	FS0035	FIN RPTG-FUNDS	4760	MEMBERSHIP FEES	8699	"Organizations, Membership - Not Elsewher"	CGA Membership fee
ACCOUNTING SERVICES	1511-72	2011-06-16	2011-06-20	MUNICIPAL FINANCE OFFI	762.75	CAD	762.75	CAD	FS0022	ACCTG SVCS-OFF OF TH	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	8299	Educational Services	Registration Fee MFOA
ACCOUNTING SERVICES	1521-55	2011-06-24	2011-06-27	CMA ONTARIO	961.63	CAD	961.63	CAD	FS0032	FIN SYS&P-FINCL SYST	4760	MEMBERSHIP FEES	8699	"Organizations, Membership - Not Elsewher"	Membership Fee  - CMA
ACCOUNTING SERVICES	1523-53	2011-06-27	2011-06-28	CGA OF ONTARIO	875.75	CAD	875.75	CAD	FS0033	FIN RPTG-ACCOUNTS RE	4760	MEMBERSHIP FEES	8699	"Organizations, Membership - Not Elsewher"	Membership Fee - CGA
					"3,582.06"	CAD	"3,582.06"	CAD							
"PARKS, FORESTRY & RECREATION"	1503-40	2011-06-09	2011-06-14	NU FAIR-GREEN SOD FARM	166.87	CAD	166.87	CAD	P00263	E-CENTRAL1-TURF&HORT	2560	AGRICULTURE & BOTANICAL SUPPLIES	5967	Direct Marketing - Inbound Telemarketing	refundable skid deposit
					166.87	CAD	166.87	CAD							
SOLID WASTE MANAGEMENT	1485-45	2011-06-02	2011-06-03	LOWES #02632*	18.03	CAD	18.03	CAD	CSW309-11-05	KEELE VALLEY	2520	GROUND WATER MONITORING - SUPPLIES	5200	Home Supply Warehouse	UNIVERSAL HOSE KIT (WA)
SOLID WASTE MANAGEMENT	1485-46	2011-06-02	2011-06-03	LOWES #02632*	127.52	CAD	127.52	CAD	CSW309-11-05	KEELE VALLEY	2530	BLDG REPAIRS & RENOVATION SUPPLIES	5200	Home Supply Warehouse	1L WILSON WILSARIN
SOLID WASTE MANAGEMENT	1497-52	2011-06-08	2011-06-09	LOWES #02632*	16.22	CAD	16.22	CAD	CSW309-11-05	KEELE VALLEY	2530	BLDG REPAIRS & RENOVATION SUPPLIES	5200	Home Supply Warehouse	30KG CONCRETE MIX QUIKRETE
