Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre/WBS Element	Cost Centre/WBS Element Discriprion	Merchant Type	Merchant type description	Purpose
"PARKS, FORESTRY & RECREATION"	1367-63	03-11-2011	03-14-2011	NO FRILLS MARIO   SELI	201.16	CAD	201.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04936	JOHN ENGLISH CS-H CA	5411	"Grocery Stores, Supermarkets"	
	1375-36	03-17-2011	03-18-2011	PLANET BOWL	363.42	CAD	363.42	CAD	4118	JOHN ENGLISH CS-H CA	P04936	JOHN ENGLISH CS-H CA	7933	Bowling Alleys	
"PARKS, FORESTRY & RECREATION"	1384-19	03-24-2011	03-25-2011	TROPHY CENTRE	162.72	CAD	162.72	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	P06462	JOHN ENGLISH CS-ARTS	5947	"Card, Gift, Novelty, and Souvenir Shops"	
					727.30	CAD	727.30	CAD							
TORONTO WATER	1386-36	03-24-2011	03-28-2011	AMERICAN WATERWORKS	173.55	CAD	173.00	USD	4760	MEMBERSHIP FEES	PW4016	PW DIST TECH TRAIN'G	8699	"Organizations, Membership - Not Elsewher"	Membership renewal fees
TORONTO WATER	1390-34	03-28-2011	03-30-2011	PRECISE PARKLINK   QPS	16.00	CAD	16.00	CAD	4770	PARKING EXPENSES (INTOWN)	PW4016	PW DIST TECH TRAIN'G	7523	Automobile Parking Lots and Garages	Parking
					189.55	CAD	16.00	CAD							
							173.00	USD							
ECONOMIC DEVELOPMENT & CULTURE	1361-43	03-08-2011	03-09-2011	WEBNAMES.CA INC	548.05	CAD	548.05	CAD	4830	PERMIT & LICENSE FEES	AH0088	HS-MH-PRS-METRO HALL	4816	Computer Network/Information Services	Domain name license fees for www.torontomuseumproj
ECONOMIC DEVELOPMENT & CULTURE	1367-64	03-11-2011	03-14-2011	"INDIGO BOOKS   MUSIC,"	24.23	CAD	24.23	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	AH0088	HS-MH-PRS-METRO HALL	5399	Miscellaneous General Merchandise	War of 1812 book for Fort York
ECONOMIC DEVELOPMENT & CULTURE	1377-62	03-18-2011	03-21-2011	"INDIGO BOOKS   MUSIC,"	25.45	CAD	25.45	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	AH0088	HS-MH-PRS-METRO HALL	5399	Miscellaneous General Merchandise	Museum interpretation book
ECONOMIC DEVELOPMENT & CULTURE	1379-28	03-21-2011	03-22-2011	"INDIGO BOOKS   MUSIC,"	23.42	CAD	23.42	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	AH0088	HS-MH-PRS-METRO HALL	5399	Miscellaneous General Merchandise	War of 1812 book for Fort York
					621.15	CAD	621.15	CAD							
"PARKS, FORESTRY & RECREATION"	1346-33	02-25-2011	03-01-2011	CDN TIRE STORE #00654	11.29	CAD	11.29	CAD	2535	PLUMBING SUPPLIES	P12155	FACILITY OPERATIONS	5200	Home Supply Warehouse	
"PARKS, FORESTRY & RECREATION"	1367-65	03-10-2011	03-14-2011	THE HOME DEPOT #7080	174.01	CAD	174.01	CAD	3025	M & E - JANITORIAL	P07865	STAN WADLOW COMPLEX-	5200	Home Supply Warehouse	OIL
"PARKS, FORESTRY & RECREATION"	1367-66	03-10-2011	03-14-2011	PETER'S PAINT   PAPER	44.87	CAD	44.87	CAD	2715	PAINT SUPPLIES	P06722	BEACHES CC-OPERATION	5231	"Glass, Paint, Wallpaper Stores"	
"PARKS, FORESTRY & RECREATION"	1367-67	03-11-2011	03-14-2011	THE HOME DEPOT #7012	45.13	CAD	45.13	CAD	2570	JANITORIAL SUPPLIES	P07865	STAN WADLOW COMPLEX-	5200	Home Supply Warehouse	L DUST PAN
					275.30	CAD	275.30	CAD							
"PARKS, FORESTRY & RECREATION"	1349-29	03-01-2011	03-03-2011	INTERLINE WHOLESALE HA	22.55	CAD	22.55	CAD	2710	GENERAL HARDWARE	P00833	TECH SERV. 3-PARKS C	5072	Hardware Equipment and Supplies	
"PARKS, FORESTRY & RECREATION"	1349-30	03-01-2011	03-03-2011	THE HOME DEPOT #7001	23.68	CAD	23.68	CAD	2710	GENERAL HARDWARE	P00830	TECH SERV. 1-FLEET E	5200	Home Supply Warehouse	HOOKS
"PARKS, FORESTRY & RECREATION"	1354-47	03-04-2011	03-07-2011	LOWES #02494*	40.63	CAD	40.63	CAD	3080	M & E - HAND TOOLS	P00833	TECH SERV. 3-PARKS C	5200	Home Supply Warehouse	CONDRIVE 500
"PARKS, FORESTRY & RECREATION"	1354-48	03-04-2011	03-07-2011	METAL SUPERMARKETS (SC	6.96	CAD	6.96	CAD	2532	STEEL	P00834	MORNINGSIDE YD-PKS C	5051	Metal Service Centers and Offices	hot rolled angle
"PARKS, FORESTRY & RECREATION"	1356-29	03-07-2011	03-08-2011	METAL SUPERMARKETS (SC	90.31	CAD	90.31	CAD	2532	STEEL	P00834	MORNINGSIDE YD-PKS C	5051	Metal Service Centers and Offices	woven wire mesh
"PARKS, FORESTRY & RECREATION"	1363-27	03-08-2011	03-10-2011	BRAFASCO / SCARBOROUGH	49.90	CAD	49.90	CAD	2532	STEEL	P00834	MORNINGSIDE YD-PKS C	5085	Industrial Supplies Not Elsewhere Classi	tfl rod
"PARKS, FORESTRY & RECREATION"	1365-33	03-10-2011	03-11-2011	METAL SUPERMARKETS (SC	156.61	CAD	156.61	CAD	2532	STEEL	P00834	MORNINGSIDE YD-PKS C	5051	Metal Service Centers and Offices	hr tread plate
"PARKS, FORESTRY & RECREATION"	1367-68	03-10-2011	03-14-2011	THE HOME DEPOT #7027	65.16	CAD	65.16	CAD	2715	PAINT SUPPLIES	P00833	TECH SERV. 3-PARKS C	5200	Home Supply Warehouse	PAINT BRUSH
"PARKS, FORESTRY & RECREATION"	1367-69	03-11-2011	03-14-2011	LOWES #02494*	15.80	CAD	15.80	CAD	2665	PROTECTIVE CLOTHING	P00833	TECH SERV. 3-PARKS C	5200	Home Supply Warehouse	GRAIN LEATHER W/BALL AND TAPE LRG
"PARKS, FORESTRY & RECREATION"	1373-51	03-16-2011	03-17-2011	BERNARDI BUILDING SUPP	644.16	CAD	644.16	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00264	E-CENTRAL2-TURF&HORT	5211	"Building Materials, Lumber Stores"	pool trowel
"PARKS, FORESTRY & RECREATION"	1375-37	03-15-2011	03-18-2011	MCGOWAN FENCE   SUPPLY	188.33	CAD	188.33	CAD	2710	GENERAL HARDWARE	P00268	E-NORTH2-TURF&HORT	5051	Metal Service Centers and Offices	tension bands
"PARKS, FORESTRY & RECREATION"	1381-31	03-21-2011	03-23-2011	WURTH CANADA LIMITED/L	11.24	CAD	11.24	CAD	3080	M & E - HAND TOOLS	P00833	TECH SERV. 3-PARKS C	5085	Industrial Supplies Not Elsewhere Classi	thunder bit drill
"PARKS, FORESTRY & RECREATION"	1390-35	03-28-2011	03-30-2011	MCGOWAN FENCE   SUPPLY	99.12	CAD	99.12	CAD	2710	GENERAL HARDWARE	P00267	E-NORTH1-TURF&HORT	5051	Metal Service Centers and Offices	green wire
					"1,414.45"	CAD	"1,414.45"	CAD							
EMERGENCY MEDICAL SERVICES	1354-49	03-04-2011	03-07-2011	JONES BARTLETT LEARNIN	478.18	CAD	479.00	USD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	B22040	EXTL TRAINING CPR	5192	"Books, Periodicals, and Newspapers"	EMERG MEDICAL RESPONDER BOOKS
EMERGENCY MEDICAL SERVICES	1375-38	03-17-2011	03-18-2011	COMPUCOM CANADA CO.	141.25	CAD	141.25	CAD	4406	CONTRACTED SERVICES - OFFICE EQUIPMENT	B22040	EXTL TRAINING CPR	5734	Computer Software Stores	REPAIR OR NEC PROJECTOR
EMERGENCY MEDICAL SERVICES	1377-63	03-18-2011	03-21-2011	JONES BARTLETT LEARNIN	483.98	CAD	479.00	USD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	B22040	EXTL TRAINING CPR	5192	"Books, Periodicals, and Newspapers"	EMERG MEDICAL RESPONDER BOOKS
EMERGENCY MEDICAL SERVICES	1388-31	03-28-2011	03-29-2011	COMPUCOM CANADA CO.	581.56	CAD	581.56	CAD	4406	CONTRACTED SERVICES - OFFICE EQUIPMENT	B22040	EXTL TRAINING CPR	5734	Computer Software Stores	REPAIR OR NEC PROJECTOR
EMERGENCY MEDICAL SERVICES	1392-44	03-30-2011	03-31-2011	LAERDAL MEDICAL CANADA	317.81	CAD	317.81	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	B22040	EXTL TRAINING CPR	8099	"Health Practitioners, Medical Services -"	AED DVDS
					"2,002.78"	CAD	"1,040.62"	CAD							
							958.00	USD							
URBAN PLANNING	1354-50	03-04-2011	03-07-2011	AMAZON.CA	134.32	CAD	134.32	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	UR0005	HEAD OFF-POLICY&RESR	4816	Computer Network/Information Services	2 Books
URBAN PLANNING	1361-44	03-08-2011	03-09-2011	CANADA LAW BOOK INC	836.99	CAD	836.99	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	UR0005	HEAD OFF-POLICY&RESR	5942	Book Stores	9 Copies of update for loose leaf publication
URBAN PLANNING	1361-45	03-08-2011	03-09-2011	CARSWELL	261.90	CAD	261.90	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	UR0005	HEAD OFF-POLICY&RESR	7338	"Quick Copy, Reproduction, and Blueprinti"	update to looseleaf publication
URBAN PLANNING	1365-34	03-09-2011	03-11-2011	PAYPAL *MAKINGCITIE	69.62	CAD	69.62	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	UR0005	HEAD OFF-POLICY&RESR	8999	Professional Services - Not Elsewhere Cl	Book: Conference Proceedings
URBAN PLANNING	1392-45	03-30-2011	03-31-2011	LINCOLN INST LAND PLCY	42.74	CAD	42.85	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	UR0005	HEAD OFF-POLICY&RESR	8299	Educational Services	Book:Inclusionary Housing In inter.Perspective
					"1,345.57"	CAD	"1,302.83"	CAD							
							42.85	USD							
SOLID WASTE MANAGEMENT	1367-70	03-10-2011	03-14-2011	BRODI SPECIALTY PRODUC	517.37	CAD	517.37	CAD	2485	SUPPLIES - GAS/ODOUR CONTROL	SW0830	SCARBOROUGH TS OPER	5085	Industrial Supplies Not Elsewhere Classi	
					517.37	CAD	517.37	CAD							
"PARKS, FORESTRY & RECREATION"	1346-34	02-28-2011	03-01-2011	TORBRAM ELECTRIC SUPPL	579.69	CAD	579.69	CAD	2575	ELECTRICAL SUPPLIES	P03651	TECH SERV. 2-FACILIT	5065	Electrical Parts and Equipment	
"PARKS, FORESTRY & RECREATION"	1346-35	02-28-2011	03-01-2011	TORBRAM ELECTRIC SUPPL	100.57	CAD	100.57	CAD	2575	ELECTRICAL SUPPLIES	P03651	TECH SERV. 2-FACILIT	5065	Electrical Parts and Equipment	
"PARKS, FORESTRY & RECREATION"	1348-34	03-01-2011	03-02-2011	TORBRAM ELECTRIC SUPPL	225.89	CAD	225.89	CAD	2575	ELECTRICAL SUPPLIES	P03651	TECH SERV. 2-FACILIT	5065	Electrical Parts and Equipment	
"PARKS, FORESTRY & RECREATION"	1356-30	03-07-2011	03-08-2011	WOLSELEY FRONTIER	45.20	CAD	45.20	CAD	2575	ELECTRICAL SUPPLIES	P03651	TECH SERV. 2-FACILIT	7623	Air Conditioning and Refrigeration Repai	
"PARKS, FORESTRY & RECREATION"	1367-71	03-11-2011	03-14-2011	LOWES #02494*	218.32	CAD	218.32	CAD	2575	ELECTRICAL SUPPLIES	P03651	TECH SERV. 2-FACILIT	5200	Home Supply Warehouse	WMLD WHT CORDMATE II COUPLING C59
					"1,169.67"	CAD	"1,169.67"	CAD							
"PARKS, FORESTRY & RECREATION"	1375-39	03-17-2011	03-18-2011	ACKLANDS-GRAINGER INC	102.40	CAD	102.40	CAD	2530	BRDLANDS CC-OPERATIO	P06682	BRDLANDS CC-OPERATIO	5085	Industrial Supplies Not Elsewhere Classi	2 rolls non slip tape yellow
"PARKS, FORESTRY & RECREATION"	1375-40	03-17-2011	03-18-2011	ACKLANDS-GRAINGER INC	28.84	CAD	28.84	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P06877	N-E-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	identification key tags
"PARKS, FORESTRY & RECREATION"	1377-64	03-18-2011	03-21-2011	STAPLES STORE #3	45.16	CAD	45.16	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12151	TRACE MANES-COMM CTR	5943	"Office, School Supply, and Stationery St"	1 key cabinet
"PARKS, FORESTRY & RECREATION"	1377-65	03-20-2011	03-21-2011	STAPLES/BUSINESS DEPOT	48.58	CAD	48.58	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P06682	BRDLANDS CC-OPERATIO	5943	"Office, School Supply, and Stationery St"	oak cork bulletin board
"PARKS, FORESTRY & RECREATION"	1379-29	03-20-2011	03-22-2011	THE HOME DEPOT #7106	14.89	CAD	14.89	CAD	2710	GENERAL HARDWARE	P06687	FLEMINGDON CC-OPERAT	5200	Home Supply Warehouse	CABLE TIE
"PARKS, FORESTRY & RECREATION"	1392-46	03-30-2011	03-31-2011	STAPLES STORE #3	48.58	CAD	48.58	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P06682	BRDLANDS CC-OPERATIO	5943	"Office, School Supply, and Stationery St"	oak cork bulletin board
					288.45	CAD	288.45	CAD							
"PARKS, FORESTRY & RECREATION"	1346-36	02-25-2011	03-01-2011	CDN TIRE STORE #00192	26.30	CAD	26.30	CAD	2110	PARTS - FURNITURE & FIXTURES	P00021	C-FORESTRY GEN-PGM S	5200	Home Supply Warehouse	
"PARKS, FORESTRY & RECREATION"	1356-31	03-07-2011	03-08-2011	IKEA NORTH YORK	15.80	CAD	15.80	CAD	2110	PARTS - FURNITURE & FIXTURES	P00021	C-FORESTRY GEN-PGM S	5712	"Equipment, Furniture, and Home Furnishin"	display frames for Canada Blooms
"PARKS, FORESTRY & RECREATION"	1363-28	03-08-2011	03-10-2011	THE HOME DEPOT #7011	15.98	CAD	15.98	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00021	C-FORESTRY GEN-PGM S	5200	Home Supply Warehouse	SCREWS
"PARKS, FORESTRY & RECREATION"	1363-29	03-09-2011	03-10-2011	MICHAELS #3983	5.64	CAD	5.64	CAD	2110	PARTS - FURNITURE & FIXTURES	P00021	C-FORESTRY GEN-PGM S	5945	"Game, Toy, and Hobby Shops"	frame hangers canada blooms
"PARKS, FORESTRY & RECREATION"	1365-35	03-09-2011	03-11-2011	THE HOME DEPOT #7129	6.31	CAD	6.31	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00021	C-FORESTRY GEN-PGM S	5200	Home Supply Warehouse	SCREWS
"PARKS, FORESTRY & RECREATION"	1384-20	03-23-2011	03-25-2011	CPC/SCP #087300	13.86	CAD	13.86	CAD	4805	POSTAGE	P00021	C-FORESTRY GEN-PGM S	9402	Postal Services - Government Only	postage for letter
"PARKS, FORESTRY & RECREATION"	1386-37	03-24-2011	03-28-2011	CDN TIRE STORE #00294	79.09	CAD	79.09	CAD	2710	GENERAL HARDWARE	P00021	C-FORESTRY GEN-PGM S	5200	Home Supply Warehouse	vise for EAB dissection
					162.98	CAD	162.98	CAD							
"PARKS, FORESTRY & RECREATION"	1346-37	02-25-2011	03-01-2011	AIR LIQUIDE CDN INC#26	339.70	CAD	339.70	CAD	2499	OTHER CHEMICALS	P00833	TECH SERV. 3-PARKS C	5085	Industrial Supplies Not Elsewhere Classi	
"PARKS, FORESTRY & RECREATION"	1392-47	03-30-2011	03-31-2011	AIR LIQUIDE CANADA #26	449.15	CAD	449.15	CAD	2499	OTHER CHEMICALS	P00833	TECH SERV. 3-PARKS C	5085	Industrial Supplies Not Elsewhere Classi	
					788.85	CAD	788.85	CAD							
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1377-66	03-17-2011	03-21-2011	THE HOME DEPOT #7001	180.88	CAD	180.88	CAD	2710	GENERAL HARDWARE	F01223	WOMENS RES-PROPRTY S	5200	Home Supply Warehouse	SYL 25W TORP
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1377-67	03-18-2011	03-21-2011	STAPLES STORE #234	68.40	CAD	68.40	CAD	2999	WOMENS RES-DIRECT PG	F01224	WOMENS RES-DIRECT PG	5943	"Office, School Supply, and Stationery St"	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1379-30	03-21-2011	03-22-2011	STAPLES STORE #234	202.95	CAD	202.95	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	F01224	WOMENS RES-DIRECT PG	5943	"Office, School Supply, and Stationery St"	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1381-32	03-22-2011	03-23-2011	CANADA COMPUTERS #4	11.29	CAD	11.29	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	F01224	WOMENS RES-DIRECT PG	5734	Computer Software Stores	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1383-19	03-22-2011	03-24-2011	CDN TIRE STORE #00654	665.12	CAD	665.12	CAD	2700	MATTRESSES	F01223	WOMENS RES-PROPRTY S	5200	Home Supply Warehouse	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1383-20	03-23-2011	03-24-2011	COSTCO.CA   *ONLINE	220.34	CAD	220.34	CAD	2575	ELECTRICAL SUPPLIES	F01223	WOMENS RES-PROPRTY S	5399	Miscellaneous General Merchandise	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1384-21	03-24-2011	03-25-2011	G   K SERVICES CANADA	188.12	CAD	188.12	CAD	2570	JANITORIAL SUPPLIES	F01223	WOMENS RES-PROPRTY S	7296	"Clothing Rental - Costumes, Uniforms and"	
					"1,537.10"	CAD	"1,537.10"	CAD							
EMERGENCY MEDICAL SERVICES	1363-30	03-08-2011	03-10-2011	CDN TIRE STORE #00175	329.90	CAD	329.90	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	B46750	OPS - DISTRICT 2	5200	Home Supply Warehouse	VACUUM AND BAGS
EMERGENCY MEDICAL SERVICES	1383-21	03-23-2011	03-24-2011	SETON	277.13	CAD	277.13	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	B46750	OPS - DISTRICT 2	5965	Direct Marketing - Combination Catalog a	NUMERICAL ZIP TIES
					607.03	CAD	607.03	CAD							
"PARKS, FORESTRY & RECREATION"	1373-52	03-16-2011	03-17-2011	CINEPLEX  7253     QPS	604.55	CAD	604.55	CAD	4118	TICKETS AND ADMISSION FEES	P13276	SUMMERCAMP-SELWYN ES	7832	Motion Picture Theaters	
"PARKS, FORESTRY & RECREATION"	1373-53	03-16-2011	03-17-2011	CINEPLEX  7253     QPS	-96.20	CAD	-96.20	CAD	4118	TICKETS AND ADMISSION FEES	P13276	SUMMERCAMP-SELWYN ES	7832	Motion Picture Theaters	
"PARKS, FORESTRY & RECREATION"	1375-41	03-17-2011	03-18-2011	THORNCLIFFE BOWLERAMA.	235.84	CAD	235.84	CAD	4118	TICKETS AND ADMISSION FEES	P13276	SUMMERCAMP-SELWYN ES	7933	Bowling Alleys	CAMP TRIP- BOWLING
					744.19	CAD	744.19	CAD							
"PARKS, FORESTRY & RECREATION"	1356-32	03-06-2011	03-08-2011	ABRAM'S TOWING SERVICE	395.50	CAD	395.50	CAD	4416	"TRANSFER, HAULAGE AND STORAGE"	P00859	ALNESS YD-YD OPERN	7549	Towing Services	
"PARKS, FORESTRY & RECREATION"	1356-33	03-06-2011	03-08-2011	ABRAM'S TOWING SERVICE	395.50	CAD	395.50	CAD	4416	"TRANSFER, HAULAGE AND STORAGE"	P00859	ALNESS YD-YD OPERN	7549	Towing Services	
					791.00	CAD	791.00	CAD							
EMERGENCY MEDICAL SERVICES	1348-35	03-01-2011	03-02-2011	TORONTO PARKING AUTHOR	4.50	CAD	4.50	CAD	4770	PARKING EXPENSES (INTOWN)	B29100	COMMUNITY MEDICINE	7523	Automobile Parking Lots and Garages	PARKING - CAN PROGRAM
EMERGENCY MEDICAL SERVICES	1351-30	03-03-2011	03-04-2011	GODADDY.COM	23.24	CAD	23.24	USD	4995	OTHER EXPENSES	B29100	COMMUNITY MEDICINE	4816	Computer Network/Information Services	WEB SITE DOMAIN NAME REGISTRATION
EMERGENCY MEDICAL SERVICES	1354-51	03-02-2011	03-07-2011	MR. PIN MAN INC.	"1,044.12"	CAD	"1,044.12"	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	B29100	COMMUNITY MEDICINE	7311	Advertising Services	COMMUNITY PARAMEDICINE PINS
EMERGENCY MEDICAL SERVICES	1363-31	03-09-2011	03-10-2011	TORONTO PARKING AUTHOR	6.00	CAD	6.00	CAD	4770	PARKING EXPENSES (INTOWN)	B29100	COMMUNITY MEDICINE	7523	Automobile Parking Lots and Garages	PARKING - TORONTO STROKE REHAB MTG
EMERGENCY MEDICAL SERVICES	1365-36	03-10-2011	03-11-2011	CAR PARK -LOT 139  QPS	10.00	CAD	10.00	CAD	4770	PARKING EXPENSES (INTOWN)	B29100	COMMUNITY MEDICINE	7523	Automobile Parking Lots and Garages	PARKING - MTG STREET OUTREACH
EMERGENCY MEDICAL SERVICES	1365-37	03-10-2011	03-11-2011	TORONTO PARKING AUTHOR	2.25	CAD	2.25	CAD	4770	PARKING EXPENSES (INTOWN)	B29100	COMMUNITY MEDICINE	7523	Automobile Parking Lots and Garages	PARKING - MTG ST CLAIR WEST SENIORS
EMERGENCY MEDICAL SERVICES	1371-30	03-16-2011	03-16-2011	WEBEX  *WEBEX.COM	50.09	CAD	49.00	USD	4995	OTHER EXPENSES	B29100	COMMUNITY MEDICINE	7399	Business Services - Not Elsewhere Classi	WEB MEETING
EMERGENCY MEDICAL SERVICES	1379-31	03-21-2011	03-22-2011	CANADA COMPUTERS #16	76.82	CAD	76.82	CAD	2080	PHOTOGRAPHIC AND VIDEO SUPPLIES	B29100	COMMUNITY MEDICINE	5734	Computer Software Stores	MEMORY FOR VIDEO CAMERA
					"1,217.02"	CAD	"1,143.69"	CAD							
							72.24	USD							
"PARKS, FORESTRY & RECREATION"	1354-52	03-04-2011	03-07-2011	LOBLAWS #1066      QPS	41.43	CAD	41.43	CAD	4820	BUSINESS MEETING EXPENSES	P12850	STAFF SUPPORT - EY	5411	"Grocery Stores, Supermarkets"	
"PARKS, FORESTRY & RECREATION"	1369-34	03-14-2011	03-15-2011	LOBLAWS #1066      QPS	9.46	CAD	9.46	CAD	4820	BUSINESS MEETING EXPENSES	P12850	STAFF SUPPORT - EY	5411	"Grocery Stores, Supermarkets"	
"PARKS, FORESTRY & RECREATION"	1379-32	03-21-2011	03-22-2011	DOLLAR GIANT #47	45.20	CAD	45.20	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P12850	STAFF SUPPORT - EY	5310	Discount Stores	
					96.09	CAD	96.09	CAD							
PUBLIC HEALTH	1363-32	03-08-2011	03-10-2011	DOTCOM YOUR EVENT	565.00	CAD	565.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH4011	CD-DIR OFFICE	4816	Computer Network/Information Services	"Ont Public Health Convn, Apr5-8/11, Toronto"
					565.00	CAD	565.00	CAD							
TORONTO WATER	1346-38	02-25-2011	03-01-2011	CDN TIRE STORE #00175	107.30	CAD	107.30	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1075	HCTP LIQUIDS TRT WA2	5200	Home Supply Warehouse	DIGESTER SUPPLIES
TORONTO WATER	1346-39	02-28-2011	03-01-2011	TORBRAM ELECTRIC SUPPL	"1,404.94"	CAD	"1,404.94"	CAD	3020	M & E - COMMUNICATIONS	WW1075	HCTP LIQUIDS TRT WA2	5065	Electrical Parts and Equipment	P.A SYSTEM ANNOUNCER 
TORONTO WATER	1371-31	03-15-2011	03-16-2011	METAL SUPERMARKETS (SC	100.84	CAD	100.84	CAD	2532	STEEL	WW1075	HCTP LIQUIDS TRT WA2	5051	Metal Service Centers and Offices	pipe
					"1,613.08"	CAD	"1,613.08"	CAD							
PUBLIC HEALTH	1363-33	03-10-2011	03-10-2011	ULINE	62.67	CAD	62.67	CAD	4995	OTHER EXPENSES	PH1041	FINANCIAL SERVICES	5964	Direct Marketing - Catalog Merchants	FREIGHT
PUBLIC HEALTH	1369-35	03-14-2011	03-15-2011	TORONTO STAMP INC	156.30	CAD	156.30	CAD	4995	OTHER EXPENSES	PH1041	FINANCIAL SERVICES	5943	"Office, School Supply, and Stationery St"	STATIONERY AND OFFICE SUPPLIES
PUBLIC HEALTH	1373-54	03-15-2011	03-17-2011	G T VAUGHAN	328.81	CAD	328.81	CAD	4995	OTHER EXPENSES	PH1041	FINANCIAL SERVICES	5943	"Office, School Supply, and Stationery St"	BROTHER LASER HL TONER
PUBLIC HEALTH	1386-38	03-25-2011	03-28-2011	PAYPAL *CAMCANADASU	610.20	CAD	610.20	CAD	4995	OTHER EXPENSES	PH1041	FINANCIAL SERVICES	7399	Business Services - Not Elsewhere Classi	MEDICAL SUPPLIES
PUBLIC HEALTH	1388-32	03-28-2011	03-29-2011	THE SOURCE 5181	474.13	CAD	474.13	CAD	4995	OTHER EXPENSES	PH1041	FINANCIAL SERVICES	5732	Electronic Sales	STATIONERY AND OFFICE SUPPLIES
PUBLIC HEALTH	1390-36	03-29-2011	03-30-2011	MAP ART PUBLISHING COR	43.79	CAD	43.79	CAD	4995	OTHER EXPENSES	PH1041	FINANCIAL SERVICES	7399	Business Services - Not Elsewhere Classi	BOOK & MAGAZINE SUBSCRIPTIONS
					"1,675.90"	CAD	"1,675.90"	CAD							
"PARKS, FORESTRY & RECREATION"	1346-40	02-25-2011	03-01-2011	CDN TIRE STORE #00294	8.99	CAD	8.99	CAD	2570	JANITORIAL SUPPLIES	P04942	N KIPLING CC-H CAMP	5200	Home Supply Warehouse	
"PARKS, FORESTRY & RECREATION"	1349-31	03-02-2011	03-03-2011	PALMER GROUP DISTRIBUT	287.73	CAD	287.73	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04942	N KIPLING CC-H CAMP	5199	Nondurable Goods Not Elsewhere Classifie	
"PARKS, FORESTRY & RECREATION"	1351-31	03-03-2011	03-04-2011	NOFRILLS SHERIFFS 270	52.94	CAD	52.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06785	N KIPLING-PGM SUPP	5411	"Grocery Stores, Supermarkets"	Youth In The Kitchen program supplies- food
"PARKS, FORESTRY & RECREATION"	1354-53	03-04-2011	03-07-2011	RABBA #135         Q4R	21.43	CAD	21.43	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06785	N KIPLING-PGM SUPP	5411	"Grocery Stores, Supermarkets"	Cooking Program Supplies -food
"PARKS, FORESTRY & RECREATION"	1356-34	03-07-2011	03-08-2011	FORTINOS	113.09	CAD	113.09	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06785	N KIPLING-PGM SUPP	5411	"Grocery Stores, Supermarkets"	Program Supplies- food
"PARKS, FORESTRY & RECREATION"	1363-34	03-09-2011	03-10-2011	NOFRILLS SHERIFFS 270	42.98	CAD	42.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06785	N KIPLING-PGM SUPP	5411	"Grocery Stores, Supermarkets"	Girls Club and dance class supplies- food
