Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
EMERGENCY MEDICAL SERVICES	1302-207	01-28-2011	01-31-2011	CDW CANADA	660.73	CAD	660.73	CAD	2650	COMPUTER AND PRINTER SUPPLIES	B31100	COMM SYSTEMS SUPPORT	5734	Computer Software Stores	"WD 500GB 3.5"" SATA II 72"	
					"1,883.43"	CAD	"1,883.43"	CAD								
"PARKS, FORESTRY & RECREATION"	1292-53	01-21-2011	01-24-2011	AIR LIQUIDE CANADA #26	643.43	CAD	643.43	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00833	TECH SERV. 3-PARKS C	5085	Industrial Supplies Not Elsewhere Classi		
					643.43	CAD	643.43	CAD								
"PARKS, FORESTRY & RECREATION"	1302-137	01-29-2011	01-31-2011	GRETA'S ORGANIC GARDEN	14.00	CAD	14.00	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00735	CENTRAL-GENERAL-TRAI	5261	Lawn and Garden Supply Stores		
					14.00	CAD	14.00	CAD								
TRANPORTATION 	1286-68	01-18-2011	01-19-2011	NO WIRES DIRECT	28.80	CAD	28.80	CAD	2010	STATIONERY AND OFFICE SUPPLIES	TP0124	"RW BRIDGE MTCE D1,A1"	4812	Telecommunication Equipment Including Te	other office supplies (motorolo)	
TRANPORTATION 	1300-63	01-27-2011	01-28-2011	PARLIAMENT BUILDING SU	17.45	CAD	17.45	CAD	2551	ROAD MATERIALS	TP0124	"RW BRIDGE MTCE D1,A1"	5211	"Building Materials, Lumber Stores"	portland cement	
TRANPORTATION 	1302-74	01-28-2011	01-31-2011	BATTLEFIELD EQUIPMENT	"1,283.27"	CAD	"1,283.27"	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	TP0124	"RW BRIDGE MTCE D1,A1"	5712	"Equipment, Furniture, and Home Furnishin"	rental of a boomtruck	
TRANPORTATION 	1302-75	01-28-2011	01-31-2011	PRO GLO PAINTS LTD	774.91	CAD	774.91	CAD	2715	PAINT SUPPLIES	TP0124	"RW BRIDGE MTCE D1,A1"	5198	"Paints, Varnishes, and Supplies"	paint for graffiti removal	
					"2,104.43"	CAD	"2,104.43"	CAD								
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1263-57	12-31-2010	01-04-2011	HOLDCROFT ELECTRONICS	56.50	CAD	56.50	CAD	4410	CONTRACTED SERVICES - HEATING & AIR COND	F01123	SEATON HSE-PROPRTY S	5732	Electronic Sales	cable connector broken on TV- not repairable	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1263-58	12-31-2010	01-04-2011	HOLDCROFT ELECTRONICS	337.87	CAD	337.87	CAD	4410	CONTRACTED SERVICES - HEATING & AIR COND	F01123	SEATON HSE-PROPRTY S	5732	Electronic Sales	labour/parts to repair cable to client TV	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1290-90	01-20-2011	01-21-2011	THE ABCO GROUP	"2,940.26"	CAD	"2,940.26"	CAD	4841	SHELTER FURNITURE	F01132	SEATON HSE-HOSTEL	4214	"Motor Freight Carriers, Trucking - Local"	36 Black Flexon Chairs for Clients	
					"3,334.63"	CAD	"3,334.63"	CAD								
URBAN PLANNING	1264-17	01-05-2011	01-05-2011	EBSCO INFO SERVICE TO	52.45	CAD	52.45	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	UR0005	HEAD OFF-POLICY&RESR	5192	"Books, Periodicals, and Newspapers"	Subscription renewal	
URBAN PLANNING	1271-34	01-05-2011	01-07-2011	GLOBE AND MAIL	436.80	CAD	436.80	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	UR0005	HEAD OFF-POLICY&RESR	5968	Direct Marketing - Continuity/Subscripti	1 year subscription to Golbe and Mail	
URBAN PLANNING	1281-48	01-12-2011	01-14-2011	"INDIGO BOOKS   MUSIC,"	140.66	CAD	140.66	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	UR0005	HEAD OFF-POLICY&RESR	5399	Miscellaneous General Merchandise	5 books	
URBAN PLANNING	1288-37	01-19-2011	01-20-2011	CARSWELL	272.62	CAD	272.62	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	UR0005	HEAD OFF-POLICY&RESR	7338	"Quick Copy, Reproduction, and Blueprinti"	Updat #10 for looseleaf publication	
URBAN PLANNING	1288-38	01-19-2011	01-20-2011	REI LEXISNEXIS CANADA	95.50	CAD	95.50	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	UR0005	HEAD OFF-POLICY&RESR	5942	Book Stores	update #12 for looseleaf publications	
					998.03	CAD	998.03	CAD								
"PARKS, FORESTRY & RECREATION"	1264-53	12-31-2010	01-05-2011	MONARCH PAINTS (1998)	79.56	CAD	79.56	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00853	ALNESS YD-TRADES	5198	"Paints, Varnishes, and Supplies"		
"PARKS, FORESTRY & RECREATION"	1264-54	12-31-2010	01-05-2011	MONARCH PAINTS (1998)	107.26	CAD	107.26	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00853	ALNESS YD-TRADES	5198	"Paints, Varnishes, and Supplies"		
"PARKS, FORESTRY & RECREATION"	1264-55	12-31-2010	01-05-2011	MONARCH PAINTS (1998)	113.68	CAD	113.68	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00853	ALNESS YD-TRADES	5198	"Paints, Varnishes, and Supplies"		
"PARKS, FORESTRY & RECREATION"	1296-106	01-24-2011	01-26-2011	MONARCH PAINTS (1998)	161.09	CAD	161.09	CAD	2715	PAINT SUPPLIES	P00853	ALNESS YD-TRADES	5198	"Paints, Varnishes, and Supplies"		
					461.59	CAD	461.59	CAD								
TORONTO WATER	1271-48	01-06-2011	01-07-2011	CHAUNCEY BUILDERS SUPP	230.35	CAD	230.35	CAD	3080	M & E - HAND TOOLS	PW2014	O&M W2 SRVS MTC&REPR	5211	"Building Materials, Lumber Stores"	ASPHALT RAKE	
TORONTO WATER	1275-30	01-10-2011	01-11-2011	HENRY'S PICKERING	333.19	CAD	333.19	CAD	3032	M & E - PHOTOGRAPHIC	PW2014	O&M W2 SRVS MTC&REPR	5946	Camera and Photographic Supply Stores	FUJI CAMERA AND ACCESSORIES	
TORONTO WATER	1286-62	01-17-2011	01-19-2011	RONA # 55090	338.95	CAD	338.95	CAD	2575	ELECTRICAL SUPPLIES	PW2014	O&M W2 SRVS MTC&REPR	5251	Hardware Stores	WORKLAMPS FOR WORKING AT NIGHT	
TORONTO WATER	1292-69	01-21-2011	01-24-2011	CHAIN SAW CLINIC LTD	"2,246.44"	CAD	"2,246.44"	CAD	3080	M & E - HAND TOOLS	PW2014	O&M W2 SRVS MTC&REPR	5722	Household Appliance Stores	STIHL CONCRETE SAWS WITH DIAMOND WHEEL	
					"3,148.93"	CAD	"3,148.93"	CAD								
"PARKS, FORESTRY & RECREATION"	1271-4	01-05-2011	01-07-2011	ABSOLUTE DOLLAR	36.50	CAD	36.50	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12154	STAN WADLOW-MULTI-P	5310	Discount Stores		
"PARKS, FORESTRY & RECREATION"	1271-5	01-05-2011	01-07-2011	DESERRES	67.71	CAD	67.71	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12154	STAN WADLOW-MULTI-P	5970	"Artist Supply Stores, Craft Shops"		
"PARKS, FORESTRY & RECREATION"	1279-2	01-12-2011	01-13-2011	TUCKERS POTTERY SUPPLI	127.46	CAD	127.46	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12154	STAN WADLOW-MULTI-P	5970	"Artist Supply Stores, Craft Shops"		
"PARKS, FORESTRY & RECREATION"	1302-4	01-27-2011	01-31-2011	ABSOLUTE DOLLAR	62.55	CAD	62.55	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12154	STAN WADLOW-MULTI-P	5310	Discount Stores		
					294.22	CAD	294.22	CAD								
"PARKS, FORESTRY & RECREATION"	1277-2	01-11-2011	01-12-2011	REMENYI MUSIC   BOOKS	62.23	CAD	62.23	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P06753	MAIN SQ CC-PGM SUPP	5733	"Music Stores - Musical Instruments, Pian"		
"PARKS, FORESTRY & RECREATION"	1281-2	01-13-2011	01-14-2011	J   J CRAFTS	395.07	CAD	395.07	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P06753	MAIN SQ CC-PGM SUPP	5970	"Artist Supply Stores, Craft Shops"		
"PARKS, FORESTRY & RECREATION"	1290-1	01-20-2011	01-21-2011	G   G ELECTRONICS	182.78	CAD	182.78	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P06753	MAIN SQ CC-PGM SUPP	7629	"Appliance Repair Shops, Electrical and S"		
					640.08	CAD	640.08	CAD								
FIRE SERVICES	1265-1	01-02-2011	01-04-2011	PETROCAN	60.20	CAD	60.20	CAD	2600	WASHES-LICENSED MOBILE EQUIP.	FR0025	MECH MAINT-VEH MAINT	5542	"Fuel Dispenser, Automated"	FUEL FOR VEH 20341	
FIRE SERVICES	1274-3	01-07-2011	01-10-2011	PETROCAN	38.88	CAD	38.88	CAD	2260	GASOLINE	FR0025	MECH MAINT-VEH MAINT	5542	"Fuel Dispenser, Automated"	FUEL FOR VEH 20341	
FIRE SERVICES	1274-4	01-08-2011	01-10-2011	PETROCAN	48.84	CAD	48.84	CAD	2260	GASOLINE	FR0025	MECH MAINT-VEH MAINT	5542	"Fuel Dispenser, Automated"	FUEL FOR VEH 20341	
FIRE SERVICES	1284-4	01-15-2011	01-17-2011	PETROCAN	68.53	CAD	68.53	CAD	2260	WASHES-LICENSED MOBILE EQUIP.	FR0025	MECH MAINT-VEH MAINT	5542	"Fuel Dispenser, Automated"	FUEL FOR VEH 20341	
FIRE SERVICES	1295-3	01-23-2011	01-25-2011	PETROCAN	61.79	CAD	61.79	CAD	2260	WASHES-LICENSED MOBILE EQUIP.	FR0025	MECH MAINT-VEH MAINT	5542	"Fuel Dispenser, Automated"	FUEL FOR VEH 20341	
FIRE SERVICES	1303-2	01-29-2011	01-31-2011	PETROCAN	48.98	CAD	48.98	CAD	2260	GASOLINE	FR0025	MECH MAINT-VEH MAINT	5542	"Fuel Dispenser, Automated"	FUEL FOR VEH 20341	
					327.22	CAD	327.22	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1269-97	01-05-2011	01-06-2011	TORONTO CREW	401.72	CAD	401.72	CAD	4760	MEMBERSHIP FEES	ED0158	IM-INV-SUPP-CENTRAL	8641	"Associations - Civic, Social, and Frater"	MEMBERSHIP RENEWAL	
ECONOMIC DEVELOPMENT & CULTURE	1283-178	01-14-2011	01-17-2011	TORONTO CREW	67.80	CAD	67.80	CAD	4118	TICKETS AND ADMISSION FEES	ED0155	IM-INV-ATTR-CENTRAL	8641	"Associations - Civic, Social, and Frater"	LUNCHEON W/ GUEST SPEAKER 	
ECONOMIC DEVELOPMENT & CULTURE	1286-137	01-18-2011	01-19-2011	HONG KONG CDA BUSINESS	40.00	CAD	40.00	CAD	4118	TICKETS AND ADMISSION FEES	ED0155	IM-INV-ATTR-CENTRAL	8699	"Organizations, Membership - Not Elsewher"	BUSINESS NETWORKING WORKSHOP - CF/RW	
					509.52	CAD	509.52	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1264-4	01-04-2011	01-05-2011	HOSKIN SCIENTIFIC LIMI	711.58	CAD	711.58	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-CLM-98 ATLANTI	5046	Commercial Equipment Not Elsewhere Class	31 day hygrothermograph charts	
ECONOMIC DEVELOPMENT & CULTURE	1273-9	01-06-2011	01-10-2011	GOODHEALTH   SAFETY	201.59	CAD	201.59	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-CLM-98 ATLANTI	5085	Industrial Supplies Not Elsewhere Classi	solvents	
ECONOMIC DEVELOPMENT & CULTURE	1273-10	01-09-2011	01-10-2011	IQLIVING	15.80	CAD	15.80	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-CLM-98 ATLANTI	5719	Miscellaneous House Furnishing Specialty	duster refills	
ECONOMIC DEVELOPMENT & CULTURE	1277-7	01-11-2011	01-12-2011	STAPLES STORE #234	49.61	CAD	49.61	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-CLM-98 ATLANTI	5943	"Office, School Supply, and Stationery St"	binder (style not available on line)	
ECONOMIC DEVELOPMENT & CULTURE	1281-10	01-12-2011	01-14-2011	TENAQUIP LIMITED	295.97	CAD	295.97	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-CLM-98 ATLANTI	5251	Hardware Stores	"gloves, cartridges"	
ECONOMIC DEVELOPMENT & CULTURE	1300-8	01-27-2011	01-28-2011	DAFCO FILTRATION GROUP	165.43	CAD	165.43	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-CLM-98 ATLANTI	5085	Industrial Supplies Not Elsewhere Classi	HVAC filters	
ECONOMIC DEVELOPMENT & CULTURE	1300-9	01-27-2011	01-28-2011	TORONTO IMAGE WORKS	11.19	CAD	11.19	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-CLM-98 ATLANTI	5970	"Artist Supply Stores, Craft Shops"	processing	
					"1,451.17"	CAD	"1,451.17"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1281-33	01-12-2011	01-14-2011	URBAN FARE CATERING IN	316.55	CAD	316.55	CAD	4116	CATERING SERVICES	AH0100	HS-MH-PUB-YORK MUSEU	5811	Caterers	catering for Toronto Historic Museums Board	
					316.55	CAD	316.55	CAD								
"PARKS, FORESTRY & RECREATION"	1283-88	01-14-2011	01-17-2011	MR. JANITORIAL SUPPLIE	530.99	CAD	530.99	CAD	2570	JANITORIAL SUPPLIES	P07697	CUMMER COMPLEX-OPERA	7349	"Cleaning and Maintenance, Janitorial Ser"		
					530.99	CAD	530.99	CAD								
TRANPORTATION 	1283-29	01-14-2011	01-17-2011	ACKLANDS-GRAINGER INC	145.32	CAD	145.32	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TP0400	STR FURNITURE GROUP	5085	Industrial Supplies Not Elsewhere Classi		
					145.32	CAD	145.32	CAD								
TORONTO WATER	1279-77	01-05-2011	01-13-2011	WOLSELEY CDA INC-HUDSO	485.89	CAD	485.89	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1062	HCTP PLANT SRVCS WA3	1711	"Air Conditioning, Heating, and Plumbing"	Pneumatic stat direct	
					485.89	CAD	485.89	CAD								
"PARKS, FORESTRY & RECREATION"	1264-20	01-04-2011	01-05-2011	NO FRILLS TONY   KATHY	36.58	CAD	36.58	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06471	PARKLAWN CS-ARTS-VIS	5411	"Grocery Stores, Supermarkets"		
"PARKS, FORESTRY & RECREATION"	1273-57	01-07-2011	01-10-2011	STAPLES STORE #11	31.78	CAD	31.78	CAD	2010	PARKLAWN CS-SUMR CAM	P05113	PARKLAWN CS-SUMR CAM	5943	"Office, School Supply, and Stationery St"		
"PARKS, FORESTRY & RECREATION"	1294-36	01-24-2011	01-25-2011	NO FRILLS TONY   KATHY	12.92	CAD	12.92	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06471	PARKLAWN CS-ARTS-VIS	5411	"Grocery Stores, Supermarkets"		
					81.28	CAD	81.28	CAD								
"PARKS, FORESTRY & RECREATION"	1279-120	01-11-2011	01-13-2011	LOUISE KOOL   GAULT	734.45	CAD	734.45	CAD	2601	DUR REC & EDUC SUPP	P05216	MCGREGOR PARK-ARTS-V	5945	"Game, Toy, and Hobby Shops"		
"PARKS, FORESTRY & RECREATION"	1281-105	01-13-2011	01-14-2011	STAPLES STORE #263	37.61	CAD	37.61	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P07692	MCGREGOR PARK-PGM SU	5943	"Office, School Supply, and Stationery St"		
"PARKS, FORESTRY & RECREATION"	1283-134	01-14-2011	01-17-2011	WAL-MART SUPERCENTE	150.35	CAD	150.35	CAD	2610	KITCHEN SUPPLIES	P07895	MCGREGOR PARK-SOC PG	5310	Discount Stores		
"PARKS, FORESTRY & RECREATION"	1283-135	01-14-2011	01-17-2011	WAL-MART SUPERCENTE	12.11	CAD	12.11	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07895	MCGREGOR PARK-SOC PG	5310	Discount Stores		
"PARKS, FORESTRY & RECREATION"	1286-112	01-18-2011	01-19-2011	LOBLAWS #1021      QPS	18.36	CAD	18.36	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07895	MCGREGOR PARK-SOC PG	5411	"Grocery Stores, Supermarkets"		
"PARKS, FORESTRY & RECREATION"	1292-120	01-20-2011	01-24-2011	LOUISE KOOL   GAULT	175.14	CAD	175.14	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07895	MCGREGOR PARK-SOC PG	5945	"Game, Toy, and Hobby Shops"		
"PARKS, FORESTRY & RECREATION"	1292-121	01-21-2011	01-24-2011	TDSB-PURCHASING	213.13	CAD	213.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05216	MCGREGOR PARK-ARTS-V	8299	Educational Services		
"PARKS, FORESTRY & RECREATION"	1292-122	01-21-2011	01-24-2011	WAL-MART SUPERCENTE	29.54	CAD	29.54	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07895	MCGREGOR PARK-SOC PG	5310	Discount Stores		
"PARKS, FORESTRY & RECREATION"	1296-90	01-25-2011	01-26-2011	NOFRILLS ROD JOES  QPS	35.39	CAD	35.39	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07895	MCGREGOR PARK-SOC PG	5411	"Grocery Stores, Supermarkets"		
"PARKS, FORESTRY & RECREATION"	1300-97	01-27-2011	01-28-2011	NOFRILLS ROD JOES  QPS	13.80	CAD	13.80	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07895	MCGREGOR PARK-SOC PG	5411	"Grocery Stores, Supermarkets"		
					"1,419.88"	CAD	"1,419.88"	CAD								
TORONTO WATER	1302-106	01-27-2011	01-31-2011	THE HOME DEPOT #7012	757.73	CAD	757.73	CAD	4823	MEALS-OUTSIDE LOC'S	PW2008	O&M S2 SRVS MTC&REPR	5200	Home Supply Warehouse	17L BUCKET	
					757.73	CAD	757.73	CAD								
TORONTO WATER	1263-90	12-30-2010	01-04-2011	THE HOME DEPOT #7078	74.58	CAD	74.58	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	PW1018	WS CENTRAL WORK AREA	5200	Home Supply Warehouse	MSC RNTL FEE	
TORONTO WATER	1263-91	12-31-2010	01-04-2011	THE HOME DEPOT #7013	217.12	CAD	217.12	CAD	2535	PLUMBING SUPPLIES	PW1018	WS CENTRAL WORK AREA	5200	Home Supply Warehouse	TOPN BND 2KG	
					291.70	CAD	291.70	CAD								
"PARKS, FORESTRY & RECREATION"	1277-35	01-10-2011	01-12-2011	ASB HEATING LIMITED	565.00	CAD	565.00	CAD	2540	HEATING & AIR CONDITIONING SUPPLIES	P12786	KIPLING YD-S-FAC&MEC	1711	"Air Conditioning, Heating, and Plumbing"		
"PARKS, FORESTRY & RECREATION"	1279-28	01-12-2011	01-13-2011	RTA ELECTRIC MOTOR COR	"2,052.08"	CAD	"2,052.08"	CAD	3099	GENERAL EQUIPMENT	P12786	KIPLING YD-S-FAC&MEC	7538	Automotive Service Shops		
"PARKS, FORESTRY & RECREATION"	1285-22	01-11-2011	01-18-2011	TRIMATE ELECTRIC SUPPL	"2,722.50"	CAD	"2,722.50"	CAD	2575	ELECTRICAL SUPPLIES	P12786	KIPLING YD-S-FAC&MEC	7629	"Appliance Repair Shops, Electrical and S"		
"PARKS, FORESTRY & RECREATION"	1300-33	01-26-2011	01-28-2011	HERTZ EQUIP RENTAL-TOR	339.00	CAD	339.00	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	P12786	KIPLING YD-S-FAC&MEC	7394	"Equipment Rental and Leasing Services, F"		
"PARKS, FORESTRY & RECREATION"	1302-45	01-28-2011	01-31-2011	NEDCO CTRL DIV. WESTBU	91.53	CAD	91.53	CAD	2575	ELECTRICAL SUPPLIES	P12786	KIPLING YD-S-FAC&MEC	5065	Electrical Parts and Equipment		
					"5,770.11"	CAD	"5,770.11"	CAD								
"PARKS, FORESTRY & RECREATION"	1275-16	01-10-2011	01-11-2011	STAPLES STORE #86	21.37	CAD	21.37	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P00016	C-FORESTRY GEN-PLANT	5943	"Office, School Supply, and Stationery St"		
"PARKS, FORESTRY & RECREATION"	1277-36	01-10-2011	01-12-2011	CDN TIRE STORE #00182	21.44	CAD	21.44	CAD	2499	OTHER CHEMICALS	P00016	C-FORESTRY GEN-PLANT	5200	Home Supply Warehouse		
"PARKS, FORESTRY & RECREATION"	1277-37	01-11-2011	01-12-2011	LEE VALLEY TOOLS 800-2	32.77	CAD	32.77	CAD	2660	FOOTWEAR	P00016	C-FORESTRY GEN-PLANT	5251	Hardware Stores		
					75.58	CAD	75.58	CAD								
TORONTO WATER	1286-109	01-17-2011	01-19-2011	CDN TIRE STORE #00264	310.55	CAD	310.55	CAD	3080	M & E - HAND TOOLS	PW2002	WATER METER	5200	Home Supply Warehouse	TOOLS	
TORONTO WATER	1292-115	01-20-2011	01-24-2011	THE HOME DEPOT #7001	264.18	CAD	264.18	CAD	3080	M & E - HAND TOOLS	PW2002	WATER METER	5200	Home Supply Warehouse	FLR SQUEEGEE	
					574.73	CAD	574.73	CAD								
TORONTO WATER	1290-64	01-20-2011	01-21-2011	TORONTO PARKING AUTHOR	9.50	CAD	9.50	CAD	4770	PARKING EXPENSES (INTOWN)	PW3012	O&M EAST SRV MTC&RPR	7523	Automobile Parking Lots and Garages	PARKING	
					9.50	CAD	9.50	CAD								
TORONTO WATER	1277-77	01-10-2011	01-12-2011	CDN TIRE STORE #00427	163.74	CAD	163.74	CAD	3080	M & E - HAND TOOLS	WW1081	HCTP SOLIDS TRT WA1	5200	Home Supply Warehouse	Various tools	
TORONTO WATER	1281-66	01-12-2011	01-14-2011	THE HOME DEPOT #7027	75.36	CAD	75.36	CAD	3080	M & E - HAND TOOLS	WW1081	HCTP SOLIDS TRT WA1	5200	Home Supply Warehouse	"20"" TOOL BOX"	
TORONTO WATER	1285-51	01-12-2011	01-18-2011	ONTARIO BELTING   POWE	"1,947.49"	CAD	"1,947.49"	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1081	HCTP SOLIDS TRT WA1	5399	Miscellaneous General Merchandise	V Belts	
TORONTO WATER	1288-62	01-19-2011	01-20-2011	ONTARIO PLASTIC FABRIC	630.19	CAD	630.19	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1081	HCTP SOLIDS TRT WA1	5074	Plumbing and Heating Equipment	Various fittings	
					"2,816.78"	CAD	"2,816.78"	CAD								
TORONTO WATER	1273-77	01-06-2011	01-10-2011	CDN TIRE STORE #00427	81.28	CAD	81.28	CAD	4808	NETWORK EQUIPMENT INCLUDING CABLING	WW1062	HCTP PLANT SRVCS WA3	5200	Home Supply Warehouse	Cable wire and keys	
TORONTO WATER	1277-102	01-11-2011	01-12-2011	HUTCHINSON FARM SUPPLY	509.84	CAD	509.84	CAD	2130	PARTS - MOBILE EQUIPMENT	WW1062	HCTP PLANT SRVCS WA3	5599	"Miscellaneous Automotive, Aircraft, and"	Parts for gulf cart	
TORONTO WATER	1279-71	01-11-2011	01-13-2011	CDN TIRE STORE #00427	219.06	CAD	219.06	CAD	2710	GENERAL HARDWARE	WW1062	HCTP PLANT SRVCS WA3	5200	Home Supply Warehouse	"Batteries, brushes, cleaners"	
TORONTO WATER	1286-72	01-17-2011	01-19-2011	THE HOME DEPOT #7027	65.51	CAD	65.51	CAD	2130	OTHER OFFICE MATERIAL &MINOR FURNISHING	WW1062	HCTP PLANT SRVCS WA3	5200	Home Supply Warehouse	TIRE CHUCK	
TORONTO WATER	1292-77	01-21-2011	01-24-2011	THE HOME DEPOT #7027	253.12	CAD	253.12	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1062	HCTP PLANT SRVCS WA3	5200	Home Supply Warehouse	2X6X16 SPF	
TORONTO WATER	1296-49	01-24-2011	01-26-2011	CDN TIRE STORE #00427	144.50	CAD	144.50	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1062	HCTP PLANT SRVCS WA3	5200	Home Supply Warehouse	Grounds keeping items	
					"1,273.31"	CAD	"1,273.31"	CAD								
TORONTO WATER	1269-34	01-04-2011	01-06-2011	MOE-DRINK WAT WASTE CE	115.00	CAD	115.00	CAD	4760	MEMBERSHIP FEES	WW4039	WW DIST TECH TRAININ	9399	Government Services - Not Elsewhere Clas		
TORONTO WATER	1277-49	01-11-2011	01-12-2011	STAPLES STORE #28	36.07	CAD	36.07	CAD	2010	STATIONERY AND OFFICE SUPPLIES	WW4039	WW DIST TECH TRAININ	5943	"Office, School Supply, and Stationery St"		
					151.07	CAD	151.07	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1283-153	01-14-2011	01-17-2011	SHERATON	335.61	CAD	335.61	CAD	4995	OTHER EXPENSES	SE0019	CENTRL-NUIT BLANCHE	3503	Sheraton Hotels	Hotel Accomm.for Nuit Blanche artist	
ECONOMIC DEVELOPMENT & CULTURE	1283-154	01-14-2011	01-17-2011	AIR CAN	600.12	CAD	586.86	USD	4995	OTHER EXPENSES	SE0019	CENTRL-NUIT BLANCHE	3009	Air Canada	Airfare for artist for Nuit Blanche	
ECONOMIC DEVELOPMENT & CULTURE	1283-155	01-14-2011	01-17-2011	AIR CAN	600.12	CAD	586.86	USD	4995	OTHER EXPENSES	SE0019	CENTRL-NUIT BLANCHE	3009	Air Canada	Airfare for artist for Nuit Blanche	
ECONOMIC DEVELOPMENT & CULTURE	1283-156	01-14-2011	01-17-2011	AIR CAN	600.12	CAD	586.86	USD	4995	OTHER EXPENSES	SE0019	CENTRL-NUIT BLANCHE	3009	Air Canada	Airfare for artist for Nuit Blanche	
					"2,135.97"	CAD	335.61	CAD								
							"1,760.58"	USD								
ECONOMIC DEVELOPMENT & CULTURE	1283-37	01-14-2011	01-17-2011	FABRICLAND DISTRIBUTOR	30.49	CAD	30.49	CAD	2670	UNIFORMS	AH0102	HS-MH-PUB-MACKENZIE	5949	"Fabric, Needlework, Piece Goods, and Sew"	notions for building an historic dress	
					30.49	CAD	30.49	CAD								
"PARKS, FORESTRY & RECREATION"	1269-44	01-05-2011	01-06-2011	PET VET LAKESHORE HOSP	477.52	CAD	477.52	CAD	4087	PROFESSIONAL SERVICES -VETERINARIAN FEES	P07648	SCARLETT WOODS-OPERA	5992	Florists		
					477.52	CAD	477.52	CAD								
EMERGENCY MEDICAL SERVICES	1279-56	01-11-2011	01-13-2011	PIZZA PIZZA 112	62.00	CAD	62.00	CAD	4820	BUSINESS MEETING EXPENSES	B33100	COMM CTR OPERATIONS	5814	Quick Payment Service - Fast-Food Restau	SEMD TEAM MEETING	
EMERGENCY MEDICAL SERVICES	1297-46	01-25-2011	01-27-2011	PIZZA PIZZA 112	74.23	CAD	74.23	CAD	4820	BUSINESS MEETING EXPENSES	B33100	COMM CTR OPERATIONS	5814	Quick Payment Service - Fast-Food Restau	SCS TEAM MEETING	
					136.23	CAD	136.23	CAD								
