Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx. Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose
EMERGENCY MEDICAL SERVICES	1731-28	11-15-2011	11-16-2011	TORONTO PARKING AUTHOR	8.00	CAD	8.00	CAD	4770	PARKING EXPENSES (INTOWN)	B29100	COMMUNITY MEDICINE	7523	Automobile Parking Lots and Garages	PARKING - MEETING GERSTEIN MENTAL HEALTH
EMERGENCY MEDICAL SERVICES	1733-29	11-16-2011	11-17-2011	TORONTO PARKING AUTHOR	6.00	CAD	6.00	CAD	4770	PARKING EXPENSES (INTOWN)	B29100	COMMUNITY MEDICINE	7523	Automobile Parking Lots and Garages	PARKING - MEETING UNIVERSITY HEALTH NETWORK
EMERGENCY MEDICAL SERVICES	1751-37	11-29-2011	11-30-2011	IMPARK PARKING28/11 14	13.00	CAD	13.00	CAD	4770	PARKING EXPENSES (INTOWN)	B29100	COMMUNITY MEDICINE	7523	Automobile Parking Lots and Garages	PARKING - MEETING ADM
					812.38	CAD	761.05	CAD							
							49.00	USD							
"PARKS, FORESTRY & RECREATION"	1709-18	10-31-2011	11-01-2011	NOFRILLS CHRIS 273	4.52	CAD	4.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12850	STAFF SUPPORT - EY	5411	"Grocery Stores, Supermarkets"	FOOD FOR TRAINING
"PARKS, FORESTRY & RECREATION"	1751-38	11-29-2011	11-30-2011	NOFRILLS CHRIS 273	15.56	CAD	15.56	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12850	STAFF SUPPORT - EY	5411	"Grocery Stores, Supermarkets"	FOOD FOR TRAINING
					20.08	CAD	20.08	CAD							
TORONTO WATER	1715-22	11-03-2011	11-04-2011	METAL SUPERMARKETS (SC	382.44	CAD	382.44	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1081	HCTP SOLIDS TRT WA1	5051	Metal Service Centers and Offices	FITTINGS
TORONTO WATER	1717-41	11-03-2011	11-07-2011	THE HOME DEPOT #7027	14.36	CAD	14.36	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1081	HCTP SOLIDS TRT WA1	5200	Home Supply Warehouse	*****
TORONTO WATER	1717-42	11-04-2011	11-07-2011	TECHNICAL STANDARDS AN	100.00	CAD	100.00	CAD	4760	MEMBERSHIP FEES	WW1081	HCTP SOLIDS TRT WA1	1799	"Contractors, Special Trade - Not Elsewhe"	LICENCE RENEWAL
TORONTO WATER	1717-43	11-04-2011	11-07-2011	TORBRAM ELECTRIC SUPPL	613.67	CAD	613.67	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1081	HCTP SOLIDS TRT WA1	5065	Electrical Parts and Equipment	FITTINGS
TORONTO WATER	1717-44	11-05-2011	11-07-2011	TORBRAM ELECTRIC SUPPL	449.54	CAD	449.54	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1081	HCTP SOLIDS TRT WA1	5065	Electrical Parts and Equipment	STEP LADDERS
TORONTO WATER	1748-32	11-25-2011	11-29-2011	CDN TIRE STORE #00427	25.98	CAD	25.98	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1081	HCTP SOLIDS TRT WA1	5200	Home Supply Warehouse	POWER STEERING FLUID
					"1,585.99"	CAD	"1,585.99"	CAD							
PUBLIC HEALTH	1709-19	10-31-2011	11-01-2011	MIND SET	315.27	CAD	301.75	USD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	PH3519	REPRO COMMUNITY	5943	"Office, School Supply, and Stationery St"	RECREATIONAL & EDUCATIONAL SUPPLIES
PUBLIC HEALTH	1724-34	11-09-2011	11-10-2011	GES CANADA - MISSISSAU	791.00	CAD	791.00	CAD	4515	RENTAL OF OFFICE EQUIPMENT	PH2105	CHEM TRAC	7399	Business Services - Not Elsewhere Classi	RENTAL OF OFFICE EQUIPMENT
					"1,106.27"	CAD	791.00	CAD							
							301.75	USD							
"PARKS, FORESTRY & RECREATION"	1710-20	10-29-2011	11-02-2011	LEAVE IT TO US WEDDING	311.00	CAD	311.00	CAD	4590	RENTAL - OTHER	P11872	N KIPLING CC-SOC PGM	7399	Business Services - Not Elsewhere Classi	BOUNCY CASTLE FOR KIDS HALLOWEEN
"PARKS, FORESTRY & RECREATION"	1710-21	11-01-2011	11-02-2011	NOFRILLS SHERIFFS 270	16.20	CAD	16.20	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06785	N KIPLING-PGM SUPP	5411	"Grocery Stores, Supermarkets"	AFTERSCHOOL PROGRAM SUPPLIES
"PARKS, FORESTRY & RECREATION"	1715-23	11-03-2011	11-04-2011	NOFRILLS SHERIFFS 270	61.67	CAD	61.67	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06785	N KIPLING-PGM SUPP	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR YOUTH IN THE KITCHEN PROGRAM
"PARKS, FORESTRY & RECREATION"	1718-23	11-07-2011	11-08-2011	NOFRILLS SHERIFFS 270	22.73	CAD	22.73	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06785	N KIPLING-PGM SUPP	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR YOUTH LOUNGE PROGRAM
"PARKS, FORESTRY & RECREATION"	1727-39	11-10-2011	11-14-2011	NOFRILLS SHERIFFS 270	45.13	CAD	45.13	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06785	N KIPLING-PGM SUPP	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR YOUTH LOUNGE PROGRAM
"PARKS, FORESTRY & RECREATION"	1733-30	11-16-2011	11-17-2011	NOFRILLS SHERIFFS 270	31.89	CAD	31.89	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P06785	N KIPLING-PGM SUPP	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR YOUTH IN THE KITCHEN PROGRAM
"PARKS, FORESTRY & RECREATION"	1737-54	11-18-2011	11-21-2011	WAL-MART #1081	22.53	CAD	22.53	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11872	N KIPLING CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	BASKETBALL NETS
"PARKS, FORESTRY & RECREATION"	1739-24	11-18-2011	11-22-2011	CDN TIRE STORE #00294	18.01	CAD	18.01	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11872	N KIPLING CC-SOC PGM	5200	Home Supply Warehouse	BASKETBALL NETS FOR GYM PROGRAMS
"PARKS, FORESTRY & RECREATION"	1743-38	11-23-2011	11-24-2011	NOFRILLS SHERIFFS 270	34.68	CAD	34.68	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06785	N KIPLING-PGM SUPP	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR YOUTH IN THE KITCHEN PROGRAM
"PARKS, FORESTRY & RECREATION"	1745-24	11-23-2011	11-25-2011	THE HOME DEPOT #7002	41.77	CAD	41.77	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P04942	N KIPLING CC-H CAMP	5200	Home Supply Warehouse	*****
"PARKS, FORESTRY & RECREATION"	1748-33	11-28-2011	11-29-2011	NOFRILLS SHERIFFS 270	16.86	CAD	16.86	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04942	N KIPLING CC-H CAMP	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR YOUTH DRAWING PROGRAM
					622.47	CAD	622.47	CAD							
"PARKS, FORESTRY & RECREATION"	1717-45	11-02-2011	11-07-2011	D   G VACUUM REPAIR SE	261.65	CAD	261.65	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P06689	NWOOD CC-OPERATIONS	7699	Miscellaneous Repair Shops and Related S	FLOOR MACHINE REPAIR
"PARKS, FORESTRY & RECREATION"	1747-35	11-24-2011	11-28-2011	D   G VACUUM REPAIR SE	367.25	CAD	367.25	CAD	3025	M & E - JANITORIAL	P06689	NWOOD CC-OPERATIONS	7699	Miscellaneous Repair Shops and Related S	VACUUM CLEANER
					628.90	CAD	628.90	CAD							
EMERGENCY MEDICAL SERVICES	1717-46	11-04-2011	11-07-2011	BUSINESS DEPOT DIRECT	338.77	CAD	338.77	CAD	2010	STATIONERY AND OFFICE SUPPLIES	B00011	EMS EDUC PLANNING	5943	"Office, School Supply, and Stationery St"	CLEARVIEW D 11X17
EMERGENCY MEDICAL SERVICES	1740-30	11-22-2011	11-23-2011	NAEMSP	171.90	CAD	160.00	USD	4760	MEMBERSHIP FEES	B00011	EMS EDUC PLANNING	8398	"Organizations, Charitable and Social Ser"	NAEMSP 2012 ANNUAL MEMBERSHIP DUES
					510.67	CAD	338.77	CAD							
							160.00	USD							
"PARKS, FORESTRY & RECREATION"	1709-20	10-31-2011	11-01-2011	BMV BOOK STORE	32.00	CAD	32.00	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P06287	FRANKLAND-ARTS-VISL/	5942	Book Stores	SKETCHING BOOKS FOR CARTOONING CLASS
"PARKS, FORESTRY & RECREATION"	1710-22	10-31-2011	11-02-2011	THE HOME DEPOT #7073	22.58	CAD	22.58	CAD	2570	JANITORIAL SUPPLIES	P06287	FRANKLAND-ARTS-VISL/	5200	Home Supply Warehouse	WINDOW FILM
"PARKS, FORESTRY & RECREATION"	1713-27	11-02-2011	11-03-2011	STAPLES STORE #159	16.40	CAD	16.40	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	P08389	FRANKLAND-SOC PGM	5943	"Office, School Supply, and Stationery St"	COLOURED PAPER FOR PHOTOCOPIER
"PARKS, FORESTRY & RECREATION"	1715-24	11-02-2011	11-04-2011	CDN TIRE STORE #00273	112.98	CAD	112.98	CAD	3050	M & E - KITCHEN	P13217	SPCEVNT-FRANKLAND	5200	Home Supply Warehouse	GRILL FOR PANCAKE BREAKFAST
"PARKS, FORESTRY & RECREATION"	1743-39	11-22-2011	11-24-2011	ZELLERS #453	37.24	CAD	37.24	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13217	SPCEVNT-FRANKLAND	5310	Discount Stores	SUPPLIES FOR PANCAKE BREAKFAST
"PARKS, FORESTRY & RECREATION"	1745-25	11-24-2011	11-25-2011	PAPE IGA #7474     QPS	13.92	CAD	13.92	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P08389	FRANKLAND-SOC PGM	5411	"Grocery Stores, Supermarkets"	*****
"PARKS, FORESTRY & RECREATION"	1748-34	11-28-2011	11-29-2011	LOBLAWS #1021	55.92	CAD	55.92	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13217	SPCEVNT-FRANKLAND	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR PANCAKE BREAKFAST
"PARKS, FORESTRY & RECREATION"	1751-39	11-28-2011	11-30-2011	ABSOLUTE DOLLAR	29.38	CAD	29.38	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13217	SPCEVNT-FRANKLAND	5310	Discount Stores	SUPPLIES FOR PANCAKE BREAKFAST
"PARKS, FORESTRY & RECREATION"	1751-40	11-28-2011	11-30-2011	WAL-MART #3159	97.95	CAD	97.95	CAD	2610	KITCHEN SUPPLIES	P13217	SPCEVNT-FRANKLAND	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR PANCAKE BREAKFAST
					418.37	CAD	418.37	CAD							
"PARKS, FORESTRY & RECREATION"	1751-41	11-29-2011	11-30-2011	LEE VALLEY TOOLS 800-2	87.01	CAD	87.01	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00271	E-SOUTH1-TURF&HORT	5251	Hardware Stores	"DUAL VACCUM CUP LIFTER, WATERCOLOUR PENCIL"
					87.01	CAD	87.01	CAD							
"PARKS, FORESTRY & RECREATION"	1710-23	11-01-2011	11-02-2011	BETZ CUT STONE	10.13	CAD	10.13	CAD	2710	GENERAL HARDWARE	P00263	E-CENTRAL1-TURF&HORT	5039	Construction Materials Not Elsewhere Cla	LB KINGSTON WOATHOROD
"PARKS, FORESTRY & RECREATION"	1713-28	11-02-2011	11-03-2011	LOWES #02494*	59.82	CAD	59.82	CAD	2531	LUMBER	P00833	TECH SERV. 3-PARKS C	5200	Home Supply Warehouse	*****
"PARKS, FORESTRY & RECREATION"	1747-36	11-25-2011	11-28-2011	LOWES #02494*	102.72	CAD	102.72	CAD	2710	GENERAL HARDWARE	P00267	E-NORTH1-TURF&HORT	5200	Home Supply Warehouse	*****
"PARKS, FORESTRY & RECREATION"	1748-35	11-28-2011	11-29-2011	HANFORD LUMBER LIMITED	552.91	CAD	552.91	CAD	2531	LUMBER	P00833	TECH SERV. 3-PARKS C	5211	"Building Materials, Lumber Stores"	FIR . ROUGH 6X6X10
"PARKS, FORESTRY & RECREATION"	1751-42	11-29-2011	11-30-2011	BERNARDI BUILDING SUPP	109.08	CAD	109.08	CAD	3099	GENERAL EQUIPMENT	P00833	TECH SERV. 3-PARKS C	5211	"Building Materials, Lumber Stores"	HTDRASET CONC ACCELERATOR
					834.66	CAD	834.66	CAD							
"PARKS, FORESTRY & RECREATION"	1737-55	11-17-2011	11-21-2011	WAL-MART # 3031	167.24	CAD	167.24	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P12043	JG ALTHOUSE-COMM CTR	5310	Discount Stores	BOOKCASES
"PARKS, FORESTRY & RECREATION"	1739-25	11-20-2011	11-22-2011	THE HOME DEPOT #7078	12.40	CAD	12.40	CAD	2560	GENERAL HARDWARE	P06461	JG ALTHOUSE CS-ARTS-	5200	Home Supply Warehouse	*****
					179.64	CAD	179.64	CAD							
"PARKS, FORESTRY & RECREATION"	1733-31	11-15-2011	11-17-2011	TRACTION #182	177.12	CAD	177.12	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13096	GENLDRSP-INCTYOTRP	5533	"Automotive Parts, Accessories Stores"	TIE DOWN STRAPS TO CITY RAMPS
					177.12	CAD	177.12	CAD							
"PARKS, FORESTRY & RECREATION"	1713-29	11-02-2011	11-03-2011	LOWES #03096*	28.41	CAD	28.41	CAD	2710	GENERAL HARDWARE	P07739	GUS RYDER POOL&HLTH	5200	Home Supply Warehouse	*****
"PARKS, FORESTRY & RECREATION"	1727-40	11-10-2011	11-14-2011	STAPLES STORE #11	180.89	CAD	180.89	CAD	2792	"BANNERS, FLAGS & SIGNS"	P07744	GUS RYDER POOL&HLTH	5943	"Office, School Supply, and Stationery St"	LAMINATED SIGNS FOR GYM
"PARKS, FORESTRY & RECREATION"	1727-41	11-10-2011	11-14-2011	THE HOME DEPOT #7011	26.92	CAD	26.92	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07739	GUS RYDER POOL&HLTH	5200	Home Supply Warehouse	BOTTLE
"PARKS, FORESTRY & RECREATION"	1737-56	11-17-2011	11-21-2011	THE HOME DEPOT #7011	30.87	CAD	30.87	CAD	2710	GENERAL HARDWARE	P07739	GUS RYDER POOL&HLTH	5200	Home Supply Warehouse	*****
"PARKS, FORESTRY & RECREATION"	1743-40	11-23-2011	11-24-2011	LOWES #03096*	8.32	CAD	8.32	CAD	2710	GENERAL HARDWARE	P07511	GUS RYDER HLTH CLUB-	5200	Home Supply Warehouse	SOFSTOP DR STOP WHITE
"PARKS, FORESTRY & RECREATION"	1743-41	11-23-2011	11-24-2011	UPS*045838LP3JM	39.48	CAD	39.48	CAD	4805	POSTAGE	P07511	GUS RYDER HLTH CLUB-	4214	"Motor Freight Carriers, Trucking - Local"	IMPORT CHARGE FOR WARRANTY ITEM
"PARKS, FORESTRY & RECREATION"	1743-42	11-23-2011	11-24-2011	LOWES #03096*	-89.16	CAD	-89.16	CAD	3099	GENERAL EQUIPMENT	P07744	GUS RYDER POOL&HLTH	5200	Home Supply Warehouse	RETURN OF HEATER
"PARKS, FORESTRY & RECREATION"	1743-43	11-23-2011	11-24-2011	LOWES #03096*	-89.16	CAD	-89.16	CAD	3099	GENERAL EQUIPMENT	P07744	GUS RYDER POOL&HLTH	5200	Home Supply Warehouse	RETURN OF HEATER
					136.57	CAD	136.57	CAD							
EMERGENCY MEDICAL SERVICES	1737-57	11-17-2011	11-21-2011	CITIPARK INC.#2	80.00	CAD	80.00	CAD	4220	BUSINESS TRAV - GROUND TRANSPORTATION	B46776	MANGERS - HUB ADMIN	7523	Automobile Parking Lots and Garages	"PARKING AIRPORT EMSCC OTTAWA NOV 13-17, 2011"
EMERGENCY MEDICAL SERVICES	1737-58	11-17-2011	11-21-2011	THE WESTIN OTTAWA FRON	809.08	CAD	809.08	CAD	4210	BUSINESS TRAV - ACCOMMODATION	B46776	MANGERS - HUB ADMIN	3513	Westin Hotels	"EMSCC ACCOMMODATON OTTAWA NOV 13-17, 2011"
EMERGENCY MEDICAL SERVICES	1748-36	11-28-2011	11-29-2011	STD PARK TOR GEN	18.00	CAD	18.00	CAD	4770	PARKING EXPENSES (INTOWN)	B46776	MANGERS - HUB ADMIN	7399	Business Services - Not Elsewhere Classi	PARKING WITH WITH MOHLTC
					907.08	CAD	907.08	CAD							
"PARKS, FORESTRY & RECREATION"	1709-21	10-31-2011	11-01-2011	MONERIS STATIONERY ORD	140.27	CAD	140.27	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10541	S-REC SUPER3-PGM SUP	5943	"Office, School Supply, and Stationery St"	
"PARKS, FORESTRY & RECREATION"	1710-24	10-31-2011	11-02-2011	THE HOME DEPOT #7011	54.84	CAD	54.84	CAD	3080	M & E - HAND TOOLS	P10541	S-REC SUPER3-PGM SUP	5200	Home Supply Warehouse	*****
"PARKS, FORESTRY & RECREATION"	1710-25	10-31-2011	11-02-2011	WAL-MART # 3031	11.27	CAD	11.27	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10911	CENTENNIAL SKI CTR-P	5310	Discount Stores	SUPPLIES FOR RENTAL SHOP
"PARKS, FORESTRY & RECREATION"	1717-47	11-04-2011	11-07-2011	THE HOME DEPOT #7011	20.32	CAD	20.32	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10541	S-REC SUPER3-PGM SUP	5200	Home Supply Warehouse	COO NICH MIL
"PARKS, FORESTRY & RECREATION"	1717-48	11-04-2011	11-07-2011	THE HOME DEPOT #7011	-27.10	CAD	-27.10	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10541	S-REC SUPER3-PGM SUP	5200	Home Supply Warehouse	FILE
"PARKS, FORESTRY & RECREATION"	1723-23	11-08-2011	11-09-2011	GRANT'S LOCK AND SAFE	169.50	CAD	169.50	CAD	2730	LOCKS	P10541	S-REC SUPER3-PGM SUP	6211	Securities - Brokers/Dealers	SAFE COMBO CHANGE
"PARKS, FORESTRY & RECREATION"	1734-39	11-16-2011	11-18-2011	LEVITT SAFETY LIMITED	453.13	CAD	453.13	CAD	2670	UNIFORMS	P10911	CENTENNIAL SKI CTR-P	7394	"Equipment Rental and Leasing Services, F"	LIF ATTTENDANT GLOVES
					822.23	CAD	822.23	CAD							
EMERGENCY MEDICAL SERVICES	1724-35	11-09-2011	11-10-2011	TORONTO PARKING AUTHOR	6.50	CAD	6.50	CAD	4770	PARKING EXPENSES (INTOWN)	B33100	COMM CTR OPERATIONS	7523	Automobile Parking Lots and Garages	PARKING - MEETING AT CAMH
EMERGENCY MEDICAL SERVICES	1748-37	11-28-2011	11-29-2011	ONTARIO AUTO PARKS	20.00	CAD	20.00	CAD	4770	PARKING EXPENSES (INTOWN)	B33100	COMM CTR OPERATIONS	7523	Automobile Parking Lots and Garages	PARKING - RE:  SYT OMBUDSMAN'S
EMERGENCY MEDICAL SERVICES	1751-43	11-29-2011	11-30-2011	ONTARIO AUTO PARKS	25.00	CAD	25.00	CAD	4770	PARKING EXPENSES (INTOWN)	B33100	COMM CTR OPERATIONS	7523	Automobile Parking Lots and Garages	PARKING - RE:  SYT OMBUDSMAN'S
					51.50	CAD	51.50	CAD							
TORONTO WATER	1737-59	11-17-2011	11-21-2011	CDN TIRE STORE #00182	45.18	CAD	45.18	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1020	WS SYSTEM CONTROL WO	5200	Home Supply Warehouse	ANIT-FREEZE
					45.18	CAD	45.18	CAD							
"PARKS, FORESTRY & RECREATION"	1727-42	11-09-2011	11-14-2011	THE HOME DEPOT #7012	120.72	CAD	120.72	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12547	PS-OPER-MAIN-WATER	5200	Home Supply Warehouse	*****
"PARKS, FORESTRY & RECREATION"	1733-32	11-15-2011	11-17-2011	CDN TIRE STORE #00654	175.29	CAD	175.29	CAD	2575	ELECTRICAL SUPPLIES	P00128	UNIVERSITY PK-WEEDS	5200	Home Supply Warehouse	EXTENSION CORDS/CABLE TIES FOR XMAS LIGHTS
"PARKS, FORESTRY & RECREATION"	1748-38	11-25-2011	11-29-2011	CDN TIRE STORE #00600	22.01	CAD	22.01	CAD	2715	PAINT SUPPLIES	P00152	C-WTRFRONT3-TURF&HOR	5200	Home Supply Warehouse	PAINT & ROLLERS FOR AIR MAT MARKING
					318.02	CAD	318.02	CAD							
"PARKS, FORESTRY & RECREATION"	1728-19	11-14-2011	11-15-2011	NO FRILLS CHRIS STACEY	45.85	CAD	45.85	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01701	G&I RISK-SOCIAL PGM	5411	"Grocery Stores, Supermarkets"	AFTERSCHOOL PROGRAM SUPPLIES
"PARKS, FORESTRY & RECREATION"	1748-39	11-28-2011	11-29-2011	NOFRILLS SHERIFFS 270	30.15	CAD	30.15	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01701	G&I RISK-SOCIAL PGM	5411	"Grocery Stores, Supermarkets"	AFTERSCHOOL PROGRAM SUPPLIES
					76.00	CAD	76.00	CAD							
TORONTO WATER	1723-24	11-07-2011	11-09-2011	MOE-DRINK WAT WASTE CE	75.00	CAD	75.00	CAD	4760	MEMBERSHIP FEES	WW1177	HTP SOLIDS	9399	Government Services - Not Elsewhere Clas	LICENSE RENEWAL
TORONTO WATER	1737-60	11-17-2011	11-21-2011	HONIG INDUSTRIAL EQUIP	298.21	CAD	298.21	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1177	HTP SOLIDS	5969	Direct Marketing - Other Direct Marketer	TAP AND DIE SET
TORONTO WATER	1745-26	11-24-2011	11-25-2011	KOTYCK BROS LIMITED	410.53	CAD	410.53	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	WW1177	HTP SOLIDS	1520	General Contractors - Residential and Co	CALIBRATION BLACKFLOW KIT
TORONTO WATER	1747-37	11-26-2011	11-28-2011	TELUS MOBILITY #8240	101.69	CAD	101.69	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1177	HTP SOLIDS	4812	Telecommunication Equipment Including Te	PHONE BATTERY
TORONTO WATER	1748-40	11-25-2011	11-29-2011	MR METAL(ETOBICOKE) IN	60.17	CAD	60.17	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1177	HTP SOLIDS	5051	Metal Service Centers and Offices	ROD
					945.60	CAD	945.60	CAD							
"PARKS, FORESTRY & RECREATION"	1734-40	11-16-2011	11-18-2011	CDN TIRE STORE #00119	23.70	CAD	23.70	CAD	2710	GENERAL HARDWARE	P12783	KIPLING YD-N-FAC&MEC	5200	Home Supply Warehouse	EPOXY REPAIR FOR IRRIGATION
					23.70	CAD	23.70	CAD							
"PARKS, FORESTRY & RECREATION"	1709-22	10-31-2011	11-01-2011	BERRY-HILL LIMITED	90.38	CAD	90.38	CAD	2620	ANIMAL CARE SUPPLIES	P01058	RIVERDALE FARM-ANIMA	5947	"Card, Gift, Novelty, and Souvenir Shops"	PAPER EGG CARTON TRAYS FOR BARN
"PARKS, FORESTRY & RECREATION"	1727-43	11-12-2011	11-14-2011	SEW-SISTERS QUILT SHOP	135.08	CAD	135.08	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPS-RIVERDALE	5949	"Fabric, Needlework, Piece Goods, and Sew"	CRAFT SUPPLIES FOR WORKSHOPS
"PARKS, FORESTRY & RECREATION"	1733-33	11-15-2011	11-17-2011	THE HOME DEPOT #7080	16.94	CAD	16.94	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPS-RIVERDALE	5200	Home Supply Warehouse	*****
"PARKS, FORESTRY & RECREATION"	1733-34	11-15-2011	11-17-2011	DESERRES	78.31	CAD	78.31	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPS-RIVERDALE	5970	"Artist Supply Stores, Craft Shops"	"MARKERS, NEEDLES,FOAM CUTTER,FELT SHEETS"
"PARKS, FORESTRY & RECREATION"	1739-26	11-18-2011	11-22-2011	DESERRES	36.95	CAD	36.95	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPS-RIVERDALE	5970	"Artist Supply Stores, Craft Shops"	"CRAFT PAINTS,GLUE STICKS"
"PARKS, FORESTRY & RECREATION"	1747-38	11-24-2011	11-28-2011	DESERRES	89.55	CAD	89.55	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPS-RIVERDALE	5970	"Artist Supply Stores, Craft Shops"	"CANDLE WICK, BEESWAX,FINE RIBBONS,STICKERS"
"PARKS, FORESTRY & RECREATION"	1751-44	11-29-2011	11-30-2011	LOBLAWS 4.2	227.82	CAD	227.82	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12286	PS-OP-SPS-RIVERDALE	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR COOKING/BAKING
					675.03	CAD	675.03	CAD							
"PARKS, FORESTRY & RECREATION"	1723-25	11-07-2011	11-09-2011	CIMCO REFRIGERATION ON	276.85	CAD	276.85	CAD	4440	CONTRACTED SERVICES - WASTE DISPOSAL	P00859	ALNESS YD-YD OPERN	7623	Air Conditioning and Refrigeration Repai	WASTE REMOVAL
"PARKS, FORESTRY & RECREATION"	1734-41	11-16-2011	11-18-2011	BAHNAIR OF CANADA	247.47	CAD	247.47	CAD	2540	HEATING & AIR CONDITIONING SUPPLIES	P07705	ORIOLE CC-OPERATIONS	5074	Plumbing and Heating Equipment	CONDENSOR FILTERS
					524.32	CAD	524.32	CAD							
CITY CLERK'S OFFICE	1715-25	11-02-2011	11-04-2011	RAPID PHOTO IMAGE CENT	113.00	CAD	113.00	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	GV0016	ELECTION OPERATIONS	7395	"Photo Developing, Photofinishing Laborat"	"FRAMED MAP OF TORONTO, HST EXTRA"
					113.00	CAD	113.00	CAD							
"PARKS, FORESTRY & RECREATION"	1710-26	11-01-2011	11-02-2011	TUCKERS POTTERY SUPPLI	312.45	CAD	312.45	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06454	FAIRBANK CC-ARTS-VIS	5970	"Artist Supply Stores, Craft Shops"	GLAZES
"PARKS, FORESTRY & RECREATION"	1718-24	11-04-2011	11-08-2011	SPORTS EQUIPMENT OF TO	285.33	CAD	285.33	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10532	FAIRBANK-PGM SUPP	5941	Sporting Goods Stores	INDOOR SOCCER BALLS & RUBBER BASKETBALLS
					597.78	CAD	597.78	CAD							
