Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
					"5,296.75"	CAD	"5,296.75"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2577-23	07-10-2013	07-12-2013	CDN TIRE STORE #00175	15.80	CAD	15.80	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUB-CEDAR RIDG	5200	Home Supply Warehouse	ART SUPPLIES-JAR 500ML GOLD	
ECONOMIC DEVELOPMENT & CULTURE	2577-24	07-10-2013	07-12-2013	WAL-MART # 1152	12.61	CAD	12.61	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUB-CEDAR RIDG	5310	Discount Stores	"ART SUPPLIES-FASTENERS,GV 50 PLATE"	
ECONOMIC DEVELOPMENT & CULTURE	2577-25	07-11-2013	07-12-2013	DOMINO'S PIZZA #10381	48.81	CAD	48.81	CAD	4820	BUSINESS MEETING EXPENSES	AH0018	AS-PS-PUB-CEDAR RIDG	5814	Quick Payment Service - Fast-Food Restau	FOR STAFF MEETING	
ECONOMIC DEVELOPMENT & CULTURE	2579-33	07-12-2013	07-15-2013	ABOVEGROUND ENTERPRISE	424.16	CAD	424.16	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUB-CEDAR RIDG	7333	"Commercial Art, Graphics, Photography"	"ART SUPPLIES-FELT,ART PASTE,NEWSPRINT PAPER,INK"	
ECONOMIC DEVELOPMENT & CULTURE	2591-25	07-19-2013	07-22-2013	ABOVEGROUND ENTERPRISE	34.52	CAD	34.52	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUB-CEDAR RIDG	7333	"Commercial Art, Graphics, Photography"	"ART SUPPLIES-SCULPT DRY CLAY,FOUND MIX MEDIA"	
					535.90	CAD	535.90	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2591-26	07-19-2013	07-22-2013	HOOTSUITE MEDIA INC.	11.98	CAD	11.29	USD	4414	ADVERTISING & PROMOTION	AH0068	HS-MH-COM-METRO HALL	5968	Direct Marketing - Continuity/Subscripti	SOCIAL MEDIA ADVERTISEMENT	
					11.98	CAD	11.29	USD								
CITY CLERK'S OFFICE	2585-31	07-17-2013	07-18-2013	TORONTO IMAGE WORKS	-5.65	CAD	-5.65	CAD	4082	PHOTO/VIDEO SERVICES	GV0019	PROTOCOL	5970	"Artist Supply Stores, Craft Shops"	CRIEDT NOTE-DELIVERY CHARGE NOT VALID	
					-5.65	CAD	-5.65	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2573-17	07-09-2013	07-10-2013	U OF T PRESS DISTRIBUT	30.06	CAD	30.06	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0120	HS-MH-RET-SPADINA	5942	Book Stores	BOOKS FOR GIFT SHOP RESALE	
ECONOMIC DEVELOPMENT & CULTURE	2597-25	07-23-2013	07-25-2013	MGS ARCHIVE OF ONT	22.60	CAD	22.60	CAD	4825	PRINTING AND REPRODUCTION - THIRD PARTY	AH0104	HS-MH-PUB-SPADINA	9399	Government Services - Not Elsewhere Clas	IMAGE	
					52.66	CAD	52.66	CAD								
"PARKS, FORESTRY & RECREATION"	2575-17	07-09-2013	07-11-2013	CDN TIRE STORE #00159	326.30	CAD	326.30	CAD	3099	GENERAL EQUIPMENT	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	"SUB UTILITY PUMP, DEHUMIDIFIER"	
"PARKS, FORESTRY & RECREATION"	2585-32	07-16-2013	07-18-2013	N.A. YORKE MACHINERY C	508.50	CAD	508.50	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P00656	CENTENNIAL PK-PGM SU	7699	Miscellaneous Repair Shops and Related S	CONTRACTED SRVE-M&E STEEL FRAME ASSEMBLY TRACTOR	
					834.80	CAD	834.80	CAD								
"PARKS, FORESTRY & RECREATION"	2579-34	07-11-2013	07-15-2013	CDN TIRE STORE #00175	28.14	CAD	28.14	CAD	2730	LOCKS	P00264	E-CENTRAL2-TURF&HORT	5200	Home Supply Warehouse	KEYS FOR THE GUILD	
"PARKS, FORESTRY & RECREATION"	2585-33	07-16-2013	07-18-2013	CDN TIRE STORE #00175	7.33	CAD	7.33	CAD	2715	PAINT SUPPLIES	P00264	E-CENTRAL2-TURF&HORT	5200	Home Supply Warehouse	SPRAY PAINT	
"PARKS, FORESTRY & RECREATION"	2585-34	07-17-2013	07-18-2013	CUSTOM DOOR   LOCK SER	10.17	CAD	10.17	CAD	2730	LOCKS	P00264	E-CENTRAL2-TURF&HORT	5533	"Automotive Parts, Accessories Stores"	KEYS FOR THE GUILD	
"PARKS, FORESTRY & RECREATION"	2589-20	07-17-2013	07-19-2013	CDN TIRE STORE #00175	-11.25	CAD	-11.25	CAD	2730	LOCKS	P00264	E-CENTRAL2-TURF&HORT	5200	Home Supply Warehouse	REFUND - KEYS FOR THE GUILD	
					34.39	CAD	34.39	CAD								
"PARKS, FORESTRY & RECREATION"	2567-26	07-02-2013	07-05-2013	FOOD BASICS #692	134.62	CAD	134.62	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10327	PLEASANTVW-PGM SUPP	5411	"Grocery Stores, Supermarkets"	FOOD & REFRESHMENTS	
"PARKS, FORESTRY & RECREATION"	2567-27	07-02-2013	07-05-2013	FOOD BASICS #692	188.81	CAD	188.81	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMR CA	5411	"Grocery Stores, Supermarkets"	FOOD & REFRESHMENTS-PVCC CAMP	
"PARKS, FORESTRY & RECREATION"	2569-31	07-04-2013	07-08-2013	WAL-MART #3159	385.32	CAD	385.32	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04673	PLEASANTVIEW-SUMR CA	5411	"Grocery Stores, Supermarkets"	SPECIALTY ART & CRAFT SUPPLIES-PVCC & BK	
"PARKS, FORESTRY & RECREATION"	2569-32	07-04-2013	07-08-2013	WAL-MART #3159	645.80	CAD	645.80	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10327	PLEASANTVW-PGM SUPP	5411	"Grocery Stores, Supermarkets"	REC SUPPLIES PVCC ADV & PRE SCHOOL	
"PARKS, FORESTRY & RECREATION"	2569-33	07-04-2013	07-08-2013	WAL-MART #3159	461.69	CAD	461.69	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMR CA	5411	"Grocery Stores, Supermarkets"	FOOD & REFRESHMENTS-PVCC CAMP	
"PARKS, FORESTRY & RECREATION"	2573-18	07-09-2013	07-10-2013	DOLLAR TREE CANADA STO	206.23	CAD	206.23	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04673	PLEASANTVIEW-SUMR CA	5331	Variety Stores	REC SUPPLIES PVJHS & BK CAMPS	
"PARKS, FORESTRY & RECREATION"	2575-18	07-09-2013	07-11-2013	THE HOME DEPOT #7073	131.33	CAD	131.33	CAD	*****	OTHER OFFICE MATERIAL &MINOR FURNISHING	P04673	PLEASANTVIEW-SUMR CA	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2575-19	07-09-2013	07-11-2013	FOOD BASICS #692	103.99	CAD	103.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMR CA	5411	"Grocery Stores, Supermarkets"	FOOD & REFRESHMENTS-BLESSED KATERI CAMP	
"PARKS, FORESTRY & RECREATION"	2577-26	07-11-2013	07-12-2013	PARKWAY BOWL	408.00	CAD	408.00	CAD	4118	TICKETS AND ADMISSION FEES	P04673	PLEASANTVIEW-SUMR CA	7933	Bowling Alleys	CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2580-14	07-12-2013	07-16-2013	FOOD BASICS #692	224.02	CAD	224.02	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMR CA	5411	"Grocery Stores, Supermarkets"	FOOD & REFRESHMENTS-PVCC CAMP	
"PARKS, FORESTRY & RECREATION"	2580-15	07-15-2013	07-16-2013	DOLLAR GIANT #40100	240.54	CAD	240.54	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10327	PLEASANTVW-PGM SUPP	5331	Variety Stores	REC SUPPLIES BK CAMP CARNIVAL	
"PARKS, FORESTRY & RECREATION"	2580-16	07-15-2013	07-16-2013	DOLLAR GIANT #40100	222.89	CAD	222.89	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04673	PLEASANTVIEW-SUMR CA	5331	Variety Stores	SUPPLIES FOR PVCC & PVJH CAMP CARNIVAL	
"PARKS, FORESTRY & RECREATION"	2583-24	07-15-2013	07-17-2013	WAL-MART #3159	370.07	CAD	370.07	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04673	PLEASANTVIEW-SUMR CA	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR PV PRE SCHOOL CAMP	
"PARKS, FORESTRY & RECREATION"	2589-21	07-17-2013	07-19-2013	FOOD BASICS #692	69.98	CAD	69.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10327	PLEASANTVW-PGM SUPP	5411	"Grocery Stores, Supermarkets"	FOOD & REFRESHMENTS-PVCC PRE SCHOOL CAMP	
"PARKS, FORESTRY & RECREATION"	2589-22	07-18-2013	07-19-2013	THORNCLIFFE BOWLERAMA.	387.59	CAD	387.59	CAD	4118	TICKETS AND ADMISSION FEES	P04673	PLEASANTVIEW-SUMR CA	7933	Bowling Alleys	CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2591-27	07-18-2013	07-22-2013	FOOD BASICS #692	277.03	CAD	277.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMR CA	5411	"Grocery Stores, Supermarkets"	FOOD & REFRESHMENTS-BLESSED KATERI CAMP	
"PARKS, FORESTRY & RECREATION"	2591-28	07-18-2013	07-22-2013	NORTH BEACH VOLLEYBALL	452.00	CAD	452.00	CAD	4118	TICKETS AND ADMISSION FEES	P04673	PLEASANTVIEW-SUMR CA	5812	"Eating Places, Restaurants"	CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2596-21	07-22-2013	07-24-2013	FOOD BASICS #692	144.02	CAD	144.02	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10327	PLEASANTVW-PGM SUPP	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES BK & JHS CAMPS	
"PARKS, FORESTRY & RECREATION"	2599-26	07-24-2013	07-26-2013	WAL-MART #3159	148.44	CAD	148.44	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04673	PLEASANTVIEW-SUMR CA	5411	"Grocery Stores, Supermarkets"	REC SUPPLIES BK CAMP	
"PARKS, FORESTRY & RECREATION"	2599-27	07-25-2013	07-26-2013	CHUCK E CHEESE #845	169.50	CAD	169.50	CAD	4118	TICKETS AND ADMISSION FEES	P04673	PLEASANTVIEW-SUMR CA	5812	"Eating Places, Restaurants"	CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2599-28	07-25-2013	07-26-2013	CEDAR PARK RESORT	443.25	CAD	443.25	CAD	4118	TICKETS AND ADMISSION FEES	P13256	SUMMERCAMP-DMILLSCIV	7996	"Amusement Parks, Carnivals, Circuses, Fo"	CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2599-29	07-24-2013	07-26-2013	WAL-MART #3159	-19.01	CAD	-19.01	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04673	PLEASANTVIEW-SUMR CA	5411	"Grocery Stores, Supermarkets"	REFUND	
"PARKS, FORESTRY & RECREATION"	2599-30	07-24-2013	07-26-2013	WAL-MART #3159	192.75	CAD	192.75	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10327	PLEASANTVW-PGM SUPP	5411	"Grocery Stores, Supermarkets"	FOOD & REFRESHMENTS-PVCC PRE SCHOOL CAMP	
"PARKS, FORESTRY & RECREATION"	2603-16	07-26-2013	07-30-2013	FOOD BASICS #692	104.35	CAD	104.35	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10327	PLEASANTVW-PGM SUPP	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES PVCC CAMPS	
"PARKS, FORESTRY & RECREATION"	2603-17	07-26-2013	07-30-2013	FOOD BASICS #692	354.72	CAD	354.72	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMR CA	5411	"Grocery Stores, Supermarkets"	FOOD & REFRESHMENTS-PVCC ADV CAMP	
					"6,447.93"	CAD	"6,447.93"	CAD								
"PARKS, FORESTRY & RECREATION"	2592-24	07-21-2013	07-23-2013	SOBEYS #657        QPS	48.68	CAD	48.68	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10162	LOCATION SUPP - SC	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS FOR ALL-DAY MEETING	
					48.68	CAD	48.68	CAD								
"PARKS, FORESTRY & RECREATION"	2563-17	07-03-2013	07-04-2013	CANADA GLASS   MIRROR	84.75	CAD	84.75	CAD	2575	ELECTRICAL SUPPLIES	P12786	KIPLING YD-S-FAC&MEC	5039	Construction Materials Not Elsewhere Cla	LENS REPLACEMENT	
"PARKS, FORESTRY & RECREATION"	2606-17	07-30-2013	07-31-2013	TACEL LTD	966.61	CAD	966.61	CAD	2575	ELECTRICAL SUPPLIES	P12786	KIPLING YD-S-FAC&MEC	5065	Electrical Parts and Equipment	SPLASH PAD SWITCHES	
"PARKS, FORESTRY & RECREATION"	2606-18	07-30-2013	07-31-2013	MUSCO SPORTS LIGHTING	"1,161.53"	CAD	"1,097.65"	USD	2575	ELECTRICAL SUPPLIES	P12786	KIPLING YD-S-FAC&MEC	5046	Commercial Equipment Not Elsewhere Class	LAMPS	
					"2,212.89"	CAD	"1,051.36"	CAD								
							"1,097.65"	USD								
"PARKS, FORESTRY & RECREATION"	2571-10	07-08-2013	07-09-2013	EUROPEAN QUALITY MEATS	216.00	CAD	216.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06778	FAIRFIELD SENIORS-PG	5422	"Freezer, Locker Meat Provisioners"	MEAT FOR WEEKLY BBQ	
					216.00	CAD	216.00	CAD								
"PARKS, FORESTRY & RECREATION"	2563-18	07-03-2013	07-04-2013	RCSS WESTON 2800	74.33	CAD	74.33	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12735	CARM STFNO-HOL CMP	5411	"Grocery Stores, Supermarkets"	"KETCHUP, MARHMALW, VEGGIE DOGS, WATERMELONS"	
"PARKS, FORESTRY & RECREATION"	2567-28	07-03-2013	07-05-2013	RINX	544.00	CAD	544.00	CAD	4118	TICKETS AND ADMISSION FEES	P12735	CARM STFNO-HOL CMP	7996	"Amusement Parks, Carnivals, Circuses, Fo"	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2567-29	07-04-2013	07-05-2013	FLAGHOUSE INC.	"1,005.84"	CAD	"1,005.84"	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12735	CARM STFNO-HOL CMP	5712	"Equipment, Furniture, and Home Furnishin"	"HOOP SET, FLAG BELT SET, BOWLING SET,FLYING DISC"	
"PARKS, FORESTRY & RECREATION"	2567-30	07-04-2013	07-05-2013	RCSS WESTON 2800	57.21	CAD	57.21	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12735	CARM STFNO-HOL CMP	5411	"Grocery Stores, Supermarkets"	"FLOUR, MARCHMLW, SALT, FREEZIES, ROLLS"	
"PARKS, FORESTRY & RECREATION"	2571-11	07-08-2013	07-09-2013	RCSS WESTON 2800	107.32	CAD	107.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12735	CARM STFNO-HOL CMP	5411	"Grocery Stores, Supermarkets"	"FROSTING, MARSHMLLW, CAKE MIX, APPLE JUICE"	
"PARKS, FORESTRY & RECREATION"	2575-20	07-10-2013	07-11-2013	FAMOUS PLAYER #7408QPS	302.00	CAD	302.00	CAD	4118	TICKETS AND ADMISSION FEES	P12735	CARM STFNO-HOL CMP	7832	Motion Picture Theaters	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2575-21	07-10-2013	07-11-2013	THE PUTTING EDGE VAUGH	406.80	CAD	406.80	CAD	4118	TICKETS AND ADMISSION FEES	P12735	CARM STFNO-HOL CMP	7999	Recreation Services (Not Elsewhere Class	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2577-27	07-11-2013	07-12-2013	RCSS WESTON 2800	117.24	CAD	117.24	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12735	CARM STFNO-HOL CMP	5411	"Grocery Stores, Supermarkets"	"BEEF BURGERS, HAMBURGER ROLLS"	
"PARKS, FORESTRY & RECREATION"	2577-28	07-11-2013	07-12-2013	CHILD'S PLAY	325.00	CAD	325.00	CAD	4118	TICKETS AND ADMISSION FEES	P12735	CARM STFNO-HOL CMP	5812	"Eating Places, Restaurants"	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2579-35	07-11-2013	07-15-2013	WHITTAMORE'S FARM MKT	101.19	CAD	101.19	CAD	4118	TICKETS AND ADMISSION FEES	P12735	CARM STFNO-HOL CMP	0763	Agricultural Cooperatives	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2579-36	07-12-2013	07-15-2013	NOFRILLS CARLO'S 705	22.96	CAD	22.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12735	CARM STFNO-HOL CMP	5411	"Grocery Stores, Supermarkets"	CAMP FOOD SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2579-37	07-12-2013	07-15-2013	RCSS WESTON 2800	52.29	CAD	52.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12735	CARM STFNO-HOL CMP	5411	"Grocery Stores, Supermarkets"	CAMP FOOD SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2579-38	07-12-2013	07-15-2013	RCSS WESTON 2800	40.98	CAD	40.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12735	CARM STFNO-HOL CMP	5411	"Grocery Stores, Supermarkets"	"MARSHMALLOWS, FREEZIES, SALSA SAUCE, NACHOS"	
"PARKS, FORESTRY & RECREATION"	2579-39	07-12-2013	07-15-2013	DOLLAR TREE CANADA STO	14.13	CAD	14.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12735	CARM STFNO-HOL CMP	5331	Variety Stores	ARTS/CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2579-40	07-12-2013	07-15-2013	HOME OUTFITTERS #5115	14.99	CAD	14.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12735	CARM STFNO-HOL CMP	5311	Department Stores	CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2579-41	07-13-2013	07-15-2013	ARTISTIC WAY LTD	254.25	CAD	254.25	CAD	4118	TICKETS AND ADMISSION FEES	P12735	CARM STFNO-HOL CMP	5970	"Artist Supply Stores, Craft Shops"	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2596-22	07-23-2013	07-24-2013	RCSS WESTON 2800	15.54	CAD	15.54	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12735	CARM STFNO-HOL CMP	5411	"Grocery Stores, Supermarkets"	CAMP FOOD SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2597-26	07-24-2013	07-25-2013	DOLLAR GIANT #40099	2.63	CAD	2.63	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12735	CARM STFNO-HOL CMP	5331	Variety Stores	ARTS/CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2599-31	07-24-2013	07-26-2013	WOODBRIDGE BOWL INC	270.00	CAD	270.00	CAD	4118	TICKETS AND ADMISSION FEES	P12735	CARM STFNO-HOL CMP	7933	Bowling Alleys	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2599-32	07-24-2013	07-26-2013	AIRBORNE TRAMPOLINE CL	380.70	CAD	380.70	CAD	4118	TICKETS AND ADMISSION FEES	P12735	CARM STFNO-HOL CMP	7997	"Clubs - Country Clubs, Membership (Athle"	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2599-33	07-25-2013	07-26-2013	RCSS WESTON 2800	33.70	CAD	33.70	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12735	CARM STFNO-HOL CMP	5411	"Grocery Stores, Supermarkets"	CAMP FOOD SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2601-30	07-26-2013	07-29-2013	EUROPEAN QUALITY MEATS	157.86	CAD	157.86	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12735	CARM STFNO-HOL CMP	5422	"Freezer, Locker Meat Provisioners"	CAMP FOOD SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2603-18	07-29-2013	07-30-2013	THE CRAFT   HOBBY EMPO	292.72	CAD	292.72	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12735	CARM STFNO-HOL CMP	5970	"Artist Supply Stores, Craft Shops"	CRAFT SUPPLIES	
					"4,593.68"	CAD	"4,593.68"	CAD								
"PARKS, FORESTRY & RECREATION"	2560-32	06-28-2013	07-02-2013	THE CRAFT   HOBBY EMPO	375.98	CAD	375.98	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13248	SUMMERCAMP-ANTIBES	5970	"Artist Supply Stores, Craft Shops"	REC SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2560-33	06-29-2013	07-02-2013	WAL-MART #1101	189.84	CAD	189.84	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10285	ANTIBES CC-PGM SUPP	5411	"Grocery Stores, Supermarkets"	REC SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2569-34	07-05-2013	07-08-2013	LOBLAW SUPERMARKET #10	298.05	CAD	298.05	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMERCAMP-ANTIBES	5411	"Grocery Stores, Supermarkets"	FOOD FOR SUMMER CAMPS	
"PARKS, FORESTRY & RECREATION"	2569-35	07-05-2013	07-08-2013	LOBLAW SUPERMARKET #10	412.70	CAD	412.70	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMERCAMP-ANTIBES	5411	"Grocery Stores, Supermarkets"	FOOD FOR SUMMER CAMPS	
"PARKS, FORESTRY & RECREATION"	2569-36	07-05-2013	07-08-2013	WAL-MART #1101	164.43	CAD	164.43	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMERCAMP-ANTIBES	5411	"Grocery Stores, Supermarkets"	FOOD FOR SUMMER CAMPS	
"PARKS, FORESTRY & RECREATION"	2573-19	07-08-2013	07-10-2013	PRICE CHOPPER #9610	49.79	CAD	49.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMERCAMP-ANTIBES	5411	"Grocery Stores, Supermarkets"	FOOD FOR SUMMER CAMPS	
"PARKS, FORESTRY & RECREATION"	2573-20	07-08-2013	07-10-2013	PRICE CHOPPER #9610	20.01	CAD	20.01	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMERCAMP-ANTIBES	5411	"Grocery Stores, Supermarkets"	FOOD FOR SUMMER CAMPS	
"PARKS, FORESTRY & RECREATION"	2573-21	07-08-2013	07-10-2013	WAL-MART #1101	28.74	CAD	28.74	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMERCAMP-ANTIBES	5411	"Grocery Stores, Supermarkets"	FOOD FOR SUMMER CAMPS	
"PARKS, FORESTRY & RECREATION"	2575-22	07-09-2013	07-11-2013	WAL-MART #1101	46.87	CAD	46.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMERCAMP-ANTIBES	5411	"Grocery Stores, Supermarkets"	FOOD FOR SUMMER CAMPS	
"PARKS, FORESTRY & RECREATION"	2575-23	07-09-2013	07-11-2013	PARTY CITY #2001	829.79	CAD	829.79	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13248	SUMMERCAMP-ANTIBES	5947	"Card, Gift, Novelty, and Souvenir Shops"	REC SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2575-24	07-10-2013	07-11-2013	LOBLAW SUPERMARKET #10	218.47	CAD	218.47	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMERCAMP-ANTIBES	5411	"Grocery Stores, Supermarkets"	FOOD FOR SUMMER CAMPS	
"PARKS, FORESTRY & RECREATION"	2575-25	07-10-2013	07-11-2013	THE CRAFT   HOBBY EMPO	159.56	CAD	159.56	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13248	SUMMERCAMP-ANTIBES	5970	"Artist Supply Stores, Craft Shops"	CAMP CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2575-26	07-10-2013	07-11-2013	BATHURST BOWLERAMA	960.50	CAD	960.50	CAD	4118	TICKETS AND ADMISSION FEES	P13248	SUMMERCAMP-ANTIBES	7933	Bowling Alleys	ADMISSION FEES - SUMMER CAMPS	
"PARKS, FORESTRY & RECREATION"	2575-27	07-10-2013	07-11-2013	BATHURST BOWLERAMA	524.32	CAD	524.32	CAD	4118	TICKETS AND ADMISSION FEES	P13248	SUMMERCAMP-ANTIBES	7933	Bowling Alleys	ADMISSION FEES - SUMMER CAMPS	
"PARKS, FORESTRY & RECREATION"	2579-42	07-13-2013	07-15-2013	MICHAELS #3927	44.75	CAD	44.75	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13248	SUMMERCAMP-ANTIBES	5945	"Game, Toy, and Hobby Shops"	CAMP CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2580-17	07-15-2013	07-16-2013	NOFRILLS CARLO'S #3925	120.01	CAD	120.01	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMERCAMP-ANTIBES	5411	"Grocery Stores, Supermarkets"	FOOD FOR SUMMER CAMPS	
"PARKS, FORESTRY & RECREATION"	2580-18	07-15-2013	07-16-2013	THE SOURCE 5142	11.29	CAD	11.29	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13248	SUMMERCAMP-ANTIBES	5732	Electronic Sales	CAMP CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2580-19	07-15-2013	07-16-2013	NINO D'AVERSA BAKERY	27.00	CAD	27.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13248	SUMMERCAMP-ANTIBES	5462	Bakeries	FOOD FOR SUMMER CAMPS	
"PARKS, FORESTRY & RECREATION"	2583-25	07-15-2013	07-17-2013	THE HOME DEPOT #7078	405.78	CAD	405.78	CAD	3050	M & E - KITCHEN	P13248	SUMMERCAMP-ANTIBES	5200	Home Supply Warehouse	MAGIC CHEF 1	
"PARKS, FORESTRY & RECREATION"	2583-26	07-16-2013	07-17-2013	MANHATTAN TROPHIES LIM	901.74	CAD	901.74	CAD	2791	"RIBBONS, MEDALS & TROPHIES"	P13248	SUMMERCAMP-ANTIBES	5941	Sporting Goods Stores	CAMP SUPPLIES	
