Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	2560-17	06-28-2013	07-02-2013	FRESHCO #9783	6.75	CAD	6.75	CAD	2615	"DISHES, CUTLERY AND UTENSILS"	P13460	#N/A	5411	"Grocery Stores, Supermarkets"	SKEWERS	
"PARKS, FORESTRY & RECREATION"	2560-18	06-28-2013	07-02-2013	WAL-MART # 3106	125.05	CAD	125.05	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10389	RS- DUFF GR.-CC-PRG	5411	"Grocery Stores, Supermarkets"	RECREATION PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2562-11	07-02-2013	07-03-2013	NOFRILLS JOSEPHS 730	940.80	CAD	940.80	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13057	GENINT&CLB-DUFFGRVPK	5411	"Grocery Stores, Supermarkets"	"ALMOND BUTTER,VINEGAR,JUICES,ICE POPS,RELISH,MILK"	
"PARKS, FORESTRY & RECREATION"	2562-12	07-02-2013	07-03-2013	NOFRILLS PETER'S 3926	396.09	CAD	396.09	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13057	GENINT&CLB-DUFFGRVPK	7999	Recreation Services (Not Elsewhere Class	"ORGANIC FLOUR, HOT DOGS"	
"PARKS, FORESTRY & RECREATION"	2562-13	07-02-2013	07-03-2013	STRICTLY BULK	195.38	CAD	195.38	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13057	GENINT&CLB-DUFFGRVPK	5411	"Grocery Stores, Supermarkets"	"CORN MEAL,KAMUT FLOUR,OAT FLAKES,SUNFLOWER,FLAX SE"	
					"6,086.49"	CAD	"6,086.49"	CAD								
"PARKS, FORESTRY & RECREATION"	2529-9	06-06-2013	06-07-2013	QUARTET SERVICE CORPOR	179.67	CAD	179.67	CAD	3410	COMPUTERS - HARDWARE	P12136	ALNESS YD-FORESTRY-P	5969	Direct Marketing - Other Direct Marketer	POWER CORD	
"PARKS, FORESTRY & RECREATION"	2535-15	06-10-2013	06-12-2013	RONA # 55110	34.76	CAD	34.76	CAD	2710	GENERAL HARDWARE	P12136	ALNESS YD-FORESTRY-P	5251	Hardware Stores	NUTS & BOLTS	
					214.43	CAD	214.43	CAD								
"PARKS, FORESTRY & RECREATION"	2537-17	06-11-2013	06-13-2013	THE HOME DEPOT #7011	22.09	CAD	22.09	CAD	2715	PAINT SUPPLIES	P07663	ALDERWOOD POOL-OPERA	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2554-7	06-25-2013	06-26-2013	MARATHON JANITOR SUPPL	74.30	CAD	74.30	CAD	2570	JANITORIAL SUPPLIES	P07663	ALDERWOOD POOL-OPERA	7349	"Cleaning and Maintenance, Janitorial Ser"	WINDOW CLEANING SUPPLIES	
					96.39	CAD	96.39	CAD								
TRANSPORTATION SERVICES 	2525-14	06-03-2013	06-05-2013	THE HOME DEPOT #7134	138.46	CAD	138.46	CAD	2710	GENERAL HARDWARE	TP0100	"RW SURF REPAIR-D1,A1"	5200	Home Supply Warehouse	*****	
					138.46	CAD	138.46	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2531-14	06-07-2013	06-10-2013	THE SOURCE 5181	34.74	CAD	34.74	CAD	2650	COMPUTER AND PRINTER SUPPLIES	AH0035	CD-RP-PRC-METRO HALL	5732	Electronic Sales	WIRELESS MOUSE	
ECONOMIC DEVELOPMENT & CULTURE	2535-16	06-10-2013	06-12-2013	H E C MONTREAL	157.50	CAD	157.50	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	AH0035	CD-RP-PRC-METRO HALL	8220	"Colleges, Universities, Professional Sch"	SUBSCRIPTION RENEWAL	
ECONOMIC DEVELOPMENT & CULTURE	2556-12	06-25-2013	06-27-2013	ST. PAULS ANGLICAN CHU	128.75	CAD	128.75	CAD	4530	RENTAL OF PROP. (OTHER THAN OFFICE)	AH0035	CD-RP-PRC-METRO HALL	5969	Direct Marketing - Other Direct Marketer	RENTAL OF ROOM CONSULTN-MAKING SPACE FOR CULTURE	
					320.99	CAD	320.99	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2525-15	06-04-2013	06-05-2013	LARSON JUHL #1	372.43	CAD	372.43	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0126	AS-PS-EXH-MKT GALL	5970	"Artist Supply Stores, Craft Shops"	FRAMING SUPPLIES FOR CITY'S ART COLLECTION	
ECONOMIC DEVELOPMENT & CULTURE	2532-4	06-10-2013	06-11-2013	EUREST-SCARBORO CIVIC	602.86	CAD	602.86	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0126	AS-PS-EXH-MKT GALL	5814	Quick Payment Service - Fast-Food Restau	REFRESHMENTS FOR PUBLIC EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2547-13	06-20-2013	06-21-2013	PACART	607.66	CAD	607.66	CAD	4416	"TRANSFER, HAULAGE AND STORAGE"	AH0126	AS-PS-EXH-MKT GALL	4789	Transportation Services-Not Elsewhere Cl	TRANSPORTATION OF CITY ART	
ECONOMIC DEVELOPMENT & CULTURE	2557-13	06-27-2013	06-28-2013	CARR MCLEAN LTD	475.67	CAD	475.67	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0126	AS-PS-EXH-MKT GALL	5943	"Office, School Supply, and Stationery St"	FRAMING SUPPLIES FOR CITY'S ART COLLECTION	
					"2,058.62"	CAD	"2,058.62"	CAD								
"PARKS, FORESTRY & RECREATION"	2520-7	06-03-2013	06-04-2013	AVRON FOODS	231.10	CAD	231.10	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06535	ELMBANK CC-SOC PGM	5199	Nondurable Goods Not Elsewhere Classifie	PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2547-14	06-20-2013	06-21-2013	DOLLAR TREE #40138	60.74	CAD	60.74	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06535	ELMBANK CC-SOC PGM	5331	Variety Stores	PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2550-13	06-21-2013	06-24-2013	WAL-MART # 3740	67.31	CAD	67.31	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06535	ELMBANK CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	SPECIAL EVENT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2560-19	06-28-2013	07-02-2013	NOFRILLS SHERIFFS 270	45.28	CAD	45.28	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05093	ELMBANK CC-SUMR CAMP	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM SUPPLIES	
					404.43	CAD	404.43	CAD								
"PARKS, FORESTRY & RECREATION"	2525-16	06-03-2013	06-05-2013	DTC INDUSTRIAL SALES L	173.03	CAD	173.03	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	HOSES	
"PARKS, FORESTRY & RECREATION"	2525-17	06-04-2013	06-05-2013	ALPINE LAWN   GARDEN E	152.38	CAD	152.38	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00264	E-CENTRAL2-TURF&HORT	5261	Lawn and Garden Supply Stores	FUEL ASSY	
"PARKS, FORESTRY & RECREATION"	2532-5	06-10-2013	06-11-2013	ALPINE LAWN   GARDEN E	31.52	CAD	31.52	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5261	Lawn and Garden Supply Stores	CHAINS	
"PARKS, FORESTRY & RECREATION"	2539-15	06-13-2013	06-14-2013	ALPINE LAWN   GARDEN E	44.97	CAD	44.97	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5261	Lawn and Garden Supply Stores	FILLER CAPS	
"PARKS, FORESTRY & RECREATION"	2542-22	06-13-2013	06-17-2013	COLLINS AUTOMOTIVE PAR	46.28	CAD	46.28	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5533	"Automotive Parts, Accessories Stores"	GROTE	
"PARKS, FORESTRY & RECREATION"	2543-11	06-17-2013	06-18-2013	ALPINE LAWN   GARDEN E	96.83	CAD	96.83	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00264	E-CENTRAL2-TURF&HORT	5261	Lawn and Garden Supply Stores	CARB	
"PARKS, FORESTRY & RECREATION"	2546-12	06-19-2013	06-20-2013	ALPINE LAWN   GARDEN E	159.10	CAD	159.10	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00264	E-CENTRAL2-TURF&HORT	5261	Lawn and Garden Supply Stores	CARBS CABLE	
"PARKS, FORESTRY & RECREATION"	2547-15	06-19-2013	06-21-2013	COLLINS AUTOMOTIVE PAR	13.09	CAD	13.09	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00038	E-FIELD SERV. 1-PRGM	5533	"Automotive Parts, Accessories Stores"	PLASTICOTE	
"PARKS, FORESTRY & RECREATION"	2547-16	06-19-2013	06-21-2013	COLLINS AUTOMOTIVE PAR	38.15	CAD	38.15	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00264	E-CENTRAL2-TURF&HORT	5533	"Automotive Parts, Accessories Stores"	SPARK PLUGS	
"PARKS, FORESTRY & RECREATION"	2554-8	06-25-2013	06-26-2013	ALPINE LAWN   GARDEN E	132.65	CAD	132.65	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00264	E-CENTRAL2-TURF&HORT	5261	Lawn and Garden Supply Stores	CHAINS	
"PARKS, FORESTRY & RECREATION"	2554-9	06-25-2013	06-26-2013	CROSSTOWN BATTERY SALE	214.21	CAD	214.21	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00264	E-CENTRAL2-TURF&HORT	5533	"Automotive Parts, Accessories Stores"	BATTERIES	
"PARKS, FORESTRY & RECREATION"	2556-13	06-24-2013	06-27-2013	FASTENALCOMPANY ONT03C	25.91	CAD	25.91	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00038	E-FIELD SERV. 1-PRGM	5211	"Building Materials, Lumber Stores"	"HOOKS, SLEEVES"	
"PARKS, FORESTRY & RECREATION"	2556-14	06-25-2013	06-27-2013	COLLINS AUTOMOTIVE PAR	5.88	CAD	5.88	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00264	E-CENTRAL2-TURF&HORT	5533	"Automotive Parts, Accessories Stores"	FUSES	
"PARKS, FORESTRY & RECREATION"	2556-15	06-26-2013	06-27-2013	ALPINE LAWN   GARDEN E	168.82	CAD	168.82	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5261	Lawn and Garden Supply Stores	CHAINS	
"PARKS, FORESTRY & RECREATION"	2560-20	06-28-2013	07-02-2013	ALPINE LAWN   GARDEN E	167.01	CAD	167.01	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00264	E-CENTRAL2-TURF&HORT	5261	Lawn and Garden Supply Stores	AUTOCUT HEADS	
"PARKS, FORESTRY & RECREATION"	2560-21	06-28-2013	07-02-2013	ALPINE LAWN   GARDEN E	218.44	CAD	218.44	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00038	E-FIELD SERV. 1-PRGM	5261	Lawn and Garden Supply Stores	CHAIN SAW PARTS	
"PARKS, FORESTRY & RECREATION"	2560-22	06-28-2013	07-02-2013	ALPINE LAWN   GARDEN E	67.73	CAD	67.73	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5261	Lawn and Garden Supply Stores	TUBES	
					"1,756.00"	CAD	"1,756.00"	CAD								
"PARKS, FORESTRY & RECREATION"	2542-23	06-14-2013	06-17-2013	LEE VALLEY TOOLS 800-2	539.01	CAD	539.01	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12757	W-E COMM GARDENS-PRO	5251	Hardware Stores	PEST CONTROL TRAPS	
					539.01	CAD	539.01	CAD								
LONG TERM CARE HOMES	2531-15	06-04-2013	06-10-2013	HUNT'S HEALTHCARE INC	750.00	CAD	750.00	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3F180	#N/A	5047	Laboratory/Medical/Dental/Ophthalmic Hos	TRANSPORTATION WHEELCHAIRS	
LONG TERM CARE HOMES	2532-6	06-11-2013	06-11-2013	DYNAMEX EXPRESS	29.71	CAD	29.71	CAD	4815	COURIER SERVICES	D3F011	7 OAKS-PA-OA	4215	"Courier Services - Air & Ground, Freight"	COURIER - RESIDENT DOCUMENTATION	
LONG TERM CARE HOMES	2537-18	06-11-2013	06-13-2013	CDN TIRE STORE #00427	106.53	CAD	106.53	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3F144	7 OAKS-NS-NA	5200	Home Supply Warehouse	BSO SUPPLIES	
LONG TERM CARE HOMES	2537-19	06-12-2013	06-13-2013	BROWEL'S MANUFACTURING	42.76	CAD	42.76	CAD	2810	RESIDENT ID	D3F144	7 OAKS-NS-NA	7692	Welding Repair	RESIDENT ID BRACELETS	
LONG TERM CARE HOMES	2554-10	06-24-2013	06-26-2013	TWO SMALL MEN WITH BIG	458.10	CAD	458.10	CAD	4199	OTHER PROFESSIONAL AND TECHNICAL SERVICE	D3F083	7 OAKS-PS-PS	4214	"Motor Freight Carriers, Trucking - Local"	PIANO TRANSFER - CHAPEL	
LONG TERM CARE HOMES	2554-11	06-25-2013	06-26-2013	SPECTRUM NASCO SI MFG	253.80	CAD	253.80	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3F083	7 OAKS-PS-PS	5943	"Office, School Supply, and Stationery St"	RESIDENT ACTIVITIES/GAMES/SUPPLIES	
LONG TERM CARE HOMES	2556-16	06-24-2013	06-27-2013	LEON S FURNITURE SC 07	"2,835.17"	CAD	"2,835.17"	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3Z011	REGIONAL SVC-PGM ADM	5712	"Equipment, Furniture, and Home Furnishin"	DONATION ACCOUNT - RESIDENT FURNITURE	
LONG TERM CARE HOMES	2560-23	06-28-2013	07-02-2013	THE SOURCE 5113	177.51	CAD	177.51	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3F083	7 OAKS-PS-PS	5732	Electronic Sales	RESIDENT ENTERTAINMENT	
					"4,653.58"	CAD	"4,653.58"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2537-20	06-11-2013	06-13-2013	SETON	222.35	CAD	222.35	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0029	CD-AM-FAC-METRO HALL	5099	Durable Goods Not Elsewhere Classified	EXTERIOR CONVEX MIRRORS	
ECONOMIC DEVELOPMENT & CULTURE	2543-12	06-14-2013	06-18-2013	ANIXTER CANADA INC	259.26	CAD	259.26	CAD	3045	M & E - PROTECTIVE	AH0029	CD-AM-FAC-METRO HALL	7399	Business Services - Not Elsewhere Classi	*****	
					481.61	CAD	481.61	CAD								
"PARKS, FORESTRY & RECREATION"	2531-16	06-08-2013	06-10-2013	WMT SUPRCTR #1116	138.20	CAD	138.20	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P00705	N-CTRL-AQ LEIS INDOO	5411	"Grocery Stores, Supermarkets"	SPECIAL EVENT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2532-7	06-08-2013	06-11-2013	CDN TIRE STORE #00087	112.89	CAD	112.89	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02613	CUMMER-PGM SUPP	5200	Home Supply Warehouse	TRAINING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2550-14	06-20-2013	06-24-2013	SPLASHABLES	216.62	CAD	216.62	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02461	CUMMER-INSTRL-INDR	5996	Swimming Pools - Sales and Supplies	REC & EDUCATIONAL MATERIALS	
"PARKS, FORESTRY & RECREATION"	2550-15	06-21-2013	06-24-2013	SCHOLAR'S CHOICE	85.29	CAD	85.29	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P02613	CUMMER-PGM SUPP	5949	"Fabric, Needlework, Piece Goods, and Sew"	STATIONARY	
"PARKS, FORESTRY & RECREATION"	2560-24	06-28-2013	07-02-2013	JACK WATSON *12333	189.19	CAD	189.19	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02461	CUMMER-INSTRL-INDR	5941	Sporting Goods Stores	REC & EDUCATIONAL MATERIALS	
					742.19	CAD	742.19	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2531-17	06-06-2013	06-10-2013	DESIGNER FABRIC OUTLET	157.14	CAD	157.14	CAD	2670	UNIFORMS	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5131	"Piece Goods, Notions, and Other Dry Good"	FABRICS & NOTIONS FOR MAKING REPRODUCTION COSTUMES	
ECONOMIC DEVELOPMENT & CULTURE	2542-24	06-15-2013	06-17-2013	FABRICLAND DISTRIBUTOR	169.21	CAD	169.21	CAD	2670	UNIFORMS	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5949	"Fabric, Needlework, Piece Goods, and Sew"	FABRICS & NOTIONS FOR MAKING REPRODUCTION COSTUMES	
					326.35	CAD	326.35	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2525-18	06-03-2013	06-05-2013	WAL-MART #3635	18.26	CAD	18.26	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0099	HS-MH-PUB-SCAR MUSEU	5310	Discount Stores	"PROGRAM GROCERY - VEG OIL, BUTTER, BERRIES"	
ECONOMIC DEVELOPMENT & CULTURE	2525-19	06-04-2013	06-05-2013	SHERIDAN NURSERIES SCA	4.47	CAD	4.47	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	AH0099	HS-MH-PUB-SCAR MUSEU	5261	Lawn and Garden Supply Stores	PLANT FOR EXHIBIT	
ECONOMIC DEVELOPMENT & CULTURE	2529-10	06-06-2013	06-07-2013	RCSS SCARBOROUGH #2809	66.68	CAD	66.68	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0099	HS-MH-PUB-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	"PROGRAM GROCERY - FRUIT, PEPPERONI, PITA, PEPPER"	
ECONOMIC DEVELOPMENT & CULTURE	2531-18	05-31-2013	06-10-2013	THE ART FORUM	457.65	CAD	457.65	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	AH0051	HS-MH-BOA-SCAR MUSEU	5970	"Artist Supply Stores, Craft Shops"	FRAMING	
ECONOMIC DEVELOPMENT & CULTURE	2531-19	06-06-2013	06-10-2013	FOOD BASICS #653	105.60	CAD	105.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0099	HS-MH-PUB-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	"PROGRAM GROCERY - BUTTER, CHEESE, EGG, MILK, FOIL"	
ECONOMIC DEVELOPMENT & CULTURE	2531-20	06-07-2013	06-10-2013	CEDAR HEIGHTS HOME HAR	115.23	CAD	115.23	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0099	HS-MH-PUB-SCAR MUSEU	5251	Hardware Stores	DOOR MATS	
ECONOMIC DEVELOPMENT & CULTURE	2535-17	06-11-2013	06-12-2013	FABRICLAND DISTRIBUTOR	47.60	CAD	47.60	CAD	2670	UNIFORMS	AH0099	HS-MH-PUB-SCAR MUSEU	5949	"Fabric, Needlework, Piece Goods, and Sew"	COSTUME - FABRIC & DRAPERY	
ECONOMIC DEVELOPMENT & CULTURE	2537-21	06-11-2013	06-13-2013	FOOD BASICS #653	60.98	CAD	60.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0099	HS-MH-PUB-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	"PROGRAM GROCERY - CAKE, ICING, BUTTER, EGG, CHEESE"	
ECONOMIC DEVELOPMENT & CULTURE	2539-16	06-12-2013	06-14-2013	WAL-MART #3635	325.78	CAD	325.78	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUB-SCAR MUSEU	5310	Discount Stores	"PROGRAM SUPPLIES - CANVAS, INK, FABRICS, BUTTON, Y"	
ECONOMIC DEVELOPMENT & CULTURE	2539-17	06-13-2013	06-14-2013	RCSS SCARBOROUGH #2809	54.69	CAD	54.69	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0099	HS-MH-PUB-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	"PROGRAM GROCERY - MILK, COCONUT EXTRACT, ICING SUG"	
ECONOMIC DEVELOPMENT & CULTURE	2542-25	06-13-2013	06-17-2013	FOOD BASICS #653	11.58	CAD	11.58	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0099	HS-MH-PUB-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	PROGRAM GROCERY - LANTIC GRA.S & BRN.S	
ECONOMIC DEVELOPMENT & CULTURE	2545-17	06-17-2013	06-19-2013	THE PAPER PLACE	38.49	CAD	38.49	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	AH0051	HS-MH-BOA-SCAR MUSEU	5949	"Fabric, Needlework, Piece Goods, and Sew"	EXHIBIT MATERIALS - SHEETS	
ECONOMIC DEVELOPMENT & CULTURE	2546-13	06-18-2013	06-20-2013	FOOD BASICS #653	21.33	CAD	21.33	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0099	HS-MH-PUB-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	PROGRAM GROCERY - MILK & WHIP CREAM	
ECONOMIC DEVELOPMENT & CULTURE	2547-17	06-20-2013	06-21-2013	NOFRILLS DAVE'S #3924	17.73	CAD	17.73	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0099	HS-MH-PUB-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	PROGRAM GROCERY - SPRING WATER	
ECONOMIC DEVELOPMENT & CULTURE	2547-18	06-20-2013	06-21-2013	NOFRILLS DAVE'S #3924	90.96	CAD	90.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0099	HS-MH-PUB-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	"PROGRAM GROCERY - RELISH, PIE FILLING, MUSTARD, MI"	
ECONOMIC DEVELOPMENT & CULTURE	2547-19	06-20-2013	06-21-2013	PARTY CITY #2007	56.77	CAD	56.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUB-SCAR MUSEU	5947	"Card, Gift, Novelty, and Souvenir Shops"	"EVENT SUPPLIES - SCALLOP TRAY, FLOOR RUNNER, FAN"	
ECONOMIC DEVELOPMENT & CULTURE	2550-16	06-20-2013	06-24-2013	PAYPAL *MAYAPROMOTI	706.25	CAD	706.25	CAD	2792	"BANNERS, FLAGS & SIGNS"	AH0089	HS-MH-PRS-SCAR MUSEU	8999	Professional Services - Not Elsewhere Cl	EXHIBIT BANNER	
ECONOMIC DEVELOPMENT & CULTURE	2550-17	06-20-2013	06-24-2013	WAL-MART #3635	276.61	CAD	276.61	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUB-SCAR MUSEU	5310	Discount Stores	"PROGRAM SUPPLIES - MORTAR SHORT, HARI NET, FONDUE"	
ECONOMIC DEVELOPMENT & CULTURE	2550-18	06-21-2013	06-24-2013	RCSS SCARBOROUGH #2809	81.51	CAD	81.51	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0099	HS-MH-PUB-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	"PROGRAM GROCERY - VEG SHORT, EGG, MILK, WHIP CREAM"	
ECONOMIC DEVELOPMENT & CULTURE	2552-10	06-21-2013	06-25-2013	CDN TIRE STORE #00030	313.67	CAD	313.67	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUB-SCAR MUSEU	5200	Home Supply Warehouse	"PROGRAM SUPPLIES - 45K GMRS WATERP, JAR, JUG"	
ECONOMIC DEVELOPMENT & CULTURE	2552-11	06-24-2013	06-25-2013	NOFRILLS DAVE'S #3924	24.79	CAD	24.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0099	HS-MH-PUB-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	"PROGRAM GROCERY - CREAM, LEMONADE, CRN MEAL, TEA C"	
ECONOMIC DEVELOPMENT & CULTURE	2552-12	06-24-2013	06-25-2013	STOCKADE CRAFT SUPPLIE	338.44	CAD	338.44	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUB-SCAR MUSEU	5945	"Game, Toy, and Hobby Shops"	"PROGRAM SUPPLIES - RECTANGLE FRAME KIT, CIRCLE, CU"	
ECONOMIC DEVELOPMENT & CULTURE	2552-13	06-24-2013	06-25-2013	EAST END GARDEN CENTRE	185.37	CAD	185.37	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	AH0099	HS-MH-PUB-SCAR MUSEU	5261	Lawn and Garden Supply Stores	KINDLING	
ECONOMIC DEVELOPMENT & CULTURE	2554-12	06-24-2013	06-26-2013	EDUFUN INC.	211.31	CAD	211.31	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUB-SCAR MUSEU	5945	"Game, Toy, and Hobby Shops"	"PROGRAM SUPPLIES - KNIT/NANCY CORK, LOG CABIN IN A"	
ECONOMIC DEVELOPMENT & CULTURE	2556-17	06-25-2013	06-27-2013	PAYPAL *MAYAPROMOTI	79.10	CAD	79.10	CAD	2792	"BANNERS, FLAGS & SIGNS"	AH0089	HS-MH-PRS-SCAR MUSEU	8999	Professional Services - Not Elsewhere Cl	EXHIBIT SIGN	
ECONOMIC DEVELOPMENT & CULTURE	2556-18	06-26-2013	06-27-2013	CARR MCLEAN LTD	41.65	CAD	41.65	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	AH0081	HS-MH-EXH-SCAR MUSEU	5943	"Office, School Supply, and Stationery St"	CONSERVATION SUPPLIES - ACRYLOID	
ECONOMIC DEVELOPMENT & CULTURE	2556-19	06-26-2013	06-27-2013	GNS PARTY RENTALS	22.60	CAD	22.60	CAD	4590	RENTAL - OTHER	AH0099	HS-MH-PUB-SCAR MUSEU	5970	"Artist Supply Stores, Craft Shops"	COFFEE URN RENTAL	
ECONOMIC DEVELOPMENT & CULTURE	2557-14	06-27-2013	06-28-2013	FEDEX 722746286	25.80	CAD	25.80	CAD	4815	COURIER SERVICES	AH0099	HS-MH-PUB-SCAR MUSEU	4215	"Courier Services - Air & Ground, Freight"	COURIER	
ECONOMIC DEVELOPMENT & CULTURE	2557-15	06-27-2013	06-28-2013	HIGHLAND FARMS SCARBOR	30.01	CAD	30.01	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0099	HS-MH-PUB-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	PROGRAM GROCERY - BUTTERMILK	
ECONOMIC DEVELOPMENT & CULTURE	2557-16	06-27-2013	06-28-2013	NOFRILLS STEPHEN'S #34	5.34	CAD	5.34	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0099	HS-MH-PUB-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	PROGRAM GROCERY - LEMONADE	
