Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
					"3,995.50"	CAD	"3,995.50"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2006-18	05-24-2012	05-28-2012	THE HOME DEPOT #7073	5.64	CAD	5.64	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0154	CD-AM-FAC-FORT YORK	5200	Home Supply Warehouse	MONO ULTRA	
ECONOMIC DEVELOPMENT & CULTURE	2006-19	05-24-2012	05-28-2012	HOMESTEAD HOUSE COUNTR	68.60	CAD	68.60	CAD	2715	PAINT SUPPLIES	AH0154	CD-AM-FAC-FORT YORK	5231	"Glass, Paint, Wallpaper Stores"	PAINT	
ECONOMIC DEVELOPMENT & CULTURE	2006-20	05-25-2012	05-28-2012	THE HOME DEPOT #7013	11.28	CAD	11.28	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0154	CD-AM-FAC-FORT YORK	5200	Home Supply Warehouse	MONO ULTRA	
					85.52	CAD	85.52	CAD								
PUBLIC HEALTH	2010-8	05-29-2012	05-30-2012	ISC 2	89.74	CAD	85.00	USD	4760	MEMBERSHIP FEES	PH1051	INFO TECHNOLOGY	8299	Educational Services	MEMBERSHIP FEES	
PUBLIC HEALTH	2010-9	05-29-2012	05-30-2012	MUNICIPAL INFORMATION	28.25	CAD	28.25	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	PH1051	INFO TECHNOLOGY	8699	"Organizations, Membership - Not Elsewher"	TRAINING & DEVELOPMENT - EXTERNAL	
					117.99	CAD	28.25	CAD								
							85.00	USD								
"PARKS, FORESTRY & RECREATION"	1972-7	05-03-2012	05-04-2012	ARDENE #218	124.35	CAD	124.35	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02029	BLOORDALE CS-ARTS-VI	5631	Women's Accessory and Specialty Stores	COSTUMES FOR DANCE RECITAL	
"PARKS, FORESTRY & RECREATION"	1977-18	05-03-2012	05-07-2012	WAL-MART # 5742	45.46	CAD	45.46	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10035	BLOORDALE CS-INSTRL	5411	"Grocery Stores, Supermarkets"	TENNIS BALLS FOR TENNIS PROGRAM	
"PARKS, FORESTRY & RECREATION"	1977-19	05-04-2012	05-07-2012	MICHAELS OF CANADA #34	96.80	CAD	96.80	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10035	BLOORDALE CS-INSTRL	5945	"Game, Toy, and Hobby Shops"	CRAFT SUPPLIES FOR DANCE RECITAL	
"PARKS, FORESTRY & RECREATION"	1977-20	05-04-2012	05-07-2012	ARDENE #307	22.60	CAD	22.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02029	BLOORDALE CS-ARTS-VI	5631	Women's Accessory and Specialty Stores	COSTUMES FOR DANCE RECITAL	
"PARKS, FORESTRY & RECREATION"	1977-21	05-04-2012	05-07-2012	SIBLINGS #1093	33.60	CAD	33.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02029	BLOORDALE CS-ARTS-VI	5691	Men's and Women's Clothing Stores	COSTUMES FOR DANCE RECITAL	
"PARKS, FORESTRY & RECREATION"	1977-22	05-04-2012	05-07-2012	URBAN PLANET #1389	406.29	CAD	406.29	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02029	BLOORDALE CS-ARTS-VI	5691	Men's and Women's Clothing Stores	COSTUMES FOR DANCE RECITAL	
"PARKS, FORESTRY & RECREATION"	2000-6	05-18-2012	05-23-2012	AMAZING PARTY   COSTUM	17.97	CAD	17.97	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02029	BLOORDALE CS-ARTS-VI	5947	"Card, Gift, Novelty, and Souvenir Shops"	COSTUMES FOR DANCE RECITAL	
					747.07	CAD	747.07	CAD								
EMERGENCY MEDICAL SERVICES	1972-8	05-03-2012	05-04-2012	HAMILTON PARKING - CON	5.00	CAD	5.00	CAD	4770	PARKING EXPENSES (INTOWN)	B15020	DIVISIONAL CHARGES	7523	Automobile Parking Lots and Garages	PARKING - VIP RECEPTION PUBLIC SRVC MEETING	
					5.00	CAD	5.00	CAD								
AFFORDABLE HOUSING OFFICE	2002-12	05-23-2012	05-24-2012	CO-OP CABS - 2707	12.50	CAD	12.50	CAD	4220	BUSINESS TRAV - GROUND TRANSPORTATION	H20001	AHO - HSG DEV ADM E	4121	Limousines and Taxicabs	METRO HALL TO CMHC MEETING	
AFFORDABLE HOUSING OFFICE	2006-21	05-25-2012	05-28-2012	A4U TAXI LTD	11.25	CAD	11.25	CAD	4220	BUSINESS TRAV - GROUND TRANSPORTATION	H20001	AHO - HSG DEV ADM E	4121	Limousines and Taxicabs	FROM CMHC TO METRO HALL	
					23.75	CAD	23.75	CAD								
"PARKS, FORESTRY & RECREATION"	2004-11	05-24-2012	05-25-2012	BRENNTAG CANADA INC	150.52	CAD	150.52	CAD	2401	LUBRICANTS	P10908	NY SKI CTR-OPS	5169	Chemicals and Allied Products Not Elsewh	CASTOR OIL	
					150.52	CAD	150.52	CAD								
"PARKS, FORESTRY & RECREATION"	1980-19	05-08-2012	05-09-2012	FUTURE SHOP #617	85.19	CAD	85.19	CAD	3030	M & E - OFFICE	P04761	WALLACE EMERSON-H CA	5732	Electronic Sales	FAX MACHINE	
"PARKS, FORESTRY & RECREATION"	1980-20	05-08-2012	05-09-2012	STAPLES STORE #86	39.87	CAD	39.87	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P04761	WALLACE EMERSON-H CA	5943	"Office, School Supply, and Stationery St"	PORTABLE FILE AND STORAGE CARTS	
"PARKS, FORESTRY & RECREATION"	1986-13	05-09-2012	05-11-2012	ZELLERS #250	58.61	CAD	58.61	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P04761	WALLACE EMERSON-H CA	5310	Discount Stores	PORTABLE FILE AND STORAGE CARTS	
"PARKS, FORESTRY & RECREATION"	1994-8	05-15-2012	05-17-2012	ZELLERS #250	66.14	CAD	66.14	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P04761	WALLACE EMERSON-H CA	5310	Discount Stores	FANS	
					249.81	CAD	249.81	CAD								
EMERGENCY MEDICAL SERVICES	1977-23	04-30-2012	05-07-2012	COLT PAPER	299.45	CAD	299.45	CAD	2730	LOCKS	B46700	ALS OPERATIONS	5943	"Office, School Supply, and Stationery St"	LOCKS & PRESS PACKING LIST	
					299.45	CAD	299.45	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1971-13	05-01-2012	05-03-2012	PAYPAL *PERUVIANCAN	10.00	CAD	10.00	CAD	4118	TICKETS AND ADMISSION FEES	ED0057	BUS DEV-OTHER SECTOR	8999	Professional Services - Not Elsewhere Cl	TICKET TO EVENT	
ECONOMIC DEVELOPMENT & CULTURE	1984-9	05-09-2012	05-10-2012	MANHATTAN CLASSIC GRIL	38.81	CAD	38.81	CAD	4823	MEALS-OUTSIDE LOC'S	ED0057	BUS DEV-OTHER SECTOR	5812	"Eating Places, Restaurants"	BUSINESS MEETING W/ EXTERNAL CLIENTS	
ECONOMIC DEVELOPMENT & CULTURE	1995-14	05-16-2012	05-18-2012	CAFE CREPE	38.34	CAD	38.34	CAD	4823	MEALS-OUTSIDE LOC'S	ED0057	BUS DEV-OTHER SECTOR	5812	"Eating Places, Restaurants"	BUSINESS MEETING W/ EXTERNAL CLIENTS	
ECONOMIC DEVELOPMENT & CULTURE	1998-15	05-17-2012	05-22-2012	PAYPAL *BCCC CHAMBE	50.00	CAD	50.00	CAD	4118	TICKETS AND ADMISSION FEES	ED0057	BUS DEV-OTHER SECTOR	9399	Government Services - Not Elsewhere Clas	TICKET TO EVENT	
					137.15	CAD	137.15	CAD								
"PARKS, FORESTRY & RECREATION"	1995-15	05-17-2012	05-18-2012	B E LARKIN EQUIPMENT L	880.36	CAD	880.36	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00263	E-CENTRAL1-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	DRIVELINE	
"PARKS, FORESTRY & RECREATION"	2010-10	05-29-2012	05-30-2012	B E LARKIN EQUIPMENT L	366.00	CAD	366.00	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	BLADES	
"PARKS, FORESTRY & RECREATION"	2010-11	05-29-2012	05-30-2012	B E LARKIN EQUIPMENT L	6.46	CAD	6.46	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00265	E-CENTRAL3-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	CAP	
					"1,252.82"	CAD	"1,252.82"	CAD								
"PARKS, FORESTRY & RECREATION"	1977-24	05-04-2012	05-07-2012	TUCKERS POTTERY SUPPLI	116.39	CAD	116.39	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11686	MATTY ECKLER-SOC PGM	5970	"Artist Supply Stores, Craft Shops"	POTTER SUPPLIES FOR PROGRAM	
"PARKS, FORESTRY & RECREATION"	1986-14	05-10-2012	05-11-2012	TUCKERS POTTERY SUPPLI	15.82	CAD	15.82	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11686	MATTY ECKLER-SOC PGM	5970	"Artist Supply Stores, Craft Shops"	POTTER SUPPLIES FOR PROGRAM	
"PARKS, FORESTRY & RECREATION"	1988-14	05-08-2012	05-14-2012	AFFORDABLE TEXTILE	889.31	CAD	889.31	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11686	MATTY ECKLER-SOC PGM	5399	Miscellaneous General Merchandise	FABRIC:BALLET & MUSICAL THEATRE RECITAL COSTUMES	
"PARKS, FORESTRY & RECREATION"	1988-15	05-11-2012	05-14-2012	THE SOURCE 5138	25.98	CAD	25.98	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P11686	MATTY ECKLER-SOC PGM	5732	Electronic Sales	KEYBOARD ADAPTER	
"PARKS, FORESTRY & RECREATION"	1998-16	05-16-2012	05-22-2012	AFFORDABLE TEXTILE	85.32	CAD	85.32	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10447	MATTY ECKLER-PGM SUP	5399	Miscellaneous General Merchandise	FABRIC:BALLET & MUSICAL THEATRE RECITAL COSTUMES	
"PARKS, FORESTRY & RECREATION"	2002-13	05-17-2012	05-24-2012	EAGLE BEAVER SPORTS LT	31.33	CAD	31.33	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13181	INSTSPRT-TEY - WOMEN	5941	Sporting Goods Stores	PITCHING RUBBER & CARRY BAG FOR BASES	
"PARKS, FORESTRY & RECREATION"	2004-12	05-24-2012	05-25-2012	STAPLES STORE #286	95.81	CAD	95.81	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P10447	MATTY ECKLER-PGM SUP	5943	"Office, School Supply, and Stationery St"	COLOURED PAPER	
					"1,259.96"	CAD	"1,259.96"	CAD								
"PARKS, FORESTRY & RECREATION"	1988-16	05-10-2012	05-14-2012	ONEIDA EQUIPMENT LTD	255.83	CAD	255.83	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P12136	ALNESS YD-FORESTRY-P	5712	"Equipment, Furniture, and Home Furnishin"	REAPIR TO 3 SAWS	
"PARKS, FORESTRY & RECREATION"	1994-9	05-15-2012	05-17-2012	CDN TIRE STORE #00019	23.70	CAD	23.70	CAD	2710	GENERAL HARDWARE	P12136	ALNESS YD-FORESTRY-P	5200	Home Supply Warehouse	LINOLEUM KNIFES	
"PARKS, FORESTRY & RECREATION"	1995-16	05-17-2012	05-18-2012	SHEPHERD'S UTILITY EQU	324.31	CAD	324.31	CAD	3045	M & E - PROTECTIVE	P12136	ALNESS YD-FORESTRY-P	5072	Hardware Equipment and Supplies	BUCKET HARNESS & LANYARDS	
					603.84	CAD	603.84	CAD								
CITY CLERK'S OFFICE	1989-7	05-14-2012	05-15-2012	ISTOCK *INTERNATIONAL	98.03	CAD	98.03	CAD	2080	PHOTOGRAPHIC AND VIDEO SUPPLIES	GV0028	DPM - GRAPHIC DESIGN	5971	Art Dealers and Galleries	PHOTOS FOR CANADA DAY FLYERS	
CITY CLERK'S OFFICE	2012-9	05-30-2012	05-31-2012	ISTOCK *INTERNATIONAL	46.05	CAD	46.05	CAD	2080	PHOTOGRAPHIC AND VIDEO SUPPLIES	GV0028	DPM - GRAPHIC DESIGN	5971	Art Dealers and Galleries	PHOTO FOR COVER OF FUN GUIDE	
					144.08	CAD	144.08	CAD								
TRANSPORTATION SERVICES 	1971-14	05-01-2012	05-03-2012	THE HOME DEPOT #7112	406.71	CAD	406.71	CAD	2710	GENERAL HARDWARE	TP0103	"RW CLEAN-ME SW-D1,A1"	5200	Home Supply Warehouse	30X50 BTARP - tarps	
					406.71	CAD	406.71	CAD								
"PARKS, FORESTRY & RECREATION"	1986-15	05-09-2012	05-11-2012	THE POOL SUPPLY CENTRE	233.68	CAD	233.68	CAD	2710	GENERAL HARDWARE	P04936	JOHN ENGLISH CS-H CA	5996	Swimming Pools - Sales and Supplies	LANE ROPE & FLOATS	
"PARKS, FORESTRY & RECREATION"	1998-17	05-18-2012	05-22-2012	STAPLES STORE #11	62.11	CAD	62.11	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P04936	JOHN ENGLISH CS-H CA	5943	"Office, School Supply, and Stationery St"	CASH REGISTER TAPES	
					295.79	CAD	295.79	CAD								
TRANSPORTATION SERVICES 	1972-9	05-02-2012	05-04-2012	THE HOME DEPOT #7134	-11.26	CAD	-11.26	CAD	2575	ELECTRICAL SUPPLIES	TP0100	"RW SURF REPAIR-D1,A1"	5200	Home Supply Warehouse	F96T12CW 2PK	
TRANSPORTATION SERVICES 	1998-18	05-18-2012	05-22-2012	THE HOME DEPOT #7134	433.51	CAD	433.51	CAD	2710	GENERAL HARDWARE	TP0100	"RW SURF REPAIR-D1,A1"	5200	Home Supply Warehouse	STUCCO	
					422.25	CAD	422.25	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1972-10	05-02-2012	05-04-2012	TPL ROOM BOOKINGS	56.50	CAD	56.50	CAD	4590	RENTAL - OTHER	AH0035	CD-RP-PRC-METRO HALL	9399	Government Services - Not Elsewhere Clas	USE OF AUDITORIUM AND MEETING ROOMS	
					56.50	CAD	56.50	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1979-11	05-07-2012	05-08-2012	CANADIAN MUSEUMS ASSOC	113.00	CAD	113.00	CAD	4760	MEMBERSHIP FEES	AH0126	AS-PS-EXH-MKT GALL	8699	"Organizations, Membership - Not Elsewher"	AFFILIATE MEMBERSHIP #392 FOR MKT GALLERY	
ECONOMIC DEVELOPMENT & CULTURE	2010-14	05-29-2012	05-30-2012	PACART	348.15	CAD	348.15	CAD	4416	"TRANSFER, HAULAGE AND STORAGE"	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	4789	Transportation Services-Not Elsewhere Cl	LOCAL COLLECTION & DELIVERY OF ART	
ECONOMIC DEVELOPMENT & CULTURE	2012-10	05-30-2012	05-31-2012	LARSON JUHL #1	578.87	CAD	578.87	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5970	"Artist Supply Stores, Craft Shops"	"REGULAR GLASS&BACKING,GARNET ALPHAMAT,TAPE & SPRAY"	
					"1,040.02"	CAD	"1,040.02"	CAD								
"PARKS, FORESTRY & RECREATION"	1995-17	05-16-2012	05-18-2012	THE HOME DEPOT #7114	82.31	CAD	82.31	CAD	2715	PAINT SUPPLIES	P06776	ELMBANK-PGM SUPP	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2006-24	05-25-2012	05-28-2012	MAD SCIENCE OF TORONTO	175.15	CAD	175.15	CAD	4102	ENTERTAINER AND BAND FEES	P06535	ELMBANK CC-SOC PGM	7929	"Bands, Orchestras, and Miscellaneous Ent"	AFTERSCHOOL PROGRAM: MAD SCIENCE	
"PARKS, FORESTRY & RECREATION"	2006-25	05-25-2012	05-28-2012	MAD SCIENCE OF TORONTO	175.15	CAD	175.15	CAD	4102	ENTERTAINER AND BAND FEES	P06535	ELMBANK CC-SOC PGM	7929	"Bands, Orchestras, and Miscellaneous Ent"	AFTERSCHOOL PROGRAM: MAD SCIENCE	
"PARKS, FORESTRY & RECREATION"	2006-26	05-25-2012	05-28-2012	THE HOME DEPOT #7114	12.16	CAD	12.16	CAD	2730	LOCKS	P06776	ELMBANK-PGM SUPP	5200	Home Supply Warehouse	KEY BLANK	
"PARKS, FORESTRY & RECREATION"	2006-27	05-26-2012	05-28-2012	WAL-MART # 3740	46.66	CAD	46.66	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06776	ELMBANK-PGM SUPP	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS FOR STOMP 2012	
"PARKS, FORESTRY & RECREATION"	2012-11	05-30-2012	05-31-2012	SHOPPERSDRUGMART0857	12.00	CAD	12.00	CAD	4225	BUSINESS TRAV - PUBLIC TRANSIT	P06535	ELMBANK CC-SOC PGM	5912	"Drug Stores, Pharmacies"	BUS TICKETS FOR AFTERSCHOOL TRIP	
					503.43	CAD	503.43	CAD								
LONG TERM CARE HOMES	2010-15	05-29-2012	05-30-2012	LOBLAWS #029	12.03	CAD	12.03	CAD	2741	FOOD COSTS	D3B032	CASTLEVW WYCHWD-FN-R	5411	"Grocery Stores, Supermarkets"	*****	
					12.03	CAD	12.03	CAD								
"PARKS, FORESTRY & RECREATION"	1968-9	05-01-2012	05-02-2012	J   J TRAILERS MANUFAC	65.09	CAD	65.09	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5561	"Camper Dealers, Recreational and Utility"	SAFETY HOOK	
"PARKS, FORESTRY & RECREATION"	1968-10	05-01-2012	05-02-2012	INTERLINE WHOLESALE HA	81.83	CAD	81.83	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5072	Hardware Equipment and Supplies	BRACKETS	
"PARKS, FORESTRY & RECREATION"	1971-15	05-01-2012	05-03-2012	NAPA SCARBOROUGH #136	24.97	CAD	24.97	CAD	2575	ELECTRICAL SUPPLIES	P00038	E-FIELD SERV. 1-PRGM	5533	"Automotive Parts, Accessories Stores"	ELECTRICAL PARTS	
"PARKS, FORESTRY & RECREATION"	1977-25	05-03-2012	05-07-2012	SAM TRUCK AND AUTO ELE	197.75	CAD	197.75	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	7531	Automotive Body and Repair Shops	ALTERNATOR	
"PARKS, FORESTRY & RECREATION"	1977-26	05-04-2012	05-07-2012	ALPINE LAWN   GARDEN E	103.74	CAD	103.74	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5261	Lawn and Garden Supply Stores	AUTOCUTS	
"PARKS, FORESTRY & RECREATION"	1977-27	05-04-2012	05-07-2012	ALPINE LAWN   GARDEN E	58.80	CAD	58.80	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5261	Lawn and Garden Supply Stores	FUEL TANK	
"PARKS, FORESTRY & RECREATION"	1977-28	05-04-2012	05-07-2012	CROSSTOWN BATTERY SALE	94.75	CAD	94.75	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5533	"Automotive Parts, Accessories Stores"	BATTERY	
"PARKS, FORESTRY & RECREATION"	1977-29	05-04-2012	05-07-2012	CROSSTOWN BATTERY SALE	94.75	CAD	94.75	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00830	TECH SERV. 1-FLEET E	5533	"Automotive Parts, Accessories Stores"	BATTERY	
"PARKS, FORESTRY & RECREATION"	1984-10	05-08-2012	05-10-2012	BRAFASCO / SCARBOROUGH	216.28	CAD	216.28	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00265	E-CENTRAL3-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	CABLE	
"PARKS, FORESTRY & RECREATION"	1984-11	05-08-2012	05-10-2012	NAPA SCARBOROUGH #136	39.38	CAD	39.38	CAD	2575	ELECTRICAL SUPPLIES	P00833	TECH SERV. 3-PARKS C	5533	"Automotive Parts, Accessories Stores"	ELECTRICAL CIRCUIT TESTER	
"PARKS, FORESTRY & RECREATION"	1986-17	05-09-2012	05-11-2012	A.D.G. FORWARD CANADA	196.62	CAD	196.62	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P00830	TECH SERV. 1-FLEET E	5085	Industrial Supplies Not Elsewhere Classi	HOIST INSPECTED	
"PARKS, FORESTRY & RECREATION"	1988-17	05-11-2012	05-14-2012	ALPINE LAWN   GARDEN E	12.86	CAD	12.86	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00265	E-CENTRAL3-TURF&HORT	5261	Lawn and Garden Supply Stores	GUIDE COMP AIR	
"PARKS, FORESTRY & RECREATION"	1988-18	05-11-2012	05-14-2012	FASTENALCOMPANY ONT03C	46.02	CAD	46.02	CAD	2710	GENERAL HARDWARE	P00268	E-NORTH2-TURF&HORT	5211	"Building Materials, Lumber Stores"	BOLTS	
"PARKS, FORESTRY & RECREATION"	2010-16	05-29-2012	05-30-2012	DTC INDUSTRIAL SALES L	111.49	CAD	111.49	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00265	E-CENTRAL3-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	HOSES	
					"1,344.33"	CAD	"1,344.33"	CAD								
"PARKS, FORESTRY & RECREATION"	1968-11	04-30-2012	05-02-2012	WAL-MART # 3111	41.62	CAD	41.62	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12851	STAFF SUPPORT - TEY	5411	"Grocery Stores, Supermarkets"	SNACKS FOR TRAIN THE TRAINER SESSION	
"PARKS, FORESTRY & RECREATION"	2000-7	05-22-2012	05-23-2012	LOBLAWS 4.2	276.31	CAD	276.31	CAD	4820	BUSINESS MEETING EXPENSES	P09925	MCCORMICK RC-INSTRL	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS FOR STAFF MTG	
"PARKS, FORESTRY & RECREATION"	2002-14	05-23-2012	05-24-2012	NOFRILLS JOSEPHS 730	10.22	CAD	10.22	CAD	4820	BUSINESS MEETING EXPENSES	P09925	MCCORMICK RC-INSTRL	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS FOR STAFF MTG	
					328.15	CAD	328.15	CAD								
"PARKS, FORESTRY & RECREATION"	2012-12	05-30-2012	05-31-2012	STAPLES STORE #86	64.19	CAD	64.19	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P12757	W-E COMM GARDENS-PRO	5943	"Office, School Supply, and Stationery St"	"DUST CLEANER, WEEKLY PLANNERS"	
					64.19	CAD	64.19	CAD								
LONG TERM CARE HOMES	1968-12	05-01-2012	05-02-2012	CANADIAN CARD SYSTEMS	50.29	CAD	50.29	CAD	2810	RESIDENT ID	D3F144	7 OAKS-NS-NA	7338	"Quick Copy, Reproduction, and Blueprinti"	RESIDENT ADDRESSOGRAPH CARDS	
LONG TERM CARE HOMES	1971-16	05-01-2012	05-03-2012	PRINT THREE #28	48.03	CAD	48.03	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3F083	7 OAKS-PS-PS	2741	Miscellaneous Publishing and Printing	RESIDENT MONTHLY CALENDAR	
LONG TERM CARE HOMES	1992-15	05-14-2012	05-16-2012	CDW CANADA	426.03	CAD	426.03	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	D3F083	7 OAKS-PS-PS	5734	Computer Software Stores	*****	
LONG TERM CARE HOMES	1994-10	05-16-2012	05-17-2012	SPECTRUM NASCO SIMFG	36.61	CAD	36.61	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3F083	7 OAKS-PS-PS	5943	"Office, School Supply, and Stationery St"	RESIDENT ACTIVITY SUPPLIES	
LONG TERM CARE HOMES	1995-18	05-17-2012	05-18-2012	BROWEL'S MANUFACTURING	113.05	CAD	113.05	CAD	2810	RESIDENT ID	D3F144	7 OAKS-NS-NA	7692	Welding Repair	RESIDENT HOME BRACELETS	
LONG TERM CARE HOMES	2010-17	05-29-2012	05-30-2012	BROWEL'S MANUFACTURING	55.65	CAD	55.65	CAD	2810	RESIDENT ID	D3F144	7 OAKS-NS-NA	7692	Welding Repair	RESIDENT HOME BRACELETS	
					729.66	CAD	729.66	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1977-30	05-04-2012	05-07-2012	PHARMA PLUS #0224	12.41	CAD	12.41	CAD	2575	ELECTRICAL SUPPLIES	AH0021	CD-AM-FAC-ZION CHURC	5912	"Drug Stores, Pharmacies"	AAA & AA BATTERIES FOR T-STATS AT ZION	
ECONOMIC DEVELOPMENT & CULTURE	1984-12	05-09-2012	05-10-2012	FRANK MECHANICAL   MAC	474.60	CAD	474.60	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	AH0029	CD-AM-FAC-METRO HALL	7699	Miscellaneous Repair Shops and Related S	12V BATTERY & EMERGENCY SERVICES FOR HERTZ LIFT	
ECONOMIC DEVELOPMENT & CULTURE	1992-16	05-14-2012	05-16-2012	DUBINER INDUSTRIES LTD	"3,384.35"	CAD	"3,384.35"	CAD	3099	GENERAL EQUIPMENT	AH0155	CD-AM-FAC-CHAPLIN C	5251	Hardware Stores	20' POWERMATIC THICKNESS PLANER	
					"3,871.36"	CAD	"3,871.36"	CAD								
"PARKS, FORESTRY & RECREATION"	1994-11	05-15-2012	05-17-2012	ZELLERS #322	28.35	CAD	28.35	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02461	CUMMER-INSTRL-INDR	5310	Discount Stores	PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1994-12	05-15-2012	05-17-2012	CDN TIRE STORE #00192	145.84	CAD	145.84	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02537	CUMMER-LEISURE/PBLC-	5200	Home Supply Warehouse	"HYDROMETER, CD BOOM BOX,UMBRELLA"	
"PARKS, FORESTRY & RECREATION"	1994-13	05-15-2012	05-17-2012	ZELLERS #322	-28.35	CAD	-28.35	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02461	CUMMER-INSTRL-INDR	5310	Discount Stores	RETURN OF PGRM SUPPLIES	
					145.84	CAD	145.84	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1988-19	05-11-2012	05-14-2012	FABRICLAND DISTRIBUTOR	192.19	CAD	192.19	CAD	2670	UNIFORMS	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5949	"Fabric, Needlework, Piece Goods, and Sew"	NOTIONS/BUTTONS FOR HISTORIC REPRODUCTION CLOTHING	
ECONOMIC DEVELOPMENT & CULTURE	1988-20	05-11-2012	05-14-2012	STERLING BUTTONS	90.40	CAD	90.40	CAD	2670	UNIFORMS	AH0101	HS-MH-PUB-FORT YORK	5131	"Piece Goods, Notions, and Other Dry Good"	BUTTONS FOR HISTORIC REPRODUCTION CLOTHING	
					282.59	CAD	282.59	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1977-31	05-04-2012	05-07-2012	PINE RIVER CHEESE AND	249.45	CAD	249.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0115	HS-MH-RET-MONTGOMERY	5451	Dairy Product Stores	FOOD SUPPLIES - CHEESE	
					249.45	CAD	249.45	CAD								
