Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Elelment	Cost Centre / WBS Elelment Description	Merchant Type	Merchant Type Description	Purpose	
					"3,202.75"	CAD	"3,202.75"	CAD								
"PARKS, FORESTRY & RECREATION"	2058-72	06-28-2012	07-03-2012	THE HOME DEPOT #7011	13.93	CAD	13.93	CAD	2775	ASPHALT	P08627	W-Y O/D POOL-OPS	5200	Home Supply Warehouse	ASPH. REPAIR	
"PARKS, FORESTRY & RECREATION"	2060-35	07-03-2012	07-04-2012	AQUATECH LOGISTIC	524.32	CAD	524.32	CAD	2415	CHLORINE	P08627	W-Y O/D POOL-OPS	5996	Swimming Pools - Sales and Supplies	OUTDOOR POOL SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2060-36	07-03-2012	07-04-2012	AQUATECH LOGISTIC	426.01	CAD	426.01	CAD	2415	CHLORINE	P08627	W-Y O/D POOL-OPS	5996	Swimming Pools - Sales and Supplies	OUTDOOR POOL SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2060-37	07-03-2012	07-04-2012	AQUATECH LOGISTIC	163.85	CAD	163.85	CAD	2415	CHLORINE	P08627	W-Y O/D POOL-OPS	5996	Swimming Pools - Sales and Supplies	OUTDOOR POOL SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2065-66	06-29-2012	07-06-2012	MR PRINTER	12.20	CAD	12.20	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12783	KIPLING YD-N-FAC&MEC	7338	"Quick Copy, Reproduction, and Blueprinti"	DRAWINGS	
"PARKS, FORESTRY & RECREATION"	2071-52	07-05-2012	07-11-2012	LOCK-UP SERVICES INC.	51.98	CAD	51.98	CAD	2730	LOCKS	P12783	KIPLING YD-N-FAC&MEC	7393	"Detective Agencies, Protective Agencies,"	KIPLING YARD GATES KEYS	
"PARKS, FORESTRY & RECREATION"	2073-65	07-10-2012	07-12-2012	BRAFASCO / ETOBICOKE	92.65	CAD	92.65	CAD	2710	GENERAL HARDWARE	P12783	KIPLING YD-N-FAC&MEC	5085	Industrial Supplies Not Elsewhere Classi	SHOP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2073-66	07-10-2012	07-12-2012	TENAQUIP LIMITED	292.87	CAD	292.87	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P12783	KIPLING YD-N-FAC&MEC	5251	Hardware Stores	SHADE UPMBRELLA	
"PARKS, FORESTRY & RECREATION"	2073-67	07-10-2012	07-12-2012	CDN TIRE STORE #00070	167.08	CAD	167.08	CAD	2710	GENERAL HARDWARE	P12783	KIPLING YD-N-FAC&MEC	5200	Home Supply Warehouse	SHOP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2077-96	07-11-2012	07-16-2012	PLANT WORLD LIMITED	56.79	CAD	56.79	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12783	KIPLING YD-N-FAC&MEC	5261	Lawn and Garden Supply Stores	SAND BAGS	
"PARKS, FORESTRY & RECREATION"	2077-97	07-12-2012	07-16-2012	PLANT WORLD LIMITED	31.56	CAD	31.56	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12783	KIPLING YD-N-FAC&MEC	5261	Lawn and Garden Supply Stores	SAND BAGS	
"PARKS, FORESTRY & RECREATION"	2078-22	07-13-2012	07-17-2012	KOTYCK BROS LIMITED	"1,038.71"	CAD	"1,038.71"	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC&MEC	1520	General Contractors - Residential and Co	PLUMBING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2078-23	07-13-2012	07-17-2012	KOTYCK BROS LIMITED	340.23	CAD	340.23	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC&MEC	1520	General Contractors - Residential and Co	PLUMBING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2078-24	07-13-2012	07-17-2012	KOTYCK BROS LIMITED	472.11	CAD	472.11	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC&MEC	1520	General Contractors - Residential and Co	PLUMBING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2078-25	07-13-2012	07-17-2012	KOTYCK BROS LIMITED	"-1,038.71"	CAD	"-1,038.71"	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC&MEC	1520	General Contractors - Residential and Co	REFUND	
"PARKS, FORESTRY & RECREATION"	2097-57	07-26-2012	07-30-2012	LOCK-UP SERVICES INC.	8.14	CAD	8.14	CAD	2730	LOCKS	P12783	KIPLING YD-N-FAC&MEC	7393	"Detective Agencies, Protective Agencies,"	KEYS CUT	
					"2,653.72"	CAD	"2,653.72"	CAD								
"PARKS, FORESTRY & RECREATION"	2065-67	07-04-2012	07-06-2012	SHOPPERSDRUGMART1314	52.00	CAD	52.00	CAD	4118	TICKETS AND ADMISSION FEES	P04111	SCAR VILLAGE RC-SUMR	5912	"Drug Stores, Pharmacies"	TICKETS FOR SUMMER CAMP	
"PARKS, FORESTRY & RECREATION"	2075-71	07-12-2012	07-13-2012	TORONTO ZOO-ADMISSIONS	552.00	CAD	552.00	CAD	4118	TICKETS AND ADMISSION FEES	P04111	SCAR VILLAGE RC-SUMR	7996	"Amusement Parks, Carnivals, Circuses, Fo"	TICKETS FOR SUMMER CAMP	
"PARKS, FORESTRY & RECREATION"	2075-72	07-12-2012	07-13-2012	TORONTO ZOO-ADMISSIONS	404.00	CAD	404.00	CAD	4118	TICKETS AND ADMISSION FEES	P04111	SCAR VILLAGE RC-SUMR	7996	"Amusement Parks, Carnivals, Circuses, Fo"	TICKETS FOR SUMMER CAMP	
"PARKS, FORESTRY & RECREATION"	2077-98	07-12-2012	07-16-2012	TM- BLUE JAYS BASEBALL	828.00	CAD	828.00	CAD	4118	TICKETS AND ADMISSION FEES	P04111	SCAR VILLAGE RC-SUMR	7922	Theatrical Producers (except Motion Pict	TICKETS FOR SUMMER CAMP	
					"1,836.00"	CAD	"1,836.00"	CAD								
"PARKS, FORESTRY & RECREATION"	2058-73	06-28-2012	07-03-2012	THE BARGAIN SHOP #5270	30.94	CAD	30.94	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPS-RIVERDALE	5310	Discount Stores	CAMP CRAFTS SUPPLIES-COTTON PUFFS TRACTOR	
"PARKS, FORESTRY & RECREATION"	2058-74	06-30-2012	07-03-2012	FABRICLAND DISTRIBUTOR	60.24	CAD	60.24	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPS-RIVERDALE	5949	"Fabric, Needlework, Piece Goods, and Sew"	CRAFT SUPPLIES FOR SEWING/QUILTING	
"PARKS, FORESTRY & RECREATION"	2063-59	07-04-2012	07-05-2012	NOFRILLS COSIMO'S #347	121.56	CAD	121.56	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPS-RIVERDALE	5411	"Grocery Stores, Supermarkets"	FARM - KITCHEN SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2066-78	07-06-2012	07-09-2012	NOFRILLS COSIMO'S #347	43.10	CAD	43.10	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12286	PS-OP-SPS-RIVERDALE	5411	"Grocery Stores, Supermarkets"	FARM - KITCHEN SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2066-79	07-06-2012	07-09-2012	WAL-MART #3159	85.73	CAD	85.73	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPS-RIVERDALE	5411	"Grocery Stores, Supermarkets"	WOOD OVEN SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2071-53	07-10-2012	07-11-2012	SOBEYS #938        QPS	75.31	CAD	75.31	CAD	*****	FOOD & NON-ALCOHOLIC BEVERAGES	P12286	PS-OP-SPS-RIVERDALE	5411	"Grocery Stores, Supermarkets"	FARM - KITCHEN SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2077-99	07-14-2012	07-16-2012	WAL-MART #3159	105.81	CAD	105.81	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPS-RIVERDALE	5411	"Grocery Stores, Supermarkets"	CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2081-34	07-16-2012	07-18-2012	SHOPPERSDRUGMART0500	29.30	CAD	29.30	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPS-RIVERDALE	5912	"Drug Stores, Pharmacies"	HAIR NETS FOR KITCHEN	
"PARKS, FORESTRY & RECREATION"	2083-61	07-16-2012	07-19-2012	DESERRES	218.61	CAD	218.61	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPS-RIVERDALE	5970	"Artist Supply Stores, Craft Shops"	CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2083-62	07-18-2012	07-19-2012	NOFRILLS COSIMO'S #347	125.09	CAD	125.09	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12286	PS-OP-SPS-RIVERDALE	5411	"Grocery Stores, Supermarkets"	FARM - KITCHEN SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2088-27	07-23-2012	07-24-2012	SOBEYS #938        QPS	22.04	CAD	22.04	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12286	PS-OP-SPS-RIVERDALE	5411	"Grocery Stores, Supermarkets"	FARM - KITCHEN SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2091-67	07-23-2012	07-25-2012	WAL-MART # 3105	101.70	CAD	101.70	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPS-RIVERDALE	5310	Discount Stores	UMBRELLAS	
"PARKS, FORESTRY & RECREATION"	2094-41	07-25-2012	07-26-2012	SOBEYS #938        QPS	29.60	CAD	29.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12286	PS-OP-SPS-RIVERDALE	5411	"Grocery Stores, Supermarkets"	FARM - KITCHEN SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2095-68	07-26-2012	07-27-2012	NOFRILLS COSIMO'S #347	128.90	CAD	128.90	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12286	PS-OP-SPS-RIVERDALE	5411	"Grocery Stores, Supermarkets"	FARM - KITCHEN SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2097-58	07-28-2012	07-30-2012	WAL-MART # 3031	58.83	CAD	58.83	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12286	PS-OP-SPS-RIVERDALE	5310	Discount Stores	CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2097-59	07-29-2012	07-30-2012	NOFRILLS COSIMO'S #347	31.78	CAD	31.78	CAD	*****	FOOD & NON-ALCOHOLIC BEVERAGES	P12286	PS-OP-SPS-RIVERDALE	5411	"Grocery Stores, Supermarkets"	CAMP SUPPLIES	
					"1,268.54"	CAD	"1,268.54"	CAD								
"PARKS, FORESTRY & RECREATION"	2077-100	07-13-2012	07-16-2012	CORPORATE EXPRESS	884.76	CAD	884.76	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P00859	ALNESS YD-YD OPERN	5943	"Office, School Supply, and Stationery St"	FILE CABINETS	
"PARKS, FORESTRY & RECREATION"	2083-63	07-18-2012	07-19-2012	NORTH YORK IRON CORP.	74.92	CAD	74.92	CAD	2532	STEEL	P00859	ALNESS YD-YD OPERN	5211	"Building Materials, Lumber Stores"	FLAT STEEL	
"PARKS, FORESTRY & RECREATION"	2085-49	07-19-2012	07-20-2012	CORPORATE EXPRESS	884.76	CAD	884.76	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P00859	ALNESS YD-YD OPERN	5943	"Office, School Supply, and Stationery St"	FILE CABINETS	
"PARKS, FORESTRY & RECREATION"	2088-28	07-23-2012	07-24-2012	FUTURE SHOP #57	203.39	CAD	203.39	CAD	2575	ELECTRICAL SUPPLIES	P00859	ALNESS YD-YD OPERN	5732	Electronic Sales	GARMIN 2555LM	
"PARKS, FORESTRY & RECREATION"	2088-29	07-23-2012	07-24-2012	FUTURE SHOP #57	-203.39	CAD	-203.39	CAD	2575	ELECTRICAL SUPPLIES	P00859	ALNESS YD-YD OPERN	5732	Electronic Sales	GARMIN 2555LM - RETURNED	
"PARKS, FORESTRY & RECREATION"	2097-60	07-27-2012	07-30-2012	RTS COMPANIES INC.	374.03	CAD	374.03	CAD	2535	PLUMBING SUPPLIES	P00405	N-CENTRAL1-TURF&HORT	5200	Home Supply Warehouse	NOZZLES	
					"2,218.47"	CAD	"2,218.47"	CAD								
"PARKS, FORESTRY & RECREATION"	2063-60	07-03-2012	07-05-2012	WMT SUPRCTR #1116	162.72	CAD	162.72	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05096	FAIRBANK CC-SUMR CAM	5411	"Grocery Stores, Supermarkets"	YOUTH PERSONAL FLOATING DEVICES	
"PARKS, FORESTRY & RECREATION"	2066-80	07-05-2012	07-09-2012	POPROCKS MOBILE ENTERT	50.00	CAD	50.00	CAD	4102	ENTERTAINER AND BAND FEES	P05096	FAIRBANK CC-SUMR CAM	5733	"Music Stores - Musical Instruments, Pian"	DEPOSIT FOR ENTERTAINER-SUMMER CAMP ACTIVITY	
"PARKS, FORESTRY & RECREATION"	2073-68	07-10-2012	07-12-2012	PARTY PACKAGERS (770 L	276.52	CAD	276.52	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05096	FAIRBANK CC-SUMR CAM	5999	Miscellaneous and Specialty Retail Store	CAMP PRIZES AND SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2073-69	07-11-2012	07-12-2012	FAMOUS PLAYER #7408QPS	407.75	CAD	407.75	CAD	4118	TICKETS AND ADMISSION FEES	P05096	FAIRBANK CC-SUMR CAM	7832	Motion Picture Theaters	ADMISSION FEES -SUMMER CAMP ACTIVITY	
"PARKS, FORESTRY & RECREATION"	2075-73	07-12-2012	07-13-2012	CINEPLEX  7260     QPS	486.00	CAD	486.00	CAD	4118	TICKETS AND ADMISSION FEES	P05096	FAIRBANK CC-SUMR CAM	7832	Motion Picture Theaters	ADMISSION FEES -SUMMER CAMP ACTIVITY	
"PARKS, FORESTRY & RECREATION"	2083-64	07-18-2012	07-19-2012	TORONTO ZOO-ADMISSIONS	573.00	CAD	573.00	CAD	4118	TICKETS AND ADMISSION FEES	P05096	FAIRBANK CC-SUMR CAM	7996	"Amusement Parks, Carnivals, Circuses, Fo"	ADMISSION FEES -SUMMER CAMP ACTIVITY	
"PARKS, FORESTRY & RECREATION"	2085-50	07-19-2012	07-20-2012	THE ROYAL ONTARIO MUSE	528.00	CAD	528.00	CAD	4118	TICKETS AND ADMISSION FEES	P05096	FAIRBANK CC-SUMR CAM	7991	Tourist Attractions and Exhibits	ADMISSION FEES -SUMMER CAMP ACTIVITY	
"PARKS, FORESTRY & RECREATION"	2097-61	07-27-2012	07-30-2012	TORONTO ZOO-ADMISSIONS	810.00	CAD	810.00	CAD	4118	TICKETS AND ADMISSION FEES	P05096	FAIRBANK CC-SUMR CAM	7996	"Amusement Parks, Carnivals, Circuses, Fo"	ADMISSION FEES -SUMMER CAMP ACTIVITY	
					"3,293.99"	CAD	"3,293.99"	CAD								
"PARKS, FORESTRY & RECREATION"	2058-75	06-28-2012	07-03-2012	POPROCKS MOBILE ENTERT	50.00	CAD	50.00	CAD	4118	TICKETS AND ADMISSION FEES	P12051	PKLAWN-COMM CTR-PGM	5733	"Music Stores - Musical Instruments, Pian"	DEPOSIT FOR CAMP OUTING	
"PARKS, FORESTRY & RECREATION"	2063-61	07-03-2012	07-05-2012	STONEGATE VALUMART	36.91	CAD	36.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12051	PKLAWN-COMM CTR-PGM	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR COOKING CAMP	
"PARKS, FORESTRY & RECREATION"	2063-62	07-04-2012	07-05-2012	NO FRILLS TONY   KATHY	169.57	CAD	169.57	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12051	PKLAWN-COMM CTR-PGM	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR COOKING CAMP	
"PARKS, FORESTRY & RECREATION"	2065-68	07-04-2012	07-06-2012	STONEGATE VALUMART	18.82	CAD	18.82	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12051	PKLAWN-COMM CTR-PGM	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR COOKING CAMP	
"PARKS, FORESTRY & RECREATION"	2065-69	07-05-2012	07-06-2012	MINI CIRCUIT	226.00	CAD	226.00	CAD	4102	ENTERTAINER AND BAND FEES	P12051	PKLAWN-COMM CTR-PGM	5940	Bicycle Shops - Sales and Service	SPECIAL EVENT FOR KINDER CAMPS	
"PARKS, FORESTRY & RECREATION"	2069-42	07-06-2012	07-10-2012	CASA LOMA CORPORATION-	120.24	CAD	120.24	CAD	4118	TICKETS AND ADMISSION FEES	P12051	PKLAWN-COMM CTR-PGM	7991	Tourist Attractions and Exhibits	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2069-43	07-06-2012	07-10-2012	CASA LOMA CORPORATION-	456.38	CAD	456.38	CAD	4118	TICKETS AND ADMISSION FEES	P12051	PKLAWN-COMM CTR-PGM	7991	Tourist Attractions and Exhibits	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2069-44	07-09-2012	07-10-2012	NO FRILLS TONY   KATHY	20.29	CAD	20.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12051	PKLAWN-COMM CTR-PGM	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR COOKING CAMP	
"PARKS, FORESTRY & RECREATION"	2071-54	07-10-2012	07-11-2012	NO FRILLS TONY   KATHY	127.19	CAD	127.19	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12051	PKLAWN-COMM CTR-PGM	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR COOKING CAMP	
"PARKS, FORESTRY & RECREATION"	2071-55	07-10-2012	07-11-2012	MICHAELS OF CANADA #34	80.18	CAD	80.18	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12051	PKLAWN-COMM CTR-PGM	5945	"Game, Toy, and Hobby Shops"	CRAFT SUPPLIES FOR CAMP	
"PARKS, FORESTRY & RECREATION"	2073-70	07-10-2012	07-12-2012	WAL-MART # 3031	13.95	CAD	13.95	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12051	PKLAWN-COMM CTR-PGM	5310	Discount Stores	CRAFT SUPPLIES FOR CAMP	
"PARKS, FORESTRY & RECREATION"	2077-101	07-12-2012	07-16-2012	STONEGATE VALUMART	14.68	CAD	14.68	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12051	PKLAWN-COMM CTR-PGM	5411	"Grocery Stores, Supermarkets"	CRAFT SUPPLIES FOR CAMP	
"PARKS, FORESTRY & RECREATION"	2077-102	07-13-2012	07-16-2012	FAMOUS PEOPLE PLAYERS	"1,030.56"	CAD	"1,030.56"	CAD	4118	TICKETS AND ADMISSION FEES	P12051	PKLAWN-COMM CTR-PGM	7922	Theatrical Producers (except Motion Pict	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2081-35	07-16-2012	07-18-2012	STONEGATE VALUMART	29.61	CAD	29.61	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12051	PKLAWN-COMM CTR-PGM	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR COOKING CAMP	
"PARKS, FORESTRY & RECREATION"	2081-36	07-17-2012	07-18-2012	NO FRILLS TONY   KATHY	28.75	CAD	28.75	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12051	PKLAWN-COMM CTR-PGM	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR COOKING CAMP	
"PARKS, FORESTRY & RECREATION"	2083-65	07-17-2012	07-19-2012	TM- BLUE JAYS BASEBALL	225.00	CAD	225.00	CAD	4118	TICKETS AND ADMISSION FEES	P12051	PKLAWN-COMM CTR-PGM	7922	Theatrical Producers (except Motion Pict	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2083-66	07-18-2012	07-19-2012	NO FRILLS TONY   KATHY	73.81	CAD	73.81	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12051	PKLAWN-COMM CTR-PGM	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR COOKING CAMP	
"PARKS, FORESTRY & RECREATION"	2085-51	07-18-2012	07-20-2012	STONEGATE VALUMART	22.77	CAD	22.77	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12051	PKLAWN-COMM CTR-PGM	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR COOKING CAMP	
"PARKS, FORESTRY & RECREATION"	2085-52	07-18-2012	07-20-2012	WAL-MART # 3031	24.30	CAD	24.30	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12051	PKLAWN-COMM CTR-PGM	5310	Discount Stores	COOKING SUPPLIES FOR COOKING CAMP	
"PARKS, FORESTRY & RECREATION"	2087-45	07-20-2012	07-23-2012	BINGEMANS	832.00	CAD	832.00	CAD	4118	TICKETS AND ADMISSION FEES	P12051	PKLAWN-COMM CTR-PGM	5811	Caterers	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2091-68	07-23-2012	07-25-2012	STONEGATE VALUMART	16.50	CAD	16.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12051	PKLAWN-COMM CTR-PGM	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR COOKING CAMP	
"PARKS, FORESTRY & RECREATION"	2091-69	07-24-2012	07-25-2012	NO FRILLS TONY   KATHY	31.89	CAD	31.89	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12051	PKLAWN-COMM CTR-PGM	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR COOKING CAMP	
"PARKS, FORESTRY & RECREATION"	2094-42	07-25-2012	07-26-2012	NOFRILLS JIM'S 753	57.04	CAD	57.04	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12051	PKLAWN-COMM CTR-PGM	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR COOKING CAMP	
"PARKS, FORESTRY & RECREATION"	2095-69	07-25-2012	07-27-2012	POPROCKS MOBILE ENTERT	503.70	CAD	503.70	CAD	4118	TICKETS AND ADMISSION FEES	P12051	PKLAWN-COMM CTR-PGM	5733	"Music Stores - Musical Instruments, Pian"	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2095-70	07-25-2012	07-27-2012	STONEGATE VALUMART	38.72	CAD	38.72	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12051	PKLAWN-COMM CTR-PGM	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR COOKING CAMP	
"PARKS, FORESTRY & RECREATION"	2097-62	07-27-2012	07-30-2012	MINI CIRCUIT	226.00	CAD	226.00	CAD	4118	TICKETS AND ADMISSION FEES	P12051	PKLAWN-COMM CTR-PGM	5940	Bicycle Shops - Sales and Service	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2099-29	07-30-2012	07-31-2012	NO FRILLS TONY   KATHY	148.73	CAD	148.73	CAD	*****	TICKETS AND ADMISSION FEES	P12051	PKLAWN-COMM CTR-PGM	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR COOKING CAMP	
					"4,623.59"	CAD	"4,623.59"	CAD								
"PARKS, FORESTRY & RECREATION"	2060-38	07-03-2012	07-04-2012	NOFRILLS CHRIS 273	68.07	CAD	68.07	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05099	HOLLYCREST CS-SUMR C	5411	"Grocery Stores, Supermarkets"	FOOD ITEMS: CAMP	
"PARKS, FORESTRY & RECREATION"	2063-63	07-04-2012	07-05-2012	NOFRILLS CHRIS 273	85.30	CAD	85.30	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05099	HOLLYCREST CS-SUMR C	5411	"Grocery Stores, Supermarkets"	FOOD ITEMS: CAMP	
"PARKS, FORESTRY & RECREATION"	2065-70	07-05-2012	07-06-2012	PLANET BOWL	253.05	CAD	253.05	CAD	4118	TICKETS AND ADMISSION FEES	P05099	HOLLYCREST CS-SUMR C	7933	Bowling Alleys	ADMISSION	
"PARKS, FORESTRY & RECREATION"	2065-71	07-05-2012	07-06-2012	CHUCK E CHEESE	352.24	CAD	352.24	CAD	4118	TICKETS AND ADMISSION FEES	P05099	HOLLYCREST CS-SUMR C	5812	"Eating Places, Restaurants"	ADMISSION	
"PARKS, FORESTRY & RECREATION"	2066-81	07-06-2012	07-09-2012	NOFRILLS CHRIS 273	43.03	CAD	43.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05099	HOLLYCREST CS-SUMR C	5411	"Grocery Stores, Supermarkets"	FOOD ITEMS: CAMP	
"PARKS, FORESTRY & RECREATION"	2066-82	07-07-2012	07-09-2012	MICHAELS OF CANADA #34	24.39	CAD	24.39	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05099	HOLLYCREST CS-SUMR C	5945	"Game, Toy, and Hobby Shops"	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2069-45	07-09-2012	07-10-2012	NOFRILLS CHRIS 273	47.98	CAD	47.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05099	HOLLYCREST CS-SUMR C	5411	"Grocery Stores, Supermarkets"	FOOD ITEMS: CAMP	
"PARKS, FORESTRY & RECREATION"	2071-56	07-10-2012	07-11-2012	NOFRILLS CHRIS 273	130.32	CAD	130.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05099	HOLLYCREST CS-SUMR C	5411	"Grocery Stores, Supermarkets"	FOOD ITEMS: CAMP	
"PARKS, FORESTRY & RECREATION"	2073-71	07-11-2012	07-12-2012	THE ROYAL ONTARIO MUSE	112.00	CAD	112.00	CAD	4118	TICKETS AND ADMISSION FEES	P05099	HOLLYCREST CS-SUMR C	7991	Tourist Attractions and Exhibits	ADMISSION	
"PARKS, FORESTRY & RECREATION"	2075-74	07-11-2012	07-13-2012	CDN TIRE STORE #00152	367.10	CAD	367.10	CAD	2082	HEALTH & SAFETY SUPPLIES	P05099	HOLLYCREST CS-SUMR C	5200	Home Supply Warehouse	LIFE JACKETS	
"PARKS, FORESTRY & RECREATION"	2075-75	07-12-2012	07-13-2012	NOFRILLS CHRIS 273	25.99	CAD	25.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05099	HOLLYCREST CS-SUMR C	5411	"Grocery Stores, Supermarkets"	FOOD ITEMS: CAMP	
"PARKS, FORESTRY & RECREATION"	2077-103	07-12-2012	07-16-2012	SKY ZONE INDOOR TRAMPO	565.00	CAD	565.00	CAD	4118	TICKETS AND ADMISSION FEES	P05099	HOLLYCREST CS-SUMR C	7999	Recreation Services (Not Elsewhere Class	ADMISSION	
"PARKS, FORESTRY & RECREATION"	2078-26	07-16-2012	07-17-2012	NOFRILLS CHRIS 273	45.62	CAD	45.62	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05099	HOLLYCREST CS-SUMR C	5411	"Grocery Stores, Supermarkets"	FOOD ITEMS: CAMP	
