Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	1850-19	02-03-2012	02-07-2012	CDN TIRE STORE #00264	46.28	CAD	46.28	CAD	2710	GENERAL HARDWARE	P07649	TAM OSHANTER-OPERATI	5200	Home Supply Warehouse	"HEAT GUN,PUTTY KNIVES,WALL STRIPPER"	
"PARKS, FORESTRY & RECREATION"	1856-36	02-09-2012	02-10-2012	ROHEN FIRE PROTECTION	367.25	CAD	367.25	CAD	4424	CONTRACTED SERVICES - GENERAL	P07649	TAM OSHANTER-OPERATI	6211	Securities - Brokers/Dealers	FIRE EXTINGUISHER INSPECTION	
					560.38	CAD	560.38	CAD								
"PARKS, FORESTRY & RECREATION"	1854-25	02-08-2012	02-09-2012	NOFRILLS VINCE'S #3930	267.69	CAD	267.69	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06049	DRIFTWOOD-SOC PGM	5411	"Grocery Stores, Supermarkets"	FOOD FOR PROGRAM	
"PARKS, FORESTRY & RECREATION"	1880-26	02-27-2012	02-28-2012	STAPLES STORE #1	47.08	CAD	47.08	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11563	DRIFTWD-SPORTS	5943	"Office, School Supply, and Stationery St"	EMERGENCY CRAFT SUPPLIES	
					314.77	CAD	314.77	CAD								
"PARKS, FORESTRY & RECREATION"	1848-46	02-03-2012	02-06-2012	DAYTON SELF STORAGE	357.87	CAD	357.87	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00264	E-CENTRAL2-TURF&HORT	4225	"Public Warehousing - Farm Products, Refr"		
					357.87	CAD	357.87	CAD								
"PARKS, FORESTRY & RECREATION"	1854-26	02-06-2012	02-09-2012	GIBSON'S CLEANERS CO.	28.25	CAD	28.25	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00022	C-PLANNERS-PGM SUPP	7216	Dry Cleaners	UNIFORM REPAIR	
					28.25	CAD	28.25	CAD								
"PARKS, FORESTRY & RECREATION"	1862-35	02-14-2012	02-15-2012	ALPINE LAWN   GARDEN E	303.52	CAD	303.52	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00265	E-CENTRAL3-TURF&HORT	5261	Lawn and Garden Supply Stores	GARDENING TOOLS	
					303.52	CAD	303.52	CAD								
EMERGENCY MEDICAL SERVICES	1848-47	02-03-2012	02-06-2012	PREMIER FARNEL00000018	887.96	CAD	887.96	CAD	2199	MISCELLANEOUS PARTS	B31100	COMM SYSTEMS SUPPORT	5065	Electrical Parts and Equipment	*****	
EMERGENCY MEDICAL SERVICES	1851-36	02-07-2012	02-08-2012	GRAYBAR ELECTRIC ONT L	197.89	CAD	197.89	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	B31100	COMM SYSTEMS SUPPORT	5065	Electrical Parts and Equipment	HANDSET HANGERS	
EMERGENCY MEDICAL SERVICES	1858-39	02-10-2012	02-13-2012	PARKING AUTH OR TOR 26	18.00	CAD	18.00	CAD	4770	PARKING EXPENSES (INTOWN)	B31100	COMM SYSTEMS SUPPORT	7523	Automobile Parking Lots and Garages	PARKING - MEETING CITY HALL	
EMERGENCY MEDICAL SERVICES	1866-36	02-16-2012	02-17-2012	PREMIER FARNEL00000018	131.22	CAD	131.22	CAD	2199	MISCELLANEOUS PARTS	B31100	COMM SYSTEMS SUPPORT	5065	Electrical Parts and Equipment	*****	
EMERGENCY MEDICAL SERVICES	1869-37	02-17-2012	02-20-2012	THE HOME DEPOT #7078	58.47	CAD	58.47	CAD	2199	MISCELLANEOUS PARTS	B31100	COMM SYSTEMS SUPPORT	5200	Home Supply Warehouse	*****	
					"1,293.54"	CAD	"1,293.54"	CAD								
TORONTO WATER	1848-48	02-02-2012	02-06-2012	MOE - HWIN WEB	56.60	CAD	56.60	CAD	4136	REGISTRAR FEES	PW1002	RC HARRIS SRVCS WA2	9399	Government Services - Not Elsewhere Clas	REGISTRATION FEE	
TORONTO WATER	1869-38	02-16-2012	02-20-2012	MCMASTER-CARR	60.27	CAD	58.91	USD	2120	PARTS - MACHINERY & EQUIPMENT	PW1002	RC HARRIS SRVCS WA2	5085	Industrial Supplies Not Elsewhere Classi	*****	
TORONTO WATER	1873-29	02-22-2012	02-23-2012	ROHEN FIRE PROTECTION	271.20	CAD	271.20	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	PW1002	RC HARRIS SRVCS WA2	6211	Securities - Brokers/Dealers	INSPECTION	
TORONTO WATER	1878-34	02-23-2012	02-27-2012	MCMASTER-CARR	195.69	CAD	191.03	USD	2120	PARTS - MACHINERY & EQUIPMENT	PW1002	RC HARRIS SRVCS WA2	5085	Industrial Supplies Not Elsewhere Classi	*****	
TORONTO WATER	1878-35	02-23-2012	02-27-2012	"FASTENALCANADA ONTO5,C"	25.41	CAD	25.41	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1002	RC HARRIS SRVCS WA2	5085	Industrial Supplies Not Elsewhere Classi	FASTENER	
					609.17	CAD	353.21	CAD								
							249.94	USD								
"PARKS, FORESTRY & RECREATION"	1876-33	02-22-2012	02-24-2012	WAL-MART # 3105	13.11	CAD	13.11	CAD	2080	PHOTOGRAPHIC AND VIDEO SUPPLIES	P10284	AMESBURY CC-PGM SUPP	5310	Discount Stores	PHOTO'S FOR GYMNASTICS CERTIFICATES	
					13.11	CAD	13.11	CAD								
SOLID WASTE MANAGEMENT	1862-36	02-13-2012	02-15-2012	THE HOME DEPOT #7078	23.88	CAD	23.88	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0830	SCARBOROUGH TS OPER	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1862-37	02-14-2012	02-15-2012	ADVANCE BUILDING SUPPL	843.25	CAD	843.25	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0835	COMMISSIONER TS OPER	5211	"Building Materials, Lumber Stores"	CORTEGA 76996 SQ. FL P/L	
SOLID WASTE MANAGEMENT	1878-36	02-23-2012	02-27-2012	THE HOME DEPOT #7080	130.98	CAD	130.98	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0835	COMMISSIONER TS OPER	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1878-37	02-23-2012	02-27-2012	THE HOME DEPOT #7129	130.95	CAD	130.95	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0835	COMMISSIONER TS OPER	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1878-38	02-23-2012	02-27-2012	THE HOME DEPOT #7080	-117.41	CAD	-117.41	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0835	COMMISSIONER TS OPER	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1882-30	02-27-2012	02-29-2012	THE HOME DEPOT #7080	130.98	CAD	130.98	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5200	Home Supply Warehouse	*****	
					"1,142.63"	CAD	"1,142.63"	CAD								
"PARKS, FORESTRY & RECREATION"	1841-28	02-01-2012	02-02-2012	BEACH VALUMART	17.94	CAD	17.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	TURKEY MEATBALL/SAUSAGES	
"PARKS, FORESTRY & RECREATION"	1841-29	02-01-2012	02-02-2012	METRO #37	25.33	CAD	25.33	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	VAGGIES/MEAT	
"PARKS, FORESTRY & RECREATION"	1848-49	02-02-2012	02-06-2012	DESERRES	99.90	CAD	99.90	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12100	BEACHES CC-SPORTS	5970	"Artist Supply Stores, Craft Shops"	SUPPLIES FOR ART CLASSES	
"PARKS, FORESTRY & RECREATION"	1850-20	02-06-2012	02-07-2012	BEACH VALUMART	21.16	CAD	21.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	CHEESE	
"PARKS, FORESTRY & RECREATION"	1850-21	02-06-2012	02-07-2012	METRO #37	12.81	CAD	12.81	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	"SALT, PASTA"	
"PARKS, FORESTRY & RECREATION"	1850-22	02-06-2012	02-07-2012	FRESHCO #9750      QPS	81.52	CAD	81.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	"VEGGIES, FISH"	
"PARKS, FORESTRY & RECREATION"	1858-40	02-10-2012	02-13-2012	LOBLAWS #1021	20.49	CAD	20.49	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	CHICKEN	
"PARKS, FORESTRY & RECREATION"	1858-41	02-10-2012	02-13-2012	FRESHCO #9750      QPS	39.00	CAD	39.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	"VEGGIES, CHICKEN"	
"PARKS, FORESTRY & RECREATION"	1858-42	02-11-2012	02-13-2012	LOBLAWS #1003	31.61	CAD	31.61	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	STOCK POT	
"PARKS, FORESTRY & RECREATION"	1859-19	02-13-2012	02-14-2012	BEACH VALUMART	23.29	CAD	23.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	"FRUIT, BREAD"	
"PARKS, FORESTRY & RECREATION"	1859-20	02-13-2012	02-14-2012	BEACH VALUMART	14.99	CAD	14.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	SAUSAGES	
"PARKS, FORESTRY & RECREATION"	1859-21	02-13-2012	02-14-2012	METRO #37	47.38	CAD	47.38	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	PORK	
"PARKS, FORESTRY & RECREATION"	1859-22	02-13-2012	02-14-2012	FRESHCO #9750      QPS	29.74	CAD	29.74	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06743	BEACHES CC-PGM SUPP	5411	"Grocery Stores, Supermarkets"	VEGGIES	
"PARKS, FORESTRY & RECREATION"	1866-37	02-16-2012	02-17-2012	BEACH VALUMART	20.50	CAD	20.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	SAUCE	
"PARKS, FORESTRY & RECREATION"	1866-38	02-16-2012	02-17-2012	NOFRILLS ROCCA'S #3931	46.85	CAD	46.85	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	"BROTH, WRAP,VEGGIES"	
"PARKS, FORESTRY & RECREATION"	1866-39	02-16-2012	02-17-2012	LONG   MCQUADE LIMITED	67.78	CAD	67.78	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06743	BEACHES CC-PGM SUPP	7399	Business Services - Not Elsewhere Classi	"MICS FOR KARAOKE,PA SYSTEM"	
"PARKS, FORESTRY & RECREATION"	1872-17	02-21-2012	02-22-2012	FOODLAND # 6425	25.61	CAD	25.61	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	VEGGIES	
"PARKS, FORESTRY & RECREATION"	1872-18	02-21-2012	02-22-2012	FRESHCO #9750      QPS	39.24	CAD	39.24	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	VEGGIES & FRUITS	
"PARKS, FORESTRY & RECREATION"	1878-39	02-24-2012	02-27-2012	STAPLES STORE #159	48.34	CAD	48.34	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P06743	BEACHES CC-PGM SUPP	5943	"Office, School Supply, and Stationery St"	"ENVELOPES, LABELS"	
"PARKS, FORESTRY & RECREATION"	1878-40	02-24-2012	02-27-2012	FRESHCO #9750      QPS	39.57	CAD	39.57	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	"EGGS, BUTTER, VEGGIES"	
					753.05	CAD	753.05	CAD								
SOLID WASTE MANAGEMENT	1841-30	02-01-2012	02-02-2012	LOWES #02632*	110.42	CAD	110.42	CAD	2130	PARTS - MOBILE EQUIPMENT	CSW310-12-05	2012 PERPETUAL CARE KEELE VALLEY - BASIC	5200	Home Supply Warehouse	*****	
					110.42	CAD	110.42	CAD								
"PARKS, FORESTRY & RECREATION"	1862-38	02-13-2012	02-15-2012	WAL-MART # 3740	32.40	CAD	32.40	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06781	HUMBERWOOD (BD)-PGM	5411	"Grocery Stores, Supermarkets"	JR CHEF SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1872-19	02-21-2012	02-22-2012	FORTINOS	60.51	CAD	60.51	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06781	HUMBERWOOD (BD)-PGM	5411	"Grocery Stores, Supermarkets"	JR CHEF SUPPLIES	
					92.91	CAD	92.91	CAD								
TORONTO WATER	1842-38	02-01-2012	02-03-2012	MR METAL(ETOBICOKE) IN	128.06	CAD	128.06	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1178	HTP LIQUIDS PRIMARY	5051	Metal Service Centers and Offices	SS304 METAL	
TORONTO WATER	1848-50	01-30-2012	02-06-2012	J.J. DOWNS INDUSTRIAL	106.41	CAD	106.41	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1178	HTP LIQUIDS PRIMARY	5085	Industrial Supplies Not Elsewhere Classi	PIPE FITTINGS	
TORONTO WATER	1848-51	02-02-2012	02-06-2012	BUNNING SPLICING RIGGI	231.33	CAD	231.33	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1178	HTP LIQUIDS PRIMARY	4457	Boat Leases and Boat Rentals	RIGGING SUPPLY	
TORONTO WATER	1880-27	02-27-2012	02-28-2012	ALL CUSTOM GASKET   MA	310.75	CAD	310.75	CAD	2120	PARTS - MACHINERY & EQUIPMENT	WW1178	HTP LIQUIDS PRIMARY	5211	"Building Materials, Lumber Stores"	GASKET MATERIAL	
					776.55	CAD	776.55	CAD								
PUBLIC HEALTH	1869-39	02-19-2012	02-20-2012	HOOTSUITE MEDIA INC.	6.90	CAD	6.77	USD	3420	COMPUTERS - SOFTWARE	PH1091	COMM MEDIA RELTNS	5968	Direct Marketing - Continuity/Subscripti	COMPUTERS - SOFTWARE	
					6.90	CAD	6.77	USD								
TRANSPORTATION SERVICES 	1880-28	02-24-2012	02-28-2012	CTF SUPPLY (11)	329.03	CAD	329.03	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	TP0124	"RW BRIDGE MTCE D1,A1"	5085	Industrial Supplies Not Elsewhere Classi	LADDER EXTENSION	
					329.03	CAD	329.03	CAD								
"PARKS, FORESTRY & RECREATION"	1839-31	01-30-2012	02-01-2012	THE HOME DEPOT #7078	157.97	CAD	157.97	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1839-32	01-30-2012	02-01-2012	ANGELO'S ELECTRIC LTD	365.16	CAD	365.16	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00853	ALNESS YD-TRADES	7629	"Appliance Repair Shops, Electrical and S"	MISCELLANEOUS BULDING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1842-39	02-01-2012	02-03-2012	THE HOME DEPOT #7078	699.31	CAD	699.31	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1851-37	02-07-2012	02-08-2012	CANADA GLASS MIRROR	129.50	CAD	129.50	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00853	ALNESS YD-TRADES	5039	Construction Materials Not Elsewhere Cla	SAFETY GLASS	
"PARKS, FORESTRY & RECREATION"	1862-39	02-13-2012	02-15-2012	THE HOME DEPOT #7078	31.25	CAD	31.25	CAD	2531	LUMBER	P07706	PLEASANTVIEW CC-OPER	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1869-40	02-16-2012	02-20-2012	THE HOME DEPOT #7078	24.88	CAD	24.88	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	PARGING MIX	
"PARKS, FORESTRY & RECREATION"	1869-41	02-17-2012	02-20-2012	THE HOME DEPOT #7073	10.70	CAD	10.70	CAD	2531	LUMBER	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	SECURITY STR	
"PARKS, FORESTRY & RECREATION"	1878-41	02-24-2012	02-27-2012	CANADA GLASS MIRROR	66.12	CAD	66.12	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00853	ALNESS YD-TRADES	5039	Construction Materials Not Elsewhere Cla	GLASS	
"PARKS, FORESTRY & RECREATION"	1878-42	02-24-2012	02-27-2012	DAYVAN	46.76	CAD	46.76	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P07705	ORIOLE CC-OPERATIONS	5251	Hardware Stores	HINGES	
"PARKS, FORESTRY & RECREATION"	1878-43	02-24-2012	02-27-2012	THE HOME DEPOT #7078	215.08	CAD	215.08	CAD	3080	M & E - HAND TOOLS	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	*****	
					"1,746.73"	CAD	"1,746.73"	CAD								
SOLID WASTE MANAGEMENT	1848-52	02-02-2012	02-06-2012	CDN TIRE STORE #00321	147.96	CAD	147.96	CAD	2199	MISCELLANEOUS PARTS	SW0825	DUFFERIN TS OPER	5200	Home Supply Warehouse	"CERAMIC HEATER, FLASHLIGHT & BATTERIES,TORCH"	
					147.96	CAD	147.96	CAD								
"PARKS, FORESTRY & RECREATION"	1856-37	02-08-2012	02-10-2012	CDN TIRE STORE #00294	45.19	CAD	45.19	CAD	2575	ELECTRICAL SUPPLIES	P06781	HUMBERWOOD (BD)-PGM	5200	Home Supply Warehouse	SURGE PROTECTION/POWER BAR FOR POS TERMINAL	
					45.19	CAD	45.19	CAD								
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1841-31	02-01-2012	02-02-2012	ICDR	536.75	CAD	536.75	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	FH5521	STREET TO HOMES	7392	"Consulting, Management, and Public Relat"	CADTP TRAINING CONFERENCE	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1841-32	02-01-2012	02-02-2012	TIM HORTONS H/O    QTH	"1,500.00"	CAD	"1,500.00"	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	FH5521	STREET TO HOMES	5814	Quick Payment Service - Fast-Food Restau	VOUCHERS FOR OUTREACH CLIENTS	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1848-53	02-03-2012	02-06-2012	TTC YONGE   BLOOR STAT	504.00	CAD	504.00	CAD	4225	BUSINESS TRAV - PUBLIC TRANSIT	FH5521	STREET TO HOMES	4789	Transportation Services-Not Elsewhere Cl	4 FLOATER PASSES FOR STAFF MONTH OF FEBRUARY	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1850-23	02-06-2012	02-07-2012	FASTTRACK/TPA	15.50	CAD	15.50	CAD	4770	PARKING EXPENSES (INTOWN)	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES INVOICE F10765	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1859-23	02-13-2012	02-14-2012	FASTTRACK/TPA	9.00	CAD	9.00	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES INVOICE F10812	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1862-40	02-14-2012	02-15-2012	THE FAIRMONT WINNIPEG	606.01	CAD	606.01	CAD	*****	BUSINESS TRAV - OTHER EXPENSES	FH5518	S2H ADM-MHCC	3590	Fairmont Hotels	ACCOMODATION STAFF TRAVEL MHCC	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1869-42	02-16-2012	02-20-2012	MOE - HWIN WEB	50.00	CAD	50.00	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	F03072	CENTRAL ASSESS&REFER	9399	Government Services - Not Elsewhere Clas	REGISTRATION WASTE MANAGEMENT 129 PETER ST SHARC	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1872-20	02-21-2012	02-22-2012	FASTTRACK/TPA	9.75	CAD	9.75	CAD	4770	PARKING EXPENSES (INTOWN)	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES INVOICE F10848	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1873-30	02-19-2012	02-23-2012	TORONTO STAR# 42049421	39.12	CAD	39.12	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	F03072	CENTRAL ASSESS&REFER	5994	News Dealers and Newsstands	MONTHLY SUBSCRIPTION NEWSPAPER MARCH	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1880-29	02-27-2012	02-28-2012	FASTTRACK/TPA	4.50	CAD	4.50	CAD	4770	PARKING EXPENSES (INTOWN)	FH5521	STREET TO HOMES	7523	Automobile Parking Lots and Garages	PARKING CITY OF TORONTO VEHICLES INVOICE F10875	
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1882-31	02-28-2012	02-29-2012	TTC YONGE   BLOOR STAT	504.00	CAD	504.00	CAD	4225	BUSINESS TRAV - PUBLIC TRANSIT	FH5521	STREET TO HOMES	4789	Transportation Services-Not Elsewhere Cl	4 FLOATER PASSES FOR STAFF MONTH OF MARCH	
					"3,778.63"	CAD	"3,778.63"	CAD								
TORONTO WATER	1863-20	02-16-2012	02-16-2012	UPS*000000502A9A062	56.18	CAD	56.18	CAD	4815	COURIER SERVICES	WW4000	LAB ADMIN SUPPORT	4214	"Motor Freight Carriers, Trucking - Local"	SHIPPING CHARGES	
					56.18	CAD	56.18	CAD								
TORONTO WATER	1842-40	02-02-2012	02-03-2012	INNOVATIVE CONTROL SOL	48.61	CAD	48.61	CAD	2710	GENERAL HARDWARE	WW1062	HCTP PLANT SRVCS WA3	7299	Other Services (Not Elsewhere Classified	TOOLS	
					48.61	CAD	48.61	CAD								
"PARKS, FORESTRY & RECREATION"	1858-43	02-10-2012	02-13-2012	WAL-MART # 3106	32.67	CAD	32.67	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11695	TRINITY-SOC PGM	5411	"Grocery Stores, Supermarkets"	VALENTINES DAY PRESCHOOL SPECIAL EVENT TREATS	
"PARKS, FORESTRY & RECREATION"	1873-31	02-21-2012	02-23-2012	CDN TIRE STORE #00182	35.03	CAD	35.03	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11767	TRINITY-SPORTS	5200	Home Supply Warehouse	"TIMERS, ROPES, BALL PUMP"	
					67.70	CAD	67.70	CAD								
"PARKS, FORESTRY & RECREATION"	1841-33	02-01-2012	02-02-2012	LOWES #02633*	144.96	CAD	144.96	CAD	*****	PAINT SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1848-54	02-03-2012	02-06-2012	THE HOME DEPOT #7001	82.44	CAD	82.44	CAD	3080	M & E - HAND TOOLS	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	SHOVEL	
"PARKS, FORESTRY & RECREATION"	1850-24	02-03-2012	02-07-2012	RONA # 55140	47.37	CAD	47.37	CAD	2710	GENERAL HARDWARE	P00272	E-SOUTH2-TURF&HORT	5251	Hardware Stores	PLASTIC PAILS	
"PARKS, FORESTRY & RECREATION"	1873-32	02-22-2012	02-23-2012	PRECISE PARKLINK INC	7.50	CAD	7.50	CAD	4770	PARKING EXPENSES (INTOWN)	P00272	E-SOUTH2-TURF&HORT	7523	Automobile Parking Lots and Garages	PARKING - MEETING WITH LAWYER @ METRO HALL	
					282.27	CAD	282.27	CAD								
"PARKS, FORESTRY & RECREATION"	1858-44	02-10-2012	02-13-2012	LOWES #03096*	195.34	CAD	195.34	CAD	2710	GENERAL HARDWARE	P00516	HIGH PK-PGM SUPP	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1859-24	02-10-2012	02-14-2012	CDN TIRE STORE #00070	79.09	CAD	79.09	CAD	3050	M & E - KITCHEN	P00516	HIGH PK-PGM SUPP	5200	Home Supply Warehouse	TOASTER OVEN - HIGH PARK OFFICE/KITCHEN	
					274.43	CAD	274.43	CAD								
"PARKS, FORESTRY & RECREATION"	1841-34	02-01-2012	02-02-2012	STORWELL SELF STORAGE	401.77	CAD	401.77	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	P00602	W-SOUTH3-WEEDS	4225	"Public Warehousing - Farm Products, Refr"	STORAGE RENTAL	
"PARKS, FORESTRY & RECREATION"	1842-41	02-01-2012	02-03-2012	CDN TIRE STORE #00152	282.48	CAD	282.48	CAD	3080	M & E - HAND TOOLS	P00602	W-SOUTH3-WEEDS	5200	Home Supply Warehouse	"SOCKET SET,MECHANIC SET"	
"PARKS, FORESTRY & RECREATION"	1848-55	02-03-2012	02-06-2012	LAKESHORE LUMBER	676.49	CAD	676.49	CAD	3080	M & E - HAND TOOLS	P00602	W-SOUTH3-WEEDS	5251	Hardware Stores	"TAPE MEASURE, SLEEVE, HOLE SAW"	
"PARKS, FORESTRY & RECREATION"	1876-34	02-22-2012	02-24-2012	ACKLANDS-GRAINGER INC	173.07	CAD	173.07	CAD	3080	M & E - HAND TOOLS	P00674	W-SOUTH3-PGM SUPP	5085	Industrial Supplies Not Elsewhere Classi	METRIC MEASURING WHEEL	
					"1,533.81"	CAD	"1,533.81"	CAD								
"PARKS, FORESTRY & RECREATION"	1878-44	02-23-2012	02-27-2012	MOE - HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	P07645	DENTONIA-OPERATIONS	9399	Government Services - Not Elsewhere Clas	LICENSE - GENERATOR WASTE OILS	
"PARKS, FORESTRY & RECREATION"	1878-45	02-23-2012	02-27-2012	MOE - HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	P07646	DON VALLEY-OPERATION	9399	Government Services - Not Elsewhere Clas	LICENSE - GENERATOR WASTE OILS	
