Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Centre/ WBS Element / Order	Cost Centre/ WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
FACILITIES MANAGEMENT DIVISON	4254-35	2016-10-19	2016-10-20	POWERTRADE ELECTRIC LT	40.68	CAD	40.68	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61351115	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	1731	Electrical Contractors	MATERIAL
FACILITIES MANAGEMENT DIVISON	4269-37	2016-10-27	2016-10-31	BILL'S ELECTRIC SALES	15.82	CAD	15.82	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61353087	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	MATERIAL
					"2,930.83"	CAD	"2,930.83"	CAD							
FACILITIES MANAGEMENT DIVISON	4228-51	2016-09-29	2016-10-03	NEXT SUPPLY	193.33	CAD	193.33	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61348214	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	BOILER SWITCH
					193.33	CAD	193.33	CAD							
"PARKS, FORESTRY & RECREATION"	4238-34	2016-10-06	2016-10-07	LIFEGUARD	132.82	CAD	98.40	USD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02809	GUS RYDER POOL-INSTRL-INDR	5699	Accessory  and Apparel Stores - Miscella	FANNY PACKS
					132.82	CAD	98.40	USD							
INFORMATION & TECHNOLOGY 	4234-29	2016-10-04	2016-10-04	OPTIMAL WORKSHOP	266.58	CAD	199.00	USD	3420	COMPUTERS - SOFTWARE	IT2106	DIRECTOR'S OFFICE	5734	Computer Software Stores	ONLINE USABILITY TESTING TOOL-WEB REVITALIZATION
INFORMATION & TECHNOLOGY 	4263-32	2016-10-25	2016-10-26	HOOTSUITE MEDIA INC.	145.94	CAD	107.34	USD	4995	OTHER EXPENSES	IT2167	BUSINESS INTELLIGENCE SERVICES	5968	Direct Marketing - Continuity/Subscripti	SERVICE TO MONITOR CITY'S SOCIAL MEDIA SITES
INFORMATION & TECHNOLOGY 	4265-36	2016-10-26	2016-10-27	QWIKLABS.COM	74.92	CAD	55.00	USD	4310	TRAINING & DEVELOPMENT - EXTERNAL	IT2106	DIRECTOR'S OFFICE	8299	Educational Services	**MORE**  Amazon Cloud Admin online training#2425-
INFORMATION & TECHNOLOGY 	4265-37	2016-10-26	2016-10-27	QWIKLABS.COM	74.92	CAD	55.00	USD	4310	TRAINING & DEVELOPMENT - EXTERNAL	IT2106	DIRECTOR'S OFFICE	8299	Educational Services	**MORE**  Amazon Cloud Admin online training
					562.36	CAD	416.34	USD							
FACILITIES MANAGEMENT DIVISON	4239-46	2016-10-06	2016-10-11	THE HOME DEPOT #7080	6.07	CAD	6.07	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61315633	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	CAULK
FACILITIES MANAGEMENT DIVISON	4239-47	2016-10-06	2016-10-11	THE HOME DEPOT #7080	5.89	CAD	5.89	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61348708	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	WHITE CLIPS
FACILITIES MANAGEMENT DIVISON	4254-36	2016-10-19	2016-10-20	CENTRAL FAIBANK LUMBER	141.05	CAD	141.05	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61350977	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5211	"Building Materials, Lumber Stores"	PLYWOOD
FACILITIES MANAGEMENT DIVISON	4266-44	2016-10-26	2016-10-28	THE HOME DEPOT #7080	90.21	CAD	90.21	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61352244	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  HALF BEAD D2
FACILITIES MANAGEMENT DIVISON	4266-45	2016-10-26	2016-10-28	THE HOME DEPOT #7080	73.29	CAD	73.29	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61350977	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  5PK BLADE
FACILITIES MANAGEMENT DIVISON	4266-46	2016-10-26	2016-10-28	THE HOME DEPOT #7080	72.72	CAD	72.72	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61350479	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  6-1/2 BLADE
					389.23	CAD	389.23	CAD							
"PARKS, FORESTRY & RECREATION"	4228-52	2016-09-29	2016-10-03	YOUR DOLLAR STORE WITH	28.25	CAD	28.25	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13502	PAN AM SPORTS LITERACY	5999	Miscellaneous and Specialty Retail Store	TSLP SUPPLIES
"PARKS, FORESTRY & RECREATION"	4228-53	2016-09-29	2016-10-03	CDN TIRE STORE #00030	117.34	CAD	117.34	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13502	PAN AM SPORTS LITERACY	5200	Home Supply Warehouse	"WHISTLES, BALLS"
"PARKS, FORESTRY & RECREATION"	4228-54	2016-09-29	2016-10-03	CDN TIRE STORE #00273	114.22	CAD	114.22	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13502	PAN AM SPORTS LITERACY	5200	Home Supply Warehouse	"HOOPS, SOCCER SAUCERS"
"PARKS, FORESTRY & RECREATION"	4245-31	2016-10-12	2016-10-13	PAUL WOLF ELECTRIC   L	7.94	CAD	7.94	CAD	2575	ELECTRICAL SUPPLIES	P10457	SH ARMSTRONG-PRGM SUPPORT	5065	Electrical Parts and Equipment	LIGHT BULB
"PARKS, FORESTRY & RECREATION"	4249-62	2016-10-14	2016-10-17	DAVE AND CHARLOTTE'S N	42.60	CAD	42.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01976	SH ARMSTRONG-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES
"PARKS, FORESTRY & RECREATION"	4265-38	2016-10-25	2016-10-27	CDN TIRE STORE #00273	171.70	CAD	171.70	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06753	MAIN SQ CC-PRGM SUPPORT	5200	Home Supply Warehouse	KIDS TILES
					482.05	CAD	482.05	CAD							
ECONOMIC DEVELOPMENT & CULTURE	4237-27	2016-10-05	2016-10-06	CANADIAN MUSEUMS ASSOC	"3,107.50"	CAD	"3,107.50"	CAD	4760	MEMBERSHIP FEES	AH0061	HS-MH-COMMUNICATION/MKT-GIBSON HOU	8699	"Organizations, Membership - Not Elsewher"	INSTITUTIONAL MEMBERSHIP
ECONOMIC DEVELOPMENT & CULTURE	4239-48	2016-10-08	2016-10-11	LAKEFIELD STATION BOOK	136.50	CAD	136.50	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	AH0061	HS-MH-COMMUNICATION/MKT-GIBSON HOU	5942	Book Stores	HISTORY REFERENCE BOOKS
ECONOMIC DEVELOPMENT & CULTURE	4258-44	2016-10-22	2016-10-24	WWW.GETTYIMAGES.COM	269.00	CAD	269.00	CAD	3330	ARTIFACTS & ART OBJECTS	AH0061	HS-MH-COMMUNICATION/MKT-GIBSON HOU	5971	Art Dealers and Galleries	DIGITAL IMAGE
ECONOMIC DEVELOPMENT & CULTURE	4263-33	2016-10-24	2016-10-26	BOOKCITY #3	29.38	CAD	29.38	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	AH0061	HS-MH-COMMUNICATION/MKT-GIBSON HOU	5942	Book Stores	HISTORY REFERENCE BOOKS
ECONOMIC DEVELOPMENT & CULTURE	4266-47	2016-10-26	2016-10-28	PAYPAL *LONGMONTHUM	204.24	CAD	204.24	CAD	3330	ARTIFACTS & ART OBJECTS	AH0061	HS-MH-COMMUNICATION/MKT-GIBSON HOU	8999	Professional Services - Not Elsewhere Cl	ARTIFACT
ECONOMIC DEVELOPMENT & CULTURE	4269-38	2016-10-30	2016-10-31	THE ARTS AND LETTERS C	350.00	CAD	350.00	CAD	3330	ARTIFACTS & ART OBJECTS	AH0061	HS-MH-COMMUNICATION/MKT-GIBSON HOU	8398	"Organizations, Charitable and Social Ser"	ARTWORK
ECONOMIC DEVELOPMENT & CULTURE	4269-39	2016-10-30	2016-10-31	THE ARTS AND LETTERS C	500.00	CAD	500.00	CAD	3330	ARTIFACTS & ART OBJECTS	AH0061	HS-MH-COMMUNICATION/MKT-GIBSON HOU	8398	"Organizations, Charitable and Social Ser"	ARTWORK
					"4,596.62"	CAD	"4,596.62"	CAD							
PUBLIC HEALTH	4265-39	2016-10-25	2016-10-27	GRINDR LLC	"2,588.17"	CAD	"1,900.00"	USD	4414	ADVERTISING & PROMOTION	PH4143	MINISTRY OF HEALTH STI PROMOTION	7311	Advertising Services	online mobile banner
					"2,588.17"	CAD	"1,900.00"	USD							
TORONTO WATER	4258-45	2016-10-21	2016-10-24	STAPLES STORE #15	92.00	CAD	92.00	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW2025	DIST OPS: OPERATION & MTCE - NORTH YORK	5943	"Office, School Supply, and Stationery St"	ALUM MAG DRYER
					92.00	CAD	92.00	CAD							
ECONOMIC DEVELOPMENT & CULTURE	4234-30	2016-09-30	2016-10-04	PRG CANADA	"7,694.42"	CAD	"7,694.42"	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	ED0171	IM-FILM COMMISSIONER'S OFFICE	7394	"Equipment Rental and Leasing Services, F"	AUDIO VISUAL
ECONOMIC DEVELOPMENT & CULTURE	4245-32	2016-10-12	2016-10-13	DHL EXPRESS CANADA LTD	23.97	CAD	23.97	CAD	4815	COURIER SERVICES	ED0171	IM-FILM COMMISSIONER'S OFFICE	4215	"Courier Services - Air & Ground, Freight"	COURIER
ECONOMIC DEVELOPMENT & CULTURE	4249-63	2016-10-13	2016-10-17	NORTH STAR TAXI SERVIC	14.84	CAD	14.84	CAD	4452	TRANSPORTATION-TAXIS-CLIENTS	ED0171	IM-FILM COMMISSIONER'S OFFICE	4121	Limousines and Taxicabs	TAXI
ECONOMIC DEVELOPMENT & CULTURE	4255-42	2016-10-20	2016-10-21	SOHO HOUSE TORONTO	50.18	CAD	50.18	CAD	4823	MEALS-OUTSIDE LOC'S	ED0171	IM-FILM COMMISSIONER'S OFFICE	5812	"Eating Places, Restaurants"	MEETING-EXTERNAL CLIENTS
ECONOMIC DEVELOPMENT & CULTURE	4258-46	2016-10-21	2016-10-24	SOHO HOUSE TORONTO	11.06	CAD	11.06	CAD	4823	MEALS-OUTSIDE LOC'S	ED0171	IM-FILM COMMISSIONER'S OFFICE	5812	"Eating Places, Restaurants"	MEETING-EXTERNAL CLIENTS
ECONOMIC DEVELOPMENT & CULTURE	4265-40	2016-10-26	2016-10-27	SOHO HOUSE TORONTO	24.64	CAD	24.64	CAD	4823	MEALS-OUTSIDE LOC'S	ED0171	IM-FILM COMMISSIONER'S OFFICE	5812	"Eating Places, Restaurants"	MEETING-EXTERNAL CLIENTS
ECONOMIC DEVELOPMENT & CULTURE	4266-48	2016-10-27	2016-10-28	TORONTO PARKING AUTHOR	4.48	CAD	4.48	CAD	4770	PARKING EXPENSES (INTOWN)	ED0171	IM-FILM COMMISSIONER'S OFFICE	7523	Automobile Parking Lots and Garages	PARKING
					"7,823.59"	CAD	"7,823.59"	CAD							
"PARKS, FORESTRY & RECREATION"	4234-31	2016-10-02	2016-10-04	CDN TIRE STORE #00273	29.36	CAD	29.36	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12100	BEACHES CC-SPORTS	5200	Home Supply Warehouse	BASKETBALL MESH
"PARKS, FORESTRY & RECREATION"	4234-32	2016-10-03	2016-10-04	METRO #37	15.75	CAD	15.75	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"FRUITS, BACON"
"PARKS, FORESTRY & RECREATION"	4235-45	2016-10-03	2016-10-05	FRESHCO 9750      QPS	39.16	CAD	39.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"PASTA, LETTUCE, APPLES"
"PARKS, FORESTRY & RECREATION"	4238-35	2016-10-05	2016-10-07	CDN TIRE STORE #00654	63.20	CAD	63.20	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12100	BEACHES CC-SPORTS	5200	Home Supply Warehouse	BASKETBALLS
"PARKS, FORESTRY & RECREATION"	4242-14	2016-10-11	2016-10-12	GREAT CANADIAN DOLLAR	16.67	CAD	16.67	CAD	2610	KITCHEN SUPPLIES	P12102	BEACHES CC-SOCIAL PRGM	5310	Discount Stores	"DISH TOWELS, DISH CLOTHS"
"PARKS, FORESTRY & RECREATION"	4263-34	2016-10-25	2016-10-26	LOBLAWS #1021	43.13	CAD	43.13	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"TOMATO PASTE, CHICKEN"
"PARKS, FORESTRY & RECREATION"	4263-35	2016-10-25	2016-10-26	FRESHCO 9750      QPS	45.18	CAD	45.18	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"MILK, CHEESE, PIZZA SAUCE"
					252.45	CAD	252.45	CAD							
FACILITIES MANAGEMENT DIVISON	4246-30	2016-10-13	2016-10-14	TORONTO PARKING AUTHOR	4.00	CAD	4.00	CAD	4770	PARKING EXPENSES (INTOWN)	61255653	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7523	Automobile Parking Lots and Garages	PARKING FOR MOBILITY
					4.00	CAD	4.00	CAD							
LONG TERM CARE HOMES & SERVICES	4235-46	2016-10-04	2016-10-05	VOLUNTEER CENTRE OF TO	119.00	CAD	119.00	CAD	4760	MEMBERSHIP FEES	D1A010	HEAD OFFICE-EXECUTIVE OFFICE-PA	8398	"Organizations, Charitable and Social Ser"	DIVISIONAL MEMBERSHIP FOR VOLUNTEER TORONTO
LONG TERM CARE HOMES & SERVICES	4238-36	2016-10-06	2016-10-07	AMAZON.CA	35.82	CAD	35.82	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D1A010	HEAD OFFICE-EXECUTIVE OFFICE-PA	4816	Computer Network/Information Services	CALENDAR / ORGANIZER
LONG TERM CARE HOMES & SERVICES	4255-43	2016-10-20	2016-10-21	CENTENNIAL COLLEGE-PRO	"1,950.00"	CAD	"1,950.00"	CAD	4255	CONFERENCES/SEMINARS - OTHER EXPENSES	D3Z011	REGIONAL SERVICES-PROGRAM ADMIN	8220	"Colleges, Universities, Professional Sch"	INFECTION PREVENTION & CONTROL TRAINING
LONG TERM CARE HOMES & SERVICES	4255-44	2016-10-20	2016-10-21	CENTENNIAL COLLEGE-PRO	"1,950.00"	CAD	"1,950.00"	CAD	4255	CONFERENCES/SEMINARS - OTHER EXPENSES	D3Z011	REGIONAL SERVICES-PROGRAM ADMIN	8220	"Colleges, Universities, Professional Sch"	INFECTION PREVENTION & CONTROL TRAINING
LONG TERM CARE HOMES & SERVICES	4255-45	2016-10-20	2016-10-21	CENTENNIAL COLLEGE-PRO	"1,950.00"	CAD	"1,950.00"	CAD	4255	CONFERENCES/SEMINARS - OTHER EXPENSES	D3Z011	REGIONAL SERVICES-PROGRAM ADMIN	8220	"Colleges, Universities, Professional Sch"	INFECTION PREVENTION & CONTROL TRAINING
LONG TERM CARE HOMES & SERVICES	4255-46	2016-10-20	2016-10-21	CENTENNIAL COLLEGE-PRO	"1,950.00"	CAD	"1,950.00"	CAD	4255	CONFERENCES/SEMINARS - OTHER EXPENSES	D3Z011	REGIONAL SERVICES-PROGRAM ADMIN	8220	"Colleges, Universities, Professional Sch"	INFECTION PREVENTION & CONTROL TRAINING
LONG TERM CARE HOMES & SERVICES	4269-40	2016-10-28	2016-10-31	APIC	137.70	CAD	101.00	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	D3C083	CUMMER LODGE-PS-PS	8299	Educational Services	TEXTBOOK - INFECTION CONTROL & EPIDEMIOLOGY
LONG TERM CARE HOMES & SERVICES	4269-41	2016-10-28	2016-10-31	APIC	545.36	CAD	400.00	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	*****	"MULTIPLE COST CENTRES, WBS ELEMENTS OR WORK ORDERS"	8299	Educational Services	TEXTBOOK - INFECTION CONTROL & EPIDEMIOLOGY
LONG TERM CARE HOMES & SERVICES	4269-42	2016-10-28	2016-10-31	APIC	"1,363.40"	CAD	"1,000.00"	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	*****	"MULTIPLE COST CENTRES, WBS ELEMENTS OR WORK ORDERS"	8299	Educational Services	TEXTBOOK - INFECTION CONTROL & EPIDEMIOLOGY
					"10,001.28"	CAD	"7,954.82"	CAD							
							"1,501.00"	USD							
CITY PLANNING	4228-55	2016-09-30	2016-10-03	ACE U OF T	361.60	CAD	361.60	CAD	4590	RENTAL - OTHER	CUR028-34	GROWTH STUDIES 2015	8220	"Colleges, Universities, Professional Sch"	ROOM RENTAL
CITY PLANNING	4228-56	2016-09-30	2016-10-03	ACE U OF T	438.44	CAD	438.44	CAD	4590	RENTAL - OTHER	CUR028-34	GROWTH STUDIES 2015	8220	"Colleges, Universities, Professional Sch"	ROOM RENTAL
CITY PLANNING	4234-33	2016-10-03	2016-10-04	ACT*ESRI CANADA	"1,186.50"	CAD	"1,186.50"	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	UR0005	HEAD OFFICE-POLICY&RESRCH-CITY PLNG	7399	Business Services - Not Elsewhere Classi	TRAINING AROGIS
CITY PLANNING	4237-28	2016-10-05	2016-10-06	INDIGO ONLINE	69.76	CAD	69.76	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	UR0005	HEAD OFFICE-POLICY&RESRCH-CITY PLNG	5399	Miscellaneous General Merchandise	"BOOK-URBAN HERITAGE,DEVELOPMENT & SUSTANABILITY"
CITY PLANNING	4245-33	2016-10-12	2016-10-13	ULI-CAD	120.00	CAD	120.00	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	UR0005	HEAD OFFICE-POLICY&RESRCH-CITY PLNG	5969	Direct Marketing - Other Direct Marketer	RENENEWAL SUBSCRIPTION TO URBAN LAND MAGAZINE
CITY PLANNING	4245-34	2016-10-13	2016-10-13	EBSCO INFO SERVICE TO	47.06	CAD	47.06	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	UR0005	HEAD OFFICE-POLICY&RESRCH-CITY PLNG	5192	"Books, Periodicals, and Newspapers"	SUBSCRIPTION TO MASS TRANSIT MAGAZINE
					"2,223.36"	CAD	"2,223.36"	CAD							
FACILITIES MANAGEMENT DIVISON	4234-34	2016-10-03	2016-10-04	GETYARDSTICK.COM	531.10	CAD	531.10	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	FA1375	91 FRONT E-LEASNG (ST.LAWRENCE MKT-SOUTH	7399	Business Services - Not Elsewhere Classi	TRAINING
FACILITIES MANAGEMENT DIVISON	4235-47	2016-10-03	2016-10-05	CDN TIRE STORE #00160	186.83	CAD	186.83	CAD	2710	GENERAL HARDWARE	FA1375	91 FRONT E-LEASNG (ST.LAWRENCE MKT-SOUTH	5200	Home Supply Warehouse	MATERIALS & TOOLS
					717.93	CAD	717.93	CAD							
"PARKS, FORESTRY & RECREATION"	4235-48	2016-10-04	2016-10-05	METRO #742	125.31	CAD	125.31	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12901	TORONTO REHAB FITNESS PILOT PROJECT	5411	"Grocery Stores, Supermarkets"	
"PARKS, FORESTRY & RECREATION"	4239-49	2016-10-07	2016-10-11	CURBSIDE CYCLE	84.73	CAD	84.73	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12901	TORONTO REHAB FITNESS PILOT PROJECT	5940	Bicycle Shops - Sales and Service	
"PARKS, FORESTRY & RECREATION"	4265-41	2016-10-25	2016-10-27	WAL-MART #3106	426.06	CAD	426.06	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12901	TORONTO REHAB FITNESS PILOT PROJECT	5411	"Grocery Stores, Supermarkets"	
					636.10	CAD	636.10	CAD							
"PARKS, FORESTRY & RECREATION"	4263-36	2016-10-25	2016-10-26	AMAZON.CA	83.18	CAD	83.18	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02327	WEXFORD POOL-INSTRL-INDR	4816	Computer Network/Information Services	FOOTSTOOL
					83.18	CAD	83.18	CAD							
"PARKS, FORESTRY & RECREATION"	4249-64	2016-10-14	2016-10-17	IN *TMS GRAPHICS	908.52	CAD	908.52	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10911	CENTENNIAL SKI CTR-PRGM SUPPORT	7311	Advertising Services	HELMET LABELS
					908.52	CAD	908.52	CAD							
LEGAL SERVICES	4265-42	2016-10-25	2016-10-27	ATG-TORONTO CIVIL INTA	144.00	CAD	144.00	CAD	4128	COURT FEES	LL5708	CLAIMS  MCLARENS & ACCLAIM	9399	Government Services - Not Elsewhere Clas	TITLE SEARCHES
LEGAL SERVICES	4266-49	2016-10-26	2016-10-28	ATG-TORONTO CIVIL INTA	288.00	CAD	288.00	CAD	4128	COURT FEES	*****	"MULTIPLE COST CENTRES, WBS ELEMENTS OR WORK ORDERS"	9399	Government Services - Not Elsewhere Clas	TITLE SEARCHES
					432.00	CAD	432.00	CAD							
PUBLIC HEALTH	4255-47	2016-10-20	2016-10-21	BEANFIELD TECHNOLOGIES	168.37	CAD	168.37	CAD	3420	COMPUTERS - SOFTWARE	PH3513	NUTRITION PROMOTION	4814	Telecommunication Service Including Loca	COMPUTERS - SOFTWARE
					168.37	CAD	168.37	CAD							
TORONTO WATER	4255-48	2016-10-19	2016-10-21	CDN TIRE STORE #00654	19.20	CAD	19.20	CAD	2715	PAINT SUPPLIES	TW5010	BUS OP MGMT: BUSINESS & CUSTOMER SUPPORT	5200	Home Supply Warehouse	RUST PAINT
					19.20	CAD	19.20	CAD							
EMPLOYMENT & SOCIAL SERVICES	4235-49	2016-10-04	2016-10-05	ROB'S NO FRILLS STORE	10.01	CAD	10.01	CAD	4820	BUSINESS MEETING EXPENSES	C01105	QUALITY CONTROL & ASSURANCE UNIT	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS-FRU TRAINING
EMPLOYMENT & SOCIAL SERVICES	4235-50	2016-10-04	2016-10-05	FOOD BASICS #930	22.75	CAD	22.75	CAD	4820	BUSINESS MEETING EXPENSES	C01105	QUALITY CONTROL & ASSURANCE UNIT	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS-FRU TRAINING
EMPLOYMENT & SOCIAL SERVICES	4254-37	2016-10-19	2016-10-20	TORONTO POLICE SERVICE	20.00	CAD	20.00	CAD	4995	OTHER EXPENSES	C01105	QUALITY CONTROL & ASSURANCE UNIT	9399	Government Services - Not Elsewhere Clas	BACKGROUND CHECK-POLICE SERVICES
EMPLOYMENT & SOCIAL SERVICES	4255-49	2016-10-19	2016-10-21	PHARMA PLUS DRUGMARTS	26.08	CAD	26.08	CAD	4995	OTHER EXPENSES	C01105	QUALITY CONTROL & ASSURANCE UNIT	5912	"Drug Stores, Pharmacies"	CITRUS FREE LIQUID HAND SOAP
					78.84	CAD	78.84	CAD							
TORONTO WATER	4239-50	2016-10-06	2016-10-11	THE HOME DEPOT #7129	96.06	CAD	96.06	CAD	2710	GENERAL HARDWARE	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5200	Home Supply Warehouse	**MORE**  1X4X8 SPF
TORONTO WATER	4258-47	2016-10-21	2016-10-24	AUTO PARTS CENTRES	51.79	CAD	51.79	CAD	2710	GENERAL HARDWARE	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5533	"Automotive Parts, Accessories Stores"	"WIPER BLADES, FASTENERS"
TORONTO WATER	4258-48	2016-10-21	2016-10-24	WORK AUTHORITY 3A	236.23	CAD	236.23	CAD	2665	PROTECTIVE CLOTHING	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5691	Men's and Women's Clothing Stores	PROTECTIVE CLOTHING
TORONTO WATER	4266-50	2016-10-27	2016-10-28	BDI CANADA	"2,484.73"	CAD	"2,484.73"	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5085	Industrial Supplies Not Elsewhere Classi	BEARINGS
TORONTO WATER	4269-43	2016-10-27	2016-10-31	THE HOME DEPOT #7011	154.79	CAD	154.79	CAD	2710	GENERAL HARDWARE	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5200	Home Supply Warehouse	**MORE**  30X50 BTARP
TORONTO WATER	4269-44	2016-10-27	2016-10-31	PACIFIC FASTENERS (198	88.14	CAD	88.14	CAD	2710	GENERAL HARDWARE	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5251	Hardware Stores	SOCKET SET
					"3,111.74"	CAD	"3,111.74"	CAD							
"PARKS, FORESTRY & RECREATION"	4228-57	2016-09-30	2016-10-03	LOWES #02494*	39.53	CAD	39.53	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00833	TECH SERV. 3-PARKS CONSTRUCTION	5200	Home Supply Warehouse	**MORE**  2 PIECE TOOL SET
"PARKS, FORESTRY & RECREATION"	4237-29	2016-10-05	2016-10-06	PRINCESS AUTO #36	61.56	CAD	61.56	CAD	2710	GENERAL HARDWARE	P00264	E-CENTRAL2-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	ALUM
"PARKS, FORESTRY & RECREATION"	4245-35	2016-10-12	2016-10-13	PRINCESS AUTO #36	33.88	CAD	33.88	CAD	2665	PROTECTIVE CLOTHING	P00833	TECH SERV. 3-PARKS CONSTRUCTION	5085	Industrial Supplies Not Elsewhere Classi	SAFETY GLASSES
"PARKS, FORESTRY & RECREATION"	4246-31	2016-10-13	2016-10-14	LOWES #02494*	5.16	CAD	5.16	CAD	2780	CONCRETE	P00267	E-NORTH1-TURF&HORT	5200	Home Supply Warehouse	30KG CONCRETE MIX QUIKRETE
"PARKS, FORESTRY & RECREATION"	4246-32	2016-10-13	2016-10-14	INTERLINE WHOLESALE HA	8.14	CAD	8.14	CAD	2710	GENERAL HARDWARE	P00833	TECH SERV. 3-PARKS CONSTRUCTION	5072	Hardware Equipment and Supplies	BIT SOCKET ADAPTER
"PARKS, FORESTRY & RECREATION"	4252-31	2016-10-17	2016-10-19	THE HOME DEPOT #7136	56.79	CAD	56.79	CAD	2665	PROTECTIVE CLOTHING	P00265	E-CENTRAL3-TURF&HORT	5200	Home Supply Warehouse	**MORE**  MASKS 3 PK
"PARKS, FORESTRY & RECREATION"	4252-32	2016-10-18	2016-10-19	BETZ CUT STONE LIMITED	218.66	CAD	218.66	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00263	E-CENTRAL1-TURF&HORT	5211	"Building Materials, Lumber Stores"	FLEX LOCK
"PARKS, FORESTRY & RECREATION"	4254-38	2016-10-18	2016-10-20	RONA # 55340	61.90	CAD	61.90	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00263	E-CENTRAL1-TURF&HORT	5251	Hardware Stores	ROLLER COASTER VALU PACK
