Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose		
					370.45	CAD	370.45	CAD									
"SHELTER, SUPPORT & HOUSING ADMINISTRATION"	4057-46	2016-06-08	2016-06-09	CONFERENCE BOARD OF	49.00	CAD	49.00	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	FH5105	SOCIAL HOUSING HEAD OFFICE	7399	Business Services - Not Elsewhere Classi	ATTEND WORKSHOP		
"SHELTER, SUPPORT & HOUSING ADMINISTRATION"	4066-26	2016-06-13	2016-06-14	INSTITUTE OF PUBLIC	"1,150.00"	CAD	"1,150.00"	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	FH5105	SOCIAL HOUSING HEAD OFFICE	8398	"Organizations, Charitable and Social Ser"	TO ATTEND IPAC CONFERENCE		
"SHELTER, SUPPORT & HOUSING ADMINISTRATION"	4068-35	2016-06-14	2016-06-15	INSTITUTE OF PUBLIC	-650.00	CAD	-650.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	FH5105	SOCIAL HOUSING HEAD OFFICE	8398	"Organizations, Charitable and Social Ser"	PARTIAL REFUND ON REG FEES		
					549.00	CAD	549.00	CAD									
"PARKS, FORESTRY & RECREATION"	4045-45	2016-05-30	2016-06-01	THE HOME DEPOT #7012	24.95	CAD	24.95	CAD	2710	GENERAL HARDWARE	P01319	AFTERSCHOOL REC CARE - LORD ROBERTS	5200	Home Supply Warehouse	KEY BLANK		
"PARKS, FORESTRY & RECREATION"	4059-34	2016-06-09	2016-06-10	SQ *X MOVEMENT INC.	330.53	CAD	330.53	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	P03770	AFTERSCHOOL REC CARE - WILLOW PARK PS	8299	Educational Services	X MOVEMENT WORKSHOP WILLOW PARK FUND		
"PARKS, FORESTRY & RECREATION"	4059-35	2016-06-09	2016-06-10	SQ *X MOVEMENT INC.	330.53	CAD	330.53	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	P13566	AFTERSCHOOL REC CARE - EAST YORK CC	8299	Educational Services	X MOVEMENT WORKSHOP - EAST YORK FUND		
"PARKS, FORESTRY & RECREATION"	4059-36	2016-06-09	2016-06-10	SQ *X MOVEMENT INC.	330.53	CAD	330.53	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	P01264	AFTERSCHOOL REC CARE - ST. BARBARA	8299	Educational Services	X MOVEMENT WORKSHOP - ST BARBARA FUND		
"PARKS, FORESTRY & RECREATION"	4070-47	2016-06-15	2016-06-16	METRO #800	103.20	CAD	103.20	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P02062	AFTERSCHOOL REC CARE - ADMINISTRATION	5411	"Grocery Stores, Supermarkets"	FOOD FOR CO-ORDINATOR EAST MEETING		
"PARKS, FORESTRY & RECREATION"	4074-49	2016-06-17	2016-06-20	WAL-MART #3159	105.57	CAD	105.57	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13564	AFTERSCHOOL REC CARE - JENNER JEAN-MARIE	5411	"Grocery Stores, Supermarkets"	COOKING WORKSHOP SUPPLIES		
"PARKS, FORESTRY & RECREATION"	4076-28	2016-06-20	2016-06-21	NO FRILLS CHRISTOPHER	69.85	CAD	69.85	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13562	AFTERSCHOOL REC CARE - MASRYK COWAN	5411	"Grocery Stores, Supermarkets"	COOKING WORKSHOP SUPPLIES		
"PARKS, FORESTRY & RECREATION"	4076-29	2016-06-20	2016-06-21	NO FRILLS CHRISTOPHER	46.83	CAD	46.83	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P03770	AFTERSCHOOL REC CARE - WILLOW PARK PS	5411	"Grocery Stores, Supermarkets"	ICE CREAM WORKSHOP		
"PARKS, FORESTRY & RECREATION"	4080-38	2016-06-22	2016-06-23	NOFRILLS ROD JOES	9.70	CAD	9.70	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13562	AFTERSCHOOL REC CARE - MASRYK COWAN	5411	"Grocery Stores, Supermarkets"	FREEZIES FOR LAST DAY OUTDOOR FUN		
"PARKS, FORESTRY & RECREATION"	4080-39	2016-06-22	2016-06-23	NOFRILLS ROD JOES	41.18	CAD	41.18	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13559	AFTERSCHOOL REC CARE - ST. JOCHIM	5411	"Grocery Stores, Supermarkets"	COOKING WORKSHOP SUPPLIES		
"PARKS, FORESTRY & RECREATION"	4084-67	2016-06-24	2016-06-27	WAL-MART #3159	225.81	CAD	225.81	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03776	AFTERSCHOOL REC CARE - GLEDHILL	5411	"Grocery Stores, Supermarkets"	T-SHIRT MAKING LAST DAY OF ARC		
					"1,618.68"	CAD	"1,618.68"	CAD									
EMPLOYMENT & SOCIAL SERVICES	4078-43	2016-06-21	2016-06-22	SUBWAY # 25431	180.80	CAD	180.80	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01253	EMPLOYMENT INNOVATIONS REGENT PARK	5814	Quick Payment Service - Fast-Food Restau	REFRESHMENTS FOR CLIENT WORKSHOP		
EMPLOYMENT & SOCIAL SERVICES	4080-40	2016-06-22	2016-06-23	FRESHCO 9725	15.75	CAD	15.75	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01253	EMPLOYMENT INNOVATIONS REGENT PARK	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS FOR CLIENT WORKSHOP		
EMPLOYMENT & SOCIAL SERVICES	4090-57	2016-06-29	2016-06-30	FRESHCO 9725	26.03	CAD	26.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01253	EMPLOYMENT INNOVATIONS REGENT PARK	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS CLIENT WORKSHOP		
EMPLOYMENT & SOCIAL SERVICES	4090-58	2016-06-29	2016-06-30	DOMINOS PIZZA 10460	192.48	CAD	192.48	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01253	EMPLOYMENT INNOVATIONS REGENT PARK	5814	Quick Payment Service - Fast-Food Restau	REFRESHMENTS FOR CLIENT WORKSHOP		
					415.06	CAD	415.06	CAD									
FACILITIES MANAGEMENT DIVISON	4064-61	2016-06-10	2016-06-13	SAFETY KLEEN CANADA IN	347.00	CAD	347.00	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61307473	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	SOLVENT REMOVAL		
					347.00	CAD	347.00	CAD									
"PARKS, FORESTRY & RECREATION"	4064-62	2016-06-09	2016-06-13	CONSTRUCTION DISTRIBUT	127.57	CAD	127.57	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00859	ALNESS YD-YARD OPERNS	5039	Construction Materials Not Elsewhere Cla	INV 332479 & 332797		
					127.57	CAD	127.57	CAD									
FACILITIES MANAGEMENT DIVISON	4051-54	2016-06-03	2016-06-06	AMRE SUPPLY	53.65	CAD	53.65	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61337601	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7629	"Appliance Repair Shops, Electrical and S"	RAINFRESH 5 MICRON AND CERAMIC		
					53.65	CAD	53.65	CAD									
TORONTO WATER	4088-59	2016-06-27	2016-06-29	BILL'S ELECTRIC SALES	11.30	CAD	11.30	CAD	3099	GENERAL EQUIPMENT	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5251	Hardware Stores	HIGH TEMPERATURE SLEEVE		
					11.30	CAD	11.30	CAD									
"PARKS, FORESTRY & RECREATION"	4047-36	2016-05-31	2016-06-02	WAL-MART # 3031	12.72	CAD	12.72	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05113	PARKLAWN CS-SUMMER CAMPS	5310	Discount Stores	"RAISINS, CELERY, CHOCOLATE"		
"PARKS, FORESTRY & RECREATION"	4054-33	2016-06-07	2016-06-08	NO FRILLS TONY   KATHY	13.73	CAD	13.73	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12051	PARKLAWN-COMM CTR-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD FOR COOKING PROGRAM		
"PARKS, FORESTRY & RECREATION"	4082-37	2016-06-23	2016-06-24	TDSB - PURCHASING	192.51	CAD	192.51	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05113	PARKLAWN CS-SUMMER CAMPS	8299	Educational Services	CAMP SUPPLIES		
"PARKS, FORESTRY & RECREATION"	4082-38	2016-06-23	2016-06-24	PHILIP AND HENRY PRODU	315.27	CAD	315.27	CAD	4118	TICKETS AND ADMISSION FEES	P05113	PARKLAWN CS-SUMMER CAMPS	7922	Theatrical Producers (except Motion Pict	CAMP MAGIC SHOW		
					534.23	CAD	534.23	CAD									
"PARKS, FORESTRY & RECREATION"	4045-46	2016-05-31	2016-06-01	METRO #750	8.98	CAD	8.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08146	AMESBURY CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - OIL, JAM"		
"PARKS, FORESTRY & RECREATION"	4051-56	2016-06-03	2016-06-06	WAL-MART # 3105	33.76	CAD	33.76	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08146	AMESBURY CC-SOCIAL PRGM	5310	Discount Stores	"CREAM, CORN STARCH, FOOD CLRNG"		
"PARKS, FORESTRY & RECREATION"	4086-39	2016-06-27	2016-06-28	MICHAELS #4936	33.89	CAD	33.89	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12084	BEDFORD CC-INSTRUCTIONAL	5945	"Game, Toy, and Hobby Shops"	POSTER FRAME		
"PARKS, FORESTRY & RECREATION"	4090-59	2016-06-29	2016-06-30	COSTCO WHOLESALE W524	776.72	CAD	776.72	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05011	ETOBICOKE CIVIC CTR-SPEC NEEDS	5300	Wholesale Clubs	"CONSTRUCTION PAPER, WALKIE TALKIES, FANS"		
					853.35	CAD	853.35	CAD									
ECONOMIC DEVELOPMENT & CULTURE	4047-37	2016-06-01	2016-06-02	PAYPAL *DBB INC	"2,872.46"	CAD	"2,872.46"	CAD	3015	M & E - GROUNDS	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	0780	Horticultural and Landscaping Services	HEAVY GRADE TEMPORARY TURF X 2		
ECONOMIC DEVELOPMENT & CULTURE	4064-63	2016-06-09	2016-06-13	MOHAMMED AMBASSADOR #8	16.00	CAD	16.00	CAD	4452	TRANSPORTATION-TAXIS-CLIENTS	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	4121	Limousines and Taxicabs	TAXI		
ECONOMIC DEVELOPMENT & CULTURE	4084-68	2016-06-24	2016-06-27	BRUCE TREE EXPERT COMP	"3,260.05"	CAD	"3,260.05"	CAD	4409	CONTR SRV - LANDSCPG	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	0780	Horticultural and Landscaping Services	SERVICE FEE		
ECONOMIC DEVELOPMENT & CULTURE	4086-40	2016-06-27	2016-06-28	PAYPAL *FACEART	"1,383.12"	CAD	"1,383.12"	CAD	4102	ENTERTAINER AND BAND FEES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	8999	Professional Services - Not Elsewhere Cl	FACE PAINTING		
					"7,531.63"	CAD	"7,531.63"	CAD									
"PARKS, FORESTRY & RECREATION"	4051-57	2016-06-03	2016-06-06	THE HOME DEPOT #7080	860.57	CAD	860.57	CAD	2710	GENERAL HARDWARE	P00530	S-WEST 1-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  BATTERY.		
"PARKS, FORESTRY & RECREATION"	4053-31	2016-06-03	2016-06-07	CDN TIRE STORE #00654	"1,000.00"	CAD	"1,000.00"	CAD	2710	GENERAL HARDWARE	P00530	S-WEST 1-PRGM SUPPORT	5200	Home Supply Warehouse	"SHOP TOEWL, 18V BATTERIES, TOOL KIT"		
"PARKS, FORESTRY & RECREATION"	4076-30	2016-06-17	2016-06-21	CDN TIRE STORE #00654	124.46	CAD	124.46	CAD	2710	GENERAL HARDWARE	P00530	S-WEST 1-PRGM SUPPORT	5200	Home Supply Warehouse	"PRIMER, OFFWHITE PAINT"		
					"1,985.03"	CAD	"1,985.03"	CAD									
TRANSPORTATION SERVICES 	4086-41	2016-06-27	2016-06-28	SILVER MILE HARDWARE	370.64	CAD	370.64	CAD	4405	C. SRV - UNLIC EQ	TP0219	ROADWAY MANAGEMENT & OVERHEAD-D4	5072	Hardware Equipment and Supplies	REPAIRS WACKER PLATE TAMPER		
					370.64	CAD	370.64	CAD									
"PARKS, FORESTRY & RECREATION"	4072-50	2016-06-15	2016-06-17	THE HOME DEPOT #7001	18.72	CAD	18.72	CAD	2535	PLUMBING SUPPLIES	P00152	C-WATERFRONT3-TURF&HORT	5200	Home Supply Warehouse	**MORE**  BRASS Y		
"PARKS, FORESTRY & RECREATION"	4074-50	2016-06-16	2016-06-20	CDN TIRE STORE #00654	62.86	CAD	62.86	CAD	2570	JANITORIAL SUPPLIES	P00152	C-WATERFRONT3-TURF&HORT	5200	Home Supply Warehouse	CLEANING SUPPLIES FOR LUNCH ROOM		
"PARKS, FORESTRY & RECREATION"	4090-60	2016-06-29	2016-06-30	LOWES #03321*	85.83	CAD	85.83	CAD	2535	PLUMBING SUPPLIES	P00152	C-WATERFRONT3-TURF&HORT	5200	Home Supply Warehouse	**MORE**  FULL-FLOW Y CONNECTOR METAL		
					167.41	CAD	167.41	CAD									
"PARKS, FORESTRY & RECREATION"	4051-58	2016-06-03	2016-06-06	CHECKERS FUN FACTORY I	"1,600.00"	CAD	"1,600.00"	CAD	4590	RENTAL - OTHER	P10285	ANTIBES CC-PRGM SUPPORT	7996	"Amusement Parks, Carnivals, Circuses, Fo"	RENTAL OF BOUNCER FOR CAMP		
					"1,600.00"	CAD	"1,600.00"	CAD									
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4049-49	2016-06-01	2016-06-03	THE HOME DEPOT #7027	89.24	CAD	89.24	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	G27105	TOWER RENEWAL COMM DEVELOPMENT	5200	Home Supply Warehouse	PICNIC TABLE		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4049-50	2016-06-01	2016-06-03	THE HOME DEPOT #7238	765.87	CAD	765.87	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	G27105	TOWER RENEWAL COMM DEVELOPMENT	5200	Home Supply Warehouse	CG16-36		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4049-51	2016-06-01	2016-06-03	THE HOME DEPOT #7238	458.59	CAD	458.59	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	G27105	TOWER RENEWAL COMM DEVELOPMENT	5200	Home Supply Warehouse	"**MORE**  ARR 1/4""STAP"		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4049-52	2016-06-01	2016-06-03	THE HOME DEPOT #7238	407.91	CAD	407.91	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	G27105	TOWER RENEWAL COMM DEVELOPMENT	5200	Home Supply Warehouse	**MORE**  4 PACK CWF		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4054-34	2016-06-07	2016-06-08	GREEN HORIZONS-BIG YEL	309.60	CAD	309.60	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	G27105	TOWER RENEWAL COMM DEVELOPMENT	5261	Lawn and Garden Supply Stores	TRIPLE MIX-RECIPE FOR COMMUNITY		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4064-64	2016-06-09	2016-06-13	PIZZA NOVA 005	79.59	CAD	79.59	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	G27105	TOWER RENEWAL COMM DEVELOPMENT	5814	Quick Payment Service - Fast-Food Restau	MEALS FOR VOLUNTEERS		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4064-65	2016-06-09	2016-06-13	THE HOME DEPOT #7114	625.66	CAD	625.66	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	G27105	TOWER RENEWAL COMM DEVELOPMENT	5200	Home Supply Warehouse	**MORE**  SAFE GLASS		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4064-66	2016-06-10	2016-06-13	FORTINO'S (QUEEN'S PLA	190.67	CAD	190.67	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	G27105	TOWER RENEWAL COMM DEVELOPMENT	5411	"Grocery Stores, Supermarkets"	MEALS FOR VOLUNTEERS		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4064-67	2016-06-10	2016-06-13	GIANT TIGER #168	28.55	CAD	28.55	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	G27105	TOWER RENEWAL COMM DEVELOPMENT	5311	Department Stores	MEALS FOR VOLUNTEERS		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4064-68	2016-06-10	2016-06-13	THE HOME DEPOT #7114	398.74	CAD	398.74	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	G27105	TOWER RENEWAL COMM DEVELOPMENT	5200	Home Supply Warehouse	**MORE**  BRASS Y		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4064-69	2016-06-10	2016-06-13	THE HOME DEPOT #7114	194.31	CAD	194.31	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	G27105	TOWER RENEWAL COMM DEVELOPMENT	5200	Home Supply Warehouse	**MORE**  WHEELBARROW		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4070-48	2016-06-15	2016-06-16	ISLINGTON NURSERIES LI	824.90	CAD	824.90	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	G27105	TOWER RENEWAL COMM DEVELOPMENT	5261	Lawn and Garden Supply Stores	TRIPLE MIX-PANORAMA PARK COMM. GARDEN		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4070-49	2016-06-15	2016-06-16	ISLINGTON NURSERIES LI	-84.75	CAD	-84.75	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	G27105	TOWER RENEWAL COMM DEVELOPMENT	5261	Lawn and Garden Supply Stores	CREDIT FOR DELIVERY CHARGES ON SOIL ORDER		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4072-51	2016-06-15	2016-06-17	THE HOME DEPOT #7114	258.11	CAD	258.11	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	G27105	TOWER RENEWAL COMM DEVELOPMENT	5200	Home Supply Warehouse	**MORE**  MULCHNUGGETS		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4074-51	2016-06-16	2016-06-20	THE HOME DEPOT #7114	541.04	CAD	541.04	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	G27105	TOWER RENEWAL COMM DEVELOPMENT	5200	Home Supply Warehouse	**MORE**  MULCHNUGGETS		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4082-39	2016-06-22	2016-06-24	CHAPMAN BLDERS SUPPLY	35.88	CAD	35.88	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	G27105	TOWER RENEWAL COMM DEVELOPMENT	5211	"Building Materials, Lumber Stores"	SUPPLIES - RECIPE FOR COMMUNITY		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4086-42	2016-06-27	2016-06-28	BEST BUY #977	"1,154.83"	CAD	"1,154.83"	CAD	4804	WIRELESS DEVICES	G27105	TOWER RENEWAL COMM DEVELOPMENT	5732	Electronic Sales	TABLETS FOR GRAPHICS WORKSHOP		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4086-43	2016-06-27	2016-06-28	BEST BUY #977	803.97	CAD	803.97	CAD	4804	WIRELESS DEVICES	G27505	COMMUNITY BICYCLE HUBS	5732	Electronic Sales	TABLETS AND PEN - SURVEY PROGRAM		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4088-60	2016-06-28	2016-06-29	THE NEXT TREND DESIGNS	"2,199.55"	CAD	"2,199.55"	CAD	2670	UNIFORMS	G27105	TOWER RENEWAL COMM DEVELOPMENT	7311	Advertising Services	UNIFORM FOR VOLUNTEERS		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4088-61	2016-06-28	2016-06-29	THE NEXT TREND DESIGNS	"2,250.40"	CAD	"2,250.40"	CAD	2670	UNIFORMS	G27105	TOWER RENEWAL COMM DEVELOPMENT	7311	Advertising Services	UNIFORM FOR VOLUNTEERS		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4088-62	2016-06-28	2016-06-29	THE NEXT TREND DESIGNS	533.93	CAD	533.93	CAD	2670	UNIFORMS	G27105	TOWER RENEWAL COMM DEVELOPMENT	7311	Advertising Services	UNIFORM FOR VOLUNTEERS		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4088-63	2016-06-28	2016-06-29	SWEET PETE S BICYCLE S	"2,426.38"	CAD	"2,426.38"	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	G27505	COMMUNITY BICYCLE HUBS	5940	Bicycle Shops - Sales and Service	SUPPLIES FOR BICYCLE PROGRAM		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4090-61	2016-06-29	2016-06-30	NOFRILLS SHERIFFS 270	37.09	CAD	37.09	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	G27105	TOWER RENEWAL COMM DEVELOPMENT	5411	"Grocery Stores, Supermarkets"	FOOD -RECIPE FOR COMMUNITY ELMBANK		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4090-62	2016-06-29	2016-06-30	PAVAO MEATS WHOLESALE	288.20	CAD	288.20	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	G27105	TOWER RENEWAL COMM DEVELOPMENT	5422	"Freezer, Locker Meat Provisioners"	FOOD -RECIPE FOR COMMUNITY		
"SOCIAL DEVELOPMENT, FINANCE & ADMINISTRATION "	4090-63	2016-06-29	2016-06-30	BESTCO FOOD MART	61.32	CAD	61.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	G27105	TOWER RENEWAL COMM DEVELOPMENT	5411	"Grocery Stores, Supermarkets"	FOOD -RECIPE FOR COMMUNITY		
					"14,879.58"	CAD	"14,879.58"	CAD									
PUBLIC HEALTH	4054-35	2016-06-07	2016-06-08	CANADIAN PHARMACISTS	324.45	CAD	324.45	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	5912	"Drug Stores, Pharmacies"	BOOK & MAGAZINE SUBSCRIPTIONS		
PUBLIC HEALTH	4059-37	2016-06-09	2016-06-10	INDIGO ONLINE	21.26	CAD	21.26	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK & MAGAZINE SUBSCRIPTIONS		
PUBLIC HEALTH	4064-70	2016-06-10	2016-06-13	INDIGO ONLINE	106.05	CAD	106.05	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK & MAGAZINE SUBSCRIPTIONS		
PUBLIC HEALTH	4068-36	2016-06-14	2016-06-15	INDIGO ONLINE	329.79	CAD	329.79	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	5399	Miscellaneous General Merchandise	BOOK & MAGAZINE SUBSCRIPTIONS		
PUBLIC HEALTH	4082-40	2016-06-22	2016-06-24	CHNC	"1,275.00"	CAD	"1,275.00"	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	8641	"Associations - Civic, Social, and Frater"	BOOK & MAGAZINE SUBSCRIPTIONS		
PUBLIC HEALTH	4090-64	2016-06-29	2016-06-30	IMAGINE CANADA	"1,631.00"	CAD	"1,631.00"	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	PH2088	PUBLIC HEALTH LIBRARIES	8398	"Organizations, Charitable and Social Ser"	BOOK & MAGAZINE SUBSCRIPTIONS		
					"3,687.55"	CAD	"3,687.55"	CAD									
FACILITIES MANAGEMENT DIVISON	4074-52	2016-06-16	2016-06-20	THE HOME DEPOT #7078	38.37	CAD	38.37	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA2756	4330 DUFFERIN STREET W08 EMS NORTH OPS	5200	Home Supply Warehouse	SCREW		
FACILITIES MANAGEMENT DIVISON	4088-64	2016-06-28	2016-06-29	REPRODUX	47.46	CAD	47.46	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA2756	4330 DUFFERIN STREET W08 EMS NORTH OPS	7338	"Quick Copy, Reproduction, and Blueprinti"	TOPOGRAPHICAL PRINTS		
					85.83	CAD	85.83	CAD									
PUBLIC HEALTH	4047-38	2016-05-31	2016-06-02	SCARBOROUGH GRACE DQDS	650.24	CAD	650.24	CAD	2824	PRESCRIPTION DRUGS	PH4021	TUBERCULOSIS PROGRAM	5912	"Drug Stores, Pharmacies"	PRESCRIPTION		
PUBLIC HEALTH	4053-32	2016-06-06	2016-06-07	NORTH YORK GENERAL HOS	116.20	CAD	116.20	CAD	2824	PRESCRIPTION DRUGS	PH4021	TUBERCULOSIS PROGRAM	8062	Hospitals	PRESCRIPTION		
PUBLIC HEALTH	4053-33	2016-06-06	2016-06-07	NORTH YORK GENERAL HOS	378.49	CAD	378.49	CAD	2824	PRESCRIPTION DRUGS	PH4021	TUBERCULOSIS PROGRAM	8062	Hospitals	PRESCRIPTION		
PUBLIC HEALTH	4074-53	2016-06-17	2016-06-20	MOUNTAIN EQUIP CO-OP	45.20	CAD	45.20	CAD	2823	MEDICAL SUPPLIES	PH4021	TUBERCULOSIS PROGRAM	5655	"Sports Apparel, Riding Apparel Stores"	MEDICAL SUPPLY		
PUBLIC HEALTH	4074-54	2016-06-17	2016-06-20	LIFELABS LP - H.O	30.00	CAD	30.00	CAD	4124	MEDICAL REPORTS	PH4021	TUBERCULOSIS PROGRAM	8099	"Health Practitioners, Medical Services -"	LAB TEST		
PUBLIC HEALTH	4080-41	2016-06-22	2016-06-23	O/P PHARMACY -SUNNYBRO	62.25	CAD	62.25	CAD	2824	PRESCRIPTION DRUGS	PH4021	TUBERCULOSIS PROGRAM	8062	Hospitals	PRESCRIPTION		
PUBLIC HEALTH	4084-69	2016-06-23	2016-06-27	LIFELABS LP - H.O	30.00	CAD	30.00	CAD	4124	MEDICAL REPORTS	PH4021	TUBERCULOSIS PROGRAM	8099	"Health Practitioners, Medical Services -"	LAB TEST		
PUBLIC HEALTH	4084-70	2016-06-23	2016-06-27	LIFELABS LP - H.O	30.00	CAD	30.00	CAD	4124	MEDICAL REPORTS	PH4021	TUBERCULOSIS PROGRAM	8099	"Health Practitioners, Medical Services -"	LAB TEST		
PUBLIC HEALTH	4084-71	2016-06-23	2016-06-27	LIFELABS LP - H.O	30.00	CAD	30.00	CAD	4124	MEDICAL REPORTS	PH4021	TUBERCULOSIS PROGRAM	8099	"Health Practitioners, Medical Services -"	LAB TEST		
