Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order No	Cost Centre / WBS Element / Order No. Description	Merchant Type	Merchant Type Description	Purpose	
FACILITIES MANAGEMENT 	3337-95	2015-01-15	2015-01-19	MOE-HWIN WEB	60.03	CAD	60.03	CAD	4830	PERMIT & LICENSE FEES	CCA214-03	EMERG ENVIRONMENTAL REMEDIATION  - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
FACILITIES MANAGEMENT 	3337-96	2015-01-15	2015-01-19	MOE-HWIN WEB	60.11	CAD	60.11	CAD	4830	PERMIT & LICENSE FEES	CCA214-03	EMERG ENVIRONMENTAL REMEDIATION  - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
FACILITIES MANAGEMENT 	3337-97	2015-01-15	2015-01-19	MOE-HWIN WEB	60.11	CAD	60.11	CAD	4830	PERMIT & LICENSE FEES	CCA214-03	EMERG ENVIRONMENTAL REMEDIATION  - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
FACILITIES MANAGEMENT 	3337-98	2015-01-15	2015-01-19	MOE-HWIN WEB	60.15	CAD	60.15	CAD	4830	PERMIT & LICENSE FEES	CCA214-03	EMERG ENVIRONMENTAL REMEDIATION  - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
FACILITIES MANAGEMENT 	3337-99	2015-01-15	2015-01-19	MOE-HWIN WEB	70.00	CAD	70.00	CAD	4830	PERMIT & LICENSE FEES	CCA214-03	EMERG ENVIRONMENTAL REMEDIATION  - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
FACILITIES MANAGEMENT 	3337-100	2015-01-15	2015-01-19	MOE-HWIN WEB	70.10	CAD	70.10	CAD	4830	PERMIT & LICENSE FEES	CCA214-03	EMERG ENVIRONMENTAL REMEDIATION  - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
FACILITIES MANAGEMENT 	3337-101	2015-01-15	2015-01-19	MOE-HWIN WEB	81.49	CAD	81.49	CAD	4830	PERMIT & LICENSE FEES	CCA214-03	EMERG ENVIRONMENTAL REMEDIATION  - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
FACILITIES MANAGEMENT 	3337-102	2015-01-16	2015-01-19	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA214-03	EMERG ENVIRONMENTAL REMEDIATION  - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
FACILITIES MANAGEMENT 	3337-103	2015-01-16	2015-01-19	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA214-03	EMERG ENVIRONMENTAL REMEDIATION  - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
FACILITIES MANAGEMENT 	3337-104	2015-01-16	2015-01-19	MOE-HWIN WEB	55.00	CAD	55.00	CAD	4830	PERMIT & LICENSE FEES	CCA214-03	EMERG ENVIRONMENTAL REMEDIATION  - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
FACILITIES MANAGEMENT 	3337-105	2015-01-16	2015-01-19	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA214-03	EMERG ENVIRONMENTAL REMEDIATION  - 2014	9399	Government Services - Not Elsewhere Clas	MOE REGISTRATION	
					"2,978.75"	CAD	"2,978.75"	CAD								
"PARKS, FORESTRY & RECREATION"	3313-19	2014-12-30	2015-01-02	THE HOME DEPOT #7027	163.16	CAD	163.16	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P03651	TECH SERV. 2-FACILITIES MAIN/CONST	5200	Home Supply Warehouse	**MORE**  SHELVING COG	
"PARKS, FORESTRY & RECREATION"	3321-34	2015-01-05	2015-01-07	CDN TIRE STORE #00030	229.36	CAD	229.36	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	BUILDING RENOVATION SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3323-23	2015-01-06	2015-01-08	THE HOME DEPOT #7107	563.87	CAD	563.87	CAD	3080	M & E - HAND TOOLS	P03651	TECH SERV. 2-FACILITIES MAIN/CONST	5200	Home Supply Warehouse	4 PC KIT.	
"PARKS, FORESTRY & RECREATION"	3341-30	2015-01-19	2015-01-21	THE HOME DEPOT #7107	36.39	CAD	36.39	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00267	E-NORTH1-TURF&HORT	5200	Home Supply Warehouse	**MORE**  SCREWS	
"PARKS, FORESTRY & RECREATION"	3345-33	2015-01-21	2015-01-23	THE HOME DEPOT #7001	108.88	CAD	108.88	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00267	E-NORTH1-TURF&HORT	5200	Home Supply Warehouse	**MORE**  20K COMPND	
"PARKS, FORESTRY & RECREATION"	3351-24	2015-01-26	2015-01-28	THE HOME DEPOT #7001	92.25	CAD	92.25	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00268	E-NORTH2-TURF&HORT	5200	Home Supply Warehouse	**MORE**  BOLTS	
"PARKS, FORESTRY & RECREATION"	3355-29	2015-01-28	2015-01-30	THE HOME DEPOT #7027	21.18	CAD	21.18	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00267	E-NORTH1-TURF&HORT	5200	Home Supply Warehouse	20K COMPND	
					"1,215.09"	CAD	"1,215.09"	CAD								
FIRE SERVICES	3333-68	2015-01-14	2015-01-15	CREATIVE BAG TORONTO	468.95	CAD	468.95	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	FR0012	ADMIN-HEADQUARTERS	5999	Miscellaneous and Specialty Retail Store	PROMOTION BAGS	
FIRE SERVICES	3335-57	2015-01-15	2015-01-16	SHOPPERS DRUG MART #08	"2,881.50"	CAD	"2,881.50"	CAD	4805	POSTAGE	FR0006	FIRE CODE ENFORCEMENT-EAST DIST	9402	Postal Services - Government Only	POSTAGE STAMPS	
FIRE SERVICES	3347-32	2015-01-23	2015-01-26	TORONTO STAMP INC	72.70	CAD	72.70	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	FR0006	FIRE CODE ENFORCEMENT-EAST DIST	5943	"Office, School Supply, and Stationery St"	AUTOSTAMPS	
					"3,423.15"	CAD	"3,423.15"	CAD								
EMPLOYMENT & SOCIAL SERVICES	3323-24	2015-01-07	2015-01-08	OMBUDSMAN OF ONTARIO	"1,101.75"	CAD	"1,101.75"	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	C01105	QUALITY CONTROL & ASSURANCE UNIT	9399	Government Services - Not Elsewhere Clas	TRAINING	
EMPLOYMENT & SOCIAL SERVICES	3323-25	2015-01-07	2015-01-08	OMBUDSMAN OF ONTARIO	"1,101.75"	CAD	"1,101.75"	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	C01105	QUALITY CONTROL & ASSURANCE UNIT	9399	Government Services - Not Elsewhere Clas	TRAINING	
					"2,203.50"	CAD	"2,203.50"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3342-29	2015-01-20	2015-01-22	AIR CAN  0142143833040	628.97	CAD	628.97	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	ED0142	TFTDMO MKT & TRADE	3009	Air Canada	"AIRFARE - LOS ANGELES, CA"	
ECONOMIC DEVELOPMENT & CULTURE	3342-30	2015-01-20	2015-01-22	AIR CAN  0142143833040	14.00	CAD	14.00	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	ED0142	TFTDMO MKT & TRADE	3009	Air Canada	"AIRFARE - LOS ANGELES, CA"	
					642.97	CAD	642.97	CAD								
"SHELTER, SUPPORT and HOUSING ADMINISTRATION"	3339-29	2015-01-19	2015-01-20	CIH CANADA	113.00	CAD	113.00	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	FH5105	SOCIAL HOUSING HEAD OFFICE	8244	"Schools, Business and Secretarial"	THOUGHT LEADERS FORUM JAN 27TH	
"SHELTER, SUPPORT and HOUSING ADMINISTRATION"	3339-30	2015-01-19	2015-01-20	CIH CANADA	113.00	CAD	113.00	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	FH5105	SOCIAL HOUSING HEAD OFFICE	8244	"Schools, Business and Secretarial"	THOUGHT LEADERS FORUM JAN 27TH	
"SHELTER, SUPPORT and HOUSING ADMINISTRATION"	3339-31	2015-01-19	2015-01-20	CIH CANADA	113.00	CAD	113.00	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	FH5105	SOCIAL HOUSING HEAD OFFICE	8244	"Schools, Business and Secretarial"	THOUGHT LEADERS FORUM JAN 27TH	
					339.00	CAD	339.00	CAD								
EMPLOYMENT & SOCIAL SERVICES	3337-106	2015-01-18	2015-01-19	COSTCO WHOLESALE #535	19.20	CAD	19.20	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	C01212	LAWRENCE SQUARE-ADMIN	5300	Wholesale Clubs	OFFICE USE	
					19.20	CAD	19.20	CAD								
FACILITIES MANAGEMENT 	3315-13	2015-01-02	2015-01-05	WAL-MART #3106	22.57	CAD	22.57	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA2311	ADMIN-OPS-SOUTH-OPERATIONAL EXP RCVRY	5411	"Grocery Stores, Supermarkets"	SUPPLIES	
FACILITIES MANAGEMENT 	3323-26	2015-01-05	2015-01-08	CTF SUPPLY (11)	47.48	CAD	47.48	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA2311	ADMIN-OPS-SOUTH-OPERATIONAL EXP RCVRY	5085	Industrial Supplies Not Elsewhere Classi	SUPPLIES	
FACILITIES MANAGEMENT 	3353-37	2015-01-28	2015-01-29	ACKLANDS-GRAINGER INC	289.38	CAD	289.38	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA2311	ADMIN-OPS-SOUTH-OPERATIONAL EXP RCVRY	5085	Industrial Supplies Not Elsewhere Classi	SUPPLIES	
					359.43	CAD	359.43	CAD								
EMPLOYMENT & SOCIAL SERVICES	3321-35	2015-01-06	2015-01-07	"DUDLEY'S HARDWARE, PAI"	37.83	CAD	37.83	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	C01105	QUALITY CONTROL & ASSURANCE UNIT	5251	Hardware Stores	KEYS CUT FOR SDP USE	
EMPLOYMENT & SOCIAL SERVICES	3325-34	2015-01-07	2015-01-09	TARGET CANADA T3636	84.74	CAD	84.74	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	C01105	QUALITY CONTROL & ASSURANCE UNIT	5310	Discount Stores	FOR OFFICE KITCHEN USE	
EMPLOYMENT & SOCIAL SERVICES	3327-34	2015-01-09	2015-01-12	TARGET CANADA T7002	-84.74	CAD	-84.74	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	C01105	QUALITY CONTROL & ASSURANCE UNIT	5310	Discount Stores	RETURNED AS PRODUCT IS DEFECTIVE	
EMPLOYMENT & SOCIAL SERVICES	3329-26	2015-01-11	2015-01-13	SEARS ERIN MILLS TOWN	144.63	CAD	144.63	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	C01105	QUALITY CONTROL & ASSURANCE UNIT	5311	Department Stores	REPLACEMENT FOR THE DEFFECTIVE TOASTER OVEN	
					182.46	CAD	182.46	CAD								
"PARKS, FORESTRY & RECREATION"	3321-36	2015-01-05	2015-01-07	WAL-MART #3159	91.36	CAD	91.36	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07895	MCGREGOR PARK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	FOOD FOR COOKING PROG	
"PARKS, FORESTRY & RECREATION"	3321-37	2015-01-05	2015-01-07	WAL-MART #3159	19.14	CAD	19.14	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11225	MCGREGOR PARK-SPORTS	5411	"Grocery Stores, Supermarkets"	SNACKS FOR YOUTH PROG	
"PARKS, FORESTRY & RECREATION"	3327-35	2015-01-08	2015-01-12	WAL-MART #3159	57.63	CAD	57.63	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07895	MCGREGOR PARK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	FOOD FOR COOKING PROG	
"PARKS, FORESTRY & RECREATION"	3331-54	2015-01-13	2015-01-14	RCSS SCARBOROUGH #2809	112.17	CAD	112.17	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07895	MCGREGOR PARK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	FOOD FOR COOKING PROG	
"PARKS, FORESTRY & RECREATION"	3339-32	2015-01-19	2015-01-20	RCSS SCARBOROUGH #2809	68.98	CAD	68.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07895	MCGREGOR PARK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	FOOD FOR COOKING PROG	
"PARKS, FORESTRY & RECREATION"	3339-33	2015-01-19	2015-01-20	RCSS SCARBOROUGH #2809	45.89	CAD	45.89	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11225	MCGREGOR PARK-SPORTS	5411	"Grocery Stores, Supermarkets"	SNACKS FOR YOUTH PROG	
"PARKS, FORESTRY & RECREATION"	3345-34	2015-01-21	2015-01-23	WAL-MART #3635	59.65	CAD	59.65	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11225	MCGREGOR PARK-SPORTS	5310	Discount Stores	SUPPLIES FOR SELF-CARE WORKSHOP	
"PARKS, FORESTRY & RECREATION"	3345-35	2015-01-21	2015-01-23	WAL-MART #3635	38.86	CAD	38.86	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07895	MCGREGOR PARK-SOCIAL PRGM	5310	Discount Stores	SUPPLIES - ART PACK & CREATIVE PLAYTIME	
"PARKS, FORESTRY & RECREATION"	3347-33	2015-01-22	2015-01-26	YOUR DOLLAR STORE WITH	14.69	CAD	14.69	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07895	MCGREGOR PARK-SOCIAL PRGM	5999	Miscellaneous and Specialty Retail Store	SUPPLIES - ART PACK & CREATIVE PLAYTIME	
"PARKS, FORESTRY & RECREATION"	3347-34	2015-01-22	2015-01-26	YOUR DOLLAR STORE WITH	18.08	CAD	18.08	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11225	MCGREGOR PARK-SPORTS	5999	Miscellaneous and Specialty Retail Store	TRAVEL KITS FOR SELF-CARE WORKSHOP	
"PARKS, FORESTRY & RECREATION"	3347-35	2015-01-23	2015-01-26	FOOD BASICS #628	15.88	CAD	15.88	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07895	MCGREGOR PARK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	KITCHEN SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3347-36	2015-01-23	2015-01-26	WAL-MART #3159	6.77	CAD	6.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07895	MCGREGOR PARK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	KITCHEN SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3351-25	2015-01-27	2015-01-28	RCSS SCARBOROUGH #2809	65.67	CAD	65.67	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07895	MCGREGOR PARK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	FOOD FOR COOKING PROG	
"PARKS, FORESTRY & RECREATION"	3351-26	2015-01-27	2015-01-28	RCSS SCARBOROUGH #2809	15.84	CAD	15.84	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11225	MCGREGOR PARK-SPORTS	5411	"Grocery Stores, Supermarkets"	BEVERAGES FOR YOUTH COUNCIL EVENT	
"PARKS, FORESTRY & RECREATION"	3351-27	2015-01-27	2015-01-28	MICHAELS #4918	12.42	CAD	12.42	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07895	MCGREGOR PARK-SOCIAL PRGM	5945	"Game, Toy, and Hobby Shops"	TRACING PAPER	
					643.03	CAD	643.03	CAD								
FACILITIES MANAGEMENT 	3323-27	2015-01-07	2015-01-08	PAUL WOLF ELECTRIC   L	111.06	CAD	111.06	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61281103	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT 	3329-27	2015-01-12	2015-01-13	PAUL WOLF ELECTRIC   L	163.08	CAD	163.08	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61283376	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT 	3331-55	2015-01-13	2015-01-14	PAUL WOLF ELECTRIC   L	25.99	CAD	25.99	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61283294	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT 	3333-69	2015-01-14	2015-01-15	PAUL WOLF ELECTRIC   L	51.67	CAD	51.67	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61283619	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT 	3335-58	2015-01-14	2015-01-16	THE HOME DEPOT #7080	139.14	CAD	139.14	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61283619	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	"**MORE**  1/2"" SPLIT T"	
FACILITIES MANAGEMENT 	3335-59	2015-01-15	2015-01-16	PAUL WOLF ELECTRIC   L	129.61	CAD	129.61	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61283374	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT 	3335-60	2015-01-15	2015-01-16	PAUL WOLF ELECTRIC   L	70.03	CAD	70.03	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61283619	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT 	3347-37	2015-01-23	2015-01-26	PAUL WOLF ELECTRIC   L	62.67	CAD	62.67	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61285171	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT 	3348-25	2015-01-26	2015-01-27	PAUL WOLF ELECTRIC   L	388.58	CAD	388.58	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61282524	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT 	3355-30	2015-01-29	2015-01-30	PAUL WOLF ELECTRIC   L	"1,647.38"	CAD	"1,647.38"	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61285835	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
					"2,789.21"	CAD	"2,789.21"	CAD								
TORONTO WATER	3319-13	2015-01-05	2015-01-06	FUTURE SHOP #73	90.39	CAD	90.39	CAD	4811	CELLULAR TELEPHONES	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5732	Electronic Sales	CELL PHONE ACCESSORIES	
TORONTO WATER	3321-38	2015-01-05	2015-01-07	THE HOME DEPOT #7107	146.73	CAD	146.73	CAD	2710	GENERAL HARDWARE	TW6060	OPS SUPPORT: COMPLEX SYSTEMS	5200	Home Supply Warehouse	"**MORE**  12"" BRACKET"	
					237.12	CAD	237.12	CAD								
EMPLOYMENT & SOCIAL SERVICES	3321-39	2015-01-05	2015-01-07	CDN TIRE STORE #00264	70.05	CAD	70.05	CAD	2010	STATIONERY AND OFFICE SUPPLIES	C01207	MALVERN -ADMIN	5200	Home Supply Warehouse	OFFICE SUPPLY	
					70.05	CAD	70.05	CAD								
"SHELTER, SUPPORT and HOUSING ADMINISTRATION"	3335-61	2015-01-15	2015-01-16	MR. BILLIARD 2010	526.47	CAD	526.47	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	F01132	SEATON HOUSE-CLIENT SERV-HOSTEL EMERG SH	5941	Sporting Goods Stores	REPAIR: RERUBBER POOL TABLE FOR LT CLIENTS	
"SHELTER, SUPPORT and HOUSING ADMINISTRATION"	3335-62	2015-01-15	2015-01-16	MR. BILLIARD 2010	531.11	CAD	531.11	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	F01132	SEATON HOUSE-CLIENT SERV-HOSTEL EMERG SH	5941	Sporting Goods Stores	RECLOTH AND 2 SETS OF POOL BALLS- BILLIARD TABLE	
"SHELTER, SUPPORT and HOUSING ADMINISTRATION"	3348-26	2015-01-26	2015-01-27	THE BARGAINS GROUP LTD	541.52	CAD	541.52	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	F01132	SEATON HOUSE-CLIENT SERV-HOSTEL EMERG SH	5699	Accessory  and Apparel Stores - Miscella	480 PAIRS OF SOCKS FOR HOSTEL CLIENTS AS REQUIRED	
					"1,599.10"	CAD	"1,599.10"	CAD								
"SHELTER, SUPPORT and HOUSING ADMINISTRATION"	3313-20	2014-12-31	2015-01-02	LASER QUEST TORONTO EA	209.20	CAD	209.20	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	F01530	BIRKDAEL RES CHILDREN'S PROG EXP	7994	Video Game Arcades/Establishments	"CLIENT:DEPOSIT FOR DECEMBER 31, 2014 FIELD TRIP"	
					209.20	CAD	209.20	CAD								
FACILITIES MANAGEMENT 	3353-38	2015-01-28	2015-01-29	ACKLANDS-GRAINGER INC	103.63	CAD	103.63	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61284257	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5085	Industrial Supplies Not Elsewhere Classi	SUPPLY MATERIALS	
FACILITIES MANAGEMENT 	3353-39	2015-01-28	2015-01-29	ACKLANDS-GRAINGER INC	103.63	CAD	103.63	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61284257	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5085	Industrial Supplies Not Elsewhere Classi	SUPPLY MATERIALS	
					207.26	CAD	207.26	CAD								
"PARKS, FORESTRY & RECREATION"	3323-28	2015-01-07	2015-01-08	SHELL FLYING J #80500	27.52	CAD	27.52	CAD	2230	NATURAL GAS	P01199	WEST-YORK AIRS-OPERATIONS	5541	Service Stations (with or without Ancill	NATURAL GAS	
"PARKS, FORESTRY & RECREATION"	3323-29	2015-01-07	2015-01-08	SHELL FLYING J #80500	15.71	CAD	15.71	CAD	2230	NATURAL GAS	P01199	WEST-YORK AIRS-OPERATIONS	5541	Service Stations (with or without Ancill	NATURAL GAS	
"PARKS, FORESTRY & RECREATION"	3339-34	2015-01-19	2015-01-20	OMNIFLEX HOSE   EQUIPM	85.46	CAD	85.46	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00674	W-SOUTH3-PRGM SUPPORT	5085	Industrial Supplies Not Elsewhere Classi	FITTINGS	
"PARKS, FORESTRY & RECREATION"	3345-36	2015-01-22	2015-01-23	PERFORMANCE IMPROVEMEN	39.49	CAD	39.49	CAD	2130	PARTS - MOBILE EQUIPMENT	P00890	KIPLING YD-FLEET EQUIP	5533	"Automotive Parts, Accessories Stores"	AUTO PARTS	
"PARKS, FORESTRY & RECREATION"	3355-31	2015-01-28	2015-01-30	RPM MECHANICAL INC	937.57	CAD	937.57	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00890	KIPLING YD-FLEET EQUIP	5085	Industrial Supplies Not Elsewhere Classi	MOUNTING KIT	
"PARKS, FORESTRY & RECREATION"	3355-32	2015-01-29	2015-01-30	BOLTS PLUS INC	67.80	CAD	67.80	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00890	KIPLING YD-FLEET EQUIP	5085	Industrial Supplies Not Elsewhere Classi	HITCH PINS	
					"1,173.55"	CAD	"1,173.55"	CAD								
EMPLOYMENT & SOCIAL SERVICES	3331-56	2015-01-13	2015-01-14	CALL CENTER PRODUCTS	55.74	CAD	55.74	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	C01242	FAMILY SUPPORT PROGRAM	4812	Telecommunication Equipment Including Te	CONNECTION CORD FOR TELEPHONE/HEADSET	
EMPLOYMENT & SOCIAL SERVICES	3339-35	2015-01-18	2015-01-20	CDN TIRE STORE #00126	79.08	CAD	79.08	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	C01242	FAMILY SUPPORT PROGRAM	5200	Home Supply Warehouse	"KETTLE, TOASTER FOR NORTH YORK COURT"	
					134.82	CAD	134.82	CAD								
"PARKS, FORESTRY & RECREATION"	3327-36	2015-01-10	2015-01-12	ROTBLOTTS DISCOUNT WHS	41.78	CAD	41.78	CAD	2710	GENERAL HARDWARE	P01191	S-CENTRAL AIRS-OPERATIONS	5251	Hardware Stores	RINK HARDWARE	
"PARKS, FORESTRY & RECREATION"	3353-40	2015-01-27	2015-01-29	MASTER'S TURF SUP	904.00	CAD	904.00	CAD	2715	PAINT SUPPLIES	P01191	S-CENTRAL AIRS-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	RINK LINES - PAINT	
					945.78	CAD	945.78	CAD								
TORONTO WATER	3342-31	2015-01-21	2015-01-22	GEORGE BROWN COLLEGE	542.40	CAD	542.40	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	TW7025	WTR TREAT & SUPPLY: RC HARRIS TP - SUPPO	8220	"Colleges, Universities, Professional Sch"	BACKFLOW TESTER RECERTIFICATION TRAINING	
TORONTO WATER	3342-32	2015-01-21	2015-01-22	GEORGE BROWN COLLEGE	542.40	CAD	542.40	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	TW7025	WTR TREAT & SUPPLY: RC HARRIS TP - SUPPO	8220	"Colleges, Universities, Professional Sch"	BACKFLOW TESTER RECERTIFICATION TRAINING	
					"1,084.80"	CAD	"1,084.80"	CAD								
FACILITIES MANAGEMENT 	3341-31	2015-01-19	2015-01-21	REG T BROWN LIMITED	231.81	CAD	231.81	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA2308	ADMIN-OPS-EAST-OPERATIONAL EXP RCVRY	7338	"Quick Copy, Reproduction, and Blueprinti"	SUPPLY MATERIALS	
					231.81	CAD	231.81	CAD								
"PARKS, FORESTRY & RECREATION"	3347-38	2015-01-22	2015-01-26	TARGET CANADA T3742	5.64	CAD	5.64	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02277	TRACE MANES COMPLEX-ARTS-VISL/PERF	5310	Discount Stores	CLOCK FOR PRESCHOOL/MEETING ROOM	
					5.64	CAD	5.64	CAD								
"SHELTER, SUPPORT and HOUSING ADMINISTRATION"	3335-63	2015-01-14	2015-01-16	TM -MAPLE LEAF SPORTS	180.00	CAD	180.00	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	F01132	SEATON HOUSE-CLIENT SERV-HOSTEL EMERG SH	7922	Theatrical Producers (except Motion Pict	10 MARLIE TICKETS FOR O'NEILL CLIENTS ON FEB 7/15	
