Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Centre / WBS Element / Order 	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
EMPLOYMENT & SOCIAL SERVICES	3682-20	2015-09-24	2015-09-25	TIM HORTONS 0816 QTH	50.00	CAD	50.00	CAD	4820	BUSINESS MEETING EXPENSES	C01204	KENNEDY -ADMIN	5814	Quick Payment Service - Fast-Food Restau	TPS WEEK EVENT	
EMPLOYMENT & SOCIAL SERVICES	3684-27	2015-09-25	2015-09-28	METRO #35	11.40	CAD	11.40	CAD	4820	BUSINESS MEETING EXPENSES	C01204	KENNEDY -ADMIN	5411	"Grocery Stores, Supermarkets"	TPS WEEK EVENT	
					238.36	CAD	238.36	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3661-6	2015-09-09	2015-09-10	IMPARK00090298A	9.00	CAD	9.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0169	LP-SUPP PROG-TYBH JOB CREATION	7523	Automobile Parking Lots and Garages	PARKING FOR MEETING	
ECONOMIC DEVELOPMENT & CULTURE	3664-17	2015-09-10	2015-09-14	"TPA/GREEN ""P""      QPL"	15.00	CAD	15.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0169	LP-SUPP PROG-TYBH JOB CREATION	7523	Automobile Parking Lots and Garages	PARKING FOR EVENT	
					24.00	CAD	24.00	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3664-18	2015-09-11	2015-09-14	MARIGOLDS AND ONIONS	243.52	CAD	243.52	CAD	4822	RECEPTIONS & PUBLIC RELATIONS	ED0131	DIRECTOR'S OFFICE	5811	Caterers	CATERING-NON CITY FACILITY	
ECONOMIC DEVELOPMENT & CULTURE	3687-8	2015-09-28	2015-09-30	AIR CAN  0142153473502	"1,173.00"	CAD	"1,173.00"	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	ED0131	DIRECTOR'S OFFICE	3009	Air Canada	"FLIGHT - SHANGHAI & CHONGQUING, CHINA"	
ECONOMIC DEVELOPMENT & CULTURE	3687-9	2015-09-29	2015-09-30	99BILL*CHINATRAVELDEPO	220.32	CAD	"1,024.58"	CNY	4215	BUSINESS TRAV - AIR TRANSPORTATION	ED0131	DIRECTOR'S OFFICE	4722	Travel Agencies and Tour Operators	"FLIGHT - SHANGHAI & CHONGQUING, CHINA"	
					"1,636.84"	CAD	"1,416.52"	CAD								
							"1,024.58"	CNY								
"PARKS, FORESTRY & RECREATION"	3653-13	2015-09-03	2015-09-04	ALPINE LAWN   GARDEN E	355.37	CAD	355.37	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12135	ALNESS YARD-FORESTRY-PROTECTION&MTCE	5261	Lawn and Garden Supply Stores	"THROTTLE TRIGGER,FILTER HOUSING,CARB, ROPE"	
"PARKS, FORESTRY & RECREATION"	3676-14	2015-09-18	2015-09-22	CDN TIRE STORE #00192	47.44	CAD	47.44	CAD	2401	LUBRICANTS	P00430	N-EAST-WINTER MAINT	5200	Home Supply Warehouse	15W40 OIL	
"PARKS, FORESTRY & RECREATION"	3676-15	2015-09-21	2015-09-22	PRINCESS AUTO #36	186.40	CAD	186.40	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00859	ALNESS YD-YARD OPERNS	5085	Industrial Supplies Not Elsewhere Classi	"WELDING EXTENSION CORD, HAMMER BRASS"	
"PARKS, FORESTRY & RECREATION"	3682-21	2015-09-24	2015-09-25	PRICELESS PRODUCTS	785.33	CAD	785.33	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00408	N-EAST-TURF&HORT	0780	Horticultural and Landscaping Services	TIRES	
"PARKS, FORESTRY & RECREATION"	3684-28	2015-09-24	2015-09-28	NAPA WOODBRIDGE #759	655.40	CAD	655.40	CAD	2401	LUBRICANTS	P00430	N-EAST-WINTER MAINT	5533	"Automotive Parts, Accessories Stores"	OIL DRUM 15W40	
					"2,029.94"	CAD	"2,029.94"	CAD								
LEGAL SERVICES	3657-16	2015-09-04	2015-09-08	TERANET EXPRESS	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL5506	TRANSPORTATION SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3657-17	2015-09-04	2015-09-08	TERANET EXPRESS	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL5506	TRANSPORTATION SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3657-18	2015-09-04	2015-09-08	TERANET EXPRESS	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3659-6	2015-09-08	2015-09-09	TERANET EXPRESS	4.00	CAD	4.00	CAD	4827	ONLINE SERVICES FEES	LL5606	FACILITIES AND REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3661-7	2015-09-09	2015-09-10	TERANET EXPRESS	19.00	CAD	19.00	CAD	4827	ONLINE SERVICES FEES	LL5502	FIRE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3663-5	2015-09-10	2015-09-11	TERANET EXPRESS	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3663-6	2015-09-10	2015-09-11	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3663-7	2015-09-10	2015-09-11	TERANET EXPRESS	12.00	CAD	12.00	CAD	4827	ONLINE SERVICES FEES	LL5606	FACILITIES AND REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3663-8	2015-09-10	2015-09-11	TERANET EXPRESS	2.00	CAD	2.00	CAD	4827	ONLINE SERVICES FEES	LL5606	FACILITIES AND REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3664-19	2015-09-11	2015-09-14	TERANET EXPRESS	3.50	CAD	3.50	CAD	4827	ONLINE SERVICES FEES	LL5606	FACILITIES AND REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3664-20	2015-09-11	2015-09-14	TERANET EXPRESS	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL5606	FACILITIES AND REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3667-10	2015-09-14	2015-09-15	TERANET EXPRESS	17.00	CAD	17.00	CAD	4827	ONLINE SERVICES FEES	LL5506	TRANSPORTATION SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3667-11	2015-09-14	2015-09-15	TERANET EXPRESS	10.00	CAD	10.00	CAD	4827	ONLINE SERVICES FEES	LL5506	TRANSPORTATION SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3667-12	2015-09-14	2015-09-15	TERANET EXPRESS	23.00	CAD	23.00	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3667-13	2015-09-14	2015-09-15	TERANET EXPRESS	4.00	CAD	4.00	CAD	4827	ONLINE SERVICES FEES	LL5606	FACILITIES AND REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3669-8	2015-09-15	2015-09-16	TERANET EXPRESS	37.00	CAD	37.00	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3669-9	2015-09-15	2015-09-16	TERANET EXPRESS	12.00	CAD	12.00	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3671-13	2015-09-16	2015-09-17	TERANET EXPRESS	45.00	CAD	45.00	CAD	4827	ONLINE SERVICES FEES	LL5801	LIBRARY	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3671-14	2015-09-16	2015-09-17	TERANET EXPRESS	10.00	CAD	10.00	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3671-15	2015-09-16	2015-09-17	TERANET EXPRESS	4.00	CAD	4.00	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3671-16	2015-09-16	2015-09-17	TERANET EXPRESS	56.00	CAD	56.00	CAD	4827	ONLINE SERVICES FEES	LL5606	FACILITIES AND REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3673-20	2015-09-17	2015-09-18	TERANET EXPRESS	36.00	CAD	36.00	CAD	4827	ONLINE SERVICES FEES	*****	"MULTIPLE COST CENTRES, WBS ELEMENTS OR WORK ORDERS"	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3673-21	2015-09-17	2015-09-18	TERANET EXPRESS	5.00	CAD	5.00	CAD	4827	ONLINE SERVICES FEES	LL5506	TRANSPORTATION SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3673-22	2015-09-17	2015-09-18	TERANET EXPRESS	3.00	CAD	3.00	CAD	4827	ONLINE SERVICES FEES	*****	"MULTIPLE COST CENTRES, WBS ELEMENTS OR WORK ORDERS"	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3674-21	2015-09-18	2015-09-21	TERANET EXPRESS	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL5403	MUNICIPAL LICENSING & STANDARD	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3674-22	2015-09-18	2015-09-21	TERANET EXPRESS	5.00	CAD	5.00	CAD	4827	ONLINE SERVICES FEES	LL5403	MUNICIPAL LICENSING & STANDARD	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3674-23	2015-09-18	2015-09-21	TERANET EXPRESS	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL5901	TRANSIT CITY PROJECT	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3674-24	2015-09-18	2015-09-21	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5901	TRANSIT CITY PROJECT	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3678-17	2015-09-22	2015-09-23	TERANET EXPRESS	11.00	CAD	11.00	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3678-18	2015-09-22	2015-09-23	TERANET EXPRESS	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3680-10	2015-09-23	2015-09-24	TERANET EXPRESS	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3680-11	2015-09-23	2015-09-24	TERANET EXPRESS	10.50	CAD	10.50	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3680-12	2015-09-23	2015-09-24	TERANET EXPRESS	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3682-22	2015-09-24	2015-09-25	TERANET EXPRESS	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3682-23	2015-09-24	2015-09-25	TERANET EXPRESS	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL5708	CLAIMS  MCLARENS & ACCLAIM	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3682-24	2015-09-24	2015-09-25	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3687-10	2015-09-29	2015-09-30	TERANET EXPRESS	48.00	CAD	48.00	CAD	4827	ONLINE SERVICES FEES	*****	"MULTIPLE COST CENTRES, WBS ELEMENTS OR WORK ORDERS"	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3687-11	2015-09-29	2015-09-30	TERANET EXPRESS	22.50	CAD	22.50	CAD	4827	ONLINE SERVICES FEES	LL5502	FIRE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3687-12	2015-09-29	2015-09-30	TERANET EXPRESS	7.50	CAD	7.50	CAD	4827	ONLINE SERVICES FEES	LL5502	FIRE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3687-13	2015-09-29	2015-09-30	TERANET EXPRESS	3.50	CAD	3.50	CAD	4827	ONLINE SERVICES FEES	*****	"MULTIPLE COST CENTRES, WBS ELEMENTS OR WORK ORDERS"	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3687-14	2015-09-29	2015-09-30	TERANET EXPRESS	38.00	CAD	38.00	CAD	4827	ONLINE SERVICES FEES	LL9606	FACILITIES AND REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3687-15	2015-09-29	2015-09-30	TERANET EXPRESS	10.00	CAD	10.00	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3687-16	2015-09-29	2015-09-30	TERANET EXPRESS	10.00	CAD	10.00	CAD	4827	ONLINE SERVICES FEES	LL5201	CHILDRENS SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3687-17	2015-09-29	2015-09-30	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5201	CHILDRENS SERVICES	9222	Fines	TITLE SEARCHES	
					555.50	CAD	555.50	CAD								
"PARKS, FORESTRY & RECREATION"	3664-21	2015-09-11	2015-09-14	WAL-MART # 3145	338.48	CAD	338.48	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06075	OAKDALE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	BREAKFAST PRGM- OAKDALE AND TOPCLIFF	
"PARKS, FORESTRY & RECREATION"	3664-22	2015-09-11	2015-09-14	WAL-MART # 3145	192.12	CAD	192.12	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06075	OAKDALE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	BREAKFAST PRGM- OAKDALE AND TOPCLIFF	
"PARKS, FORESTRY & RECREATION"	3667-14	2015-09-14	2015-09-15	COSTCO WHOLESALE W547	284.50	CAD	284.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06075	OAKDALE CC-SOCIAL PRGM	5300	Wholesale Clubs	BREAKFAST PRGM- OAKDALE AND TOPCLIFF	
"PARKS, FORESTRY & RECREATION"	3669-10	2015-09-15	2015-09-16	NOFRILLS VINCE'S #3930	13.74	CAD	13.74	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06075	OAKDALE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	BREAKFAST PRGM- OAKDALE AND TOPCLIFF	
"PARKS, FORESTRY & RECREATION"	3674-25	2015-09-18	2015-09-21	NOFRILLS VINCE'S #3930	47.11	CAD	47.11	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06075	OAKDALE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	BREAKFAST PRGM- OAKDALE AND TOPCLIFF	
"PARKS, FORESTRY & RECREATION"	3680-13	2015-09-23	2015-09-24	NOFRILLS VINCE'S #3930	310.99	CAD	310.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06075	OAKDALE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	BREAKFAST PRGM- OAKDALE AND TOPCLIFF	
					"1,186.94"	CAD	"1,186.94"	CAD								
"PARKS, FORESTRY & RECREATION"	3651-16	2015-09-01	2015-09-02	BEST BUY.CA # 900	824.88	CAD	824.88	CAD	3050	M & E - KITCHEN	P06672	PORT UNION-PRGM SUPPORT	5732	Electronic Sales	REFRIGERATOR	
"PARKS, FORESTRY & RECREATION"	3667-15	2015-09-14	2015-09-15	BEST BUY.CA # 900	33.90	CAD	33.90	CAD	4416	"TRANSFER, HAULAGE AND STORAGE"	P06672	PORT UNION-PRGM SUPPORT	5732	Electronic Sales	PICK UP CHARGE/RECYCLING FOR OLD FRIDGE	
"PARKS, FORESTRY & RECREATION"	3676-16	2015-09-21	2015-09-22	JCWW  ARTISTRY IN GLAS	62.56	CAD	62.56	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06672	PORT UNION-PRGM SUPPORT	5999	Miscellaneous and Specialty Retail Store	GRINDER BITS/GRINDER SPONGES-STAINED GLASS PROGRAM	
"PARKS, FORESTRY & RECREATION"	3686-12	2015-09-28	2015-09-29	MIKE AND LOR'S NO FRIL	5.65	CAD	5.65	CAD	2570	JANITORIAL SUPPLIES	P06672	PORT UNION-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	PROGRAM AND FACILITY SUPPLIES-LYSOL WIPES	
"PARKS, FORESTRY & RECREATION"	3686-13	2015-09-28	2015-09-29	MICHAELS #4918	37.28	CAD	37.28	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06672	PORT UNION-PRGM SUPPORT	5945	"Game, Toy, and Hobby Shops"	PROGRAM SUPPLIES - CHARCOAL PENCIL KIT	
					964.27	CAD	964.27	CAD								
FIRE SERVICES	3664-23	2015-09-11	2015-09-14	INT'L ASSOC OF FIRE CH	607.00	CAD	449.00	USD	4760	MEMBERSHIP FEES	FR0012	ADMIN-HEADQUARTERS	8699	"Organizations, Membership - Not Elsewher"	IAFC MEMBERSHIP RENEWAL	
					607.00	CAD	449.00	USD								
DEPUTY CITY MGR & CFO	3680-14	2015-09-23	2015-09-24	STAGEVISION RENTALS IN	364.99	CAD	364.99	CAD	4820	BUSINESS MEETING EXPENSES	FS0001	COMMISSIONERS OFFICE	7394	"Equipment Rental and Leasing Services, F"	AUDIO EQUIPMENT RENTAL-CITY MANAGER MEETING SEPT18	
					364.99	CAD	364.99	CAD								
EMPLOYMENT & SOCIAL SERVICES	3673-23	2015-09-17	2015-09-18	NOFRILLS DICKIES 752	85.40	CAD	85.40	CAD	4820	BUSINESS MEETING EXPENSES	C01233	APPLICATION CENTRE	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS FOR TPS STAFF MEETING	
EMPLOYMENT & SOCIAL SERVICES	3673-24	2015-09-17	2015-09-18	NOFRILLS DICKIES 752	-9.82	CAD	-9.82	CAD	4820	BUSINESS MEETING EXPENSES	C01233	APPLICATION CENTRE	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS FOR TPS STAFF MEETING	
EMPLOYMENT & SOCIAL SERVICES	3674-26	2015-09-17	2015-09-21	YOUR DOLLAR STORE WITH	7.91	CAD	7.91	CAD	4820	BUSINESS MEETING EXPENSES	C01233	APPLICATION CENTRE	5999	Miscellaneous and Specialty Retail Store	REFRESHMENTS FOR TPS STAFF MEETING	
					83.49	CAD	83.49	CAD								
LONG TERM CARE HOMES & SERVICES	3649-11	2015-08-31	2015-09-01	PRINT THREE #28	42.94	CAD	42.94	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3F083	SEVEN OAKS-PS-PS	2741	Miscellaneous Publishing and Printing	RESIDENT MONTHLY CALENDAR - SEPTEMBER	
LONG TERM CARE HOMES & SERVICES	3657-19	2015-09-05	2015-09-08	DYNAMEX EXPRESS	31.63	CAD	31.63	CAD	4815	COURIER SERVICES	D3F011	SEVEN OAKS-PA-OA	4215	"Courier Services - Air & Ground, Freight"	COURIER - TO METRO HALL INV. 961907	
LONG TERM CARE HOMES & SERVICES	3657-20	2015-09-05	2015-09-08	DYNAMEX EXPRESS	20.93	CAD	20.93	CAD	4815	COURIER SERVICES	D3F011	SEVEN OAKS-PA-OA	4215	"Courier Services - Air & Ground, Freight"	COURIER - TO PGT	
LONG TERM CARE HOMES & SERVICES	3657-21	2015-09-05	2015-09-08	DYNAMEX EXPRESS	43.21	CAD	43.21	CAD	4815	COURIER SERVICES	D3F011	SEVEN OAKS-PA-OA	4215	"Courier Services - Air & Ground, Freight"	COURIER FROM MH TO SEVEN OAKS	
					138.71	CAD	138.71	CAD								
FACILITIES MANAGEMENT DIVISON	3663-9	2015-09-10	2015-09-11	PARAGON INDUSTRIAL PHO	28.25	CAD	28.25	CAD	4825	PRINTING AND REPRODUCTION - THIRD PARTY	FA2608	ADMIN-TORONTO RENEWABLE ENERGY	7333	"Commercial Art, Graphics, Photography"	DRAWINGS (REF#00000021)	
FACILITIES MANAGEMENT DIVISON	3664-24	2015-09-12	2015-09-14	GBCI	114.91	CAD	85.00	USD	4760	MEMBERSHIP FEES	FA2608	ADMIN-TORONTO RENEWABLE ENERGY	8999	Professional Services - Not Elsewhere Cl	LEED AP CREDENTIAL RENEWAAL	
					143.16	CAD	28.25	CAD								
							85.00	USD								
EMPLOYMENT & SOCIAL SERVICES	3686-14	2015-09-28	2015-09-29	YORK U-SCHULICH EEC WE	"2,706.35"	CAD	"2,706.35"	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	C01274	CONSILIUM PLACE-ADMIN	8220	"Colleges, Universities, Professional Sch"	COURSE-BUILDING STRONG CUSTOMER SERVICE	
					"2,706.35"	CAD	"2,706.35"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3667-16	2015-09-14	2015-09-15	SHANGRILA HOTEL BOSK	33.34	CAD	33.34	CAD	4823	MEALS-OUTSIDE LOC'S	ED0142	TFTDMO MKT & TRADE	7011	"Lodging - Hotels, Motels, Resorts - Not"	BUSINESS MEETING W/ EXTERNAL CLIENTS	
ECONOMIC DEVELOPMENT & CULTURE	3682-25	2015-09-24	2015-09-25	CHOICE TAXI 414	51.28	CAD	37.70	USD	*****	BUSINESS TRAV - GROUND TRANSPORTATION	ED0142	TFTDMO MKT & TRADE	4121	Limousines and Taxicabs	**MORE**  TAXI - AIRPORT TO HOTEL/PER DIEM - CHICA	
ECONOMIC DEVELOPMENT & CULTURE	3682-26	2015-09-24	2015-09-25	SOHO HOUSE CLUB	52.96	CAD	38.94	USD	4230	BUSINESS TRAV - OTHER EXPENSES	ED0142	TFTDMO MKT & TRADE	5812	"Eating Places, Restaurants"	"BUSINESS MEETING W/ EXTERNAL CLIENTS - CHICAGO, IL"	
ECONOMIC DEVELOPMENT & CULTURE	3684-29	2015-09-25	2015-09-28	CURB	15.30	CAD	11.25	USD	4230	BUSINESS TRAV - OTHER EXPENSES	ED0142	TFTDMO MKT & TRADE	4121	Limousines and Taxicabs	TAXI TO MEETING / PER DIEM	
ECONOMIC DEVELOPMENT & CULTURE	3684-30	2015-09-25	2015-09-28	CHICKEN SHOP	82.25	CAD	60.47	USD	4230	BUSINESS TRAV - OTHER EXPENSES	ED0142	TFTDMO MKT & TRADE	5812	"Eating Places, Restaurants"	"BUSINESS MEETING W/ EXTERNAL CLIENTS - CHICAGO, IL"	
ECONOMIC DEVELOPMENT & CULTURE	3684-31	2015-09-25	2015-09-28	SOHO HOUSE CLUB	60.48	CAD	44.47	USD	4230	BUSINESS TRAV - OTHER EXPENSES	ED0142	TFTDMO MKT & TRADE	5812	"Eating Places, Restaurants"	"BUSINESS MEETING W/ EXTERNAL CLIENTS - CHICAGO, IL"	
ECONOMIC DEVELOPMENT & CULTURE	3684-32	2015-09-26	2015-09-28	CURB	40.96	CAD	30.06	USD	*****	BUSINESS TRAV - OTHER EXPENSES	ED0142	TFTDMO MKT & TRADE	4121	Limousines and Taxicabs	"TAXI - HOTEL TO AIRPORT/PER DIEM - CHICAGO, IL"	
ECONOMIC DEVELOPMENT & CULTURE	3684-33	2015-09-26	2015-09-28	GTA TAXI SERVICES	25.00	CAD	25.00	CAD	*****	BUSINESS TRAV - OTHER EXPENSES	ED0142	TFTDMO MKT & TRADE	4121	Limousines and Taxicabs	"TAXI - AIRPORT TO HOME/PER DIEM - CHICAGO, IL"	
ECONOMIC DEVELOPMENT & CULTURE	3684-34	2015-09-26	2015-09-28	HOTEL	530.94	CAD	389.68	USD	*****	BUSINESS TRAV - OTHER EXPENSES	ED0142	TFTDMO MKT & TRADE	7011	"Lodging - Hotels, Motels, Resorts - Not"	"ACCOMMODATION/PER DIEM - CHICAGO, IL"	
ECONOMIC DEVELOPMENT & CULTURE	3684-35	2015-09-26	2015-09-28	HOTEL	6.02	CAD	4.42	USD	4230	BUSINESS TRAV - OTHER EXPENSES	ED0142	TFTDMO MKT & TRADE	7011	"Lodging - Hotels, Motels, Resorts - Not"	"PER DIEM - CHICAGO, IL"	
ECONOMIC DEVELOPMENT & CULTURE	3684-36	2015-09-24	2015-09-28	CHI TAXI 2655	18.36	CAD	13.50	USD	4230	BUSINESS TRAV - OTHER EXPENSES	ED0142	TFTDMO MKT & TRADE	4121	Limousines and Taxicabs	"**MORE**  TAXI TO MEETING/PER DIEM - CHICAGO, IL"	
ECONOMIC DEVELOPMENT & CULTURE	3684-37	2015-09-25	2015-09-28	TAXI AFFIL SVCS	16.39	CAD	12.05	USD	4230	BUSINESS TRAV - OTHER EXPENSES	ED0142	TFTDMO MKT & TRADE	4121	Limousines and Taxicabs	"**MORE**  TAXI FROM MEETING/PER DIEM - CHICAGO, IL"	
					933.28	CAD	58.34	CAD								
							642.54	USD								
EMPLOYMENT & SOCIAL SERVICES	3669-11	2015-09-15	2015-09-16	COSTCO WHOLESALE W526	53.14	CAD	53.14	CAD	4820	BUSINESS MEETING EXPENSES	C01211	QUEENSWAY ADMIN	5300	Wholesale Clubs	GROCERY-FOOD	
EMPLOYMENT & SOCIAL SERVICES	3671-17	2015-09-15	2015-09-17	WAL-MART #1061	66.24	CAD	66.24	CAD	4820	BUSINESS MEETING EXPENSES	C01211	QUEENSWAY ADMIN	5411	"Grocery Stores, Supermarkets"	GROCERY-FOOD	
EMPLOYMENT & SOCIAL SERVICES	3684-38	2015-09-25	2015-09-28	CPC/SCP# 101579	12.20	CAD	12.20	CAD	4805	POSTAGE	C01211	QUEENSWAY ADMIN	9402	Postal Services - Government Only	REGISTERED MAIL	
					131.58	CAD	131.58	CAD								
"PARKS, FORESTRY & RECREATION"	3657-22	2015-09-04	2015-09-08	PLASTIC WORLD	42.94	CAD	42.94	CAD	2535	PLUMBING SUPPLIES	P03651	TECH SERV. 2-FACILITIES MAIN/CONST	5085	Industrial Supplies Not Elsewhere Classi	CLEAR DP32 3MM	
					42.94	CAD	42.94	CAD								
"PARKS, FORESTRY & RECREATION"	3671-18	2015-09-15	2015-09-17	WAL-MART #1083	144.39	CAD	144.39	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08146	AMESBURY CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	PRESCHOOL TOYS	
"PARKS, FORESTRY & RECREATION"	3673-25	2015-09-16	2015-09-18	THE HOME DEPOT #7134	318.71	CAD	318.71	CAD	2710	GENERAL HARDWARE	P10284	AMESBURY CC-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  HOOK	
