Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order No.	Cost Centre / WBS Element / Order No. Description	Merchant Type	Merchant Type Description	Purpose	
FIRE SERVICES	3374-55	2015-02-10	2015-02-12	STAPLES.CA	130.79	CAD	130.79	CAD	3410	COMPUTERS - HARDWARE	FR0045	OPERATIONS - OTHER EXPENSES	5943	"Office, School Supply, and Stationery St"	DESKTOP EXTERNAL HARD DRIVE & SHIPPING CHARGES	
					130.79	CAD	130.79	CAD								
ACCOUNTING SERVICES 	3357-59	2015-01-29	2015-02-02	SAP CANADA	"1,335.66"	CAD	"1,335.66"	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	FS0032	FINANCIAL SYSTEMS&POLICY-FINCL SYSTEMS	5734	Computer Software Stores	ONLINE LEARNING COURSE	
ACCOUNTING SERVICES 	3357-60	2015-01-31	2015-02-02	YMCA GREATER -JOHN ST	165.94	CAD	165.94	CAD	4820	BUSINESS MEETING EXPENSES	FS0022	ACCTG SVCS-OFFICE OF THE DIRECTOR	8398	"Organizations, Charitable and Social Ser"	ASD MANAGEMENT TEAM MEETING	
ACCOUNTING SERVICES 	3376-64	2015-02-13	2015-02-13	DIRECTDIAL COM	"1,552.62"	CAD	"1,552.62"	CAD	3310	FURNISHINGS	FS0024	COMM&NEIGHBOURHOOD SVC-ACCOUNTS PAY	5045	"Computers, Computer Peripheral Equipment"	ERGONOMIC SIT/STAND WORKSTATION	
					"3,054.22"	CAD	"3,054.22"	CAD								
TORONTO WATER	3394-56	2015-02-24	2015-02-26	THE HOME DEPOT #7012	500.64	CAD	500.64	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5200	Home Supply Warehouse	FERN WTR 24	
					500.64	CAD	500.64	CAD								
"PARKS, FORESTRY & RECREATION"	3388-73	2015-02-20	2015-02-23	DOLLAR TREE CANADA STO	100.01	CAD	100.01	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12627	RS-CH-PRGM SUPP -SOUTH GEN - SPORTS	5331	Variety Stores	HOCKEY CARDS	
"PARKS, FORESTRY & RECREATION"	3388-74	2015-02-20	2015-02-23	WAL-MART #1139	25.01	CAD	25.01	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12627	RS-CH-PRGM SUPP -SOUTH GEN - SPORTS	5411	"Grocery Stores, Supermarkets"	FOOD ITEMS - HOCKEY PROGRAM	
					125.02	CAD	125.02	CAD								
"PARKS, FORESTRY & RECREATION"	3357-61	2015-01-29	2015-02-02	CDN TIRE STORE #00019	7.33	CAD	7.33	CAD	2715	PAINT SUPPLIES	P13472	NY - SPORTS FIELD MAINTENANCE	5200	Home Supply Warehouse	PAINT	
					7.33	CAD	7.33	CAD								
PUBLIC HEALTH	3364-31	2015-02-04	2015-02-05	CRFA	282.50	CAD	282.50	CAD	4995	OTHER EXPENSES	PH5103	HE-FOOD HANDLER TRAINING	8699	"Organizations, Membership - Not Elsewher"		
PUBLIC HEALTH	3366-71	2015-02-04	2015-02-06	THE EXHIBITION PLACE	161.97	CAD	161.97	CAD	4995	OTHER EXPENSES	PH5103	HE-FOOD HANDLER TRAINING	9399	Government Services - Not Elsewhere Clas		
PUBLIC HEALTH	3376-65	2015-02-12	2015-02-13	CRFA	282.50	CAD	282.50	CAD	4995	OTHER EXPENSES	PH5103	HE-FOOD HANDLER TRAINING	8699	"Organizations, Membership - Not Elsewher"		
PUBLIC HEALTH	3388-75	2015-02-20	2015-02-23	THE EXHIBITION PLACE	217.81	CAD	217.81	CAD	4995	OTHER EXPENSES	PH5103	HE-FOOD HANDLER TRAINING	9399	Government Services - Not Elsewhere Clas		
PUBLIC HEALTH	3392-49	2015-02-24	2015-02-25	COSTCO.CA   *ONLINE	163.84	CAD	163.84	CAD	4995	OTHER EXPENSES	PH5103	HE-FOOD HANDLER TRAINING	5399	Miscellaneous General Merchandise		
PUBLIC HEALTH	3396-48	2015-02-26	2015-02-27	GES CANADA  MISSISSAUG	315.27	CAD	315.27	CAD	4995	OTHER EXPENSES	PH5103	HE-FOOD HANDLER TRAINING	7399	Business Services - Not Elsewhere Classi		
					"1,423.89"	CAD	"1,423.89"	CAD								
EMPLOYMENT & SOCIAL SERVICES	3382-26	2015-02-17	2015-02-18	RCSS SCARBOROUGH #2809	122.01	CAD	122.01	CAD	*****	OTHER OFFICE MATERIAL &MINOR FURNISHING	C01275	CLIFFCREST EMPLOYMENT SERVICES	5411	"Grocery Stores, Supermarkets"	FOOD AND BEVERAGE - FOOD FOR YOUTH	
EMPLOYMENT & SOCIAL SERVICES	3396-49	2015-02-26	2015-02-27	RCSS SCARBOROUGH #2809	30.87	CAD	30.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01275	CLIFFCREST EMPLOYMENT SERVICES	5411	"Grocery Stores, Supermarkets"	FOOD AND BEVERAGE - JOB FAIR	
					152.88	CAD	152.88	CAD								
FACILITIES MANAGEMENT DIVISON	3357-62	2015-01-30	2015-02-02	TORONTO PARKING AUTHOR	7.00	CAD	7.00	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61255653	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7523	Automobile Parking Lots and Garages	PARKING ON TRAINING SITE	
					7.00	CAD	7.00	CAD								
FACILITIES MANAGEMENT DIVISON	3370-31	2015-02-09	2015-02-10	COSTCO WHOLESALE #547	84.74	CAD	84.74	CAD	4995	OTHER EXPENSES	FA1374	92 FRONT E-LEASNG (ST.LAWRENCE MKT-NORTH	5300	Wholesale Clubs		
FACILITIES MANAGEMENT DIVISON	3376-66	2015-02-12	2015-02-13	STAPLES #189	104.53	CAD	104.53	CAD	4995	OTHER EXPENSES	FA1374	92 FRONT E-LEASNG (ST.LAWRENCE MKT-NORTH	5943	"Office, School Supply, and Stationery St"		
FACILITIES MANAGEMENT DIVISON	3386-33	2015-02-19	2015-02-20	STAPLES #189	209.04	CAD	209.04	CAD	4995	OTHER EXPENSES	FA1374	92 FRONT E-LEASNG (ST.LAWRENCE MKT-NORTH	5943	"Office, School Supply, and Stationery St"		
					398.31	CAD	398.31	CAD								
FACILITIES MANAGEMENT DIVISON	3372-39	2015-02-10	2015-02-11	TORCAN LIFT EQUIPMENT	220.35	CAD	220.35	CAD	4424	CONTRACTED SERVICES - GENERAL	FA0594	150 DISCO RD-OPS-W (DISCO YARD)	7394	"Equipment Rental and Leasing Services, F"	EQUPMENT REPAIR	
					220.35	CAD	220.35	CAD								
FACILITIES MANAGEMENT DIVISON	3374-56	2015-02-11	2015-02-12	STEELES PAINT   DECORA	66.44	CAD	66.44	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61282989	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5198	"Paints, Varnishes, and Supplies"	PURCHASE PAINT	
FACILITIES MANAGEMENT DIVISON	3388-76	2015-02-20	2015-02-23	STEELES PAINT   DECORA	109.47	CAD	109.47	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61286410	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5198	"Paints, Varnishes, and Supplies"	PURCHASE PAINT	
FACILITIES MANAGEMENT DIVISON	3396-50	2015-02-26	2015-02-27	STEELES PAINT   DECORA	499.82	CAD	499.82	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61288706	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5198	"Paints, Varnishes, and Supplies"	PURCHASE PAINT	
					675.73	CAD	675.73	CAD								
FACILITIES MANAGEMENT DIVISON	3390-31	2015-02-23	2015-02-24	GRAHAM ALARM MONITORIN	"1,858.12"	CAD	"1,858.12"	CAD	4424	CONTRACTED SERVICES - GENERAL	FA0352	CLEARING-FACILITIES OPERATIONS-SOUTH	1731	Electrical Contractors	BELL CANADA BILL FOR ELEVATOR PHONELINE 170 JARVIS	
					"1,858.12"	CAD	"1,858.12"	CAD								
EMPLOYMENT & SOCIAL SERVICES	3366-72	2015-02-05	2015-02-06	ROB'S NO FRILLS #1328	13.68	CAD	13.68	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01202	ATTWELL-ADMIN	5411	"Grocery Stores, Supermarkets"	PURCHASE FOR IIF MEETING	
EMPLOYMENT & SOCIAL SERVICES	3366-73	2015-02-05	2015-02-06	ROB'S NO FRILLS #1328	95.82	CAD	95.82	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01202	ATTWELL-ADMIN	5411	"Grocery Stores, Supermarkets"	PURCHASE FOR EC EVENT	
EMPLOYMENT & SOCIAL SERVICES	3368-86	2015-02-06	2015-02-09	FORTINO'S (QUEEN'S PLA	32.56	CAD	32.56	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01202	ATTWELL-ADMIN	5411	"Grocery Stores, Supermarkets"	PURCHASE FOR IIF MEETING	
EMPLOYMENT & SOCIAL SERVICES	3394-57	2015-02-24	2015-02-26	WAL-MART #1137	48.92	CAD	48.92	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01202	ATTWELL-ADMIN	5411	"Grocery Stores, Supermarkets"	PURCHASE FOR EC WORKSHOP	
					190.98	CAD	190.98	CAD								
ACCOUNTING SERVICES	3361-20	2015-02-03	2015-02-04	PAYPAL *ICONINSTITU	199.86	CAD	199.86	CAD	4760	MEMBERSHIP FEES	GV0014	ARCHIVAL SERVICES	8398	"Organizations, Charitable and Social Ser"	MEMBERSHIP RENEWAL FEE 2014/15	
ACCOUNTING SERVICES	3366-74	2015-02-05	2015-02-06	PAYPAL *ICONINSTITU	-199.86	CAD	-199.86	CAD	4760	MEMBERSHIP FEES	GV0014	ARCHIVAL SERVICES	8398	"Organizations, Charitable and Social Ser"	REFUND MEMBERSHIP RENEWAL FEE 2014/15	
					0.00	CAD	0.00	CAD								
TORONTO WATER	3364-32	2015-02-03	2015-02-05	MOE-SAFE DRINKING WATE	"1,500.00"	CAD	"1,500.00"	CAD	4830	PERMIT & LICENSE FEES	TW5030	BUS OP MGMT: TW LABORATORIES	9399	Government Services - Not Elsewhere Clas	DRINKING WATER TESTING LICENSE	
TORONTO WATER	3366-75	2015-02-04	2015-02-06	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4760	MEMBERSHIP FEES	TW5030	BUS OP MGMT: TW LABORATORIES	9399	Government Services - Not Elsewhere Clas	HWIN REGISTRATION	
TORONTO WATER	3372-40	2015-02-11	2015-02-11	UPS*000000502A9A065	64.13	CAD	64.13	CAD	4815	COURIER SERVICES	TW5030	BUS OP MGMT: TW LABORATORIES	4214	"Motor Freight Carriers, Trucking - Local"	SHIPMENT TO GUELPH AND HAMILTON	
TORONTO WATER	3390-32	2015-02-24	2015-02-24	UPS*000000502A9A085	31.97	CAD	31.97	CAD	4815	COURIER SERVICES	TW5030	BUS OP MGMT: TW LABORATORIES	4214	"Motor Freight Carriers, Trucking - Local"	SHIPMENT TO HAMILTON	
TORONTO WATER	3394-58	2015-02-24	2015-02-26	MOE-DRINK WAT WASTE CE	100.00	CAD	100.00	CAD	4830	PERMIT & LICENSE FEES	TW5030	BUS OP MGMT: TW LABORATORIES	9399	Government Services - Not Elsewhere Clas	OWWCO CERTIFICATE	
					"1,746.10"	CAD	"1,746.10"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3366-76	2015-02-04	2015-02-06	CTC*CONSTANTCONTACT.CO	"1,073.35"	CAD	840.00	USD	4414	ADVERTISING & PROMOTION	ED0139	SM. BUSINESS SUPPORT & ADVISORY SERVICE	5968	Direct Marketing - Continuity/Subscripti	SOCIAL MEDIA ADVERTISING	
ECONOMIC DEVELOPMENT & CULTURE	3376-67	2015-02-12	2015-02-13	HOOTSUITE MEDIA INC.	50.54	CAD	39.54	USD	4414	ADVERTISING & PROMOTION	ED0139	SM. BUSINESS SUPPORT & ADVISORY SERVICE	5968	Direct Marketing - Continuity/Subscripti	SOCIAL MEDIA ADVERTISING	
ECONOMIC DEVELOPMENT & CULTURE	3378-50	2015-02-15	2015-02-16	FACEBK *LS8KL7N2E2	20.59	CAD	20.59	CAD	4414	ADVERTISING & PROMOTION	ED0139	SM. BUSINESS SUPPORT & ADVISORY SERVICE	7311	Advertising Services	FACEBOOK ADS	
ECONOMIC DEVELOPMENT & CULTURE	3386-34	2015-02-20	2015-02-20	FACEBK *CEP7E7WZD2	5.01	CAD	5.01	CAD	4414	ADVERTISING & PROMOTION	ED0139	SM. BUSINESS SUPPORT & ADVISORY SERVICE	7311	Advertising Services	FACEBOOK ADS	
					"1,149.49"	CAD	25.60	CAD								
							879.54	USD								
TORONTO WATER	3382-27	2015-02-17	2015-02-18	STRONGCO EQUIPMENT	361.19	CAD	361.19	CAD	*****	BLDG REPAIRS & RENOVATION SUPPLIES	TW4105	WW TREATMNT:  HIGHLAND CREEK TP - WORK A	1799	"Contractors, Special Trade - Not Elsewhe"	FITTINGS	
					361.19	CAD	361.19	CAD								
PUBLIC HEALTH	3378-51	2015-02-15	2015-02-16	IN *ERGO ANYWHERE	171.87	CAD	135.00	USD	3410	COMPUTERS - HARDWARE	PH4081	VACCINE PREVENTABLE DISEASE	5045	"Computers, Computer Peripheral Equipment"	OYSTER MOUSE	
PUBLIC HEALTH	3396-51	2015-02-26	2015-02-27	LEARNING TREE INTERNAT	"3,265.70"	CAD	"3,265.70"	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	CPH001-18	HF/HL POINT OF CARE	8299	Educational Services	SEMINAR	
PUBLIC HEALTH	3396-52	2015-02-26	2015-02-27	LEARNING TREE INTERNAT	"3,265.70"	CAD	"3,265.70"	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	CPH001-18	HF/HL POINT OF CARE	8299	Educational Services	TRAINING	
					"6,703.27"	CAD	"6,531.40"	CAD								
							135.00	USD								
ACCOUNTING SERVICES 	3388-77	2015-02-21	2015-02-23	YMCA GREATER -JOHN ST	233.68	CAD	233.68	CAD	4995	OTHER EXPENSES	FS0022	ACCTG SVCS-OFFICE OF THE DIRECTOR	8398	"Organizations, Charitable and Social Ser"	ACCOUNTS PAYABLE PLANNING MEETING	
					233.68	CAD	233.68	CAD								
"PARKS, FORESTRY & RECREATION"	3357-63	2015-01-29	2015-02-02	LOUISE KOOL   GAULT	183.00	CAD	183.00	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04111	SCAR VILLAGE RC-SUMMER CAMPS	5945	"Game, Toy, and Hobby Shops"	PARACHUTES FOR UPCOMING SUMMER CAMPS	
"PARKS, FORESTRY & RECREATION"	3357-64	2015-01-30	2015-02-02	WMT SUPRCTR #1117	40.44	CAD	40.44	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07899	SCAR VILLAGE RC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	KIDS IN KITCHEN PROG.	
"PARKS, FORESTRY & RECREATION"	3368-87	2015-02-06	2015-02-09	METRO #808	62.64	CAD	62.64	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07899	SCAR VILLAGE RC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"LETTUCE, HAMBURGER ROLLS, CHEDDAR"	
"PARKS, FORESTRY & RECREATION"	3370-32	2015-02-09	2015-02-10	METRO #808	35.61	CAD	35.61	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07899	SCAR VILLAGE RC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"BEANS, ONION, PEPPER"	
"PARKS, FORESTRY & RECREATION"	3378-52	2015-02-13	2015-02-16	WMT SUPRCTR #1117	65.82	CAD	65.82	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05233	SCAR VILLAGE RC-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	"PICTURE FRAMES, COCOA, VANILLA EXTRACT"	
"PARKS, FORESTRY & RECREATION"	3388-78	2015-02-20	2015-02-23	WMT SUPRCTR #1117	144.61	CAD	144.61	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07899	SCAR VILLAGE RC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"BUTTER, GARLIC, CLAY"	
"PARKS, FORESTRY & RECREATION"	3390-33	2015-02-23	2015-02-24	METRO #808	23.87	CAD	23.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07899	SCAR VILLAGE RC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"BACON, HASHBROWN, EGGS"	
					555.99	CAD	555.99	CAD								
TORONTO PARAMEDIC SERVICES	3396-53	2015-02-26	2015-02-27	YONGEEGLINTON022520151	17.10	CAD	17.10	CAD	4770	PARKING EXPENSES (INTOWN)	B22040	EXTERNAL TRAINING CPR	7523	Automobile Parking Lots and Garages	PARKING	
					17.10	CAD	17.10	CAD								
"PARKS, FORESTRY & RECREATION"	3370-33	2015-02-09	2015-02-10	NOFRILLS MICHAELS 1315	6.93	CAD	6.93	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07890	LAMOREAUX CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	MILK FOR SCIENCE CLASSES	
					6.93	CAD	6.93	CAD								
TORONTO WATER	3376-68	2015-02-12	2015-02-13	NOBLE 1007	217.93	CAD	217.93	CAD	2535	PLUMBING SUPPLIES	TW2040	DIST OPS: OPERATION & MTCE - TORONTO/EAS	5251	Hardware Stores	CLAMPS	
					217.93	CAD	217.93	CAD								
FACILITIES MANAGEMENT DIVISON	3364-33	2015-02-04	2015-02-05	JAMES SIGNS	39.55	CAD	39.55	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61246752	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7333	"Commercial Art, Graphics, Photography"	SIGN	
FACILITIES MANAGEMENT DIVISON	3368-88	2015-02-06	2015-02-09	JAMES SIGNS	33.90	CAD	33.90	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61285723	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7333	"Commercial Art, Graphics, Photography"	SIGN	
FACILITIES MANAGEMENT DIVISON	3368-89	2015-02-06	2015-02-09	JAMES SIGNS	67.80	CAD	67.80	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61283190	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7333	"Commercial Art, Graphics, Photography"	SIGN	
FACILITIES MANAGEMENT DIVISON	3374-57	2015-02-11	2015-02-12	JAMES SIGNS	39.55	CAD	39.55	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61283190	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7333	"Commercial Art, Graphics, Photography"	SIGN	
					180.80	CAD	180.80	CAD								
EMPLOYMENT & SOCIAL SERVICES	3388-79	2015-02-20	2015-02-23	FRESHCO 9834	59.56	CAD	59.56	CAD	*****	MISCELLANEOUS MATERIALS & SUPPLIES	C01274	CONSILIUM PLACE-ADMIN	5411	"Grocery Stores, Supermarkets"	FOOD AND BEVERAGE - SERVICE FAIR	
					59.56	CAD	59.56	CAD								
"PARKS, FORESTRY & RECREATION"	3396-54	2015-02-26	2015-02-27	FOOD BASICS #686	121.13	CAD	121.13	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10177	DIVERSITY - CITYWIDE	5411	"Grocery Stores, Supermarkets"	GROCERIES	
					121.13	CAD	121.13	CAD								
FLEET SERVICES	3394-59	2015-02-25	2015-02-26	CITIZENSHIP   IMM ON-L	230.00	CAD	230.00	CAD	4995	OTHER EXPENSES	FL7004	DIRECTOR'S OFFICE	9399	Government Services - Not Elsewhere Clas	CANADIAN EMPLOYER COMPLIANCE FEE	
					230.00	CAD	230.00	CAD								
"PARKS, FORESTRY & RECREATION"	3382-28	2015-02-17	2015-02-18	FOOD BASICS #863	8.96	CAD	8.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07880	CURRAN HALL-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"SOCIAL CLUB AT ST MARKS-MILK, NUTTELA"	
"PARKS, FORESTRY & RECREATION"	3388-80	2015-02-20	2015-02-23	THE POTTERY SUPPLY HOU	167.23	CAD	167.23	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06672	PORT UNION-PRGM SUPPORT	5970	"Artist Supply Stores, Craft Shops"	POTTERY SUPPLIES FOR PORT UNION	
"PARKS, FORESTRY & RECREATION"	3394-60	2015-02-24	2015-02-26	WAL-MART # 3111	44.76	CAD	44.76	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11098	CURRAN HALL-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"SOCIAL CLUB ST MARKS-MILK,WHIPPED CREAM"	
"PARKS, FORESTRY & RECREATION"	3394-61	2015-02-25	2015-02-26	FOOD BASICS #863	43.02	CAD	43.02	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07880	CURRAN HALL-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"ACTIVE 8 PRGM-OLIVE, MAYO,CELERY,BANANAS"	
					263.97	CAD	263.97	CAD								
FACILITIES MANAGEMENT DIVISON	3359-23	2015-02-02	2015-02-03	PAUL WOLF ELECTRIC   L	167.44	CAD	167.44	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61286020	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT DIVISON	3359-24	2015-02-02	2015-02-03	PAUL WOLF ELECTRIC   L	126.24	CAD	126.24	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61285785	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT DIVISON	3364-34	2015-02-04	2015-02-05	PAUL WOLF ELECTRIC   L	117.34	CAD	117.34	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61277537	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT DIVISON	3364-35	2015-02-04	2015-02-05	PAUL WOLF ELECTRIC   L	39.66	CAD	39.66	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61286018	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT DIVISON	3364-36	2015-02-04	2015-02-05	PAUL WOLF ELECTRIC   L	21.59	CAD	21.59	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61284931	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT DIVISON	3366-77	2015-02-05	2015-02-06	PAUL WOLF ELECTRIC   L	46.65	CAD	46.65	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61284475	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT DIVISON	3368-90	2015-02-06	2015-02-09	PAUL WOLF ELECTRIC   L	108.95	CAD	108.95	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61286523	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT DIVISON	3370-34	2015-02-09	2015-02-10	PAUL WOLF ELECTRIC   L	160.95	CAD	160.95	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61286582	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT DIVISON	3376-69	2015-02-12	2015-02-13	PAUL WOLF ELECTRIC   L	261.37	CAD	261.37	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61287282	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT DIVISON	3394-62	2015-02-25	2015-02-26	PAUL WOLF ELECTRIC   L	53.51	CAD	53.51	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61288065	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
					"1,103.70"	CAD	"1,103.70"	CAD								
"PARKS, FORESTRY & RECREATION"	3368-91	2015-02-05	2015-02-09	GOLF TOWN CANADA - WEB	146.88	CAD	146.88	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	P07646	DON VALLEY-OPERATIONS	5941	Sporting Goods Stores	PROMOTIONAL GOLF SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3372-41	2015-02-10	2015-02-11	BELL TV	2.04	CAD	2.04	CAD	4441	CONTRACTED SERVICES - CABLE TV	P07646	DON VALLEY-OPERATIONS	4812	Telecommunication Equipment Including Te	CABLE SERVICE	
"PARKS, FORESTRY & RECREATION"	3372-42	2015-02-10	2015-02-11	BELL TV	231.55	CAD	231.55	CAD	4441	CONTRACTED SERVICES - CABLE TV	P07646	DON VALLEY-OPERATIONS	4812	Telecommunication Equipment Including Te	CABLE SERVICE	
"PARKS, FORESTRY & RECREATION"	3376-70	2015-02-12	2015-02-13	ACCOLADE PROMOTION GRO	"1,044.91"	CAD	"1,044.91"	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	P07646	DON VALLEY-OPERATIONS	7311	Advertising Services	PROMOTIONAL GOLF SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3378-53	2015-02-12	2015-02-16	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	P07646	DON VALLEY-OPERATIONS	9399	Government Services - Not Elsewhere Clas	LICENSE FEE	
"PARKS, FORESTRY & RECREATION"	3378-54	2015-02-12	2015-02-16	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	P07646	DON VALLEY-OPERATIONS	9399	Government Services - Not Elsewhere Clas	LICENSE FEE	
"PARKS, FORESTRY & RECREATION"	3378-55	2015-02-12	2015-02-16	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	P07646	DON VALLEY-OPERATIONS	9399	Government Services - Not Elsewhere Clas	LICENSE FEE	
"PARKS, FORESTRY & RECREATION"	3378-56	2015-02-12	2015-02-16	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	P07646	DON VALLEY-OPERATIONS	9399	Government Services - Not Elsewhere Clas	LICENSE FEE	
"PARKS, FORESTRY & RECREATION"	3378-57	2015-02-12	2015-02-16	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	P07646	DON VALLEY-OPERATIONS	9399	Government Services - Not Elsewhere Clas	LICENSE FEE	
"PARKS, FORESTRY & RECREATION"	3396-55	2015-02-26	2015-02-27	BELL TV	2.04	CAD	2.04	CAD	4441	CONTRACTED SERVICES - CABLE TV	P07646	DON VALLEY-OPERATIONS	4812	Telecommunication Equipment Including Te	CABLE SERVICE	
"PARKS, FORESTRY & RECREATION"	3396-56	2015-02-26	2015-02-27	BELL TV	74.41	CAD	74.41	CAD	4441	CONTRACTED SERVICES - CABLE TV	P07646	DON VALLEY-OPERATIONS	4812	Telecommunication Equipment Including Te	CABLE SERVICE	
					"1,751.83"	CAD	"1,751.83"	CAD								
