Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Tr Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order No.	Cost Centre / WBS Element / Order No. Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	3483-43	2015-05-01	2015-05-04	METRO #37	69.87	CAD	69.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"PASTA, PORK, CHICKEN, CANTALOUPE"	
"PARKS, FORESTRY & RECREATION"	3506-38	2015-05-14	2015-05-19	BEACH HARDWARE   GARDE	13.25	CAD	13.25	CAD	2730	LOCKS	P06743	BEACHES CC-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	KEYS	
"PARKS, FORESTRY & RECREATION"	3509-15	2015-05-19	2015-05-20	FRESHCO 9750      QPS	57.90	CAD	57.90	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"CARROTS, MILK, COLE SLAW, PEPPERS,APPLES"	
"PARKS, FORESTRY & RECREATION"	3509-16	2015-05-19	2015-05-20	METRO #37	45.04	CAD	45.04	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"SPAG SAUCE,SAUSAGE,BROCCOLI"	
					446.07	CAD	446.07	CAD								
FACILITIES MANAGEMENT DIVISON	3491-20	2015-05-06	2015-05-07	TORONTO PARKING AUTHOR	4.00	CAD	4.00	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61241850	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7523	Automobile Parking Lots and Garages	PARKING TICKET	
FACILITIES MANAGEMENT DIVISON	3504-18	2015-05-14	2015-05-15	TORONTO PARKING AUTHOR	6.00	CAD	6.00	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61296210	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7523	Automobile Parking Lots and Garages	PARKING TICKET	
					10.00	CAD	10.00	CAD								
LONG TERM CARE HOMES & SERVICES	3486-15	2015-05-04	2015-05-05	ELEGANTOFFICE/OFFACC	-296.21	CAD	-239.40	USD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	D1A010	HEAD OFFICE-EXECUTIVE OFFICE-PA	5719	Miscellaneous House Furnishing Specialty	COASTERS AND CONFERENCE TABLE PAD	
LONG TERM CARE HOMES & SERVICES	3522-28	2015-05-28	2015-05-29	IPAC CANADA	202.00	CAD	202.00	CAD	4760	MEMBERSHIP FEES	D3X011	RESIDENT CARE	8398	"Organizations, Charitable and Social Ser"	IPAC MEMBERSHIP	
					-94.21	CAD	202.00	CAD								
							-239.40	USD								
TORONTO PARAMEDIC SERVICES	3504-19	2015-05-14	2015-05-15	HEARTZAP SERVICES	291.54	CAD	291.54	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	B22040	EXTERNAL TRAINING CPR	5732	Electronic Sales	ZOLL AED TRAINER UPGRADE	
					291.54	CAD	291.54	CAD								
CITY PLANNING	3482-25	2015-04-30	2015-05-01	INDIGO ONLINE	33.06	CAD	33.06	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	UR0005	HEAD OFFICE-POLICY&RESRCH-CITY PLNG	5399	Miscellaneous General Merchandise	"GUIDEBOOK - ARCHITECTURE IN TORONTO, IMAGINING TOR"	
CITY PLANNING	3489-12	2015-05-05	2015-05-06	"PLACEWAYS, LLC"	830.18	CAD	675.00	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	UR0005	HEAD OFFICE-POLICY&RESRCH-CITY PLNG	5045	"Computers, Computer Peripheral Equipment"	SUBSCRIPTION 1 YR VIZ SOFTWARE TECH SUPPORT	
CITY PLANNING	3491-21	2015-05-06	2015-05-07	WWW.TRANSPORTXTRA.COM	104.59	CAD	55.61	GBP	2020	BOOK & MAGAZINE SUBSCRIPTIONS	UR0005	HEAD OFFICE-POLICY&RESRCH-CITY PLNG	7399	Business Services - Not Elsewhere Classi	GUIDE - STREET PLANNING AND DESIGN	
CITY PLANNING	3514-31	2015-05-22	2015-05-25	DRI LEPIDE	534.65	CAD	534.65	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	UR0005	HEAD OFFICE-POLICY&RESRCH-CITY PLNG	7372	"Computer Programming, Integrated Systems"	KERNEL FOR NOVELL GROUPWISE TO OUTLOOK	
CITY PLANNING	3520-38	2015-05-27	2015-05-28	CARR MCLEAN LIMITED	91.31	CAD	91.31	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	UR0005	HEAD OFFICE-POLICY&RESRCH-CITY PLNG	5943	"Office, School Supply, and Stationery St"	LIBRARY STANDARD BOOK POCKETS	
					"1,593.79"	CAD	659.02	CAD								
							55.61	GBP								
							675.00	USD								
FACILITIES MANAGEMENT DIVISON	3482-26	2015-04-28	2015-05-01	MISTER CHEMICAL LTD	183.52	CAD	183.52	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA1375	91 FRONT E-LEASNG (ST.LAWRENCE MKT-SOUTH	5169	Chemicals and Allied Products Not Elsewh	BUILDING SUPPLIES	
FACILITIES MANAGEMENT DIVISON	3491-22	2015-05-06	2015-05-07	METRO #62	25.37	CAD	25.37	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA1375	91 FRONT E-LEASNG (ST.LAWRENCE MKT-SOUTH	5411	"Grocery Stores, Supermarkets"	CLEANING SUPPLIES	
FACILITIES MANAGEMENT DIVISON	3495-26	2015-05-07	2015-05-11	MISTER CHEMICAL LTD	294.03	CAD	294.03	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA1375	91 FRONT E-LEASNG (ST.LAWRENCE MKT-SOUTH	5169	Chemicals and Allied Products Not Elsewh	"DRY VACUUM, PAPER BAGS"	
FACILITIES MANAGEMENT DIVISON	3502-20	2015-05-12	2015-05-14	SWISH MAINTENANCE LTD	-480.14	CAD	-480.14	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA1375	91 FRONT E-LEASNG (ST.LAWRENCE MKT-SOUTH	2842	"Specialty Cleaning, Polishing, and Sanit"	CREDIT - EQUIPMENT RETURNED	
FACILITIES MANAGEMENT DIVISON	3504-20	2015-05-13	2015-05-15	THE HOME DEPOT #7109	81.22	CAD	81.22	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA1375	91 FRONT E-LEASNG (ST.LAWRENCE MKT-SOUTH	5200	Home Supply Warehouse	**MORE**  WINDOW FILM	
FACILITIES MANAGEMENT DIVISON	3506-39	2015-05-15	2015-05-19	TALENT CANADA INC.	150.29	CAD	150.29	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA1375	91 FRONT E-LEASNG (ST.LAWRENCE MKT-SOUTH	5046	Commercial Equipment Not Elsewhere Class	CAUTION TAPE WITH BELT AND WALL MOUNT	
FACILITIES MANAGEMENT DIVISON	3518-36	2015-05-25	2015-05-27	SWISH MAINTENANCE LTD	54.52	CAD	54.52	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA1375	91 FRONT E-LEASNG (ST.LAWRENCE MKT-SOUTH	2842	"Specialty Cleaning, Polishing, and Sanit"	**MORE**  FREIGHT 15-30	
					308.81	CAD	308.81	CAD								
EMPLOYMENT & SOCIAL SERVICES	3489-13	2015-05-05	2015-05-06	REAL CANADIAN WHOLESAL	23.16	CAD	23.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01205	YORK/HUMBER-ADMIN	5411	"Grocery Stores, Supermarkets"	REFRESHEMENTS FOR WORKFORCE DEVELOP. AGENCY FAIR	
EMPLOYMENT & SOCIAL SERVICES	3522-29	2015-05-28	2015-05-29	REI LEXISNEXIS CANADA	15.70	CAD	15.70	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	C01205	YORK/HUMBER-ADMIN	5942	Book Stores	OCC HEALTH & SAFETY ACT BOOK	
					38.86	CAD	38.86	CAD								
LEGAL SERVICES	3486-16	2015-05-04	2015-05-05	TERANET EXPRESS	10.00	CAD	10.00	CAD	4827	ONLINE SERVICES FEES	LL5606	FACILITIES AND REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3486-17	2015-05-04	2015-05-05	TERANET EXPRESS	13.00	CAD	13.00	CAD	4827	ONLINE SERVICES FEES	LL5606	FACILITIES AND REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3486-18	2015-05-04	2015-05-05	TERANET EXPRESS	6.50	CAD	6.50	CAD	4827	ONLINE SERVICES FEES	LL5606	FACILITIES AND REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3489-14	2015-05-05	2015-05-06	TERANET EXPRESS	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL5403	MUNICIPAL LICENSING & STANDARD	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3493-11	2015-05-07	2015-05-08	TERANET EXPRESS	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL5505	TECHNICAL SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3493-12	2015-05-07	2015-05-08	TERANET EXPRESS	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3493-13	2015-05-07	2015-05-08	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3493-14	2015-05-07	2015-05-08	TERANET EXPRESS	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3493-15	2015-05-07	2015-05-08	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3493-16	2015-05-07	2015-05-08	TERANET EXPRESS	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3493-17	2015-05-07	2015-05-08	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3493-18	2015-05-07	2015-05-08	TERANET EXPRESS	10.00	CAD	10.00	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3493-19	2015-05-07	2015-05-08	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3493-20	2015-05-07	2015-05-08	TERANET EXPRESS	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3493-21	2015-05-07	2015-05-08	TERANET EXPRESS	3.00	CAD	3.00	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3499-18	2015-05-11	2015-05-12	TERANET EXPRESS	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL5403	MUNICIPAL LICENSING & STANDARD	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3499-19	2015-05-11	2015-05-12	TERANET EXPRESS	0.50	CAD	0.50	CAD	4827	ONLINE SERVICES FEES	LL5403	MUNICIPAL LICENSING & STANDARD	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3499-20	2015-05-11	2015-05-12	TERANET EXPRESS	12.00	CAD	12.00	CAD	4827	ONLINE SERVICES FEES	LL5502	FIRE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3499-21	2015-05-11	2015-05-12	TERANET EXPRESS	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL5502	FIRE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3499-22	2015-05-11	2015-05-12	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5502	FIRE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3499-23	2015-05-11	2015-05-12	TERANET EXPRESS	10.00	CAD	10.00	CAD	4827	ONLINE SERVICES FEES	LL5502	FIRE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3499-24	2015-05-11	2015-05-12	TERANET EXPRESS	0.50	CAD	0.50	CAD	4827	ONLINE SERVICES FEES	LL5502	FIRE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3499-25	2015-05-11	2015-05-12	TERANET EXPRESS	11.00	CAD	11.00	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3499-26	2015-05-11	2015-05-12	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3499-27	2015-05-11	2015-05-12	TERANET EXPRESS	11.00	CAD	11.00	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3499-28	2015-05-11	2015-05-12	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3499-29	2015-05-11	2015-05-12	TERANET EXPRESS	4.50	CAD	4.50	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3501-24	2015-05-12	2015-05-13	TERANET EXPRESS	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL5403	MUNICIPAL LICENSING & STANDARD	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3501-25	2015-05-12	2015-05-13	TERANET EXPRESS	16.00	CAD	16.00	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3501-26	2015-05-12	2015-05-13	TERANET EXPRESS	7.50	CAD	7.50	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3501-27	2015-05-12	2015-05-13	TERANET EXPRESS	32.00	CAD	32.00	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3501-28	2015-05-12	2015-05-13	TERANET EXPRESS	14.00	CAD	14.00	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3501-29	2015-05-12	2015-05-13	TERANET EXPRESS	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3504-21	2015-05-14	2015-05-15	TERANET EXPRESS	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL5502	FIRE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3504-22	2015-05-14	2015-05-15	TERANET EXPRESS	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3504-23	2015-05-14	2015-05-15	TERANET EXPRESS	5.00	CAD	5.00	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3504-24	2015-05-14	2015-05-15	TERANET EXPRESS	11.00	CAD	11.00	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3504-25	2015-05-14	2015-05-15	TERANET EXPRESS	3.00	CAD	3.00	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3504-26	2015-05-14	2015-05-15	TERANET EXPRESS	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3504-27	2015-05-14	2015-05-15	TERANET EXPRESS	4.50	CAD	4.50	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3504-28	2015-05-14	2015-05-15	TERANET EXPRESS	11.00	CAD	11.00	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3504-29	2015-05-14	2015-05-15	TERANET EXPRESS	20.50	CAD	20.50	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3506-40	2015-05-15	2015-05-19	TERANET EXPRESS	10.00	CAD	10.00	CAD	4827	ONLINE SERVICES FEES	LL5403	MUNICIPAL LICENSING & STANDARD	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3506-41	2015-05-15	2015-05-19	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5403	MUNICIPAL LICENSING & STANDARD	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3506-42	2015-05-15	2015-05-19	TERANET EXPRESS	10.00	CAD	10.00	CAD	4827	ONLINE SERVICES FEES	LL5403	MUNICIPAL LICENSING & STANDARD	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3506-43	2015-05-15	2015-05-19	TERANET EXPRESS	2.00	CAD	2.00	CAD	4827	ONLINE SERVICES FEES	LL5403	MUNICIPAL LICENSING & STANDARD	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3506-44	2015-05-15	2015-05-19	TERANET EXPRESS	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3506-45	2015-05-15	2015-05-19	TERANET EXPRESS	4.00	CAD	4.00	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3506-46	2015-05-15	2015-05-19	TERANET EXPRESS	11.00	CAD	11.00	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3512-23	2015-05-21	2015-05-22	TERANET EXPRESS	5.00	CAD	5.00	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3512-24	2015-05-21	2015-05-22	TERANET EXPRESS	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3514-32	2015-05-22	2015-05-25	TERANET EXPRESS	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL0004	PLANNING&DEVELOPMENT-METRO HALL	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3514-33	2015-05-22	2015-05-25	TERANET EXPRESS	10.00	CAD	10.00	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3514-34	2015-05-22	2015-05-25	TERANET EXPRESS	6.00	CAD	6.00	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3514-35	2015-05-22	2015-05-25	TERANET EXPRESS	11.00	CAD	11.00	CAD	4827	ONLINE SERVICES FEES	LL5705	REVENUE SERVICES	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3518-37	2015-05-26	2015-05-27	TERANET EXPRESS	11.00	CAD	11.00	CAD	4827	ONLINE SERVICES FEES	LL5606	FACILITIES AND REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3518-38	2015-05-26	2015-05-27	TERANET EXPRESS	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL5606	FACILITIES AND REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3518-39	2015-05-26	2015-05-27	TERANET EXPRESS	0.50	CAD	0.50	CAD	4827	ONLINE SERVICES FEES	LL5606	FACILITIES AND REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3518-40	2015-05-26	2015-05-27	TERANET EXPRESS	18.00	CAD	18.00	CAD	4827	ONLINE SERVICES FEES	LL5606	FACILITIES AND REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3518-41	2015-05-26	2015-05-27	TERANET EXPRESS	6.50	CAD	6.50	CAD	4827	ONLINE SERVICES FEES	LL5606	FACILITIES AND REAL ESTATE	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3518-42	2015-05-26	2015-05-27	TERANET EXPRESS	12.00	CAD	12.00	CAD	4827	ONLINE SERVICES FEES	LL5708	CLAIMS  MCLARENS & ACCLAIM	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3518-43	2015-05-26	2015-05-27	TERANET EXPRESS	16.50	CAD	16.50	CAD	4827	ONLINE SERVICES FEES	LL5708	CLAIMS  MCLARENS & ACCLAIM	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3520-39	2015-05-27	2015-05-28	TERANET EXPRESS	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3520-40	2015-05-27	2015-05-28	TERANET EXPRESS	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL5401	BUILDING	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3520-41	2015-05-27	2015-05-28	TERANET EXPRESS	3.50	CAD	3.50	CAD	4827	ONLINE SERVICES FEES	LL5304	PARKS  FORESTRY AND RECREATION	9222	Fines	TITLE SEARCHES	
LEGAL SERVICES	3520-42	2015-05-27	2015-05-28	TERANET EXPRESS	0.50	CAD	0.50	CAD	4827	ONLINE SERVICES FEES	LL5808	TORONTO TRANSIT COMMISSION	9222	Fines	TITLE SEARCHES	
					492.50	CAD	492.50	CAD								
FIRE SERVICES	3491-23	2015-05-06	2015-05-07	STAPLES STORE #12	47.46	CAD	47.46	CAD	2010	STATIONERY AND OFFICE SUPPLIES	FR0024	MECH MAINTENANCE - EQUIPMENT MAINTANCE	5943	"Office, School Supply, and Stationery St"	LAMINATING PAPER	
FIRE SERVICES	3491-24	2015-05-06	2015-05-07	STAPLES STORE #39	0.02	CAD	0.02	CAD	2010	STATIONERY AND OFFICE SUPPLIES	FR0024	MECH MAINTENANCE - EQUIPMENT MAINTANCE	5943	"Office, School Supply, and Stationery St"	RECEIPT CORRECTION FOR LAMINATING PAPER	
FIRE SERVICES	3491-25	2015-05-06	2015-05-07	STAPLES STORE #39	11.69	CAD	11.69	CAD	2010	STATIONERY AND OFFICE SUPPLIES	FR0024	MECH MAINTENANCE - EQUIPMENT MAINTANCE	5943	"Office, School Supply, and Stationery St"	LAMINATING PAPER	
					59.17	CAD	59.17	CAD								
"PARKS, FORESTRY & RECREATION"	3482-27	2015-04-30	2015-05-01	PRECISION TURF TECHNOL	982.44	CAD	982.44	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07646	DON VALLEY-OPERATIONS	5261	Lawn and Garden Supply Stores	CALLIBRATION/PARTS	
"PARKS, FORESTRY & RECREATION"	3489-15	2015-05-05	2015-05-06	TURF CARE	815.63	CAD	815.63	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07646	DON VALLEY-OPERATIONS	5261	Lawn and Garden Supply Stores	IRRIGATION PARS	
"PARKS, FORESTRY & RECREATION"	3493-22	2015-05-07	2015-05-08	BEST BUY CANADA #927	39.54	CAD	39.54	CAD	2710	GENERAL HARDWARE	P07646	DON VALLEY-OPERATIONS	5732	Electronic Sales	CELLPHONE HOLDER	
"PARKS, FORESTRY & RECREATION"	3493-23	2015-05-07	2015-05-08	U OF G - RIDGETOWN WEB	84.75	CAD	84.75	CAD	4760	MEMBERSHIP FEES	P07646	DON VALLEY-OPERATIONS	8220	"Colleges, Universities, Professional Sch"	MEMBERSHIP	
"PARKS, FORESTRY & RECREATION"	3501-30	2015-05-11	2015-05-13	CDN TIRE STORE #00192	20.29	CAD	20.29	CAD	2710	GENERAL HARDWARE	P07646	DON VALLEY-OPERATIONS	5200	Home Supply Warehouse	SMALL BRUSHES FOR SCATTERING CLIPPINGS	
"PARKS, FORESTRY & RECREATION"	3506-47	2015-05-14	2015-05-19	ALLTURF LTD.	621.50	CAD	621.50	CAD	2499	OTHER CHEMICALS	P07646	DON VALLEY-OPERATIONS	0780	Horticultural and Landscaping Services	FUNGICIDE - ROVRAL GREEN	
"PARKS, FORESTRY & RECREATION"	3506-48	2015-05-14	2015-05-19	THE HOME DEPOT #7011	27.03	CAD	27.03	CAD	2710	GENERAL HARDWARE	P07646	DON VALLEY-OPERATIONS	5200	Home Supply Warehouse	ROBLINOKNIFE	
"PARKS, FORESTRY & RECREATION"	3520-43	2015-05-26	2015-05-28	CDN TIRE STORE #00192	81.62	CAD	81.62	CAD	2710	GENERAL HARDWARE	P07646	DON VALLEY-OPERATIONS	5200	Home Supply Warehouse	"IDENTA-TAG, KEYS"	
"PARKS, FORESTRY & RECREATION"	3520-44	2015-05-27	2015-05-28	PRECISION TURF TECHNOL	188.35	CAD	188.35	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P07646	DON VALLEY-OPERATIONS	5261	Lawn and Garden Supply Stores	REPAIR BROKEN PRESSURE AIR LINE	
"PARKS, FORESTRY & RECREATION"	3522-30	2015-05-28	2015-05-29	PRECISION TURF TECHNOL	705.11	CAD	705.11	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07646	DON VALLEY-OPERATIONS	5261	Lawn and Garden Supply Stores	PARTS FOR SPRAYER	
					"3,566.26"	CAD	"3,566.26"	CAD								
"PARKS, FORESTRY & RECREATION"	3493-24	2015-05-07	2015-05-08	NOFRILLS STEPHEN'S #34	35.45	CAD	35.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05508	DON MONTGOMERY CRC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"COOKING SUPPLIES:OLIVES,SHRIMP,PEPPERS,CELERY"	
"PARKS, FORESTRY & RECREATION"	3495-27	2015-05-08	2015-05-11	WAL-MART #3159	7.34	CAD	7.34	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05508	DON MONTGOMERY CRC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"COOKING SUPPLIES:CHICK PEAS, DRIED TOMATOES"	
