Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS element / Order	Cost Centre / WBS element / Order Description	Merchant Type	Merchant Type Description	Purpose
MUNICIPAL LICENSING & STANDARDS	3577-45	2015-07-09	2015-07-10	UBER	10.16	CAD	10.16	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3577-46	2015-07-09	2015-07-10	UBER	8.75	CAD	8.75	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3578-60	2015-07-10	2015-07-13	UBER	34.60	CAD	34.60	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3578-61	2015-07-10	2015-07-13	UBER	18.56	CAD	18.56	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3578-62	2015-07-10	2015-07-13	UBER	8.56	CAD	8.56	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3578-63	2015-07-10	2015-07-13	UBER	9.01	CAD	9.01	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3578-64	2015-07-10	2015-07-13	UBER	10.76	CAD	10.76	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3578-65	2015-07-12	2015-07-13	UBER	9.77	CAD	9.77	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3578-66	2015-07-12	2015-07-13	UBER	9.66	CAD	9.66	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3583-62	2015-07-14	2015-07-15	UBER	18.47	CAD	18.47	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3583-63	2015-07-14	2015-07-15	UBER	17.08	CAD	17.08	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3583-64	2015-07-14	2015-07-15	UBER	39.89	CAD	39.89	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3588-28	2015-07-15	2015-07-16	UBER	7.85	CAD	7.85	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3588-29	2015-07-15	2015-07-16	UBER	19.16	CAD	19.16	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3588-30	2015-07-15	2015-07-16	UBER	17.40	CAD	17.40	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3590-29	2015-07-16	2015-07-17	UBER	9.21	CAD	9.21	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3590-30	2015-07-16	2015-07-17	UBER	7.94	CAD	7.94	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3590-31	2015-07-16	2015-07-17	UBER	7.46	CAD	7.46	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3590-32	2015-07-16	2015-07-17	UBER	6.71	CAD	6.71	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3592-51	2015-07-17	2015-07-20	UBER	14.74	CAD	14.74	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3592-52	2015-07-17	2015-07-20	UBER	26.60	CAD	26.60	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3592-53	2015-07-17	2015-07-20	UBER	12.17	CAD	12.17	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3592-54	2015-07-17	2015-07-20	UBER	12.47	CAD	12.47	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3593-25	2015-07-20	2015-07-21	UBER	8.82	CAD	8.82	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3593-26	2015-07-20	2015-07-21	UBER	13.56	CAD	13.56	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3593-27	2015-07-20	2015-07-21	UBER	5.80	CAD	5.80	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3593-28	2015-07-20	2015-07-21	UBER	11.56	CAD	11.56	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3596-34	2015-07-21	2015-07-22	UBER	11.79	CAD	11.79	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3596-35	2015-07-21	2015-07-22	UBER	12.16	CAD	12.16	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3596-36	2015-07-21	2015-07-22	UBER	14.31	CAD	14.31	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3596-37	2015-07-21	2015-07-22	UBER	12.10	CAD	12.10	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3598-42	2015-07-22	2015-07-23	UBER	13.26	CAD	13.26	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3598-43	2015-07-22	2015-07-23	UBER	11.17	CAD	11.17	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3598-44	2015-07-22	2015-07-23	UBER	10.03	CAD	10.03	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3598-45	2015-07-22	2015-07-23	UBER	9.22	CAD	9.22	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3598-46	2015-07-22	2015-07-23	UBER	7.47	CAD	7.47	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3598-47	2015-07-22	2015-07-23	UBER	7.33	CAD	7.33	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3600-42	2015-07-23	2015-07-24	UBER	8.22	CAD	8.22	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3600-43	2015-07-23	2015-07-24	UBER	10.69	CAD	10.69	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3600-44	2015-07-23	2015-07-24	UBER	9.27	CAD	9.27	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
MUNICIPAL LICENSING & STANDARDS	3600-45	2015-07-23	2015-07-24	UBER	8.26	CAD	8.26	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	MS1330	BY-LAW ENFORCEMENT CENTRAL	4121	Limousines and Taxicabs	UBER X INVESTIGATION
					544.66	CAD	544.66	CAD							
"PARKS, FORESTRY & RECREATION"	3565-55	2015-06-30	2015-07-02	YOUR DOLLAR STORE WITH	83.54	CAD	83.54	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04880	BOB ABATE CC-SUMMER CAMPS	5999	Miscellaneous and Specialty Retail Store	"MARKERS, GLUE, BUBBLES"
"PARKS, FORESTRY & RECREATION"	3567-30	2015-07-02	2015-07-03	NO FRILLS CHRISTOPHER	91.83	CAD	91.83	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04880	BOB ABATE CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"JELLO, CHEESE, ENGLISH MUFFINS"
"PARKS, FORESTRY & RECREATION"	3572-26	2015-07-06	2015-07-07	NO FRILLS CHRISTOPHER	12.84	CAD	12.84	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01959	BOB ABATE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"TORTILLAS, SALSA, SOU CREAM"
"PARKS, FORESTRY & RECREATION"	3574-57	2015-07-07	2015-07-08	BATHURST BOWLERAMA	276.85	CAD	276.85	CAD	4118	TICKETS AND ADMISSION FEES	P04880	BOB ABATE CC-SUMMER CAMPS	7933	Bowling Alleys	CAMP TRIP
"PARKS, FORESTRY & RECREATION"	3577-47	2015-07-09	2015-07-10	NOFRILLS DICKIES 752	37.18	CAD	37.18	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04880	BOB ABATE CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"FOOD CLRNG, COOKIE SHEETS, VEGGIE OIL"
"PARKS, FORESTRY & RECREATION"	3578-67	2015-07-09	2015-07-13	CDN TIRE STORE #00182	84.59	CAD	84.59	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04880	BOB ABATE CC-SUMMER CAMPS	5200	Home Supply Warehouse	BLOW UP POOL FOR PRESCHOOLERS
"PARKS, FORESTRY & RECREATION"	3578-68	2015-07-09	2015-07-13	CDN TIRE STORE #00182	33.87	CAD	33.87	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04880	BOB ABATE CC-SUMMER CAMPS	5200	Home Supply Warehouse	BLOW UP POOL FOR PRESCHOOLERS
"PARKS, FORESTRY & RECREATION"	3578-69	2015-07-10	2015-07-13	YOUR DOLLAR STORE WITH	50.42	CAD	50.42	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04880	BOB ABATE CC-SUMMER CAMPS	5999	Miscellaneous and Specialty Retail Store	"CORNSTARCH, BAKING SODA, LYSOL WIPES"
"PARKS, FORESTRY & RECREATION"	3583-65	2015-07-14	2015-07-15	SQ *TENTEN SPORTS ACAD	429.40	CAD	429.40	CAD	4102	ENTERTAINER AND BAND FEES	P04880	BOB ABATE CC-SUMMER CAMPS	8099	"Health Practitioners, Medical Services -"	SPECIAL GUEST SPORTS FOR CAMPS
"PARKS, FORESTRY & RECREATION"	3588-31	2015-07-15	2015-07-16	ONTARIO SCIENCE CENTRE	435.20	CAD	435.20	CAD	4118	TICKETS AND ADMISSION FEES	P04880	BOB ABATE CC-SUMMER CAMPS	7991	Tourist Attractions and Exhibits	CAMP TRIP
"PARKS, FORESTRY & RECREATION"	3590-33	2015-07-15	2015-07-17	WAL-MART #3159	69.01	CAD	69.01	CAD	2610	KITCHEN SUPPLIES	P04880	BOB ABATE CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"MUFFIN PANS, BATTERIES, BLUEBERRIES"
"PARKS, FORESTRY & RECREATION"	3593-29	2015-07-20	2015-07-21	NOFRILLS DICKIES 752	61.05	CAD	61.05	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01959	BOB ABATE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"DIET COKE, CHEESE, MARSHMALLOWS"
"PARKS, FORESTRY & RECREATION"	3593-30	2015-07-20	2015-07-21	J  J CRAFTS	138.11	CAD	138.11	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04880	BOB ABATE CC-SUMMER CAMPS	5970	"Artist Supply Stores, Craft Shops"	"BINGO DABBER, ACRYLIC PAINT"
"PARKS, FORESTRY & RECREATION"	3596-38	2015-07-20	2015-07-22	YOUR DOLLAR STORE WITH	26.32	CAD	26.32	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04880	BOB ABATE CC-SUMMER CAMPS	5999	Miscellaneous and Specialty Retail Store	"BAKING SODA, ALUM FOIL, BOA S"
"PARKS, FORESTRY & RECREATION"	3598-48	2015-07-21	2015-07-23	WAL-MART #3159	2.39	CAD	2.39	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01959	BOB ABATE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	GREEN PEPPER
"PARKS, FORESTRY & RECREATION"	3598-49	2015-07-22	2015-07-23	NOFRILLS DICKIES 752	8.63	CAD	8.63	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01959	BOB ABATE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"YOGURT, BLUEBERRIES"
"PARKS, FORESTRY & RECREATION"	3600-46	2015-07-22	2015-07-24	YOUR DOLLAR STORE WITH	55.37	CAD	55.37	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04880	BOB ABATE CC-SUMMER CAMPS	5999	Miscellaneous and Specialty Retail Store	"MASKS WITH PAINT SET, PLASTIC FORKS"
"PARKS, FORESTRY & RECREATION"	3607-43	2015-07-29	2015-07-30	SQ *CREATURE QUEST INC	282.50	CAD	282.50	CAD	4102	ENTERTAINER AND BAND FEES	P04880	BOB ABATE CC-SUMMER CAMPS	8299	Educational Services	SPECIAL GUEST
					"2,179.10"	CAD	"2,179.10"	CAD							
"PARKS, FORESTRY & RECREATION"	3577-48	2015-07-08	2015-07-10	CDN TIRE STORE #00192	45.19	CAD	45.19	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13542	YOUTH LOUNGE- PARKWAY FOREST	5200	Home Supply Warehouse	PORTABLE KEY STORAGE
"PARKS, FORESTRY & RECREATION"	3581-27	2015-07-13	2015-07-14	FOODLAND 6395     QPS	86.71	CAD	86.71	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13542	YOUTH LOUNGE- PARKWAY FOREST	5411	"Grocery Stores, Supermarkets"	"GROCERIES-SNACKS, JUICE, CHIPS,COOKIES,YOGHURT"
"PARKS, FORESTRY & RECREATION"	3592-55	2015-07-17	2015-07-20	F.G. BRADLEY'S #506	69.70	CAD	69.70	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13542	YOUTH LOUNGE- PARKWAY FOREST	5945	"Game, Toy, and Hobby Shops"	POOL STICKS
"PARKS, FORESTRY & RECREATION"	3603-22	2015-07-27	2015-07-28	LOBLAWS #1010	57.07	CAD	57.07	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13542	YOUTH LOUNGE- PARKWAY FOREST	5411	"Grocery Stores, Supermarkets"	"GROCERIES-CHICKEN,ONION,LEMON,GARLIC,OIL,TOMATOES"
"PARKS, FORESTRY & RECREATION"	3603-23	2015-07-27	2015-07-28	LOBLAWS #1010	23.08	CAD	23.08	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13542	YOUTH LOUNGE- PARKWAY FOREST	5411	"Grocery Stores, Supermarkets"	FRUIT PLATTERS
"PARKS, FORESTRY & RECREATION"	3607-44	2015-07-28	2015-07-30	WAL-MART #1139	41.55	CAD	41.55	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13542	YOUTH LOUNGE- PARKWAY FOREST	5411	"Grocery Stores, Supermarkets"	"GROCERIES-FRUITS,JUICES,CHEESE,HAMBURGERS"
"PARKS, FORESTRY & RECREATION"	3607-45	2015-07-29	2015-07-30	LOBLAWS #1019	56.55	CAD	56.55	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13542	YOUTH LOUNGE- PARKWAY FOREST	5411	"Grocery Stores, Supermarkets"	"GROCERIES- PIZZA, BBQ CHICKEN, FRUITS"
					379.85	CAD	379.85	CAD							
"PARKS, FORESTRY & RECREATION"	3565-56	2015-06-30	2015-07-02	RIPLEYS AQUARIUM	319.47	CAD	319.47	CAD	4118	TICKETS AND ADMISSION FEES	P04881	BROWN-SUMMER CAMPS	7998	"Aquariums, Dolphinariums, Seaquariums"	"CAMP TRIP - RIPLEY'S AQUARIUM, 23 TICKETS"
"PARKS, FORESTRY & RECREATION"	3569-42	2015-07-03	2015-07-06	WAL-MART #1004	195.66	CAD	195.66	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04881	BROWN-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	CRAFT SUPPLIES-SPECIAL EVENT
"PARKS, FORESTRY & RECREATION"	3572-27	2015-07-03	2015-07-07	CDN TIRE STORE #00182	112.98	CAD	112.98	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04881	BROWN-SUMMER CAMPS	5200	Home Supply Warehouse	CRAFT SUPPLIES-SPECIAL EVENT
"PARKS, FORESTRY & RECREATION"	3574-58	2015-07-06	2015-07-08	HILLCREST HARDWARE   C	13.54	CAD	13.54	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04881	BROWN-SUMMER CAMPS	5251	Hardware Stores	CRAFT SUPPLIES
"PARKS, FORESTRY & RECREATION"	3574-59	2015-07-06	2015-07-08	SHOPPERS DRUG MART0836	27.07	CAD	27.07	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04881	BROWN-SUMMER CAMPS	5912	"Drug Stores, Pharmacies"	CRAFT SUPPLIES
"PARKS, FORESTRY & RECREATION"	3578-70	2015-07-10	2015-07-13	WAL-MART #1004	81.82	CAD	81.82	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04881	BROWN-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	CRAFT SUPPLIES
"PARKS, FORESTRY & RECREATION"	3590-34	2015-07-17	2015-07-17	THE SECOND CITY  ONLIN	136.73	CAD	136.73	CAD	4118	TICKETS AND ADMISSION FEES	P04881	BROWN-SUMMER CAMPS	7922	Theatrical Producers (except Motion Pict	CAMP TRIP
"PARKS, FORESTRY & RECREATION"	3593-31	2015-07-20	2015-07-21	MICHAELS #3990	79.53	CAD	79.53	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04881	BROWN-SUMMER CAMPS	5945	"Game, Toy, and Hobby Shops"	CRAFT SUPPLIES
"PARKS, FORESTRY & RECREATION"	3593-32	2015-07-20	2015-07-21	RIPLEYS AQUARIUM	330.99	CAD	330.99	CAD	4118	TICKETS AND ADMISSION FEES	P04881	BROWN-SUMMER CAMPS	7998	"Aquariums, Dolphinariums, Seaquariums"	DANCE & DRAMA CAMP - ADMISSION FEE
"PARKS, FORESTRY & RECREATION"	3596-39	2015-07-20	2015-07-22	WAL-MART #1004	13.56	CAD	13.56	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04881	BROWN-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	CRAFT SUPPLIES
"PARKS, FORESTRY & RECREATION"	3605-38	2015-07-28	2015-07-29	LOBLAWS #092 REDWAY RD	22.74	CAD	22.74	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04881	BROWN-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	CRAFT SUPPLIES
"PARKS, FORESTRY & RECREATION"	3605-39	2015-07-28	2015-07-29	THE BULK BARN 636	42.60	CAD	42.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04881	BROWN-SUMMER CAMPS	5441	"Candy, Nut, Confectionery Stores"	CRAFT SUPPLIES
"PARKS, FORESTRY & RECREATION"	3607-46	2015-07-29	2015-07-30	BATHURST BOWLERAMA	186.45	CAD	186.45	CAD	4118	TICKETS AND ADMISSION FEES	P04881	BROWN-SUMMER CAMPS	7933	Bowling Alleys	ADVENTURE CAMP TRIP
"PARKS, FORESTRY & RECREATION"	3609-45	2015-07-29	2015-07-31	TM- BLUE JAYS BASEBALL	272.00	CAD	272.00	CAD	4118	TICKETS AND ADMISSION FEES	P04881	BROWN-SUMMER CAMPS	7922	Theatrical Producers (except Motion Pict	ADVENTURE CAMP TRIP
					"1,835.14"	CAD	"1,835.14"	CAD							
FACILITIES MANAGEMENT DIVISON	3577-49	2015-07-09	2015-07-10	THE MASTER GROUP CRANF	178.39	CAD	178.39	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61303397	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	STATS
FACILITIES MANAGEMENT DIVISON	3596-40	2015-07-21	2015-07-22	LENNOX CANADA INC	495.22	CAD	495.22	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61304277	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5965	Direct Marketing - Combination Catalog a	**MORE**  89F3801PR KIT-MTR1/4 W/ CAPACITOR
					673.61	CAD	673.61	CAD							
"PARKS, FORESTRY & RECREATION"	3567-31	2015-07-02	2015-07-03	NOFRILLS CHRIS 273	26.44	CAD	26.44	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05103	JG ALTHOUSE CS-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	COOKING CAMP SUPPLIES
"PARKS, FORESTRY & RECREATION"	3569-43	2015-07-02	2015-07-06	WAL-MART # 3740	240.26	CAD	240.26	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05103	JG ALTHOUSE CS-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	COOKING CAMP SUPPLIES
"PARKS, FORESTRY & RECREATION"	3577-50	2015-07-09	2015-07-10	NOFRILLS CHRIS 273	80.95	CAD	80.95	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05103	JG ALTHOUSE CS-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	COOKING CAMP SUPPLIES
"PARKS, FORESTRY & RECREATION"	3578-71	2015-07-10	2015-07-13	LOWES #03096*	177.78	CAD	177.78	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05103	JG ALTHOUSE CS-SUMMER CAMPS	5200	Home Supply Warehouse	"**MORE**  8"" ANNUAL ASSORTMENT"
"PARKS, FORESTRY & RECREATION"	3578-72	2015-07-10	2015-07-13	MICHAELS #3983	145.61	CAD	145.61	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05103	JG ALTHOUSE CS-SUMMER CAMPS	5945	"Game, Toy, and Hobby Shops"	CAMP SUPPLIES
"PARKS, FORESTRY & RECREATION"	3581-28	2015-07-13	2015-07-14	METRO #704	20.91	CAD	20.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05103	JG ALTHOUSE CS-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	FOOD FOR CAMP
"PARKS, FORESTRY & RECREATION"	3588-32	2015-07-15	2015-07-16	BROWSERS DEN OF MAGIC	"1,138.46"	CAD	"1,138.46"	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05103	JG ALTHOUSE CS-SUMMER CAMPS	5947	"Card, Gift, Novelty, and Souvenir Shops"	MAGIC CAMP SUPPLIES
"PARKS, FORESTRY & RECREATION"	3588-33	2015-07-15	2015-07-16	MICHAELS #3983	94.72	CAD	94.72	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05103	JG ALTHOUSE CS-SUMMER CAMPS	5945	"Game, Toy, and Hobby Shops"	CAMP SUPPLIES
