Divison	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	4043-11	2016-05-30	2016-05-31	MARCHANT'S SCHOOL SPOR	183.01	CAD	183.01	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13181	INSTRCT SPORTS - TEY WOMENS SPORTS	5941	Sporting Goods Stores	TORONTO WOMENS'S SOFTBALL LEAGUE	
					505.98	CAD	505.98	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4041-25	2016-05-28	2016-05-30	NOFRILLS JOSEPHS 730	22.36	CAD	22.36	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0075	HS-MH-EDUCATION/OUTRCH-COLBORNE L	5411	"Grocery Stores, Supermarkets"	GRANOLA BARS AND JUICE	
					22.36	CAD	22.36	CAD								
TORONTO WATER	4000-35	2016-04-28	2016-05-02	THE HOME DEPOT #7134	86.14	CAD	86.14	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5200	Home Supply Warehouse	**MORE**  BOX OF RAGS	
TORONTO WATER	4039-30	2016-05-25	2016-05-27	THE HOME DEPOT #7134	5.63	CAD	5.63	CAD	2710	GENERAL HARDWARE	TW7070	WTR TREAT & SUPPLY: TRANSMISSION - WEST	5200	Home Supply Warehouse	5PCCARTON	
					91.77	CAD	91.77	CAD								
FACILITIES MANAGEMENT DIVISON	4000-36	2016-04-28	2016-05-02	THE HOME DEPOT #7114	73.62	CAD	73.62	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61333713	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  WEISER KNOB	
FACILITIES MANAGEMENT DIVISON	4000-37	2016-04-29	2016-05-02	BRAFASCO / REXDALE	13.14	CAD	13.14	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61333546	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5085	Industrial Supplies Not Elsewhere Classi	HARDWARE	
FACILITIES MANAGEMENT DIVISON	4008-21	2016-05-04	2016-05-05	EDWARDS BUILDERS HARDW	96.05	CAD	96.05	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61334270	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	DOOR HARDWARE	
FACILITIES MANAGEMENT DIVISON	4012-37	2016-05-05	2016-05-09	THE HOME DEPOT #7114	12.38	CAD	12.38	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61334619	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	4PC DRW SLID	
FACILITIES MANAGEMENT DIVISON	4018-18	2016-05-09	2016-05-11	THE HOME DEPOT #7114	39.44	CAD	39.44	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61334276	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	AL/NEO DOOR	
FACILITIES MANAGEMENT DIVISON	4020-23	2016-05-10	2016-05-12	THE HOME DEPOT #7114	63.85	CAD	63.85	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61335011	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  MINI GUARD	
FACILITIES MANAGEMENT DIVISON	4021-22	2016-05-11	2016-05-13	THE HOME DEPOT #7114	38.93	CAD	38.93	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61335170	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  DW TELESC SD	
FACILITIES MANAGEMENT DIVISON	4029-21	2016-05-18	2016-05-19	EDWARDS BUILDERS HARDW	79.10	CAD	79.10	CAD	3099	GENERAL EQUIPMENT	FA0361	ADMIN-FACILITIES OPERATIONS-WEST	5251	Hardware Stores	TRUCK SUPPLY	
FACILITIES MANAGEMENT DIVISON	4041-26	2016-05-26	2016-05-30	THE HOME DEPOT #7114	101.69	CAD	101.69	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61335099	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	GRADE 1 CLOS	
FACILITIES MANAGEMENT DIVISON	4041-27	2016-05-27	2016-05-30	THE HOME DEPOT #7134	210.09	CAD	210.09	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61336669	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  SCREWS	
					728.29	CAD	728.29	CAD								
SOLID WASTE MANAGEMENT	4004-25	2016-05-02	2016-05-04	WAL-MART # 3105	67.73	CAD	67.73	CAD	3080	M & E - HAND TOOLS	SW0008	COLLECTIONS-OPERATIONS SUPPORT	5310	Discount Stores	PORTABLE WORK LIGHTS FOR EDAY TRAILERS	
SOLID WASTE MANAGEMENT	4023-29	2016-05-12	2016-05-16	CDN TIRE STORE #00214	9.92	CAD	9.92	CAD	3080	M & E - HAND TOOLS	SW0008	COLLECTIONS-OPERATIONS SUPPORT	5200	Home Supply Warehouse	AWL- USED BY FIT CREW TO DO SF BIN REPAIRS	
SOLID WASTE MANAGEMENT	4043-12	2016-05-27	2016-05-31	CDN TIRE STORE #00214	33.85	CAD	33.85	CAD	3080	M & E - HAND TOOLS	SW0008	COLLECTIONS-OPERATIONS SUPPORT	5200	Home Supply Warehouse	"3 HEXAGONAL T-HANDLES, LID LOCK ADJUSTING ON NGGBS"	
					111.50	CAD	111.50	CAD								
TORONTO WATER	4023-30	2016-05-13	2016-05-16	APPLIED INDUSTRIAL TEC	95.10	CAD	95.10	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW4070	WW TREATMNT:  HUMBER TP - WORK AREA 1  S	5085	Industrial Supplies Not Elsewhere Classi	BEARING FOR HOT WATER PUMP REPAIR	
					95.10	CAD	95.10	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4027-22	2016-05-17	2016-05-18	EB EVENT SAFETY SUMMI	558.33	CAD	558.33	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	SE0003	DOORS OPEN	7399	Business Services - Not Elsewhere Classi	CONFERENCE REG'N.	
					558.33	CAD	558.33	CAD								
"PARKS, FORESTRY & RECREATION"	4021-23	2016-05-12	2016-05-13	BALL HORTICULTURAL	588.68	CAD	588.68	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00117	HIGH PARK-PLANT PRODUCTION	5193	"Florists Supplies, Nursery Stock, and Fl"	PLANTS FOR ANNUAL PRODUCTION - COLEUS WASABI	
"PARKS, FORESTRY & RECREATION"	4021-24	2016-05-12	2016-05-13	BALL HORTICULTURAL	331.26	CAD	331.26	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00117	HIGH PARK-PLANT PRODUCTION	5193	"Florists Supplies, Nursery Stock, and Fl"	PLANTS FOR ANNUAL PRODUCTION - COLEUS WASABI	
"PARKS, FORESTRY & RECREATION"	4023-31	2016-05-13	2016-05-16	JVK	114.28	CAD	114.28	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00117	HIGH PARK-PLANT PRODUCTION	5261	Lawn and Garden Supply Stores	SEED - CABBAGE & KALE	
"PARKS, FORESTRY & RECREATION"	4027-23	2016-05-18	2016-05-18	VESEYS	67.69	CAD	67.69	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00117	HIGH PARK-PLANT PRODUCTION	5261	Lawn and Garden Supply Stores	SEED - KALE	
					"1,101.91"	CAD	"1,101.91"	CAD								
"PARKS, FORESTRY & RECREATION"	4000-38	2016-04-29	2016-05-02	DELTA ENGRAVERS 1988 I	"2,152.65"	CAD	"2,152.65"	CAD	2792	"BANNERS, FLAGS & SIGNS"	P00830	TECH SERV. 1-FLEET EQUIP	7311	Advertising Services	STAINLESS STEEL PLAQUE	
"PARKS, FORESTRY & RECREATION"	4033-35	2016-05-20	2016-05-24	THE HOME DEPOT #7080	101.86	CAD	101.86	CAD	3080	M & E - HAND TOOLS	P00830	TECH SERV. 1-FLEET EQUIP	5200	Home Supply Warehouse	**MORE**  MARKER	
"PARKS, FORESTRY & RECREATION"	4035-14	2016-05-24	2016-05-25	SCHOOL HOUSE PRODUCTS	802.30	CAD	802.30	CAD	3310	FURNISHINGS	P00830	TECH SERV. 1-FLEET EQUIP	5021	Office and Commercial Furniture	OFFICE FURNITURE	
					"3,056.81"	CAD	"3,056.81"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4008-22	2016-05-04	2016-05-05	JL BRADSHAW	295.92	CAD	295.92	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0117	HS-MH-RETAIL-FORT YORK	5046	Commercial Equipment Not Elsewhere Class	MERCHANDISE FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	4008-23	2016-05-04	2016-05-05	CREATIVE BAG TORONTO	189.98	CAD	189.98	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0117	HS-MH-RETAIL-FORT YORK	5999	Miscellaneous and Specialty Retail Store	"PAPER BAGS, TISSUE PAPER AND JUTE ROPE"	
ECONOMIC DEVELOPMENT & CULTURE	4012-38	2016-05-07	2016-05-09	FROZEN DESSERT SUPPLIE	323.12	CAD	243.92	USD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0117	HS-MH-RETAIL-FORT YORK	5999	Miscellaneous and Specialty Retail Store	"ICE CREAM CUPS, LIDS AND SPOONS"	
ECONOMIC DEVELOPMENT & CULTURE	4018-19	2016-05-10	2016-05-11	NELLA CUTLERY	"2,038.52"	CAD	"2,038.52"	CAD	3050	M & E - KITCHEN	AH0117	HS-MH-RETAIL-FORT YORK	5719	Miscellaneous House Furnishing Specialty	GLASS LID FREEZER	
ECONOMIC DEVELOPMENT & CULTURE	4033-36	2016-05-20	2016-05-24	CREATIVE BAG TORONTO	158.20	CAD	158.20	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0117	HS-MH-RETAIL-FORT YORK	5999	Miscellaneous and Specialty Retail Store	JEWELRY BOXES AND PLASTIC BAGS	
					"3,005.74"	CAD	"2,682.62"	CAD								
							243.92	USD								
"PARKS, FORESTRY & RECREATION"	4023-32	2016-05-12	2016-05-16	COMLUBE TECHNOLOGY INC	578.56	CAD	578.56	CAD	2401	LUBRICANTS	P00830	TECH SERV. 1-FLEET EQUIP	5085	Industrial Supplies Not Elsewhere Classi	MULTI PURPOSE GREASE EP	
"PARKS, FORESTRY & RECREATION"	4035-15	2016-05-24	2016-05-25	ALPINE LAWN   GARDEN E	64.28	CAD	64.28	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5261	Lawn and Garden Supply Stores	"ELEMENT , AIR\C, GASKET"	
"PARKS, FORESTRY & RECREATION"	4035-16	2016-05-24	2016-05-25	ALPINE LAWN   GARDEN E	370.41	CAD	370.41	CAD	2120	PARTS - MACHINERY & EQUIPMENT	*****	"MULTIPLE COST CENTRES, WBS ELEMENTS OR WORK ORDERS"	5261	Lawn and Garden Supply Stores	CARBURETOR	
					"1,013.25"	CAD	"1,013.25"	CAD								
TRANSPORTATION SERVICES 	4037-25	2016-05-24	2016-05-26	CDN TIRE STORE #00264	"1,225.35"	CAD	"1,225.35"	CAD	3080	M & E - HAND TOOLS	TP0212	ROADWAY SURFACE REPAIR-D4	5200	Home Supply Warehouse	TEMPERATURE GUNS	
TRANSPORTATION SERVICES 	4043-13	2016-05-30	2016-05-31	BEST BUY CANADA #943	214.67	CAD	214.67	CAD	3080	M & E - HAND TOOLS	TP0212	ROADWAY SURFACE REPAIR-D4	5732	Electronic Sales	QUICK CHARGER	
					"1,440.02"	CAD	"1,440.02"	CAD								
FIRE SERVICES	4029-22	2016-05-18	2016-05-19	GOVERNMENT FINANCE	375.20	CAD	280.00	USD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	FR0027	PROFDEV/TRAINING-OPERATIONS TRAINING	8699	"Organizations, Membership - Not Elsewher"	REGISTRATION FOR CONFERENCE	
FIRE SERVICES	4029-23	2016-05-18	2016-05-19	GOVERNMENT FINANCE	375.20	CAD	280.00	USD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	FR0027	PROFDEV/TRAINING-OPERATIONS TRAINING	8699	"Organizations, Membership - Not Elsewher"	REGISTRATION FOR CONFERENCE	
FIRE SERVICES	4029-24	2016-05-18	2016-05-19	GOVERNMENT FINANCE	375.20	CAD	280.00	USD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	FR0027	PROFDEV/TRAINING-OPERATIONS TRAINING	8699	"Organizations, Membership - Not Elsewher"	REGISTRATION FOR CONFERENCE	
					"1,125.60"	CAD	840.00	USD								
PUBLIC HEALTH	4018-20	2016-05-09	2016-05-11	TULSA DENTAL PRODUCTS	"1,013.18"	CAD	"1,013.18"	CAD	2825	DENTAL SUPPLIES	PH3740	HEATHLY SMILES PRG	5047	Laboratory/Medical/Dental/Ophthalmic Hos	DENTAL	
PUBLIC HEALTH	4018-21	2016-05-09	2016-05-11	TULSA DENTAL PRODUCTS	591.87	CAD	591.87	CAD	2825	DENTAL SUPPLIES	PH3740	HEATHLY SMILES PRG	5047	Laboratory/Medical/Dental/Ophthalmic Hos	DENTAL	
PUBLIC HEALTH	4018-22	2016-05-09	2016-05-11	TULSA DENTAL PRODUCTS	506.65	CAD	506.65	CAD	2825	DENTAL SUPPLIES	PH3740	HEATHLY SMILES PRG	5047	Laboratory/Medical/Dental/Ophthalmic Hos	DENTAL	
PUBLIC HEALTH	4018-23	2016-05-09	2016-05-11	TULSA DENTAL PRODUCTS	187.52	CAD	187.52	CAD	2825	DENTAL SUPPLIES	PH3740	HEATHLY SMILES PRG	5047	Laboratory/Medical/Dental/Ophthalmic Hos	DENTAL	
PUBLIC HEALTH	4018-24	2016-05-09	2016-05-11	TULSA DENTAL PRODUCTS	142.83	CAD	142.83	CAD	2825	DENTAL SUPPLIES	PH3740	HEATHLY SMILES PRG	5047	Laboratory/Medical/Dental/Ophthalmic Hos	DENTAL	
PUBLIC HEALTH	4033-37	2016-05-20	2016-05-24	PRACTICON INC	157.45	CAD	117.43	USD	2825	DENTAL SUPPLIES	PH3740	HEATHLY SMILES PRG	5964	Direct Marketing - Catalog Merchants	DENTAL	
					"2,599.50"	CAD	"2,442.05"	CAD								
							117.43	USD								
"PARKS, FORESTRY & RECREATION"	4000-39	2016-04-29	2016-05-02	COSTCO WHOLESALE W535	136.42	CAD	136.42	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04669	ORIOLE CC-SUMMER CAMPS	5300	Wholesale Clubs	PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4000-40	2016-04-29	2016-05-02	MICHAELS #3983	7.45	CAD	7.45	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04669	ORIOLE CC-SUMMER CAMPS	5945	"Game, Toy, and Hobby Shops"	PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4012-39	2016-05-05	2016-05-09	FOOD BASICS #606	33.75	CAD	33.75	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04669	ORIOLE CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"BERRY MIX , MILK"	
"PARKS, FORESTRY & RECREATION"	4030-19	2016-05-19	2016-05-20	NOFRILLS VINCE'S #3930	171.37	CAD	171.37	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04669	ORIOLE CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"CHEESE SLICES, ORANGE JUICE, WEINERS"	
"PARKS, FORESTRY & RECREATION"	4043-14	2016-05-30	2016-05-31	NOFRILLS VINCE'S #3930	87.71	CAD	87.71	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04669	ORIOLE CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"LARGE EGGS, CUCUMBER, BREAD"	
					436.70	CAD	436.70	CAD								
PUBLIC HEALTH	4016-14	2016-05-09	2016-05-10	LA BELLE CLEANERS	45.20	CAD	45.20	CAD	4424	CONTRACTED SERVICES - GENERAL	PH3564	CDIP PROGRAM SUPPORT	7216	Dry Cleaners	CONTRACTED SERVICES - GENERAL	
PUBLIC HEALTH	4020-24	2016-05-11	2016-05-12	4IMPRINT	"1,391.36"	CAD	"1,391.36"	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	PH3719	INTEGRATED CDIP PREVENTION	5969	Direct Marketing - Other Direct Marketer	**MORE**  MINI PRIZE WHEEL	
PUBLIC HEALTH	4027-24	2016-05-16	2016-05-18	WWW.CANADIANTIRE.CA	45.15	CAD	45.15	CAD	2610	KITCHEN SUPPLIES	PH3615	WORKPLACE HEALTH	5200	Home Supply Warehouse	KITCHEN SUPPLIES	
PUBLIC HEALTH	4041-28	2016-05-28	2016-05-30	EB CANADAS HEALTHY WO	10.00	CAD	10.00	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	PH3615	WORKPLACE HEALTH	7399	Business Services - Not Elsewhere Classi	TRAINING & DEVELOPMENT - EXTERNAL	
					"1,491.71"	CAD	"1,491.71"	CAD								
FACILITIES MANAGEMENT DIVISON	4018-25	2016-05-10	2016-05-11	PAUL WOLF ELECTRIC   L	231.05	CAD	231.05	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61334975	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	LIGHTS	
FACILITIES MANAGEMENT DIVISON	4021-25	2016-05-12	2016-05-13	PAUL WOLF ELECTRIC   L	74.42	CAD	74.42	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61334975	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	LIGHTING PARTS	
FACILITIES MANAGEMENT DIVISON	4021-26	2016-05-12	2016-05-13	PAUL WOLF ELECTRIC   L	38.47	CAD	38.47	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61335397	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	LIGHTING	
FACILITIES MANAGEMENT DIVISON	4023-34	2016-05-13	2016-05-16	THE HOME DEPOT #7080	19.18	CAD	19.18	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61332103	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	TRMCLD 946ML	
FACILITIES MANAGEMENT DIVISON	4025-7	2016-05-16	2016-05-17	PAUL WOLF ELECTRIC   L	212.89	CAD	212.89	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61333705	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	LIGHTS	
FACILITIES MANAGEMENT DIVISON	4025-8	2016-05-16	2016-05-17	PAUL WOLF ELECTRIC   L	52.21	CAD	52.21	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61333705	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	FUSES	
FACILITIES MANAGEMENT DIVISON	4025-9	2016-05-16	2016-05-17	PAUL WOLF ELECTRIC   L	72.63	CAD	72.63	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61333705	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	FUSE HOLDERS	
FACILITIES MANAGEMENT DIVISON	4037-26	2016-05-25	2016-05-26	PAUL WOLF ELECTRIC   L	148.88	CAD	148.88	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61336610	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	ELECTRICAL SUPPLIES	
					849.73	CAD	849.73	CAD								
FACILITIES MANAGEMENT DIVISON	4030-20	2016-05-19	2016-05-20	SESCO/OSSO #728	68.58	CAD	68.58	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61335662	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	PARTS	
FACILITIES MANAGEMENT DIVISON	4033-38	2016-05-20	2016-05-24	NOBLE 1041	38.47	CAD	38.47	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61335197	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	PARTS	
FACILITIES MANAGEMENT DIVISON	4039-31	2016-05-26	2016-05-27	WESTBURNE ONTARIO	113.83	CAD	113.83	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61336047	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	PARTS	
					220.88	CAD	220.88	CAD								
FACILITIES MANAGEMENT DIVISON	4012-40	2016-05-06	2016-05-09	CARSON ELECTRIC LTD	493.34	CAD	493.34	CAD	4424	CONTRACTED SERVICES - GENERAL	61333760	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	BOILER PUMP REBUILD	
FACILITIES MANAGEMENT DIVISON	4029-25	2016-05-18	2016-05-19	CARSON ELECTRIC LTD	189.84	CAD	189.84	CAD	4424	CONTRACTED SERVICES - GENERAL	61333813	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	BOILER PUMP SERVICE	
					683.18	CAD	683.18	CAD								
"PARKS, FORESTRY & RECREATION"	4010-27	2016-05-05	2016-05-06	AMAZON *MARKETPLCE CA	45.16	CAD	45.16	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02809	GUS RYDER POOL-INSTRL-INDR	4816	Computer Network/Information Services	ELECTRONIC COUNTDOWN TIMER	
					45.16	CAD	45.16	CAD								
INFORMATION & TECHNOLOGY 	4004-26	2016-05-04	2016-05-04	AMAZON WEB SERVICES	488.84	CAD	372.25	USD	4813	INTERNET	IT2010	WEB COMPETENCY CENTRE	7399	Business Services - Not Elsewhere Classi	AWS SERVICE CHARGES FOR APRIL 2016	
INFORMATION & TECHNOLOGY 	4029-26	2016-05-17	2016-05-19	PAYPAL *WEBORITHM	51.73	CAD	51.73	CAD	3420	COMPUTERS - SOFTWARE	IT2010	WEB COMPETENCY CENTRE	7372	"Computer Programming, Integrated Systems"	WORDPRESS PLUGIN FOR UNITED WAY AUCTION WEBSITE	
INFORMATION & TECHNOLOGY 	4033-39	2016-05-19	2016-05-24	STRATEGY INSTITUTE INC	"2,017.05"	CAD	"2,017.05"	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	IT2106	DIRECTOR'S OFFICE	8999	Professional Services - Not Elsewhere Cl	REGISTRATION FOR ENTERPRISE MOBILITY CANADA SUMMIT	
INFORMATION & TECHNOLOGY 	4033-40	2016-05-20	2016-05-24	PIZZA NOVA 017	272.55	CAD	272.55	CAD	4820	BUSINESS MEETING EXPENSES	IT2106	DIRECTOR'S OFFICE	5814	Quick Payment Service - Fast-Food Restau	LUNCH MEETING FOR CATS TASS PROJECT	
INFORMATION & TECHNOLOGY 	4037-27	2016-05-25	2016-05-26	HOOTSUITE MEDIA INC.	142.10	CAD	107.34	USD	4995	OTHER EXPENSES	IT2167	BUSINESS INTELLIGENCE SERVICES	5968	Direct Marketing - Continuity/Subscripti	SERVICE TO MONITOR CITY'S SOCIAL MEDIA SITES	
					"2,972.27"	CAD	"2,341.33"	CAD								
							479.59	USD								
FACILITIES MANAGEMENT DIVISON	4030-21	2016-05-18	2016-05-20	THE HOME DEPOT #7012	18.06	CAD	18.06	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61326096	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	Spray bottle	
FACILITIES MANAGEMENT DIVISON	4030-22	2016-05-18	2016-05-20	THE HOME DEPOT #7012	15.64	CAD	15.64	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61328329	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	5/4X6X10PTBR Pine Wood	
FACILITIES MANAGEMENT DIVISON	4033-41	2016-05-20	2016-05-24	DAYVAN	78.08	CAD	78.08	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61333334	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	CABINET HARDWARE	
FACILITIES MANAGEMENT DIVISON	4037-28	2016-05-24	2016-05-26	THE HOME DEPOT #7080	35.00	CAD	35.00	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61331405	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	6-1/2 Saw BLADE	
FACILITIES MANAGEMENT DIVISON	4037-29	2016-05-25	2016-05-26	DOWNTOWN LUMBER   BUIL	110.67	CAD	110.67	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61332816	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	PINE FLOOR	
					257.45	CAD	257.45	CAD								
"PARKS, FORESTRY & RECREATION"	4012-41	2016-05-06	2016-05-09	NOFRILLS ROCCA'S #3931	38.95	CAD	38.95	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01976	SH ARMSTRONG-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4012-42	2016-05-06	2016-05-09	DOLLAR TREE #40159	56.39	CAD	56.39	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10457	SH ARMSTRONG-PRGM SUPPORT	5331	Variety Stores	PROGRAM SUPPLIES	
					95.34	CAD	95.34	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4000-41	2016-04-29	2016-05-02	T R L	56.50	CAD	56.50	CAD	3330	ARTIFACTS & ART OBJECTS	AH0061	HS-MH-COMMUNICATION/MKT-GIBSON HOU	9399	Government Services - Not Elsewhere Clas	DIGITAL IMAGES	
ECONOMIC DEVELOPMENT & CULTURE	4021-27	2016-05-11	2016-05-13	T R L	28.25	CAD	28.25	CAD	3330	ARTIFACTS & ART OBJECTS	AH0061	HS-MH-COMMUNICATION/MKT-GIBSON HOU	9399	Government Services - Not Elsewhere Clas	DIGITAL IMAGES	
ECONOMIC DEVELOPMENT & CULTURE	4023-35	2016-05-13	2016-05-16	U OF C TAYLOR FAMILY D	20.00	CAD	20.00	CAD	3330	ARTIFACTS & ART OBJECTS	AH0061	HS-MH-COMMUNICATION/MKT-GIBSON HOU	8220	"Colleges, Universities, Professional Sch"	DIGITAL IMAGES	
ECONOMIC DEVELOPMENT & CULTURE	4023-36	2016-05-14	2016-05-16	PAYPAL *MUZIKPARK MUZI	122.09	CAD	122.09	CAD	3330	ARTIFACTS & ART OBJECTS	AH0061	HS-MH-COMMUNICATION/MKT-GIBSON HOU	5735	Record Shops	ARTIFACTS	
ECONOMIC DEVELOPMENT & CULTURE	4025-10	2016-05-16	2016-05-17	ANTIQUARIUS	6.45	CAD	6.45	CAD	3330	ARTIFACTS & ART OBJECTS	AH0061	HS-MH-COMMUNICATION/MKT-GIBSON HOU	5932	"Antique Shops - Sales, Repairs, and Rest"	ARTIFACTS	
