Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	GL Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
EMPLOYMENT & SOCIAL SERVICES	3160-35	2014-09-11	2014-09-12	LOBLAW SUPERMARKET #10	33.10	CAD	33.10	CAD	4995	OTHER EXPENSES	C01218	CHESSWOOD ADMIN	5411	"Grocery Stores, Supermarkets"	TORONTO PUBLIC SERVICES EVENT - STAFF APPRECIATION	
EMPLOYMENT & SOCIAL SERVICES	3162-47	2014-09-12	2014-09-15	WAL-MART #1139	30.78	CAD	30.78	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	C01218	CHESSWOOD ADMIN	5411	"Grocery Stores, Supermarkets"	COFFEE MUGS FOR MANAGEMENT MEETINGS	
EMPLOYMENT & SOCIAL SERVICES	3169-43	2014-09-18	2014-09-19	LOBLAW SUPERMARKET #10	143.18	CAD	143.18	CAD	4995	OTHER EXPENSES	C01218	CHESSWOOD ADMIN	5411	"Grocery Stores, Supermarkets"	TORONTO PUBLIC SERVICE LUNCHEON FOR STAFF	
EMPLOYMENT & SOCIAL SERVICES	3171-54	2014-09-19	2014-09-22	LOBLAW SUPERMARKET #10	57.90	CAD	57.90	CAD	4995	OTHER EXPENSES	C01218	CHESSWOOD ADMIN	5411	"Grocery Stores, Supermarkets"	DESSERT FOR TORONTO PUBLIC SERVICE STAFF LUNCH	
EMPLOYMENT & SOCIAL SERVICES	3171-55	2014-09-19	2014-09-22	DOWNSVIEW OUTLET AND V	12.20	CAD	12.20	CAD	4805	POSTAGE	C01218	CHESSWOOD ADMIN	5331	Variety Stores	REGISTERED MAIL #RN 010 574 692 CA	
EMPLOYMENT & SOCIAL SERVICES	3171-56	2014-09-19	2014-09-22	TIM HORTONS 3623 QPS	30.00	CAD	30.00	CAD	4995	OTHER EXPENSES	C01218	CHESSWOOD ADMIN	5814	Quick Payment Service - Fast-Food Restau	PRIZES FOR TORONTO PUBLIC SERVICE STAFF LUNCH	
					405.11	CAD	405.11	CAD								
"PARKS, FORESTRY & RECREATION"	3148-34	2014-09-03	2014-09-04	GLOBALINDUSTRIALCANDA	482.27	CAD	482.27	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P10317	LAWRENCE HGTS-PRGM SUPPORT	5085	Industrial Supplies Not Elsewhere Classi	BABY CHANGE TABLES	
					482.27	CAD	482.27	CAD								
EMPLOYMENT & SOCIAL SERVICES	3160-36	2014-09-11	2014-09-12	MARKETPLACE - SIMCOE	180.80	CAD	180.80	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01219	METRO HALL-ADMIN	5411	"Grocery Stores, Supermarkets"	FOOD PURCHASED FOR MHESS GENERAL STAFF MEETING	
EMPLOYMENT & SOCIAL SERVICES	3164-40	2014-09-15	2014-09-16	LOBLAWS #1079	47.87	CAD	47.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01219	METRO HALL-ADMIN	5411	"Grocery Stores, Supermarkets"	FOOD PURCHASED FOR TPS WEEK	
EMPLOYMENT & SOCIAL SERVICES	3166-43	2014-09-16	2014-09-17	PICKLE BARREL GRAND AT	56.48	CAD	56.48	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01219	METRO HALL-ADMIN	5812	"Eating Places, Restaurants"	FOOD PURCHASED FOR TPS WEEK	
					285.15	CAD	285.15	CAD								
TORONTO WATER	3148-35	2014-09-03	2014-09-04	AUTOMOTIVE TOOLS	19.15	CAD	19.15	CAD	2710	GENERAL HARDWARE	TW4075	WW TREATMNT:  HUMBER TP - WORK AREA 2  L	5533	"Automotive Parts, Accessories Stores"	MAGNETIC NUT DRIVER SET	
TORONTO WATER	3153-45	2014-09-02	2014-09-08	JJ DOWNS INDUSTRIAL	149.43	CAD	149.43	CAD	2535	PLUMBING SUPPLIES	TW4075	WW TREATMNT:  HUMBER TP - WORK AREA 2  L	5085	Industrial Supplies Not Elsewhere Classi	PVC CAP COUPLING	
TORONTO WATER	3153-46	2014-09-04	2014-09-08	CDN TIRE STORE #00070	376.67	CAD	376.67	CAD	3080	M & E - HAND TOOLS	TW4075	WW TREATMNT:  HUMBER TP - WORK AREA 2  L	5200	Home Supply Warehouse	VARIOUS TOOLS	
TORONTO WATER	3157-20	2014-09-08	2014-09-10	SCAFFOLD-RUSS DILWORTH	"1,801.90"	CAD	"1,801.90"	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW4075	WW TREATMNT:  HUMBER TP - WORK AREA 2  L	1520	General Contractors - Residential and Co	SCAFFOLD STD FRAME	
TORONTO WATER	3166-44	2014-09-15	2014-09-17	APPLIED INDUSTRIAL TEC	6.41	CAD	6.41	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW4075	WW TREATMNT:  HUMBER TP - WORK AREA 2  L	5085	Industrial Supplies Not Elsewhere Classi	O RING	
TORONTO WATER	3169-44	2014-09-18	2014-09-19	KOTYCK BROS LIMITED	63.27	CAD	63.27	CAD	2535	PLUMBING SUPPLIES	TW4075	WW TREATMNT:  HUMBER TP - WORK AREA 2  L	1520	General Contractors - Residential and Co	"ELBOW,COUPLING"	
TORONTO WATER	3171-57	2014-09-18	2014-09-22	APPLIED INDUSTRIAL TEC	126.29	CAD	126.29	CAD	2710	GENERAL HARDWARE	TW4075	WW TREATMNT:  HUMBER TP - WORK AREA 2  L	5085	Industrial Supplies Not Elsewhere Classi	VARIOUS HARDWARE	
TORONTO WATER	3179-37	2014-09-24	2014-09-26	MR METAL(ETOBICOKE) IN	48.44	CAD	48.44	CAD	2532	STEEL	TW4075	WW TREATMNT:  HUMBER TP - WORK AREA 2  L	5051	Metal Service Centers and Offices	ALUM PLATE	
TORONTO WATER	3181-48	2014-09-25	2014-09-29	BRAFASCO / ETOBICOKE	50.58	CAD	50.58	CAD	2710	GENERAL HARDWARE	TW4075	WW TREATMNT:  HUMBER TP - WORK AREA 2  L	5085	Industrial Supplies Not Elsewhere Classi	"HEX NUTS, CAPS, LOCK WASHERS"	
					"2,642.14"	CAD	"2,642.14"	CAD								
FACILITIES MANAGEMENT 	3144-51	2014-08-28	2014-09-02	SPEED FASTENING SYSTEM	21.67	CAD	21.67	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61265248	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5712	"Equipment, Furniture, and Home Furnishin"	SUPPLIES	
FACILITIES MANAGEMENT 	3144-52	2014-08-28	2014-09-02	SPEED FASTENING SYSTEM	11.30	CAD	11.30	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61265248	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5712	"Equipment, Furniture, and Home Furnishin"	SUPPLIES	
					32.97	CAD	32.97	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3153-47	2014-09-07	2014-09-08	ROADSHOW ANTIQUES PICK	406.80	CAD	406.80	CAD	2670	UNIFORMS	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	5932	"Antique Shops - Sales, Repairs, and Rest"	WW1 REPRO 1916 CANADIAN WW1 GEAR	
ECONOMIC DEVELOPMENT & CULTURE	3162-48	2014-09-12	2014-09-15	THE PRINTING HOUSE #73	196.62	CAD	196.62	CAD	4082	PHOTO/VIDEO SERVICES	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	5999	Miscellaneous and Specialty Retail Store	WW1 REPRO & MOUNTING WW1 POSTERS	
ECONOMIC DEVELOPMENT & CULTURE	3181-49	2014-09-26	2014-09-29	THE PRINTING HOUSE #55	706.49	CAD	706.49	CAD	4082	PHOTO/VIDEO SERVICES	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	2741	Miscellaneous Publishing and Printing	WW1 RECIPE FOR VICTORY PROGRAMS	
ECONOMIC DEVELOPMENT & CULTURE	3181-50	2014-09-27	2014-09-29	NOFRILLS LEO'S 701	18.03	CAD	18.03	CAD	*****	MISCELLANEOUS MATERIALS & SUPPLIES	*****	"MULTIPLE COST CENTRES, WBS ELEMENTS OR WORK ORDERS"	5411	"Grocery Stores, Supermarkets"	WW1 RECIPE FOR VICTORY DISPLAY FOOD	
ECONOMIC DEVELOPMENT & CULTURE	3181-51	2014-09-27	2014-09-29	FOOD BASICS #661	42.61	CAD	42.61	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	5411	"Grocery Stores, Supermarkets"	WW1 RECIPE FOR VICTORY DISPLAY FOOD	
					"1,370.55"	CAD	"1,370.55"	CAD								
"PARKS, FORESTRY & RECREATION"	3151-49	2014-09-04	2014-09-05	NOFRILLS LEONETTI'S #3	57.48	CAD	57.48	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08146	AMESBURY CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR AFTER SCHOOL PROGRAM	
"PARKS, FORESTRY & RECREATION"	3181-52	2014-09-25	2014-09-29	WAL-MART # 3105	214.93	CAD	214.93	CAD	2610	KITCHEN SUPPLIES	P08146	AMESBURY CC-SOCIAL PRGM	5310	Discount Stores	"CAN OPENER, PALMOLIVE, BAKING CUPS"	
					272.41	CAD	272.41	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3148-36	2014-09-03	2014-09-04	NOFRILLS STEPHEN'S #34	25.76	CAD	25.76	CAD	*****	FOOD & NON-ALCOHOLIC BEVERAGES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	"LYSOL WIPES, BATTERY,GLOVE, MINI CUPCAKES"	
ECONOMIC DEVELOPMENT & CULTURE	3148-37	2014-09-03	2014-09-04	RCSS SCARBOROUGH #2809	11.98	CAD	11.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	APPLE CIDER	
					37.74	CAD	37.74	CAD								
"PARKS, FORESTRY & RECREATION"	3144-53	2014-08-28	2014-09-02	PRICELESS PRODUCTS LAN	406.73	CAD	406.73	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00405	N-CENTRAL1-TURF&HORT	5949	"Fabric, Needlework, Piece Goods, and Sew"	SOLID TIRES	
"PARKS, FORESTRY & RECREATION"	3144-54	2014-08-29	2014-09-02	NCH-PARTSMASTER	321.97	CAD	321.97	CAD	3080	M & E - HAND TOOLS	P00859	ALNESS YD-YARD OPERNS	5085	Industrial Supplies Not Elsewhere Classi	DRIVER SET	
"PARKS, FORESTRY & RECREATION"	3148-38	2014-09-02	2014-09-04	ONEIDA EQUIPMENT LTD	49.93	CAD	49.93	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00405	N-CENTRAL1-TURF&HORT	5712	"Equipment, Furniture, and Home Furnishin"	TRIMMER PARTS	
"PARKS, FORESTRY & RECREATION"	3148-39	2014-09-03	2014-09-04	BARGAIN AUTOMOTIVE  EQ	101.70	CAD	101.70	CAD	4830	PERMIT & LICENSE FEES	P00859	ALNESS YD-YARD OPERNS	5533	"Automotive Parts, Accessories Stores"	HOIST INSPECTION	
"PARKS, FORESTRY & RECREATION"	3247-178	2014-09-04	2014-09-08	J   H AUTO PARTS LTD	74.58	CAD	74.58	CAD	4233	PCARD RECOVERIES	P00859	ALNESS YD-YARD OPERNS	5533	"Automotive Parts, Accessories Stores"	DISPUTED	
"PARKS, FORESTRY & RECREATION"	3247-179	2014-09-08	2014-09-09	J   H AUTO PARTS LTD	-74.58	CAD	-74.58	CAD	4233	PCARD RECOVERIES	P00859	ALNESS YD-YARD OPERNS	5533	"Automotive Parts, Accessories Stores"	DISPUTE RESOLUTION	
					880.33	CAD	880.33	CAD								
EMERGENCY MEDICAL SERVICES	3177-34	2014-09-24	2014-09-25	IMPARK00090076A	16.00	CAD	16.00	CAD	4770	PARKING EXPENSES (INTOWN)	B33100	COMMUNICATION CENTRE OPERATIONS	7523	Automobile Parking Lots and Garages	PARKING FOR COT TRAINING COURSE	
EMERGENCY MEDICAL SERVICES	3181-53	2014-09-26	2014-09-29	IMPARK00090430A	20.00	CAD	20.00	CAD	4770	PARKING EXPENSES (INTOWN)	B33100	COMMUNICATION CENTRE OPERATIONS	7523	Automobile Parking Lots and Garages	PARKING FOR PATHCOM MEETING	
					36.00	CAD	36.00	CAD								
"PARKS, FORESTRY & RECREATION"	3153-48	2014-09-04	2014-09-08	THE HOME DEPOT #7073	119.06	CAD	119.06	CAD	2710	GENERAL HARDWARE	P00545	S-CENTRAL1-TURF&HORT	5200	Home Supply Warehouse	**MORE**  SCREWS	
					119.06	CAD	119.06	CAD								
EMPLOYMENT & SOCIAL SERVICES	3179-38	2014-09-25	2014-09-26	RCSS SCARBOROUGH #2809	19.99	CAD	19.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01274	CONSILIUM PLACE-ADMIN	5411	"Grocery Stores, Supermarkets"	GROCERIES	
					19.99	CAD	19.99	CAD								
FIRE SERVICES	3179-39	2014-09-24	2014-09-26	CETER FOR PUBLIC SAFET	"1,483.82"	CAD	"1,300.00"	USD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	FR0012	ADMIN-HEADQUARTERS	8398	"Organizations, Charitable and Social Ser"	REGISTRATION	
					"1,483.82"	CAD	"1,300.00"	USD								
ECONOMIC DEVELOPMENT & CULTURE	3181-54	2014-09-27	2014-09-29	YMCA GREATER -JOHN ST	76.56	CAD	76.56	CAD	4116	CATERING SERVICES	SE0019	NUIT BLANCHE	8398	"Organizations, Charitable and Social Ser"	CATERING SNB VOLUNTEERS	
ECONOMIC DEVELOPMENT & CULTURE	3181-55	2014-09-27	2014-09-29	YMCA GREATER -JOHN ST	545.51	CAD	545.51	CAD	4116	CATERING SERVICES	SE0019	NUIT BLANCHE	8398	"Organizations, Charitable and Social Ser"	CATERING SNB VOLUNTEERS	
ECONOMIC DEVELOPMENT & CULTURE	3181-56	2014-09-27	2014-09-29	YMCA GREATER -JOHN ST	545.51	CAD	545.51	CAD	4116	CATERING SERVICES	SE0019	NUIT BLANCHE	8398	"Organizations, Charitable and Social Ser"	CATERING SNB VOLUNTEERS	
ECONOMIC DEVELOPMENT & CULTURE	3181-57	2014-09-27	2014-09-29	YMCA GREATER -JOHN ST	546.92	CAD	546.92	CAD	4116	CATERING SERVICES	SE0019	NUIT BLANCHE	8398	"Organizations, Charitable and Social Ser"	CATERING SNB VOLUNTEERS	
ECONOMIC DEVELOPMENT & CULTURE	3181-58	2014-09-27	2014-09-29	YMCA GREATER -JOHN ST	775.18	CAD	775.18	CAD	4116	CATERING SERVICES	SE0019	NUIT BLANCHE	8398	"Organizations, Charitable and Social Ser"	CATERING SNB VOLUNTEERS	
					"2,489.68"	CAD	"2,489.68"	CAD								
EMPLOYMENT & SOCIAL SERVICES	3166-45	2014-09-16	2014-09-17	LOBLAW MLG #1007	121.72	CAD	121.72	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	C01105	QUALITY CONTROL & ASSURANCE UNIT	5411	"Grocery Stores, Supermarkets"		
					121.72	CAD	121.72	CAD								
FACILITIES MANAGEMENT 	3144-55	2014-08-28	2014-09-02	THE HOME DEPOT #7080	17.38	CAD	17.38	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61269996	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  FELT PADS	
FACILITIES MANAGEMENT 	3146-28	2014-09-02	2014-09-03	SQ *ROYAL DESIGNER TOP	108.24	CAD	108.24	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61261422	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	SUPPLIES	
FACILITIES MANAGEMENT 	3151-50	2014-09-04	2014-09-05	STAPLES STORE #26	45.09	CAD	45.09	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61254668	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5943	"Office, School Supply, and Stationery St"	SUPPLIES	
					170.71	CAD	170.71	CAD								
TORONTO WATER	3148-40	2014-09-03	2014-09-04	ACKLANDS-GRAINGER INC	56.07	CAD	56.07	CAD	2710	GENERAL HARDWARE	TW7075	WTR TREAT & SUPPLY: SYSTEM CONTROL	5085	Industrial Supplies Not Elsewhere Classi	SLINGS	
TORONTO WATER	3151-51	2014-09-03	2014-09-05	THE HOME DEPOT #7011	24.85	CAD	24.85	CAD	2570	JANITORIAL SUPPLIES	TW7075	WTR TREAT & SUPPLY: SYSTEM CONTROL	5200	Home Supply Warehouse	LGDUSTBAGS	
					80.92	CAD	80.92	CAD								
"PARKS, FORESTRY & RECREATION"	3148-41	2014-09-02	2014-09-04	CDN TIRE STORE #00654	18.27	CAD	18.27	CAD	2710	GENERAL HARDWARE	P00539	EASTERN BEACHES-TURF&HORT	5200	Home Supply Warehouse	PREMIUM GLUE	
"PARKS, FORESTRY & RECREATION"	3148-42	2014-09-02	2014-09-04	SPEED FASTENING SYSTEM	40.68	CAD	40.68	CAD	3080	M & E - HAND TOOLS	P00539	EASTERN BEACHES-TURF&HORT	5712	"Equipment, Furniture, and Home Furnishin"	SECURED BIT DRIVER KIT	
"PARKS, FORESTRY & RECREATION"	3247-134	2014-09-04	2014-09-08	THE HOME DEPOT #7012	280.07	CAD	280.07	CAD	4233	PCARD RECOVERIES	P00539	EASTERN BEACHES-TURF&HORT	5200	Home Supply Warehouse	DISPUTED	
"PARKS, FORESTRY & RECREATION"	3247-135	2014-09-08	2014-09-09	THE HOME DEPOT #7012	-280.07	CAD	-280.07	CAD	4233	PCARD RECOVERIES	P00539	EASTERN BEACHES-TURF&HORT	5200	Home Supply Warehouse	DISPUTE RESOLUTION	
					58.95	CAD	58.95	CAD								
"PARKS, FORESTRY & RECREATION"	3151-52	2014-09-03	2014-09-05	THE HOME DEPOT #7012	81.30	CAD	81.30	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03445	FAIRMOUNT-SPORTS&REC-CAMPS-SUMMER CAMPS	5200	Home Supply Warehouse	HOOK	
"PARKS, FORESTRY & RECREATION"	3177-35	2014-09-24	2014-09-25	LOBLAWS #1021	89.60	CAD	89.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR COOKING CLASSES	
"PARKS, FORESTRY & RECREATION"	3181-59	2014-09-26	2014-09-29	NOFRILLS ROCCA'S #3931	32.22	CAD	32.22	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR COOKING CLASSES	
"PARKS, FORESTRY & RECREATION"	3183-14	2014-09-29	2014-09-30	LOBLAWS #1021	39.37	CAD	39.37	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR COOKING CLASSES	
					242.49	CAD	242.49	CAD								
"PARKS, FORESTRY & RECREATION"	3148-43	2014-09-02	2014-09-04	THE HOME DEPOT #7013	124.65	CAD	124.65	CAD	2710	GENERAL HARDWARE	P07649	TAM OSHANTER-OPERATIONS	5200	Home Supply Warehouse	11MM FIR PLY	
"PARKS, FORESTRY & RECREATION"	3148-44	2014-09-02	2014-09-04	ALLTURF LTD.	408.40	CAD	408.40	CAD	2470	FERTILIZERS	P07647	HUMBER VALLEY-OPERATIONS	0780	Horticultural and Landscaping Services	FERTILIZER	
"PARKS, FORESTRY & RECREATION"	3151-53	2014-09-04	2014-09-05	CANDOOR OVERHEAD DOORS	275.00	CAD	275.00	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P07648	SCARLETT WOODS-OPERATIONS	5039	Construction Materials Not Elsewhere Cla	CRANK	
					808.05	CAD	808.05	CAD								
FACILITIES MANAGEMENT 	3151-54	2014-09-03	2014-09-05	WALMART #1150	22.57	CAD	22.57	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61269663	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5310	Discount Stores	SUPPLIES	
					22.57	CAD	22.57	CAD								
TORONTO WATER	3148-45	2014-09-02	2014-09-04	BRAFASCO / ETOBICOKE	77.01	CAD	77.01	CAD	2710	GENERAL HARDWARE	TW4070	WW TREATMNT:  HUMBER TP - WORK AREA 1  S	5085	Industrial Supplies Not Elsewhere Classi	"EYEBOLTS, BITS"	
TORONTO WATER	3148-46	2014-09-02	2014-09-04	APPLIED INDUSTRIAL TEC	55.39	CAD	55.39	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW4070	WW TREATMNT:  HUMBER TP - WORK AREA 1  S	5085	Industrial Supplies Not Elsewhere Classi	WOOD JAW COUPLING	
TORONTO WATER	3148-47	2014-09-02	2014-09-04	KOTYCK BROS LIMITED	208.00	CAD	208.00	CAD	2535	PLUMBING SUPPLIES	TW4070	WW TREATMNT:  HUMBER TP - WORK AREA 1  S	1520	General Contractors - Residential and Co	FLOW INDICATOR & NIPPLE	
TORONTO WATER	3148-48	2014-09-03	2014-09-04	NATIONAL CONCRETE ACCE	68.82	CAD	68.82	CAD	2710	GENERAL HARDWARE	TW4070	WW TREATMNT:  HUMBER TP - WORK AREA 1  S	5039	Construction Materials Not Elsewhere Cla	LIFTING EYE BOLT	
TORONTO WATER	3151-55	2014-09-04	2014-09-05	KOTYCK BROS LIMITED	348.44	CAD	348.44	CAD	2535	PLUMBING SUPPLIES	TW4070	WW TREATMNT:  HUMBER TP - WORK AREA 1  S	1520	General Contractors - Residential and Co	"BRASS NIPPLE, SQUARE CAPS"	
TORONTO WATER	3151-56	2014-09-04	2014-09-05	PROTEK PAINT	766.82	CAD	766.82	CAD	2715	PAINT SUPPLIES	TW4070	WW TREATMNT:  HUMBER TP - WORK AREA 1  S	5198	"Paints, Varnishes, and Supplies"	PAINT SUPPLIES	
TORONTO WATER	3153-49	2014-09-05	2014-09-08	KOTYCK BROS LIMITED	607.53	CAD	607.53	CAD	2535	PLUMBING SUPPLIES	TW4070	WW TREATMNT:  HUMBER TP - WORK AREA 1  S	1520	General Contractors - Residential and Co	VARIOUS PLUMBING SUPPLIES	
					"2,132.01"	CAD	"2,132.01"	CAD								
EMPLOYMENT & SOCIAL SERVICES	3162-49	2014-09-12	2014-09-15	THE 519 CHURCH STREET	34.47	CAD	34.47	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	C01105	QUALITY CONTROL & ASSURANCE UNIT	8398	"Organizations, Charitable and Social Ser"		
					34.47	CAD	34.47	CAD								
FACILITIES MANAGEMENT 	3160-37	2014-09-10	2014-09-12	ASIS INTERNATIONAL EPI	"1,127.34"	CAD	995.00	USD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	FA0341	ADMIN-SECURITY & LIFE SAFETY	8699	"Organizations, Membership - Not Elsewher"	CONFERENCE REGISTRATION	
FACILITIES MANAGEMENT 	3162-50	2014-09-10	2014-09-15	DELTA    0065829211563	750.67	CAD	750.67	CAD	4253	CONFERENCES/SEMINARS - AIR/RAIL/BUS TRAV	FA0341	ADMIN-SECURITY & LIFE SAFETY	3058	Delta	BUSINESS TRAVEL - AIR TRANSPORTATION	
					"1,878.01"	CAD	750.67	CAD								
							995.00	USD								
FACILITIES MANAGEMENT 	3157-21	2014-09-09	2014-09-10	PAUL WOLF ELECTRIC   L	330.73	CAD	330.73	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61270303	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT 	3160-38	2014-09-11	2014-09-12	PAUL WOLF ELECTRIC   L	36.80	CAD	36.80	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61270753	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT 	3160-39	2014-09-11	2014-09-12	PAUL WOLF ELECTRIC   L	26.46	CAD	26.46	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61268474	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT 	3160-40	2014-09-11	2014-09-12	PAUL WOLF ELECTRIC   L	54.53	CAD	54.53	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA2311	ADMIN-OPS-SOUTH-OPERATIONAL EXP RCVRY	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT 	3164-41	2014-09-15	2014-09-16	PAUL WOLF ELECTRIC   L	29.56	CAD	29.56	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61271753	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT 	3169-45	2014-09-18	2014-09-19	PAUL WOLF ELECTRIC   L	55.94	CAD	55.94	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA2311	ADMIN-OPS-SOUTH-OPERATIONAL EXP RCVRY	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT 	3173-14	2014-09-22	2014-09-23	PAUL WOLF ELECTRIC   L	192.68	CAD	192.68	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61270202	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	SUPPLIES	
FACILITIES MANAGEMENT 	3175-31	2014-09-23	2014-09-24	POWERTRADE ELECTRIC LT	846.43	CAD	846.43	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61272432	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	SUPPLIES	
FACILITIES MANAGEMENT 	3179-40	2014-09-25	2014-09-26	POWERTRADE ELECTRIC LT	306.07	CAD	306.07	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61268758	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	SUPPLIES	
FACILITIES MANAGEMENT 	3179-41	2014-09-25	2014-09-26	POWERTRADE ELECTRIC LT	307.81	CAD	307.81	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61268758	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	SUPPLIES	
					"2,187.01"	CAD	"2,187.01"	CAD								
FIRE SERVICES	3146-29	2014-08-29	2014-09-03	SHELL	69.14	CAD	69.14	CAD	2260	GASOLINE	FR0025	MECHANICAL MAINT-VEHICLE MAINT	5541	Service Stations (with or without Ancill	FUEL & CAR WASH FOR COMPANY CAR	
FIRE SERVICES	3162-51	2014-09-14	2014-09-15	PIONEER #275	49.00	CAD	49.00	CAD	2260	GASOLINE	FR0025	MECHANICAL MAINT-VEHICLE MAINT	5542	"Fuel Dispenser, Automated"	FUEL FOR COMPANY CAR	
FIRE SERVICES	3164-42	2014-09-12	2014-09-16	FUELCO #01170	50.01	CAD	50.01	CAD	2260	GASOLINE	FR0025	MECHANICAL MAINT-VEHICLE MAINT	5542	"Fuel Dispenser, Automated"	FUEL FOR COMPANY CAR	
