Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order #	Cost Centre / WBS Element / Order # Decription	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	2939-40	2014-03-31	2014-04-02	CDN TIRE STORE #00459	180.77	CAD	180.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11429	OAKDALE CC-SOCIAL PRGM	5200	Home Supply Warehouse	BALL HOCKEY MASKS AND SHELF	
"PARKS, FORESTRY & RECREATION"	2942-30	2014-04-01	2014-04-03	FUTURE SHOP #57	51.97	CAD	51.97	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12148	JENNER J MARIE CC-PRGM SUPPORT	5732	Electronic Sales	UNIVERSAL ADAPTOR FOR SCORELOCK/KEYBOARD	
"PARKS, FORESTRY & RECREATION"	2946-40	2014-04-04	2014-04-07	DOLLAR TREE CANADA STO	15.54	CAD	15.54	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08935	JENNER J MARIE CC-INSTRL	5331	Variety Stores	CARTOONING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2946-41	2014-04-04	2014-04-07	MICHAELS #3983	81.13	CAD	81.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08935	JENNER J MARIE CC-INSTRL	5945	"Game, Toy, and Hobby Shops"	ANIME CARTOONING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2946-42	2014-04-04	2014-04-07	WAL-MART #3159	106.22	CAD	106.22	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08935	JENNER J MARIE CC-INSTRL	5411	"Grocery Stores, Supermarkets"	INSTRUCTIONAL PRGM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2948-35	2014-04-07	2014-04-08	NOFRILLS DICKIES 752	8.11	CAD	8.11	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12148	JENNER J MARIE CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	SCIENCE EXPERIMENT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2950-34	2014-04-07	2014-04-09	YOUR DOLLAR STORE WITH	60.91	CAD	60.91	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12148	JENNER J MARIE CC-PRGM SUPPORT	5999	Miscellaneous and Specialty Retail Store	SCIENCE EXPERIMENT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2956-74	2014-04-10	2014-04-14	TARGET CANADA T3742	43.11	CAD	43.11	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08935	JENNER J MARIE CC-INSTRL	5310	Discount Stores	CARTOONING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2958-38	2014-04-11	2014-04-15	FOOD BASICS #672	35.06	CAD	35.06	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12148	JENNER J MARIE CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM GROCERIES	
"PARKS, FORESTRY & RECREATION"	2958-39	2014-04-14	2014-04-15	DOLLAR TREE CANADA STO	26.75	CAD	26.75	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12148	JENNER J MARIE CC-PRGM SUPPORT	5331	Variety Stores	"GIRLS CLUB, CRAFT SUPPLIES"	
"PARKS, FORESTRY & RECREATION"	2964-59	2014-04-17	2014-04-21	FOOD BASICS #672	37.99	CAD	37.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12148	JENNER J MARIE CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM GROCERIES	
"PARKS, FORESTRY & RECREATION"	2970-41	2014-04-22	2014-04-24	TARGET CANADA T3742	13.55	CAD	13.55	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P12148	JENNER J MARIE CC-PRGM SUPPORT	5310	Discount Stores	STORAGE TOTES	
"PARKS, FORESTRY & RECREATION"	2970-42	2014-04-22	2014-04-24	FOOD BASICS #672	14.86	CAD	14.86	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12148	JENNER J MARIE CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM GROCERIES	
"PARKS, FORESTRY & RECREATION"	2973-79	2014-04-24	2014-04-28	YOUR DOLLAR STORE WITH	5.65	CAD	5.65	CAD	2610	KITCHEN SUPPLIES	P12148	JENNER J MARIE CC-PRGM SUPPORT	5999	Miscellaneous and Specialty Retail Store	KITCHEN SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2975-24	2014-04-25	2014-04-29	FOOD BASICS #672	14.81	CAD	14.81	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12148	JENNER J MARIE CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM GROCERIES	
"PARKS, FORESTRY & RECREATION"	2977-41	2014-04-28	2014-04-30	FOOD BASICS #672	2.49	CAD	2.49	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12148	JENNER J MARIE CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	SCIENCE EXPERIMENT SUPPLIES	
					928.88	CAD	928.88	CAD								
"PARKS, FORESTRY & RECREATION"	2977-42	2014-04-28	2014-04-30	SPLASHABLES	372.05	CAD	372.05	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13129	INSTRCT AQUATICS - CENTENNIAL RC WEST	5996	Swimming Pools - Sales and Supplies	DELUXE BLUE & GREEN NOODLES	
					372.05	CAD	372.05	CAD								
"PARKS, FORESTRY & RECREATION"	2954-57	2014-04-09	2014-04-11	WAL-MART # 3740	100.29	CAD	100.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08499	THISTLETOWN SC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	AFTER SCHOOL PROGRAM SNACKS	
"PARKS, FORESTRY & RECREATION"	2971-48	2014-04-24	2014-04-25	2001 AUDIO-VIDEO	6.77	CAD	6.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08499	THISTLETOWN SC-PRGM SUPPORT	5732	Electronic Sales	PROGRAM SUPPLIES CORD	
					107.06	CAD	107.06	CAD								
"PARKS, FORESTRY & RECREATION"	2951-42	2014-04-09	2014-04-10	HAWKEX SALES	969.31	CAD	969.31	CAD	2570	JANITORIAL SUPPLIES	P00530	S-WEST 1-PRGM SUPPORT	5699	Accessory  and Apparel Stores - Miscella	SUPER LITTER LICKER BAGS & FRAMES	
"PARKS, FORESTRY & RECREATION"	2956-75	2014-04-11	2014-04-14	KOOY BROS LAWN	788.31	CAD	788.31	CAD	2710	GENERAL HARDWARE	P00530	S-WEST 1-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	"2 STHL VAC/BLOWERS, TRIM LINE"	
"PARKS, FORESTRY & RECREATION"	2960-36	2014-04-10	2014-04-16	LORIN FRASER SERVICE C	226.00	CAD	226.00	CAD	4404	CONTR SERVICES - LICENSED VEHICLES&EQUIP	P00530	S-WEST 1-PRGM SUPPORT	7538	Automotive Service Shops	VEHICLE INTERIOR SHAMPOO & CLEANING	
"PARKS, FORESTRY & RECREATION"	2964-60	2014-04-16	2014-04-21	CDN TIRE STORE #00182	108.45	CAD	108.45	CAD	2710	GENERAL HARDWARE	P00530	S-WEST 1-PRGM SUPPORT	5200	Home Supply Warehouse	3 SETS OF BOOSTER CABLES	
"PARKS, FORESTRY & RECREATION"	2968-23	2014-04-17	2014-04-23	LORIN FRASER SERVICE C	113.00	CAD	113.00	CAD	4404	CONTR SERVICES - LICENSED VEHICLES&EQUIP	P00530	S-WEST 1-PRGM SUPPORT	7538	Automotive Service Shops	VEHICLE INTERIOR SHAMPOO & CLEANING	
"PARKS, FORESTRY & RECREATION"	2968-24	2014-04-17	2014-04-23	FINCHAM AUTOMOTIVE	344.65	CAD	344.65	CAD	2401	LUBRICANTS	P00530	S-WEST 1-PRGM SUPPORT	5511	"Automobile and Truck Dealers - Sales, Se"	60K KEG OF CHASSIS GREASE	
"PARKS, FORESTRY & RECREATION"	2975-25	2014-04-28	2014-04-29	KOOY BROS LAWN	950.76	CAD	950.76	CAD	3080	M & E - HAND TOOLS	P00530	S-WEST 1-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	"2 HAND BLOWERS, 1 STRING TRIMMER"	
					"3,500.48"	CAD	"3,500.48"	CAD								
FACILITIES MANAGEMENT 	2958-40	2014-04-14	2014-04-15	W.E. ENTERPRISES LTD	166.96	CAD	166.96	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA2311	ADMIN-OPS-SOUTH-OPERATIONAL EXP RCVRY	5261	Lawn and Garden Supply Stores	BATTERY = HONDA GENERATOR	
FACILITIES MANAGEMENT 	2964-61	2014-04-18	2014-04-21	HILTI (CANADA) CORP	58.53	CAD	58.53	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA2311	ADMIN-OPS-SOUTH-OPERATIONAL EXP RCVRY	5251	Hardware Stores	DRILL BIT	
					225.49	CAD	225.49	CAD								
FACILITIES MANAGEMENT 	2946-43	2014-04-03	2014-04-07	CDN TIRE STORE #00264	11.29	CAD	11.29	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61253029	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	RANGEHOOD SWITCH	
					11.29	CAD	11.29	CAD								
FACILITIES MANAGEMENT 	2951-43	2014-04-08	2014-04-10	PARAGON INDUSTRIAL PHO	105.09	CAD	105.09	CAD	4825	PRINTING AND REPRODUCTION - THIRD PARTY	CCA218-16	55 JOHN-REPAIRPARKINGGARAGEFLOOR	7221	Photographic Studios	ARCHIVED PLANS - HARD COPIES TO DIGITAL	
					105.09	CAD	105.09	CAD								
"PARKS, FORESTRY & RECREATION"	2938-39	2014-03-31	2014-04-01	ACKLANDS-GRAINGER INC	116.06	CAD	116.06	CAD	3080	M & E - HAND TOOLS	P00898	KIPLING YD-PARKS CONSTR	5085	Industrial Supplies Not Elsewhere Classi	HEAVY DUTY RIV WSW5	
"PARKS, FORESTRY & RECREATION"	2942-31	2014-04-02	2014-04-03	SOUND BARRIERS	366.02	CAD	366.02	CAD	2545	PLASTICS & RUBBER SUPPLIES	P00898	KIPLING YD-PARKS CONSTR	5085	Industrial Supplies Not Elsewhere Classi	"POLYCARBONATE 48""X96""X177"""	
"PARKS, FORESTRY & RECREATION"	2943-27	2014-04-02	2014-04-04	THE HOME DEPOT #7011	167.75	CAD	167.75	CAD	3080	M & E - HAND TOOLS	P00898	KIPLING YD-PARKS CONSTR	5200	Home Supply Warehouse	**MORE**  PLIERS	
"PARKS, FORESTRY & RECREATION"	2946-44	2014-04-04	2014-04-07	BUSY BEE MACHINETOOLS	57.58	CAD	57.58	CAD	3080	M & E - HAND TOOLS	P00898	KIPLING YD-PARKS CONSTR	5085	Industrial Supplies Not Elsewhere Classi	"BRUSH BRISTLE BRUSH SET, SANDING"	
"PARKS, FORESTRY & RECREATION"	2946-45	2014-04-04	2014-04-07	AUTOMOTIVE TOOLS	47.29	CAD	47.29	CAD	3080	M & E - HAND TOOLS	P00898	KIPLING YD-PARKS CONSTR	5533	"Automotive Parts, Accessories Stores"	"DW9155 SERIES 20 CONSTRUCTION 6 1/2"""	
"PARKS, FORESTRY & RECREATION"	2950-35	2014-04-08	2014-04-09	PLAYPOWER LT CANADA IN	985.03	CAD	985.03	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P00898	KIPLING YD-PARKS CONSTR	5941	Sporting Goods Stores	SLIDE BUTTONWOOD	
"PARKS, FORESTRY & RECREATION"	2956-76	2014-04-07	2014-04-14	PACIFIC FASTENERS (198	57.29	CAD	57.29	CAD	2710	GENERAL HARDWARE	P00898	KIPLING YD-PARKS CONSTR	5251	Hardware Stores	60 3/8 -16X11	
"PARKS, FORESTRY & RECREATION"	2973-80	2014-04-25	2014-04-28	THE HOME DEPOT #7013	45.18	CAD	45.18	CAD	3080	M & E - HAND TOOLS	P00898	KIPLING YD-PARKS CONSTR	5200	Home Supply Warehouse	TORX BIT SET	
"PARKS, FORESTRY & RECREATION"	2975-26	2014-04-25	2014-04-29	CDN TIRE STORE #00182	79.88	CAD	79.88	CAD	2401	LUBRICANTS	P00898	KIPLING YD-PARKS CONSTR	5200	Home Supply Warehouse	"WD 40, 3 IN 1 PENETRANT , MIX 3/8 SKT W"	
"PARKS, FORESTRY & RECREATION"	2975-27	2014-04-28	2014-04-29	KSL DESIGN	955.70	CAD	955.70	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P00898	KIPLING YD-PARKS CONSTR	5941	Sporting Goods Stores	RUBEBR BELT SWING SEATS	
"PARKS, FORESTRY & RECREATION"	2977-43	2014-04-29	2014-04-30	HENDERSON RECREATION	195.49	CAD	195.49	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P00898	KIPLING YD-PARKS CONSTR	5712	"Equipment, Furniture, and Home Furnishin"	"CABLE ROPE , SPENCO"	
					"3,073.27"	CAD	"3,073.27"	CAD								
"PARKS, FORESTRY & RECREATION"	2946-46	2014-04-04	2014-04-07	NOFRILLS VITO'S #3936	34.15	CAD	34.15	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08216	LAWRENCE HGTS-SPEC INTEREST	5411	"Grocery Stores, Supermarkets"	"CAKE DECOR, SYRUP,STRAWBERRIES, BLKBRY,BLUEBERRIES"	
"PARKS, FORESTRY & RECREATION"	2954-58	2014-04-10	2014-04-11	FLAGHOUSE INC.	272.14	CAD	272.14	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11581	LAWRENCE HGTS-SPORTS	5712	"Equipment, Furniture, and Home Furnishin"	BASKETBALL BACKBOARD REPAIR SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2968-25	2014-04-22	2014-04-23	NOFRILLS VITO'S #3936	179.30	CAD	179.30	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08216	LAWRENCE HGTS-SPEC INTEREST	5411	"Grocery Stores, Supermarkets"	"JAM,MARGARINE, KN BRST,LEAN GR BEEF,XLEAN GRND BEE"	
"PARKS, FORESTRY & RECREATION"	2971-49	2014-04-23	2014-04-25	METRO #401	239.00	CAD	239.00	CAD	4225	BUSINESS TRAV - PUBLIC TRANSIT	P08216	LAWRENCE HGTS-SPEC INTEREST	5411	"Grocery Stores, Supermarkets"	TTC TICKET	
"PARKS, FORESTRY & RECREATION"	2973-81	2014-04-25	2014-04-28	FABRICLAND DISTRIBUTOR	50.12	CAD	50.12	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08216	LAWRENCE HGTS-SPEC INTEREST	5949	"Fabric, Needlework, Piece Goods, and Sew"	SEWING SUPPLIES FOR YOUTH	
"PARKS, FORESTRY & RECREATION"	2973-82	2014-04-25	2014-04-28	STAPLES STORE #15	11.10	CAD	11.10	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08216	LAWRENCE HGTS-SPEC INTEREST	5943	"Office, School Supply, and Stationery St"	SEWING SUPPLIES FOR YOUTH	
"PARKS, FORESTRY & RECREATION"	2973-83	2014-04-25	2014-04-28	FORTINO'S	11.02	CAD	11.02	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08216	LAWRENCE HGTS-SPEC INTEREST	5411	"Grocery Stores, Supermarkets"	"BREAD CRUMBS, CHICKEN"	
"PARKS, FORESTRY & RECREATION"	2975-28	2014-04-28	2014-04-29	FORTINO'S	133.95	CAD	133.95	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08216	LAWRENCE HGTS-SPEC INTEREST	5411	"Grocery Stores, Supermarkets"	"CHEDDAR, MOZZ, LETTUCE, EGGROLL WRAPPERS,PEPPERS"	
"PARKS, FORESTRY & RECREATION"	2977-44	2014-04-29	2014-04-30	BEST BUY CANADA #927	112.99	CAD	112.99	CAD	3320	FIXTURES	P06006	LAWRENCE HGTS-PRGM SUPPORT	5732	Electronic Sales	TV MOUNT	
"PARKS, FORESTRY & RECREATION"	2977-45	2014-04-27	2014-04-30	METRO #493	62.79	CAD	62.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06258	LAWRENCE HGTS-SPORTS	5411	"Grocery Stores, Supermarkets"	"ONIONS, TURKEY STUFFNING, FRENCH BREAD"	
					"1,106.56"	CAD	"1,106.56"	CAD								
"PARKS, FORESTRY & RECREATION"	2971-50	2014-04-23	2014-04-25	KOMPAN	836.12	CAD	740.65	USD	2601	DUR REC & EDUC SUPP	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	7999	Recreation Services (Not Elsewhere Class	PLAYGROUND HARDWARE	
"PARKS, FORESTRY & RECREATION"	2971-51	2014-04-24	2014-04-25	CONCORD HARDWARE LIMIT	810.78	CAD	810.78	CAD	2710	GENERAL HARDWARE	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5251	Hardware Stores	NAILS/CUT OFF WHEELS	
"PARKS, FORESTRY & RECREATION"	2973-84	2014-04-24	2014-04-28	LEONA STONE LTD	503.98	CAD	503.98	CAD	3320	FIXTURES	P00850	G ROSS LORD YD-PARKS CONSTR	1740	"Insulation, Masonry, Plastering, Stonewo"	STONE EDGING	
"PARKS, FORESTRY & RECREATION"	2973-85	2014-04-25	2014-04-28	EVERPLAY INTERNATIONAL	672.35	CAD	672.35	CAD	2601	DUR REC & EDUC SUPP	P00427	PRN - CENTRALIZED PARKS CONSTRUCTION OPS	5999	Miscellaneous and Specialty Retail Store	BINDER/RUBBER	
					"2,823.23"	CAD	"1,987.11"	CAD								
							740.65	USD								
FACILITIES MANAGEMENT 	2938-40	2014-03-31	2014-04-01	MINUTE KEY INC HDC0701	3.94	CAD	3.94	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61255146	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	1 KEY CUT	
FACILITIES MANAGEMENT 	2942-32	2014-04-02	2014-04-03	BL SECURITY LOCKSMITH	36.73	CAD	36.73	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61255146	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7393	"Detective Agencies, Protective Agencies,"	10 KEYS CUT	
FACILITIES MANAGEMENT 	2948-36	2014-04-04	2014-04-08	CDN TIRE STORE #00150	13.49	CAD	13.49	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61256465	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	KEYS CUT	
FACILITIES MANAGEMENT 	2954-59	2014-04-09	2014-04-11	THE HOME DEPOT #7080	363.02	CAD	363.02	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61256849	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  2X4X8 SPF.	
FACILITIES MANAGEMENT 	2956-77	2014-04-10	2014-04-14	THE HOME DEPOT #7080	405.71	CAD	405.71	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61256849	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  2X4X10 SPF.	
FACILITIES MANAGEMENT 	2970-43	2014-04-22	2014-04-24	REGAL HARDWARE LTD	11.35	CAD	11.35	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61257532	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	KEYS CUT	
FACILITIES MANAGEMENT 	2970-44	2014-04-22	2014-04-24	ABSO LOCK INC	70.06	CAD	70.06	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61257532	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7393	"Detective Agencies, Protective Agencies,"	KEYS CUT	
FACILITIES MANAGEMENT 	2973-86	2014-04-25	2014-04-28	SPEED FASTENING SYSTEM	54.99	CAD	54.99	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61257140	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5712	"Equipment, Furniture, and Home Furnishin"	SUPPLY	
FACILITIES MANAGEMENT 	2973-87	2014-04-25	2014-04-28	REGAL HARDWARE LTD	15.30	CAD	15.30	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61256684	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	KEYS CUT	
FACILITIES MANAGEMENT 	2973-88	2014-04-25	2014-04-28	REGAL HARDWARE LTD	31.93	CAD	31.93	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61255467	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	KEYS CUT	
					"1,006.52"	CAD	"1,006.52"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2971-52	2014-04-24	2014-04-25	DOMINION REGALIA LTD	485.90	CAD	485.90	CAD	3330	ARTIFACTS & ART OBJECTS	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	7333	"Commercial Art, Graphics, Photography"	PRE-1922 CANADIAN ENSIGNS (WW1)	
ECONOMIC DEVELOPMENT & CULTURE	2971-53	2014-04-24	2014-04-25	DOMINION REGALIA LTD	"2,480.92"	CAD	"2,480.92"	CAD	2670	UNIFORMS	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	7333	"Commercial Art, Graphics, Photography"	CANADIAN AND BRITISH CUSTOM FLAG	
					"2,966.82"	CAD	"2,966.82"	CAD								
"PARKS, FORESTRY & RECREATION"	2939-41	2014-04-01	2014-04-02	NOFRILLS LEONETTI'S #3	51.66	CAD	51.66	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08146	AMESBURY CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	AIM/CHEF PROG. SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2942-33	2014-04-02	2014-04-03	ONTARIO SAFETY LEAGUE	65.54	CAD	65.54	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P08146	AMESBURY CC-SOCIAL PRGM	8398	"Organizations, Charitable and Social Ser"	BABYSITTING MANUALS	
"PARKS, FORESTRY & RECREATION"	2946-47	2014-04-04	2014-04-07	ROGERS MUSIC CENTRE	190.97	CAD	190.97	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P08146	AMESBURY CC-SOCIAL PRGM	8299	Educational Services	MUSIC BOOKS	
"PARKS, FORESTRY & RECREATION"	2950-36	2014-04-08	2014-04-09	NOFRILLS LEONETTI'S #3	98.02	CAD	98.02	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08146	AMESBURY CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"SALT, VEGGIES, CRM CHSE,BUTTER,PARMESAN,GRAPES"	
"PARKS, FORESTRY & RECREATION"	2962-44	2014-04-15	2014-04-17	WAL-MART # 3105	118.28	CAD	118.28	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08146	AMESBURY CC-SOCIAL PRGM	5310	Discount Stores	"BEANS, EGGS, SOY SAUCE, BASKETBALLS"	
"PARKS, FORESTRY & RECREATION"	2964-62	2014-04-16	2014-04-21	WAL-MART # 3105	40.66	CAD	40.66	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08146	AMESBURY CC-SOCIAL PRGM	5310	Discount Stores	PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2973-89	2014-04-26	2014-04-28	LONG   MCQUADE	80.17	CAD	80.17	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08146	AMESBURY CC-SOCIAL PRGM	7399	Business Services - Not Elsewhere Classi	"EGG SHAKERS, DRUM, TRIANGLES"	
"PARKS, FORESTRY & RECREATION"	2973-90	2014-04-26	2014-04-28	LONG   MCQUADE	92.66	CAD	92.66	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	P08146	AMESBURY CC-SOCIAL PRGM	7399	Business Services - Not Elsewhere Classi	EQUIPMENT RENTAL FOR RECITAL	
"PARKS, FORESTRY & RECREATION"	2975-29	2014-04-28	2014-04-29	LONG   MCQUADE	10.26	CAD	10.26	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P08146	AMESBURY CC-SOCIAL PRGM	7399	Business Services - Not Elsewhere Classi	GUITAR PROGRAM BOOKS	
"PARKS, FORESTRY & RECREATION"	2977-46	2014-04-27	2014-04-30	METRO #750	47.85	CAD	47.85	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08146	AMESBURY CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR RECITAL	
					796.07	CAD	796.07	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2943-28	2014-04-02	2014-04-04	WAL-MART #3635	77.31	CAD	77.31	CAD	*****	FOOD & NON-ALCOHOLIC BEVERAGES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5310	Discount Stores	"UTILITY MAT, NLS CRM, DONUTS, BARTA SPCSVR, JOURNA"	
ECONOMIC DEVELOPMENT & CULTURE	2946-48	2014-04-04	2014-04-07	RCSS SCARBOROUGH #2809	83.43	CAD	83.43	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	"VEG SHORT, SUGAR, MILK, BUTTER / TWIZZLER, JELLY B"	
ECONOMIC DEVELOPMENT & CULTURE	2946-49	2014-04-04	2014-04-07	WINNERS 226	28.24	CAD	28.24	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5651	Family Clothing Stores	84 - WALL	
ECONOMIC DEVELOPMENT & CULTURE	2951-44	2014-04-08	2014-04-10	WAL-MART #3635	104.40	CAD	104.40	CAD	*****	FOOD & NON-ALCOHOLIC BEVERAGES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5310	Discount Stores	"3X4 CONCORD, NAPKINS, PACK LEAF, BUTTER, SUGAR, MA"	
ECONOMIC DEVELOPMENT & CULTURE	2962-45	2014-04-16	2014-04-17	RCSS SCARBOROUGH #2809	77.77	CAD	77.77	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	"VEG OIL, BAKING SODA, FLOUR / CUPS, JELLY BEANS"	
ECONOMIC DEVELOPMENT & CULTURE	2964-63	2014-04-17	2014-04-21	WAL-MART #3635	22.60	CAD	22.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5310	Discount Stores	"FOOTBALL, VOLLEYBALL, RED BALL, SOCCERBALL"	
ECONOMIC DEVELOPMENT & CULTURE	2970-45	2014-04-23	2014-04-24	PAYPAL	200.00	CAD	200.00	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	AH0081	HS-MH-EXHIBITIONS-SCAR MUSEU	8999	Professional Services - Not Elsewhere Cl	100 CARDS FOR EXHIBIT	
ECONOMIC DEVELOPMENT & CULTURE	2971-54	2014-04-23	2014-04-25	WAL-MART #3635	46.80	CAD	46.80	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5310	Discount Stores	"MILK, BUTTER, SUGAR, FLOUR / 23X35 BOARD"	
